"; PTT 104659, Serial 15P1019, Run 1 - 0.25&deg; Grid Size @ 03-Feb-2017 09:33"
"; Marine @ 75.0 kilometers/day, Model Score 42.82"
"; 3 Status Clock Corrections, 23 Twilights, 12 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
15P1019,104659,13-Aug-2016 00:00:00,42.625,4.95,None,,,,,,,13-Aug-2016 04:44:59,13-Aug-2016 18:44:14
15P1019,104659,13-Aug-2016 04:00:00,42.625,4.925,Light - Dawn,,,16,1898,3.19454856484893,94.8224738947658,,
15P1019,104659,13-Aug-2016 05:00:00,42.625,4.925,SST,21.2,21.453332901001,0,1898,,48.4161814242349,,
15P1019,104659,13-Aug-2016 12:00:00,42.625,4.9,None,,,,,,,,
15P1019,104659,13-Aug-2016 18:36:15,42.625,4.9,Light - Dusk,,,112,1898,26.0126551498157,3.37709705732378,,
15P1019,104659,14-Aug-2016 00:00:00,42.625,4.875,None,,,,,,,14-Aug-2016 04:46:21,14-Aug-2016 18:43:05
15P1019,104659,14-Aug-2016 03:58:45,42.625,4.875,Light - Dawn,,,16,1898,2.00131618052171,97.4680979222059,,
15P1019,104659,14-Aug-2016 08:00:00,42.625,4.875,SST,21.1,21.896666208903,0,1898,,23.1590075965304,,
15P1019,104659,14-Aug-2016 12:00:00,42.625,4.875,None,,,,,,,,
15P1019,104659,14-Aug-2016 18:16:16,42.625,4.85,Light - Dusk,,,112,1898,12.9179085673351,37.983940858465,,
15P1019,104659,15-Aug-2016 00:00:00,42.625,4.825,None,,,,,,,15-Aug-2016 04:47:38,15-Aug-2016 18:41:49
15P1019,104659,15-Aug-2016 04:00:01,42.625,4.825,Light - Dawn,,,16,1898,3.80974126652376,92.2016743468308,,
15P1019,104659,15-Aug-2016 09:00:01,42.625,4.775,SST,21.4,21.8825036438748,0,1898,,46.7555942439938,,
15P1019,104659,15-Aug-2016 12:00:00,42.625,4.775,None,,,,,,,,
15P1019,104659,15-Aug-2016 17:53:46,42.625,4.7,Light - Dusk,,,80,1795,5.0237105999056,87.1398436110459,,
15P1019,104659,16-Aug-2016 00:00:00,42.625,4.675,None,,,,,,,16-Aug-2016 04:49:18,16-Aug-2016 18:40:55
15P1019,104659,16-Aug-2016 04:13:46,42.625,4.65,Light - Dawn,,,368,1795,3.25744393435298,94.4485711980152,,
15P1019,104659,16-Aug-2016 07:00:01,42.625,4.65,SST,20.9,21.899169883419,0,1795,,9.81447016783711,,
15P1019,104659,16-Aug-2016 12:00:00,42.625,4.65,None,,,,,,,,
15P1019,104659,16-Aug-2016 18:42:31,42.625,4.65,Light - Dusk,,,80,1795,30.7357815403534,0.701371600224659,,
15P1019,104659,17-Aug-2016 00:00:00,42.625,4.65,None,,,,,,,17-Aug-2016 04:50:28,17-Aug-2016 18:39:31
15P1019,104659,17-Aug-2016 04:13:46,42.625,4.65,Light - Dawn,,,16,1795,22.9610815833991,7.49797124013958,,
15P1019,104659,17-Aug-2016 05:00:01,42.625,4.65,SST,20.9,22.227504266655,0,1795,,3.27400709656788,,
15P1019,104659,17-Aug-2016 12:00:00,42.625,4.65,None,,,,,,,,
15P1019,104659,17-Aug-2016 18:27:31,42.625,4.65,Light - Dusk,,,80,1795,15.7026618049589,26.3849572037937,,
15P1019,104659,18-Aug-2016 00:00:00,42.625,4.625,None,,,,,,,18-Aug-2016 04:51:39,18-Aug-2016 18:38:06
15P1019,104659,18-Aug-2016 12:00:00,42.625,4.625,None,,,,,,,,
15P1019,104659,18-Aug-2016 18:51:16,42.625,4.6,Light - Dusk,,,16,1795,5.93198940356041,82.3789827764987,,
15P1019,104659,18-Aug-2016 21:00:01,42.625,4.6,SST,21.3,22.7700020434459,0,1795,,3.05644316680929,,
15P1019,104659,19-Aug-2016 00:00:00,42.625,4.6,None,,,,,,,19-Aug-2016 04:52:49,19-Aug-2016 18:36:39
15P1019,104659,19-Aug-2016 00:00:01,42.625,4.6,SST,21.3,22.7999985426223,0,1795,,2.6858157879373,,
15P1019,104659,19-Aug-2016 04:13:46,42.625,4.6,Light - Dawn,,,112,1795,105.099090920534,0.1,,
15P1019,104659,19-Aug-2016 04:15:01,42.625,4.6,Light - Dawn,,,112,1795,235.458989075585,0.1,,
15P1019,104659,19-Aug-2016 12:00:00,42.625,4.625,None,,,,,,,,
15P1019,104659,19-Aug-2016 18:05:00,42.625,4.625,User,,,,,,58.7113348122332,,
