***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************																
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:														
08/02/2016	14:01:17	571		7.3005	---	---	---	20	---	---	---	1018.32	55.218	---	---	---	22.017	---	---	---	176.419	---	---	---	5.206	---	---	---	
08/02/2016	14:01:18	572		7.3033	---	---	---	20	---	---	---	1018.32	55.218	---	---	---	22.012	---	---	---	176.412	---	---	---	5.203	---	---	---	
08/02/2016	14:01:19	573		7.3029	---	---	---	20	---	---	---	1018.32	55.218	---	---	---	22.013	---	---	---	176.396	---	---	---	5.202	---	---	---	
08/02/2016	14:01:20	574		7.3022	---	---	---	20	---	---	---	1018.34	55.218	---	---	---	22.014	---	---	---	176.38	---	---	---	5.212	---	---	---	
08/02/2016	14:01:21	575		7.3035	---	---	---	20	---	---	---	1018.34	55.218	---	---	---	22.012	---	---	---	176.368	---	---	---	5.201	---	---	---	
08/02/2016	14:01:22	576		7.3063	---	---	---	20	---	---	---	1018.33	55.218	---	---	---	22.008	---	---	---	176.366	---	---	---	5.205	---	---	---	
08/02/2016	14:01:23	577		7.3084	---	---	---	20	---	---	---	1018.29	55.218	---	---	---	22.004	---	---	---	176.38	---	---	---	5.19	---	---	---	
08/02/2016	14:01:24	578		7.3065	---	---	---	20	---	---	---	1018.3	55.218	---	---	---	22.007	---	---	---	176.373	---	---	---	5.206	---	---	---	
08/02/2016	14:01:25	579		7.305	---	---	---	20	---	---	---	1018.29	55.218	---	---	---	22.01	---	---	---	176.374	---	---	---	5.199	---	---	---	
08/02/2016	14:01:26	580		7.3065	---	---	---	20	---	---	---	1018.3	55.218	---	---	---	22.007	---	---	---	176.377	---	---	---	5.202	---	---	---	
08/02/2016	14:01:27	581		7.306	---	---	---	20	---	---	---	1018.27	55.218	---	---	---	22.008	---	---	---	176.365	---	---	---	5.215	---	---	---	
08/02/2016	14:01:28	582		7.3054	---	---	---	20	---	---	---	1018.28	55.218	---	---	---	22.009	---	---	---	176.336	---	---	---	5.213	---	---	---	
08/02/2016	14:01:29	583		7.3086	---	---	---	20	---	---	---	1018.25	55.218	---	---	---	22.004	---	---	---	176.311	---	---	---	5.214	---	---	---	
08/02/2016	14:01:30	584		7.3069	---	---	---	20	---	---	---	1018.25	55.218	---	---	---	22.007	---	---	---	176.317	---	---	---	5.19	---	---	---	
08/02/2016	14:01:31	585		7.3099	---	---	---	20	---	---	---	1018.23	55.218	---	---	---	22.002	---	---	---	176.312	---	---	---	5.193	---	---	---	
08/02/2016	14:01:32	586		7.3105	---	---	---	20	---	---	---	1018.28	55.218	---	---	---	22.001	---	---	---	176.308	---	---	---	5.204	---	---	---	
08/02/2016	14:01:33	587		7.318	---	---	---	20	---	---	---	1018.27	55.218	---	---	---	21.989	---	---	---	176.281	---	---	---	5.219	---	---	---	
08/02/2016	14:01:34	588		7.3186	---	---	---	20	---	---	---	1018.27	55.218	---	---	---	21.988	---	---	---	176.273	---	---	---	5.221	---	---	---	
08/02/2016	14:01:35	589		7.3214	---	---	---	20	---	---	---	1018.26	55.218	---	---	---	21.984	---	---	---	176.271	---	---	---	5.229	---	---	---	
08/02/2016	14:01:36	590		7.3193	---	---	---	20	---	---	---	1018.3	55.218	---	---	---	21.987	---	---	---	176.282	---	---	---	5.234	---	---	---	
08/02/2016	14:01:37	591		7.3178	---	---	---	20	---	---	---	1018.31	55.218	---	---	---	21.99	---	---	---	176.293	---	---	---	5.229	---	---	---	
08/02/2016	14:01:38	592		7.3086	---	---	---	20	---	---	---	1018.31	55.218	---	---	---	22.004	---	---	---	176.297	---	---	---	5.219	---	---	---	
08/02/2016	14:01:39	593		7.3054	---	---	---	20	---	---	---	1018.3	55.228	---	---	---	22.009	---	---	---	176.296	---	---	---	5.215	---	---	---	
08/02/2016	14:01:40	594		7.3058	---	---	---	20	---	---	---	1018.31	55.238	---	---	---	22.008	---	---	---	176.302	---	---	---	5.222	---	---	---	
08/02/2016	14:01:41	595		7.3116	---	---	---	20	---	---	---	1018.3	55.248	---	---	---	21.999	---	---	---	176.315	---	---	---	5.22	---	---	---	
08/02/2016	14:01:42	596		7.3154	---	---	---	20	---	---	---	1018.32	55.248	---	---	---	21.993	---	---	---	176.324	---	---	---	5.221	---	---	---	
08/02/2016	14:01:43	597		7.3114	---	---	---	20	---	---	---	1018.32	55.248	---	---	---	22	---	---	---	176.33	---	---	---	5.214	---	---	---	
08/02/2016	14:01:44	598		7.3077	---	---	---	20	---	---	---	1018.3	55.248	---	---	---	22.005	---	---	---	176.325	---	---	---	5.198	---	---	---	
08/02/2016	14:01:45	599		7.3039	---	---	---	20	---	---	---	1018.28	55.248	---	---	---	22.011	---	---	---	176.318	---	---	---	5.18	---	---	---	
08/02/2016	14:01:46	600		7.3088	---	---	---	20	---	---	---	1018.26	55.248	---	---	---	22.004	---	---	---	176.306	---	---	---	5.197	---	---	---	
08/02/2016	14:01:47	601		7.3105	---	---	---	20	---	---	---	1018.25	55.248	---	---	---	22.001	---	---	---	176.3	---	---	---	5.197	---	---	---	
08/02/2016	14:01:48	602		7.3135	---	---	---	20	---	---	---	1018.26	55.248	---	---	---	21.996	---	---	---	176.291	---	---	---	5.214	---	---	---	
08/02/2016	14:01:49	603		7.3135	---	---	---	20	---	---	---	1018.28	55.248	---	---	---	21.996	---	---	---	176.271	---	---	---	5.202	---	---	---	
08/02/2016	14:01:50	604		7.3135	---	---	---	20	---	---	---	1018.31	55.248	---	---	---	21.996	---	---	---	176.279	---	---	---	5.208	---	---	---	
08/02/2016	14:01:51	605		7.3126	---	---	---	20	---	---	---	1018.32	55.248	---	---	---	21.998	---	---	---	176.299	---	---	---	5.198	---	---	---	
08/02/2016	14:01:52	606		7.3176	---	---	---	20	---	---	---	1018.31	55.248	---	---	---	21.99	---	---	---	176.319	---	---	---	5.198	---	---	---	
08/02/2016	14:01:53	607		7.3186	---	---	---	20	---	---	---	1018.29	55.248	---	---	---	21.988	---	---	---	176.302	---	---	---	5.191	---	---	---	
08/02/2016	14:01:54	608		7.3169	---	---	---	20	---	---	---	1018.25	55.248	---	---	---	21.991	---	---	---	176.262	---	---	---	5.198	---	---	---	
08/02/2016	14:01:55	609		7.3088	---	---	---	20	---	---	---	1018.26	55.248	---	---	---	22.004	---	---	---	176.24	---	---	---	5.192	---	---	---	
08/02/2016	14:01:56	610		7.3045	---	---	---	20	---	---	---	1018.27	55.248	---	---	---	22.01	---	---	---	176.231	---	---	---	5.208	---	---	---	
08/02/2016	14:01:57	611		7.3045	---	---	---	20	---	---	---	1018.29	55.248	---	---	---	22.01	---	---	---	176.246	---	---	---	5.202	---	---	---	
08/02/2016	14:01:58	612		7.307	---	---	---	20	---	---	---	1018.29	55.248	---	---	---	22.006	---	---	---	176.224	---	---	---	5.213	---	---	---	
08/02/2016	14:01:59	613		7.3115	---	---	---	20	---	---	---	1018.26	55.248	---	---	---	21.999	---	---	---	176.195	---	---	---	5.204	---	---	---	
08/02/2016	14:02:00	614		7.3137	---	---	---	20	---	---	---	1018.22	55.248	---	---	---	21.996	---	---	---	176.215	---	---	---	5.21	---	---	---	
08/02/2016	14:02:01	615		7.3173	---	---	---	20	---	---	---	1018.22	55.248	---	---	---	21.99	---	---	---	176.236	---	---	---	5.205	---	---	---	
08/02/2016	14:02:02	616		7.3137	---	---	---	20	---	---	---	1018.24	55.258	---	---	---	21.996	---	---	---	176.287	---	---	---	5.21	---	---	---	
08/02/2016	14:02:03	617		7.3107	---	---	---	20	---	---	---	1018.28	55.258	---	---	---	22.001	---	---	---	176.323	---	---	---	5.21	---	---	---	
08/02/2016	14:02:04	618		7.3009	---	---	---	20	---	---	---	1018.23	55.269	---	---	---	22.016	---	---	---	176.386	---	---	---	5.217	---	---	---	
08/02/2016	14:02:05	619		7.3005	---	---	---	20	---	---	---	1018.22	55.258	---	---	---	22.017	---	---	---	176.433	---	---	---	5.204	---	---	---	
08/02/2016	14:02:06	620		7.294	---	---	---	20	---	---	---	1018.21	55.269	---	---	---	22.027	---	---	---	176.473	---	---	---	5.184	---	---	---	
08/02/2016	14:02:07	621		7.2938	---	---	---	20	---	---	---	1018.24	55.269	---	---	---	22.027	---	---	---	176.504	---	---	---	5.196	---	---	---	
08/02/2016	14:02:08	622		7.288	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.036	---	---	---	176.542	---	---	---	5.202	---	---	---	
08/02/2016	14:02:09	623		7.288	---	---	---	20	---	---	---	1018.28	55.279	---	---	---	22.036	---	---	---	176.575	---	---	---	5.21	---	---	---	
08/02/2016	14:02:10	624		7.2819	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.046	---	---	---	176.609	---	---	---	5.204	---	---	---	
08/02/2016	14:02:11	625		7.2785	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.051	---	---	---	176.639	---	---	---	5.208	---	---	---	
08/02/2016	14:02:12	626		7.2768	---	---	---	20	---	---	---	1018.23	55.279	---	---	---	22.054	---	---	---	176.659	---	---	---	5.214	---	---	---	
08/02/2016	14:02:13	627		7.2847	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.042	---	---	---	176.692	---	---	---	5.2	---	---	---	
08/02/2016	14:02:14	628		7.2883	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.036	---	---	---	176.71	---	---	---	5.213	---	---	---	
08/02/2016	14:02:15	629		7.2886	---	---	---	20	---	---	---	1018.31	55.279	---	---	---	22.036	---	---	---	176.745	---	---	---	5.221	---	---	---	
08/02/2016	14:02:16	630		7.2841	---	---	---	20	---	---	---	1018.32	55.279	---	---	---	22.043	---	---	---	176.761	---	---	---	5.214	---	---	---	
08/02/2016	14:02:17	631		7.2809	---	---	---	20	---	---	---	1018.32	55.279	---	---	---	22.048	---	---	---	176.764	---	---	---	5.209	---	---	---	
08/02/2016	14:02:18	632		7.2818	---	---	---	20	---	---	---	1018.29	55.279	---	---	---	22.046	---	---	---	176.761	---	---	---	5.206	---	---	---	
08/02/2016	14:02:19	633		7.2801	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.049	---	---	---	176.75	---	---	---	5.225	---	---	---	
08/02/2016	14:02:20	634		7.2788	---	---	---	20	---	---	---	1018.27	55.279	---	---	---	22.051	---	---	---	176.764	---	---	---	5.222	---	---	---	
08/02/2016	14:02:21	635		7.2828	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.045	---	---	---	176.753	---	---	---	5.229	---	---	---	
08/02/2016	14:02:22	636		7.286	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.04	---	---	---	176.772	---	---	---	5.218	---	---	---	
08/02/2016	14:02:23	637		7.2837	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.043	---	---	---	176.779	---	---	---	5.222	---	---	---	
08/02/2016	14:02:24	638		7.2729	---	---	---	20	---	---	---	1018.29	55.279	---	---	---	22.06	---	---	---	176.783	---	---	---	5.211	---	---	---	
08/02/2016	14:02:25	639		7.2731	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.06	---	---	---	176.79	---	---	---	5.215	---	---	---	
08/02/2016	14:02:26	640		7.2748	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.057	---	---	---	176.801	---	---	---	5.207	---	---	---	
08/02/2016	14:02:27	641		7.2835	---	---	---	20	---	---	---	1018.23	55.279	---	---	---	22.043	---	---	---	176.835	---	---	---	5.213	---	---	---	
08/02/2016	14:02:28	642		7.2786	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.051	---	---	---	176.843	---	---	---	5.198	---	---	---	
08/02/2016	14:02:29	643		7.2803	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.048	---	---	---	176.852	---	---	---	5.186	---	---	---	
08/02/2016	14:02:30	644		7.2697	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.065	---	---	---	176.863	---	---	---	5.186	---	---	---	
08/02/2016	14:02:31	645		7.2681	---	---	---	20	---	---	---	1018.22	55.279	---	---	---	22.068	---	---	---	176.91	---	---	---	5.21	---	---	---	
08/02/2016	14:02:32	646		7.264	---	---	---	20	---	---	---	1018.21	55.279	---	---	---	22.074	---	---	---	176.948	---	---	---	5.218	---	---	---	
08/02/2016	14:02:33	647		7.2653	---	---	---	20	---	---	---	1018.21	55.279	---	---	---	22.072	---	---	---	176.974	---	---	---	5.196	---	---	---	
08/02/2016	14:02:34	648		7.2624	---	---	---	20	---	---	---	1018.21	55.279	---	---	---	22.077	---	---	---	176.982	---	---	---	5.192	---	---	---	
08/02/2016	14:02:35	649		7.2647	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.073	---	---	---	176.984	---	---	---	5.181	---	---	---	
08/02/2016	14:02:36	650		7.2634	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.075	---	---	---	177.011	---	---	---	5.194	---	---	---	
08/02/2016	14:02:37	651		7.2624	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.077	---	---	---	177.024	---	---	---	5.174	---	---	---	
08/02/2016	14:02:38	652		7.256	---	---	---	20	---	---	---	1018.23	55.279	---	---	---	22.087	---	---	---	177.043	---	---	---	5.184	---	---	---	
08/02/2016	14:02:39	653		7.2552	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.088	---	---	---	177.029	---	---	---	5.175	---	---	---	
08/02/2016	14:02:40	654		7.2564	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.086	---	---	---	177.017	---	---	---	5.175	---	---	---	
08/02/2016	14:02:41	655		7.2615	---	---	---	20	---	---	---	1018.27	55.279	---	---	---	22.078	---	---	---	177.004	---	---	---	5.184	---	---	---	
08/02/2016	14:02:42	656		7.2662	---	---	---	20	---	---	---	1018.23	55.279	---	---	---	22.071	---	---	---	176.995	---	---	---	5.176	---	---	---	
08/02/2016	14:02:43	657		7.2706	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.064	---	---	---	176.976	---	---	---	5.175	---	---	---	
08/02/2016	14:02:44	658		7.2721	---	---	---	20	---	---	---	1018.23	55.279	---	---	---	22.062	---	---	---	176.97	---	---	---	5.171	---	---	---	
08/02/2016	14:02:45	659		7.2717	---	---	---	20	---	---	---	1018.29	55.279	---	---	---	22.062	---	---	---	176.952	---	---	---	5.185	---	---	---	
08/02/2016	14:02:46	660		7.2736	---	---	---	20	---	---	---	1018.28	55.279	---	---	---	22.059	---	---	---	176.949	---	---	---	5.19	---	---	---	
08/02/2016	14:02:47	661		7.2704	---	---	---	20	---	---	---	1018.28	55.279	---	---	---	22.064	---	---	---	176.93	---	---	---	5.174	---	---	---	
08/02/2016	14:02:48	662		7.2674	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.069	---	---	---	176.955	---	---	---	5.175	---	---	---	
08/02/2016	14:02:49	663		7.2594	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.082	---	---	---	177.019	---	---	---	5.172	---	---	---	
08/02/2016	14:02:50	664		7.2516	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.094	---	---	---	177.12	---	---	---	5.191	---	---	---	
08/02/2016	14:02:51	665		7.2483	---	---	---	20	---	---	---	1018.22	55.279	---	---	---	22.099	---	---	---	177.222	---	---	---	5.178	---	---	---	
08/02/2016	14:02:52	666		7.2424	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.109	---	---	---	177.307	---	---	---	5.177	---	---	---	
08/02/2016	14:02:53	667		7.2389	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.114	---	---	---	177.38	---	---	---	5.157	---	---	---	
08/02/2016	14:02:54	668		7.2336	---	---	---	20	---	---	---	1018.27	55.279	---	---	---	22.123	---	---	---	177.411	---	---	---	5.164	---	---	---	
08/02/2016	14:02:55	669		7.2309	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.127	---	---	---	177.444	---	---	---	5.175	---	---	---	
08/02/2016	14:02:56	670		7.2313	---	---	---	20	---	---	---	1018.27	55.279	---	---	---	22.126	---	---	---	177.469	---	---	---	5.188	---	---	---	
08/02/2016	14:02:57	671		7.2309	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.127	---	---	---	177.515	---	---	---	5.2	---	---	---	
08/02/2016	14:02:58	672		7.2286	---	---	---	20	---	---	---	1018.27	55.279	---	---	---	22.13	---	---	---	177.534	---	---	---	5.21	---	---	---	
08/02/2016	14:02:59	673		7.2276	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.132	---	---	---	177.56	---	---	---	5.213	---	---	---	
08/02/2016	14:03:00	674		7.2202	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.144	---	---	---	177.55	---	---	---	5.202	---	---	---	
08/02/2016	14:03:01	675		7.2209	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.143	---	---	---	177.554	---	---	---	5.194	---	---	---	
08/02/2016	14:03:02	676		7.2228	---	---	---	20	---	---	---	1018.23	55.279	---	---	---	22.14	---	---	---	177.554	---	---	---	5.198	---	---	---	
08/02/2016	14:03:03	677		7.2263	---	---	---	20	---	---	---	1018.21	55.279	---	---	---	22.134	---	---	---	177.571	---	---	---	5.199	---	---	---	
08/02/2016	14:03:04	678		7.2255	---	---	---	20	---	---	---	1018.22	55.279	---	---	---	22.135	---	---	---	177.595	---	---	---	5.194	---	---	---	
08/02/2016	14:03:05	679		7.2205	---	---	---	20	---	---	---	1018.22	55.279	---	---	---	22.144	---	---	---	177.612	---	---	---	5.192	---	---	---	
08/02/2016	14:03:06	680		7.218	---	---	---	20	---	---	---	1018.24	55.279	---	---	---	22.148	---	---	---	177.656	---	---	---	5.192	---	---	---	
08/02/2016	14:03:07	681		7.2153	---	---	---	20	---	---	---	1018.25	55.279	---	---	---	22.152	---	---	---	177.701	---	---	---	5.188	---	---	---	
08/02/2016	14:03:08	682		7.21	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.16	---	---	---	177.731	---	---	---	5.176	---	---	---	
08/02/2016	14:03:09	683		7.2056	---	---	---	20	---	---	---	1018.27	55.279	---	---	---	22.167	---	---	---	177.76	---	---	---	5.191	---	---	---	
08/02/2016	14:03:10	684		7.2019	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.173	---	---	---	177.78	---	---	---	5.215	---	---	---	
08/02/2016	14:03:11	685		7.2021	---	---	---	20	---	---	---	1018.23	55.279	---	---	---	22.173	---	---	---	177.83	---	---	---	5.236	---	---	---	
08/02/2016	14:03:12	686		7.2025	---	---	---	20	---	---	---	1018.21	55.279	---	---	---	22.172	---	---	---	177.874	---	---	---	5.23	---	---	---	
08/02/2016	14:03:13	687		7.2	---	---	---	20	---	---	---	1018.18	55.289	---	---	---	22.176	---	---	---	177.893	---	---	---	5.225	---	---	---	
08/02/2016	14:03:14	688		7.1994	---	---	---	20	---	---	---	1018.2	55.299	---	---	---	22.177	---	---	---	177.892	---	---	---	5.207	---	---	---	
08/02/2016	14:03:15	689		7.2015	---	---	---	20	---	---	---	1018.22	55.299	---	---	---	22.174	---	---	---	177.862	---	---	---	5.215	---	---	---	
08/02/2016	14:03:16	690		7.2017	---	---	---	20	---	---	---	1018.24	55.299	---	---	---	22.174	---	---	---	177.859	---	---	---	5.214	---	---	---	
08/02/2016	14:03:17	691		7.2015	---	---	---	20	---	---	---	1018.24	55.289	---	---	---	22.174	---	---	---	177.858	---	---	---	5.203	---	---	---	
08/02/2016	14:03:18	692		7.1944	---	---	---	20	---	---	---	1018.25	55.289	---	---	---	22.185	---	---	---	177.88	---	---	---	5.181	---	---	---	
08/02/2016	14:03:19	693		7.1969	---	---	---	20	---	---	---	1018.26	55.279	---	---	---	22.181	---	---	---	177.881	---	---	---	5.167	---	---	---	
08/02/2016	14:03:20	694		7.1956	---	---	---	20	---	---	---	1018.28	55.279	---	---	---	22.183	---	---	---	177.891	---	---	---	5.193	---	---	---	
08/02/2016	14:03:21	695		7.2015	---	---	---	20	---	---	---	1018.24	55.289	---	---	---	22.174	---	---	---	177.901	---	---	---	5.196	---	---	---	
08/02/2016	14:03:22	696		7.198	---	---	---	20	---	---	---	1018.24	55.299	---	---	---	22.179	---	---	---	177.91	---	---	---	5.187	---	---	---	
08/02/2016	14:03:23	697		7.1961	---	---	---	20	---	---	---	1018.21	55.309	---	---	---	22.182	---	---	---	177.927	---	---	---	5.181	---	---	---	
08/02/2016	14:03:24	698		7.195	---	---	---	20	---	---	---	1018.23	55.309	---	---	---	22.184	---	---	---	177.942	---	---	---	5.2	---	---	---	
08/02/2016	14:03:25	699		7.1907	---	---	---	20	---	---	---	1018.22	55.309	---	---	---	22.191	---	---	---	177.992	---	---	---	5.221	---	---	---	
08/02/2016	14:03:26	700		7.1865	---	---	---	20	---	---	---	1018.22	55.309	---	---	---	22.198	---	---	---	178.03	---	---	---	5.213	---	---	---	
08/02/2016	14:03:27	701		7.1805	---	---	---	20	---	---	---	1018.22	55.309	---	---	---	22.208	---	---	---	178.076	---	---	---	5.213	---	---	---	
08/02/2016	14:03:28	702		7.1792	---	---	---	20	---	---	---	1018.21	55.309	---	---	---	22.21	---	---	---	178.095	---	---	---	5.222	---	---	---	
08/02/2016	14:03:29	703		7.1763	---	---	---	20	---	---	---	1018.22	55.309	---	---	---	22.214	---	---	---	178.145	---	---	---	5.248	---	---	---	
08/02/2016	14:03:30	704		7.1745	---	---	---	20	---	---	---	1018.21	55.309	---	---	---	22.217	---	---	---	178.179	---	---	---	5.227	---	---	---	
08/02/2016	14:03:31	705		7.1753	---	---	---	20	---	---	---	1018.22	55.309	---	---	---	22.215	---	---	---	178.224	---	---	---	5.215	---	---	---	
08/02/2016	14:03:32	706		7.1753	---	---	---	20	---	---	---	1018.21	55.309	---	---	---	22.215	---	---	---	178.245	---	---	---	5.194	---	---	---	
08/02/2016	14:03:33	707		7.1718	---	---	---	20	---	---	---	1018.23	55.309	---	---	---	22.221	---	---	---	178.265	---	---	---	5.211	---	---	---	
08/02/2016	14:03:34	708		7.1645	---	---	---	20	---	---	---	1018.23	55.309	---	---	---	22.233	---	---	---	178.294	---	---	---	5.202	---	---	---	
08/02/2016	14:03:35	709		7.1579	---	---	---	20	---	---	---	1018.22	55.309	---	---	---	22.244	---	---	---	178.303	---	---	---	5.206	---	---	---	
08/02/2016	14:03:36	710		7.1562	---	---	---	20	---	---	---	1018.24	55.309	---	---	---	22.247	---	---	---	178.345	---	---	---	5.204	---	---	---	
08/02/2016	14:03:37	711		7.1589	---	---	---	20	---	---	---	1018.26	55.309	---	---	---	22.242	---	---	---	178.368	---	---	---	5.211	---	---	---	
08/02/2016	14:03:38	712		7.1627	---	---	---	20	---	---	---	1018.28	55.309	---	---	---	22.236	---	---	---	178.402	---	---	---	5.228	---	---	---	
08/02/2016	14:03:39	713		7.1602	---	---	---	20	---	---	---	1018.26	55.309	---	---	---	22.24	---	---	---	178.424	---	---	---	5.232	---	---	---	
08/02/2016	14:03:40	714		7.1554	---	---	---	20	---	---	---	1018.26	55.309	---	---	---	22.248	---	---	---	178.438	---	---	---	5.205	---	---	---	
08/02/2016	14:03:41	715		7.1519	---	---	---	20	---	---	---	1018.26	55.309	---	---	---	22.254	---	---	---	178.467	---	---	---	5.183	---	---	---	
08/02/2016	14:03:42	716		7.1503	---	---	---	20	---	---	---	1018.25	55.309	---	---	---	22.256	---	---	---	178.484	---	---	---	5.181	---	---	---	
08/02/2016	14:03:43	717		7.1492	---	---	---	20	---	---	---	1018.21	55.309	---	---	---	22.258	---	---	---	178.517	---	---	---	5.219	---	---	---	
08/02/2016	14:03:44	718		7.1457	---	---	---	20	---	---	---	1018.2	55.309	---	---	---	22.264	---	---	---	178.537	---	---	---	5.234	---	---	---	
08/02/2016	14:03:45	719		7.1403	---	---	---	20	---	---	---	1018.2	55.309	---	---	---	22.272	---	---	---	178.549	---	---	---	5.226	---	---	---	
08/02/2016	14:03:46	720		7.1381	---	---	---	20	---	---	---	1018.21	55.309	---	---	---	22.276	---	---	---	178.595	---	---	---	5.212	---	---	---	
08/02/2016	14:03:47	721		7.1371	---	---	---	20	---	---	---	1018.25	55.309	---	---	---	22.277	---	---	---	178.628	---	---	---	5.189	---	---	---	
