"station" "r1" "r2" "r3" "r4"
"170" 170 89 85 85 84
"171" 171 86 86 84 84
"172" 172 79 75 75 74
"173" 173 135 124 120 114
"174" 174 149 132 120 120
"175" 175 127 109 107 95
"176" 176 119 105 103 103
"177" 177 97 96 91 88
"178" 178 104 97 95 94
"179" 179 138 130 124 123
"180" 180 112 107 105 102
"181" 181 111 110 107 105
"182" 182 137 111 110 109
"183" 183 138 123 121 118
"184" 184 121 114 108 105
"185" 185 108 106 99 97
"186" 186 141 121 118 110
"187" 187 118 116 113 96
"188" 188 119 108 101 101
"189" 189 120 116 111 107
"190" 190 116 105 102 93
"191" 191 90 82 79 78
"192" 192 97 94 93 93
"193" 193 109 98 95 93
"194" 194 98 92 83 82
"195" 195 130 120 117 111
"196" 196 105 102 101 96
"197" 197 104 101 100 100
"198" 198 102 95 91 91
"199" 199 81 81 80 78
"200" 200 90 81 80 77
"201" 201 90 88 82 80
"202" 202 88 81 78 77
"203" 203 111 110 100 92
"204" 204 109 96 95 92
"205" 205 88 78 77 77
"206" 206 93 92 90 86
"207" 207 98 93 89 84
"208" 208 86 86 85 80
"209" 209 101 84 80 75
"210" 210 94 88 80 80
"211" 211 99 99 96 88
"212" 212 108 99 87 83
"213" 213 85 83 83 79
"214" 214 83 76 74 74
"215" 215 85 84 81 75
"216" 216 82 80 79 76
"217" 217 82 80 78 78
"218" 218 80 79 78 78
"219" 219 84 81 78 77
"220" 220 107 99 97 96
"221" 221 111 102 100 98
"222" 222 97 90 88 83
"223" 223 70 66 65 65
"224" 224 79 71 68 68
"225" 225 75 74 74 73
"226" 226 109 98 86 84
"227" 227 89 84 84 81
"228" 228 97 94 92 90
"229" 229 112 103 93 90
"230" 230 95 92 85 84
"231" 231 84 83 82 80
"232" 232 100 97 81 81
"233" 233 93 85 82 76
"234" 234 95 88 84 79
"235" 235 99 99 92 87
"236" 236 89 84 83 83
"237" 237 83 77 77 77
"238" 238 83 82 81 78
"239" 239 98 87 87 84
"240" 240 67 63 61 59
"241" 241 56 54 53 53
"242" 242 100 79 79 75
"243" 243 125 120 116 106
"244" 244 115 107 102 97
"245" 245 117 108 103 99
"246" 246 128 120 119 117
"247" 247 113 108 106 104
"248" 248 106 100 98 97
"249" 249 120 120 108 106
"250" 250 111 110 106 105
"251" 251 108 107 107 103
"252" 252 115 107 107 106
"253" 253 107 103 103 102
"254" 254 117 115 114 107
"255" 255 123 111 111 95
"256" 256 105 102 101 98
"257" 257 150 131 117 113
"258" 258 100 95 92 89
"259" 259 91 88 77 77
"260" 260 101 98 91 89
"261" 261 110 104 96 96
"262" 262 100 95 89 88
"263" 263 77 76 75 73
"264" 264 100 99 93 90
"265" 265 84 82 76 74
"266" 266 83 81 78 77
"267" 267 126 117 115 113
"268" 268 92 89 88 88
"269" 269 102 100 97 96
"270" 270 138 132 125 123
"271" 271 86 81 81 78
"272" 272 119 114 113 106
"273" 273 118 113 110 98
"274" 274 84 82 82 81
"275" 275 88 87 86 83
"276" 276 90 89 87 82
"277" 277 100 100 99 97
"278" 278 93 89 86 81
"279" 279 83 80 79 78
"280" 280 79 78 76 75
"281" 281 85 84 82 80
"282" 282 86 86 85 84
"283" 283 92 85 81 80
"284" 284 98 97 96 95
"285" 285 95 92 91 90
"286" 286 94 92 87 86
"287" 287 93 89 89 86
"288" 288 105 94 93 93
"289" 289 90 83 79 78
"290" 290 91 89 87 84
"291" 291 98 97 93 90
"292" 292 103 102 94 93
"293" 293 87 84 84 83
"294" 294 86 83 82 80
"295" 295 100 99 93 92
"296" 296 102 100 98 98
"297" 297 104 102 100 99
"298" 298 89 88 86 84
"299" 299 87 85 81 80
"300" 300 87 86 85 82
"301" 301 99 94 94 93
"302" 302 90 87 87 85
"303" 303 80 76 71 71
"304" 304 85 85 84 83
"305" 305 109 107 106 105
"306" 306 110 99 95 95
"307" 307 107 103 102 102
"308" 308 112 91 89 87
"309" 309 98 94 87 83
"310" 310 91 90 88 88
"311" 311 120 103 98 98
"312" 312 99 91 90 90
"313" 313 98 96 96 93
"314" 314 117 95 94 93
"315" 315 71 70 69 66
"316" 316 114 104 104 97
"317" 317 115 99 97 96
"318" 318 84 80 76 76
"319" 319 105 97 95 95
"320" 320 78 76 74 73
"321" 321 90 87 85 84
"322" 322 96 93 91 90
"323" 323 95 90 90 88
"324" 324 104 103 100 92
"325" 325 96 94 86 86
"326" 326 106 102 92 92
"327" 327 105 102 91 89
"328" 328 101 100 93 88
"329" 329 105 103 96 96
"330" 330 89 88 87 87
"331" 331 81 79 79 76
"332" 332 88 87 82 82
"333" 333 96 96 91 82
"334" 334 102 94 92 88
"335" 335 97 91 89 86
"336" 336 89 88 87 84
"337" 337 108 105 93 91
"338" 338 104 96 92 91
"339" 339 106 103 99 93
"340" 340 93 92 85 81
"341" 341 98 98 97 86
"342" 342 94 83 83 78
"343" 343 106 90 89 88
"344" 344 108 108 98 94
"345" 345 89 85 85 85
"346" 346 88 87 81 81
"347" 347 88 86 85 83
"348" 348 99 96 93 93
"349" 349 92 90 88 88
"350" 350 89 87 87 86
"351" 351 95 82 80 79
"352" 352 85 84 83 80
"353" 353 102 98 91 85
"354" 354 101 92 86 85
"355" 355 94 93 91 90
"356" 356 99 92 91 85
"357" 357 97 97 91 89
"358" 358 98 92 89 88
"359" 359 106 90 89 89
"360" 360 97 93 91 89
"361" 361 95 93 91 87
"362" 362 91 90 86 85
"363" 363 99 87 86 86
"364" 364 90 86 86 84
"365" 365 90 86 85 82
"366" 366 98 90 87 85
"367" 367 94 89 89 82
"368" 368 99 95 94 91
"369" 369 100 100 93 92
"370" 370 97 92 91 91
"371" 371 73 64 61 60
"372" 372 111 104 101 94
"373" 373 97 90 90 85
"374" 374 97 89 84 84
"375" 375 103 90 88 84
"376" 376 91 87 81 81
"377" 377 103 100 100 87
"378" 378 112 105 96 91
"379" 379 100 99 98 97
"380" 380 115 108 106 89
"381" 381 118 113 110 109
"382" 382 102 91 89 86
"383" 383 93 90 88 83
"384" 384 91 88 86 86
"385" 385 105 97 93 90
"386" 386 118 105 103 96
"387" 387 108 100 98 96
"388" 388 127 113 102 102
"389" 389 112 98 97 93
"390" 390 117 110 109 94
"391" 391 106 104 100 99
"392" 392 110 107 99 99
"393" 393 103 100 94 84
"394" 394 106 106 93 93
"395" 395 118 115 106 102
"396" 396 81 80 78 77
"397" 397 98 94 89 87
"398" 398 103 101 98 92
"399" 399 100 91 88 88
"400" 400 94 87 86 86
"401" 401 122 118 107 102
"402" 402 95 91 90 86
"403" 403 113 103 102 101
"404" 404 85 82 80 80
"405" 405 105 103 103 96
"406" 406 80 78 77 76
"407" 407 62 61 60 59
"408" 408 99 98 94 92
"409" 409 87 81 79 79
"410" 410 119 114 108 108
"411" 411 103 99 94 93
"412" 412 101 94 91 90
"413" 413 81 75 69 67
"414" 414 104 99 97 96
"415" 415 119 116 102 102
"416" 416 82 76 75 75
"417" 417 102 102 94 94
"418" 418 108 108 103 100
"419" 419 104 102 99 89
"420" 420 98 96 88 85
"421" 421 109 108 92 88
"422" 422 103 103 97 95
"423" 423 86 79 79 79
"424" 424 94 94 92 90
"425" 425 93 89 88 87
"426" 426 97 87 86 85
"427" 427 84 82 79 74
"428" 428 72 70 62 62
"429" 429 93 91 88 83
"430" 430 94 94 93 91
"431" 431 99 97 92 90
"432" 432 84 83 81 79
"433" 433 92 86 86 85
"434" 434 88 84 80 79
"435" 435 83 83 81 80
"436" 436 90 89 85 82
"437" 437 100 98 89 89
"438" 438 96 90 84 83
"439" 439 69 69 69 68
"440" 440 94 89 89 89
"441" 441 86 85 84 82
"442" 442 74 73 73 72
"443" 443 91 87 83 81
"444" 444 87 87 86 84
"445" 445 111 107 101 99
"446" 446 85 79 79 78
"447" 447 94 87 85 84
"448" 448 104 99 99 98
"449" 449 100 83 83 83
"450" 450 93 89 85 83
"451" 451 90 88 88 87
"452" 452 94 92 90 89
"453" 453 87 87 85 82
"454" 454 107 102 99 98
"455" 455 112 100 95 94
"456" 456 109 97 97 97
"457" 457 88 81 81 79
"458" 458 94 91 86 86
"459" 459 109 97 92 91
"460" 460 97 97 96 94
"461" 461 96 89 85 85
"462" 462 107 97 92 89
"463" 463 98 93 90 89
"464" 464 93 92 90 82
"465" 465 93 91 89 89
"466" 466 111 110 103 100
"467" 467 104 103 96 92
"468" 468 111 96 96 93
"469" 469 98 89 86 85
"470" 470 104 93 92 92
"471" 471 92 88 87 87
"472" 472 98 92 84 82
"473" 473 126 114 110 94
"474" 474 103 95 93 92
"475" 475 111 107 103 101
"476" 476 94 92 91 91
"477" 477 88 85 81 80
"478" 478 113 102 90 89
"479" 479 118 108 105 94
"480" 480 105 96 91 81
"481" 481 95 88 88 83
"482" 482 94 93 90 89
"483" 483 124 104 103 100
"484" 484 104 102 99 98
"485" 485 83 82 82 80
"486" 486 96 93 89 85
"487" 487 96 93 89 85
"488" 488 88 87 83 81
"489" 489 90 86 86 83
"490" 490 100 92 86 86
"491" 491 89 86 85 84
"492" 492 98 93 92 92
"493" 493 90 83 82 82
"494" 494 109 106 105 85
"495" 495 103 101 99 98
"496" 496 101 100 99 91
"497" 497 98 94 93 88
"498" 498 109 108 92 86
"499" 499 94 83 79 77
"500" 500 105 86 83 81
"501" 501 100 87 85 84
"502" 502 87 86 77 77
"503" 503 95 94 90 83
"504" 504 86 82 81 78
"505" 505 94 92 92 86
"506" 506 110 95 85 83
"507" 507 120 103 102 92
"508" 508 105 103 98 88
"509" 509 111 107 97 96
"510" 510 121 100 100 99
"511" 511 81 78 76 75
"512" 512 91 89 86 85
"513" 513 92 89 82 81
