"group"	"year"	"y"	"x"
"81"	18	1995	0	1.65992478001863
"82"	18	1996	0	-1.23249419312924
"83"	18	1997	1	1.96041762642562
"84"	19	1991	1	-0.212949361652136
"85"	20	1991	0	1.16897476743907
"86"	20	1992	0	0.317348620854318
"87"	20	1993	0	-0.477397665381432
"88"	20	1994	1	0.587572255171835
"89"	21	1991	1	1.10941833071411
"90"	22	1991	0	-0.908610626123846
"91"	22	1992	0	0.85743820015341
"92"	22	1993	0	1.73778696544468
"93"	22	1994	1	1.82622556760907
"94"	23	1991	0	-1.43982196599245
"95"	23	1992	0	-1.15687563084066
"96"	23	1993	0	-0.669271570630372
"97"	23	1994	0	1.54635361861438
"98"	23	1995	0	-0.413656658492982
"99"	23	1996	1	1.33151216618717
"100"	24	1991	0	0.199695560149848
"101"	24	1992	0	-0.011635827831924
"102"	24	1993	0	0.493607457727194
"103"	24	1994	0	-1.94159676600248
"104"	24	1995	0	-0.208747375756502
"105"	24	1996	0	1.07304181996733
"106"	24	1997	0	-0.68496341817081
"107"	24	1998	0	-1.20784691441804
"108"	24	1999	1	0.86902205273509
"109"	25	1991	0	-0.190112895332277
"110"	25	1992	0	-0.984805167652667
"111"	25	1993	0	-0.742593700997531
"112"	25	1994	1	1.08141560014337
"113"	26	1991	0	-0.788994911126792
"114"	26	1992	0	-1.18612449988723
"115"	26	1993	0	-0.702635009773076
"116"	26	1994	0	-1.74672999512404
"117"	26	1995	0	1.10056358762085
"118"	26	1996	1	0.110558608546853
"119"	27	1991	0	0.326125589199364
"120"	27	1992	0	1.21390621457249
"121"	27	1993	0	-1.02399882022291
"122"	27	1994	0	0.747912147082388
"123"	27	1995	0	-0.832105901092291
"124"	27	1996	1	1.33017127588391
"125"	28	1991	0	-1.47717619966716
"126"	28	1992	0	-1.89186361059546
"127"	28	1993	1	-0.332476120442152
"128"	29	1991	1	1.97882379498333
"129"	30	1991	0	0.726112715899944
"130"	30	1992	0	1.01573976315558
"131"	30	1993	0	1.63379251584411
"132"	30	1994	0	-0.107203350402415
"133"	30	1995	0	-0.475419092923403
"134"	30	1996	0	-1.06863034982234
"135"	30	1997	0	-1.59505089279264
"136"	30	1998	1	-0.243902467191219
"137"	31	1991	0	-1.37121331039816
"138"	31	1992	0	-0.989456838928163
"139"	31	1993	0	-0.973914824426174
"140"	31	1994	0	-1.90623004920781
"141"	31	1995	0	-0.109175218269229
"142"	31	1996	1	0.907461165450513
"143"	32	1991	0	1.99091036245227
"144"	32	1992	0	-0.586382341571152
"145"	32	1993	1	1.45138951390982
"146"	33	1991	0	-0.990774766542017
"147"	33	1992	1	1.8207204984501
"148"	34	1991	0	-1.7407300202176
"149"	34	1992	1	1.26791511569172
"150"	35	1991	0	-1.90079284925014
"151"	35	1992	0	-1.8774433452636
"152"	35	1993	1	1.40241641458124
"153"	36	1991	0	0.126046269200742
"154"	36	1992	0	1.99487546551973
"155"	36	1993	0	-0.355456533841789
"156"	36	1994	0	-1.58191746100783
"157"	36	1995	0	-0.913777953013778
"158"	36	1996	0	-0.854283572174609
"159"	36	1997	0	-0.836405017413199
"160"	36	1998	0	-1.28918125946075
"161"	36	1999	0	-1.85213937237859
"162"	36	2000	0	0.810376668348908
"163"	36	2001	0	0.484344569034874
"164"	36	2002	0	0.381080222316086
"165"	36	2003	0	1.8753726053983
"166"	36	2004	0	1.37148574367166
"167"	36	2005	0	-1.98304917756468
"168"	36	2006	0	0.329558670520782
"169"	36	2007	0	-0.831155566498637
"170"	36	2008	0	-0.0669345306232572
"171"	36	2009	0	-0.764913938008249
"172"	36	2010	1	1.91033886093646
"173"	37	1991	0	-0.476485495455563
"174"	37	1992	1	0.376777425408363
"175"	38	1991	0	0.926746495068073
"176"	38	1992	0	-0.798307623714209
"177"	38	1993	0	-1.27132619172335
"178"	38	1994	0	-1.81775412429124
"179"	38	1995	0	1.62256456632167
"180"	38	1996	0	0.572626481764019
"181"	38	1997	0	-1.73117622919381
"182"	38	1998	0	-1.75115048140287
"183"	38	1999	0	-1.44174240715802
"184"	38	2000	0	-1.27237894944847
"185"	38	2001	0	0.85864288546145
"186"	38	2002	0	-0.473812182433903
"187"	38	2003	0	-1.30921219382435
"188"	38	2004	0	-1.97730967774987
"189"	38	2005	0	-0.710655737668276
"190"	38	2006	1	1.96276207547635
"191"	39	1991	1	-1.05935450922698
"192"	40	1991	0	-1.23576270323247
"193"	40	1992	1	1.09332758747041
"194"	41	1991	0	1.66819032840431
"195"	41	1992	0	1.98517793044448
"196"	41	1993	0	0.0684908227995038
"197"	41	1994	0	-0.930861564353108
"198"	41	1995	0	-0.467482437379658
"199"	41	1996	0	-1.05846412293613
"200"	41	1997	0	1.91638260614127
"201"	41	1998	0	-1.54099727608263
"202"	41	1999	1	1.1907972311601
"203"	42	1991	0	1.43618928268552
"204"	42	1992	0	-1.03341010026634
"205"	42	1993	0	1.81697184313089
"206"	42	1994	0	-1.54252929054201
"207"	42	1995	0	0.978611378930509
"208"	42	1996	0	0.193212060257792
"209"	42	1997	0	-0.697550909593701
"210"	42	1998	0	-1.6198067329824
"211"	42	1999	0	1.56203126814216
"212"	42	2000	0	-0.900962158106267
"213"	42	2001	0	-0.708833707496524
"214"	42	2002	0	-0.65235866419971
"215"	42	2003	0	-0.635100566782057
"216"	42	2004	1	0.694694737903774
"217"	43	1991	0	1.15363933518529
"218"	43	1992	1	1.61024617310613
"219"	44	1991	0	1.6159606706351
"220"	44	1992	1	1.44286129437387
"221"	45	1991	0	1.76843183860183
"222"	45	1992	0	1.42106836289167
"223"	45	1993	0	1.28741790167987
"224"	45	1994	0	-0.230710706673563
"225"	45	1995	0	-0.165528395213187
"226"	45	1996	1	-0.991206497885287
"227"	46	1991	0	-1.25944440346211
"228"	46	1992	0	1.3721970571205
"229"	46	1993	0	-1.79194312728941
"230"	46	1994	0	-0.385567896999419
"231"	46	1995	0	-0.183201297186315
"232"	46	1996	0	-1.93133829254657
"233"	46	1997	0	-1.31317028496414
"234"	46	1998	0	0.868562353774905
"235"	46	1999	0	-1.80418287217617
"236"	46	2000	0	-1.64660512190312
"237"	46	2001	0	0.650119179859757
"238"	46	2002	0	-1.4234221894294
"239"	46	2003	0	1.15906029660255
"240"	46	2004	1	-1.33531303610653
"241"	47	1991	1	0.57358765322715
"242"	48	1991	0	0.16951026301831
"243"	48	1992	0	0.739014994353056
"244"	48	1993	0	-1.00213057827204
"245"	48	1994	0	-1.66652530990541
"246"	48	1995	0	-1.80948169063777
"247"	48	1996	0	-0.850438410416245
"248"	48	1997	0	-0.897302467375994
"249"	48	1998	0	-1.61824207846075
"250"	48	1999	0	1.79388263169676
"251"	48	2000	0	-0.778489331714809
"252"	48	2001	0	0.793141325004399
"253"	48	2002	0	0.525590466335416
"254"	48	2003	0	1.8400089526549
"255"	48	2004	0	1.30847181379795
"256"	48	2005	0	-0.349273230880499
"257"	48	2006	0	-1.30078000947833
"258"	48	2007	0	1.13805249147117
"259"	48	2008	0	-0.347792409360409
"260"	48	2009	0	1.06487671192735
"261"	48	2010	0	0.510670497082174
"262"	48	2011	0	-0.812155431136489
"263"	48	2012	0	-1.86932876519859
"264"	48	2013	0	0.312883918173611
"265"	48	2014	0	0.699348884634674
"266"	48	2015	0	-1.37320529017597
"267"	48	2016	0	0.126235571689904
"268"	48	2017	0	-0.0260794516652822
"269"	48	2018	0	-1.27159530948848
"270"	48	2019	0	-0.443955395370722
"271"	48	2020	0	1.86144677642733
"272"	48	2021	0	0.732814549468458
"273"	48	2022	0	0.698245351202786
"274"	48	2023	0	1.16683334950358
"275"	48	2024	0	1.95711563806981
"276"	48	2025	0	0.304411163553596
"277"	48	2026	0	-1.54492465034127
"278"	48	2027	0	-1.38058822322637
"279"	48	2028	0	-1.69236884918064
"280"	48	2029	0	0.52533320337534
"281"	48	2030	0	-0.502947209402919
"282"	48	2031	0	-1.62944523245096
"283"	48	2032	0	1.84198679961264
"284"	48	2033	0	-0.627359339036047
"285"	48	2034	0	-1.55362094286829
"286"	48	2035	0	-0.246916061267257
"287"	48	2036	0	-1.42171385511756
"288"	48	2037	0	0.300107219256461
"289"	48	2038	0	1.78768567182124
"290"	48	2039	0	-0.629194471053779
"291"	48	2040	0	-1.18084275349975
"292"	48	2041	0	-0.199838237836957
"293"	48	2042	0	-0.832664265297353
"294"	48	2043	0	0.121909159235656
"295"	48	2044	0	-0.790722105652094
"296"	48	2045	0	0.114802655763924
"297"	48	2046	0	0.918853930197656
"298"	48	2047	0	-1.50714537408203
"299"	48	2048	0	1.06827066186816
"300"	48	2049	1	1.35048207454383
"301"	49	1991	0	1.73352911695838
"302"	49	1992	1	1.97047351207584
"303"	50	1991	0	-0.175315229222178
"304"	50	1992	0	1.86317020654678
"305"	50	1993	0	-0.476071222685277
"306"	50	1994	0	0.854132276959717
"307"	50	1995	1	1.7784737739712
"308"	51	1991	1	1.47889849171042
"309"	52	1991	1	-0.221605106256902
"310"	53	1991	1	0.871279626153409
"311"	54	1991	0	-0.453197117894888
"312"	54	1992	0	-1.80292967427522
"313"	54	1993	0	-1.89195746649057
"314"	54	1994	0	-0.987768816761672
"315"	54	1995	0	-1.87562512606382
"316"	54	1996	0	1.34223614260554
"317"	54	1997	1	1.1349763404578
"318"	55	1991	0	-1.3283524941653
"319"	55	1992	0	-1.87819671630859
"320"	55	1993	0	-1.2723206654191
"321"	55	1994	0	0.776157285086811
"322"	55	1995	0	-1.92129491921514
"323"	55	1996	0	1.25241256691515
"324"	55	1997	0	0.961111321114004
"325"	55	1998	1	1.16036452539265
"326"	56	1991	0	0.503876307047904
"327"	56	1992	1	1.59990214463323
"328"	57	1991	1	1.99643486738205
"329"	58	1991	1	-0.463077424094081
"330"	59	1991	1	-0.327534344047308
"331"	60	1991	1	-0.880866822786629
"332"	61	1991	0	1.69947319477797
"333"	61	1992	0	0.44224641378969
"334"	61	1993	0	-0.582507559098303
"335"	61	1994	0	0.315173769369721
"336"	61	1995	0	-1.40248093008995
"337"	61	1996	0	0.510031918995082
"338"	61	1997	0	-1.35549437440932
"339"	61	1998	0	1.84545339550823
"340"	61	1999	0	-0.141936311498284
"341"	61	2000	0	0.525451866909862
"342"	61	2001	0	-1.78326650056988
"343"	61	2002	0	0.0312419198453426
"344"	61	2003	1	1.92555629555136
"345"	62	1991	0	1.09232013858855
"346"	62	1992	0	-0.283524838276207
"347"	62	1993	1	1.59999899100512
"348"	63	1991	0	-0.435228672809899
"349"	63	1992	0	-1.80855156667531
"350"	63	1993	0	-1.76764390524477
"351"	63	1994	0	1.04839694872499
"352"	63	1995	0	0.390344813466072
"353"	63	1996	0	-0.706753592938185
"354"	63	1997	0	0.237182136625051
"355"	63	1998	0	0.997604483738542
"356"	63	1999	0	-1.80832747928798
"357"	63	2000	0	-0.944131541065872
"358"	63	2001	0	-1.50072816479951
"359"	63	2002	0	-1.0816390151158
"360"	63	2003	0	-1.86139307077974
"361"	63	2004	0	-1.77881424780935
"362"	63	2005	0	1.5097946440801
"363"	63	2006	0	-1.37945035472512
"364"	63	2007	0	-1.89695097785443
"365"	63	2008	0	0.511259358376265
"366"	63	2009	0	1.61039284802973
"367"	63	2010	0	-1.45723992120475
"368"	63	2011	0	-1.54056153912097
"369"	63	2012	0	-1.80693124048412
"370"	63	2013	1	1.97953122109175
"371"	64	1991	0	-1.71818936709315
"372"	64	1992	0	-1.63804111257195
"373"	64	1993	0	0.275303854607046
"374"	64	1994	0	0.0102212419733405
"375"	64	1995	0	-0.497372369281948
"376"	64	1996	0	-0.715217592194676
"377"	64	1997	0	0.0780342007055879
"378"	64	1998	0	1.79475196264684
"379"	64	1999	0	0.639998501166701
"380"	64	2000	0	-1.85647380445153
"381"	64	2001	0	1.6831004107371
"382"	64	2002	0	-1.64867416303605
"383"	64	2003	0	1.98686750419438
"384"	64	2004	0	0.246732957661152
"385"	64	2005	0	1.08807997405529
"386"	64	2006	0	-1.67349501140416
"387"	64	2007	0	0.490332934074104
"388"	64	2008	0	0.831309286877513
"389"	64	2009	0	0.10486254375428
"390"	64	2010	0	-0.594494044780731
"391"	64	2011	0	0.200855977833271
"392"	64	2012	0	-1.89160724543035
"393"	64	2013	0	-0.180380021221936
"394"	64	2014	0	0.838107674382627
"395"	64	2015	0	-1.46811894513667
"396"	64	2016	1	1.13143466133624
"397"	65	1991	0	-1.74758087657392
"398"	65	1992	0	-0.679757203906775
"399"	65	1993	1	1.59883952792734
"400"	66	1991	0	-0.058566702529788
"401"	66	1992	0	1.80731074605137
"402"	66	1993	1	1.81810546386987
"403"	67	1991	0	0.328519189730287
"404"	67	1992	1	-1.00258442293853
"405"	68	1991	0	-1.07109278719872
"406"	68	1992	0	-0.836682628840208
"407"	68	1993	0	-1.59939974639565
"408"	68	1994	0	1.5795586258173
"409"	68	1995	0	-1.11243645939976
"410"	68	1996	0	0.805305971764028
"411"	68	1997	0	-1.21485540736467
"412"	68	1998	0	1.86512374132872
"413"	68	1999	0	-0.624110206030309
"414"	68	2000	0	0.565788988023996
"415"	68	2001	0	-1.13994480855763
"416"	68	2002	0	-0.0553260892629623
"417"	68	2003	0	-0.904634745791554
"418"	68	2004	0	-0.185063392855227
"419"	68	2005	0	-0.22914766240865
"420"	68	2006	0	-0.6760334065184
"421"	68	2007	0	-1.89689010754228
"422"	68	2008	0	-1.79652603901923
"423"	68	2009	0	1.36437076888978
"424"	68	2010	0	-0.107910341583192
"425"	68	2011	0	-1.4153637252748
"426"	68	2012	0	-1.7649802332744
"427"	68	2013	0	-1.64212242420763
"428"	68	2014	0	1.41367303486913
"429"	68	2015	1	0.947077270597219
"430"	69	1991	0	0.227349810302258
"431"	69	1992	0	0.102183086797595
"432"	69	1993	0	-0.4237290173769
"433"	69	1994	0	1.60335864219815
"434"	69	1995	0	-0.422599166631699
"435"	69	1996	0	0.413390985690057
"436"	69	1997	1	-0.759369599632919
"437"	70	1991	1	0.183145725168288
"438"	71	1991	0	0.603694532997906
"439"	71	1992	0	-0.964165434241295
"440"	71	1993	1	-0.486850806511939
"441"	72	1991	0	-0.737697079777718
"442"	72	1992	0	0.712783325463533
"443"	72	1993	0	1.1519790077582
"444"	72	1994	0	-1.25872018653899
"445"	72	1995	1	0.344379710033536
"446"	73	1991	0	-0.847853679209948
"447"	73	1992	0	0.0342117669060826
"448"	73	1993	0	-0.0667187944054604
"449"	73	1994	0	-1.40869846846908
"450"	73	1995	0	-0.898402993567288
"451"	73	1996	0	1.81363846547902
"452"	73	1997	0	-1.34409843292087
"453"	73	1998	0	0.288831033743918
"454"	73	1999	0	0.61276890989393
"455"	73	2000	0	1.01880919933319
"456"	73	2001	0	1.22949892655015
"457"	73	2002	0	1.44704772438854
"458"	73	2003	0	0.736125435680151
"459"	73	2004	0	0.165967140346766
"460"	73	2005	0	-1.02497268840671
"461"	73	2006	0	1.12279819138348
"462"	73	2007	0	-0.111968544311821
"463"	73	2008	0	-0.570933694951236
"464"	73	2009	0	-0.982051331549883
"465"	73	2010	0	0.0761798350140452
"466"	73	2011	0	0.038785183802247
"467"	73	2012	1	1.23680957965553
"468"	74	1991	0	-1.88417200744152
"469"	74	1992	0	1.36309557780623
"470"	74	1993	0	-1.56190971005708
"471"	74	1994	0	-1.6510893907398
"472"	74	1995	0	0.632900262251496
"473"	74	1996	0	-0.622513295151293
"474"	74	1997	0	1.8723488394171
"475"	74	1998	0	-1.73624175507575
"476"	74	1999	0	0.686530852690339
"477"	74	2000	0	0.403915222734213
"478"	74	2001	0	0.295139351859689
"479"	74	2002	0	1.10020765569061
"480"	74	2003	0	1.39758638944477
"481"	74	2004	0	-0.473005673848093
"482"	74	2005	0	1.6081278976053
"483"	74	2006	0	1.6544729359448
"484"	74	2007	0	-0.0678242016583681
"485"	74	2008	0	0.64753339625895
"486"	74	2009	0	-0.549633103422821
"487"	74	2010	1	-0.0235525155439973
"488"	75	1991	0	-1.07268170360476
"489"	75	1992	0	-0.680419562384486
"490"	75	1993	0	0.331241652369499
"491"	75	1994	1	0.488523047417402
"492"	76	1991	0	0.884762667119503
"493"	76	1992	0	0.374631398357451
"494"	76	1993	0	0.221207400783896
"495"	76	1994	0	-1.87327061407268
"496"	76	1995	1	0.774668191559613
"497"	77	1991	0	-1.34192300401628
"498"	77	1992	0	-0.391802988015115
"499"	77	1993	1	1.75788851827383
"500"	78	1991	0	-1.59079552348703
"501"	78	1992	0	-0.629800944589078
"502"	78	1993	0	-0.51051106210798
"503"	78	1994	0	-0.999114320613444
"504"	78	1995	0	-0.753112640231848
"505"	78	1996	0	0.244704444892704
"506"	78	1997	1	1.33896379452199
"507"	79	1991	0	0.166605287231505
"508"	79	1992	1	1.20779991336167
"509"	80	1991	0	0.734159746207297
"510"	80	1992	0	0.346930869854987
"511"	80	1993	0	-0.875041867606342
"512"	80	1994	0	-0.173022202216089
"513"	80	1995	0	1.90809173416346
"514"	80	1996	0	-1.06455321609974
"515"	80	1997	0	1.25868791900575
"516"	80	1998	0	1.45186300389469
"517"	80	1999	1	1.26492021232843
"518"	81	1991	0	1.94421424996108
"519"	81	1992	0	0.382358521223068
"520"	81	1993	0	0.0570748168975115
"521"	81	1994	0	1.48144420329481
"522"	81	1995	0	-1.98298513982445
"523"	81	1996	0	-1.2776980670169
"524"	81	1997	0	-0.174204819835722
"525"	81	1998	0	0.148950723931193
"526"	81	1999	1	0.774137692525983
"527"	82	1991	0	-0.138317379169166
"528"	82	1992	0	-1.28020981978625
"529"	82	1993	0	-1.64794418402016
"530"	82	1994	0	-1.53357530198991
"531"	82	1995	0	-1.09033537376672
"532"	82	1996	0	-0.0314079318195581
"533"	82	1997	0	1.23175927437842
"534"	82	1998	0	-1.06336690206081
"535"	82	1999	1	1.59413853194565
"536"	83	1991	1	1.52732650563121
"537"	84	1991	0	0.21295281406492
"538"	84	1992	0	-0.366363301873207
"539"	84	1993	0	-0.738294272683561
"540"	84	1994	1	1.15718952473253
"541"	85	1991	1	-0.164572314359248
"542"	86	1991	0	1.65656596887857
"543"	86	1992	0	0.118680912069976
"544"	86	1993	0	1.12722327746451
"545"	86	1994	0	0.572252205573022
"546"	86	1995	0	-0.655921483412385
"547"	86	1996	1	1.80052113719285
"548"	87	1991	0	-1.96580603718758
"549"	87	1992	0	-0.903544513508677
"550"	87	1993	1	0.0328550562262535
"551"	88	1991	0	0.279182394966483
"552"	88	1992	0	-1.24553448241204
"553"	88	1993	1	1.08894306700677
"554"	89	1991	0	-1.28185942489654
"555"	89	1992	1	1.74296855740249
"556"	90	1991	0	-1.14607791323215
"557"	90	1992	1	1.64076113980263
"558"	91	1991	1	1.93975126929581
"559"	92	1991	0	0.932779566384852
"560"	92	1992	0	-0.071650736965239
"561"	92	1993	0	-1.77163791283965
"562"	92	1994	1	0.235788508318365
"563"	93	1991	0	-0.819444629363716
"564"	93	1992	0	-0.747199850156903
"565"	93	1993	0	-1.98842222057283
"566"	93	1994	1	-0.505144141614437
"567"	94	1991	0	-0.510897329077125
"568"	94	1992	0	-1.6792017519474
"569"	94	1993	0	-1.58964411448687
"570"	94	1994	0	0.310289396904409
"571"	94	1995	1	1.39792214985937
"572"	95	1991	1	0.968324393033981
"573"	96	1991	0	-1.75220977142453
"574"	96	1992	1	0.734549080021679
"575"	97	1991	0	0.694819999858737
"576"	97	1992	0	-1.95579500030726
"577"	97	1993	0	0.365222628228366
"578"	97	1994	0	-0.301847229711711
"579"	97	1995	0	-1.75194801110774
"580"	97	1996	0	-1.30754424445331
"581"	97	1997	0	0.0678311306983232
"582"	97	1998	0	1.59198605641723
"583"	97	1999	0	1.20226432569325
"584"	97	2000	0	1.14936506096274
"585"	97	2001	0	-1.17548093292862
"586"	97	2002	0	-1.95969891082495
"587"	97	2003	1	1.97325582709163
"588"	98	1991	0	0.407662142068148
"589"	98	1992	1	0.416889512911439
"590"	99	1991	1	-0.422024405561388
"591"	100	1991	0	1.58699542656541
"592"	100	1992	0	0.381476297043264
"593"	100	1993	1	0.493150429800153
"594"	101	1991	0	-1.85660529043525
"595"	101	1992	0	1.8748823069036
"596"	101	1993	0	0.576289991848171
"597"	101	1994	1	1.63462818879634
"598"	102	1991	0	1.32362364605069
"599"	102	1992	1	1.12451444659382
"600"	103	1991	0	0.913155926391482
"601"	103	1992	0	-0.0467355856671929
"602"	103	1993	1	0.968676163814962
"603"	104	1991	0	-1.92378490697592
"604"	104	1992	0	-1.02686784043908
"605"	104	1993	0	-0.275120581500232
"606"	104	1994	0	-1.68143189512193
"607"	104	1995	0	-1.33803692087531
"608"	104	1996	1	1.64853174611926
"609"	105	1991	1	1.80642195791006
"610"	106	1991	0	-0.847470250912011
"611"	106	1992	0	0.755897548981011
"612"	106	1993	0	1.41970916371793
"613"	106	1994	0	-1.44831089302897
"614"	106	1995	0	0.968491527251899
"615"	106	1996	0	-1.18118822388351
"616"	106	1997	0	1.12197392061353
"617"	106	1998	0	-1.20313519705087
"618"	106	1999	0	-1.43386926781386
"619"	106	2000	0	0.621244200505316
"620"	106	2001	0	0.266677232459188
"621"	106	2002	0	1.9565018909052
"622"	106	2003	1	-0.693147790618241
"623"	107	1991	0	0.469013238325715
"624"	107	1992	1	1.51280793640763
"625"	108	1991	0	-1.86349325533956
"626"	108	1992	1	1.08267663046718
"627"	109	1991	0	1.23281956091523
"628"	109	1992	1	1.44156069494784
"629"	110	1991	0	-0.410679260268807
"630"	110	1992	0	-0.152496325783432
"631"	110	1993	0	0.157260033302009
"632"	110	1994	1	0.928926949389279
"633"	111	1991	1	1.41816542763263
"634"	112	1991	0	-1.41519265342504
"635"	112	1992	0	1.2632636372
"636"	112	1993	1	1.45452320296317
"637"	113	1991	0	-0.74435362778604
"638"	113	1992	0	-1.71400798857212
"639"	113	1993	0	0.95085871219635
"640"	113	1994	0	-0.535199914127588
"641"	113	1995	0	-0.0762512432411313
"642"	113	1996	0	1.21993647236377
"643"	113	1997	0	-1.20764040853828
"644"	113	1998	0	-1.64838890172541
"645"	113	1999	1	-0.225916512310505
"646"	114	1991	0	-1.98269314784557
"647"	114	1992	0	-0.519296350888908
"648"	114	1993	0	1.17407381441444
"649"	114	1994	1	0.887114582583308
"650"	115	1991	0	-1.55023925192654
"651"	115	1992	1	1.76922930870205
"652"	116	1991	0	0.214901255443692
"653"	116	1992	1	1.27800729777664
"654"	117	1991	0	-1.53438036516309
"655"	117	1992	1	1.13936576992273
"656"	118	1991	0	0.131079164333642
"657"	118	1992	0	-0.950639208778739
"658"	118	1993	0	0.423699604347348
"659"	118	1994	0	0.135304075665772
"660"	118	1995	0	0.848598008044064
"661"	118	1996	0	1.5306809656322
"662"	118	1997	0	0.355325390584767
"663"	118	1998	0	-0.0985985901206732
"664"	118	1999	0	-1.89513314608485
"665"	118	2000	0	0.87636661529541
"666"	118	2001	0	-0.662055202759802
"667"	118	2002	0	0.490839938633144
"668"	118	2003	1	1.54485301952809
"669"	119	1991	0	-1.18385294172913
"670"	119	1992	1	0.911292621865869
"671"	120	1991	0	0.599933555349708
"672"	120	1992	0	1.16564879845828
"673"	120	1993	0	1.72403591778129
"674"	120	1994	0	-0.970129526220262
"675"	120	1995	0	-1.21412739250809
"676"	120	1996	0	-0.962944298051298
"677"	120	1997	0	0.933145076967776
"678"	120	1998	0	-0.619729368016124
"679"	120	1999	0	0.344417687505484
"680"	120	2000	0	0.192419238388538
"681"	120	2001	0	-1.97978976555169
"682"	120	2002	0	-1.15366130601615
"683"	120	2003	0	-0.499132698401809
"684"	120	2004	0	-0.845537906512618
"685"	120	2005	0	0.843849116936326
"686"	120	2006	0	0.0271393107250333
"687"	120	2007	0	0.205231086350977
"688"	120	2008	0	-1.92384379450232
"689"	120	2009	0	-0.450593537651002
"690"	120	2010	0	-1.78344068396837
"691"	120	2011	0	-1.1254319967702
"692"	120	2012	0	1.06100669037551
"693"	120	2013	0	-0.640987469814718
"694"	120	2014	0	-1.88763683754951
"695"	120	2015	0	-0.417611538432539
"696"	120	2016	0	0.702116151340306
"697"	120	2017	0	0.00906425062566996
"698"	120	2018	0	1.5700304005295
"699"	120	2019	0	-1.22658746968955
"700"	120	2020	0	-1.47294004447758
"701"	120	2021	0	-0.14627249352634
"702"	120	2022	0	1.57552329171449
"703"	120	2023	0	0.795702511444688
"704"	120	2024	1	-0.383600424043834
"705"	121	1991	1	1.48314675223082
"706"	122	1991	1	-0.135120336897671
"707"	123	1991	1	0.978748491965234
"708"	124	1991	0	-1.38093349151313
"709"	124	1992	0	1.31143412552774
"710"	124	1993	0	0.336516249924898
"711"	124	1994	0	-1.20431640278548
"712"	124	1995	0	-1.78949619177729
"713"	124	1996	0	0.258202519267797
"714"	124	1997	1	1.8744596587494
"715"	125	1991	0	0.899165940470994
