alignment_code,search algorithm,original name variant matched to,match type,taxonomic dataset aligned to,taxon_rank of alignment,notes about sequence
match_09d,"Detect `aff`, `affinis` (affinity to) and align to genus","first word (""genus"")",fuzzy,APNI,genus,
match_09e,"Detect `aff`, `affinis` (affinity to), but fail to align to genus",NA,no match,NA,genus,
match_10a,"Detect canonical names, lacking authorship",stripped_name,imprecise fuzzy,APC accepted taxon concepts,species/infraspecific,"Further checks if strings are taxon  names, lacking authorship, now with imprecise fuzzy matching"
match_10b,"Detect canonical names, lacking authorship",stripped_name,imprecise fuzzy,other APC taxon concepts,species/infraspecific,
match_11a,Detect ` x ` (hybrid taxon) and align to genus,"first word (""genus"")",exact,"APC accepted taxon concepts, other APC taxon concepts, APNI",genus,"Find strings that indicate a name that is a hybrid between two taxa. Such names, unless documented in APC (i.e. matches 6, 7 above) can only be aligned to genus."
match_11b,Detect ` x ` (hybrid taxon) and align to genus,"first word (""genus"")",fuzzy,APC accepted taxon concepts,genus,
match_11c,Detect ` x ` (hybrid taxon) and align to genus,"first word (""genus"")",fuzzy,other APC taxon concepts,genus,
match_11d,Detect ` x ` (hybrid taxon) and align to genus,"first word (""genus"")",fuzzy,APNI,genus,
match_11e,"Detect ` x ` (hybrid taxon), but fail to align to genus",NA,no match,NA,genus,
match_12a,"Detect canonical names, by checking first three words in string",trinomial (from stripped_name_2),exact,APC accepted taxon concepts,species/infraspecific,"Check if the first three words in the name string match with a taxon name, allowing notes to be discarded. Also useful for aligning phrase names."
match_12b,"Detect canonical names, by checking first three words in string",trinomial (from stripped_name_2),exact,other APC taxon concepts,species/infraspecific,
match_13a,"Detect canonical names, by checking first three words in string",trinomial (from stripped_name_2),fuzzy,APC accepted taxon concepts,species/infraspecific,
match_13b,"Detect canonical names, by checking first three words in string",trinomial (from stripped_name_2),fuzzy,other APC taxon concepts,species/infraspecific,
match_14a,"Detect canonical names, by checking first two words in string",binomial (from stripped_name_2),exact,APC accepted taxon concepts,species/infraspecific,"Check if the first two words in the name string match with a taxon name, allowing notes and invalid infraspecific names to be discarded. Also useful for aligning phrase names."
match_14b,"Detect canonical names, by checking first two words in string",binomial (from stripped_name_2),exact,other APC taxon concepts,species/infraspecific,
match_15a,"Detect canonical names, by checking first two words in string",binomial (from stripped_name_2),fuzzy,APC accepted taxon concepts,species/infraspecific,
match_15b,"Detect canonical names, by checking first two words in string",binomial (from stripped_name_2),fuzzy,other APC taxon concepts,species/infraspecific,
match_16a,"Detect canonical names, lacking authorship",stripped_name,fuzzy,APNI,species/infraspecific,"Further checks if strings are APNI taxon names, lacking authorship, now with fuzzy matching or considering just the first three or two words in the string."
match_17a,"Detect canonical names, lacking authorship",stripped_name,imprecise fuzzy,APNI,species/infraspecific,
match_18a,"Detect canonical names, by checking first three words in string",trinomial (from stripped_name_2),exact,APNI,species/infraspecific,
match_19a,"Detect canonical names, by checking first two words in string",binomial (from stripped_name_2),exact,APNI,species/infraspecific,
match_20a,"Detect an APC-accepted genus, by checking the first word in the string","first word (""genus"")",exact,APC accepted taxon concepts,genus,"Check if the first two word in the name string match with a taxon name, allowing an alignment to the genus-level or family-level"
match_20b,"Detect an APC-known genus, by checking the first word in the string","first word (""genus"")",exact,other APC taxon concepts,genus,
match_20c,"Detect an APC-known genus, by checking the first word in the string","first word (""genus"")",exact,APNI,genus,
match_21a,"Detect an APC-known family, by checking the first word in the string","first word (""genus"")",exact,APC accepted taxon concepts,family,
match_22a,"Detect an APC-accepted genus, by checking the first word in the string","first word (""genus"")",fuzzy,APC accepted taxon concepts,genus,
match_22b,"Detect an APC-known genus, by checking the first word in the string","first word (""genus"")",fuzzy,other APC taxon concepts,genus,
