NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CITRATE_CYCLE_(TCA_CYCLE)	CITRATE_CYCLE_(TCA_CYCLE)		23	-0.54823744	-1.2935228	0.08158996	0.7609034	1.0	3303	tags=78%, list=39%, signal=128%	
HEMATOPOIETIC_CELL_LINEAGE	HEMATOPOIETIC_CELL_LINEAGE		43	-0.5036762	-1.2825109	0.06646526	0.8128263	1.0	1906	tags=35%, list=23%, signal=45%	
GLYCEROLIPID_METABOLISM	GLYCEROLIPID_METABOLISM		31	-0.5153775	-1.2818191	0.09109519	0.77132547	1.0	1706	tags=35%, list=20%, signal=44%	
TYPE_I_DIABETES_MELLITUS	TYPE_I_DIABETES_MELLITUS		21	-0.5422555	-1.2769887	0.12421053	0.76973015	1.0	2408	tags=43%, list=28%, signal=60%	
MEASLES	MEASLES		74	-0.4850009	-1.2742436	0.016016016	0.7528541	1.0	2032	tags=31%, list=24%, signal=41%	
TH1_AND_TH2_CELL_DIFFERENTIATION	TH1_AND_TH2_CELL_DIFFERENTIATION		56	-0.48597476	-1.2663983	0.045135405	0.7779837	1.0	1559	tags=27%, list=18%, signal=33%	
RIBOSOME_BIOGENESIS_IN_EUKARYOTES	RIBOSOME_BIOGENESIS_IN_EUKARYOTES		51	-0.48832375	-1.2437221	0.06519559	0.9467071	1.0	1998	tags=35%, list=24%, signal=46%	
PROPANOATE_METABOLISM	PROPANOATE_METABOLISM		19	-0.5312168	-1.239711	0.1627907	0.9431875	1.0	2733	tags=47%, list=32%, signal=70%	
CAMP_SIGNALING_PATHWAY	CAMP_SIGNALING_PATHWAY		99	-0.46728316	-1.239592	0.036	0.903015	1.0	3252	tags=56%, list=38%, signal=89%	
NOTCH_SIGNALING_PATHWAY	NOTCH_SIGNALING_PATHWAY		29	-0.5101808	-1.2315787	0.13422132	0.9413187	1.0	1800	tags=28%, list=21%, signal=35%	
AMINOACYL-TRNA_BIOSYNTHESIS	AMINOACYL-TRNA_BIOSYNTHESIS		24	-0.51421803	-1.2198932	0.17835051	1.0	1.0	1670	tags=29%, list=20%, signal=36%	
PYRUVATE_METABOLISM	PYRUVATE_METABOLISM		24	-0.5048141	-1.2059736	0.1859979	1.0	1.0	2683	tags=46%, list=32%, signal=67%	
HOMOLOGOUS_RECOMBINATION	HOMOLOGOUS_RECOMBINATION		18	-0.52413666	-1.2026395	0.20485744	1.0	1.0	3372	tags=56%, list=40%, signal=92%	
STARCH_AND_SUCROSE_METABOLISM	STARCH_AND_SUCROSE_METABOLISM		17	-0.5241043	-1.2021579	0.19341126	1.0	1.0	2786	tags=65%, list=33%, signal=96%	
COCAINE_ADDICTION	COCAINE_ADDICTION		20	-0.51273066	-1.2003165	0.20251836	1.0	1.0	3502	tags=60%, list=41%, signal=102%	
VASCULAR_SMOOTH_MUSCLE_CONTRACTION	VASCULAR_SMOOTH_MUSCLE_CONTRACTION		72	-0.45709923	-1.1992975	0.099297896	1.0	1.0	1738	tags=32%, list=21%, signal=40%	
APELIN_SIGNALING_PATHWAY	APELIN_SIGNALING_PATHWAY		86	-0.4561341	-1.1971012	0.073073074	1.0	1.0	1729	tags=31%, list=20%, signal=39%	
PURINE_METABOLISM	PURINE_METABOLISM		69	-0.45469934	-1.1852715	0.105	1.0	1.0	2330	tags=41%, list=28%, signal=56%	
FOCAL_ADHESION	FOCAL_ADHESION		133	-0.43894374	-1.1795131	0.059	1.0	1.0	3252	tags=48%, list=38%, signal=77%	
ENDOCYTOSIS	ENDOCYTOSIS		179	-0.43630835	-1.1723361	0.038	1.0	1.0	3272	tags=47%, list=39%, signal=76%	
ADIPOCYTOKINE_SIGNALING_PATHWAY	ADIPOCYTOKINE_SIGNALING_PATHWAY		43	-0.46584937	-1.1700944	0.18200202	1.0	1.0	1911	tags=37%, list=23%, signal=48%	
VIRAL_MYOCARDITIS	VIRAL_MYOCARDITIS		36	-0.469574	-1.1659611	0.20122574	1.0	1.0	2408	tags=33%, list=28%, signal=46%	
RIG-I-LIKE_RECEPTOR_SIGNALING_PATHWAY	RIG-I-LIKE_RECEPTOR_SIGNALING_PATHWAY		34	-0.46448568	-1.1652691	0.22436549	1.0	1.0	1911	tags=32%, list=23%, signal=42%	
ANTIGEN_PROCESSING_AND_PRESENTATION	ANTIGEN_PROCESSING_AND_PRESENTATION		42	-0.46479315	-1.1636484	0.20546558	1.0	1.0	2895	tags=38%, list=34%, signal=58%	
SHIGELLOSIS	SHIGELLOSIS		49	-0.45161805	-1.1586803	0.19014084	1.0	1.0	3252	tags=51%, list=38%, signal=82%	
ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_(ARVC)	ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_(ARVC)		37	-0.46373582	-1.1542019	0.2182377	1.0	1.0	4255	tags=70%, list=50%, signal=141%	
NON-ALCOHOLIC_FATTY_LIVER_DISEASE_(NAFLD)	NON-ALCOHOLIC_FATTY_LIVER_DISEASE_(NAFLD)		116	-0.43281847	-1.1538001	0.102	1.0	1.0	2232	tags=32%, list=26%, signal=43%	
T_CELL_RECEPTOR_SIGNALING_PATHWAY	T_CELL_RECEPTOR_SIGNALING_PATHWAY		64	-0.44195417	-1.149876	0.17234468	1.0	1.0	2341	tags=38%, list=28%, signal=51%	
CGMP-PKG_SIGNALING_PATHWAY	CGMP-PKG_SIGNALING_PATHWAY		100	-0.43556926	-1.149232	0.133	1.0	1.0	3228	tags=48%, list=38%, signal=77%	
RHEUMATOID_ARTHRITIS	RHEUMATOID_ARTHRITIS		45	-0.45153263	-1.1455967	0.22469635	1.0	1.0	2532	tags=29%, list=30%, signal=41%	
DRUG_METABOLISM	DRUG_METABOLISM		34	-0.4591655	-1.1453493	0.22256097	1.0	1.0	2668	tags=35%, list=32%, signal=51%	
VASOPRESSIN-REGULATED_WATER_REABSORPTION	VASOPRESSIN-REGULATED_WATER_REABSORPTION		34	-0.46050796	-1.1442254	0.24899194	1.0	1.0	3055	tags=50%, list=36%, signal=78%	
BASE_EXCISION_REPAIR	BASE_EXCISION_REPAIR		16	-0.50311595	-1.1366805	0.2858661	1.0	1.0	1476	tags=31%, list=17%, signal=38%	
HUMAN_PAPILLOMAVIRUS_INFECTION	HUMAN_PAPILLOMAVIRUS_INFECTION		189	-0.42086744	-1.1362365	0.093	1.0	1.0	3098	tags=43%, list=37%, signal=66%	
ETHER_LIPID_METABOLISM	ETHER_LIPID_METABOLISM		16	-0.4980627	-1.1316797	0.3083512	1.0	1.0	1600	tags=38%, list=19%, signal=46%	
GLYCEROPHOSPHOLIPID_METABOLISM	GLYCEROPHOSPHOLIPID_METABOLISM		51	-0.4365949	-1.1302136	0.24321608	1.0	1.0	2724	tags=41%, list=32%, signal=60%	
EPSTEIN-BARR_VIRUS_INFECTION	EPSTEIN-BARR_VIRUS_INFECTION		128	-0.42284995	-1.1245859	0.158	1.0	1.0	3091	tags=45%, list=37%, signal=69%	
DILATED_CARDIOMYOPATHY_(DCM)	DILATED_CARDIOMYOPATHY_(DCM)		42	-0.44307077	-1.1244684	0.26950353	1.0	1.0	2519	tags=38%, list=30%, signal=54%	
INSULIN_SIGNALING_PATHWAY	INSULIN_SIGNALING_PATHWAY		88	-0.4243173	-1.1229565	0.193	1.0	1.0	2697	tags=36%, list=32%, signal=53%	
NEUROACTIVE_LIGAND-RECEPTOR_INTERACTION	NEUROACTIVE_LIGAND-RECEPTOR_INTERACTION		36	-0.44481325	-1.1208236	0.28818738	1.0	1.0	2230	tags=39%, list=26%, signal=53%	
SALMONELLA_INFECTION	SALMONELLA_INFECTION		57	-0.4338931	-1.1170971	0.2713568	1.0	1.0	3252	tags=47%, list=38%, signal=76%	
FATTY_ACID_DEGRADATION	FATTY_ACID_DEGRADATION		22	-0.47036007	-1.1090105	0.3449001	1.0	1.0	2733	tags=50%, list=32%, signal=74%	
LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		64	-0.42581758	-1.1086832	0.2755511	1.0	1.0	3252	tags=45%, list=38%, signal=73%	
GLYCOLYSIS_/_GLUCONEOGENESIS	GLYCOLYSIS_/_GLUCONEOGENESIS		29	-0.45248643	-1.1083553	0.31790122	1.0	1.0	2027	tags=28%, list=24%, signal=36%	
LONGEVITY_REGULATING_PATHWAY	LONGEVITY_REGULATING_PATHWAY		74	-0.42182073	-1.1079844	0.25125125	1.0	1.0	1449	tags=26%, list=17%, signal=31%	
CHOLESTEROL_METABOLISM	CHOLESTEROL_METABOLISM		25	-0.46246445	-1.1057432	0.32291666	1.0	1.0	2303	tags=40%, list=27%, signal=55%	
TNF_SIGNALING_PATHWAY	TNF_SIGNALING_PATHWAY		73	-0.4240038	-1.1056043	0.26426426	1.0	1.0	1911	tags=30%, list=23%, signal=39%	
HYPERTROPHIC_CARDIOMYOPATHY_(HCM)	HYPERTROPHIC_CARDIOMYOPATHY_(HCM)		37	-0.43535262	-1.0994692	0.3131313	1.0	1.0	4203	tags=62%, list=50%, signal=123%	
PHAGOSOME	PHAGOSOME		95	-0.41249558	-1.0973076	0.245	1.0	1.0	3551	tags=47%, list=42%, signal=81%	
COMPLEMENT_AND_COAGULATION_CASCADES	COMPLEMENT_AND_COAGULATION_CASCADES		28	-0.45060658	-1.0958996	0.34948453	1.0	1.0	935	tags=21%, list=11%, signal=24%	
FC_GAMMA_R-MEDIATED_PHAGOCYTOSIS	FC_GAMMA_R-MEDIATED_PHAGOCYTOSIS		62	-0.42453066	-1.0947406	0.3016032	1.0	1.0	2193	tags=35%, list=26%, signal=48%	
SPLICEOSOME	SPLICEOSOME		110	-0.4157797	-1.0913373	0.234	1.0	1.0	2938	tags=32%, list=35%, signal=48%	
FANCONI_ANEMIA_PATHWAY	FANCONI_ANEMIA_PATHWAY		19	-0.47236794	-1.0889493	0.36702126	1.0	1.0	2287	tags=37%, list=27%, signal=50%	
SYSTEMIC_LUPUS_ERYTHEMATOSUS	SYSTEMIC_LUPUS_ERYTHEMATOSUS		34	-0.44086906	-1.0865183	0.36585367	1.0	1.0	913	tags=18%, list=11%, signal=20%	
BACTERIAL_INVASION_OF_EPITHELIAL_CELLS	BACTERIAL_INVASION_OF_EPITHELIAL_CELLS		54	-0.42626327	-1.0837202	0.33870968	1.0	1.0	3252	tags=50%, list=38%, signal=81%	
NICOTINATE_AND_NICOTINAMIDE_METABOLISM	NICOTINATE_AND_NICOTINAMIDE_METABOLISM		16	-0.48149624	-1.0778763	0.37886873	1.0	1.0	1638	tags=38%, list=19%, signal=46%	
LYSINE_DEGRADATION	LYSINE_DEGRADATION		36	-0.43225905	-1.0776327	0.3528817	1.0	1.0	3303	tags=47%, list=39%, signal=77%	
RAS_SIGNALING_PATHWAY	RAS_SIGNALING_PATHWAY		125	-0.40195656	-1.0720451	0.29	1.0	1.0	2376	tags=32%, list=28%, signal=44%	
TH17_CELL_DIFFERENTIATION	TH17_CELL_DIFFERENTIATION		66	-0.41447306	-1.0714388	0.33935744	1.0	1.0	3261	tags=44%, list=39%, signal=71%	
METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450		18	-0.46116823	-1.0707251	0.38329765	1.0	1.0	2684	tags=44%, list=32%, signal=65%	
PLATELET_ACTIVATION	PLATELET_ACTIVATION		73	-0.40669644	-1.0702276	0.33935744	1.0	1.0	993	tags=18%, list=12%, signal=20%	
NECROPTOSIS	NECROPTOSIS		84	-0.40628254	-1.0698491	0.33833835	1.0	1.0	3160	tags=45%, list=37%, signal=71%	
SMALL_CELL_LUNG_CANCER	SMALL_CELL_LUNG_CANCER		63	-0.41492608	-1.0678761	0.3540622	1.0	1.0	1911	tags=30%, list=23%, signal=39%	
AMPK_SIGNALING_PATHWAY	AMPK_SIGNALING_PATHWAY		78	-0.4089668	-1.0660233	0.34234235	1.0	1.0	872	tags=18%, list=10%, signal=20%	
PARKINSON_DISEASE	PARKINSON_DISEASE		104	-0.4011849	-1.0647494	0.2962963	1.0	1.0	3834	tags=50%, list=45%, signal=90%	
VIRAL_CARCINOGENESIS	VIRAL_CARCINOGENESIS		122	-0.39779714	-1.0625643	0.328	1.0	1.0	3252	tags=44%, list=38%, signal=71%	
HUMAN_CYTOMEGALOVIRUS_INFECTION	HUMAN_CYTOMEGALOVIRUS_INFECTION		147	-0.39450237	-1.0616416	0.312	1.0	1.0	3252	tags=48%, list=38%, signal=76%	
BILE_SECRETION	BILE_SECRETION		25	-0.44522732	-1.060518	0.4037461	1.0	1.0	2684	tags=60%, list=32%, signal=88%	
FOXO_SIGNALING_PATHWAY	FOXO_SIGNALING_PATHWAY		86	-0.40199935	-1.0595815	0.351	1.0	1.0	3353	tags=42%, list=40%, signal=69%	
TOXOPLASMOSIS	TOXOPLASMOSIS		68	-0.40831017	-1.0594783	0.3753754	1.0	1.0	3327	tags=41%, list=39%, signal=67%	
CYTOKINE-CYTOKINE_RECEPTOR_INTERACTION	CYTOKINE-CYTOKINE_RECEPTOR_INTERACTION		67	-0.40725207	-1.0572778	0.3767535	1.0	1.0	1938	tags=30%, list=23%, signal=38%	
REGULATION_OF_ACTIN_CYTOSKELETON	REGULATION_OF_ACTIN_CYTOSKELETON		130	-0.39504448	-1.0558202	0.335	1.0	1.0	3252	tags=43%, list=38%, signal=69%	
ECM-RECEPTOR_INTERACTION	ECM-RECEPTOR_INTERACTION		42	-0.42017445	-1.0555209	0.39756593	1.0	1.0	1855	tags=31%, list=22%, signal=39%	
LEGIONELLOSIS	LEGIONELLOSIS		36	-0.4232681	-1.0539768	0.4012158	1.0	1.0	3768	tags=53%, list=45%, signal=95%	
PROLACTIN_SIGNALING_PATHWAY	PROLACTIN_SIGNALING_PATHWAY		43	-0.41713783	-1.0535003	0.40565085	1.0	1.0	3091	tags=44%, list=37%, signal=69%	
NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY	NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY		93	-0.39667687	-1.0508169	0.363	1.0	1.0	3160	tags=42%, list=37%, signal=66%	
ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES		82	-0.40461034	-1.0497264	0.3737475	1.0	1.0	3282	tags=51%, list=39%, signal=83%	
N-GLYCAN_BIOSYNTHESIS	N-GLYCAN_BIOSYNTHESIS		29	-0.42967594	-1.0469829	0.43398157	1.0	1.0	2548	tags=34%, list=30%, signal=49%	
KAPOSI_SARCOMA-ASSOCIATED_HERPESVIRUS_INFECTION	KAPOSI_SARCOMA-ASSOCIATED_HERPESVIRUS_INFECTION		118	-0.390008	-1.0449266	0.366	1.0	1.0	3353	tags=47%, list=40%, signal=77%	
CELL_ADHESION_MOLECULES_(CAMS)	CELL_ADHESION_MOLECULES_(CAMS)		60	-0.40348	-1.0446833	0.416	1.0	1.0	2538	tags=38%, list=30%, signal=54%	
MINERAL_ABSORPTION	MINERAL_ABSORPTION		28	-0.42999932	-1.0419357	0.42886388	1.0	1.0	2373	tags=32%, list=28%, signal=45%	
AMOEBIASIS	AMOEBIASIS		51	-0.40880036	-1.041018	0.42269075	1.0	1.0	3133	tags=47%, list=37%, signal=74%	
CHAGAS_DISEASE_(AMERICAN_TRYPANOSOMIASIS)	CHAGAS_DISEASE_(AMERICAN_TRYPANOSOMIASIS)		65	-0.39964935	-1.0399711	0.4204204	1.0	1.0	1560	tags=23%, list=18%, signal=28%	
NON-SMALL_CELL_LUNG_CANCER	NON-SMALL_CELL_LUNG_CANCER		49	-0.40518537	-1.0387124	0.4241206	1.0	1.0	2341	tags=31%, list=28%, signal=42%	
PROTEIN_DIGESTION_AND_ABSORPTION	PROTEIN_DIGESTION_AND_ABSORPTION		31	-0.42193636	-1.0366234	0.43540183	1.0	1.0	3256	tags=45%, list=38%, signal=73%	
AMPHETAMINE_ADDICTION	AMPHETAMINE_ADDICTION		32	-0.41916403	-1.0349908	0.46998984	1.0	1.0	3942	tags=59%, list=47%, signal=111%	
RETROGRADE_ENDOCANNABINOID_SIGNALING	RETROGRADE_ENDOCANNABINOID_SIGNALING		77	-0.39492527	-1.0343816	0.44344345	1.0	1.0	2618	tags=32%, list=31%, signal=47%	
AXON_GUIDANCE	AXON_GUIDANCE		99	-0.38907468	-1.0311313	0.427	1.0	1.0	2341	tags=30%, list=28%, signal=41%	
RELAXIN_SIGNALING_PATHWAY	RELAXIN_SIGNALING_PATHWAY		82	-0.38800663	-1.0294964	0.43943945	1.0	1.0	3705	tags=52%, list=44%, signal=92%	
HEPATITIS_C	HEPATITIS_C		92	-0.39200065	-1.0284748	0.447	1.0	1.0	1512	tags=24%, list=18%, signal=29%	
RIBOSOME	RIBOSOME		124	-0.38654977	-1.0282737	0.425	1.0	1.0	2913	tags=22%, list=34%, signal=33%	
CORTISOL_SYNTHESIS_AND_SECRETION	CORTISOL_SYNTHESIS_AND_SECRETION		34	-0.4108547	-1.0277451	0.46653143	1.0	1.0	3223	tags=50%, list=38%, signal=80%	
OXYTOCIN_SIGNALING_PATHWAY	OXYTOCIN_SIGNALING_PATHWAY		83	-0.39093947	-1.027049	0.435	1.0	1.0	3254	tags=43%, list=38%, signal=70%	
AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS	AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS		69	-0.39406496	-1.0203289	0.466	1.0	1.0	3261	tags=46%, list=39%, signal=75%	
PATHWAYS_IN_CANCER	PATHWAYS_IN_CANCER		291	-0.37283367	-1.0187777	0.407	1.0	1.0	3265	tags=43%, list=39%, signal=68%	
GLUTAMATERGIC_SYNAPSE	GLUTAMATERGIC_SYNAPSE		49	-0.3985958	-1.0181776	0.47734138	1.0	1.0	1347	tags=22%, list=16%, signal=27%	
ALDOSTERONE_SYNTHESIS_AND_SECRETION	ALDOSTERONE_SYNTHESIS_AND_SECRETION		53	-0.39721274	-1.0162783	0.47373736	1.0	1.0	3223	tags=49%, list=38%, signal=79%	
APOPTOSIS	APOPTOSIS		92	-0.38737294	-1.0145705	0.463	1.0	1.0	3768	tags=54%, list=45%, signal=97%	
SALIVARY_SECRETION	SALIVARY_SECRETION		39	-0.40360072	-1.0135456	0.47878787	1.0	1.0	2907	tags=46%, list=34%, signal=70%	
TUBERCULOSIS	TUBERCULOSIS		95	-0.3844282	-1.0122391	0.49	1.0	1.0	3199	tags=40%, list=38%, signal=64%	
HUMAN_IMMUNODEFICIENCY_VIRUS_1_INFECTION	HUMAN_IMMUNODEFICIENCY_VIRUS_1_INFECTION		133	-0.37951723	-1.0095701	0.4784785	1.0	1.0	3713	tags=55%, list=44%, signal=96%	
AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		24	-0.42495316	-1.0077142	0.50208336	1.0	1.0	3635	tags=54%, list=43%, signal=95%	
CUSHING_SYNDROME	CUSHING_SYNDROME		71	-0.3868227	-1.0073596	0.47991967	1.0	1.0	3125	tags=44%, list=37%, signal=69%	
GASTRIC_ACID_SECRETION	GASTRIC_ACID_SECRETION		35	-0.4039346	-1.0072696	0.50715744	1.0	1.0	3125	tags=51%, list=37%, signal=81%	
TRYPTOPHAN_METABOLISM	TRYPTOPHAN_METABOLISM		16	-0.44737127	-1.006725	0.49945828	1.0	1.0	2733	tags=50%, list=32%, signal=74%	
HUNTINGTON_DISEASE	HUNTINGTON_DISEASE		142	-0.37425524	-1.0033109	0.498	1.0	1.0	2217	tags=25%, list=26%, signal=33%	
GABAERGIC_SYNAPSE	GABAERGIC_SYNAPSE		37	-0.40242475	-0.9996794	0.5167513	1.0	1.0	3579	tags=57%, list=42%, signal=98%	
HUMAN_T-CELL_LEUKEMIA_VIRUS_1_INFECTION	HUMAN_T-CELL_LEUKEMIA_VIRUS_1_INFECTION		149	-0.37006086	-0.999299	0.512	1.0	1.0	3261	tags=44%, list=39%, signal=71%	
INSULIN_RESISTANCE	INSULIN_RESISTANCE		65	-0.3816805	-0.9947337	0.54208416	1.0	1.0	3224	tags=48%, list=38%, signal=76%	
TRANSCRIPTIONAL_MISREGULATION_IN_CANCER	TRANSCRIPTIONAL_MISREGULATION_IN_CANCER		100	-0.3715331	-0.9897112	0.553	1.0	1.0	3595	tags=46%, list=42%, signal=79%	
PERTUSSIS	PERTUSSIS		42	-0.39133552	-0.988871	0.5456389	1.0	1.0	3485	tags=45%, list=41%, signal=77%	
ALDOSTERONE-REGULATED_SODIUM_REABSORPTION	ALDOSTERONE-REGULATED_SODIUM_REABSORPTION		20	-0.42427143	-0.9885597	0.5362776	1.0	1.0	2544	tags=45%, list=30%, signal=64%	
CARDIAC_MUSCLE_CONTRACTION	CARDIAC_MUSCLE_CONTRACTION		38	-0.39834318	-0.9815509	0.5592705	1.0	1.0	2581	tags=32%, list=30%, signal=45%	
PI3K-AKT_SIGNALING_PATHWAY	PI3K-AKT_SIGNALING_PATHWAY		191	-0.36158282	-0.9798366	0.591	1.0	1.0	1770	tags=24%, list=21%, signal=30%	
THERMOGENESIS	THERMOGENESIS		162	-0.36199576	-0.978457	0.586	1.0	1.0	2843	tags=31%, list=34%, signal=46%	
BASAL_CELL_CARCINOMA	BASAL_CELL_CARCINOMA		17	-0.4346709	-0.97556835	0.5593583	1.0	1.0	2858	tags=41%, list=34%, signal=62%	
CHRONIC_MYELOID_LEUKEMIA	CHRONIC_MYELOID_LEUKEMIA		60	-0.3777281	-0.97482324	0.5715716	1.0	1.0	2874	tags=37%, list=34%, signal=55%	
PROTEOGLYCANS_IN_CANCER	PROTEOGLYCANS_IN_CANCER		123	-0.3623614	-0.9739267	0.594	1.0	1.0	2094	tags=29%, list=25%, signal=38%	
CIRCADIAN_ENTRAINMENT	CIRCADIAN_ENTRAINMENT		48	-0.37911335	-0.9723584	0.58433735	1.0	1.0	2519	tags=33%, list=30%, signal=47%	
OSTEOCLAST_DIFFERENTIATION	OSTEOCLAST_DIFFERENTIATION		71	-0.37236336	-0.97139597	0.593	1.0	1.0	3705	tags=54%, list=44%, signal=94%	
ABC_TRANSPORTERS	ABC_TRANSPORTERS		18	-0.42073053	-0.9711842	0.5573248	1.0	1.0	3083	tags=61%, list=36%, signal=96%	
CELLULAR_SENESCENCE	CELLULAR_SENESCENCE		103	-0.36550638	-0.97086483	0.5965966	1.0	1.0	3304	tags=45%, list=39%, signal=72%	
PHOSPHOLIPASE_D_SIGNALING_PATHWAY	PHOSPHOLIPASE_D_SIGNALING_PATHWAY		86	-0.3695154	-0.96638	0.609	1.0	1.0	3216	tags=43%, list=38%, signal=69%	
RNA_POLYMERASE	RNA_POLYMERASE		22	-0.41163436	-0.9658378	0.5878661	1.0	1.0	1722	tags=32%, list=20%, signal=40%	
CHEMOKINE_SIGNALING_PATHWAY	CHEMOKINE_SIGNALING_PATHWAY		104	-0.3635324	-0.9630725	0.614	1.0	1.0	3130	tags=40%, list=37%, signal=63%	
FERROPTOSIS	FERROPTOSIS		29	-0.39479524	-0.9625463	0.5727459	1.0	1.0	2849	tags=34%, list=34%, signal=52%	
PATHOGENIC_ESCHERICHIA_COLI_INFECTION	PATHOGENIC_ESCHERICHIA_COLI_INFECTION		40	-0.38334262	-0.96202856	0.5814889	1.0	1.0	3551	tags=52%, list=42%, signal=90%	
MITOPHAGY	MITOPHAGY		51	-0.38193884	-0.9604348	0.5967904	1.0	1.0	3557	tags=47%, list=42%, signal=81%	
SPHINGOLIPID_SIGNALING_PATHWAY	SPHINGOLIPID_SIGNALING_PATHWAY		76	-0.3686273	-0.95978785	0.593	1.0	1.0	3349	tags=47%, list=40%, signal=78%	
MICRORNAS_IN_CANCER	MICRORNAS_IN_CANCER		93	-0.36406708	-0.95897406	0.637	1.0	1.0	2074	tags=27%, list=25%, signal=35%	
DOPAMINERGIC_SYNAPSE	DOPAMINERGIC_SYNAPSE		73	-0.3662561	-0.95701957	0.6305221	1.0	1.0	3224	tags=41%, list=38%, signal=66%	
INFLUENZA_A	INFLUENZA_A		96	-0.3619491	-0.9553867	0.637	1.0	1.0	3091	tags=34%, list=37%, signal=54%	
OVARIAN_STEROIDOGENESIS	OVARIAN_STEROIDOGENESIS		18	-0.41658562	-0.9508047	0.58526313	1.0	1.0	2519	tags=44%, list=30%, signal=63%	
RAP1_SIGNALING_PATHWAY	RAP1_SIGNALING_PATHWAY		123	-0.35566267	-0.95055866	0.679	1.0	1.0	1756	tags=24%, list=21%, signal=29%	
GLUTATHIONE_METABOLISM	GLUTATHIONE_METABOLISM		28	-0.38804525	-0.9496767	0.6018424	1.0	1.0	2050	tags=29%, list=24%, signal=38%	
MELANOGENESIS	MELANOGENESIS		49	-0.3697705	-0.9491177	0.6271357	1.0	1.0	3125	tags=41%, list=37%, signal=64%	
