NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HEDGEHOG_SIGNALING_PATHWAY	46	26		
HEMATOPOIETIC_CELL_LINEAGE	96	43		
HEPATITIS_B	162	97		
HEPATITIS_C	154	92		
HEPATOCELLULAR_CARCINOMA	167	89		
HERPES_SIMPLEX_VIRUS_1_INFECTION	491	166		
HIPPO_SIGNALING_PATHWAY	159	82		
HISTIDINE_METABOLISM	22		Rejected!	
HOMOLOGOUS_RECOMBINATION	40	18		
HUMAN_T-CELL_LEUKEMIA_VIRUS_1_INFECTION	218	149		
HUMAN_CYTOMEGALOVIRUS_INFECTION	224	147		
HUMAN_IMMUNODEFICIENCY_VIRUS_1_INFECTION	211	133		
HUMAN_PAPILLOMAVIRUS_INFECTION	329	189		
HUNTINGTON_DISEASE	192	142		
HYPERTROPHIC_CARDIOMYOPATHY_(HCM)	84	37		
IL-17_SIGNALING_PATHWAY	92	43		
INFLAMMATORY_BOWEL_DISEASE_(IBD)	64	25		
INFLAMMATORY_MEDIATOR_REGULATION_OF_TRP_CHANNELS	99	45		
INFLUENZA_A	170	96		
INOSITOL_PHOSPHATE_METABOLISM	73	48		
INSULIN_RESISTANCE	107	65		
INSULIN_SECRETION	85	37		
INSULIN_SIGNALING_PATHWAY	136	88		
INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	47	16		
JAK-STAT_SIGNALING_PATHWAY	161	67		
KAPOSI_SARCOMA-ASSOCIATED_HERPESVIRUS_INFECTION	185	118		
LEGIONELLOSIS	54	36		
LEISHMANIASIS	73	36		
LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	111	64		
LINOLEIC_ACID_METABOLISM	28		Rejected!	
LONG-TERM_DEPRESSION	59	35		
LONG-TERM_POTENTIATION	66	39		
LONGEVITY_REGULATING_PATHWAY	101	74		
LYSINE_DEGRADATION	58	36		
LYSOSOME	122	86		
MAPK_SIGNALING_PATHWAY	294	177		
MALARIA	48	18		
MANNOSE_TYPE_O-GLYCAN_BIOSYNTHESIS	22		Rejected!	
MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25		Rejected!	
MEASLES	137	74		
MELANOGENESIS	100	49		
MELANOMA	71	42		
METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	73	18		
MICRORNAS_IN_CANCER	298	93		
MINERAL_ABSORPTION	50	28		
MISMATCH_REPAIR	22		Rejected!	
MITOPHAGY	64	51		
MORPHINE_ADDICTION	90	43		
MUCIN_TYPE_O-GLYCAN_BIOSYNTHESIS	30		Rejected!	
N-GLYCAN_BIOSYNTHESIS	49	29		
NF-KAPPA_B_SIGNALING_PATHWAY	94	52		
NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY	177	93		
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	130	57		
NECROPTOSIS	161	84		
NEOMYCIN,_KANAMYCIN_AND_GENTAMICIN_BIOSYNTHESIS	4		Rejected!	
NEUROACTIVE_LIGAND-RECEPTOR_INTERACTION	337	36		
NEUROTROPHIN_SIGNALING_PATHWAY	118	80		
NICOTINATE_AND_NICOTINAMIDE_METABOLISM	29	16		
NICOTINE_ADDICTION	39		Rejected!	
NITROGEN_METABOLISM	16		Rejected!	
NON-ALCOHOLIC_FATTY_LIVER_DISEASE_(NAFLD)	148	116		
NON-HOMOLOGOUS_END-JOINING	12		Rejected!	
NON-SMALL_CELL_LUNG_CANCER	65	49		
NOTCH_SIGNALING_PATHWAY	47	29		
NUCLEOTIDE_EXCISION_REPAIR	46	30		
OLFACTORY_TRANSDUCTION	443	22		
ONE_CARBON_POOL_BY_FOLATE	19		Rejected!	
OOCYTE_MEIOSIS	124	72		
OSTEOCLAST_DIFFERENTIATION	126	71		
OTHER_GLYCAN_DEGRADATION	17		Rejected!	
OTHER_TYPES_OF_O-GLYCAN_BIOSYNTHESIS	21		Rejected!	
OVARIAN_STEROIDOGENESIS	48	18		
OXIDATIVE_PHOSPHORYLATION	132	100		
OXYTOCIN_SIGNALING_PATHWAY	152	83		
PI3K-AKT_SIGNALING_PATHWAY	353	191		
PPAR_SIGNALING_PATHWAY	73	36		
PANCREATIC_CANCER	74	56		
PANCREATIC_SECRETION	97	38		
PANTOTHENATE_AND_COA_BIOSYNTHESIS	18		Rejected!	
PARATHYROID_HORMONE_SYNTHESIS,_SECRETION_AND_ACTION	105	69		
PARKINSON_DISEASE	141	104		
PATHOGENIC_ESCHERICHIA_COLI_INFECTION	54	40		
PATHWAYS_IN_CANCER	529	291		
PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	33		Rejected!	
PENTOSE_PHOSPHATE_PATHWAY	29		Rejected!	
PEROXISOME	82	37		
PERTUSSIS	75	42		
PHAGOSOME	151	95		
PHENYLALANINE_METABOLISM	16		Rejected!	
PHENYLALANINE,_TYROSINE_AND_TRYPTOPHAN_BIOSYNTHESIS	4		Rejected!	
PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	98	61		
PHOSPHOLIPASE_D_SIGNALING_PATHWAY	147	86		
PHOSPHONATE_AND_PHOSPHINATE_METABOLISM	5		Rejected!	
PHOTOTRANSDUCTION	27		Rejected!	
PLATELET_ACTIVATION	123	73		
PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41		Rejected!	
PRIMARY_BILE_ACID_BIOSYNTHESIS	16		Rejected!	
PRIMARY_IMMUNODEFICIENCY	36		Rejected!	
PRION_DISEASES	34	20		
PROGESTERONE-MEDIATED_OOCYTE_MATURATION	98	55		
PROLACTIN_SIGNALING_PATHWAY	69	43		
PROPANOATE_METABOLISM	31	19		
PROSTATE_CANCER	96	68		
PROTEASOME	44	42		
PROTEIN_DIGESTION_AND_ABSORPTION	89	31		
PROTEIN_EXPORT	22	21		
PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM	164	127		
PROTEOGLYCANS_IN_CANCER	200	123		
PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	22		Rejected!	
PURINE_METABOLISM	128	69		
PYRIMIDINE_METABOLISM	56	28		
PYRUVATE_METABOLISM	38	24		
RIG-I-LIKE_RECEPTOR_SIGNALING_PATHWAY	69	34		
RNA_DEGRADATION	78	53		
RNA_POLYMERASE	30	22		
RNA_TRANSPORT	164	105		
RAP1_SIGNALING_PATHWAY	205	123		
RAS_SIGNALING_PATHWAY	231	125		
REGULATION_OF_ACTIN_CYTOSKELETON	213	130		
REGULATION_OF_LIPOLYSIS_IN_ADIPOCYTES	54	34		
RELAXIN_SIGNALING_PATHWAY	129	82		
RENAL_CELL_CARCINOMA	68	48		
RENIN_SECRETION	68	39		
RENIN-ANGIOTENSIN_SYSTEM	22		Rejected!	
RETINOL_METABOLISM	66		Rejected!	
RETROGRADE_ENDOCANNABINOID_SIGNALING	147	77		
RHEUMATOID_ARTHRITIS	90	45		
RIBOFLAVIN_METABOLISM	7		Rejected!	
RIBOSOME	152	124		
RIBOSOME_BIOGENESIS_IN_EUKARYOTES	100	51		
SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	33	22		
SALIVARY_SECRETION	89	39		
SALMONELLA_INFECTION	85	57		
SELENOCOMPOUND_METABOLISM	16		Rejected!	
SEROTONERGIC_SYNAPSE	112	40		
SHIGELLOSIS	64	49		
SIGNALING_PATHWAYS_REGULATING_PLURIPOTENCY_OF_STEM_CELLS	138	61		
SMALL_CELL_LUNG_CANCER	92	63		
SPHINGOLIPID_METABOLISM	46	23		
SPHINGOLIPID_SIGNALING_PATHWAY	118	76		
SPLICEOSOME	133	110		
STAPHYLOCOCCUS_AUREUS_INFECTION	67	22		
STARCH_AND_SUCROSE_METABOLISM	35	17		
STEROID_BIOSYNTHESIS	18		Rejected!	
STEROID_HORMONE_BIOSYNTHESIS	59		Rejected!	
SULFUR_METABOLISM	8		Rejected!	
SULFUR_RELAY_SYSTEM	7		Rejected!	
SYNAPTIC_VESICLE_CYCLE	77	36		
SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES	9		Rejected!	
SYSTEMIC_LUPUS_ERYTHEMATOSUS	132	34		
T_CELL_RECEPTOR_SIGNALING_PATHWAY	100	64		
TGF-BETA_SIGNALING_PATHWAY	89	53		
TNF_SIGNALING_PATHWAY	109	73		
TASTE_TRANSDUCTION	82		Rejected!	
TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
TERPENOID_BACKBONE_BIOSYNTHESIS	21		Rejected!	
TH1_AND_TH2_CELL_DIFFERENTIATION	91	56		
TH17_CELL_DIFFERENTIATION	106	66		
THERMOGENESIS	230	162		
THIAMINE_METABOLISM	14		Rejected!	
THYROID_CANCER	36	28		
THYROID_HORMONE_SIGNALING_PATHWAY	115	79		
THYROID_HORMONE_SYNTHESIS	73	35		
TIGHT_JUNCTION	169	100		
TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY	103	49		
TOXOPLASMOSIS	112	68		
TRANSCRIPTIONAL_MISREGULATION_IN_CANCER	185	100		
TRYPTOPHAN_METABOLISM	41	16		
TUBERCULOSIS	178	95		
TYPE_I_DIABETES_MELLITUS	42	21		
TYPE_II_DIABETES_MELLITUS	45	24		
TYROSINE_METABOLISM	35		Rejected!	
UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS	10		Rejected!	
UBIQUITIN_MEDIATED_PROTEOLYSIS	136	105		
VEGF_SIGNALING_PATHWAY	58	34		
VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION	47	28		
VASCULAR_SMOOTH_MUSCLE_CONTRACTION	131	72		
VASOPRESSIN-REGULATED_WATER_REABSORPTION	43	34		
VIBRIO_CHOLERAE_INFECTION	49	38		
VIRAL_CARCINOGENESIS	200	122		
VIRAL_MYOCARDITIS	58	36		
VITAMIN_B6_METABOLISM	5		Rejected!	
VITAMIN_DIGESTION_AND_ABSORPTION	23		Rejected!	
WNT_SIGNALING_PATHWAY	157	75		
ALPHA-LINOLENIC_ACID_METABOLISM	24		Rejected!	
BETA-ALANINE_METABOLISM	30		Rejected!	
CAMP_SIGNALING_PATHWAY	211	99		
CGMP-PKG_SIGNALING_PATHWAY	165	100		
MRNA_SURVEILLANCE_PATHWAY	90	59		
MTOR_SIGNALING_PATHWAY	151	89		
P53_SIGNALING_PATHWAY	71	50		
