Wreck ID;Strauss ID;Name;Parker Number;Sea area;Country;Region;Latitude;Longitude;Min depth;Max depth;Depth;Period;Dating;Earliest date;Latest date;Date range;Mid point of date range;Probability;Place of origin;Place of destination;Reference;Comments;Amphorae;Marble;Columns etc;Sarcophagi;Blocks;Marble type;Other cargo;Hull remains;Shipboard paraphernalia;Ship equipment;Estimated tonnage;Amphora type
11;372;Ognina A;755;Central Mediterranean;Italy;Near Syracuse, east coast of Sicily;;;7;8;8m;Roman Imperial;early C3rd AD;215;230;;;;Aegean/N. Africa/Propontis;Sicily/Rome?;"G. Käpitan, Recherches sur les Amphores Romaines, (1972), 243-52 and Mariner's Mirror 59  (1973), 229-30; G. Kapitän and M. Price, IJNA 3 (1974), 150-53; P. Gargallo, Mariner's Mirror 58 (1972), 443-6 and pls 12-13; H. Frost, Mariner's Mirror 59 (1973), 334";'A substantial amphora wreck'.: Mostly Africano 1, with Dr.20, Beltran 2B and Käpitan 1 and 2 and other forms. One amphora contained 13kg of blue frit used for colouring glass.;SAND;FALSK;FALSK;FALSK;FALSK;;;The ship was luxuriously furnished: innumerable fragments of mosaic still embedded in cement showed that the floor was decorated with a coloured, figurative design, surrounded by a black and white geometric border. Small marble columns probably flanked a doorway.;Statuettes of bronze (notably a satyr) and blue glass, glass vessels and other luxury items. The wreck is dated by 18 or 19 coins, including issues of Perinthos, Smyrna and Byzantium of AD 210-215. A ceramic hip bath.;Lead tubing and a group of four bronze pulley wheels.;;
12;12;Kizil Burun Column;;Aegean;Turkey;Southwest of Izmir;38,26075;26,24256;45;50;50m;Roman Republic;Late C 2nd-1st BC;-125;-25;;;;Proconnesus;Claros, Turkey?;"http://ina.tamu.edu/kizilburun/index.htm
D. Carlson, INA Quarterly 31.1 (2004), 3-9; J. Daniel, INA Quarterly 31.1 (2004), 13-14; K. Trego, INA Quarterly 31.1 (2004), 11-12; D. Carlson,  INA Quarterly 33.1(2006), 1-10; J. Daniel,  INA Quarterly 33.1 (2006), 13-14; K. Trego,  INA Quarterly 33.1 (2006), 11-12; D. Carlson, INA Quarterly 34.1 (2007), 3-10;  D. Hamilton and D. Carlson, The INA Annual 2008 Projects (2009), 11-14.";Discovered in 1993 and excavated between 2005 and 2009, this is the wreck of a navis lapidaria which carried a cargo of newly quarried Proconnesian marble columns seemingly destined for the Temple of Apollo in Claros, Turkey.;SAND;SAND;SAND;FALSK;SAND;Eight Proconnesian marble column drums averaging about 3 feet tall and ranging in diameter from 5 to 5.5 feet. This incremental graduation suggests that the eight drums and one capital comprise a single column over 30 feet tall. Newly quarried stone as the drums are not fluted and still preserve traces of corkscrew-shaped hoisting grooves. A group of large rectangular marble blocks which probably represent architectural elements associated with the column. This area also yielded an interesting array of newly-quarried, roughly-finished marble objects such as a small hand basin, the pedestal for one of two larger basins, and at least 6 uninscribed grave stones or stele. More than a dozen marble blocks.;Undecorated, utilitarian cookware (plates, casseroles). Numerous Italian ceramics including cooking pans. Several types of typical Hellenistic fineware (moldmade bowls, grey ware, and black glaze cups, bowls, and salt cellars).Nine bronze handles.;More than 250 fasteners, most of them copper (or copper alloy?) nails and enough small but well-preserved wood fragments to suggest that some hull remains have survived beneath one or more of the drums. At least 24 timbers have been sent for analysis and some of the transverse timbers were made of ash.;The head of a double axe, an axe-adze, a tool for removing nails, a chisel, (all in concretion). The remains of a large metal cauldron, an intact ceramic jug and a terracotta herm figurine. A worn and corroded bronze coin, probably Greek.;An anchor (in concretion, which with two lead anchor collars shows the transition from the use of wooden anchors to the introduction of iron anchors), a lead sounding weight, and an elaborate iron concretion that probably represents an important part of the ship's equipment.;;
13;337;Vele Orjule/Lussino;;Adriatic;Croatia;Near Losinj Island;44,5;14,53333;40;50;50m;Roman;C1st BC- 2nd AD;-110;170;;;;Greece;Northern Italy;"M. Jurisi?, Ancient Shipwrecks of the Adriatic (2000), no.80; M.-E. Stenuit et al, IJNA 30 (2001)196-210; G. Purpura, archeologia Viva 119 (2005), 60-61.
http://www.mclink.it/assoc/assonet/arcart/lussino.htm";A solitary statue was discovered in several pieces in 1997 and has now been fully restored.;FALSK;FALSK;FALSK;FALSK;FALSK;;A life-size bronze statue of 'Apoxyomenos' was found as a solitary find. Supposedly a Hellenistic or Roman copy of the famous Greek C4th original. Dated by organic material found inside the statue.;;A few sherds of Lam. 2 and two solitary Forl. type amphorae found at a distance.;A lead anchor stock nearby and another smaller one at a distance.;;
14;362;Mazara del vallo;;Central Mediterranean;Italy;Between Sicily and Cap Bon, Tunisia;;;400;500;500m;Roman Republic;C3rd-2nd BC;-300;-100;;;;Greece;?;"http://www.ancientworlds.net/aw/Article/740225             http://www.uciim.sicilia.it/SATIRO/raccolta_foto_SATIRO.htm
http://www.museicapitolini.org/en/eventi/mostra_satiro.htm
G. Lattanzi, Navi e Citta Sommerse (2007), 120-121; R. Petriaggi, Archaeologia Mediterranea maritima 2007, 193-198";Discovered in 1998;SAND;FALSK;FALSK;FALSK;FALSK;;"A bronze satyr was retrieved on two different occasions: the discovery of the left leg, caught up in the nets of a fishing boat from Mazara in 1997, was followed by the discovery of the body in March 1998,  missing the other leg and the arms, however. The figure had larger than lifesize dimensions and was more than two metres tall. The overall weight of the preserved parts is around 108 kilograms (96 for the body, 12 the detached leg). The young Satyr is caught in the act of dancing, with his arms outspread, possibly holding a cup and a thyrsus, the left leg slightly raised and the head turned to one side with hair flowing around.
His semi-feral nature is shown by his pointed ears.";The remains of the ship were identified by a lateral scansion sonar analysis of the relative stretch of sea.;;;;
15;72;Aghios Eustratios(?);;Aegean;Greece;Between Euboea and Lesbos;;;;;Not known;early Roman Imperial;End of C1st BC;-25;-1;;;;Aegean;?;National Museum of Athens.;;FALSK;FALSK;FALSK;FALSK;FALSK;;Bronze statue of Augustus riding a horse.Tthis is the only preserved life-size equestrian statue of him. He wears a heavy chiton and a mantle and holds the reins with his left hand.;;;;;
16;503;Tyre F;1189;Eastern Mediterranean;Lebanon;On the south side of Tyre;;;;;Shallow;Hellenistic/ Roman;C 3rd-2nd BC;-200;-100;;;;?;?;"Summary reports, R. Marx, IJNA 3 (1974), 332; Parker (1992), 1189.";Presumably amphorae were found at this looted site dated to the C3rd and C2nd BC.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
17;1;Marmaris B;658;Aegean;Turkey;Marmaris;;;;;Not known;Classical/Hellenistic;Classical/Hellenistic;-400;-25;;;;Aegean;?;"G. Kapitän, Tropis 1 (1989),147-62; Parker (1992), 658.";;FALSK;SAND;FALSK;FALSK;FALSK;Louteria, similar in shape and concretion to those  in the Bodrum Museum.;;;;;;
18;2;Kuçük Keramit Adasi;559;Aegean;Turkey;North of Bodrum;;;;;Not known;Classical/Hellenistic;c. 300BC;-310;-300;;;;Samos;?;"J. Rosloff,  IJNA 10 (1981), 277-86; Parker (1992), 559.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
19;3;Kizil Burun;547;Aegean;Turkey;Marmaris Peninsula;;;;;45m;Classical/Hellenistic;300-250 BC;-300;-250;;;;Rhodes;?;"J. P. Rosloff, IJNA 10 (1981), 277-86; Parker (1992), 547";;SAND;FALSK;FALSK;FALSK;FALSK;;;;A lagynos.;;;
20;4;Serçe Limani B;1071;Aegean;Turkey;Marmaris Peninsula;;;35;37;37m;Hellenistic;early C3rd BC;-300;-270;;;;Egypt? Datça Peninsula;?;"G. Bass, IJNA 3 (1974), 335-38; Türk Arkeoloji Dergisi 22.2 (1975), 33-38; V. Grace, BCH Supp 13 (1986), 551-65; C. Pulak and Townsend, AJA 91 (1987), 31-57; J-Y. Empereur and N. Tuma, BCH 112 (1988), 341-59; Parker (1992), 1071; D. Gibbins, in Z. Archibald et al (eds.), Hellenistic Economies (2001), 273-312.
http://ina.tamu.edu/";Although many amphorae had been looted before excavation, hundreds remained buried in sand.;SAND;FALSK;FALSK;FALSK;FALSK;;"Minor cargo of small handle-less pots possibly for unguents, courseware jugs and black gloss ware. Twenty seven jars of uniform size and shape were found (heights vary between 8.2 and 9.3 cm.).  They may have originally contained unguents as the narrow mouth and carefully formed rim indicate their use for such valuable liquids. The jars may originate in Egypt.
This globular amphora has comparable parallels to ones from Pergamun and Tarsus, but enough differences exist to mark this one as unusual.
Millstones.";"Hull timbers with lead sheathing; woven fabric between the two.";It is  known that the ship sank in early summer as the amphorae were packed with freshly-cut brushwood. One stamped amphora from Thasos. A pair of lever-mill stones.;Lead piping, lead rings and wooden toggles.;;
21;5;Mandalya Gulf B;643;Aegean;Turkey;North of Bodrum;;;;;Shallow;Hellenistic/Roman;C 3rd-2nd BC;-300;-100;;;;Aegean;?;"G. Bass, Anatolian Studies 36 (1986), 214-16; Parker (1992), 643.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
22;7;Serçe Limani C;1072;Aegean;Turkey;Marmaris Peninsula;;;;;Not known;Hellenistic/Roman;150-100 BC;-150;-100;;;;Palestine/Rhodes;?;"G. Bass, II Kazi Sonuçlari Toplantisi Ankara (1981), 15-17; Parker (1992), 1072.";;SAND;FALSK;FALSK;FALSK;FALSK;;Palestinian pottery.;;;;;
23;8;Sarah Ky;1038;Aegean;Turkey;Marmaris Peninsula;;;;;6-7m;Hellenistic/Roman;C 3rd-1st BC;-300;-1;;;;Rhodes;?;"G. D’Angelo, Anfore ed Ancore Sommerse (1980), pl. 11; Parker (1992), 1038.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
24;10;Knidos A;548;Aegean;Turkey;Western tip of Datça Peninsula;;;;;36m;Roman Republican;C 2nd-1st BC;-200;-1;;;;Aegean;?;"G. Bass, IJNA 3 (1974), 335-8, Türk Arkeoloji Dergisi 22.2 (1975), 33-38; Parker (1992), 548.";;FALSK;FALSK;FALSK;FALSK;FALSK;;Cups, lamps and two-handled bowls.;;;;;
25;11;Knidos B;549;Aegean;Turkey;Western tip of Datça Peninsula;;;;;36m;Roman Republican;C 2nd-1st BC;-200;-1;;;;Aegean;?;"G. Bass, IJNA 3 (1974), 335-8, Türk Arkeoloji Dergisi 22.2 (1975), 33-38; Parker (1992), 549.";;SAND;FALSK;FALSK;FALSK;FALSK;;"A large cargo of roof tiles, both pantiles and cover tiles. 
Some coarse pottery.";;Cooking ware.;;;
26;13;Arap Adasi;50;Aegean;Turkey;South west of Marmaris;;;83;100;100m;Roman Republican;C 1st BC;-100;-1;;;;Rhodes;?;"G. Bass and M. Katzev Archaeology 21 (1968), 164-73; B. Ridgeway Expedition 10.1 (1967), 3-9; G. Bass and L. Joline Expedition 11.2 (1968), 9-12.";;SAND;FALSK;FALSK;FALSK;FALSK;;Bronze statue of a woman, C 3rd  BC.  Not necessarily from the same wreck.;Fragments of bronze and wood.;;;;
27;14;Bodrum;105;Aegean;Turkey;Bodrum;;;;;35m;Roman Republican;C 1st BC;-100;-1;;;;Cos;?;"C. Pulak, INA Newsletter 12.2 (1985), 2-3; Parker (1992), 105.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
28;15;Yalikavak;1238;Aegean;Turkey;North of Bodrum;;;;;88m, found by fishermen;Roman Republican;C 1st BC;-100;-1;;;;Aegean;?;"G. Bass, Archaeology Underwater (1966), 82-3; G. Bass and L. Joline, Expedition 11.2 (1968), 9-12; Parker (1992), 1238; www.turkish-embassy.si/underwater.htm";;SAND;FALSK;FALSK;FALSK;FALSK;;"Tiles. Bronze statue of a negro boy, 47cm high, broken off at the waist; a bronze figurine of Isis-Fortuna 28cm high, with right arm and left wrist missing.";;Cooking ware, a lagynos and a lamp.;;;
29;16;Çökertme B;325;Aegean;Turkey;East of Bodrum;;;;;Shallow;Roman Republican;C 1st BC;-100;-1;;;;Cnidus;?;"J. P. Rosloff, IJNA 10 (1981), 277-86; Parker (1992), 325.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
30;17;Cape Gelidonya B;209;Aegean;Turkey;South of Kemer;;;;;45m;Roman Republican;50-25 BC;-50;-25;;;;Eastern Cilicia;Aegean? Rome?;"G. Bass, IJNA 3 (1974), 335-8, Türk Arkeoloji Dergisi 22.2 (1975), 33-38; Parker (1992), 209";;FALSK;FALSK;FALSK;FALSK;FALSK;;Over 300 pieces of Eastern Sigillata A pottery, including plates, larger plates, cups and bowls.;;;;;
31;18;Sancak Burun;1026;Aegean;Turkey;East of Bodrum;;;;;36m;Roman Imperial;Late C 1st BC-AD;-25;100;;;;Rhodes;?;"G. Bass, IJNA 3 (1974), 335-8, Türk Arkeoloji Dergisi 22.2 (1975), 33-38; Parker (1992), 1026.";;SAND;FALSK;FALSK;FALSK;FALSK;;;Hull timbers;;;;
32;19;Mandalya Gulf A;642;Aegean;Turkey;North of Bodrum;;;;;Shallow;Roman Imperial;50 BC-AD 50;-50;50;;;;Cos;?;"G. Bass Anatolian Studies 36 (1986), 214-16; Parker (1992), 642.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
33;20;Ince Ada;516;Aegean;Turkey;South west of Marmaris;;;;;30m;Roman Imperial;C 1st AD;1;100;;;;Aegean;?;"G. Bass, Türk Arkeoloji Dergisi 22.2 (1975), 33-38; Parker (1992), 516.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
34;21;Karaba?la;534;Aegean;Turkey;Yassi Ada Reef, west of Bodrum;;;;;8m;Roman Imperial;C 1st AD;1;100;;;;Rhodes;?;"P. Throckmorton, National Geographic 117 (1960), 682-703; H. Frost, Under the Mediterranean, (1963), 160-68; Parker (1992), 534.";;SAND;FALSK;FALSK;FALSK;FALSK;;Tiles, lamps and pottery.;;;;;
35;22;Cakil Burnu;;Aegean;Turkey;Sea of Marmara;;;25;35;35m;Roman;C1st AD;1;100;;;;Cos?;Black Sea?;INA Survey 1998 www.diveturkey.com/soa/english/sept08_2001en.htm;Amphorae paralleled in 1st c AD Coan forms.;SAND;FALSK;FALSK;FALSK;FALSK;;;Lead sheathing.;One large roof tile, a one-handled jug.;;;
36;23;Sigacek;;Aegean;Turkey;?;;;;;?;Roman;C1st AD;1;100;;;;?;?;http://www.thy.com/en-INT/skylife/archive/en/2002_9/konu7.htm#1;;FALSK;SAND;SAND;FALSK;SAND;8 column drums, a plinth and slabs.;;;;;;
37;6;Gökova;457;Aegean;Turkey;Gökova Gulf;;;;;10-15m;Hellenistic/Roman;C 3rd-2nd BC;-300;-100;;;;Rhodes;?;"C. Pulak, INA Newsletter 15 (1988):10; Parker (1992), 457.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
38;100;?ile;1088;Black Sea;Turkey;Near ?ile;;;;;6m, 400m from the coast;Roman Imperial;AD 100-125;100;125;;;;Thessaly, Proconnesus;Black Sea;"M. Mellink AJA 77 (1973), 191; M. Beykan in N. Herz and M. Waelkens (eds.), Classical Marble: Geochemistry, Technology and Trade (1988), 127-137;  Parker (1992), 1088.";;FALSK;SAND;SAND;FALSK;SAND;"Two 10 foot columns, finished state; large verde antico block from Thessaly; five Ionic capitals, a column base, two blocks and a plaque from Proconnesus, some roughly quarried, some half finished. 
Huge unfinished statue of an emperor (4.5m), a  large female bust that may date to the early C2nd AD. A sarcophagus lid, a stele and two bowls. 
There may be more marble buried in the sand.";;Hull timbers and metal objects.;;;;
39;24;Bozukkale;112;Aegean;Turkey;Marmaris Peninsula;;;;;Not known;Not known;Not known;;;;;;?;?;"J. Rosloff, IJNA 10 (1981), 277-86; Parker (1992), 112.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;2 coarse ware bowls and a jug.;;;
40;101;Sinope deep wreck A;;Black Sea;Turkey;Northern Turkey;;;85;95;95 m;early Byzantine;C5th - 7th AD;400;700;;;;Black Sea;?;"http://archives.cnn.com/2000/NATURE/11/02/ancient.shipwreck/index.html
R. Ballard et al., AJA 105 (2001), 607-23, at p. 616;  C. Ward and B. Ballard, IJNA 33 (2004), 2-13; C. Ward and R. Horlings, The remote exploration and archaeological survey of four Byzantine ships in the Black Sea, in R. Ballard, ed., Archaeological Oceanography (2008, Princeton University Press), pp. 148-173";A deep-water archaological survey conducted during 2000 about 15-30km west of Sinope revealed 4 of the best-preserved ships from antiquity. This wreck consists of two mounds of pottery, one 23 x 10 m and the other 4 x 4 m, with protruding ship timbers. Amphorae are carrot-shaped, typical of Sinope.;SAND;FALSK;FALSK;FALSK;FALSK;;;Timbers can be seen but it's not definite that they belong to this wreck. However the ship 's estimated length is 18m.;;;;
41;102;no name;;Black Sea;Bulgaria;?;;;84;84;84m;Classical / Hellenistic;C5th- 3rd BC;-500;-200;;;;South coast Black Sea;?;http://news.nationalgeographic.com/news/2003/01/0110_030113_blacksea.html (2002);Discovered in 2002 and investigated by a submersible, the ship had been carrying amphora types typical of Sinope, including one very large one, 1m tall x 5m wide. This was the only one brought up to the surface in which there was evidence of bones of freshwater catfish, with cut marks visible on the fish bones. Strangely, several olive pits and resin were also found in the same amphora.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
42;30;Piadha;810;Aegean;Greece;North of Epidaurus, Argolis;;;30;35;30-35m;Hellenistic/Roman;C 5th-1st BC;-500;-1;;;;Aegean;?;"G. Papathanassopoulos, IJNA 9 (1980), 164-67; Parker (1992), 810.";;FALSK;FALSK;FALSK;FALSK;FALSK;;Laconian tiles;;;;;
43;300;Preveza B;905;Central Mediterranean;Greece;In the area of Actium;;;;;Not known;Hellenistic/Roman;300-250 BC;-300;-250;;;;Corinth;Italy?;"G. Kapitän, IJNA 2 (1973), 185-6; C. Koehler, Archaeological News 8 (1979), 55-61; Parker (1992), 905.";Corinthian A and B forms, now in the British Museum.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
44;305;Methone A;693;Central Mediterranean;Greece;Near Methone, Peloponnese;;;;;Shallow;Hellenistic?;Hellenistic?;-425;-25;;;;Aegean?;Italy?;"P. Throckmorton and J. Bullitt, Expedition 5 (1963), 16-23; Parker (1992), 693.";A badly broken-up wreck, presumably with amphorae that are not described.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
45;31;Marathon;650;Aegean;Greece;Near Marathon, Attica;;;;;Not known;Hellenistic/Roman;C 4th-1st BC;-400;-1;;;;Athens;?;"K. Rhomaios, Arkhailogikon Deltion 9 (1924-5), 145-87; G. Bass, Archaeology Underwater (1966), 79; Parker (1992), 650.";;FALSK;FALSK;FALSK;FALSK;FALSK;;Famous bronze statue of a boy, perhaps the god Hermes. It is the work of the school of Praxiteles and is dated to 325-300 BC.;Wood fragments.;;;;
46;306;Preveza A;904;Central Mediterranean;Greece;Near Actium;;;;;18m;Hellenistic/Roman;200-150 BC;-200;-150;;;;Italy;?;"Brief report only,  I. Vokotopoulou, Arkhailogikon Deltion 24 (1970), 253 and pl.257 b; Parker (1992), 904.";Graeco-Italic, perhaps Will Type D. Large numbers;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
47;33;Dhrapi;363;Aegean;Greece;Between Hydra and Spetsai, Peloponnese;;;;;35-40m;Hellenistic/Roman;250-50 BC;-250;-50;;;;Rhodes;?;"G. Papathanassopoulos, IJNA 9 (1980), 164-67; Parker (1992), 363.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;Lead anchor stock.;;
48;34;Artemision;57;Aegean;Greece;Northern Euboea;;;;;35-40m;Hellenistic/Roman;200-80 BC;-200;-80;;;;Corinth?;Pergamum?;"V. Kallipolitis, Athens Annals of Archaeology 5 (1972), 419-26; R. Wünsche, Jahrbuch des Deutschen Archäologischen Instituts 94 (1979), 77-111; Parker (1992), 57; S. Hemingway, The Horse and Jockey from Artemision: A Bronze Equestrian Monument of the Hellenistic Period   (Berkeley:  University of California Press, 2004).";;FALSK;FALSK;FALSK;FALSK;FALSK;;Bronze works of art, including C5th male statue of Poseidon/Zeus brandishing a trident with his raised right hand. It is an original work of a great sculptor, possibly  Kalamis, and a C2nd horse and jockey. The Jockey's physiognomy and original black skin are those of an Ethiopian, but his hairstyle is Greek, which implies that he is of mixed heritage. He is most likely a professional jockey. The best interpretation is that the group was set up in a sanctuary to honour one or more victories in horse races. The large size of the monument and the high quality of the sculpture suggest commission by a royal or wealthy Greek aristocratic. Lots of pottery, two cups and a lamp (perhaps dating the site to ca.150 BC).;Timbers lie in situ.;Stone pestle.;Lead anchor stock and grinding stones.;;
49;307;Limeni;597;Central Mediterranean;Greece;South west Peloponnese;;;;;Not known;Roman Republican;Early C 1st BC;-100;-75;;;;?;?;"G. Touchais, BCH 102 (1978), 678;  Parker (1992), 597.";;SAND;FALSK;FALSK;FALSK;FALSK;;;A large merchant ship?;;;;
50;35;Rhaphina;982;Aegean;Greece;East coast of Attica;;;;;Not known;Roman Republican;C 1st BC;-100;-1;;;;Cos;?;"H Hoffman, Ten Centuries that Shaped the West: Greek and Roman Art in the Texas Collections (1971), nos. 206-7; Parker (1992), 982.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
51;308;Areopolis;54;Central Mediterranean;Greece;Mani, Peloponnese;;;;;6-14m;Roman Republican;C 1st BC;-100;-1;;;;Adriatic;Aegean;"F. Frost, Archaeologia 25 (1968), 40-3; Parker (1992), 54.";Scattered Lamboglia  2.;SAND;FALSK;FALSK;FALSK;FALSK;;;Possibly a 30m ship?;;;;
