"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Entity 1.TranTime","TALLY AVERAGE","Transfer Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity 1.VATime","TALLY AVERAGE","VA Time","Entity","Entity 1",1.97436482819423,1.99230539097875,1.96922017286519,1.9789139669511,1.97690560720873,1.96529764777536,2.0386545221637,1.96712366125377,1.97947676347613,2.0228964562571,1.98846694248416,1.96976097652768,1.98639802954213,1.99933721186315,2.01040942271557,1.99959328983544,2.01593231320194,2.01669970702698,2.01138442870019,1.98744862564469,2.02402040850101,2.01400291988601,2.01237790079979,2.02755763979945,1.96412256521208,1.99258135306709,1.99741609309994,1.98482162632209,2.0191810686891,1.99507966475548
"Entity 1.WaitTime","TALLY AVERAGE","Wait Time","Entity","Entity 1",0.159868781025056,0.229852137218632,0.232536320696471,0.179281283806982,0.249138086890383,0.348503811406901,0.211150789505513,7.22399031382451E-02,0.237305669781717,0.273111925939298,0.242736737909935,0.173338967508765,0.343599909895081,0.268333886865696,0.293467026433005,0.184297415617939,0.281830764481267,0.216676057560864,0.260021166805409,0.19134666195274,0.332813399676226,0.163625350856663,0.182019602755531,0.142256391996682,0.28574485901954,0.154247644395404,0.267794670622885,0.212587051248907,0.270286916448275,0.233728427800949
"Entity 1.WIP","DSTAT AVERAGE","WIP","Entity","Entity 1",2.01060071095305,2.19591494535246,2.16375242047612,2.1482917739467,2.34076677945644,2.5143248105033,2.12328156501995,1.63450963842977,2.37826696785743,2.55918992644729,2.15915933902399,2.11164037109852,2.50661648757386,2.22175436758802,2.41866135192773,2.2714326045862,2.45094728286209,2.33483710169507,2.21198695181603,2.06396458958019,2.54653488716784,2.00202484080639,2.10839447689606,1.8053308254288,2.39437475918388,1.77890685470195,2.29445496214273,2.22688520292498,2.25131018538508,2.06382104395898
"Process 1.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Process 1.Queue",0.116435886718772,0.19343801030587,0.184114923308821,0.139421022498267,0.19355535211811,0.263516378190695,0.144261367727356,3.93378722359719E-02,0.196088173909581,0.22870182633424,0.188620783611476,0.144547135922454,0.308559120793563,0.213876094170113,0.234721677905741,0.15454901847941,0.201143938421866,0.171901318768823,0.179776313640042,0.133844404983308,0.258467963762525,0.113883876413608,0.142495892066055,9.63311621138674E-02,0.204340914855035,9.98661248436931E-02,0.205131805846804,0.158710880837517,0.217812807592707,0.174946136412424
"Process 1.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Process 1.Queue",0.123104021200464,0.195063539804238,0.18723551522931,0.140004374056838,0.183609820191093,0.241389048724301,0.152523031958438,4.86654089517179E-02,0.181703327174901,0.204046239108615,0.194287502432422,0.146376846503751,0.283031279936473,0.217501112715369,0.22266088022679,0.148962909377745,0.1885724422705,0.161535614116285,0.183601341589831,0.140273612209581,0.238585812703869,0.122565606902537,0.147409543516609,0.115022283121036,0.191569607676595,0.120441557600434,0.201768989357512,0.155471883269405,0.221504550094279,0.188282837394537
"Process 2.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Process 2.Queue",3.34410954922181E-02,3.25832579591181E-02,4.35768907064735E-02,3.83662506103234E-02,6.80396391167915E-02,0.114029417500115,5.45722923903352E-02,0.02084241303608,7.57169945362805E-02,7.72666949462339E-02,4.60247297014614E-02,2.59028487944981E-02,9.68878622507966E-02,0.048867503385881,7.30180528363527E-02,4.68772746128668E-02,9.94755436914848E-02,5.60918318037998E-02,7.26609024668752E-02,4.70086312279471E-02,9.93064408894186E-02,3.65360063135134E-02,0.033114264105335,2.50165851275188E-02,9.92629978532266E-02,2.73881817825147E-02,6.48944870312718E-02,5.65335085520012E-02,4.79693269147629E-02,4.04005834887699E-02
"Process 2.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Process 2.Queue",3.55126677793467E-02,3.29957042623981E-02,4.43154820743799E-02,3.85267788555549E-02,6.47996563017061E-02,0.104854636781715,5.76975778576231E-02,0.0260530162951,7.01777631295268E-02,0.069453208940435,4.76117893463394E-02,2.62307329564537E-02,9.00748343933174E-02,4.99072375004742E-02,6.92465746682415E-02,4.51829152895101E-02,9.32583222107671E-02,5.38481585316478E-02,7.45240025301285E-02,4.97007554832921E-02,9.16674838979249E-02,3.86871270772655E-02,3.45540147186105E-02,3.00199021530226E-02,0.0930590604874,3.30309730040379E-02,6.40933205247129E-02,5.58355640019764E-02,4.87823663539961E-02,4.36763064743459E-02
"Resource 1.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Resource 1",0.960561588641371,0.996774898561467,0.976137582727697,1.0012823864916,1.04680824205679,1.06663828221897,0.958546464967297,0.775423565933503,1.05997223537141,1.13740575880488,0.968025013215778,0.974203791691968,1.04394334477622,0.984522564690303,1.06454616591725,1.03806027676407,1.07356860540922,1.05470723422346,0.979507288437791,0.940351270741847,1.09025148011038,0.943351880162266,0.973418246088122,0.848841029655285,1.03538650008734,0.838113190292554,1.01565894697874,0.999863030187335,0.981733387231393,0.94146798705018
"Resource 1.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Resource 1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Resource 1.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Resource 1",0.480280794320685,0.498387449280734,0.488068791363849,0.500641193245798,0.523404121028393,0.533319141109487,0.479273232483649,0.387711782966752,0.529986117685707,0.56870287940244,0.484012506607889,0.487101895845984,0.521971672388112,0.492261282345151,0.532273082958624,0.519030138382034,0.536784302704612,0.527353617111731,0.489753644218896,0.470175635370923,0.545125740055192,0.471675940081133,0.486709123044061,0.424420514827642,0.517693250043671,0.419056595146277,0.507829473489368,0.499931515093667,0.490866693615696,0.47073399352509
"Resource 2.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Resource 2",0.900162140100689,0.973118778526008,0.95992302373313,0.969222114346513,1.03236354616475,1.07014073259351,0.965901439934957,0.798905787224212,1.04648956404015,1.11581564636194,0.956488812495271,0.966986594689601,1.05722615975328,0.974488205341725,1.04637545526839,1.03194603472985,1.07675919533952,1.05213671689898,0.980042447271318,0.942760282627092,1.09850900240552,0.908253077917001,0.959366074636545,0.835142048532127,1.05538434638828,0.813539357783193,1.00876972228592,1.01177778334813,1.00379466364622,0.907006337007603
"Resource 2.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Resource 2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Resource 2.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Resource 2",0.450081070050344,0.486559389263004,0.479961511866565,0.484611057173256,0.516181773082376,0.535070366296755,0.482950719967479,0.399452893612106,0.523244782020076,0.557907823180968,0.478244406247635,0.483493297344801,0.528613079876642,0.487244102670862,0.523187727634196,0.515973017364925,0.538379597669759,0.526068358449492,0.490021223635659,0.471380141313546,0.549254501202758,0.454126538958501,0.479683037318273,0.417571024266064,0.527692173194138,0.406769678891596,0.504384861142958,0.505888891674064,0.501897331823108,0.453503168503801
