id,cohort,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1041,5,0.847,0.827,0.893,0.837,0.807,0.782,0.741,0.751,0.724,0.686,0.653
1042,4,0.765,0.765,0.720,0.723,0.714,0.663,0.681,0.730,0.729,0.722,0.686
1043,1,0.756,0.752,0.762,0.682,0.662,0.688,0.653,0.674,0.669,0.681,0.683
1044,1,0.651,0.666,0.643,0.664,0.601,0.625,0.631,0.633,0.607,0.605,0.609
1045,3,0.707,0.670,0.699,0.705,0.730,0.771,0.756,0.751,0.740,0.756,0.683
1046,1,0.799,0.735,0.739,0.793,0.810,0.813,0.728,0.749,0.754,0.731,0.704
1047,4,0.817,0.769,0.763,0.792,0.825,0.848,0.881,0.864,0.931,0.946,0.933
1048,2,0.823,0.803,0.780,0.728,0.747,0.755,0.772,0.711,0.747,0.792,0.869
1049,2,0.783,0.776,0.746,0.722,0.704,0.763,0.831,0.869,0.855,0.887,0.953
1050,2,0.735,0.666,0.658,0.637,0.711,0.690,0.683,0.656,0.677,0.652,0.686
1051,1,0.555,0.560,0.574,0.560,0.607,0.618,0.621,0.590,0.618,0.618,0.620
1052,2,0.827,0.866,0.896,0.910,0.888,0.841,0.784,0.747,0.772,0.762,0.783
1053,1,0.635,0.644,0.665,0.693,0.678,0.723,0.756,0.761,0.814,0.791,0.784
1054,3,0.571,0.585,0.626,0.636,0.562,0.544,0.549,0.559,0.567,0.569,0.538
1055,5,0.840,0.789,0.817,0.762,0.776,0.778,0.810,0.863,0.884,0.882,0.871
1056,5,0.732,0.752,0.710,0.717,0.665,0.696,0.682,0.681,0.699,0.745,0.733
1057,1,0.779,0.802,0.776,0.777,0.778,0.771,0.730,0.812,0.792,0.855,0.926
1058,5,0.864,0.881,0.938,0.921,0.887,0.916,0.933,0.887,0.935,0.880,0.843
1059,4,0.503,0.465,0.469,0.490,0.502,0.509,0.517,0.488,0.474,0.515,0.470
1060,3,0.814,0.854,0.751,0.717,0.734,0.703,0.729,0.711,0.704,0.700,0.675
1061,2,0.668,0.672,0.659,0.650,0.685,0.717,0.760,0.737,0.781,0.746,0.764
1062,5,0.909,0.829,0.775,0.783,0.732,0.722,0.737,0.705,0.727,0.786,0.826
1063,2,0.703,0.719,0.753,0.740,0.772,0.772,0.730,0.801,0.749,0.770,0.792
1064,5,0.840,0.813,0.772,0.788,0.832,0.762,0.802,0.865,0.860,0.771,0.783
1065,5,0.821,0.792,0.783,0.751,0.671,0.660,0.603,0.674,0.723,0.734,0.765
1066,2,0.794,0.761,0.667,0.653,0.646,0.689,0.689,0.662,0.685,0.695,0.713
1067,4,0.553,0.575,0.594,0.592,0.576,0.548,0.571,0.570,0.541,0.541,0.550
1068,1,0.830,0.781,0.746,0.805,0.757,0.754,0.747,0.750,0.833,0.836,0.840
1069,1,0.811,0.864,0.858,0.923,0.953,0.935,0.917,0.913,0.892,0.931,0.906
1070,2,0.608,0.618,0.624,0.623,0.631,0.641,0.660,0.666,0.661,0.660,0.649
1071,3,0.679,0.735,0.704,0.636,0.599,0.603,0.562,0.549,0.539,0.555,0.509
1072,5,0.788,0.758,0.787,0.801,0.768,0.767,0.677,0.703,0.705,0.722,0.740
1073,4,0.823,0.881,0.929,0.942,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1074,4,0.605,0.614,0.603,0.602,0.621,0.693,0.699,0.655,0.666,0.678,0.685
1075,2,0.542,0.540,0.498,0.462,0.432,0.437,0.438,0.435,0.422,0.454,0.474
1076,2,0.661,0.640,0.708,0.725,0.735,0.733,0.710,0.708,0.647,0.635,0.593
1077,3,0.842,0.831,0.868,0.862,0.805,0.766,0.758,0.727,0.711,0.702,0.740
1078,5,0.815,0.840,0.863,0.881,0.839,0.851,0.883,0.917,0.893,0.893,0.915
1079,5,0.586,0.602,0.617,0.634,0.634,0.628,0.616,0.645,0.643,0.696,0.670
1080,4,0.739,0.764,0.808,0.763,0.824,0.798,0.740,0.823,0.796,0.793,0.816
1081,3,0.780,0.770,0.726,0.756,0.731,0.761,0.794,0.817,0.745,0.771,0.733
1082,3,0.683,0.682,0.687,0.587,0.543,0.548,0.524,0.512,0.496,0.476,0.499
1083,4,0.814,0.737,0.716,0.692,0.676,0.649,0.661,0.632,0.652,0.668,0.677
1084,1,0.709,0.729,0.793,0.788,0.826,0.879,0.973,0.981,1.000,1.000,1.000
1085,5,0.668,0.687,0.717,0.768,0.766,0.723,0.747,0.725,0.748,0.798,0.771
1086,5,0.784,0.769,0.734,0.724,0.712,0.719,0.726,0.729,0.785,0.740,0.694
1087,5,0.799,0.821,0.772,0.814,0.872,0.834,0.904,0.853,0.795,0.757,0.730
1088,1,0.831,0.867,0.911,0.890,0.898,0.830,0.782,0.812,0.771,0.779,0.791
1089,1,0.816,0.847,0.832,0.816,0.845,0.895,0.930,0.962,1.000,0.947,0.979
1090,1,0.772,0.832,0.813,0.842,0.827,0.820,0.806,0.797,0.849,0.797,0.777
1091,1,0.675,0.701,0.709,0.704,0.644,0.665,0.625,0.590,0.595,0.628,0.578
1092,1,0.818,0.794,0.809,0.835,0.851,0.831,0.765,0.763,0.829,0.836,0.826
1093,5,0.749,0.740,0.777,0.847,0.770,0.794,0.863,0.860,0.890,0.839,0.851
1094,1,0.936,0.938,0.962,0.995,0.900,0.974,1.000,1.000,1.000,1.000,1.000
1095,4,0.773,0.820,0.914,0.892,0.860,0.836,0.787,0.679,0.662,0.640,0.636
1096,4,0.894,0.946,1.000,0.951,1.000,1.000,1.000,0.935,0.857,0.843,0.888
1097,5,0.909,0.900,0.835,0.807,0.854,0.980,1.000,1.000,1.000,0.963,0.989
1098,2,0.809,0.765,0.762,0.813,0.798,0.785,0.767,0.810,0.792,0.751,0.793
1099,3,0.783,0.755,0.827,0.935,0.957,0.922,0.921,0.934,0.942,0.868,0.841
1100,1,0.732,0.692,0.649,0.654,0.640,0.613,0.583,0.567,0.553,0.591,0.602
1101,5,0.731,0.670,0.680,0.695,0.709,0.816,0.819,0.817,0.807,0.797,0.801
1102,3,0.769,0.794,0.771,0.744,0.738,0.745,0.676,0.678,0.671,0.646,0.615
1103,1,0.700,0.740,0.685,0.665,0.663,0.602,0.636,0.595,0.590,0.594,0.592
1104,1,0.737,0.767,0.716,0.730,0.813,0.737,0.703,0.679,0.773,0.775,0.756
1105,4,0.825,0.799,0.751,0.722,0.687,0.726,0.701,0.710,0.636,0.619,0.580
1106,5,0.692,0.678,0.661,0.716,0.684,0.653,0.608,0.636,0.570,0.576,0.547
1107,5,0.816,0.838,0.860,0.954,0.953,0.970,0.945,1.000,1.000,1.000,0.972
1108,5,0.678,0.661,0.654,0.614,0.622,0.614,0.631,0.680,0.698,0.720,0.763
1109,2,0.624,0.649,0.680,0.711,0.753,0.706,0.702,0.666,0.668,0.719,0.773
1110,5,0.520,0.519,0.509,0.527,0.534,0.569,0.552,0.592,0.619,0.634,0.679
1111,2,0.504,0.495,0.500,0.540,0.531,0.509,0.515,0.521,0.501,0.510,0.504
1112,1,0.926,0.964,0.977,1.000,1.000,0.970,0.924,0.832,0.859,0.923,0.937
1113,4,0.804,0.783,0.786,0.780,0.768,0.728,0.695,0.702,0.702,0.647,0.638
1114,3,0.694,0.649,0.677,0.693,0.714,0.710,0.775,0.831,0.807,0.803,0.843
1115,2,0.643,0.673,0.635,0.627,0.636,0.587,0.615,0.606,0.587,0.567,0.607
1116,5,0.898,0.872,0.869,0.842,0.858,0.876,0.926,0.985,0.967,1.000,1.000
1117,4,0.731,0.684,0.700,0.696,0.666,0.660,0.623,0.617,0.644,0.644,0.627
1118,4,0.876,0.884,0.899,1.000,1.000,1.000,0.977,1.000,1.000,1.000,1.000
1119,1,0.779,0.830,0.844,0.748,0.764,0.705,0.682,0.663,0.609,0.623,0.603
1120,1,0.675,0.652,0.685,0.698,0.725,0.681,0.717,0.710,0.780,0.821,0.805
1121,1,0.566,0.506,0.496,0.502,0.502,0.459,0.440,0.427,0.399,0.412,0.428
1122,5,0.865,0.869,0.971,1.000,0.929,0.936,1.000,1.000,1.000,1.000,1.000
1123,3,0.622,0.635,0.609,0.618,0.635,0.665,0.707,0.647,0.576,0.580,0.590
1124,2,0.623,0.605,0.590,0.579,0.597,0.599,0.588,0.610,0.573,0.608,0.617
1125,2,0.807,0.755,0.783,0.837,0.834,0.900,0.945,0.981,1.000,1.000,1.000
