 001 MESOP_PERU  Mesoplodon peruvianus                   Pygmy beaked whale                                                    
  CM             Chelonia mydas/agassizi                 Green/Black sea turtle                                                    
  DC             Dermochelys coriacea                    Leatherback sea turtle                                                    
  EI             Eretmochelys imbricata                  Hawksbill sea turtle                                                    
  HT                                                     Hybrid sea turtle                                                    
  LK             Lepidochelys kempi                      Kemp's Ridley turtle                                                    
  LV             Lepidochelys olivacea                   Olive Ridley sea turtle                                                    
  ND             Natator depressus                       Flatback turtle                                                    
  UH             Other than D. coriacea                  Unidentified hardshell sea turtle                                                    
  UT             Chelonidae                              Unidentified sea turtle                                                    
  RT             Rhincodon typus                         Whale shark                                                    
  UU                                                     Unidentified.  Unknown origin
