"Census Profile, 2021 Census of Population",,,,,,,,,,,,
,,,"Nanaimo, City (CY) [Census subdivision], British Columbia",,"Oak Bay, District municipality (DM) [Census subdivision], British Columbia",,"Victoria, City (CY) [Census subdivision], British Columbia",,"Surrey, City (CY) [Census subdivision], British Columbia",,"Vancouver, City (CY) [Census subdivision], British Columbia",
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,8235,,1735,,23510,,37470,,95120,
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,1385,,410,,11000,,8835,,94815,
Household and dwelling characteristics,  Other single-attached house,,85,,5,,80,,155,,695,
Household and dwelling characteristics,  Movable dwelling,4,1085,,0,,35,,1055,,20,
Household and dwelling characteristics,Total - Private households by household size - 100% data,,43165,,7805,,49225,,185670,,305335,
Household and dwelling characteristics,  1 person,,13510,,2430,,24100,,36850,,119805,
Household and dwelling characteristics,  2 persons,,16535,,2990,,17060,,50710,,100730,
Household and dwelling characteristics,  3 persons,,5940,,935,,4295,,31895,,38600,
Household and dwelling characteristics,  4 persons,,4565,,1010,,2620,,33690,,29140,
Household and dwelling characteristics,  5 or more persons,,2615,,445,,1145,,32530,,17060,
Household and dwelling characteristics,Number of persons in private households,,97020,,17640,,87890,,562560,,650380,
Household and dwelling characteristics,Average household size,,2.3,,2.3,,1.8,,3,,2.1,
Household type,Total - Household type - 100% data,,43165,,7810,,49220,,185675,,305335,
Household type,  One-census-family households without additional persons,,23825,,4765,,19975,,107675,,142375,
Household type,    Couple-family households,,20105,,4305,,17160,,92430,,122210,
Household type,      With children,6,7910,,1785,,5135,,56995,,53125,
Household type,      Without children,,12200,,2525,,12025,,35430,,69085,
Household type,    One-parent-family households,,3715,,460,,2815,,15255,,20160,
Household type,  Multigenerational households,8,980,,110,,365,,17860,,8260,
Household type,  Multiple-census-family households,9,325,,50,,160,,3590,,2030,
Household type,  One-census-family households with additional persons,9,1935,,215,,940,,9685,,9045,
Household type,  Two-or-more-person non-census-family households ,,2580,,235,,3680,,10000,,23825,
Household type,  One-person households,,13510,,2435,,24100,,36855,,119805,
Income of households in 2020,Total - Income statistics for private households - 100% data,26,43165,,7805,,49225,,185670,,305335,
Income of households in 2020,  Median total income of household in 2020 ($),,75500,,107000,,67500,,98000,,82000,
Income of households in 2020,  Median after-tax income of household in 2020 ($),,68500,,93000,,60000,,87000,,72000,
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,13510,,2435,,24100,,36855,,119805,
Income of households in 2020,      Median total income of one-person households in 2020 ($),,40400,,49200,,44000,,44400,,46400,
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,36800,,43600,,40000,,40400,,41600,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,29650,,5375,,25120,,148815,,185530,
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,97000,,146000,,97000,,114000,,112000,
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,86000,,124000,,87000,,101000,,99000,
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,43165,,7810,,49225,,185670,,305335,
Income of households in 2020,  Average total income of household in 2020 ($),,91600,,154800,,86400,,116600,,114900,
Income of households in 2020,  Average after-tax income of household in 2020 ($),,79600,,120800,,73300,,100100,,92500,
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,13510,,2435,,24095,,36780,,119745,
Income of households in 2020,      Average total income of one-person households in 2020 ($),,48280,,69100,,53850,,53700,,63300,
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,42240,,56650,,46040,,45520,,51200,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,29655,,5370,,25125,,148890,,185595,
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,111300,,193600,,117700,,132200,,148200,
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,96600,,150000,,99400,,113600,,119200,
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,43165,,7805,,49225,,185670,,305335,
Income of households in 2020,"  Under $5,000",,430,,85,,715,,2030,,7260,
Income of households in 2020,"  $5,000 to $9,999",,195,,35,,355,,870,,2990,
Income of households in 2020,"  $10,000 to $14,999",,365,,50,,585,,1260,,4025,
Income of households in 2020,"  $15,000 to $19,999",,960,,120,,1505,,2675,,8210,
Income of households in 2020,"  $20,000 to $24,999",,1965,,300,,2800,,5055,,14595,
Income of households in 2020,"  $25,000 to $29,999",,1510,,230,,2135,,4445,,10570,
Income of households in 2020,"  $30,000 to $34,999",,1630,,175,,2200,,4570,,10515,
Income of households in 2020,"  $35,000 to $39,999",,1810,,215,,2375,,5515,,11620,
Income of households in 2020,"  $40,000 to $44,999",,1955,,215,,2275,,5505,,10450,
Income of households in 2020,"  $45,000 to $49,999",,2025,,205,,2310,,5570,,10315,
Income of households in 2020,"  $50,000 to $59,999",,3610,,435,,4345,,11750,,20760,
Income of households in 2020,"  $60,000 to $69,999",,3435,,405,,4025,,11935,,19740,
Income of households in 2020,"  $70,000 to $79,999",,3020,,400,,3685,,11830,,18775,
Income of households in 2020,"  $80,000 to $89,999",,2780,,385,,3080,,11170,,17225,
Income of households in 2020,"  $90,000 to $99,999",,2505,,385,,2605,,10800,,15485,
Income of households in 2020,"  $100,000 and over",,14965,,4160,,14235,,90685,,122810,
Income of households in 2020,"    $100,000 to $124,999",,4960,,790,,4790,,23760,,31225,
Income of households in 2020,"    $125,000 to $149,999",,3425,,625,,3155,,19300,,23270,
Income of households in 2020,"    $150,000 to $199,999",,3870,,945,,3420,,24430,,29850,
Income of households in 2020,"    $200,000 and over",,2710,,1805,,2865,,23195,,38465,
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,43165,,7805,,49225,,185670,,305335,
Income of households in 2020,"  Under $5,000",,480,,125,,790,,2345,,8305,
Income of households in 2020,"  $5,000 to $9,999",,200,,35,,370,,900,,3055,
Income of households in 2020,"  $10,000 to $14,999",,375,,60,,600,,1300,,4095,
Income of households in 2020,"  $15,000 to $19,999",,995,,120,,1565,,2750,,8565,
Income of households in 2020,"  $20,000 to $24,999",,2055,,315,,2985,,5360,,15495,
Income of households in 2020,"  $25,000 to $29,999",,1745,,260,,2530,,4940,,12065,
Income of households in 2020,"  $30,000 to $34,999",,1865,,195,,2660,,5335,,12080,
Income of households in 2020,"  $35,000 to $39,999",,2180,,270,,2710,,6300,,13130,
Income of households in 2020,"  $40,000 to $44,999",,2305,,240,,2805,,6420,,12385,
Income of households in 2020,"  $45,000 to $49,999",,2120,,275,,2600,,6575,,12390,
Income of households in 2020,"  $50,000 to $59,999",,4125,,505,,5065,,13850,,24430,
Income of households in 2020,"  $60,000 to $69,999",,3705,,470,,4315,,13880,,22815,
Income of households in 2020,"  $70,000 to $79,999",,3450,,455,,3830,,13415,,20975,
Income of households in 2020,"  $80,000 to $89,999",,3035,,445,,3030,,12955,,18315,
Income of households in 2020,"  $90,000 to $99,999",,2690,,410,,2500,,11940,,15955,
Income of households in 2020,"  $100,000 and over",,11830,,3630,,10885,,77405,,101285,
Income of households in 2020,"    $100,000 to $124,999",,4745,,830,,4410,,25510,,31545,
Income of households in 2020,"    $125,000 to $149,999",,3075,,715,,2605,,18460,,22240,
Income of households in 2020,"    $150,000 and over",,4005,,2080,,3865,,33435,,47500,
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,97020,,17640,,87890,,562560,,650380,
Low income and income inequality in 2020,  0 to 17 years,,16920,,2940,,9990,,114065,,85590,
Low income and income inequality in 2020,    0 to 5 years,,5015,,585,,3470,,33980,,28350,
Low income and income inequality in 2020,  18 to 64 years,,57605,,8880,,59105,,364890,,457950,
Low income and income inequality in 2020,  65 years and over,,22490,,5820,,18795,,83605,,106840,
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,10720,,1400,,11515,,49290,,86125,
Low income and income inequality in 2020,  0 to 17 years,,2155,,250,,1375,,12250,,11150,
Low income and income inequality in 2020,    0 to 5 years,,655,,60,,490,,3560,,3325,
Low income and income inequality in 2020,  18 to 64 years,,5625,,690,,7025,,28135,,55890,
Low income and income inequality in 2020,  65 years and over,,2940,,460,,3110,,8900,,19085,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,11.1,,8,,13.1,,8.8,,13.2,
Low income and income inequality in 2020,  0 to 17 years (%),,12.7,,8.5,,13.7,,10.7,,13,
Low income and income inequality in 2020,    0 to 5 years (%),,13,,10,,14.1,,10.5,,11.7,
Low income and income inequality in 2020,  18 to 64 years (%),,9.8,,7.7,,11.9,,7.7,,12.2,
Low income and income inequality in 2020,  65 years and over (%),,13.1,,8,,16.6,,10.6,,17.9,
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,97020,,17640,,87890,,562565,,650380,
Low income and income inequality in 2020,  0 to 17 years,,16925,,2940,,9985,,114070,,85590,
Low income and income inequality in 2020,    0 to 5 years,,5010,,580,,3470,,33980,,28345,
Low income and income inequality in 2020,  18 to 64 years,,57610,,8875,,59110,,364885,,457945,
Low income and income inequality in 2020,  65 years and over,,22490,,5825,,18795,,83610,,106845,
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,4565,,810,,5225,,33465,,65275,
Low income and income inequality in 2020,  0 to 17 years,,720,,195,,460,,6165,,7110,
Low income and income inequality in 2020,    0 to 5 years,,185,,30,,140,,1680,,1960,
Low income and income inequality in 2020,  18 to 64 years,,3395,,520,,4275,,24010,,49925,
Low income and income inequality in 2020,  65 years and over,,455,,95,,485,,3290,,8240,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,4.7,,4.6,,6,,6,,10,
Low income and income inequality in 2020,  0 to 17 years (%),,4.3,,6.7,,4.6,,5.4,,8.3,
Low income and income inequality in 2020,    0 to 5 years (%),,3.7,,6,,4,,4.9,,6.9,
Low income and income inequality in 2020,  18 to 64 years (%),,5.9,,5.8,,7.2,,6.6,,10.9,
Low income and income inequality in 2020,  65 years and over (%),,2,,1.6,,2.6,,3.9,,7.7,
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,97020,,17640,,87890,,562560,,650385,
Low income and income inequality in 2020,  In bottom half of the distribution,,51920,,5290,,46805,,256025,,303380,
Low income and income inequality in 2020,    In bottom decile,,10645,,1425,,11525,,50875,,88275,
Low income and income inequality in 2020,    In second decile,,10790,,1005,,9535,,46855,,59770,
Low income and income inequality in 2020,    In third decile,,10350,,890,,8905,,48645,,53530,
Low income and income inequality in 2020,    In fourth decile,,9945,,870,,8405,,52520,,50535,
Low income and income inequality in 2020,    In fifth decile,,10195,,1100,,8425,,57125,,51270,
Low income and income inequality in 2020,  In top half of the distribution,,45105,,12350,,41085,,306535,,347000,
Low income and income inequality in 2020,    In sixth decile,,9925,,1255,,8160,,58855,,53315,
Low income and income inequality in 2020,    In seventh decile,,9390,,1500,,7775,,62680,,55165,
Low income and income inequality in 2020,    In eighth decile,,9505,,1995,,8225,,64710,,61520,
Low income and income inequality in 2020,    In ninth decile,,8960,,2535,,8595,,65355,,70990,
Low income and income inequality in 2020,    In top decile,,7320,,5065,,8345,,54935,,106000,
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,97020,,17640,,87890,,562565,,650380,
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.303,,0.416,,0.344,,0.304,,0.413,
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.427,,0.48,,0.449,,0.403,,0.504,
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.272,,0.354,,0.306,,0.272,,0.361,
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,3.6,,5,,4.1,,3.5,,5,
Indigenous population,Total - Indigenous identity for the population in private households - 25% sample data,44,97020,,17640,,87890,,562565,,650380,
Indigenous population,  Indigenous identity,45,7905,,345,,4365,,12180,,14660,
Indigenous population,    Single Indigenous responses,46,7525,,320,,4160,,11645,,13940,
Indigenous population,      First Nations (North American Indian),,4345,,170,,2345,,6370,,9335,
Indigenous population,      Métis,,3115,,150,,1785,,5160,,4465,
Indigenous population,      Inuk (Inuit),,60,,0,,25,,115,,140,
Indigenous population,    Multiple Indigenous responses,47,230,,0,,135,,345,,380,
Indigenous population,    Indigenous responses not included elsewhere,48,155,,25,,70,,185,,335,
Indigenous population,  Non-Indigenous identity,,89110,,17295,,83530,,550390,,635720,
Indigenous population,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,44,97020,,17640,,87890,,562565,,650380,
Indigenous population,  Registered or Treaty Indian,49,3000,,90,,1530,,4020,,7005,
Indigenous population,  Not a Registered or Treaty Indian,,94020,,17550,,86360,,558540,,643375,
Household characteristics,Total - Private households - 2016,,39165,,7735,,45765,,169965,,283915,
Household characteristics,Total - Private households by tenure - 25% sample data,50,43165,,7810,,49225,,185670,,305335,
Household characteristics,  Owner,,28780,,5820,,19455,,129100,,138845,
Household characteristics,  Renter,,14385,,1990,,29765,,56575,,166490,
Household characteristics,"  Dwelling provided by the local government, First Nation or Indian band",,0,,0,,0,,0,,0,
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,51,43165,,7810,,49225,,185670,,305335,
Household characteristics,  Condominium,,6990,,900,,15085,,40330,,112105,
Household characteristics,  Not condominium,,36175,,6910,,34140,,145345,,193235,
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,52,43165,,7810,,49225,,185670,,305335,
Household characteristics,  No bedrooms,,345,,80,,2265,,1515,,13860,
Household characteristics,  1 bedroom,,5865,,1175,,19425,,23605,,111060,
Household characteristics,  2 bedrooms,,12730,,1800,,17385,,47855,,84935,
Household characteristics,  3 bedrooms,,13150,,1880,,6435,,48825,,42445,
Household characteristics,  4 or more bedrooms,,11080,,2865,,3710,,63875,,53045,
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,53,43165,,7810,,49225,,185670,,305335,
Household characteristics,  1 to 4 rooms,,13355,,1850,,31515,,67455,,187470,
Household characteristics,  5 rooms,,7195,,885,,6935,,27495,,37350,
Household characteristics,  6 rooms,,6000,,750,,3760,,22145,,22780,
Household characteristics,  7 rooms,,4745,,960,,2515,,18505,,16460,
Household characteristics,  8 or more rooms,,11870,,3365,,4495,,50075,,41275,
Household characteristics,Average number of rooms per dwelling,,6.1,,7,,4.3,,5.9,,4.5,
Household characteristics,Total - Private households by number of persons per room - 25% sample data,54,43165,,7810,,49225,,185670,,305335,
Household characteristics,  One person or fewer per room,,42685,,7770,,48460,,171410,,295970,
Household characteristics,  More than one person per room,,480,,35,,765,,14260,,9370,
Household characteristics,Total - Private households by housing suitability - 25% sample data,55,43165,,7810,,49225,,185670,,305335,
Household characteristics,  Suitable,,41640,,7675,,46495,,163120,,281445,
Household characteristics,  Not suitable,,1525,,140,,2725,,22555,,23890,
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,56,43165,,7810,,49225,,185670,,305335,
Household characteristics,  1960 or before,,5605,,4610,,15050,,7990,,62225,
Household characteristics,  1961 to 1980,,11285,,1885,,16265,,28485,,69110,
Household characteristics,  1981 to 1990,,6295,,480,,4655,,32095,,35990,
Household characteristics,  1991 to 2000,,7945,,225,,4475,,36435,,47170,
Household characteristics,  2001 to 2005,,2160,,95,,1590,,18110,,19415,
Household characteristics,  2006 to 2010,,3135,,90,,2260,,22650,,22755,
Household characteristics,  2011 to 2015,,2775,,160,,1780,,18825,,20935,
Household characteristics,  2016 to 2021,57,3960,,255,,3145,,21090,,27740,
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,58,43165,,7810,,49225,,185670,,305335,
Household characteristics,  Only regular maintenance and minor repairs needed,,40930,,7365,,46175,,178630,,286035,
Household characteristics,  Major repairs needed,,2235,,445,,3045,,7045,,19300,
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,59,43165,,7810,,49225,,185670,,305335,
Household characteristics,  One-maintainer household,,21270,,3840,,29905,,77530,,171540,
Household characteristics,  Two-maintainer household,,19455,,3700,,17620,,84900,,115355,
Household characteristics,  Three-or-more-maintainer household,,2435,,265,,1700,,23245,,18440,
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,60,43165,,7810,,49225,,185670,,305335,
Household characteristics,  15 to 24 years,,1545,,125,,2750,,5770,,11910,
Household characteristics,  25 to 34 years,,5585,,420,,9980,,24100,,65870,
Household characteristics,  35 to 44 years,,6800,,745,,8295,,36535,,56605,
Household characteristics,  45 to 54 years,,6470,,1205,,6825,,39345,,51270,
Household characteristics,  55 to 64 years,,8120,,1530,,7660,,37245,,50645,
Household characteristics,  65 to 74 years,,8385,,2010,,8150,,25625,,40465,
Household characteristics,  75 to 84 years,,4685,,1230,,4140,,12665,,19715,
Household characteristics,  85 years and over,,1575,,540,,1425,,4385,,8870,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",61,43025,,7780,,49045,,184940,,303725,
Household characteristics,  Spending less than 30% of income on shelter costs,,32520,,5970,,32375,,136720,,202070,
Household characteristics,  Spending 30% or more of income on shelter costs,,10500,,1810,,16675,,48210,,101655,
Household characteristics,    30% to less than 100%,,9560,,1550,,14890,,42835,,82575,
Household characteristics,Total - Occupied private dwellings by housing indicators - 25% sample data,62,43165,,7805,,49220,,185670,,305335,
Household characteristics,  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',,13290,,2235,,20495,,70980,,131005,
Household characteristics,    Spending 30% or more of income on shelter costs only,,9655,,1665,,14935,,42425,,89520,
Household characteristics,    Not suitable only,,1130,,95,,1805,,17875,,16295,
Household characteristics,    Major repairs needed only,,1550,,330,,1870,,4055,,11715,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable',,275,,40,,715,,3630,,5895,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'major repairs needed',,560,,110,,975,,1940,,5880,
Household characteristics,    'Not suitable' and 'major repairs needed',,110,,0,,150,,835,,1345,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',,15,,0,,60,,215,,360,
Household characteristics,  Acceptable housing,,29875,,5570,,28725,,114695,,174335,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",63,42080,,7520,,47260,,179560,,284650,
Household characteristics,  In core need,,5005,,735,,9160,,27705,,54210,
Household characteristics,  Not in core need,,37075,,6785,,38100,,151855,,230435,
Household characteristics,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",,28765,,5815,,19455,,128910,,138850,
Household characteristics,  % of owner households with a mortgage,64,58.2,,42.1,,56.1,,68.1,,50.7,
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,61,16.3,,15.8,,21.5,,24,,26.3,
Household characteristics,  % in core housing need,63,5.9,,4.5,,8.3,,10.2,,11.2,
Household characteristics,  Median monthly shelter costs for owned dwellings ($),65,1170,,1210,,1310,,1820,,1460,
Household characteristics,  Average monthly shelter costs for owned dwellings ($),65,1382,,2034,,1586,,2018,,2084,
Household characteristics,  Median value of dwellings ($),66,600000,,1400000,,750000,,1000000,,1450000,
Household characteristics,  Average value of dwellings ($),66,625500,,1640000,,821000,,1102000,,1728000,
Household characteristics,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",,14385,,1990,,29765,,56560,,166485,
Household characteristics,  % of tenant households in subsidized housing,67,10.1,,13.3,,11.2,,8.9,,12.1,
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,61,40.7,,44.9,,42.2,,30.9,,39.4,
Household characteristics,  % in core housing need,63,24.2,,25.5,,26.8,,27.6,,25.7,
Household characteristics,  Median monthly shelter costs for rented dwellings ($),65,1250,,1300,,1300,,1300,,1570,
Household characteristics,  Average monthly shelter costs for rented dwellings ($),65,1328,,1606,,1378,,1434,,1660,
Household characteristics,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",,0,,0,,0,,0,,0,
Household characteristics,"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",61,,...,,...,,...,,...,,...
Household characteristics,"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",65,,...,,...,,...,,...,,...
Household characteristics,"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",65,,...,,...,,...,,...,,...
Mobility status 1 year ago,Total - Mobility status 1 year ago - 25% sample data,163,96325,,17540,,87305,,557165,,645400,
Mobility status 1 year ago,  Non-movers,,80915,,15465,,69985,,477360,,531810,
Mobility status 1 year ago,  Movers,,15415,,2080,,17315,,79810,,113585,
Mobility status 1 year ago,    Non-migrants,,9365,,1205,,10740,,52285,,74590,
Mobility status 1 year ago,    Migrants,,6045,,875,,6580,,27530,,39000,
Mobility status 1 year ago,      Internal migrants,,5405,,680,,5510,,18845,,23805,
Mobility status 1 year ago,        Intraprovincial migrants,,3785,,425,,3120,,14370,,14460,
Mobility status 1 year ago,        Interprovincial migrants,,1615,,260,,2390,,4470,,9345,
Mobility status 1 year ago,      External migrants,,650,,200,,1070,,8680,,15190,
Mobility status 5 years ago,Total - Mobility status 5 years ago - 25% sample data,164,92975,,17130,,85000,,534315,,626725,
Mobility status 5 years ago,  Non-movers,,47800,,10995,,39975,,295100,,345375,
Mobility status 5 years ago,  Movers,,45175,,6135,,45025,,239215,,281350,
Mobility status 5 years ago,    Non-migrants,,20400,,1165,,13785,,116785,,129275,
Mobility status 5 years ago,    Migrants,,24775,,4970,,31235,,122435,,152085,
Mobility status 5 years ago,      Internal migrants,,21570,,4180,,26085,,67210,,86030,
Mobility status 5 years ago,        Intraprovincial migrants,,15680,,3295,,18105,,54260,,56025,
Mobility status 5 years ago,        Interprovincial migrants,,5885,,880,,7980,,12945,,30010,
Mobility status 5 years ago,      External migrants,,3205,,795,,5150,,55225,,66055,
Labour force status,Total - Population aged 15 years and over by labour force status - 25% sample data,184,82905,,15345,,79470,,468615,,580010,
Labour force status,  In the labour force,,49970,,8170,,53400,,308190,,394670,
Labour force status,    Employed,,45770,,7595,,49070,,281715,,359280,
Labour force status,    Unemployed,,4200,,575,,4330,,26470,,35390,
Labour force status,  Not in the labour force,,32935,,7175,,26075,,160425,,185345,
Labour force status,Participation rate,,60.3,,53.2,,67.2,,65.8,,68,
Labour force status,Employment rate,,55.2,,49.5,,61.7,,60.1,,61.9,
Labour force status,Unemployment rate,,8.4,,7,,8.1,,8.6,,9,
Work activity during the reference year,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,185,82905,,15345,,79470,,468615,,580015,
Work activity during the reference year,  Did not work,186,33055,,6820,,26000,,171560,,191360,
Work activity during the reference year,  Worked,,49855,,8525,,53470,,297055,,388655,
Work activity during the reference year,    Worked full year full time,187,24475,,4130,,27030,,152155,,200890,
Work activity during the reference year,    Worked part year and/or part time,188,25380,,4395,,26445,,144900,,187760,
Work activity during the reference year,    Average weeks worked in reference year,,41,,40.6,,41.2,,40.6,,40.7,
Class of worker including job permanency,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,189,49975,,8170,,53400,,308190,,394670,
Class of worker including job permanency,  Class of worker - not applicable,190,1040,,110,,870,,7460,,7915,
Class of worker including job permanency,  All classes of workers,191,48935,,8055,,52535,,300730,,386760,
Class of worker including job permanency,    Employee,,40770,,5930,,44135,,254605,,316775,
Class of worker including job permanency,      Permanent position,,34345,,4665,,36595,,213885,,257520,
Class of worker including job permanency,      Temporary position,,6425,,1260,,7545,,40725,,59255,
