"Census Profile, 2021 Census of Population",,,,,,,,,,,,
,,,"Burnaby, City (CY) [Census subdivision], British Columbia",,"Coquitlam, City (CY) [Census subdivision], British Columbia",,"Port Moody, City (CY) [Census subdivision], British Columbia",,"West Vancouver, District municipality (DM) [Census subdivision], British Columbia",,"Maple Ridge, City (CY) [Census subdivision], British Columbia",
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,23835,,11860,,3210,,1600,,4760,
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,29715,,8370,,1895,,3810,,1000,
Household and dwelling characteristics,  Other single-attached house,,195,,35,,5,,5,,5,
Household and dwelling characteristics,  Movable dwelling,4,5,,250,,5,,10,,195,
Household and dwelling characteristics,Total - Private households by household size - 100% data,,101135,,55950,,13110,,17690,,33105,
Household and dwelling characteristics,  1 person,,29575,,12820,,2950,,4955,,7315,
Household and dwelling characteristics,  2 persons,,33180,,17730,,4400,,5880,,10425,
Household and dwelling characteristics,  3 persons,,17015,,10600,,2545,,2785,,5740,
Household and dwelling characteristics,  4 persons,,13325,,9625,,2355,,2700,,5880,
Household and dwelling characteristics,  5 or more persons,,8040,,5180,,860,,1365,,3735,
Household and dwelling characteristics,Number of persons in private households,,245725,,147465,,33455,,43385,,89840,
Household and dwelling characteristics,Average household size,,2.4,,2.6,,2.6,,2.5,,2.7,
Household type,Total - Household type - 100% data,,101135,,55950,,13105,,17690,,33105,
Household type,  One-census-family households without additional persons,,55410,,35505,,8990,,11170,,20865,
Household type,    Couple-family households,,47280,,30485,,7820,,9620,,18090,
Household type,      With children,6,24750,,17650,,4445,,4980,,10265,
Household type,      Without children,,22530,,12830,,3375,,4635,,7825,
Household type,    One-parent-family households,,8135,,5030,,1170,,1550,,2775,
Household type,  Multigenerational households,8,4090,,2520,,320,,480,,1680,
Household type,  Multiple-census-family households,9,1135,,720,,100,,165,,480,
Household type,  One-census-family households with additional persons,9,4110,,2230,,370,,550,,1645,
Household type,  Two-or-more-person non-census-family households ,,6815,,2165,,385,,375,,1110,
Household type,  One-person households,,29575,,12815,,2945,,4950,,7315,
Income of households in 2020,Total - Income statistics for private households - 100% data,26,101135,,55950,,13110,,17690,,33105,
Income of households in 2020,  Median total income of household in 2020 ($),,83000,,92000,,115000,,104000,,105000,
Income of households in 2020,  Median after-tax income of household in 2020 ($),,73500,,82000,,99000,,90000,,92000,
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,29575,,12815,,2945,,4950,,7315,
Income of households in 2020,      Median total income of one-person households in 2020 ($),,42800,,46000,,59600,,51600,,44000,
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,39200,,41600,,51600,,45200,,39600,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,71565,,43130,,10165,,12735,,25785,
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,105000,,112000,,135000,,136000,,125000,
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,93000,,99000,,116000,,116000,,108000,
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,101135,,55950,,13110,,17690,,33110,
Income of households in 2020,  Average total income of household in 2020 ($),,105100,,113800,,141800,,212600,,118900,
Income of households in 2020,  Average after-tax income of household in 2020 ($),,88700,,96200,,114600,,145000,,101100,
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,29580,,12825,,2940,,4950,,7325,
Income of households in 2020,      Average total income of one-person households in 2020 ($),,52650,,54250,,73800,,92700,,52050,
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,44880,,45720,,60150,,70000,,44800,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,71555,,43125,,10175,,12740,,25790,
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,126700,,131400,,161400,,259200,,138000,
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,106800,,111200,,130400,,174000,,117100,
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,101135,,55950,,13110,,17690,,33105,
Income of households in 2020,"  Under $5,000",,2800,,1115,,125,,415,,250,
Income of households in 2020,"  $5,000 to $9,999",,1060,,440,,60,,170,,125,
Income of households in 2020,"  $10,000 to $14,999",,1185,,570,,70,,210,,210,
Income of households in 2020,"  $15,000 to $19,999",,2240,,925,,145,,305,,490,
Income of households in 2020,"  $20,000 to $24,999",,4410,,1700,,245,,645,,995,
Income of households in 2020,"  $25,000 to $29,999",,3110,,1445,,195,,525,,855,
Income of households in 2020,"  $30,000 to $34,999",,3235,,1590,,230,,465,,775,
Income of households in 2020,"  $35,000 to $39,999",,3770,,1855,,315,,535,,885,
Income of households in 2020,"  $40,000 to $44,999",,3560,,1740,,335,,520,,895,
Income of households in 2020,"  $45,000 to $49,999",,3495,,1790,,305,,510,,970,
Income of households in 2020,"  $50,000 to $59,999",,6970,,3665,,680,,1020,,1895,
Income of households in 2020,"  $60,000 to $69,999",,6545,,3685,,705,,920,,1940,
Income of households in 2020,"  $70,000 to $79,999",,6440,,3400,,730,,820,,1875,
Income of households in 2020,"  $80,000 to $89,999",,6075,,3335,,750,,780,,1780,
Income of households in 2020,"  $90,000 to $99,999",,5375,,3005,,670,,690,,1750,
Income of households in 2020,"  $100,000 and over",,40870,,25690,,7540,,9170,,17405,
Income of households in 2020,"    $100,000 to $124,999",,11460,,6505,,1600,,1495,,4285,
Income of households in 2020,"    $125,000 to $149,999",,8430,,4970,,1430,,1245,,3620,
Income of households in 2020,"    $150,000 to $199,999",,10550,,6825,,2035,,1755,,5005,
Income of households in 2020,"    $200,000 and over",,10430,,7390,,2480,,4675,,4495,
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,101135,,55950,,13110,,17690,,33105,
Income of households in 2020,"  Under $5,000",,3015,,1210,,145,,615,,280,
Income of households in 2020,"  $5,000 to $9,999",,1065,,455,,65,,175,,130,
Income of households in 2020,"  $10,000 to $14,999",,1210,,595,,70,,215,,210,
Income of households in 2020,"  $15,000 to $19,999",,2315,,960,,150,,320,,510,
Income of households in 2020,"  $20,000 to $24,999",,4610,,1790,,265,,685,,1055,
Income of households in 2020,"  $25,000 to $29,999",,3510,,1620,,230,,560,,945,
Income of households in 2020,"  $30,000 to $34,999",,3625,,1790,,270,,540,,940,
Income of households in 2020,"  $35,000 to $39,999",,4340,,2140,,385,,610,,950,
Income of households in 2020,"  $40,000 to $44,999",,4140,,2100,,395,,640,,1120,
Income of households in 2020,"  $45,000 to $49,999",,4130,,2110,,395,,615,,1075,
Income of households in 2020,"  $50,000 to $59,999",,7975,,4330,,865,,1065,,2380,
Income of households in 2020,"  $60,000 to $69,999",,7765,,4170,,860,,1075,,2200,
Income of households in 2020,"  $70,000 to $79,999",,7295,,3955,,880,,925,,2160,
Income of households in 2020,"  $80,000 to $89,999",,6595,,3655,,835,,845,,2195,
Income of households in 2020,"  $90,000 to $99,999",,5865,,3285,,835,,755,,2205,
Income of households in 2020,"  $100,000 and over",,33670,,21785,,6475,,8055,,14740,
Income of households in 2020,"    $100,000 to $124,999",,11555,,6855,,1885,,1705,,4815,
Income of households in 2020,"    $125,000 to $149,999",,7895,,5075,,1460,,1285,,3650,
Income of households in 2020,"    $150,000 and over",,14220,,9860,,3130,,5070,,6280,
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,245725,,147465,,33455,,43385,,89840,
Low income and income inequality in 2020,  0 to 17 years,,38640,,27485,,6765,,7975,,19280,
Low income and income inequality in 2020,    0 to 5 years,,12710,,7880,,1935,,1635,,6120,
Low income and income inequality in 2020,  18 to 64 years,,165380,,96525,,21915,,23495,,56725,
Low income and income inequality in 2020,  65 years and over,,41700,,23455,,4775,,11910,,13830,
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,33175,,16835,,2330,,6660,,6155,
Low income and income inequality in 2020,  0 to 17 years,,5165,,3550,,530,,1660,,1335,
Low income and income inequality in 2020,    0 to 5 years,,1665,,945,,115,,345,,400,
Low income and income inequality in 2020,  18 to 64 years,,20510,,9955,,1380,,3660,,3260,
Low income and income inequality in 2020,  65 years and over,,7500,,3330,,420,,1340,,1560,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,13.5,,11.4,,7,,15.4,,6.9,
Low income and income inequality in 2020,  0 to 17 years (%),,13.4,,12.9,,7.8,,20.8,,6.9,
Low income and income inequality in 2020,    0 to 5 years (%),,13.1,,12,,6,,21.3,,6.6,
Low income and income inequality in 2020,  18 to 64 years (%),,12.4,,10.3,,6.3,,15.6,,5.7,
Low income and income inequality in 2020,  65 years and over (%),,18,,14.2,,8.9,,11.2,,11.3,
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,245725,,147465,,33450,,43380,,89840,
Low income and income inequality in 2020,  0 to 17 years,,38645,,27485,,6765,,7980,,19285,
Low income and income inequality in 2020,    0 to 5 years,,12710,,7875,,1935,,1640,,6120,
Low income and income inequality in 2020,  18 to 64 years,,165380,,96530,,21920,,23495,,56730,
Low income and income inequality in 2020,  65 years and over,,41700,,23450,,4770,,11910,,13825,
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,23595,,11240,,1545,,4750,,3820,
Low income and income inequality in 2020,  0 to 17 years,,3180,,2280,,325,,1255,,785,
Low income and income inequality in 2020,    0 to 5 years,,950,,550,,60,,255,,210,
Low income and income inequality in 2020,  18 to 64 years,,17230,,7590,,1045,,2825,,2465,
Low income and income inequality in 2020,  65 years and over,,3180,,1370,,180,,665,,575,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,9.6,,7.6,,4.6,,10.9,,4.3,
Low income and income inequality in 2020,  0 to 17 years (%),,8.2,,8.3,,4.8,,15.7,,4.1,
Low income and income inequality in 2020,    0 to 5 years (%),,7.5,,7,,3.2,,15.8,,3.4,
Low income and income inequality in 2020,  18 to 64 years (%),,10.4,,7.9,,4.8,,12,,4.3,
Low income and income inequality in 2020,  65 years and over (%),,7.6,,5.9,,3.7,,5.6,,4.1,
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,245725,,147465,,33455,,43385,,89840,
Low income and income inequality in 2020,  In bottom half of the distribution,,119695,,64735,,10605,,17440,,34055,
Low income and income inequality in 2020,    In bottom decile,,32730,,15920,,2200,,6275,,5955,
Low income and income inequality in 2020,    In second decile,,23105,,12190,,1795,,3275,,5780,
Low income and income inequality in 2020,    In third decile,,20885,,11905,,2030,,2785,,6675,
Low income and income inequality in 2020,    In fourth decile,,21180,,12075,,2200,,2560,,7195,
Low income and income inequality in 2020,    In fifth decile,,21795,,12645,,2380,,2540,,8450,
Low income and income inequality in 2020,  In top half of the distribution,,126030,,82725,,22850,,25945,,55785,
Low income and income inequality in 2020,    In sixth decile,,21995,,13575,,2890,,2660,,9460,
Low income and income inequality in 2020,    In seventh decile,,23425,,14385,,3530,,2730,,10465,
Low income and income inequality in 2020,    In eighth decile,,25080,,16595,,4190,,3010,,11715,
Low income and income inequality in 2020,    In ninth decile,,27240,,18925,,5370,,4515,,13235,
Low income and income inequality in 2020,    In top decile,,28280,,19245,,6870,,13030,,10915,
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,245725,,147465,,33450,,43380,,89840,
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.351,,0.338,,0.334,,0.574,,0.286,
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.449,,0.429,,0.401,,0.631,,0.373,
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.314,,0.302,,0.291,,0.51,,0.255,
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,4.4,,4.2,,3.8,,9,,3.4,
Indigenous population,Total - Indigenous identity for the population in private households - 25% sample data,44,245725,,147465,,33455,,43385,,89860,
Indigenous population,  Indigenous identity,45,4180,,2915,,1030,,425,,4205,
Indigenous population,    Single Indigenous responses,46,4030,,2780,,975,,420,,4000,
Indigenous population,      First Nations (North American Indian),,2670,,1510,,480,,205,,1940,
Indigenous population,      Métis,,1340,,1250,,490,,210,,2025,
Indigenous population,      Inuk (Inuit),,20,,20,,10,,0,,30,
Indigenous population,    Multiple Indigenous responses,47,95,,80,,40,,0,,125,
Indigenous population,    Indigenous responses not included elsewhere,48,55,,55,,15,,0,,80,
Indigenous population,  Non-Indigenous identity,,241550,,144550,,32425,,42955,,85660,
Indigenous population,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,44,245725,,147465,,33455,,43385,,89860,
Indigenous population,  Registered or Treaty Indian,49,1900,,865,,285,,115,,1055,
Indigenous population,  Not a Registered or Treaty Indian,,243825,,146600,,33165,,43265,,88805,
Household characteristics,Total - Private households - 2016,,92200,,51325,,12975,,16930,,30255,
Household characteristics,Total - Private households by tenure - 25% sample data,50,101135,,55950,,13110,,17690,,33115,
Household characteristics,  Owner,,61185,,38790,,9905,,12535,,26205,
Household characteristics,  Renter,,39950,,17155,,3210,,5155,,6910,
Household characteristics,"  Dwelling provided by the local government, First Nation or Indian band",,0,,0,,0,,0,,0,
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,51,101135,,55950,,13110,,17690,,33115,
Household characteristics,  Condominium,,42540,,17880,,5365,,3805,,5575,
Household characteristics,  Not condominium,,58600,,38070,,7740,,13885,,27535,
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,52,101135,,55950,,13110,,17690,,33115,
Household characteristics,  No bedrooms,,1915,,490,,75,,310,,105,
Household characteristics,  1 bedroom,,23255,,8755,,1335,,2625,,3370,
Household characteristics,  2 bedrooms,,34815,,15330,,3950,,3710,,6385,
Household characteristics,  3 bedrooms,,18005,,12825,,4335,,3770,,10995,
Household characteristics,  4 or more bedrooms,,23140,,18550,,3425,,7275,,12250,
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,53,101135,,55950,,13110,,17690,,33115,
Household characteristics,  1 to 4 rooms,,55760,,23135,,4435,,4980,,7850,
Household characteristics,  5 rooms,,12665,,6925,,2145,,2195,,4755,
Household characteristics,  6 rooms,,8600,,5665,,1745,,1805,,4720,
Household characteristics,  7 rooms,,6925,,4765,,1355,,1955,,4155,
Household characteristics,  8 or more rooms,,17190,,15460,,3425,,6750,,11635,
Household characteristics,Average number of rooms per dwelling,,4.9,,5.8,,6,,6.7,,6.7,
Household characteristics,Total - Private households by number of persons per room - 25% sample data,54,101135,,55950,,13110,,17690,,33115,
Household characteristics,  One person or fewer per room,,96080,,53890,,12865,,17305,,32520,
Household characteristics,  More than one person per room,,5055,,2060,,240,,385,,585,
Household characteristics,Total - Private households by housing suitability - 25% sample data,55,101135,,55950,,13110,,17690,,33115,
Household characteristics,  Suitable,,91090,,52135,,12580,,16955,,31800,
Household characteristics,  Not suitable,,10045,,3815,,525,,735,,1310,
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,56,101135,,55950,,13110,,17690,,33115,
Household characteristics,  1960 or before,,11045,,3410,,900,,3730,,2750,
Household characteristics,  1961 to 1980,,24810,,13125,,3435,,5795,,6730,
Household characteristics,  1981 to 1990,,14235,,9340,,1470,,2560,,5775,
Household characteristics,  1991 to 2000,,14465,,10935,,2330,,2015,,6245,
Household characteristics,  2001 to 2005,,6435,,2305,,1480,,705,,2630,
Household characteristics,  2006 to 2010,,9405,,3930,,2245,,1015,,2950,
Household characteristics,  2011 to 2015,,8035,,6100,,730,,930,,2575,
Household characteristics,  2016 to 2021,57,12710,,6800,,515,,940,,3450,
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,58,101135,,55950,,13110,,17690,,33115,
Household characteristics,  Only regular maintenance and minor repairs needed,,95090,,53475,,12460,,16770,,31515,
Household characteristics,  Major repairs needed,,6045,,2480,,655,,920,,1600,
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,59,101135,,55950,,13110,,17690,,33115,
Household characteristics,  One-maintainer household,,50765,,25860,,5740,,9640,,14010,
Household characteristics,  Two-maintainer household,,42300,,25915,,6685,,7390,,16315,
Household characteristics,  Three-or-more-maintainer household,,8075,,4165,,685,,665,,2780,
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,60,101135,,55950,,13110,,17690,,33115,
Household characteristics,  15 to 24 years,,3880,,1265,,125,,130,,415,
Household characteristics,  25 to 34 years,,17750,,7015,,1565,,695,,3645,
Household characteristics,  35 to 44 years,,18255,,10240,,2625,,1970,,6455,
Household characteristics,  45 to 54 years,,17530,,11765,,3080,,3505,,6850,
Household characteristics,  55 to 64 years,,18755,,11970,,2830,,3610,,7430,
Household characteristics,  65 to 74 years,,14115,,8300,,1760,,3490,,5095,
Household characteristics,  75 to 84 years,,7465,,4030,,875,,2795,,2325,
Household characteristics,  85 years and over,,3380,,1355,,240,,1495,,890,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",61,100625,,55665,,13080,,17590,,32975,
Household characteristics,  Spending less than 30% of income on shelter costs,,69470,,39445,,10215,,10620,,25570,
Household characteristics,  Spending 30% or more of income on shelter costs,,31155,,16215,,2865,,6970,,7410,
Household characteristics,    30% to less than 100%,,24960,,13485,,2515,,4940,,6640,
Household characteristics,Total - Occupied private dwellings by housing indicators - 25% sample data,62,101135,,55950,,13110,,17690,,33115,
Household characteristics,  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',,42240,,20500,,3695,,7890,,9535,
Household characteristics,    Spending 30% or more of income on shelter costs only,,26990,,14455,,2545,,6290,,6710,
Household characteristics,    Not suitable only,,6845,,2545,,370,,415,,1035,
Household characteristics,    Major repairs needed only,,3640,,1540,,440,,465,,1030,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable',,2360,,1025,,130,,260,,190,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'major repairs needed',,1560,,690,,185,,400,,490,
Household characteristics,    'Not suitable' and 'major repairs needed',,595,,195,,30,,35,,65,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',,245,,55,,0,,25,,15,
Household characteristics,  Acceptable housing,,58900,,35450,,9415,,9800,,23575,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",63,94430,,52935,,12730,,15560,,32215,
Household characteristics,  In core need,,17745,,8825,,1375,,2475,,4160,
Household characteristics,  Not in core need,,76680,,44115,,11355,,13085,,28055,
Household characteristics,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",,61185,,38785,,9900,,12540,,26135,
Household characteristics,  % of owner households with a mortgage,64,54.7,,61.4,,63.4,,44.2,,68.5,
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,61,25.9,,24.3,,19.4,,32.9,,18.9,
Household characteristics,  % in core housing need,63,13.1,,10.8,,8.1,,9.6,,8.5,
Household characteristics,  Median monthly shelter costs for owned dwellings ($),65,1360,,1640,,1840,,1800,,1840,
Household characteristics,  Average monthly shelter costs for owned dwellings ($),65,1744,,1906,,2000,,3204,,1924,
Household characteristics,  Median value of dwellings ($),66,980000,,1100000,,1000000,,2500000,,900000,
Household characteristics,  Average value of dwellings ($),66,1175000,,1147000,,1111000,,3128000,,955000,
Household characteristics,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",,39950,,17155,,3205,,5150,,6905,
Household characteristics,  % of tenant households in subsidized housing,67,11.8,,8.5,,9.4,,10.1,,11.6,
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,61,38.7,,40.1,,29.8,,56.1,,35.8,
Household characteristics,  % in core housing need,63,27.9,,30.4,,19.4,,31.3,,30,
Household characteristics,  Median monthly shelter costs for rented dwellings ($),65,1490,,1530,,1700,,2060,,1300,
Household characteristics,  Average monthly shelter costs for rented dwellings ($),65,1536,,1606,,1720,,2792,,1472,
Household characteristics,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",,0,,0,,0,,0,,0,
Household characteristics,"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",61,,...,,...,,...,,...,,...
Household characteristics,"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",65,,...,,...,,...,,...,,...
Household characteristics,"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",65,,...,,...,,...,,...,,...
Mobility status 1 year ago,Total - Mobility status 1 year ago - 25% sample data,163,243610,,146310,,33200,,43225,,89040,
Mobility status 1 year ago,  Non-movers,,206085,,126490,,29115,,37220,,77990,
Mobility status 1 year ago,  Movers,,37525,,19825,,4090,,6005,,11055,
Mobility status 1 year ago,    Non-migrants,,18520,,9430,,1520,,2985,,5045,
Mobility status 1 year ago,    Migrants,,19010,,10390,,2565,,3020,,6005,
Mobility status 1 year ago,      Internal migrants,,13330,,8125,,2255,,2095,,5540,
Mobility status 1 year ago,        Intraprovincial migrants,,10840,,6870,,2060,,1695,,5015,
Mobility status 1 year ago,        Interprovincial migrants,,2490,,1255,,195,,400,,520,
Mobility status 1 year ago,      External migrants,,5680,,2260,,310,,930,,470,
Mobility status 5 years ago,Total - Mobility status 5 years ago - 25% sample data,164,235295,,141005,,31910,,42105,,84990,
Mobility status 5 years ago,  Non-movers,,135210,,81315,,20060,,25515,,48590,
Mobility status 5 years ago,  Movers,,100080,,59690,,11855,,16585,,36405,
Mobility status 5 years ago,    Non-migrants,,31905,,18150,,2695,,5285,,13105,
Mobility status 5 years ago,    Migrants,,68180,,41535,,9160,,11295,,23300,
Mobility status 5 years ago,      Internal migrants,,42875,,29875,,7795,,7610,,20945,
Mobility status 5 years ago,        Intraprovincial migrants,,35750,,25835,,6855,,6395,,19045,
Mobility status 5 years ago,        Interprovincial migrants,,7120,,4040,,940,,1215,,1905,
Mobility status 5 years ago,      External migrants,,25310,,11665,,1365,,3685,,2355,
Labour force status,Total - Population aged 15 years and over by labour force status - 25% sample data,184,213475,,125075,,27940,,37225,,73805,
Labour force status,  In the labour force,,137320,,81265,,19330,,19485,,49875,
Labour force status,    Employed,,124155,,73920,,17950,,17640,,46530,
Labour force status,    Unemployed,,13165,,7345,,1380,,1840,,3345,
Labour force status,  Not in the labour force,,76160,,43805,,8610,,17745,,23935,
Labour force status,Participation rate,,64.3,,65,,69.2,,52.3,,67.6,
Labour force status,Employment rate,,58.2,,59.1,,64.2,,47.4,,63,
Labour force status,Unemployment rate,,9.6,,9,,7.1,,9.4,,6.7,
Work activity during the reference year,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,185,213480,,125070,,27935,,37230,,73805,
Work activity during the reference year,  Did not work,186,78775,,45120,,8830,,17890,,24280,
Work activity during the reference year,  Worked,,134700,,79950,,19105,,19340,,49525,
Work activity during the reference year,    Worked full year full time,187,70995,,42725,,11115,,8795,,28185,
Work activity during the reference year,    Worked part year and/or part time,188,63710,,37230,,7990,,10540,,21340,
Work activity during the reference year,    Average weeks worked in reference year,,40.6,,40.9,,42.5,,39.2,,42.5,
Class of worker including job permanency,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,189,137320,,81265,,19325,,19485,,49870,
Class of worker including job permanency,  Class of worker - not applicable,190,3600,,2130,,390,,580,,905,
Class of worker including job permanency,  All classes of workers,191,133720,,79140,,18935,,18900,,48970,
Class of worker including job permanency,    Employee,,113360,,65790,,15800,,11935,,41215,
Class of worker including job permanency,      Permanent position,,93825,,55065,,13455,,9085,,36460,
Class of worker including job permanency,      Temporary position,,19535,,10725,,2345,,2845,,4760,
Class of worker including job permanency,        Fixed term (1 year or more),,7775,,4100,,735,,1075,,1425,
