Setting random seed to 1.
Reading data from stdin.
Reading model from /home/bt/model_params_for_cpp.txt.
Model read successfully.
Building history structure.
Calculating individual history link log likelihoods.
Unit,Link,EventType,Time,PatientID,LogLik
0,348,3,44.973265,442,-0.0241188
0,349,1,45.066491,436,-2.061124311
0,350,3,45.067491,436,-0.0221089
0,351,0,45.327645,296,-inf
0,352,1,45.428427,394,-2.22817916
0,353,3,45.428427,394,0
0,354,0,45.578577,443,-inf
0,355,1,45.917968,296,-7.50356168
0,356,3,45.917968,296,0
0,357,0,46.136455,452,-inf
0,358,0,46.489135,458,-inf
0,359,1,46.490135,458,-0.0241188
0,360,0,46.542482,437,-inf
0,361,0,46.747556,462,-inf
0,362,1,46.748556,462,-0.0281386
0,363,1,46.95813,452,-5.897118956
0,364,3,46.95913,452,-0.0281386
0,365,1,47.267653,427,-8.06130491
0,366,3,47.267653,427,0
0,367,1,47.30276,428,-0.8467387116
0,368,3,47.30376,428,-0.0241188
0,369,1,47.648956,443,-7.631903844
0,370,3,47.648956,443,0
0,371,0,47.788196,474,-inf
0,372,1,47.789196,474,-0.0221089
0,373,0,47.809256,472,-inf
0,374,0,47.889476,426,-inf
0,375,1,47.909522,474,-0.5237759202
0,376,2,47.909621,429,-inf
0,377,3,47.910522,474,-0.0235419587
0,378,3,47.910621,429,-0.0023877612
0,379,1,48.073893,407,-3.609764321
0,380,3,48.074893,407,-0.0221089
0,381,0,48.088179,476,-inf
0,382,2,48.089179,476,-inf
0,383,1,48.365225,476,-6.103073409
0,384,3,48.366225,476,-0.0221089
0,385,1,48.762578,472,-7.966298947
0,386,3,48.763578,472,-0.020099
0,387,1,48.9604,462,-3.56033284
0,388,3,48.9614,462,-0.0180891
0,389,0,49.322608,453,-inf
0,390,1,49.992065,377,-12.10987462
0,391,3,49.993065,377,-0.0180891
0,392,1,50.032164,439,-0.6286806408
0,393,3,50.033164,439,-0.0160792
0,394,1,50.136105,458,-1.448307811
0,395,3,50.137105,458,-0.0140693
0,396,0,50.176794,498,-inf
0,397,1,50.177794,498,-0.0140693
0,398,0,50.346158,376,-inf
0,399,0,50.67438,503,-inf
0,400,1,50.67538,503,-0.0180891
0,401,1,50.73088,426,-1.00394505
0,402,3,50.73188,426,-0.0180891
0,403,0,50.903332,489,-inf
0,404,1,51.040744,376,-2.485659409
0,405,3,51.040744,376,0
0,406,0,51.161971,497,-inf
0,407,2,51.248877,437,-inf
0,408,3,51.249877,437,-0.0180891
0,409,0,51.559027,426,-4.97915615
0,410,0,51.630075,510,-inf
0,411,1,51.631075,510,-0.020099
0,412,0,52.182734,515,-inf
0,413,1,52.183734,515,-0.0221089
0,414,1,52.559448,498,-8.306623255
0,415,3,52.560448,498,-0.0221089
0,416,1,52.596828,503,-0.73120162
0,417,3,52.597828,503,-0.020099
0,418,0,52.637738,482,-inf
0,419,1,52.763111,453,-2.519871927
0,420,3,52.763111,453,0
0,421,0,53.144419,533,-inf
0,422,1,53.145419,533,-0.020099
0,423,0,53.574656,540,-inf
0,424,2,53.575656,540,-inf
0,425,0,53.802929,544,-inf
0,426,1,53.803929,544,-0.0241188
0,427,1,53.915643,497,-2.694407623
0,428,3,53.916643,497,-0.0241188
0,429,2,54.038371,540,-inf
0,430,3,54.039371,540,-0.0221089
0,431,1,54.065553,378,-0.526232018
0,432,3,54.066553,378,-0.020099
0,433,0,54.281755,554,-inf
0,434,1,54.282755,554,-0.020099
0,435,1,54.620564,482,-6.789623091
0,436,3,54.620564,482,0
0,437,1,54.817398,515,-3.560549909
0,438,3,54.818398,515,-0.0180891
0,439,1,54.918818,426,-1.614673264
0,440,3,54.918818,426,0
0,441,0,55.656528,563,-inf
0,442,1,55.657528,563,-0.0160792
0,443,1,55.736773,489,-1.274196204
0,444,3,55.737773,489,-0.0160792
0,445,0,55.986782,570,-inf
0,446,2,55.987782,570,-inf
0,447,1,56.162686,563,-2.812316397
0,448,3,56.163686,563,-0.0160792
0,449,1,56.329564,533,-2.333787345
0,450,3,56.330564,533,-0.0140693
0,451,0,56.651718,561,-inf
0,452,1,56.704263,510,-0.7392713685
0,453,3,56.705263,510,-0.0140693
0,454,0,56.885032,576,-inf
0,455,1,56.886032,576,-0.0140693
0,456,0,57.833897,569,-inf
0,457,0,58.277041,589,-inf
0,458,1,58.278041,589,-0.0180891
0,459,0,58.504447,557,-inf
0,460,0,58.653371,588,-inf
0,461,1,58.727382,576,-1.636301798
0,462,3,58.728382,576,-0.0221089
0,463,0,58.778965,599,-inf
0,464,2,58.779964,599,-inf
0,465,0,58.891886,543,-inf
0,466,0,59.097417,23,-inf
0,467,1,59.130055,544,-0.8527885106
0,468,3,59.131055,544,-0.0261287
0,469,1,59.295893,543,-3.975694754
0,470,3,59.295893,543,0
0,471,2,59.346904,569,-inf
0,472,3,59.347904,569,-0.0221089
0,473,1,59.446538,23,-1.982444766
0,474,3,59.446538,23,0
0,475,1,59.595461,561,-2.693883039
0,476,3,59.596461,561,-0.0180891
0,477,0,59.631935,584,-inf
0,478,0,59.672472,604,-inf
0,479,1,59.673472,604,-0.020099
0,480,2,60.195845,588,-inf
0,481,3,60.196845,588,-0.020099
0,482,0,60.298193,592,-inf
0,483,0,60.333728,588,-0.715586795
0,484,1,60.370449,604,-0.8118609169
0,485,3,60.371449,604,-0.0221089
0,486,2,60.408047,599,-inf
0,487,3,60.409047,599,-0.020099
0,488,0,60.72754,615,-inf
0,489,1,60.72854,615,-0.020099
0,490,0,61.303743,621,-inf
0,491,1,61.304743,621,-0.0221089
0,492,1,61.507842,621,-4.490295481
0,493,3,61.508842,621,-0.0221089
0,494,0,61.565637,544,-1.165868525
0,495,1,61.637216,589,-1.582532953
0,496,3,61.638216,589,-0.0221089
0,497,2,61.840033,570,-inf
0,498,3,61.841033,570,-0.020099
0,499,1,61.865188,615,-0.4369422105
0,500,3,61.866188,615,-0.0180891
0,501,1,61.949764,584,-1.343835219
0,502,3,61.950764,584,-0.0160792
0,503,2,61.964393,588,-inf
0,504,3,61.964393,588,0
0,505,0,62.123256,516,-inf
0,506,0,62.261228,638,-inf
0,507,1,62.262228,638,-0.0160792
0,508,0,62.273455,640,-inf
0,509,1,62.274455,640,-0.0180891
0,510,1,62.740647,554,-8.432993707
0,511,3,62.741647,554,-0.0180891
0,512,0,62.936484,634,-inf
0,513,0,63.053609,576,-2.161938108
0,514,1,63.086195,638,-0.654946014
0,515,3,63.087195,638,-0.020099
0,516,1,63.183737,516,-1.746357892
0,517,3,63.184737,516,-0.0180891
0,518,0,63.240592,649,-inf
0,519,1,63.241592,649,-0.0180891
0,520,1,63.266302,592,-0.446981661
0,521,3,63.266302,592,0
0,522,1,63.419055,640,-2.456146038
0,523,3,63.420055,640,-0.0160792
0,524,1,63.645895,634,-3.177410712
0,525,3,63.645895,634,0
0,526,0,63.922468,651,-inf
0,527,0,63.936477,613,-inf
0,528,0,64.085604,616,-inf
0,529,0,64.108197,645,-inf
0,530,1,64.244299,544,-2.735514098
0,531,3,64.244299,544,0
0,532,0,64.709974,667,-inf
0,533,1,64.710974,667,-0.020099
0,534,1,64.853248,576,-2.859565126
0,535,3,64.853248,576,0
0,536,1,64.923473,667,-1.270307048
0,537,3,64.924473,667,-0.0180891
0,538,0,64.929647,609,-inf
0,539,1,64.99599,609,-1.200085161
0,540,3,64.99699,609,-0.0180891
0,541,0,65.036633,72,-1.121326166
0,542,1,65.037633,72,-0.0180891
0,543,0,65.182196,673,-inf
0,544,1,65.183196,673,-0.020099
0,545,1,65.216582,649,-0.671025214
0,546,3,65.217582,649,-0.020099
0,547,1,65.544603,616,-5.915515571
0,548,3,65.545603,616,-0.0180891
0,549,1,66.043358,645,-8.003502196
0,550,3,66.043358,645,0
0,551,0,66.141315,654,-inf
0,552,0,66.415368,687,-inf
0,553,1,66.416368,687,-0.0180891
0,554,1,66.643261,72,-4.104290166
0,555,3,66.644261,72,-0.0180891
0,556,0,66.769147,629,-inf
0,557,1,66.834325,651,-1.17901136
0,558,3,66.835325,651,-0.0180891
0,559,1,66.90145,629,-1.0632371
0,560,3,66.90145,629,0
0,561,1,66.918589,654,-0.2411337327
0,562,3,66.919589,654,-0.0140693
0,563,1,67.043681,698,-1.496475065
0,564,3,67.044681,698,-0.0120594
0,565,0,67.045102,698,-0.0042350495
0,566,1,67.045209,698,-0.0012903558
0,567,0,67.136469,568,-inf
0,568,0,67.196059,662,-inf
0,569,1,67.307612,662,-1.793682998
0,570,3,67.307612,662,0
0,571,0,67.649037,630,-inf
0,572,1,67.772951,613,-1.992437989
0,573,3,67.772951,613,0
0,574,0,67.935718,690,-inf
0,575,0,68.20454,714,-inf
0,576,1,68.20554,714,-0.0180891
0,577,1,68.258505,673,-0.9580891815
0,578,3,68.259505,673,-0.0180891
0,579,1,68.266195,557,-0.107569848
0,580,3,68.267195,557,-0.0160792
0,581,0,68.341478,716,-inf
0,582,1,68.342478,716,-0.0160792
0,583,0,68.39232,717,-inf
0,584,1,68.39332,717,-0.0180891
0,585,0,68.412739,688,-inf
0,586,1,68.419152,687,-0.128894887
0,587,3,68.420152,687,-0.020099
0,588,0,68.46314,640,-0.8280450808
0,589,0,68.723873,700,-inf
0,590,1,68.829053,690,-2.325414102
0,591,3,68.829053,690,0
0,592,0,68.838633,638,-0.2500628
0,593,3,68.925129,698,-1.912331414
0,594,1,69.000221,688,-1.509274108
0,595,3,69.001221,688,-0.020099
0,596,0,69.146952,701,-inf
0,597,0,69.171071,537,-inf
0,598,1,69.212455,537,-0.9149547176
0,599,3,69.213455,537,-0.0221089
0,600,0,69.244106,728,-inf
0,601,1,69.245106,728,-0.0221089
0,602,0,69.330145,656,-inf
0,603,1,69.364059,716,-0.8179649832
0,604,3,69.365059,716,-0.0241188
0,605,0,69.507361,631,-inf
0,606,0,69.669502,655,-inf
0,607,0,69.67046,734,-inf
0,608,1,69.67146,734,-0.0281386
0,609,0,69.695703,736,-inf
0,610,1,69.696703,736,-0.0301485
0,611,1,69.940726,568,-7.356927415
0,612,3,69.940726,568,0
0,613,1,70.216064,736,-7.747625847
0,614,3,70.217064,736,-0.0281386
0,615,1,70.220949,640,-0.1015099995
0,616,3,70.220949,640,0
0,617,1,70.347493,700,-3.052089427
0,618,3,70.347493,700,0
0,619,0,70.580172,740,-inf
0,620,1,70.618255,714,-0.9185162604
0,621,3,70.619255,714,-0.0241188
0,622,1,70.976714,734,-7.903025285
0,623,3,70.977714,734,-0.0221089
0,624,1,71.013434,655,-0.71793628
0,625,3,71.013434,655,0
0,626,0,71.032309,754,-inf
0,627,1,71.033309,754,-0.020099
0,628,0,71.137609,755,-inf
0,629,1,71.138609,755,-0.0221089
0,630,1,71.171888,754,-0.7357620831
0,631,3,71.172888,754,-0.0221089
0,632,1,71.190199,656,-0.347933789
0,633,3,71.191199,656,-0.020099
0,634,0,71.626233,743,-inf
0,635,0,71.678073,739,-inf
0,636,1,71.693938,728,-0.3507576985
0,637,3,71.694938,728,-0.0221089
0,638,1,71.736191,755,-0.829144047
0,639,3,71.73719,755,-0.020078901
0,640,0,71.809852,636,-inf
0,641,0,71.824671,756,-inf
0,642,0,71.877825,761,-inf
0,643,1,71.878825,761,-0.0241188
0,644,1,71.940118,636,-1.478313608
0,645,3,71.940118,636,0
0,646,0,72.334598,498,-8.919260372
0,647,1,72.335598,498,-0.0241188
0,648,2,72.383597,739,-inf
0,649,3,72.383597,739,0
0,650,1,72.44059,743,-1.260052538
0,651,3,72.44159,743,-0.0221089
0,652,0,72.505469,760,-inf
0,653,1,72.543371,717,-0.8379715278
0,654,3,72.544371,717,-0.0221089
0,655,1,72.669769,631,-2.520374402
0,656,3,72.670769,631,-0.020099
0,657,0,73.018151,773,-inf
0,658,2,73.019151,773,-inf
0,659,1,73.15025,760,-2.634958801
0,660,3,73.15025,760,0
0,661,0,73.439627,777,-inf
0,662,1,73.440627,777,-0.020099
0,663,0,73.473076,753,-inf
0,664,1,73.559335,756,-1.907091605
0,665,3,73.560335,756,-0.0221089
0,666,2,73.816574,701,-inf
0,667,3,73.816574,701,0
0,668,0,73.843492,779,-inf
0,669,1,73.844492,779,-0.020099
0,670,0,73.844737,768,-inf
0,671,1,73.880055,761,-0.7808421302
0,672,3,73.881055,761,-0.0221089
0,673,0,73.910164,756,-0.588560081
0,674,1,73.917485,773,-0.1618592569
0,675,3,73.918485,773,-0.0221089
0,676,1,74.13791,498,-4.410223075
0,677,3,74.13891,498,-0.020099
0,678,0,74.440428,788,-inf
0,679,1,74.441428,788,-0.020099
0,680,0,74.674815,791,-inf
0,681,1,74.675815,791,-0.0221089
0,682,1,74.855775,788,-3.978717644
0,683,3,74.856775,788,-0.0221089
0,684,1,74.857788,777,-0.020360287
0,685,3,74.858788,777,-0.020099
0,686,1,75.011602,779,-2.764267727
0,687,3,75.012602,779,-0.0180891
0,688,0,75.028963,703,-inf
0,689,1,75.324722,756,-5.350014127
0,690,3,75.325722,756,-0.0180891
0,691,0,75.515455,642,-inf
0,692,1,75.575897,791,-1.093341382
0,693,3,75.576897,791,-0.0180891
0,694,0,75.997673,791,-6.769949219
0,695,0,76.003381,805,-inf
0,696,1,76.004381,805,-0.020099
0,697,1,76.102253,642,-1.967129328
0,698,3,76.103253,642,-0.020099
0,699,1,76.209986,768,-1.93070391
0,700,3,76.210986,768,-0.0180891
0,701,1,76.24913,791,-0.6133250048
0,702,3,76.24913,791,0
0,703,1,76.299501,805,-0.7086847103
0,704,3,76.300501,805,-0.0140693
0,705,0,76.386657,757,-inf
0,706,1,76.577781,638,-2.688980893
0,707,3,76.577781,638,0
0,708,1,76.733398,753,-1.87664765
0,709,3,76.733398,753,0
0,710,1,76.800491,630,-0.6742511035
0,711,3,76.801491,630,-0.0100495
0,712,1,77.466384,703,-5.345473763
0,713,3,77.466384,703,0
0,714,0,77.556929,810,-inf
0,715,0,78.362072,748,-inf
0,716,0,78.502389,784,-inf
0,717,1,78.63341,748,-1.580034647
0,718,3,78.63341,748,0
0,719,1,78.752672,810,-1.198523469
0,720,3,78.752672,810,0
0,721,0,79.248832,806,-inf
0,722,1,79.280997,740,-0.3232421675
0,723,3,79.281997,740,-0.0100495
0,724,0,79.510116,837,-inf
0,725,1,79.511116,837,-0.0100495
0,726,1,79.718839,806,-2.087512289
0,727,3,79.719839,806,-0.0100495
0,728,1,80.100995,784,-3.064341778
0,729,3,80.100995,784,0
0,730,0,80.132714,706,-inf
0,731,1,80.133714,706,-0.0080396
0,732,0,80.212116,829,-inf
0,733,1,80.677595,837,-4.677831211
0,734,3,80.678595,837,-0.0100495
0,735,1,81.053823,757,-3.016683029
0,736,3,81.054823,757,-0.0080396
