scientificName,scientificNameGenBank,class,order,family,genus,dbid,gbAccession,gene,length,organelle,catalogNumber,country,publishedAs,publishedIn,publishedBy,date,decimalLatitude,decimalLongitude
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684423,MZ504510.1,coi,651,mitochondrion,2161,"Brazil: Araguari-Ferreira Gomes, Amapá-Brazil",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,0.850928,-51.139278
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684451,MZ504524.1,coi,541,mitochondrion,1196,Brazil: Paru- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.501489,-52.682106
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684475,MZ504536.1,coi,699,mitochondrion,17579,Brazil: Maués-Açu- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.4491,-57.735325
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684489,MZ504543.1,coi,646,mitochondrion,17451,Brazil: Tocantins- Limoeiro_Baía do Marapatá- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.895453,-49.355981
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684511,MZ504554.1,coi,627,mitochondrion,2825,"Brazil: Araguaia,Pará-Tocantins",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.400889,-48.394278
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684493,MZ504545.1,coi,639,mitochondrion,17453,Brazil: Tocantins- Limoeiro_Baía do Marapatá- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.895453,-49.355981
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684379,MZ504488.1,coi,699,mitochondrion,14627,Brazil: Água Boa- Roraima,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,1.176633,-61.701756
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684433,MZ504515.1,coi,651,mitochondrion,30301,Brazil: Abacaxi- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-4.285069,-58.60615
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684509,MZ504553.1,coi,627,mitochondrion,387,"Brazil: Araguaia,Pará-Tocantins",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.400889,-48.394278
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684525,MZ504561.1,coi,627,mitochondrion,2158,Brazil: Arapiranga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.659772,-52.528847
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684417,MZ504507.1,coi,639,mitochondrion,2799,"Brazil: Araguaia,Pará-Tocantins",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.148939,-48.360739
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684369,MZ504483.1,coi,663,mitochondrion,357,Brazil: Nhamundá- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.832844,-57.073811
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684445,MZ504521.1,coi,555,mitochondrion,1612,Brazil: Tapajós- Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.276008,-57.739997
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684505,MZ504551.1,coi,654,mitochondrion,4601,"Brazil: Confluence Araguaia-Tocantins rivers,Pará",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.362639,-48.773389
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684519,MZ504558.1,coi,627,mitochondrion,1414,Brazil: Tapajós- Itaituba- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-4.304925,-56.012269
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684397,MZ504497.1,coi,657,mitochondrion,12135,Brazil: Branco- Roraima,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.934394,-61.864358
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684371,MZ504484.1,coi,663,mitochondrion,100445,Brazil: São Sebastião do Uatumã- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-2.172536,-58.136367
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684395,MZ504496.1,coi,657,mitochondrion,12077,Brazil: Branco- Roraima,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.934394,-61.864358
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684407,MZ504502.1,coi,675,mitochondrion,14285,Brazil: Nhamundá- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.832844,-57.073811
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684431,MZ504514.1,coi,651,mitochondrion,24757,Brazil: Xingu- Tijucaquara-Belo MonteII- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.127778,-51.690833
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684443,MZ504520.1,coi,639,mitochondrion,107121,Brazil: Japurá - Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.651667,-69.206667
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684513,MZ504555.1,coi,627,mitochondrion,4604,"Brazil: Araguaia,Pará-Tocantins",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.896039,-49.177819
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684381,MZ504489.1,coi,639,mitochondrion,104693,Brazil: Tapajós- Lower Aveiro Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.300833,-55.305556
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684481,MZ504539.1,coi,606,mitochondrion,1413,Brazil: Tapajós- Itaituba- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-4.304925,-56.012269
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684461,MZ504529.1,coi,699,mitochondrion,14626,Brazil: Água Boa- Roraima,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,1.176633,-61.701756
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684613,MZ504605.1,coi,552,mitochondrion,2749,Brazil: Santa Izabel- Araguaia Pará-Tocantins,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.148939,-48.360739
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684459,MZ504528.1,coi,699,mitochondrion,14284,Brazil: Nhamundá- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.832844,-57.073811
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684415,MZ504506.1,coi,648,mitochondrion,2796,"Brazil: Araguaia,Pará-Tocantins",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.148939,-48.360739
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684615,MZ504606.1,coi,542,mitochondrion,2750,Brazil: Santa Izabel- Araguaia Pará-Tocantins,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.148939,-48.360739
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684401,MZ504499.1,coi,657,mitochondrion,15379,Brazil: Tapajós- Itaituba-Jacareacanga Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.011789,-56.7923
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684439,MZ504518.1,coi,651,mitochondrion,1608,Brazil: Tapajós- Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.276008,-57.739997
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684551,MZ504574.1,coi,581,mitochondrion,16885,Brazil: Uatumã- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.910383,-59.459939
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684393,MZ504495.1,coi,630,mitochondrion,1613,Brazil: Tapajós- Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.276008,-57.739997
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684421,MZ504509.1,coi,651,mitochondrion,2169,Brazil: Jari- Iratapuru-Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.549908,-52.580592
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684437,MZ504517.1,coi,666,mitochondrion,24111,Brazil: Xingu- Vitória do Xingu- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-2.888333,-51.94
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684403,MZ504500.1,coi,660,mitochondrion,365,Brazil: Trombetas- Oriximiná- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.738369,-55.883078
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684497,MZ504547.1,coi,656,mitochondrion,3281,Brazil: Araguatins-Tocantins,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.602314,-48.122031
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684535,MZ504566.1,coi,627,mitochondrion,2166,Brazil: Jari- Iratapuru-Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.549908,-52.580592
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684539,MZ504568.1,coi,687,mitochondrion,104696,Brazil: Tapajós- Cametá- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.300833,-55.305556
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684473,MZ504535.1,coi,699,mitochondrion,17574,Brazil: Maués-Açu- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.390489,-57.722472
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684485,MZ504541.1,coi,699,mitochondrion,17455,Brazil: Tocantins- Limoeiro_Baía do Marapatá- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.895453,-49.355981
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684609,MZ504603.1,coi,597,mitochondrion,2744,"Brazil: Jatobá- Araguaia, Pará",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.7724,-48.952681
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684447,MZ504522.1,coi,603,mitochondrion,1192,Brazil: Paru- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.501489,-52.682106
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684503,MZ504550.1,coi,658,mitochondrion,4600,"Brazil: Confluence Araguaia-Tocantins rivers,Pará",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.362639,-48.773389
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684399,MZ504498.1,coi,654,mitochondrion,15374,Brazil: Tapajós- lower Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.631086,-57.240375
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684527,MZ504562.1,coi,627,mitochondrion,2163,"Brazil: Araguari-Ferreira Gomes, Amapá-Brazil",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,0.850928,-51.139278
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684549,MZ504573.1,coi,648,mitochondrion,12076,Brazil: Branco- Roraima,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.934394,-61.864358
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684541,MZ504569.1,coi,616,mitochondrion,104697,Brazil: Tapajós- Lower Aveiro Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.300833,-55.305556
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684419,MZ504508.1,coi,648,mitochondrion,2167,Brazil: Jari- Iratapuru-Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.549908,-52.580592
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684449,MZ504523.1,coi,603,mitochondrion,1412,Brazil: Tapajós- Itaituba- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-4.304925,-56.012269
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684385,MZ504491.1,coi,654,mitochondrion,14456,Brazil: Nhamundá- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.832844,-57.073811
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684435,MZ504516.1,coi,651,mitochondrion,30771,Brazil: Bezerra- Goias-Tocantins,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-13.158056,-47.053611
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684531,MZ504564.1,coi,627,mitochondrion,2162,Brazil: Arapiranga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.659772,-52.528847
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684457,MZ504527.1,coi,699,mitochondrion,12136,Brazil: Branco- Roraima,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-0.934394,-61.864358
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684391,MZ504494.1,coi,648,mitochondrion,4386,"Brazil: Araguaia,Pará-Tocantins",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.400889,-48.394278
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684429,MZ504513.1,coi,651,mitochondrion,24196,Brazil: Xingu- Vitória do Xingu- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-2.880833,-52.0125
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684479,MZ504538.1,coi,660,mitochondrion,1411,Brazil: Tapajós- Itaituba- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-4.304925,-56.012269
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684413,MZ504505.1,coi,651,mitochondrion,3282,Brazil: Araguatins-Tocantins,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-5.602314,-48.122031
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684483,MZ504540.1,coi,699,mitochondrion,17445,Brazil: Tocantins- Itupiranga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-4.880442,-49.429542
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684537,MZ504567.1,coi,627,mitochondrion,2673,Brazil: Tapajós- Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.276008,-57.739997
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684507,MZ504552.1,coi,617,mitochondrion,16814,Brazil: Manacapuru- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.211747,-60.756853
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684501,MZ504549.1,coi,505,mitochondrion,1195,Brazil: Paru- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.501489,-52.682106
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684441,MZ504519.1,coi,639,mitochondrion,32020,Brazil: Igarapé do Tarumã-Açu- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.015889,-60.0969
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684383,MZ504490.1,coi,648,mitochondrion,14439,Brazil: Nhamundá- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.832844,-57.073811
