especie,accepted_species,anexo,categoria,nombre_comun,accepted_name_author
Buddleja incana,Buddleja incana,I,EN PELIGRO CRITICO (CR),"Kishuar, colle",Ruiz & Pav.
Buddleja longifolia,Buddleja forrestii,I,EN PELIGRO CRITICO (CR),Kishuar,Diels
Buddleja montana,Buddleja montana,I,EN PELIGRO CRITICO (CR),Kishuar,Britton
Bursera graveolens,Bursera graveolens,I,EN PELIGRO CRITICO (CR),"Palo santo, huanckor",(Kunth) Triana & Planch.
Capparis eucalyptifolia,Morisonia flexuosa,I,EN PELIGRO CRITICO (CR),NA,L.
Capparis scabrida,Capparis scabrida,I,EN PELIGRO CRITICO (CR),Sapote,Kunth
Carica candicans,Vasconcellea candicans,I,EN PELIGRO CRITICO (CR),Mito,(A. Gray) A. DC.
Carica quercifolia,Vasconcellea quercifolia,I,EN PELIGRO CRITICO (CR),Calasacha,A. St.-Hil.
Carica stipulata,Vasconcellea stipulata,I,EN PELIGRO CRITICO (CR),NA,(V.M. Badillo) V.M. Badillo
Weinmannia piurensis,Weinmannia piurensis,I,EN PELIGRO CRITICO (CR),NA,O.C. Schmidt
Ephedra breana,Ephedra breana,I,EN PELIGRO CRITICO (CR),Pinco-pinco,Phil.
Ephedra rupestris,Ephedra rupestris,I,EN PELIGRO CRITICO (CR),Pinco-pinco,Benth.
Euphorbia apurimacensis,Euphorbia apurimacensis,I,EN PELIGRO CRITICO (CR),NA,Croizat
Myroxylon peruiferum,Myroxylon peruiferum,I,EN PELIGRO CRITICO (CR),Bálsamo,L. f.
Otholobium mexicanum,Otholobium mexicanum,I,EN PELIGRO CRITICO (CR),NA,(L. f.) J.W. Grimes
Otholobium munyensis,Otholobium munyense,I,EN PELIGRO CRITICO (CR),NA,(J.F.Macbr.) J.W.Grimes
Weberbauerella brongniartioides,Weberbauerella brongniartioides,I,EN PELIGRO CRITICO (CR),NA,Ulbr.
Weberbauerella raimondiana,Weberbauerella raimondiana,I,EN PELIGRO CRITICO (CR),NA,Ferreyra
Gentianella alborosea,Gentianella alborosea,I,EN PELIGRO CRITICO (CR),Hercampuri,(Gilg) Fabris
Abutilon piurense,Abutilon piurense,I,EN PELIGRO CRITICO (CR),NA,Ulbr.
Nototriche artemisioides,Nototriche artemisioides,I,EN PELIGRO CRITICO (CR),NA,A.W.Hill
Nototriche longituba,Nototriche longituba,I,EN PELIGRO CRITICO (CR),NA,B.L. Burtt & A.W. Hill
Nototriche lopezii,Nototriche lopezii,I,EN PELIGRO CRITICO (CR),NA,Krapov.
Nototriche staffordiae,Nototriche staffordiae,I,EN PELIGRO CRITICO (CR),NA,B.L. Burtt & A.W. Hill
Palaua inconspicua,Palaua inconspicua,I,EN PELIGRO CRITICO (CR),NA,I.M. Johnst.
Tetrasida chachapoyensis,Tetrasida chachapoyensis,I,EN PELIGRO CRITICO (CR),NA,(Baker f.) Fryxell & Fuertes
Tetrasida serrulata,Tetrasida serrulata,I,EN PELIGRO CRITICO (CR),NA,Fryxell & Fuertes
Proboscidea altheaefolia,Proboscidea althaeifolia,I,EN PELIGRO CRITICO (CR),NA,(Benth.) Decne.
Eugenia quebradensis,Eugenia quebradensis,I,EN PELIGRO CRITICO (CR),Gashmin,McVaugh
Myrcia fallax,Myrcia fallax,I,EN PELIGRO CRITICO (CR),NA,(Rich.) DC.
Myrcianthes discolor,Myrcianthes discolor,I,EN PELIGRO CRITICO (CR),NA,(Kunth) McVaugh
Myrcianthes ferreyrae,Myrcianthes ferreyrae,I,EN PELIGRO CRITICO (CR),NA,(McVaugh) McVaugh
Podocarpus oleifolius,Podocarpus oleifolius,I,EN PELIGRO CRITICO (CR),"Saucesillo, romerillo",D. Don ex Lamb.
Podocarpus sprucei,Podocarpus sprucei,I,EN PELIGRO CRITICO (CR),NA,Parl.
Prumnopitys harmsiana,Prumnopitys harmsiana,I,EN PELIGRO CRITICO (CR),"Romerillo hembra, diablo fuerte",(Pilg.) de Laub.
Huthia longiflora,Huthia longiflora,I,EN PELIGRO CRITICO (CR),NA,Brand
Laccopetalum giganteum,Laccopetalum giganteum,I,EN PELIGRO CRITICO (CR),NA,(Wedd.) Ulbr.
Ranunculus macropetalus,Ranunculus macropetalus,I,EN PELIGRO CRITICO (CR),NA,DC.
Hesperomeles heterophylla,Hesperomeles obtusifolia,I,EN PELIGRO CRITICO (CR),NA,(Pers.) Lindl.
Kageneckia lanceolata,Kageneckia lanceolata,I,EN PELIGRO CRITICO (CR),"Lloque, quisi, rahuac, uritmicuna",Ruiz & Pav.
Polylepis incana,Polylepis incana,I,EN PELIGRO CRITICO (CR),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Kunth
Polylepis racemosa,Polylepis racemosa,I,EN PELIGRO CRITICO (CR),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Ruiz & Pav.
Browallia acutiloba,Browallia acutiloba,I,EN PELIGRO CRITICO (CR),NA,SagÃ¡st. & D. Carranza
Browallia longitubulata,Browallia longitubulata,I,EN PELIGRO CRITICO (CR),NA,S. Leiva
Browallia mirabilis,Browallia mirabilis,I,EN PELIGRO CRITICO (CR),NA,Leiva
Iochroma schjellerupii,Iochroma schjellerupii,I,EN PELIGRO CRITICO (CR),Suburrión grande,S. Leiva & Quip.
Iochroma nitidum,Iochroma nitidum,I,EN PELIGRO CRITICO (CR),Chinchín,S. Leiva & Quip.
Jaltomata bernardelloana,Jaltomata bernardelloana,I,EN PELIGRO CRITICO (CR),Songorome,S. Leiva & Mione
Jaltomata lezamae,Jaltomata lezamae,I,EN PELIGRO CRITICO (CR),NA,S. Leiva & Mione
Jaltomata mioneii,Jaltomata mionei,I,EN PELIGRO CRITICO (CR),NA,S. Leiva & Quip.
Larnax kann-rasmussenii,Deprea kann-rasmussenii,I,EN PELIGRO CRITICO (CR),NA,(S.Leiva & Quip.) S.Leiva & Barboza
Larnax macrocalix,Larnax macrocalyx,I,EN PELIGRO CRITICO (CR),NA,"S. Leiva, E. Rodr. & J. Campos"
Larnax nieva,Deprea nieva,I,EN PELIGRO CRITICO (CR),NA,(S. Leiva & N.W. Sawyer) Barboza & Deanna
Larnax purpurea,Deprea purpurea,I,EN PELIGRO CRITICO (CR),NA,(S. Leiva) Barboza & S. Leiva
Nolana urumbambae,Nolana urubambae,I,EN PELIGRO CRITICO (CR),NA,Vargas
Nolana minor,Nolana minor,I,EN PELIGRO CRITICO (CR),NA,Ferreyra
Solanum chuquidenum,Solanum chiquidenum,I,EN PELIGRO CRITICO (CR),NA,Ochoa
Solanum contumazaense,Solanum contumazaense,I,EN PELIGRO CRITICO (CR),Papa silvestre,Ochoa
Solanum guzmanguense,Solanum guzmanguense,I,EN PELIGRO CRITICO (CR),NA,Whalen & SagÃ¡st.
Solanum jalcae,Solanum jalcae,I,EN PELIGRO CRITICO (CR),Papa de zorro,Ochoa
Solanum mochiquense,Solanum mochiquense,I,EN PELIGRO CRITICO (CR),Papa de zorro,Ochoa
Solanum trinitense,Solanum trinitense,I,EN PELIGRO CRITICO (CR),NA,Ochoa
Lueheopsis duckeana,Lueheopsis duckeana,I,EN PELIGRO CRITICO (CR),NA,Burret
Celtis iguanaea,Celtis iguanaea,I,EN PELIGRO CRITICO (CR),NA,(Jacq.) Sarg.
Stangea wandae,Stangea wandae,I,EN PELIGRO CRITICO (CR),NA,Graebn.
Valeriana cumbemayensis,Valeriana cumbemayensis,I,EN PELIGRO CRITICO (CR),NA,B. Eriksen
Valeriana longifolia,Valeriana longifolia,I,EN PELIGRO CRITICO (CR),NA,Kunth
Manicaria saccifera,Manicaria saccifera,I,EN PELIGRO (EN),Yarinilla,Gaertn.
Begonia octopetala,Begonia octopetala,I,EN PELIGRO (EN),"Achanqaray, begonia",Irmsch.
Begonia veitchii,Begonia veitchii,I,EN PELIGRO (EN),"Achanqaray, begonia",Hook. f.
Tabebuia impetiginosa,Tabebuia impetiginosa,I,EN PELIGRO (EN),Guayacán,(Mart. ex DC.) Standl.
Cochlospermum vitifolium,Cochlospermum vitifolium,I,EN PELIGRO (EN),Polo-polo,(Willd.) Spreng.
Tiquilia ferreyrae,Tiquilia ferreyrae,I,EN PELIGRO (EN),Flor de arena,(I.M. Johnst.) A.T. Richardson
Puya raimondii,Puya raimondii,I,EN PELIGRO (EN),"Ckara, cunco, junco, llacuash, santón, tica-tica, titanca, q´ayara",Harms
Tillandsia sagasteguii,Tillandsia sagasteguii,I,EN PELIGRO (EN),NA,L.B. Sm.
Tillandsia werdermannii,Tillandsia werdermannii,I,EN PELIGRO (EN),NA,Harms
Styloceras columnare,Styloceras columnare,I,EN PELIGRO (EN),Limoncillo,Müll.Arg.
Styloceras laurifolium,Styloceras laurifolium,I,EN PELIGRO (EN),"Curape, limoncito de cachos, naranjillo,sapanque",(Willd.) Kunth
Prosopis chilensis,Prosopis chilensis,I,EN PELIGRO (EN),"Algarrobo, huarango, tacco",(Molina) Stuntz
Prosopis juliflora,Prosopis juliflora,I,EN PELIGRO (EN),"Algarrobo, huarango",(Sw.) DC.
Geranium ayavacense,Geranium ayavacense,I,EN PELIGRO (EN),NA,Willd. ex Kunth
Geranium dielsianum,Geranium ruizii,I,EN PELIGRO (EN),"Pasuchaca, pasochaca",Hieron.
Krameria lappacea,Krameria lappacea,I,EN PELIGRO (EN),"Antacushma, mapato, malapato, ractania, rataña, ratania,",(Dombey) Burdet & B.B. Simpson
Abutilon arequipense,Abutilon arequipense,I,EN PELIGRO (EN),NA,Ulbr.
Abutilon peruvianum,Callianthe peruviana,I,EN PELIGRO (EN),NA,(Lam.) Dorr
Acaulimalva alismatifolia,Acaulimalva alismatifolia,I,EN PELIGRO (EN),NA,(K. Schum. & Hieron.) Krapov.
Acaulimalva sulphurea,Acaulimalva sulphurea,I,EN PELIGRO (EN),NA,Krapov.
Cienfuegosia hitchcockii,Cienfuegosia hitchcockii,I,EN PELIGRO (EN),NA,(Ulbr.) O.J. Blanch.
Gaya atiquipana,Gaya atiquipana,I,EN PELIGRO (EN),NA,Krapov.
Nototriche pseudo-pichinchensis,Nototriche pseudopichinchensis,I,EN PELIGRO (EN),NA,Hochr.
Nototriche salina,Nototriche salina,I,EN PELIGRO (EN),NA,B.L. Burtt & A.W. Hill
Nototriche tovari,Nototriche tovari,I,EN PELIGRO (EN),NA,Krapov.
Palaua camanensis,Palaua camanensis,I,EN PELIGRO (EN),NA,Ferreyra & Chanco
Sidasodes jamesonii,Sidasodes jamesonii,I,EN PELIGRO (EN),NA,(Baker f.) Fryxell & Fuertes
Tarasa machupicchensis,Tarasa machupicchensis,I,EN PELIGRO (EN),NA,Krapov.
Tarasa rhombifolia,Tarasa rhombifolia,I,EN PELIGRO (EN),NA,Krapov.
Cedrela lilloi,Cedrela lilloi,I,EN PELIGRO (EN),"Atoc cedro, cero, c. blanco, cedro de altura",C. DC.
Ruagea glabra,Ruagea glabra,I,EN PELIGRO (EN),NA,Triana & Planch.
Chionanthus pubescens,Chionanthus pubescens,I,EN PELIGRO (EN),NA,Kunth
Munroa decumbens,Munroa decumbens,I,EN PELIGRO (EN),NA,Phil.
Trichoneura weberbaueri,Trichoneura weberbaueri,I,EN PELIGRO (EN),NA,Pilg.
Polylepis microphylla,Polylepis microphylla,I,EN PELIGRO (EN),"Q´eñoa,",(Wedd.) Bitter
Polylepis multijuga,Polylepis multijuga,I,EN PELIGRO (EN),"Q´eñoa,",Pilg.
Polylepis subsericans,Polylepis subsericans,I,EN PELIGRO (EN),"Q´eñoa,",J.F. Macbr.
Polylepis tomentella,Polylepis tomentella,I,EN PELIGRO (EN),"Q´eñoa,",Wedd.
Prunus ruiziana,Prunus ruiziana,I,EN PELIGRO (EN),NA,Koehne
Zanthoxylum mantaro,Zanthoxylum mantaro,I,EN PELIGRO (EN),NA,(J.F. Macbr.) J.F. Macbr.
Citharexylum quercifolium,Citharexylum quercifolium,I,EN PELIGRO (EN),NA,Hayek
Hippeastrum cuzcoense,Hippeastrum cuzcoense,I,VULNERABLE (VU),NA,(Vargas) Gereau & Brako
Hippeastrum machupijchense,Hippeastrum machupijchense,I,VULNERABLE (VU),NA,(Vargas) D.R. Hunt
Ismene amancaes,Ismene amancaes,I,VULNERABLE (VU),"Amancaes, amancay",(Ruiz & Pav.) Herb.
Leptochiton helianthus,Leptochiton helianthus,I,VULNERABLE (VU),NA,(Ravenna) Gereau & Meerow
Stenomesson imasumacc,Stenomesson imasumacc,I,VULNERABLE (VU),NA,Vargas
Stenomesson miniatum,Stenomesson miniatum,I,VULNERABLE (VU),"Caruay piña, ului piña",(Herb.) Ravenna
Mauria heterophylla,Mauria heterophylla,I,VULNERABLE (VU),"Quimsa rapra, trinidad",Kunth
Mauria killipii,Mauria killipii,I,VULNERABLE (VU),NA,F.A. Barkley
Mauria simplicifolia,Mauria simplicifolia,I,VULNERABLE (VU),NA,Kunth
Schinus pearcei,Schinus pearcei,I,VULNERABLE (VU),"Atojlloque, molle, mulli, china molle, orcco mulli",Engl.
Azorella compacta,Azorella compacta,I,VULNERABLE (VU),"Yareta, capo, waqay-yareta, orqo-yareta, puna-yareta, chmapayareta",Phil.
Azorella diapensioides,Azorella diapensioides,I,VULNERABLE (VU),"Yareta, yarita, rayita, kkota",A. Gray
Parahancornia peruviana,Parahancornia peruviana,I,VULNERABLE (VU),Naranjo podrido,Monach.
Aiphanes spicata,Aiphanes spicata,I,VULNERABLE (VU),Shica-shica,Borchs. & R. Bernal
Ceroxylon crispum,Ceroxylon vogelianum,I,VULNERABLE (VU),NA,(Engel) H. Wendl.
Euterpe caatinga,Euterpe catinga,I,VULNERABLE (VU),NA,NA
Geonoma andicola,Geonoma andicola,I,VULNERABLE (VU),Frutilla,Dammer ex Burret
Geonoma densa,Geonoma densa,I,VULNERABLE (VU),NA,Linden & H. Wendl.
Geonoma weberbaueri,Geonoma undata,I,VULNERABLE (VU),NA,Klotzsch
Mauritia carana,Mauritia carana,I,VULNERABLE (VU),Aguaje del varillal,Wallace
Aequatorium rimachianum,Aequatorium rimachianum,I,VULNERABLE (VU),NA,(Cuatrec.) H. Rob. & Cuatrec.
Cronquistianthus celendinensis,Cronquistianthus celendinensis,I,VULNERABLE (VU),NA,R.M. King & H. Rob.
Gynoxys colanensis,Gynoxys colanensis,I,VULNERABLE (VU),NA,M.O. Dillon & SagÃ¡st.
Gynoxys cuzcoensis,Gynoxys cuzcoensis,I,VULNERABLE (VU),Q´oto quiswar,Cuatrec.
Lepidophyllum quadrangulare,Parastrephia quadrangularis,I,VULNERABLE (VU),"Pacha-taya, taya, tola, tuya",(Meyen) Cabrera
Mutisia wurdacki,Mutisia wurdackii,I,VULNERABLE (VU),NA,Cabrera
Pappobolus sanchezii,Pappobolus sanchezii,I,VULNERABLE (VU),NA,Panero
Parastrephia lepidophylla,Parastrephia lepidophylla,I,VULNERABLE (VU),"Taya, tola",(Wedd.) Cabrera
Parastrephia phylicaeformis,Parastrephia phyliciformis,I,VULNERABLE (VU),Tola,(Meyen) Cabrera
Perezia coerulescens,Perezia coerulescens,I,VULNERABLE (VU),"Sutuma, china valeriana, valeriana",Wedd.
Perezia pinnatifida,Perezia pinnatifida,I,VULNERABLE (VU),Contrayerba,(Humb. & Bonpl.) Wedd.
Senecio casapaltensis,Senecio casapaltensis,I,VULNERABLE (VU),NA,Ball
Senecio pflanzii,Senecio pflanzii,I,VULNERABLE (VU),NA,(Perkins) Cuatrec.
Senecio nivalis,Culcitium nivale,I,VULNERABLE (VU),NA,Kunth
Senecio nutans,Senecio nutans,I,VULNERABLE (VU),Chachacuma,Sch. Bip.
Senecio rhizomatus,Senecio rhizomatus,I,VULNERABLE (VU),"Hancahuasa, lanca-huasha, llnca-huasca, ticlla-huasa, ticllaywara",Rusby
Senecio torrehuasensis,Senecio torrehuasensis,I,VULNERABLE (VU),NA,Cuatrec.
Senecio violaefolius,Senecio violifolius,I,VULNERABLE (VU),Huamanrripa,Cabrera
Alnus acuminata,Alnus acuminata,I,VULNERABLE (VU),"Aliso, huayau, lambrán, lamra, ramram, ramrash",Kunth
Jacaranda acutifolia,Jacaranda acutifolia,I,VULNERABLE (VU),"Yarabisca, yaravisco, arabisca, jacarandá, jarahuichca, paravisco",Bonpl.
Jacaranda mimosifolia,Jacaranda mimosifolia,I,VULNERABLE (VU),"Jacarandá, yaravisco",D. Don
Tabebuia incana,Handroanthus incanus,I,VULNERABLE (VU),Tahuarí,(A.H. Gentry) S.O. Grose
Tabebuia serratifolia,Tabebuia serratifolia,I,VULNERABLE (VU),"Tahuarí, asta de venado, chonta",(Vahl) G. Nicholson
Tecoma arequipensis,Tecoma fulva,I,VULNERABLE (VU),"Cahuato, pichus",(Cav.) G. Don
Pachira brevipes,Pachira brevipes,I,VULNERABLE (VU),NA,(A. Robyns) W.S. Alverson
Greigia leymebambana,Greigia leymebambana,I,VULNERABLE (VU),NA,H. Luther
Puya herrerae,Puya herrerae,I,VULNERABLE (VU),Ccjayara,Harms
Puya iltisiana,Puya iltisiana,I,VULNERABLE (VU),NA,L.B. Sm.
Haploclathra paniculata,Haploclathra paniculata,I,VULNERABLE (VU),NA,(Mart.) Benth.
Columellia weberbaueri,Columellia weberbaueri,I,VULNERABLE (VU),NA,Schltr.
Laguncularia racemosa,Laguncularia racemosa,I,VULNERABLE (VU),Mangle blanco,(L.) C.F. Gaertn.
Cyathea caracasana,Cyathea caracasana,I,VULNERABLE (VU),Helecho arbóreo,(Klotzsch) Domin
Cyathea delgadii,Cyathea delgadii,I,VULNERABLE (VU),Helecho arbóreo,Sternb.
Zamia poeppigiana,Zamia poeppigiana,I,VULNERABLE (VU),NA,Mart. & Eichler
Zamia ulei,Zamia ulei,I,VULNERABLE (VU),NA,Dammer
Cnidoscolus basiacanthus,Cnidoscolus basiacanthus,I,VULNERABLE (VU),Huanarpo hembra,(Pax & K. Hoffm.) J.F. Macbr.
Jatropha humboldtiana,Jatropha humboldtiana,I,VULNERABLE (VU),NA,McVaugh
Amburana acreana,Amburana acreana,I,VULNERABLE (VU),NA,(Ducke) A.C. Sm.
Caesalpinia spinosa,Tara spinosa,I,VULNERABLE (VU),"Tara, taya",(Molina) Britton & Rose
Clitoria woytkowskii,Clitoria woytkowskii,I,VULNERABLE (VU),NA,Fantz
Copaifera paupera,Copaifera paupera,I,VULNERABLE (VU),Copaiba,(Herzog) Dwyer
Cyathostegia mathewsii,Cyathostegia mathewsii,I,VULNERABLE (VU),NA,(Benth.) Schery
Geoffroea decorticans,Geoffroea decorticans,I,VULNERABLE (VU),NA,(Gillies ex Hook. & Arn.) Burkart
Pachyrrhizus tuberosus,Pachyrhizus tuberosus,I,VULNERABLE (VU),"Achipa, ajipa, jíquima",(Lam.) Spreng.
Peltogyne altisima,Peltogyne altissima,I,VULNERABLE (VU),NA,Ducke
Prosopis pallida,Prosopis pallida,I,VULNERABLE (VU),"Algarrobo, huarango",(Humb. & Bonpl. ex Willd.) Kunth
Gentianella thyrsoidea,Gentianella thyrsoidea,I,VULNERABLE (VU),Japan shacoc,(Hook.) Fabris
Escallonia micrantha,Escallonia micrantha,I,VULNERABLE (VU),Chachacoma(o),Mattf.
Escallonia myrtilloides,Escallonia myrtilloides,I,VULNERABLE (VU),"Chachacoma(o), fassta tassta, tosta",L. f.
Escallonia pendula,Escallonia pendula,I,VULNERABLE (VU),"Chachacuma, pauca, pumachilca",(Ruiz & Pav.) Pers.
Escallonia resinosa,Escallonia resinosa,I,VULNERABLE (VU),"Chachas, chachacoma, china ckenhua, tatás",(Ruiz & Pav.) Pers.
Escallonia salicifolia,Escallonia salicifolia,I,VULNERABLE (VU),NA,Mattf.
Aniba rosaeodora,Aniba rosodora,I,VULNERABLE (VU),Palo rosa,Ducke
Mezilaurus ita-uba,Mezilaurus ita-uba,I,VULNERABLE (VU),"Itahuba, itauba, ita-uba",(Meisn.) Taub. ex Mez
Malesherbia scarlatiflora,Malesherbia scarlatiflora,I,VULNERABLE (VU),NA,Gilg
Malesherbia weberbaueri,Malesherbia weberbaueri,I,VULNERABLE (VU),NA,Gilg
Acaulimalva parnassiaefolia,Acaulimalva parnassiifolia,I,VULNERABLE (VU),NA,(Hook.) Krapov.
Acaulimalva weberbaueri,Acaulimalva weberbaueri,I,VULNERABLE (VU),NA,(Ulbr.) Krapov.
Cedrela fissilis,Cedrela fissilis,I,VULNERABLE (VU),"Cedro, c. blanco, c. de altura",Vell.
Cedrela montana,Cedrela montana,I,VULNERABLE (VU),Cedro de monte,Moritz ex Turcz.
Cedrela odorata,Cedrela odorata,I,VULNERABLE (VU),"Cedro colorado, c. de altura, c. del bajo",L.
Swietenia macrophylla,Swietenia macrophylla,I,VULNERABLE (VU),Caoba,King
Myrcianthes quinqueloba,Myrcianthes quinqueloba,I,VULNERABLE (VU),Guayabillo,(McVaugh) McVaugh
Psidium rutidocarpum,Psidium rutidocarpum,I,VULNERABLE (VU),"Guayabo del monte, monte sahuinto",Ruiz & Pav.
Passiflora gracilens,Passiflora gracilens,I,VULNERABLE (VU),"Atoc tumbo, jukuchajamppajhuai, pichincho-jamppajhuai",(A. Gray) Harms
Piper ollantaitambanum,Piper ollantaitambanum,I,VULNERABLE (VU),NA,Trel.
Aulonemia queko,Aulonemia queko,I,VULNERABLE (VU),NA,Goudot
Rhipidocladum harmonicum,Rhipidocladum harmonicum,I,VULNERABLE (VU),"Mamac, mamaje",(Parodi) McClure
Tovarochloa peruviana,Poa apiculata,I,VULNERABLE (VU),NA,Refulio
Tripsacum australe,Tripsacum australe,I,VULNERABLE (VU),NA,NA
Tripsacum peruvianum,Tripsacum peruvianum,I,VULNERABLE (VU),NA,de Wet & Timothy
Lomatia hirsuta,Lomatia hirsuta,I,VULNERABLE (VU),"Andaga garo, garo, raral, shiapash, pal pal",(Lam.) Diels
Argyrochosma nivea,Argyrochosma nivea,I,VULNERABLE (VU),"Cuti cuti, raqui raqui, doradilla",(Poir.) Windham
Rhizophora mangle,Rhizophora mangle,I,VULNERABLE (VU),"Mangle, mangle dulce",L.
Polylepis besseri,Polylepis besseri,I,VULNERABLE (VU),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua,",Hieron.
Polylepis pepei,Polylepis pepei,I,VULNERABLE (VU),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua,",B.B. Simpson
Polylepis rugulosa,Polylepis rugulosa,I,VULNERABLE (VU),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua,",Bitter
Polylepis sericea,Polylepis sericea,I,VULNERABLE (VU),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua,",Wedd.
