LEVEL	NAME	ROLLUP	ASSIGN	TAXID	REL_ABU
order	Orbales	4	0	1240482	0.0000
order	Nitrosomonadales	4	1	32003	0.0000
order	Myxococcales	4	1	29	0.0000
order	Pseudonocardiales	3	0	85010	0.0000
order	Thermotogales	3	0	2419	0.0000
order	Planctomycetales	3	0	112	0.0000
order	Nevskiales	3	0	1775403	0.0000
order	Cytophagales	3	0	768507	0.0000
order	Synechococcales	3	0	1890424	0.0000
order	Entomoplasmatales	3	0	186328	0.0000
order	Halanaerobiales	3	0	53433	0.0000
order	Tissierellales	3	0	1737405	0.0000
order	Veillonellales	3	0	1843489	0.0000
order	Natranaerobiales	3	0	485256	0.0000
order	Spirochaetales	2	0	136	0.0000
order	Marinilabiliales	2	0	1970189	0.0000
order	Chitinophagales	2	0	1853229	0.0000
order	Cardiobacteriales	2	0	135615	0.0000
order	Acholeplasmatales	2	0	186329	0.0000
order	Brachyspirales	2	0	1643686	0.0000
order	Haloplasmatales	2	0	471822	0.0000
order	Verrucomicrobiales	2	1	48461	0.0000
order	Desulfurobacteriales	2	0	1485951	0.0000
order	Haloferacales	1	0	1644055	0.0000
order	Acidimicrobiales	1	0	84993	0.0000
order	Methanosarcinales	1	0	94695	0.0000
order	Gemmatimonadales	1	0	219686	0.0000
order	Opitutales	1	0	415000	0.0000
order	Solibacterales	1	0	332160	0.0000
order	Bacteriovoracales	1	0	2024979	0.0000
order	Nitriliruptorales	1	0	596497	0.0000
order	Ferrovales	1	0	1442155	0.0000
order	Oscillatoriales	1	0	1150	0.0000
order	Acidobacteriales	1	0	204433	0.0000
order	Dehalococcoidales	1	0	1202465	0.0000
order	Bifidobacteriales	1	0	85004	0.0000
order	Candidatus Brocadiales	1	0	1127829	0.0000
order	Immundisolibacterales	1	0	1934945	0.0000
order	Pelagibacterales	1	0	54526	0.0000
order	Desulfovibrionales	1	0	213115	0.0000
order	Chrysiogenales	1	0	189769	0.0000
order	Methanomicrobiales	1	0	2191	0.0000
order	Nitrospinales	1	0	1293499	0.0000
order	Parvularculales	1	0	255473	0.0000
order	Natrialbales	1	0	1644060	0.0000
order	Aquificales	1	0	32069	0.0000
order	Methanocellales	1	0	570264	0.0000
order	Nostocales	1	0	1161	0.0000
order	Acidaminococcales	1	0	1843488	0.0000
order	Magnetococcales	1	0	1191478	0.0000
order	Deferribacterales	1	0	191393	0.0000
order	Kineosporiales	1	0	622452	0.0000
order	Kiloniellales	1	0	597358	0.0000
order	Calditrichales	1	0	1962852	0.0000
order	Chlorobiales	1	0	191411	0.0000
order	Halobacteriales	1	0	2235	0.0000
order	Mycoplasmatales	1	0	2085	0.0000
family	Staphylococcaceae	956454	516540	90964	0.1206
family	Rhodobacteraceae	439016	109923	31989	0.0553
family	Streptococcaceae	221138	16293	1300	0.0279
family	Methanobacteriaceae	130958	79562	2159	0.0165
family	Pseudomonadaceae	43507	28876	135621	0.0055
family	Clostridiaceae	33435	7825	31979	0.0042
family	Enterobacteriaceae	29487	11735	543	0.0037
family	Moraxellaceae	12241	2345	468	0.0015
family	Bacillaceae	8346	3595	186817	0.0011
family	Deinococcaceae	5647	12	183710	0.0007
family	Propionibacteriaceae	3349	3269	31957	0.0004
family	Helicobacteraceae	2966	16	72293	0.0004
family	Neisseriaceae	2252	669	481	0.0003
family	Listeriaceae	1889	332	186820	0.0002
family	Xanthomonadaceae	861	364	32033	0.0001
family	Siphoviridae	783	211	10699	0.0001
family	Bacteroidaceae	644	201	815	0.0001
family	Hyphomicrobiaceae	472	25	45401	0.0001
family	Lactobacillaceae	231	12	33958	0.0000
family	Yersiniaceae	184	40	1903411	0.0000
family	Rhizobiaceae	127	50	82115	0.0000
family	Nocardiaceae	82	19	85025	0.0000
family	Paenibacillaceae	78	2	186822	0.0000
family	Erwiniaceae	64	9	1903409	0.0000
family	Methylibium - no_f_rank	58	0	0	0.0000
family	Enterococcaceae	58	9	81852	0.0000
family	Actinomycetaceae	56	1	2049	0.0000
family	Burkholderiaceae	55	23	119060	0.0000
family	Vibrionaceae	40	3	641	0.0000
family	Bradyrhizobiaceae	39	8	41294	0.0000
family	Phyllobacteriaceae	37	7	69277	0.0000
family	Morganellaceae	35	3	1903414	0.0000
family	Desulfobacteraceae	30	0	213119	0.0000
family	Rhodospirillaceae	30	2	41295	0.0000
family	Mycobacteriaceae	29	0	1762	0.0000
family	Planococcaceae	28	5	186818	0.0000
family	Sphingomonadaceae	26	3	41297	0.0000
family	Pectobacteriaceae	25	4	1903410	0.0000
family	Pasteurellaceae	24	8	712	0.0000
family	Acetobacteraceae	20	8	433	0.0000
family	Lachnospiraceae	20	1	186803	0.0000
family	Methylobacteriaceae	19	2	119045	0.0000
family	Leptotrichiaceae	15	1	1129771	0.0000
family	Alcaligenaceae	15	6	506	0.0000
family	Carnobacteriaceae	14	0	186828	0.0000
family	Peptostreptococcaceae	14	0	186804	0.0000
family	Corynebacteriaceae	13	4	1653	0.0000
family	Comamonadaceae	12	1	80864	0.0000
family	Hafniaceae	12	2	1903412	0.0000
family	Flavobacteriaceae	11	3	49546	0.0000
family	Alteromonadaceae	11	0	72275	0.0000
family	Aurantimonadaceae	11	2	255475	0.0000
family	Aeromonadaceae	11	2	84642	0.0000
family	Hyphomonadaceae	10	1	69657	0.0000
family	Aerococcaceae	10	0	186827	0.0000
family	Caulobacteraceae	10	1	76892	0.0000
family	Oceanospirillaceae	9	0	135620	0.0000
family	Ruminococcaceae	9	0	541000	0.0000
family	Methylocystaceae	8	2	31993	0.0000
family	Legionellaceae	8	0	444	0.0000
family	Inoviridae	8	0	10860	0.0000
family	Halomonadaceae	8	1	28256	0.0000
family	Peptococcaceae	8	1	186807	0.0000
family	Leuconostocaceae	7	3	81850	0.0000
family	Chromobacteriaceae	7	1	1499392	0.0000
family	Erysipelotrichaceae	7	0	128827	0.0000
family	Chromatiaceae	7	1	1046	0.0000
family	Rhodobiaceae	6	0	119043	0.0000
family	Methylococcaceae	6	0	403	0.0000
family	Alicyclobacillaceae	6	0	186823	0.0000
family	Synergistaceae	6	0	649777	0.0000
family	Streptomycetaceae	5	0	2062	0.0000
family	Ectothiorhodospiraceae	5	3	72276	0.0000
family	Oxalobacteraceae	5	0	75682	0.0000
family	Zoogloeaceae	5	1	2008794	0.0000
family	Thermoactinomycetaceae	5	0	186824	0.0000
family	Brucellaceae	5	1	118882	0.0000
family	Xanthobacteraceae	5	0	335928	0.0000
family	Erythrobacteraceae	5	0	335929	0.0000
family	Eubacteriaceae	5	0	186806	0.0000
family	Orbaceae	4	1	1240483	0.0000
family	Bartonellaceae	4	0	772	0.0000
family	Rhodanobacteraceae	4	1	1775411	0.0000
family	Microbacteriaceae	4	0	85023	0.0000
family	Selenomonadaceae	4	2	1843491	0.0000
family	Anaplasmataceae	4	0	942	0.0000
family	Micrococcaceae	3	0	1268	0.0000
family	Podoviridae	3	3	10744	0.0000
family	Thermomonosporaceae	3	2	2012	0.0000
family	Pseudonocardiaceae	3	0	2070	0.0000
family	Synechococcaceae	3	0	1890426	0.0000
family	Thiotrichaceae	3	0	135617	0.0000
family	Geobacteraceae	3	0	213422	0.0000
family	Budviciaceae	3	0	1903416	0.0000
family	Campylobacteraceae	3	0	72294	0.0000
family	Sinobacteraceae	3	0	568386	0.0000
family	Francisellaceae	3	0	34064	0.0000
family	Veillonellaceae	3	0	31977	0.0000
family	Shewanellaceae	3	1	267890	0.0000
family	Moritellaceae	3	0	267891	0.0000
family	Colwelliaceae	3	0	267889	0.0000
family	Beijerinckiaceae	3	0	45404	0.0000
family	Natranaerobiaceae	3	0	485255	0.0000
family	Desulfurobacteriaceae	2	0	558314	0.0000
family	Entomoplasmataceae	2	1	33925	0.0000
family	Coxiellaceae	2	0	118968	0.0000
family	Acholeplasmataceae	2	0	2146	0.0000
family	Spirochaetaceae	2	0	137	0.0000
family	Rickettsiaceae	2	0	775	0.0000
family	Hahellaceae	2	0	224379	0.0000
family	Methylophilaceae	2	0	32011	0.0000
family	Peptoniphilaceae	2	0	1570339	0.0000
family	Piscirickettsiaceae	2	0	135616	0.0000
family	Thermotogaceae	2	1	188709	0.0000
family	Halobacteroidaceae	2	1	53434	0.0000
family	Intrasporangiaceae	2	0	85021	0.0000
family	Isosphaeraceae	2	0	1763524	0.0000
family	Haloplasmataceae	2	0	471823	0.0000
family	Nocardiopsaceae	2	0	83676	0.0000
family	Sporolactobacillaceae	2	0	186821	0.0000
family	Cardiobacteriaceae	2	0	868	0.0000
family	Alcanivoracaceae	2	0	224372	0.0000
family	Halieaceae	2	1	1706372	0.0000
family	Brachyspiraceae	2	0	143786	0.0000
family	Chitinophagaceae	2	1	563835	0.0000
family	Sporomusaceae	2	0	1843490	0.0000
family	Clostridiales Family XIII. Incertae Sedis	2	0	543314	0.0000
family	Pseudoalteromonadaceae	2	0	267888	0.0000
family	Haloferacaceae	1	1	1644056	0.0000
family	Acidimicrobiaceae	1	0	84994	0.0000
family	Prolixibacteraceae	1	0	1471398	0.0000
family	Mycoplasmataceae	1	1	2092	0.0000
family	Gemmatimonadaceae	1	0	219687	0.0000
family	Hymenobacteraceae	1	0	1853232	0.0000
family	Cyclobacteriaceae	1	0	563798	0.0000
family	Opitutaceae	1	1	134623	0.0000
family	Microcoleaceae	1	0	1892252	0.0000
family	Marinilabiliaceae	1	0	558415	0.0000
family	Nocardioidaceae	1	0	85015	0.0000
family	Promicromonosporaceae	1	0	85017	0.0000
family	Blattabacteriaceae	1	0	39782	0.0000
family	Desulfovibrionaceae	1	0	194924	0.0000
family	Defluviitaleaceae	1	0	1185407	0.0000
family	Chrysiogenaceae	1	0	189770	0.0000
family	Planctomycetaceae	1	0	126	0.0000
family	Candidatus Brocadiaceae	1	0	1127830	0.0000
family	Hapalosiphonaceae	1	1	1892263	0.0000
family	Acidaminococcaceae	1	0	909930	0.0000
family	Proteinivoraceae	1	0	1491775	0.0000
family	Cellvibrionaceae	1	0	1706371	0.0000
family	Sandaracinaceae	1	0	1055686	0.0000
family	Immundisolibacteraceae	1	0	1934946	0.0000
family	Sutterellaceae	1	0	995019	0.0000
family	Oscillospiraceae	1	0	216572	0.0000
family	Methanothermaceae	1	0	2178	0.0000
family	Azonexaceae	1	1	2008795	0.0000
family	Myxococcaceae	1	0	31	0.0000
family	Nitrospinaceae	1	0	407032	0.0000
family	Sterolibacteriaceae	1	0	2008793	0.0000
family	Bernardetiaceae	1	0	1937968	0.0000
family	Solibacteraceae	1	0	332161	0.0000
family	Methanomicrobiaceae	1	0	2194	0.0000
family	Acidobacteriaceae	1	0	204434	0.0000
family	Leptospiraceae	1	0	170	0.0000
family	Halanaerobiaceae	1	0	972	0.0000
family	Methanosarcinaceae	1	0	2206	0.0000
family	Kineosporiaceae	1	0	83778	0.0000
family	Natrialbaceae	1	0	1644061	0.0000
family	Bacteriovoracaceae	1	0	263369	0.0000
family	Parvularculaceae	1	0	255474	0.0000
family	Granulosicoccaceae	1	0	449719	0.0000
family	Fervidobacteriaceae	1	0	1643950	0.0000
family	Bifidobacteriaceae	1	0	31953	0.0000
family	Dehalococcoidaceae	1	1	1202464	0.0000
family	Spongiibacteraceae	1	0	1706375	0.0000
family	Methanocellaceae	1	0	570265	0.0000
family	Microbulbiferaceae	1	0	1706373	0.0000
family	Dietziaceae	1	0	85029	0.0000
family	Pelagibacteraceae	1	1	1655514	0.0000
family	Magnetococcaceae	1	0	1191479	0.0000
family	Porphyromonadaceae	1	0	171551	0.0000
family	Rikenellaceae	1	0	171550	0.0000
family	Anaeromyxobacteraceae	1	0	1524215	0.0000
family	Psychromonadaceae	1	0	267894	0.0000
family	Deferribacteraceae	1	0	191394	0.0000
family	Ventosimonadaceae	1	0	1827282	0.0000
family	Fusobacteriaceae	1	0	203492	0.0000
family	Spiroplasmataceae	1	0	2131	0.0000
family	Ferrovaceae	1	0	1442156	0.0000
family	Akkermansiaceae	1	0	1647988	0.0000
family	Kiloniellaceae	1	0	597359	0.0000
family	Calditrichaceae	1	0	1962854	0.0000
family	Nitriliruptoraceae	1	0	596498	0.0000
family	Aquificaceae	1	0	64898	0.0000
family	Chlorobiaceae	1	1	191412	0.0000
family	Halobacteriaceae	1	0	2236	0.0000
genus	Staphylococcus	439860	384495	1279	0.0554
genus	Rhodobacter	328177	242524	1060	0.0414
genus	Streptococcus	204825	80718	1301	0.0258
genus	Methanobrevibacter	51385	38651	2172	0.0065
genus	Clostridium	25604	19474	1485	0.0032
genus	Escherichia	15225	880	561	0.0019
genus	Pseudomonas	14626	12803	286	0.0018
genus	Acinetobacter	9890	9157	469	0.0012
genus	Deinococcus	5635	2034	1298	0.0007
genus	Bacillus	4112	3812	1386	0.0005
genus	Helicobacter	2949	1300	209	0.0004
genus	Neisseria	1583	1069	482	0.0002
genus	Listeria	1554	1010	1637	0.0002
genus	Shigella	1410	258	620	0.0002
genus	Virgibacillus	605	13	84406	0.0001
genus	Staphylococcus phage 23MRA - no_g_rank	570	0	0	0.0001
genus	Stenotrophomonas	488	148	40323	0.0001
genus	Bacteroides	443	380	816	0.0001
genus	Devosia	439	222	46913	0.0001
genus	Salmonella	409	8	590	0.0001
genus	Klebsiella	275	30	570	0.0000
genus	Lactobacillus	219	152	1578	0.0000
genus	Enterobacter	190	45	547	0.0000
genus	Paracoccus	166	92	265	0.0000
genus	Citrobacter	114	44	544	0.0000
genus	Serratia	107	65	613	0.0000
genus	Phietavirus	85	20	1623298	0.0000
genus	Paenibacillus	71	7	44249	0.0000
genus	Cutibacterium	70	4	1912216	0.0000
genus	Rhodococcus	61	60	1827	0.0000
genus	Actinomyces	55	13	1654	0.0000
genus	Gemmobacter	52	13	204456	0.0000
genus	Rhizobium	48	11	379	0.0000
genus	Pseudorhodobacter	47	7	238783	0.0000
genus	Enterococcus	44	8	1350	0.0000
genus	Rhodovulum	42	4	34008	0.0000
genus	Loktanella	35	6	245186	0.0000
genus	Roseovarius	35	6	74030	0.0000
genus	Thioclava	30	8	285107	0.0000
genus	Oceanicola	30	2	252301	0.0000
genus	Mycobacterium	29	0	1763	0.0000
genus	Desulfobacula	29	0	28222	0.0000
genus	Falsirhodobacter	29	0	1434002	0.0000
genus	Jannaschia	29	5	188905	0.0000
genus	Yersinia	28	3	629	0.0000
genus	Erwinia	26	3	551	0.0000
genus	Defluviimonas	26	10	1097466	0.0000
genus	Vibrio	25	6	662	0.0000
genus	Sulfitobacter	24	8	60136	0.0000
genus	Salinicoccus	23	5	45669	0.0000
genus	Roseivivax	23	1	93682	0.0000
genus	Celeribacter	22	8	875170	0.0000
genus	Cronobacter	22	5	413496	0.0000
genus	Mesorhizobium	20	7	68287	0.0000
genus	Lactococcus	20	7	1357	0.0000
genus	Ketogulonicigenium	20	3	92944	0.0000
genus	Pantoea	20	6	53335	0.0000
genus	Ralstonia	19	13	48736	0.0000
genus	Bradyrhizobium	19	12	374	0.0000
genus	Haematobacter	18	10	366614	0.0000
genus	Macrococcus	17	13	69965	0.0000
genus	Xenorhabdus	15	2	626	0.0000
genus	Kluyvera	15	8	579	0.0000
genus	Phaeobacter	13	3	302485	0.0000
genus	Agrobacterium	13	2	357	0.0000
genus	Pseudoruegeria	13	0	311411	0.0000
genus	Streptobacillus	13	0	34104	0.0000
genus	Buttiauxella	11	3	82976	0.0000
genus	Methylobacterium	11	5	407	0.0000
genus	Clostridioides	11	0	1870884	0.0000
genus	Ruegeria	11	2	97050	0.0000
genus	Rubellimicrobium	10	0	295418	0.0000
genus	Yangia	10	0	354203	0.0000
genus	Labrenzia	10	0	478070	0.0000
genus	Franconibacter	9	4	1649295	0.0000
genus	Sphingomonas	9	4	13687	0.0000
genus	Corynebacterium	9	4	1716	0.0000
genus	Dickeya	9	5	204037	0.0000
genus	Marivita	9	0	659428	0.0000
genus	Trabulsiella	9	2	158851	0.0000
genus	Sinorhizobium	8	0	28105	0.0000
genus	Leclercia	8	1	83654	0.0000
genus	Legionella	8	0	445	0.0000
genus	Methanobacterium	8	6	2160	0.0000
genus	Blautia	8	0	572511	0.0000
genus	Wenxinia	8	0	653686	0.0000
genus	Maritimibacter	8	0	404235	0.0000
genus	Pelagibaca	8	0	360528	0.0000
genus	Edwardsiella	8	6	635	0.0000
genus	Carnobacterium	8	0	2747	0.0000
genus	Propionibacterium	8	3	1743	0.0000
genus	Sporosarcina	8	5	1569	0.0000
genus	Maribius	8	0	387095	0.0000
genus	Aeromonas	7	3	642	0.0000
genus	Pasteurella	7	0	745	0.0000
genus	Pseudooceanicola	7	0	1679449	0.0000
genus	Lambdavirus	7	0	186765	0.0000
genus	Morganella	7	1	581	0.0000
genus	Nitratireductor	7	1	245876	0.0000
genus	Thalassospira	6	0	168934	0.0000
genus	Jeotgalicoccus	6	1	227979	0.0000
genus	Raoultella	6	1	160674	0.0000
genus	Paraburkholderia	6	1	1822464	0.0000
genus	Aerococcus	6	2	1375	0.0000
genus	Photobacterium	6	3	657	0.0000
genus	Planktomarina	6	0	1284657	0.0000
genus	Bosea	6	2	85413	0.0000
genus	Auricoccucs	6	0	2005363	0.0000
genus	Shimwellia	6	0	1335483	0.0000
genus	Halomonas	6	2	2745	0.0000
genus	Cloacibacillus	6	0	508459	0.0000
genus	Thalassobius	6	1	335927	0.0000
genus	Siccibacter	5	0	1649298	0.0000
genus	Pseudophaeobacter	5	0	1541822	0.0000
genus	Aureimonas	5	1	414371	0.0000
genus	Xanthomonas	5	1	338	0.0000
genus	Marinovum	5	0	367771	0.0000
genus	Streptomyces	5	2	1883	0.0000
genus	Geobacillus	5	0	129337	0.0000
genus	Hyphomonas	5	2	85	0.0000
genus	Alicyclobacillus	5	4	29330	0.0000
genus	Providencia	5	2	586	0.0000
genus	Sagittula	5	0	58842	0.0000
genus	Ensifer	5	0	106591	0.0000
genus	Citreicella	5	1	282682	0.0000
genus	Marinobacter	5	0	2742	0.0000
genus	Azotobacter	5	2	352	0.0000
genus	Kosakonia	5	0	1330547	0.0000
genus	Pluralibacter	5	0	1330546	0.0000
genus	Achromobacter	5	4	222	0.0000
genus	Roseobacter	5	0	2433	0.0000
genus	Sphingobium	4	1	165695	0.0000
genus	Palleronia	4	0	315422	0.0000
genus	Sedimentitalea	4	0	1541818	0.0000
genus	Marinobacterium	4	1	48075	0.0000
genus	Tatumella	4	3	82986	0.0000
genus	Dinoroseobacter	4	0	309512	0.0000
genus	Octadecabacter	4	2	53945	0.0000
genus	Aestuariivita	4	0	1608457	0.0000
genus	Sodalis	4	0	84565	0.0000
genus	Bartonella	4	3	773	0.0000
genus	Ruminococcus	4	1	1263	0.0000
genus	Roseinatronobacter	4	0	121820	0.0000
genus	Pectobacterium	4	0	122277	0.0000
genus	Marinomonas	4	1	28253	0.0000
genus	Leisingera	4	0	191028	0.0000
genus	Bhargavaea	4	0	941338	0.0000
genus	Candidatus Fukatsuia	4	0	1927833	0.0000
genus	Paenirhodobacter	4	0	1470577	0.0000
genus	Cedecea	4	0	158483	0.0000
genus	Oceaniovalibus	4	0	1207070	0.0000
genus	Oceanicella	4	0	1233054	0.0000
genus	Rhodobaca	4	0	119541	0.0000
genus	Haemophilus	4	0	724	0.0000
genus	Desulfotomaculum	4	0	1562	0.0000
genus	Salimicrobium	3	0	351195	0.0000
genus	Natranaerobius	3	0	375928	0.0000
genus	Phaseolibacter	3	0	1297562	0.0000
genus	Sphingopyxis	3	2	165697	0.0000
genus	Novosphingobium	3	0	165696	0.0000
genus	Microbacterium	3	1	33882	0.0000
genus	Jeotgalibacillus	3	0	157226	0.0000
genus	Synechococcus	3	1	1129	0.0000
genus	Campylobacter	3	3	194	0.0000
genus	Azospirillum	3	1	191	0.0000
genus	Acetobacterium	3	0	33951	0.0000
genus	Halocynthiibacter	3	0	1579315	0.0000
genus	Acidiphilium	3	2	522	0.0000
genus	Ochrobactrum	3	1	528	0.0000
genus	Leuconostoc	3	0	1243	0.0000
genus	Roseisalinus	3	0	289239	0.0000
genus	Salipiger	3	0	263377	0.0000
genus	Flavobacterium	3	1	237	0.0000
genus	Cellulosilyticum	3	0	698776	0.0000
genus	Yokenella	3	0	158876	0.0000
genus	Methylocystis	3	1	133	0.0000
genus	Phenylobacterium	3	2	20	0.0000
genus	Planococcus	3	1	1372	0.0000
genus	Plesiomonas	3	3	702	0.0000
genus	Microvirga	3	0	186650	0.0000
genus	Roseomonas	3	3	125216	0.0000
genus	Hyphomicrobium	3	0	81	0.0000
genus	Actibacterium	3	0	1433986	0.0000
genus	Aliiroseovarius	3	0	1658781	0.0000
genus	Brochothrix	3	0	2755	0.0000
genus	Anaerobacillus	3	0	704093	0.0000
genus	Roseibaca	3	0	1400060	0.0000
genus	Mangrovibacter	3	1	451512	0.0000
genus	Gracilibacillus	3	1	74385	0.0000
genus	Puniceibacterium	3	0	1608404	0.0000
genus	Eggerthia	3	0	1279384	0.0000
genus	Tropicibacter	3	0	599653	0.0000
genus	Alkalibacterium	3	0	99906	0.0000
genus	Moritella	3	1	58050	0.0000
genus	Exiguobacterium	3	2	33986	0.0000
genus	Francisella	3	3	262	0.0000
genus	Meganema	3	0	356797	0.0000
genus	Pilibacter	3	0	337670	0.0000
genus	Nereida	3	0	282198	0.0000
genus	Alkanindiges	3	2	222991	0.0000
genus	Wolbachia	3	2	953	0.0000
genus	Lelliottia	2	0	1330545	0.0000
genus	Ahrensia	2	1	152180	0.0000
genus	Pacificibacter	2	0	1042323	0.0000
genus	Thalassobacter	2	2	266808	0.0000
genus	Donghicola	2	2	393277	0.0000
genus	Gilliamella	2	0	1193503	0.0000
genus	Xanthobacter	2	0	279	0.0000
genus	Brachyspira	2	0	29521	0.0000
genus	Candidatus Puniceispirillum	2	0	767891	0.0000
genus	Megasphaera	2	0	906	0.0000
genus	Halobacillus	2	1	45667	0.0000
genus	Afifella	2	0	643217	0.0000
genus	Pseudoalteromonas	2	1	53246	0.0000
genus	Cucumibacter	2	0	1121251	0.0000
genus	Methanothermobacter	2	2	145260	0.0000
genus	Cupriavidus	2	2	106589	0.0000
genus	Gorillibacterium	2	0	1689250	0.0000
genus	Chania	2	0	1745211	0.0000
genus	Alcanivorax	2	1	59753	0.0000
genus	Buchnera	2	0	32199	0.0000
genus	Candidatus Regiella	2	0	568988	0.0000
genus	Pseudoxanthomonas	2	1	83618	0.0000
genus	Liberibacter	2	0	34019	0.0000
genus	Janthinobacterium	2	0	29580	0.0000
genus	Belnapia	2	0	365532	0.0000
genus	Rhodovibrio	2	0	85274	0.0000
