LEVEL	NAME	ROLLUP	ASSIGNED	TAXID	READ_COUNT	READ_COUNT_RNR	READ_COUNT_RSNB	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	PATHOGEN	SCORE	REL_ABUNDANCE	ABUNDANCE	LINEAR_COV	NOTE	RPKM	PRI_READ_COUNT	REB_READ_COUNT	REB_READ_COUNT_RNR	TOL_RS_READ_CNT	TOL_NS_READ_CNT	TOL_RS_RNR	TOL_NS_RNR	STR	SPE	GEN	FAM	ORD	CLA	PHY	SK	ROOT	STR_rnb	SPE_rnb	GEN_rnb	FAM_rnb	ORD_rnb	CLA_rnb	PHY_rnb	SK_rnb	ROOT_rnb	STR_rnr	SPE_rnr	GEN_rnr	FAM_rnr	ORD_rnr	CLA_rnr	PHY_rnr	SK_rnr	ROOT_rnr	STR_rni	SPE_rni	GEN_rni	FAM_rni	ORD_rni	CLA_rni	PHY_rni	SK_rni	ROOT_rni	SOURCE	LOCATION	HOST	DISEASE	DIFF_MEAN	DIFF_SD	MC_ERROR	HPD_2.5	HPD_97.5	P<0	P>0	SCORE_UNIQ	SCORE_TTEST
class	Deinococci	7166		188787	7182	7166.30	7094.57	537211	3963	486177	1.1050		0.9542	0.0020	7166	0.1588		0.6596	7173	7181.845132164842	7167.19282225638	7180	2	7166.15	0.15	7165	0	15	0	0	0	0	2	0	7088.50	0	6.07	0	0	0	0	0.13	0	7160.00	0	6.15	0	0	0	0	0.15	0	7093.43	0	14.83	0	0	0	0	1.72	0												0.9541545988001946	
class	Betaproteobacteria	4724		28216	47663	4724.57	4656.30	3562660	32490	3290006	1.0829		0.9796	0.0013	4724	0.0823		0.0333	4728	47565.22027435024	4713.9648485403095	47553	110	4713.27896948253	11.292063492063493	21	25642	21819	0	0	71	110	0	0	20.83	3025.02	1606.22	0	0	4.23	11.13	0	0	21.00	3060.00	1628.00	0	0	4.28	11.29	0	0	20.83	25337.28	21532.01	0	0	70.25	108.56	0	0												0.979647210798372	
class	Epsilonproteobacteria	4389		29547	47111	4389.58	4340.30	3519907	32625	3263020	1.0787		0.9854	0.0012	4389	0.0380		0.0144	4389	47123.106688219756	4390.222126556906	47111	0	4389.583351870977	0	1	46318	769	0	23	0	0	0	0	0.99	4300.23	38.26	0	0.82	0	0	0	0	1.00	4349.00	38.76	0	0.82	0	0	0	0	0.99	45712.52	760.59	0	23.00	0	0	0	0												0.9853935277649652	
class	Bacteroidia	1028		200643	1039	1028.00	1020.52	77766	407	76754	1.0132		0.9103	0.0003	1028	0.0149		0.0561	1034	1039.2670045012912	1028.1495951493562	1039	0	1028.0	0	1018	0	17	0	4	0	0	0	0	1010.56	0	8.13	0	1.83	0	0	0	0	1018.00	0	8.17	0	1.83	0	0	0	0	1010.56	0	16.91	0	3.99	0	0	0	0												0.9103429989861845	
order	Bacillales	1859093		1385	28219758	1859093.61	1843664.86	2111099463	12596214	124739503	16.9241		0.9853	0.5242	1859093	0.2807		1.1787	1859324	28228030.118114203	1859468.0524550797	28219093	665	1859027.9369435369	65.6706539905138	128104	26849583	1236958	3249	1199	333	310	22	0	127089.49	1642142.42	74037.57	288.14	107.24	27.51	34.72	2.52	0	127943.00	1655851.50	74833.13	291.06	109.25	27.90	35.18	2.59	0	127249.19	26623503.83	1224260.00	3213.68	1161.69	329.60	303.89	21.44	0												0.9852902526215994	
order	Rhodobacterales	613277		204455	1361729	613277.54	604912.89	101827740	1113270	10700607	9.5161		0.9770	0.1729	613277	0.6619		10.6871	613579	1360737.8155591881	613150.156692766	1360307	1422	613005.0308356645	272.51250708165475	164788	1193473	547	1499	0	1085	226	111	0	162549.85	441946.94	107.84	308.27	0	206.30	44.43	15.94	0	164176.00	448405.00	109.69	314.34	0	210.75	45.37	16.40	0	163151.96	1176308.91	538.32	1470.47	0	1060.91	221.20	107.84	0												0.9769665816652634	
order	Lactobacillales	392502		186826	1449071	392502.49	388741.24	108369154	741952	15284922	7.0899		0.9754	0.1107	392502	0.1092		0.7897	392896	1449162.81130058	392548.89978080924	1448704	367	392455.9878000928	46.503822978893226	22969	1373440	51669	148	478	196	123	48	0	22813.71	359354.30	6526.48	9.28	37.46	31.44	10.17	4.37	0	22969.00	362827.92	6611.82	9.51	37.74	31.77	10.28	4.45	0	22813.71	1360291.73	50944.71	142.80	474.32	193.87	121.45	46.77	0												0.9754151134588323	
order	Enterobacterales	311412		91347	7868759	311412.36	308276.46	588572908	3777795	178284697	3.3013		0.9802	0.0878	311412	0.4993		0.2457	311474	7862577.326458651	311148.22184322943	7860088	8671	311074.5765022184	337.78403584458647	667	1556275	64720	6234632	3794	226	671	104	7670	658.80	88432.84	3469.62	215563.15	152.05	9.64	26.22	12.47	286.32	667.00	89193.50	3506.25	217554.68	153.15	9.66	26.43	12.56	289.13	658.80	1542639.20	64030.13	6177582.08	3767.77	225.65	665.72	103.32	7595.49												0.9802485781565422	
order	Methanobacteriales	192666		2158	192772	192666.86	191356.60	14422000	62424	1851959	7.7874		0.8987	0.0543	192666	0.9994		29.2895	192723	192830.05083964806	192712.14140278756	192769	3	192666.5285714286	0.32668067226890757	192612	0	78	76	3	0	3	0	0	191302.56	0	36.52	16.79	0.73	0	0.32	0	0	192612.00	0	36.83	16.96	0.74	0	0.33	0	0	191302.56	0	77.33	75.24	2.97	0	2.91	0	0												0.8986621615225011	
order	Pseudomonadales	89092		72274	1265481	89092.70	87916.86	94653805	919861	63744806	1.4849		0.9792	0.0251	89092	0.3651		0.1438	89124	1264541.3593393313	89037.96663203325	1264141	1340	89016.89233060642	75.80713832651844	871	1234124	28397	749	0	342	998	0	0	863.23	85011.30	2003.47	38.86	0	18.30	56.59	0	0	871.00	86077.00	2029.55	39.35	0	18.43	57.38	0	0	863.23	1218816.04	28043.68	739.57	0	339.51	983.89	0	0												0.9792146023314743	
order	Clostridiales	62370		186802	63703	62370.71	61946.85	4765595	20471	3279594	1.4531		0.9595	0.0176	62370	0.1859		0.9962	62411	63692.165218795926	62381.04007671617	63672	31	62366.275174825176	4.439514652014651	61661	0	1952	24	35	0	19	12	0	61250.67	0	689.80	2.03	4.36	0	3.29	1.11	0	61661.00	0	698.85	2.03	4.40	0	3.31	1.13	0	61250.67	0	1928.24	23.96	34.73	0	18.92	11.80	0												0.959532543102782	
order	Propionibacteriales	8045		85009	67579	8045.68	7955.84	5055151	42511	4496996	1.1241		0.9232	0.0023	8045	0.1790		0.0902	8046	67582.39688319938	8045.8518777033005	67561	18	8043.9475135975135	1.7348484848484849	5	67061	0	495	0	18	0	0	0	4.96	7904.46	0	46.42	0	1.71	0	0	0	5.00	7992.00	0	46.95	0	1.73	0	0	0	4.96	66322.96	0	489.61	0	17.67	0	0	0												0.9231576304576308	
order	Deinococcales	7166		118964	7182	7166.30	7094.57	537211	3963	486177	1.1050		0.9542	0.0020	7166	0.1588		0.6596	7173	7182.273939423211	7167.846549960528	7180	2	7166.15	0.15	7165	0	15	0	0	0	0	2	0	7088.50	0	6.07	0	0	0	0	0.13	0	7160.00	0	6.15	0	0	0	0	0.15	0	7093.43	0	14.83	0	0	0	0	1.72	0												0.9541545988001946	
order	Neisseriales	4724		206351	47663	4724.57	4652.06	3562660	32490	3290006	1.0829		0.9796	0.0013	4724	0.0823		0.0333	4728	47497.03777043077	4710.114832059631	47482	181	4709.0	15.571032974593347	21	25642	21819	0	0	71	110	0	0	20.83	3025.02	1606.22	0	0	4.23	11.13	0	0	21.00	3060.00	1628.00	0	0	4.28	11.29	0	0	20.83	25337.28	21532.01	0	0	70.25	108.56	0	0												0.979647210798372	
order	Campylobacterales	4389		213849	47111	4389.58	4340.30	3519907	32625	3263020	1.0787		0.9854	0.0012	4389	0.0380		0.0144	4389	47125.92027300375	4390.622563646108	47111	0	4389.583351870977	0	1	46318	769	0	23	0	0	0	0	0.99	4300.23	38.26	0	0.82	0	0	0	0	1.00	4349.00	38.76	0	0.82	0	0	0	0	0.99	45712.52	760.59	0	23.00	0	0	0	0												0.9853935277649652	
order	Bacteroidales	1028		171549	1039	1028.00	1020.52	77766	407	76754	1.0132		0.9103	0.0003	1028	0.0149		0.0561	1034	1039.32905613659	1028.2433738282652	1039	0	1028.0	0	1018	0	17	0	4	0	0	0	0	1010.56	0	8.13	0	1.83	0	0	0	0	1018.00	0	8.17	0	1.83	0	0	0	0	1010.56	0	16.91	0	3.99	0	0	0	0												0.9103429989861845	
order	Xanthomonadales	505		135614	1160	505.03	495.69	86696	1387	84859	1.0216		0.9670	0.0001	505	0.0060		0.0100	521	1156.3661105812303	504.7756570459429	1156	4	504.6561822336589	0.3719298245614035	192	900	0	64	0	4	0	0	0	189.35	296.01	0	10.33	0	0.35	0	0	0	192.00	302.08	0	10.57	0	0.37	0	0	0	189.35	882.00	0	62.47	0	3.64	0	0	0												0.9669802970259384	
order	Picornavirales	31		464095	240	31.50	12.60	17828	327	1114	16.0036		0.8090	0.0000	31	0.0143		0.1143	34	92.02913682826399	13.003077684598681	92	148	12.999999999999996	18.49944444444445	0	92	0	0	0	10	0	0	138	0	12.60	0	0	0	0.48	0	0	17.54	0	13.00	0	0	0	0.48	0	0	18.02	0	89.15	0	0	0	9.97	0	0	134.23												0.8090026523832771	
family	Staphylococcaceae	1842949		90964	28081659	1842949.89	1827616.09	2100777786	12507371	115116472	18.2492		0.9822	0.5197	1842949	0.7247		3.2685	1843177	28093174.980870314	1843412.8240062008	28080174	1485	1842805.3760551137	144.5099180403324	125684	26792734	1158507	3249	875	320	268	22	0	124685.37	1635297.55	67345.03	288.14	96.10	26.91	17.24	2.52	0	125523.00	1648942.50	68048.82	291.06	97.09	27.27	17.57	2.59	0	124845.07	26567196.67	1146883.92	3213.68	865.35	317.21	262.20	21.44	0												0.9821782504356024	
family	Rhodobacteraceae	613277		31989	1361729	613277.54	604912.89	101827740	1113270	10700607	9.5161		0.9770	0.1729	613277	0.6619		10.6871	613579	1360936.8153738205	613207.0970195521	1360307	1422	613005.0308356645	272.51250708165475	164788	1193473	547	1499	0	1085	226	111	0	162549.85	441946.94	107.84	308.27	0	206.30	44.43	15.94	0	164176.00	448405.00	109.69	314.34	0	210.75	45.37	16.40	0	163151.96	1176308.91	538.32	1470.47	0	1060.91	221.20	107.84	0												0.9769665816652634	
family	Streptococcaceae	392143		1300	1448527	392143.78	388351.08	108328486	741748	15246547	7.1051		0.9736	0.1106	392143	0.1126		0.8160	392499	1448392.2880839533	392192.1237845638	1447722	805	392062.88724084286	80.8924209846122	22673	1373254	51647	148	445	189	123	48	0	22519.95	359300.79	6521.06	9.28	34.88	30.74	10.17	4.37	0	22673.00	362774.00	6606.37	9.51	35.10	31.06	10.28	4.45	0	22519.95	1360107.09	50922.79	142.80	441.93	187.05	121.45	46.77	0												0.9736371645557661	
family	Enterobacteriaceae	310770		543	7868085	310770.83	307494.12	588522469	3777300	178234852	3.3019		0.9751	0.0876	310770	0.5066		0.2489	310818	7859277.1222402	310385.7118394653	7855640	12445	310283.4324356073	487.39275887548575	36	1556272	64703	6234629	3777	223	671	104	7670	35.41	88431.38	3464.42	215562.90	149.32	8.87	26.22	12.47	286.32	36.00	89192.00	3501.00	217554.43	150.39	8.88	26.43	12.56	289.13	35.41	1542636.27	64013.31	6177579.17	3750.88	222.68	665.72	103.32	7595.49												0.9750618358509828	
family	Methanobacteriaceae	192666		2159	192772	192666.86	191355.87	14422000	62424	1851959	7.7874		0.8987	0.0543	192666	0.9994		29.2895	192723	192855.24969903845	192729.30130525318	192766	6	192665.79246031746	1.0627917833800187	192612	0	78	76	3	0	3	0	0	191302.56	0	36.52	16.79	0.73	0	0.32	0	0	192612.00	0	36.83	16.96	0.74	0	0.33	0	0	191302.56	0	77.33	75.24	2.97	0	2.91	0	0												0.8986621615225011	
family	Pseudomonadaceae	73983		135621	1114760	73983.77	72998.90	83377223	808889	54097815	1.5412		0.9792	0.0209	73983	0.4674		0.1801	74016	1114021.5477385924	73937.76977762087	1113506	1254	73913.40554071503	70.36800433959033	39	1100503	12254	710	0	268	986	0	0	38.39	72256.49	667.43	36.60	0	13.55	55.93	0	0	39.00	73161.00	676.33	37.07	0	13.65	56.71	0	0	38.39	1086842.21	12091.85	700.75	0	265.87	972.05	0	0												0.9792146023314743	
family	Clostridiaceae	62370		31979	63703	62370.71	61942.49	4765595	20471	3279594	1.4531		0.9595	0.0176	62370	0.1859		0.9962	62411	63666.4636144222	62382.4362025617	63637	66	62361.87972027972	8.834969197469196	61661	0	1952	24	35	0	19	12	0	61250.67	0	689.80	2.03	4.36	0	3.29	1.11	0	61661.00	0	698.85	2.03	4.40	0	3.31	1.13	0	61250.67	0	1928.24	23.96	34.73	0	18.92	11.80	0												0.959532543102782	
family	Moraxellaceae	15108		468	150721	15108.93	14917.96	11276582	110972	9646991	1.1689		0.9704	0.0043	15108	0.1639		0.0723	15108	150704.7432556294	15108.46538514839	150635	86	15103.486789891398	5.4391339869281055	832	133621	16143	39	0	74	12	0	0	824.84	12754.81	1336.05	2.26	0	4.75	0.66	0	0	832.00	12916.00	1353.21	2.27	0	4.77	0.67	0	0	824.84	131973.83	15951.83	38.83	0	73.64	11.84	0	0												0.9703808789336213	
family	Bacillaceae	12896		186817	87945	12896.16	12725.27	6571068	63311	6025074	1.0906		0.9753	0.0036	12896	0.0342		0.0206	12896	87644.5602161925	12871.338571023378	87604	341	12867.097161752	29.0640308193174	2373	10551	74680	0	298	1	42	0	0	2357.48	3833.48	6534.31	0	10.48	0.12	17.48	0	0	2373.00	3870.00	6624.10	0	11.32	0.12	17.62	0	0	2357.48	10444.04	73649.99	0	275.89	1.00	41.69	0	0												0.9753277494618586	
family	Propionibacteriaceae	8045		31957	67579	8045.68	7955.84	5055151	42511	4496996	1.1241		0.9232	0.0023	8045	0.1790		0.0902	8046	67592.28040690131	8046.599057542022	67561	18	8043.9475135975135	1.7348484848484849	5	67061	0	495	0	18	0	0	0	4.96	7904.46	0	46.42	0	1.71	0	0	0	5.00	7992.00	0	46.95	0	1.73	0	0	0	4.96	66322.96	0	489.61	0	17.67	0	0	0												0.9231576304576308	
family	Deinococcaceae	7166		183710	7182	7166.30	7094.57	537211	3963	486177	1.1050		0.9542	0.0020	7166	0.1588		0.6596	7173	7183.3243042813365	7168.512193637615	7180	2	7166.15	0.15	7165	0	15	0	0	0	0	2	0	7088.50	0	6.07	0	0	0	0	0.13	0	7160.00	0	6.15	0	0	0	0	0.15	0	7093.43	0	14.83	0	0	0	0	1.72	0												0.9541545988001946	
family	Neisseriaceae	4724		481	47663	4724.57	4652.06	3562660	32490	3290006	1.0829		0.9796	0.0013	4724	0.0823		0.0333	4728	47503.983929789196	4710.552237929646	47482	181	4709.0	15.571032974593347	21	25642	21819	0	0	71	110	0	0	20.83	3025.02	1606.22	0	0	4.23	11.13	0	0	21.00	3060.00	1628.00	0	0	4.28	11.29	0	0	20.83	25337.28	21532.01	0	0	70.25	108.56	0	0												0.979647210798372	
family	Helicobacteraceae	4389		72293	47111	4389.58	4339.48	3519907	32625	3263020	1.0787		0.9854	0.0012	4389	0.0380		0.0144	4389	47109.80150974924	4390.208600454259	47088	23	4388.7619232995485	0.8214285714285712	1	46318	769	0	23	0	0	0	0	0.99	4300.23	38.26	0	0.82	0	0	0	0	1.00	4349.00	38.76	0	0.82	0	0	0	0	0.99	45712.52	760.59	0	23.00	0	0	0	0												0.9853935277649652	
family	Listeriaceae	3247		186820	50154	3247.56	3216.25	3750609	25532	3597957	1.0424		0.9853	0.0009	3247	0.0329		0.0084	3251	50139.20345868572	3247.286014952174	50116	38	3246.2159577134003	1.3444740884469233	47	46298	3771	0	26	12	0	0	0	46.64	3011.39	158.22	0	0.66	0.47	0	0	0	47.00	3039.00	160.22	0	0.84	0.51	0	0	0	46.64	45863.12	3726.09	0	20.45	11.39	0	0	0												0.9852902526215994	
family	Bacteroidaceae	1028		815	1039	1028.00	1018.69	77766	407	76754	1.0132		0.9103	0.0003	1028	0.0149		0.0561	1034	1035.4791998511396	1026.5049242207415	1035	4	1026.1666666666667	1.8333333333333333	1018	0	17	0	4	0	0	0	0	1010.56	0	8.13	0	1.83	0	0	0	0	1018.00	0	8.17	0	1.83	0	0	0	0	1010.56	0	16.91	0	3.99	0	0	0	0												0.9103429989861845	
family	Yersiniaceae	641		1903411	674	641.54	630.29	50439	495	49845	1.0119		0.9802	0.0002	641	0.0095		0.0345	656	654.3027987465173	638.2075266366079	654	20	637.9972222222223	3.538121357985535	631	3	17	3	17	3	0	0	0	623.39	1.47	5.19	0.24	2.73	0.77	0	0	0	631.00	1.50	5.25	0.25	2.76	0.78	0	0	0	623.39	2.93	16.83	2.91	16.89	2.97	0	0	0												0.9802485781565422	
family	Xanthomonadaceae	505		32033	1160	505.03	495.69	86696	1387	84859	1.0216		0.9670	0.0001	505	0.0060		0.0100	521	1156.5352222491956	504.82253315051884	1156	4	504.6561822336589	0.3719298245614035	192	900	0	64	0	4	0	0	0	189.35	296.01	0	10.33	0	0.35	0	0	0	192.00	302.08	0	10.57	0	0.37	0	0	0	189.35	882.00	0	62.47	0	3.64	0	0	0												0.9669802970259384	
family	Lactobacillaceae	285		33958	302	285.39	283.12	22592	106	22405	1.0083		0.9754	0.0001	285	0.0118		0.0424	293	301.13936150260196	285.34224127606853	301	1	285.2482142857143	0.14285714285714285	280	0	21	0	0	1	0	0	0	277.89	0	5.22	0	0	0.14	0	0	0	280.00	0	5.25	0	0	0.14	0	0	0	277.89	0	20.92	0	0	1.00	0	0	0												0.9754151134588323	
family	Enterococcaceae	73		81852	242	73.32	69.58	18076	98	15970	1.1319		0.9241	0.0000	73	0.0058		0.0075	104	203.09398799012692	70.13977937626541	203	39	70.11666666666669	3.204223148949316	16	186	1	0	33	6	0	0	0	15.87	53.52	0.20	0	2.58	0.55	0	0	0	16.00	53.92	0.20	0	2.63	0.57	0	0	0	15.87	184.64	1.00	0	32.39	5.81	0	0	0												0.9241371304792102	
family	Picornaviridae	31		12058	240	31.50	12.60	17828	327	1114	16.0036		0.8090	0.0000	31	0.0143		0.1143	34	92.04259554232353	13.004285218323504	92	148	12.999999999999996	18.49944444444445	0	92	0	0	0	10	0	0	138	0	12.60	0	0	0	0.48	0	0	17.54	0	13.00	0	0	0	0.48	0	0	18.02	0	89.15	0	0	0	9.97	0	0	134.23												0.8090026523832771	
family	Flaviviridae	14		11050	193	14.51	5.58	13985	63	2149	6.5077		0.9798	0.0000	14	0.0083		0.0157	16	90.04166955227302	6.001977793072389	90	103	6.000000000000001	8.511904761904763	0	0	90	0	18	74	0	0	11	0	0	5.58	0	1.84	4.39	0	0	2.13	0	0	6.00	0	1.87	4.50	0	0	2.15	0	0	83.76	0	17.69	73.24	0	0	10.93												0.9798349821102459	
genus	Staphylococcus	1842949		1279	28081659	1842949.89	1827327.95	2100777786	12507371	115116472	18.2492		0.9822	0.5197	1842949	0.7247		3.2685	1843177	33195864.635629263	1964053.7629086436	28076925	4734	1842514.3176953176	435.56827783647634	125684	26792734	1158507	3249	875	320	268	22	0	124685.37	1635297.55	67345.03	288.14	96.10	26.91	17.24	2.52	0	125523.00	1648942.50	68048.82	291.06	97.09	27.27	17.57	2.59	0	124845.07	26567196.67	1146883.92	3213.68	865.35	317.21	262.20	21.44	0												0.9821782504356024	
