LEVEL	TAXA	ROLLUP	ASSIGNED	LINEAR_LENGTH	TOTAL_BP_MAPPED	HIT_COUNT	HIT_COUNT_PLASMID	READ_COUNT	LINEAR_DOC	NORM_COV	ROLLUP_DOC
family	Lactobacillaceae	0.0001		11763	11804	321	0	239	1.00348550539828	0.0181330325166129	0.00838411223516426
genus	Staphylococcus	0.6118		3620696	69454297	1869396	163230	1450600	19.1825817467139	0.346630197142401	98.8038037423551
genus	Streptococcus	0.1678		2187813	15603229	418905	0	334554	7.13188421496718	0.128873499097917	27.1012031937323
genus	Escherichia	0.0963		213240	917091	24073	85	19716	4.30074563871694	0.0777146855565024	15.5519797993997
genus	Rhodobacter	0.0650		2771848	16791761	444596	107392	426278	6.05796602122483	0.109467744433246	10.4959852559201
genus	Methanobrevibacter	0.0384		1703957	10816195	288683	0	213435	6.34769245937544	0.114703115443236	6.20373593989551
genus	Pseudomonas	0.0063		1239050	1689253	44470	0	42197	1.36334530487067	0.0246357168206225	1.01006468720064
genus	Acinetobacter	0.0043		379743	451261	12204	966	10114	1.18833263549295	0.0214732292634298	0.700988161990577
genus	Clostridium	0.0036		2192052	2976438	79814	0	59320	1.35783183975563	0.0245360882343874	0.582540107836262
genus	Neisseria	0.0018		28794	31196	830	0	701	1.08342015697715	0.0195774556084127	0.292555944756996
genus	Propionibacterium	0.0017		165787	177017	4629	8	4389	1.06773751862329	0.0192940695607948	0.267628111482643
genus	Bacillus	0.0010		63274	68428	1864	249	1464	1.08145525808389	0.019541949788616	0.169336994354172
genus	Listeria	0.0007		45580	47610	1313	0	1118	1.04453707766564	0.0188748364497815	0.110753678144027
genus	Deinococcus	0.0006		258801	281079	7355	1213	6921	1.08608158391969	0.0196255477243727	0.103677984800874
genus	Helicobacter	0.0006		16165	16767	488	3	465	1.03724095267553	0.0187429951117859	0.0911273872308946
genus	Bacteroides	0.0001		56881	57214	1483	0	1184	1.00585432745557	0.0181758372478818	0.011959035693794
genus	Lactobacillus	0.0001		11763	11804	321	0	239	1.00348550539828	0.0181330325166129	0.00838411223516426
species	Staphylococcus aureus	0.4841		1574965	26773285	726853	29764	591901	16.9992888730861	0.219541681521776	78.1819686937973
species	Streptococcus mutans	0.1567		1609805	14836951	398181	0	317798	9.2166138134743	0.119030325895017	25.3007439581885
species	Staphylococcus epidermidis	0.1277		2045731	42681012	1142543	133466	858699	20.8634527217899	0.269446417852437	20.6218350485578
species	Escherichia coli	0.0963		213240	917091	24073	85	19716	4.30074563871694	0.0555430839707798	15.5519797993997
species	Rhodobacter sphaeroides	0.0650		2771848	16791761	444596	107392	426278	6.05796602122483	0.0782371578500058	10.4959852559201
species	Methanobrevibacter smithii	0.0384		1703957	10816195	288683	0	213435	6.34769245937544	0.0819789043364489	6.20373593989551
species	Streptococcus agalactiae	0.0111		578008	766278	20724	0	16756	1.32572213533377	0.0171213789585409	1.80045923554386
species	Pseudomonas aeruginosa	0.0063		1239050	1689253	44470	0	42197	1.36334530487067	0.017607273043051	1.01006468720064
species	Acinetobacter baumannii	0.0043		379743	451261	12204	966	10114	1.18833263549295	0.0153470269816036	0.700988161990577
species	Clostridium beijerinckii	0.0036		2192052	2976438	79814	0	59320	1.35783183975563	0.0175360679819802	0.582540107836262
species	Neisseria meningitidis	0.0018		28794	31196	830	0	701	1.08342015697715	0.0139921078365773	0.292555944756996
species	Propionibacterium acnes	0.0017		165787	177017	4629	8	4389	1.06773751862329	0.0137895703762984	0.267628111482643
species	Bacillus cereus	0.0010		63274	68428	1864	249	1464	1.08145525808389	0.0139667316452398	0.169336994354172
species	Listeria monocytogenes	0.0007		45580	47610	1313	0	1118	1.04453707766564	0.0134899423237418	0.110753678144027
species	Deinococcus radiodurans	0.0006		258801	281079	7355	1213	6921	1.08608158391969	0.0140264795182739	0.103677984800874
species	Helicobacter pylori	0.0006		16165	16767	488	3	465	1.03724095267553	0.0133957146439324	0.0911273872308946
species	Bacteroides vulgatus	0.0001		56881	57214	1483	0	1184	1.00585432745557	0.0129903640125307	0.011959035693794
species	Lactobacillus gasseri	0.0001		11763	11804	321	0	239	1.00348550539828	0.0129597712517649	0.00838411223516426
