LEVEL	TAXA	ROLLUP	ASSIGNED	LINEAR_LENGTH	TOTAL_BP_MAPPED	HIT_COUNT	HIT_COUNT_PLASMID	READ_COUNT	LINEAR_DOC	NORM_COV	ROLLUP_DOC
family	Staphylococcaceae	0.7470		4594608	100699385	2702494	388553	2062626	21.9168610249231	0.377741463012622	189.868162517932
family	Streptococcaceae	0.1107		2346399	16584446	444799	0	354192	7.06804170987117	0.121819105988073	28.148693431291
family	Enterobacteriaceae	0.0622		268982	1153151	30206	85	24771	4.28709356016388	0.0738889109917133	15.8023337729887
family	Rhodobacteraceae	0.0414		2801224	16975697	449460	107774	430990	6.06009979923062	0.104447026495296	10.5323771320454
family	Methanobacteriaceae	0.0247		1734746	11104697	296142	0	218289	6.40133887035912	0.110328349820683	6.28041503336544
family	Pseudomonadaceae	0.0040		1311967	1785082	46992	0	44625	1.36061501546914	0.0234504706652926	1.01314721828535
family	Moraxellaceae	0.0029		631879	742022	19915	974	16288	1.17431027142855	0.0202394713118698	0.74051779202764
family	Clostridiaceae	0.0023		2325771	3166669	84848	0	62639	1.36155666228532	0.0234667001356343	0.596543191736062
family	Neisseriaceae	0.0013		133597	142182	3731	0	3271	1.06426042500954	0.0183427402999171	0.334361851143361
family	Propionibacteriaceae	0.0011		185013	198223	5175	8	4894	1.07140038808084	0.0184657989848875	0.271892656599004
family	Bacillaceae	0.0009		284429	304822	8360	692	6981	1.07169803360417	0.018470928964738	0.225626617568992
family	Helicobacteraceae	0.0005		49807	52294	1483	4	1374	1.04993274037786	0.0180957998029088	0.11443397260585
family	Listeriaceae	0.0004		57161	59412	1636	0	1395	1.039379996851	0.0179139211673643	0.112214475486174
family	Deinococcaceae	0.0004		276247	299474	7828	1255	7379	1.08408055110101	0.0186843441189298	0.104784244679682
family	Bacteroidaceae	0.0000		58398	58802	1523	0	1212	1.00691804513853	0.0173544329670162	0.0119603288571766
family	Lactobacillaceae	0.0000		12770	12811	347	0	256	1.00321064996085	0.0172905352730539	0.00864369373350759
genus	Staphylococcus	0.7470		4594608	100699385	2702494	388553	2062626	21.9168610249231	0.377741463012622	189.868162517932
genus	Streptococcus	0.1107		2346399	16584446	444799	0	354192	7.06804170987117	0.121819105988073	28.148693431291
genus	Escherichia	0.0622		268982	1153151	30206	85	24771	4.28709356016388	0.0738889109917132	15.8023337729887
genus	Rhodobacter	0.0414		2801224	16975697	449460	107774	430990	6.06009979923062	0.104447026495296	10.5323771320454
genus	Methanobrevibacter	0.0247		1734746	11104697	296142	0	218289	6.40133887035912	0.110328349820683	6.28041503336544
genus	Pseudomonas	0.0040		1311967	1785082	46992	0	44625	1.36061501546914	0.0234504706652926	1.01314721828535
genus	Acinetobacter	0.0029		631879	742022	19915	974	16288	1.17431027142855	0.0202394713118698	0.74051779202764
genus	Clostridium	0.0023		2325771	3166669	84848	0	62639	1.36155666228532	0.0234667001356343	0.596543191736062
genus	Neisseria	0.0013		133597	142182	3731	0	3271	1.06426042500954	0.0183427402999171	0.334361851143361
genus	Propionibacterium	0.0011		185013	198223	5175	8	4894	1.07140038808084	0.0184657989848875	0.271892656599004
genus	Bacillus	0.0009		284429	304822	8360	692	6981	1.07169803360417	0.018470928964738	0.225626617568992
genus	Helicobacter	0.0005		49807	52294	1483	4	1374	1.04993274037786	0.0180957998029088	0.11443397260585
genus	Listeria	0.0004		57161	59412	1636	0	1395	1.039379996851	0.0179139211673643	0.112214475486174
genus	Deinococcus	0.0004		276247	299474	7828	1255	7379	1.08408055110101	0.0186843441189298	0.104784244679682
genus	Bacteroides	0.0000		58398	58802	1523	0	1212	1.00691804513853	0.0173544329670162	0.0119603288571766
genus	Lactobacillus	0.0000		12770	12811	347	0	256	1.00321064996085	0.0172905352730539	0.00864369373350759
