LEVEL	TAXA	ROLLUP	ASSIGNED	LINEAR_LENGTH	TOTAL_BP_MAPPED	HIT_COUNT	HIT_COUNT_PLASMID	READ_COUNT	LINEAR_DOC	NORM_COV	ROLLUP_DOC
genus	Unassigned genus - Staphylococcus phage YMC/09/04/R1988	0.1229		654	2099	56	0	39	3.20948012232416	0.0641718630750666	0.97311080203987
genus	Unassigned genus - Staphylococcus phage StauST398-5	0.1134		437	877	26	0	22	2.00686498855835	0.0401262074689691	0.897645854657114
genus	Unassigned genus - Staphylococcus phage phi7401PVL	0.0926		1060	2620	69	0	47	2.47169811320755	0.0494203007460269	0.732662192393736
genus	Microvirus	0.0715		2301	2871	76	0	55	1.2477183833116	0.0249474713032757	0.565714285714286
genus	Phietalikevirus	0.0708		183	461	13	0	8	2.51912568306011	0.0503685900024059	0.560145808019441
genus	3alikevirus	0.0414		683	1613	45	0	34	2.36163982430454	0.0472197432798397	0.327912177271803
genus	Unassigned genus - Listeria phage A118	0.0395		2814	6268	169	0	132	2.227434257285	0.0445363737176525	0.312961853405233
genus	Inovirus	0.0272		1314	1581	42	0	40	1.20319634703196	0.0240572766589508	0.215131310382365
genus	Unassigned genus - Listeria phage A500	0.0245		1417	3327	92	0	68	2.34791813690896	0.0469453853741518	0.193666686070202
genus	Epsilon15likevirus	0.0211		2014	3641	97	0	70	1.80784508440914	0.0361469094046372	0.166964736093915
genus	Unassigned genus - Enterobacteria phage YYZ-2008	0.0188		803	1192	31	0	25	1.48443337484433	0.0296804627677792	0.148944145945271
genus	Lambdalikevirus	0.0155		937	1234	33	0	29	1.31696905016009	0.0263321018794077	0.122469233822946
genus	Unassigned genus - Listeria phage LP-030-3	0.0138		855	1563	44	0	38	1.8280701754386	0.0365512994375262	0.109553515104787
genus	Punalikevirus	0.0136		1204	9822	252	0	201	8.1578073089701	0.163111056517437	0.107615948460047
genus	Unassigned genus - Listeria phage A006	0.0036		388	794	22	0	16	2.04639175257732	0.040916524277845	0.0286984494162721
genus	Unassigned genus - Enterococcus phage phiEf11	0.0031		599	972	29	0	24	1.62270450751252	0.0324451211718299	0.0247782196390333
genus	Unassigned genus - Streptococcus phage 20617	0.0028		214	643	19	0	19	3.00467289719626	0.0600768505787205	0.0223248385528783
genus	Unassigned genus - Lactobacillus phage KC5a	0.0025		546	576	16	0	10	1.05494505494505	0.021093070228654	0.0197030854484504
genus	Unassigned genus - Listeria phage LP-101	0.0022		232	431	11	0	10	1.85775862068966	0.0371449042491936	0.0171392213782956
species	Acinetobacter phage Bphi-B1251	0.2992		16943	105676	2847	0	2183	6.23714808475477	0.12470848786063	2.36787738914159
species	Staphylococcus phage YMC/09/04/R1988	0.1229		654	2099	56	0	39	3.20948012232416	0.0641718630750666	0.97311080203987
species	Staphylococcus phage StauST398-5	0.1134		437	877	26	0	22	2.00686498855835	0.0401262074689692	0.897645854657114
species	Staphylococcus phage phi7401PVL	0.0926		1060	2620	69	0	47	2.47169811320755	0.0494203007460269	0.732662192393736
species	Enterobacteria phage phiX174 sensu lato	0.0715		2301	2871	76	0	55	1.2477183833116	0.0249474713032757	0.565714285714286
species	Staphylococcus phage phiETA3	0.0708		183	461	13	0	8	2.51912568306011	0.0503685900024059	0.560145808019441
species	Staphylococcus phage 42E	0.0414		683	1613	45	0	34	2.36163982430454	0.0472197432798397	0.327912177271803
species	Listeria phage A118	0.0395		2814	6268	169	0	132	2.227434257285	0.0445363737176525	0.312961853405233
species	Pseudomonas phage Pf1	0.0272		1314	1581	42	0	40	1.20319634703196	0.0240572766589508	0.215131310382365
species	Listeria phage A500	0.0245		1417	3327	92	0	68	2.34791813690896	0.0469453853741518	0.193666686070202
species	Escherichia phage TL-2011b	0.0211		2014	3641	97	0	70	1.80784508440914	0.0361469094046372	0.166964736093915
species	Enterobacteria phage YYZ-2008	0.0188		803	1192	31	0	25	1.48443337484433	0.0296804627677792	0.148944145945271
species	Stx2-converting phage 1717	0.0155		937	1234	33	0	29	1.31696905016009	0.0263321018794077	0.122469233822946
species	Listeria phage LP-030-3	0.0138		855	1563	44	0	38	1.8280701754386	0.0365512994375262	0.109553515104787
species	Enterobacteria phage P1	0.0136		1204	9822	252	0	201	8.1578073089701	0.163111056517437	0.107615948460047
species	Listeria phage A006	0.0036		388	794	22	0	16	2.04639175257732	0.040916524277845	0.0286984494162721
species	Enterococcus phage phiEf11	0.0031		599	972	29	0	24	1.62270450751252	0.0324451211718299	0.0247782196390333
species	Streptococcus phage 20617	0.0028		214	643	19	0	19	3.00467289719626	0.0600768505787205	0.0223248385528783
species	Lactobacillus phage KC5a	0.0025		546	576	16	0	10	1.05494505494505	0.0210930702286541	0.0197030854484504
species	Listeria phage LP-101	0.0022		232	431	11	0	10	1.85775862068966	0.0371449042491936	0.0171392213782956
