LEVEL	TAXA	ROLLUP	ASSIGNED	LINEAR_LENGTH	TOTAL_BP_MAPPED	HIT_COUNT	HIT_COUNT_PLASMID	READ_COUNT	LINEAR_DOC	NORM_COV	ROLLUP_DOC
family	Rhodobacteraceae	0.0144		1422677	2520903	65933	16282	58824	1.77194331531331	0.0299031145024674	1.59234730740971
family	Enterococcaceae	0.0117		1772327	3275365	87136	0	60130	1.84805907713419	0.0311876354696461	1.30017676463945
family	Methanobacteriaceae	0.0096		1103540	1849058	49371	0	33204	1.67556953078275	0.0282767214407098	1.06054555872479
family	Bacillaceae	0.0047		167096	207282	5584	797	4132	1.24049648106478	0.0209344779782805	0.516439703058774
family	Pseudomonadaceae	0.0023		508045	578382	15048	0	13205	1.13844639746479	0.0192122923369542	0.258274714667574
family	Lactobacillaceae	0.0003		48540	49771	1332	0	950	1.02536052740008	0.017303868014386	0.0353512072226669
genus	Acinetobacter	0.1895		1918433	13213782	358196	27183	275103	6.88779957392309	0.116237724733677	21.003438804493
genus	Streptococcus	0.1761		1796960	4859936	131338	0	97981	2.70453209865551	0.0456413770817461	19.5140721382749
genus	Deinococcus	0.1529		2625793	45932389	1191187	198864	1024649	17.492768470325	0.295205977534777	16.9424878009736
genus	Staphylococcus	0.1404		3188885	13780848	370495	34915	261969	4.32152554889875	0.0729295752280925	15.559383827428
genus	Neisseria	0.0707		229476	765426	20477	0	15784	3.33553835695236	0.0562901671590336	7.83771977312463
genus	Propionibacterium	0.0565		1326341	3534391	93024	149	81897	2.66476795937093	0.0449703219752747	6.25863430146581
genus	Bacteroides	0.0443		4637981	23501531	619794	0	433562	5.06719001220574	0.0855133241742303	4.91235795588154
genus	Helicobacter	0.0426		260125	593266	17236	298	16178	2.28069581931764	0.038488764082329	4.71655183837242
genus	Listeria	0.0357		721629	1379240	37780	0	30557	1.91128682467029	0.0322546597688806	3.95160915936399
genus	Escherichia	0.0326		126138	207856	5523	21	4087	1.64784600992564	0.0278088624457648	3.6107016505441
genus	Clostridium	0.0158		3999449	8968044	240374	0	163270	2.24231987956341	0.0378411360737505	1.75520045061928
genus	Rhodobacter	0.0144		1422677	2520903	65933	16282	58824	1.77194331531331	0.0299031145024675	1.59234730740971
genus	Enterococcus	0.0117		1772327	3275365	87136	0	60130	1.84805907713419	0.0311876354696461	1.30017676463945
genus	Methanobrevibacter	0.0096		1103540	1849058	49371	0	33204	1.67556953078275	0.0282767214407098	1.06054555872479
genus	Bacillus	0.0047		167096	207282	5584	797	4132	1.24049648106478	0.0209344779782805	0.516439703058774
genus	Pseudomonas	0.0023		508045	578382	15048	0	13205	1.13844639746479	0.0192122923369542	0.258274714667574
genus	Lactobacillus	0.0003		48540	49771	1332	0	950	1.02536052740008	0.017303868014386	0.0353512072226669
species	Acinetobacter baumannii	0.1895		1918433	13213782	358196	27183	275103	6.88779957392309	0.101492187723507	21.003438804493
species	Deinococcus radiodurans	0.1529		2625793	45932389	1191187	198864	1024649	17.492768470325	0.257757114204596	16.9424878009736
species	Streptococcus pneumoniae	0.1201		359925	1382081	37626	0	29113	3.83991387094534	0.0565813878945534	13.3131824105915
species	Staphylococcus aureus	0.0966		1241271	3737566	101551	4134	77630	3.01107977226569	0.0443684619764831	10.7068535090244
species	Neisseria meningitidis	0.0707		229476	765426	20477	0	15784	3.33553835695236	0.0491493809379168	7.83771977312463
species	Propionibacterium acnes	0.0565		1326341	3534391	93024	149	81897	2.66476795937093	0.0392655342347627	6.25863430146581
species	Streptococcus mutans	0.0529		1303184	3334830	89829	0	65971	2.55898629817432	0.0377068343770436	5.86491028238745
species	Bacteroides vulgatus	0.0443		4637981	23501531	619794	0	433562	5.06719001220574	0.0746653839778536	4.91235795588154
species	Staphylococcus epidermidis	0.0438		1947614	10043282	268944	30781	184339	5.15671072399356	0.0759844776576856	4.85253031840363
species	Helicobacter pylori	0.0426		260125	593266	17236	298	16178	2.28069581931764	0.0336062055450552	4.71655183837242
species	Listeria monocytogenes	0.0357		721629	1379240	37780	0	30557	1.91128682467029	0.0281629392843115	3.95160915936399
species	Escherichia coli	0.0326		126138	207856	5523	21	4087	1.64784600992564	0.0242811212469046	3.6107016505441
species	Clostridium beijerinckii	0.0158		3999449	8968044	240374	0	163270	2.24231987956341	0.0330407335042676	1.75520045061928
species	Rhodobacter sphaeroides	0.0144		1422677	2520903	65933	16282	58824	1.77194331531331	0.0261097033476486	1.59234730740971
species	Enterococcus faecalis	0.0117		1772327	3275365	87136	0	60130	1.84805907713419	0.0272312741925217	1.30017676463945
species	Methanobrevibacter smithii	0.0096		1103540	1849058	49371	0	33204	1.67556953078275	0.0246896291822748	1.06054555872479
species	Bacillus cereus	0.0047		167096	207282	5584	797	4132	1.24049648106478	0.0182787986751575	0.516439703058774
species	Streptococcus agalactiae	0.0030		133851	143025	3883	0	2897	1.06853889772956	0.0157449921755591	0.335979445295933
species	Pseudomonas aeruginosa	0.0023		508045	578382	15048	0	13205	1.13844639746479	0.01677508386308	0.258274714667574
species	Lactobacillus gasseri	0.0003		48540	49771	1332	0	950	1.02536052740008	0.0151087559988175	0.0353512072226669
