NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PATHOGENIC_ESCHERICHIA_COLI_INFECTION	PATHOGENIC_ESCHERICHIA_COLI_INFECTION		40	-0.42008924	-1.1541222	0.26753864	1.0	1.0	1243	tags=20%, list=15%, signal=23%	
PRION_DISEASES	PRION_DISEASES		20	-0.4666006	-1.1485537	0.2929032	1.0	1.0	2454	tags=40%, list=29%, signal=56%	
TYPE_I_DIABETES_MELLITUS	TYPE_I_DIABETES_MELLITUS		21	-0.46236202	-1.1451278	0.28364116	1.0	1.0	3409	tags=48%, list=40%, signal=80%	
PLATELET_ACTIVATION	PLATELET_ACTIVATION		73	-0.38038266	-1.1433758	0.2400455	1.0	1.0	2588	tags=34%, list=31%, signal=49%	
GAP_JUNCTION	GAP_JUNCTION		54	-0.39742613	-1.1383979	0.2726218	1.0	1.0	1262	tags=20%, list=15%, signal=24%	
C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY	C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY		66	-0.3795729	-1.1354784	0.2425968	1.0	1.0	1113	tags=20%, list=13%, signal=23%	
EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		48	-0.40391585	-1.1337568	0.28966346	1.0	1.0	1311	tags=25%, list=15%, signal=29%	
ENDOCRINE_AND_OTHER_FACTOR-REGULATED_CALCIUM_REABSORPTION	ENDOCRINE_AND_OTHER_FACTOR-REGULATED_CALCIUM_REABSORPTION		29	-0.43264842	-1.1336404	0.29177377	1.0	1.0	2064	tags=28%, list=24%, signal=36%	
SYNAPTIC_VESICLE_CYCLE	SYNAPTIC_VESICLE_CYCLE		36	-0.42643243	-1.133356	0.29514322	1.0	1.0	1624	tags=33%, list=19%, signal=41%	
LEISHMANIASIS	LEISHMANIASIS		36	-0.4134312	-1.1257697	0.2846442	1.0	1.0	516	tags=11%, list=6%, signal=12%	
AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS	AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS		69	-0.37602285	-1.1227598	0.2678774	1.0	1.0	1319	tags=19%, list=16%, signal=22%	
CAMP_SIGNALING_PATHWAY	CAMP_SIGNALING_PATHWAY		99	-0.35469463	-1.1166599	0.25490198	1.0	1.0	1429	tags=22%, list=17%, signal=26%	
FOCAL_ADHESION	FOCAL_ADHESION		133	-0.35158697	-1.1084298	0.25556734	1.0	1.0	2517	tags=32%, list=30%, signal=45%	
FC_GAMMA_R-MEDIATED_PHAGOCYTOSIS	FC_GAMMA_R-MEDIATED_PHAGOCYTOSIS		62	-0.37660745	-1.1066365	0.30733946	1.0	1.0	1243	tags=21%, list=15%, signal=24%	
STARCH_AND_SUCROSE_METABOLISM	STARCH_AND_SUCROSE_METABOLISM		17	-0.47224542	-1.10548	0.3451087	1.0	1.0	742	tags=29%, list=9%, signal=32%	
JAK-STAT_SIGNALING_PATHWAY	JAK-STAT_SIGNALING_PATHWAY		67	-0.36981028	-1.1032243	0.3258427	1.0	1.0	1587	tags=22%, list=19%, signal=27%	
SALIVARY_SECRETION	SALIVARY_SECRETION		39	-0.39457145	-1.0971308	0.3244552	1.0	1.0	1083	tags=21%, list=13%, signal=23%	
GRAFT-VERSUS-HOST_DISEASE	GRAFT-VERSUS-HOST_DISEASE		19	-0.45703784	-1.0882013	0.37894738	1.0	1.0	1575	tags=21%, list=19%, signal=26%	
NECROPTOSIS	NECROPTOSIS		84	-0.35564137	-1.0865649	0.31614348	1.0	1.0	1917	tags=21%, list=23%, signal=27%	
HERPES_SIMPLEX_VIRUS_1_INFECTION	HERPES_SIMPLEX_VIRUS_1_INFECTION		166	-0.33588704	-1.0845845	0.3132154	1.0	1.0	1098	tags=16%, list=13%, signal=18%	
FATTY_ACID_DEGRADATION	FATTY_ACID_DEGRADATION		22	-0.42789122	-1.0816835	0.37265417	1.0	1.0	1468	tags=23%, list=17%, signal=27%	
ADIPOCYTOKINE_SIGNALING_PATHWAY	ADIPOCYTOKINE_SIGNALING_PATHWAY		43	-0.39073956	-1.0815617	0.3586041	1.0	1.0	1583	tags=26%, list=19%, signal=31%	
TUBERCULOSIS	TUBERCULOSIS		95	-0.34587547	-1.0812918	0.33260632	1.0	1.0	1771	tags=25%, list=21%, signal=32%	
DNA_REPLICATION	DNA_REPLICATION		17	-0.4643966	-1.0811011	0.3880597	1.0	1.0	693	tags=18%, list=8%, signal=19%	
PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM	PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM		127	-0.33979762	-1.0805572	0.3262032	1.0	1.0	2444	tags=30%, list=29%, signal=41%	
EPSTEIN-BARR_VIRUS_INFECTION	EPSTEIN-BARR_VIRUS_INFECTION		128	-0.33925578	-1.0800614	0.33653846	1.0	1.0	699	tags=12%, list=8%, signal=13%	
LONGEVITY_REGULATING_PATHWAY	LONGEVITY_REGULATING_PATHWAY		74	-0.3559041	-1.0743288	0.3546911	1.0	1.0	2372	tags=32%, list=28%, signal=45%	
TOXOPLASMOSIS	TOXOPLASMOSIS		68	-0.36355647	-1.0672116	0.3677639	1.0	1.0	1020	tags=18%, list=12%, signal=20%	
APOPTOSIS	APOPTOSIS		92	-0.34017614	-1.0618509	0.38203463	1.0	1.0	2156	tags=30%, list=25%, signal=40%	
NEUROTROPHIN_SIGNALING_PATHWAY	NEUROTROPHIN_SIGNALING_PATHWAY		80	-0.35007942	-1.0613844	0.3611111	1.0	1.0	1113	tags=16%, list=13%, signal=19%	
VEGF_SIGNALING_PATHWAY	VEGF_SIGNALING_PATHWAY		34	-0.39261872	-1.0602205	0.37114674	1.0	1.0	1113	tags=18%, list=13%, signal=20%	
MTOR_SIGNALING_PATHWAY	MTOR_SIGNALING_PATHWAY		89	-0.34443954	-1.0581449	0.37012988	1.0	1.0	2372	tags=35%, list=28%, signal=48%	
HUMAN_IMMUNODEFICIENCY_VIRUS_1_INFECTION	HUMAN_IMMUNODEFICIENCY_VIRUS_1_INFECTION		133	-0.3317979	-1.0576227	0.36354056	1.0	1.0	1335	tags=17%, list=16%, signal=20%	
VIBRIO_CHOLERAE_INFECTION	VIBRIO_CHOLERAE_INFECTION		38	-0.3823851	-1.0567561	0.39473686	1.0	1.0	2511	tags=32%, list=30%, signal=45%	
NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY	NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY		93	-0.34229246	-1.0543149	0.3774617	1.0	1.0	1098	tags=15%, list=13%, signal=17%	
VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION	VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION		28	-0.40440038	-1.0414591	0.41602066	1.0	1.0	1656	tags=25%, list=20%, signal=31%	
BASAL_CELL_CARCINOMA	BASAL_CELL_CARCINOMA		17	-0.4401962	-1.0407796	0.40392157	1.0	1.0	3272	tags=47%, list=39%, signal=77%	
RAS_SIGNALING_PATHWAY	RAS_SIGNALING_PATHWAY		125	-0.33017784	-1.0405574	0.41327623	1.0	1.0	1257	tags=18%, list=15%, signal=21%	
TRYPTOPHAN_METABOLISM	TRYPTOPHAN_METABOLISM		16	-0.4411315	-1.0336118	0.45479453	1.0	1.0	1669	tags=31%, list=20%, signal=39%	
GNRH_SIGNALING_PATHWAY	GNRH_SIGNALING_PATHWAY		55	-0.35390428	-1.0326139	0.4398585	1.0	1.0	2802	tags=38%, list=33%, signal=57%	
NEUROACTIVE_LIGAND-RECEPTOR_INTERACTION	NEUROACTIVE_LIGAND-RECEPTOR_INTERACTION		36	-0.38231045	-1.0326011	0.4254777	1.0	1.0	1764	tags=33%, list=21%, signal=42%	
THYROID_HORMONE_SIGNALING_PATHWAY	THYROID_HORMONE_SIGNALING_PATHWAY		79	-0.34001973	-1.0256296	0.44183445	1.0	1.0	1198	tags=16%, list=14%, signal=19%	
THYROID_HORMONE_SYNTHESIS	THYROID_HORMONE_SYNTHESIS		35	-0.38383278	-1.0246328	0.44095477	1.0	1.0	2417	tags=37%, list=29%, signal=52%	
BASE_EXCISION_REPAIR	BASE_EXCISION_REPAIR		16	-0.43485892	-1.0197171	0.44568247	1.0	1.0	981	tags=19%, list=12%, signal=21%	
PURINE_METABOLISM	PURINE_METABOLISM		69	-0.34044558	-1.0145239	0.45382884	1.0	1.0	2586	tags=38%, list=31%, signal=54%	
AUTOIMMUNE_THYROID_DISEASE	AUTOIMMUNE_THYROID_DISEASE		16	-0.43983454	-1.0100603	0.47767252	1.0	1.0	3201	tags=38%, list=38%, signal=60%	
CGMP-PKG_SIGNALING_PATHWAY	CGMP-PKG_SIGNALING_PATHWAY		100	-0.325023	-1.0092999	0.44891304	1.0	1.0	2708	tags=36%, list=32%, signal=52%	
RHEUMATOID_ARTHRITIS	RHEUMATOID_ARTHRITIS		45	-0.36006993	-1.0087585	0.46263346	1.0	1.0	1624	tags=22%, list=19%, signal=27%	
RIBOSOME_BIOGENESIS_IN_EUKARYOTES	RIBOSOME_BIOGENESIS_IN_EUKARYOTES		51	-0.3565527	-1.0079672	0.4792148	1.0	1.0	1448	tags=25%, list=17%, signal=31%	
INFLAMMATORY_MEDIATOR_REGULATION_OF_TRP_CHANNELS	INFLAMMATORY_MEDIATOR_REGULATION_OF_TRP_CHANNELS		45	-0.3570972	-1.0073928	0.47412756	1.0	1.0	1083	tags=13%, list=13%, signal=15%	
VIRAL_MYOCARDITIS	VIRAL_MYOCARDITIS		36	-0.37035662	-1.0061969	0.47660097	1.0	1.0	3207	tags=31%, list=38%, signal=49%	
OVARIAN_STEROIDOGENESIS	OVARIAN_STEROIDOGENESIS		18	-0.42334965	-1.0051768	0.47425476	1.0	1.0	1083	tags=22%, list=13%, signal=25%	
AMINOACYL-TRNA_BIOSYNTHESIS	AMINOACYL-TRNA_BIOSYNTHESIS		24	-0.4031664	-1.0028523	0.4629156	1.0	1.0	2049	tags=33%, list=24%, signal=44%	
HEDGEHOG_SIGNALING_PATHWAY	HEDGEHOG_SIGNALING_PATHWAY		26	-0.3873614	-1.002045	0.47853535	1.0	1.0	311	tags=12%, list=4%, signal=12%	
ALLOGRAFT_REJECTION	ALLOGRAFT_REJECTION		17	-0.42496258	-0.995789	0.5067568	1.0	1.0	3409	tags=41%, list=40%, signal=69%	
CITRATE_CYCLE_(TCA_CYCLE)	CITRATE_CYCLE_(TCA_CYCLE)		23	-0.40195295	-0.9955799	0.4882199	1.0	1.0	1005	tags=26%, list=12%, signal=30%	
FOXO_SIGNALING_PATHWAY	FOXO_SIGNALING_PATHWAY		86	-0.32431558	-0.99397206	0.48931384	1.0	1.0	1162	tags=14%, list=14%, signal=16%	
VIRAL_CARCINOGENESIS	VIRAL_CARCINOGENESIS		122	-0.31314	-0.9906966	0.5037594	1.0	1.0	2382	tags=30%, list=28%, signal=40%	
MELANOMA	MELANOMA		42	-0.35481387	-0.99033016	0.49464923	1.0	1.0	1341	tags=19%, list=16%, signal=23%	
LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		64	-0.32767063	-0.98352516	0.5095238	1.0	1.0	2458	tags=28%, list=29%, signal=39%	
RNA_TRANSPORT	RNA_TRANSPORT		105	-0.31152913	-0.98189986	0.51237893	1.0	1.0	2243	tags=27%, list=26%, signal=36%	
CHRONIC_MYELOID_LEUKEMIA	CHRONIC_MYELOID_LEUKEMIA		60	-0.33260915	-0.9795256	0.5126728	1.0	1.0	1341	tags=20%, list=16%, signal=24%	
PROTEOGLYCANS_IN_CANCER	PROTEOGLYCANS_IN_CANCER		123	-0.30770552	-0.97629106	0.53780615	1.0	1.0	2613	tags=32%, list=31%, signal=45%	
RENAL_CELL_CARCINOMA	RENAL_CELL_CARCINOMA		48	-0.34182334	-0.96843624	0.5321429	1.0	1.0	2376	tags=31%, list=28%, signal=43%	
PPAR_SIGNALING_PATHWAY	PPAR_SIGNALING_PATHWAY		36	-0.3613169	-0.96814126	0.5241117	1.0	1.0	2298	tags=44%, list=27%, signal=61%	
SHIGELLOSIS	SHIGELLOSIS		49	-0.34039024	-0.9671763	0.5196195	1.0	1.0	1250	tags=18%, list=15%, signal=21%	
HUMAN_CYTOMEGALOVIRUS_INFECTION	HUMAN_CYTOMEGALOVIRUS_INFECTION		147	-0.29927182	-0.96444595	0.5703858	1.0	1.0	2491	tags=33%, list=29%, signal=46%	
T_CELL_RECEPTOR_SIGNALING_PATHWAY	T_CELL_RECEPTOR_SIGNALING_PATHWAY		64	-0.3253421	-0.96365327	0.55074114	1.0	1.0	1113	tags=17%, list=13%, signal=20%	
PATHWAYS_IN_CANCER	PATHWAYS_IN_CANCER		291	-0.2871911	-0.96195024	0.6081218	1.0	1.0	2228	tags=26%, list=26%, signal=35%	
CHEMOKINE_SIGNALING_PATHWAY	CHEMOKINE_SIGNALING_PATHWAY		104	-0.30476055	-0.95839787	0.57535756	1.0	1.0	1203	tags=16%, list=14%, signal=19%	
GABAERGIC_SYNAPSE	GABAERGIC_SYNAPSE		37	-0.35174188	-0.9571985	0.54171705	1.0	1.0	1203	tags=19%, list=14%, signal=22%	
ABC_TRANSPORTERS	ABC_TRANSPORTERS		18	-0.40001124	-0.9571007	0.52875173	1.0	1.0	1766	tags=44%, list=21%, signal=56%	
AXON_GUIDANCE	AXON_GUIDANCE		99	-0.3062763	-0.94980174	0.59090906	1.0	1.0	1142	tags=17%, list=13%, signal=20%	
PROPANOATE_METABOLISM	PROPANOATE_METABOLISM		19	-0.38877633	-0.9386511	0.5696888	1.0	1.0	1583	tags=21%, list=19%, signal=26%	
HUMAN_PAPILLOMAVIRUS_INFECTION	HUMAN_PAPILLOMAVIRUS_INFECTION		189	-0.28618526	-0.9377725	0.6280992	1.0	1.0	2511	tags=30%, list=30%, signal=42%	
CYTOKINE-CYTOKINE_RECEPTOR_INTERACTION	CYTOKINE-CYTOKINE_RECEPTOR_INTERACTION		67	-0.31229457	-0.9373339	0.5905512	1.0	1.0	1587	tags=24%, list=19%, signal=29%	
ADHERENS_JUNCTION	ADHERENS_JUNCTION		57	-0.3240278	-0.9371381	0.59064996	1.0	1.0	627	tags=11%, list=7%, signal=11%	
MALARIA	MALARIA		18	-0.39348656	-0.9364256	0.55083656	1.0	1.0	1360	tags=28%, list=16%, signal=33%	
LEGIONELLOSIS	LEGIONELLOSIS		36	-0.3458354	-0.9297952	0.5877958	1.0	1.0	2474	tags=36%, list=29%, signal=51%	
HEPATITIS_C	HEPATITIS_C		92	-0.30373237	-0.9292966	0.62015504	1.0	1.0	1113	tags=14%, list=13%, signal=16%	
PHAGOSOME	PHAGOSOME		95	-0.29998574	-0.9273073	0.6302428	1.0	1.0	2408	tags=27%, list=28%, signal=38%	
OSTEOCLAST_DIFFERENTIATION	OSTEOCLAST_DIFFERENTIATION		71	-0.3077694	-0.9249521	0.61618495	1.0	1.0	1328	tags=17%, list=16%, signal=20%	
CIRCADIAN_ENTRAINMENT	CIRCADIAN_ENTRAINMENT		48	-0.322881	-0.92484283	0.6069295	1.0	1.0	2417	tags=31%, list=29%, signal=43%	
TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY	TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY		49	-0.3216212	-0.9231747	0.5945946	1.0	1.0	1020	tags=16%, list=12%, signal=18%	
REGULATION_OF_ACTIN_CYTOSKELETON	REGULATION_OF_ACTIN_CYTOSKELETON		130	-0.28819248	-0.91724586	0.6677385	1.0	1.0	2745	tags=32%, list=32%, signal=47%	
TRANSCRIPTIONAL_MISREGULATION_IN_CANCER	TRANSCRIPTIONAL_MISREGULATION_IN_CANCER		100	-0.29323035	-0.9157489	0.62971175	1.0	1.0	2382	tags=27%, list=28%, signal=37%	
AMOEBIASIS	AMOEBIASIS		51	-0.32119313	-0.9140772	0.6302021	1.0	1.0	1767	tags=22%, list=21%, signal=27%	
PI3K-AKT_SIGNALING_PATHWAY	PI3K-AKT_SIGNALING_PATHWAY		191	-0.2800943	-0.9136015	0.7093142	1.0	1.0	2408	tags=29%, list=28%, signal=40%	
HOMOLOGOUS_RECOMBINATION	HOMOLOGOUS_RECOMBINATION		18	-0.37884298	-0.9096765	0.5928854	1.0	1.0	335	tags=11%, list=4%, signal=12%	
ALCOHOLISM	ALCOHOLISM		70	-0.30315694	-0.9088716	0.6446188	1.0	1.0	1273	tags=17%, list=15%, signal=20%	
PHOSPHOLIPASE_D_SIGNALING_PATHWAY	PHOSPHOLIPASE_D_SIGNALING_PATHWAY		86	-0.2990582	-0.90842164	0.65178573	1.0	1.0	2417	tags=31%, list=29%, signal=43%	
TH1_AND_TH2_CELL_DIFFERENTIATION	TH1_AND_TH2_CELL_DIFFERENTIATION		56	-0.3117708	-0.9068987	0.6487748	1.0	1.0	516	tags=9%, list=6%, signal=9%	
INSULIN_SIGNALING_PATHWAY	INSULIN_SIGNALING_PATHWAY		88	-0.291288	-0.9039985	0.6487093	1.0	1.0	1584	tags=20%, list=19%, signal=25%	
PROTEASOME	PROTEASOME		42	-0.32379934	-0.9013831	0.64207983	1.0	1.0	3627	tags=55%, list=43%, signal=95%	
CELLULAR_SENESCENCE	CELLULAR_SENESCENCE		103	-0.291119	-0.90095705	0.6949891	1.0	1.0	1341	tags=16%, list=16%, signal=18%	
NOTCH_SIGNALING_PATHWAY	NOTCH_SIGNALING_PATHWAY		29	-0.3419305	-0.9000491	0.61649215	1.0	1.0	1815	tags=24%, list=21%, signal=31%	
GLIOMA	GLIOMA		51	-0.31241244	-0.8961277	0.66511625	1.0	1.0	1341	tags=16%, list=16%, signal=19%	
ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_(ARVC)	ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_(ARVC)		37	-0.3247401	-0.8846812	0.67540574	1.0	1.0	338	tags=8%, list=4%, signal=8%	
VASOPRESSIN-REGULATED_WATER_REABSORPTION	VASOPRESSIN-REGULATED_WATER_REABSORPTION		34	-0.32865253	-0.8831463	0.6583851	1.0	1.0	378	tags=12%, list=4%, signal=12%	
FLUID_SHEAR_STRESS_AND_ATHEROSCLEROSIS	FLUID_SHEAR_STRESS_AND_ATHEROSCLEROSIS		86	-0.283811	-0.87304395	0.717608	1.0	1.0	1369	tags=15%, list=16%, signal=18%	
RAP1_SIGNALING_PATHWAY	RAP1_SIGNALING_PATHWAY		123	-0.27456543	-0.8679825	0.75961536	1.0	1.0	1113	tags=14%, list=13%, signal=16%	
METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450		18	-0.3658551	-0.867925	0.65912116	1.0	1.0	1513	tags=22%, list=18%, signal=27%	
ALDOSTERONE_SYNTHESIS_AND_SECRETION	ALDOSTERONE_SYNTHESIS_AND_SECRETION		53	-0.3025814	-0.86570966	0.7164887	1.0	1.0	1416	tags=19%, list=17%, signal=23%	
CORTISOL_SYNTHESIS_AND_SECRETION	CORTISOL_SYNTHESIS_AND_SECRETION		34	-0.32077828	-0.8636313	0.7037037	1.0	1.0	2417	tags=32%, list=29%, signal=45%	
INFLAMMATORY_BOWEL_DISEASE_(IBD)	INFLAMMATORY_BOWEL_DISEASE_(IBD)		25	-0.34313294	-0.8631544	0.67391306	1.0	1.0	255	tags=8%, list=3%, signal=8%	
MAPK_SIGNALING_PATHWAY	MAPK_SIGNALING_PATHWAY		177	-0.2643331	-0.8576898	0.79937303	1.0	1.0	1404	tags=16%, list=17%, signal=19%	
WNT_SIGNALING_PATHWAY	WNT_SIGNALING_PATHWAY		75	-0.28289557	-0.8569962	0.7421875	1.0	1.0	2602	tags=31%, list=31%, signal=44%	
AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		24	-0.3392956	-0.85642284	0.66457283	1.0	1.0	2679	tags=54%, list=32%, signal=79%	
HEMATOPOIETIC_CELL_LINEAGE	HEMATOPOIETIC_CELL_LINEAGE		43	-0.30485287	-0.85442305	0.69759035	1.0	1.0	2349	tags=30%, list=28%, signal=42%	
GASTRIC_ACID_SECRETION	GASTRIC_ACID_SECRETION		35	-0.31126192	-0.8520344	0.7006211	1.0	1.0	1416	tags=17%, list=17%, signal=21%	
GLYCEROPHOSPHOLIPID_METABOLISM	GLYCEROPHOSPHOLIPID_METABOLISM		51	-0.29887626	-0.8466853	0.7352941	1.0	1.0	2282	tags=29%, list=27%, signal=40%	
CHEMICAL_CARCINOGENESIS	CHEMICAL_CARCINOGENESIS		19	-0.3528224	-0.84667695	0.6988111	1.0	1.0	1513	tags=26%, list=18%, signal=32%	
RNA_DEGRADATION	RNA_DEGRADATION		53	-0.29844815	-0.8464647	0.7355372	1.0	1.0	1295	tags=17%, list=15%, signal=20%	
GLYCEROLIPID_METABOLISM	GLYCEROLIPID_METABOLISM		31	-0.32047966	-0.8449823	0.73836476	1.0	1.0	2230	tags=32%, list=26%, signal=44%	
CALCIUM_SIGNALING_PATHWAY	CALCIUM_SIGNALING_PATHWAY		78	-0.2799181	-0.8427514	0.7585421	1.0	1.0	2032	tags=24%, list=24%, signal=32%	
ECM-RECEPTOR_INTERACTION	ECM-RECEPTOR_INTERACTION		42	-0.30091494	-0.8410881	0.74404764	1.0	1.0	326	tags=7%, list=4%, signal=7%	
SIGNALING_PATHWAYS_REGULATING_PLURIPOTENCY_OF_STEM_CELLS	SIGNALING_PATHWAYS_REGULATING_PLURIPOTENCY_OF_STEM_CELLS		61	-0.28384754	-0.8389456	0.7682503	1.0	1.0	2620	tags=31%, list=31%, signal=45%	
HUNTINGTON_DISEASE	HUNTINGTON_DISEASE		142	-0.261405	-0.8355981	0.8366285	1.0	1.0	2331	tags=23%, list=28%, signal=32%	
ANTIGEN_PROCESSING_AND_PRESENTATION	ANTIGEN_PROCESSING_AND_PRESENTATION		42	-0.29877043	-0.8349723	0.75841343	1.0	1.0	3201	tags=43%, list=38%, signal=69%	
ERBB_SIGNALING_PATHWAY	ERBB_SIGNALING_PATHWAY		60	-0.28058556	-0.8317004	0.7531866	1.0	1.0	1319	tags=17%, list=16%, signal=20%	
ALDOSTERONE-REGULATED_SODIUM_REABSORPTION	ALDOSTERONE-REGULATED_SODIUM_REABSORPTION		20	-0.34049368	-0.8298937	0.73230374	1.0	1.0	1673	tags=25%, list=20%, signal=31%	
