"Groups";"RS";"ES";"D"
"Sustainers";-0.528717076812708;"Low";"Yes"
"Sustainers";-1.03303182700329;"High";"No"
"Comparison";1.65664684067982;"Low";"Yes"
"Comparison";-0.696821993542902;"Low";"No"
"Shifters";-1.03303182700329;"High";"No"
"Comparison";-0.360612160082513;"Low";"No"
"Shifters";-0.864926910273096;"High";"No"
"Comparison";-0.696821993542902;"Low";"No"
"Shifters";-0.528717076812708;"High";"No"
"Comparison";0.98422717375904;"Low";"No"
"Sustainers";0.479912423568457;"High";"Yes"
"Sustainers";-0.696821993542902;"High";"No"
"Sustainers";0.648017340298652;"High";"No"
"Comparison";1.99285667414021;"Low";"Yes"
"Comparison";-1.03303182700329;"High";"No"
"Comparison";-0.864926910273096;"Low";"No"
"Comparison";0.311807506838263;"High";"Yes"
"Comparison";-0.528717076812708;"High";"No"
"Comparison";0.479912423568457;"Low";"No"
"Comparison";-1.03303182700329;"High";"No"
"Sustainers";-0.528717076812708;"Low";"No"
"Shifters";0.143702590108069;"Low";"No"
"Sustainers";-0.528717076812708;"Low";"No"
"Sustainers";-0.696821993542902;"High";"No"
"Sustainers";-0.696821993542902;"High";"No"
"Sustainers";-0.864926910273096;"High";"No"
"Sustainers";-0.192507243352319;"Low";"No"
"Sustainers";-0.192507243352319;"High";"No"
"Sustainers";-0.696821993542902;"Low";"No"
"Comparison";-0.360612160082513;"Low";"No"
"Sustainers";-0.192507243352319;"High";"No"
"Shifters";-0.360612160082513;"High";"No"
"Sustainers";-0.696821993542902;"High";"Yes"
"Comparison";5.18685009201389;"High";"No"
"Comparison";0.816122257028846;"High";"Yes"
"Shifters";-0.864926910273096;"Low";"No"
"Shifters";-0.360612160082513;"High";"No"
"Shifters";-0.024402326622125;"High";"No"
"Comparison";-1.03303182700329;"High";"No"
"Comparison";-0.024402326622125;"Low";"No"
"Shifters";-1.03303182700329;"High";"No"
"Comparison";-0.360612160082513;"High";"No"
"Sustainers";-0.696821993542902;"High";"No"
"Sustainers";-0.024402326622125;"Low";"No"
"Comparison";0.816122257028846;"Low";"No"
"Sustainers";-0.024402326622125;"High";"No"
"Sustainers";0.816122257028846;"Low";"Yes"
"Comparison";-0.696821993542902;"High";"No"
"Comparison";0.143702590108069;"Low";"No"
"Comparison";-0.360612160082513;"Low";"No"
"Comparison";0.143702590108069;"Low";"No"
"Shifters";1.48854192394962;"Low";"No"
"Shifters";-0.864926910273096;"High";"Yes"
"Comparison";-0.192507243352319;"Low";"No"
"Comparison";-0.360612160082513;"Low";"No"
"Sustainers";-0.696821993542902;"Low";"No"
"Shifters";-0.528717076812708;"High";"No"
"Comparison";-0.528717076812708;"High";"No"
"Shifters";1.99285667414021;"Low";"Yes"
"Comparison";-1.03303182700329;"High";"No"
"Comparison";-0.864926910273096;"Low";"No"
"Comparison";-0.528717076812708;"Low";"No"
"Sustainers";0.98422717375904;"Low";"Yes"
"Comparison";0.479912423568457;"Low";"Yes"
"Comparison";1.48854192394962;"Low";"No"
"Comparison";-0.528717076812708;"High";"No"
"Sustainers";-0.192507243352319;"High";"No"
"Comparison";2.32906650760059;"Low";"No"
"Comparison";0.648017340298652;"High";"No"
"Comparison";0.311807506838263;"Low";"No"
"Shifters";-0.696821993542902;"High";"No"
"Shifters";-0.360612160082513;"High";"No"
"Sustainers";0.143702590108069;"High";"No"
"Sustainers";-0.360612160082513;"High";"No"
"Comparison";0.479912423568457;"High";"Yes"
"Comparison";1.48854192394962;"Low";"No"
"Sustainers";0.479912423568457;"Low";"Yes"
"Comparison";0.311807506838263;"Low";"No"
"Comparison";1.65664684067982;"High";"No"
"Comparison";-0.696821993542902;"Low";"No"
"Sustainers";-0.192507243352319;"Low";"No"
"Sustainers";-0.528717076812708;"High";"No"
"Shifters";-0.528717076812708;"High";"No"
"Comparison";-0.864926910273096;"Low";"No"
"Comparison";-0.696821993542902;"High";"Yes"
"Comparison";-0.528717076812708;"High";"No"
"Sustainers";0.143702590108069;"High";"No"
"Shifters";-1.03303182700329;"Low";"No"
"Comparison";0.816122257028846;"High";"No"
"Sustainers";1.48854192394962;"Low";"No"
"Shifters";0.816122257028846;"Low";"No"
"Comparison";0.648017340298652;"Low";"No"
"Sustainers";-0.360612160082513;"Low";"Yes"
"Comparison";-0.360612160082513;"Low";"No"
"Comparison";-0.864926910273096;"Low";"No"
"Comparison";0.648017340298652;"High";"No"
"Shifters";0.479912423568457;"High";"No"
"Sustainers";-0.192507243352319;"Low";"No"
"Comparison";-0.192507243352319;"Low";"No"
"Comparison";-0.528717076812708;"Low";"No"
"Comparison";-0.696821993542902;"High";"No"
"Comparison";-0.528717076812708;"High";"No"
"Comparison";0.479912423568457;"High";"No"
"Shifters";-1.03303182700329;"Low";"No"
"Shifters";-1.03303182700329;"High";"No"
"Shifters";-1.03303182700329;"High";"Yes"
"Comparison";-0.360612160082513;"High";"No"
"Comparison";-1.03303182700329;"Low";"No"
"Sustainers";0.816122257028846;"Low";"Yes"
"Sustainers";-0.864926910273096;"Low";"No"
"Comparison";0.648017340298652;"High";"No"
"Sustainers";-0.696821993542902;"High";"No"
"Shifters";-0.192507243352319;"High";"No"
"Sustainers";0.311807506838263;"Low";"No"
"Comparison";-0.360612160082513;"Low";"No"
"Comparison";-0.360612160082513;"Low";"No"
"Sustainers";-0.360612160082513;"Low";"No"
"Sustainers";-0.360612160082513;"Low";"No"
"Comparison";-0.696821993542902;"Low";"No"
"Shifters";-0.528717076812708;"Low";"No"
"Comparison";1.48854192394962;"High";"No"
"Comparison";-0.360612160082513;"High";"No"
"Sustainers";-1.03303182700329;"Low";"No"
"Comparison";-0.864926910273096;"Low";"No"
"Comparison";-0.528717076812708;"Low";"No"
"Comparison";-0.864926910273096;"High";"No"
"Comparison";1.99285667414021;"High";"No"
"Sustainers";0.143702590108069;"Low";"No"
"Comparison";-0.360612160082513;"High";"No"
"Comparison";-0.024402326622125;"Low";"No"
"Comparison";0.143702590108069;"Low";"Yes"
"Shifters";0.648017340298652;"High";"No"
"Shifters";0.648017340298652;"Low";"No"
"Shifters";-0.696821993542902;"Low";"No"
"Comparison";-0.696821993542902;"High";"No"
"Sustainers";-1.03303182700329;"High";"No"
"Comparison";-1.03303182700329;"Low";"Yes"
"Comparison";-0.360612160082513;"Low";"Yes"
"Sustainers";-0.360612160082513;"Low";"No"
"Comparison";-0.528717076812708;"High";"No"
"Sustainers";-0.192507243352319;"Low";"No"
"Shifters";0.143702590108069;"Low";"No"
"Sustainers";-1.03303182700329;"Low";"No"
"Comparison";0.648017340298652;"High";"No"
"Comparison";1.15233209048923;"Low";"Yes"
"Comparison";-0.360612160082513;"Low";"No"
"Comparison";3.16959109125156;"High";"No"
"Comparison";-0.864926910273096;"High";"No"
"Shifters";1.32043700721943;"Low";"Yes"
"Shifters";-1.03303182700329;"Low";"No"
"Comparison";-0.528717076812708;"Low";"No"
"Shifters";0.311807506838263;"Low";"Yes"
"Comparison";-1.03303182700329;"High";"No"
"Shifters";-0.864926910273096;"High";"No"
"Comparison";0.311807506838263;"High";"No"
"Comparison";-1.03303182700329;"High";"No"
"Comparison";1.32043700721943;"Low";"No"
"Comparison";0.479912423568457;"Low";"Yes"
"Shifters";2.1609615908704;"High";"No"
"Shifters";0.479912423568457;"Low";"No"
"Comparison";-1.03303182700329;"High";"No"
"Shifters";0.648017340298652;"High";"Yes"
"Sustainers";-1.03303182700329;"Low";"No"
"Sustainers";0.479912423568457;"High";"No"
"Comparison";-1.03303182700329;"Low";"No"
"Comparison";-0.192507243352319;"High";"No"
"Shifters";-0.024402326622125;"Low";"Yes"
"Comparison";0.648017340298652;"High";"No"
"Comparison";1.15233209048923;"High";"Yes"
"Comparison";1.48854192394962;"Low";"Yes"
"Shifters";1.99285667414021;"High";"Yes"
"Sustainers";2.83338125779118;"Low";"No"
"Sustainers";-1.03303182700329;"Low";"No"
"Comparison";-1.03303182700329;"High";"No"
"Comparison";-0.024402326622125;"High";"No"
"Comparison";-0.528717076812708;"High";"Yes"
"Comparison";0.98422717375904;"Low";"No"
"Comparison";-0.192507243352319;"High";"No"
"Comparison";-0.024402326622125;"High";"No"
"Comparison";-0.192507243352319;"High";"Yes"
"Sustainers";-1.03303182700329;"High";"No"
"Comparison";0.98422717375904;"High";"No"
"Comparison";-0.696821993542902;"Low";"Yes"
"Comparison";1.15233209048923;"High";"Yes"
"Sustainers";-0.360612160082513;"High";"Yes"
"Comparison";-1.03303182700329;"Low";"No"
"Sustainers";0.816122257028846;"Low";"No"
"Shifters";1.15233209048923;"Low";"No"
"Shifters";-0.360612160082513;"Low";"No"
"Comparison";1.82475175741001;"High";"Yes"
"Sustainers";-0.360612160082513;"Low";"No"
"Shifters";-0.864926910273096;"High";"No"
"Comparison";-0.696821993542902;"Low";"No"
"Comparison";-1.03303182700329;"Low";"No"
"Shifters";2.49717142433079;"Low";"No"
"Sustainers";1.32043700721943;"High";"No"
"Sustainers";-1.03303182700329;"High";"No"
"Shifters";0.648017340298652;"High";"No"
"Comparison";1.65664684067982;"High";"No"
"Shifters";-0.864926910273096;"High";"No"
"Comparison";-0.192507243352319;"High";"No"
"Shifters";-0.024402326622125;"Low";"Yes"
"Comparison";-0.192507243352319;"High";"Yes"
"Sustainers";0.311807506838263;"Low";"Yes"
"Comparison";0.479912423568457;"Low";"No"
"Sustainers";-0.528717076812708;"Low";"No"
"Shifters";-0.864926910273096;"High";"No"
"Shifters";1.99285667414021;"Low";"Yes"
"Sustainers";-1.03303182700329;"High";"No"
"Comparison";-0.528717076812708;"High";"No"
"Sustainers";0.816122257028846;"Low";"No"
"Comparison";5.69116484220448;"High";"Yes"
"Sustainers";0.143702590108069;"Low";"No"
"Comparison";0.143702590108069;"Low";"No"
"Sustainers";0.816122257028846;"Low";"No"
"Shifters";0.143702590108069;"Low";"No"
"Comparison";-0.360612160082513;"Low";"Yes"
"Shifters";-0.360612160082513;"High";"No"
"Comparison";-0.696821993542902;"Low";"No"
"Comparison";0.143702590108069;"Low";"No"
"Comparison";-0.024402326622125;"Low";"No"
"Shifters";-0.696821993542902;"Low";"Yes"
"Sustainers";0.479912423568457;"High";"No"
"Comparison";0.311807506838263;"High";"No"
"Comparison";-0.696821993542902;"High";"No"
"Sustainers";-0.696821993542902;"Low";"No"
"Shifters";0.648017340298652;"Low";"No"
"Comparison";-1.03303182700329;"High";"Yes"
"Shifters";1.82475175741001;"High";"Yes"
"Sustainers";-0.360612160082513;"Low";"No"
"Shifters";1.65664684067982;"Low";"Yes"
"Sustainers";0.816122257028846;"High";"No"
"Sustainers";-1.03303182700329;"High";"No"
