"age";"edc";"y1";"y2";"y3";"y4";"y5";"y6";"y7";"y8"
2;"not graduated";10;10;3;13;13;27;11;21
2;"graduated";17;21;23;34;16;33;17;30
2;"not graduated";19;23;22;45;17;40;18;30
2;"graduated";22;24;20;62;16;38;15;38
2;"graduated";22;20;21;49;19;38;15;31
2;"graduated";17;21;23;54;15;48;16;35
2;"graduated";17;23;20;44;16;23;13;25
2;"graduated";22;25;24;63;17;39;17;33
2;"graduated";15;20;19;40;17;23;14;33
2;"not graduated";20;27;22;51;18;37;18;34
2;"graduated";27;30;26;63;17;41;20;38
2;"graduated";18;12;14;41;13;6;10;12
2;"not graduated";20;23;20;52;18;43;13;33
2;"graduated";24;25;24;60;17;28;14;32
2;"graduated";23;21;19;51;17;19;14;19
2;"graduated";21;20;23;46;15;29;18;25
2;"graduated";10;20;16;41;10;24;8;26
2;"graduated";15;13;12;40;17;33;6;34
2;"graduated";17;15;17;40;9;32;19;34
2;"graduated";23;17;21;44;15;37;14;38
2;"graduated";17;14;19;46;12;9;4;10
2;"graduated";11;20;17;32;19;32;5;32
2;"not graduated";16;19;14;47;17;35;14;28
2;"graduated";17;17;19;45;5;28;9;22
2;"graduated";22;28;23;58;17;41;18;37
2;"graduated";18;24;20;54;16;30;10;36
2;"graduated";23;25;25;53;20;35;17;39
2;"not graduated";15;21;16;29;11;24;14;35
2;"graduated";20;25;17;43;20;30;13;33
2;"graduated";19;20;20;45;19;41;16;38
2;"graduated";21;21;22;47;4;28;14;29
2;"graduated";16;26;22;44;19;29;19;25
2;"graduated";20;13;18;52;18;24;17;33
2;"not graduated";11;17;14;25;13;42;11;26
2;"graduated";17;21;17;45;11;30;15;25
2;"graduated";17;24;25;48;15;22;7;25
2;"graduated";22;24;20;42;11;38;16;34
2;"graduated";20;21;16;42;5;15;10;20
2;"graduated";22;24;20;55;14;44;17;36
2;"graduated";16;21;17;52;16;34;14;35
2;"graduated";22;24;24;39;15;42;14;37
2;"graduated";23;21;24;47;18;40;18;34
2;"graduated";20;21;19;43;16;38;16;33
2;"not graduated";14;16;13;40;14;29;13;35
2;"graduated";20;25;25;63;20;24;18;33
2;"graduated";12;7;13;25;15;27;17;28
2;"graduated";10;15;16;39;14;29;18;32
2;"graduated";14;17;22;22;16;41;10;37
2;"graduated";16;21;19;49;19;50;19;34
2;"not graduated";4;17;7;13;16;18;13;22
2;"not graduated";17;16;11;39;16;30;6;32
2;"not graduated";17;19;10;41;16;28;11;28
2;"not graduated";6;9;9;16;11;16;8;32
2;"not graduated";4;4;4;8;3;16;2;20
2;"graduated";6;5;2;10;4;2;3;9
2;"not graduated";15;20;19;36;8;28;15;36
2;"not graduated";11;26;19;43;16;30;20;31
2;"graduated";8;21;18;33;14;31;14;29
2;"graduated";24;26;23;55;15;40;13;36
2;"not graduated";6;16;15;23;16;28;14;21
2;"graduated";18;22;19;41;20;23;15;37
2;"graduated";17;17;17;38;13;32;15;32
2;"graduated";27;20;21;50;14;34;18;28
2;"graduated";13;18;7;19;16;20;14;32
2;"not graduated";18;10;19;38;14;25;15;14
2;"graduated";18;25;19;43;15;21;11;34
2;"not graduated";4;12;13;15;12;13;7;33
2;"graduated";22;26;24;59;12;27;14;30
2;"graduated";11;19;15;20;18;38;17;36
2;"graduated";24;24;21;58;19;32;16;33
2;"not graduated";11;20;16;32;13;29;19;30
2;"graduated";13;16;16;38;17;28;16;33
2;"not graduated";10;8;7;20;1;12;2;11
2;"not graduated";3;4;0;9;11;13;3;31
2;"not graduated";21;15;20;45;19;0;20;27
2;"not graduated";14;21;23;35;12;35;13;20
2;"not graduated";15;21;20;32;18;34;20;34
2;"graduated";6;12;12;24;16;32;12;38
2;"not graduated";6;15;22;19;16;34;13;35
2;"not graduated";15;19;12;46;14;21;11;23
2;"not graduated";5;10;8;16;13;21;12;30
2;"not graduated";5;19;6;15;16;17;7;29
2;"not graduated";6;16;12;17;16;19;14;33
2;"not graduated";5;16;22;28;17;39;13;37
2;"graduated";15;21;26;35;14;18;11;32
2;"graduated";18;27;18;53;17;21;16;31
2;"graduated";22;25;22;44;18;39;10;32
2;"not graduated";10;12;11;25;15;21;10;30
2;"graduated";17;21;17;51;16;29;16;24
2;"not graduated";20;20;19;50;17;33;17;32
2;"graduated";16;20;18;21;17;26;14;32
2;"graduated";21;14;20;43;17;37;15;38
2;"graduated";17;7;7;29;14;19;9;31
2;"not graduated";17;21;18;44;14;17;15;16
2;"graduated";17;21;20;36;15;25;15;31
2;"graduated";13;4;12;12;10;14;2;21
2;"graduated";11;15;12;19;14;29;11;24
2;"not graduated";6;8;7;11;14;4;9;22
2;"not graduated";7;16;9;16;10;19;7;28
2;"graduated";14;20;20;52;8;29;12;38
2;"not graduated";2;3;0;3;5;8;2;23
2;"graduated";10;10;19;18;13;20;10;28
2;"not graduated";4;5;4;11;3;13;2;7
3;"graduated";25;25;24;49;16;31;17;31
3;"graduated";16;23;18;53;13;20;10;27
3;"graduated";9;14;11;35;14;39;15;32
3;"graduated";27;30;20;63;15;48;20;33
3;"graduated";18;16;18;48;17;45;17;34
3;"graduated";27;25;24;63;17;46;18;38
3;"graduated";25;26;20;49;19;29;17;16
3;"graduated";28;22;23;59;15;43;17;36
3;"graduated";14;21;22;43;18;45;12;40
3;"graduated";24;25;21;64;15;32;18;35
3;"graduated";25;23;21;60;16;41;14;38
3;"not graduated";11;18;19;41;17;33;19;30
3;"graduated";8;12;16;33;15;24;17;26
3;"graduated";22;24;16;44;16;40;18;33
3;"graduated";19;24;23;52;18;42;15;34
3;"graduated";24;19;20;44;16;30;14;32
3;"graduated";23;20;24;53;18;39;14;36
3;"graduated";9;14;14;17;17;37;8;27
3;"graduated";23;25;20;64;17;48;14;35
3;"graduated";22;22;18;52;20;34;16;40
3;"graduated";16;24;22;47;17;44;10;33
3;"graduated";13;23;22;49;14;39;13;35
3;"graduated";27;30;26;59;17;40;18;26
3;"graduated";22;25;25;52;18;24;15;37
3;"graduated";26;24;23;54;18;46;19;35
3;"graduated";22;26;26;59;19;47;15;37
3;"graduated";20;17;17;42;17;30;14;33
3;"graduated";22;19;23;49;16;34;18;35
3;"graduated";28;25;21;59;18;45;16;39
3;"graduated";22;16;20;28;19;28;16;30
3;"graduated";20;17;23;51;17;41;3;33
3;"graduated";22;24;22;44;18;33;16;32
3;"graduated";23;18;21;54;16;42;16;35
3;"graduated";15;23;14;28;15;38;10;32
3;"graduated";19;15;17;47;13;30;14;25
3;"graduated";21;19;17;51;19;39;15;30
3;"graduated";18;19;12;28;15;35;4;33
3;"not graduated";16;17;7;29;15;42;16;34
3;"not graduated";17;24;21;39;17;48;16;38
3;"graduated";17;22;23;46;17;28;14;32
3;"graduated";14;13;14;37;14;18;15;25
3;"graduated";26;27;26;61;18;32;19;38
3;"graduated";17;16;13;34;15;39;11;34
3;"graduated";25;28;27;62;20;29;15;32
3;"graduated";25;24;19;53;16;42;12;31
3;"graduated";14;13;16;18;14;13;8;6
3;"graduated";26;28;24;55;17;44;19;27
3;"graduated";18;20;17;35;19;36;18;39
3;"graduated";16;16;23;43;18;28;16;34
3;"graduated";15;26;17;35;19;29;18;32
3;"graduated";14;19;20;38;13;31;14;32
3;"graduated";16;22;23;44;13;36;17;37
3;"graduated";19;22;21;48;17;36;15;26
3;"not graduated";4;9;16;22;15;25;14;28
3;"graduated";19;16;18;51;15;49;13;36
3;"graduated";25;26;25;59;18;44;16;37
3;"not graduated";12;18;19;36;19;34;16;32
3;"graduated";19;23;23;46;18;43;18;35
3;"graduated";19;21;22;58;16;44;18;32
3;"not graduated";19;24;18;46;10;24;3;22
3;"graduated";24;19;19;52;18;20;17;23
3;"not graduated";15;14;18;48;12;32;14;15
3;"graduated";19;27;27;41;19;48;18;40
3;"not graduated";11;16;17;24;16;31;15;32
3;"graduated";10;14;15;30;17;29;2;34
3;"not graduated";16;12;12;43;9;29;8;33
3;"graduated";26;24;22;53;17;36;15;35
3;"not graduated";19;24;15;47;14;31;11;34
3;"graduated";28;29;21;65;18;46;18;38
3;"graduated";25;21;19;52;17;34;18;31
3;"graduated";4;6;0;10;5;20;2;17
3;"graduated";25;20;21;41;16;35;13;32
3;"not graduated";2;3;0;5;1;2;2;9
3;"not graduated";19;17;19;37;14;33;5;33
3;"graduated";14;12;18;41;15;41;18;31
3;"not graduated";24;19;18;50;19;37;20;33
3;"graduated";24;27;28;60;15;45;14;34
3;"graduated";26;25;22;51;18;38;14;35
3;"graduated";12;15;17;25;15;23;12;35
3;"graduated";21;23;22;46;17;44;15;20
3;"graduated";25;23;22;52;17;37;13;35
3;"graduated";26;23;27;61;17;33;18;34
3;"graduated";25;22;22;61;15;19;14;31
3;"graduated";23;26;26;62;16;46;15;37
3;"graduated";27;26;21;56;16;46;17;36
3;"graduated";28;26;26;66;19;49;18;38
3;"graduated";25;25;24;43;19;28;15;32
3;"graduated";17;15;14;22;15;35;11;34
3;"not graduated";16;16;13;36;12;21;9;21
3;"graduated";20;21;22;29;16;41;19;37
3;"graduated";25;16;17;56;14;34;11;34
3;"not graduated";7;18;17;20;14;15;8;14
3;"not graduated";20;6;16;35;13;24;11;24
3;"graduated";21;20;20;38;16;36;9;34
3;"graduated";7;14;11;16;14;23;12;29
3;"not graduated";7;11;13;18;14;23;11;33
3;"not graduated";18;14;18;29;15;18;16;32
3;"graduated";13;10;5;19;8;25;14;30
3;"graduated";8;18;23;22;17;44;15;36
3;"graduated";18;24;23;34;18;45;9;33
3;"graduated";26;21;21;56;16;29;15;33
3;"graduated";24;24;20;53;18;37;17;38
3;"graduated";22;21;20;56;17;27;11;37
3;"graduated";21;19;23;47;17;37;17;38
3;"graduated";19;27;20;54;16;14;14;18
3;"graduated";15;19;18;43;17;27;12;32
3;"graduated";22;23;26;43;18;22;12;34
3;"graduated";23;25;23;56;17;41;19;38
3;"not graduated";15;14;20;52;18;32;9;28
3;"not graduated";9;14;12;33;17;18;10;31
3;"graduated";26;25;25;64;18;41;16;31
3;"graduated";17;22;21;45;17;30;14;26
3;"graduated";16;24;26;51;17;35;16;32
3;"graduated";18;26;25;51;17;50;16;37
3;"graduated";19;22;17;42;13;21;11;30
3;"graduated";26;22;21;59;11;30;16;32
3;"graduated";14;21;17;54;17;24;15;35
3;"graduated";21;24;19;51;14;39;17;34
3;"graduated";16;19;17;36;16;45;8;34
3;"graduated";18;23;26;57;19;40;16;39
3;"graduated";14;21;19;39;18;37;13;32
3;"graduated";25;23;24;51;15;24;13;31
3;"graduated";18;19;17;42;15;26;10;34
3;"graduated";24;23;26;55;14;20;13;30
3;"graduated";15;10;14;37;18;44;13;36
3;"graduated";19;20;19;34;16;42;14;39
3;"graduated";22;30;22;55;18;41;17;40
3;"graduated";12;16;19;42;15;36;13;36
3;"graduated";14;14;14;29;17;23;12;33
3;"graduated";19;24;16;45;16;36;8;36
3;"graduated";22;21;18;55;16;28;19;31
3;"graduated";19;24;17;45;18;43;10;36
3;"graduated";22;30;23;53;19;39;14;35
3;"graduated";18;20;22;48;16;37;12;38
3;"graduated";16;23;19;55;18;42;15;37
3;"graduated";16;27;22;53;17;23;19;34
3;"graduated";22;22;24;50;18;36;17;32
3;"graduated";12;14;22;48;13;24;7;33
3;"graduated";17;18;13;42;18;22;7;35
3;"graduated";19;13;14;44;13;22;17;19
3;"graduated";16;26;24;50;17;49;15;37
3;"graduated";14;18;15;33;17;36;13;26
3;"graduated";19;17;14;36;16;26;11;27
3;"graduated";13;10;10;20;6;2;4;15
3;"graduated";19;13;21;49;9;27;12;23
3;"graduated";16;16;13;44;17;29;17;34
3;"graduated";18;23;20;53;17;33;15;30
3;"graduated";6;9;4;10;13;13;2;18
3;"graduated";22;21;26;57;17;34;19;29
3;"graduated";25;22;23;66;16;28;20;30
3;"graduated";9;13;17;23;12;27;2;24
3;"graduated";22;28;16;40;13;22;9;24
3;"graduated";17;27;15;50;18;36;12;34
3;"not graduated";26;24;24;60;18;32;18;39
3;"not graduated";11;20;13;38;17;37;14;32
3;"not graduated";14;19;16;40;18;40;4;31
3;"graduated";17;26;27;51;15;29;15;33
3;"not graduated";23;17;23;50;19;33;13;26
3;"graduated";12;14;17;23;16;30;14;32
3;"graduated";19;15;18;53;18;36;18;30
3;"graduated";14;15;21;32;13;20;9;30
3;"not graduated";21;25;21;52;20;42;19;38
3;"graduated";17;27;22;48;16;32;18;33
3;"graduated";18;20;23;45;16;30;9;27
3;"graduated";28;27;24;64;19;35;17;40
3;"graduated";21;20;23;60;17;24;13;32
3;"graduated";22;28;24;59;17;32;18;29
3;"graduated";17;20;25;52;19;39;16;32
3;"graduated";12;9;13;12;12;22;8;37
3;"graduated";21;18;22;37;16;26;11;30
3;"graduated";22;26;25;57;19;39;15;31
3;"not graduated";19;25;22;49;17;30;14;31
3;"graduated";21;25;24;59;19;44;17;40
3;"graduated";22;26;24;58;17;44;15;37
3;"graduated";27;28;25;65;19;42;17;35
3;"graduated";13;25;20;37;15;32;17;34
3;"not graduated";4;7;4;11;2;2;2;4
3;"graduated";26;29;28;59;18;41;15;41
3;"graduated";15;23;18;41;13;18;16;23
3;"graduated";22;22;24;66;19;36;14;39
3;"graduated";24;25;19;53;18;43;17;34
3;"not graduated";17;20;23;48;18;38;13;33
3;"graduated";17;24;17;44;16;25;11;25
3;"graduated";14;18;18;39;17;37;13;36
3;"graduated";22;19;19;47;18;49;14;41
3;"not graduated";28;27;27;66;20;49;20;41
3;"graduated";22;21;11;45;16;33;13;34
3;"graduated";21;22;15;58;14;26;14;31
3;"graduated";14;14;17;23;11;20;13;11
3;"not graduated";6;10;13;20;15;24;13;24
3;"graduated";22;22;23;37;17;22;11;36
3;"not graduated";13;18;21;34;15;41;18;25
3;"not graduated";6;17;18;23;12;24;7;30
3;"not graduated";14;5;11;20;11;20;11;33
3;"graduated";14;8;14;27;8;6;7;30
3;"graduated";18;25;14;40;17;24;17;33
3;"graduated";26;27;27;65;18;0;13;29
3;"not graduated";17;22;17;43;15;15;17;32
3;"graduated";11;16;13;19;11;8;4;24
3;"graduated";13;23;13;40;14;35;7;31
4;"graduated";27;25;23;64;18;43;20;41
4;"graduated";23;23;17;48;17;43;19;36
4;"graduated";25;23;18;61;19;41;16;38
4;"graduated";27;23;21;61;14;44;20;31
4;"graduated";27;25;21;65;13;33;14;30
4;"not graduated";26;21;25;64;19;42;19;37
4;"graduated";24;24;23;62;16;35;19;30
4;"graduated";20;19;19;49;13;23;17;19
4;"graduated";26;21;22;61;17;40;17;33
4;"graduated";26;25;26;68;16;28;18;32
4;"graduated";28;25;24;60;20;30;13;31
4;"graduated";26;30;19;60;15;39;15;31
4;"graduated";25;30;26;65;18;39;19;36
4;"graduated";28;30;25;67;20;36;16;30
4;"graduated";28;26;27;68;19;51;20;40
4;"graduated";24;29;23;63;18;34;16;28
4;"graduated";22;27;20;55;18;35;17;34
4;"graduated";26;26;27;63;20;40;18;39
4;"graduated";21;22;16;49;19;34;18;33
4;"graduated";28;26;22;65;18;38;16;37
4;"graduated";26;24;23;60;16;28;17;34
4;"graduated";23;28;21;63;18;37;16;37
4;"graduated";26;23;23;66;18;47;18;37
4;"graduated";28;28;23;67;18;32;15;30
4;"graduated";28;26;26;64;19;51;20;41
4;"graduated";26;26;25;62;17;45;10;36
4;"graduated";24;24;20;51;19;36;15;40
4;"graduated";27;31;17;67;11;26;10;30
4;"graduated";26;30;26;69;19;33;18;32
4;"graduated";28;26;23;69;19;31;13;35
4;"graduated";17;27;25;63;18;29;13;38
4;"graduated";28;27;17;55;18;40;13;31
4;"graduated";24;21;24;52;19;44;17;38
4;"graduated";27;24;19;63;15;24;11;32
4;"graduated";21;20;27;39;18;48;14;39
4;"graduated";23;28;26;66;17;38;13;36
4;"graduated";24;31;23;64;19;35;19;33
4;"graduated";23;21;18;35;15;24;10;22
4;"graduated";27;28;22;64;17;40;17;34
4;"graduated";18;18;22;57;15;26;11;22
4;"graduated";25;26;23;52;15;43;17;34
4;"graduated";17;18;21;50;11;31;15;32
4;"graduated";18;24;22;50;16;19;13;33
4;"graduated";24;22;14;47;17;30;14;32
4;"graduated";22;19;22;45;16;31;18;25
4;"graduated";21;27;23;55;18;32;15;39
4;"graduated";27;27;27;66;16;42;16;35
4;"graduated";21;27;24;46;15;36;11;33
4;"graduated";27;23;17;61;18;37;11;38
4;"graduated";23;25;25;56;16;29;11;34
4;"graduated";20;17;14;52;14;10;7;19
4;"graduated";25;22;22;52;14;31;15;17
4;"graduated";23;29;23;61;18;48;18;36
4;"graduated";25;22;18;60;18;35;8;31
4;"graduated";19;23;21;51;14;18;18;32
4;"not graduated";25;25;18;60;15;34;14;31
4;"graduated";23;22;23;54;16;39;13;36
4;"graduated";27;26;23;54;17;47;17;31
4;"graduated";25;6;23;49;18;31;12;36
4;"graduated";23;20;14;22;14;23;13;35
4;"graduated";23;25;23;55;19;42;18;36
4;"graduated";14;19;15;22;17;20;12;30
4;"not graduated";14;18;11;44;17;27;9;31
4;"graduated";20;27;18;49;19;35;16;35
4;"graduated";19;12;11;30;15;27;15;28
4;"graduated";20;17;14;34;16;30;16;25
4;"graduated";19;19;14;40;16;28;13;25
4;"not graduated";16;23;19;46;18;48;19;40
4;"graduated";11;20;15;45;17;24;15;27
4;"graduated";17;21;21;52;18;36;15;37
4;"graduated";21;30;17;50;18;44;19;34
4;"graduated";22;8;25;49;14;41;2;33
4;"graduated";16;13;21;34;12;13;16;22
4;"graduated";22;24;26;42;15;29;10;36
4;"graduated";22;26;23;45;13;29;9;30
4;"not graduated";17;8;23;45;16;34;8;26
4;"graduated";24;27;27;60;17;41;16;35
4;"graduated";26;24;25;63;18;46;18;35
4;"not graduated";17;23;23;40;12;25;18;34
4;"graduated";16;21;22;65;15;36;15;29
4;"graduated";21;23;24;54;20;46;18;38
4;"graduated";22;25;23;57;20;40;18;39
4;"graduated";26;24;18;55;17;46;19;40
4;"graduated";26;21;10;60;14;44;15;37
4;"graduated";22;21;20;64;14;38;17;34
4;"not graduated";19;14;8;44;14;23;13;28
4;"not graduated";16;24;21;47;19;44;10;36
4;"graduated";20;24;18;50;19;38;18;36
4;"not graduated";6;16;9;12;12;21;7;26
4;"graduated";24;28;25;59;18;36;13;35
4;"graduated";21;25;22;54;14;27;13;21
4;"graduated";24;21;17;47;14;35;14;31
4;"not graduated";16;14;16;33;12;34;12;33
4;"graduated";21;23;19;52;16;27;15;34
4;"not graduated";19;16;9;56;17;27;17;35
4;"graduated";24;19;20;53;16;48;18;35
4;"graduated";21;24;25;52;19;41;19;33
4;"graduated";20;26;22;50;12;22;6;30
4;"not graduated";16;22;9;36;15;25;12;32
4;"not graduated";23;18;20;65;14;26;13;36
4;"not graduated";15;18;13;37;18;27;12;36
4;"not graduated";16;23;13;30;15;32;16;37
4;"graduated";19;23;17;33;16;36;16;35
4;"not graduated";24;26;21;53;18;43;17;32
4;"not graduated";4;4;1;8;3;3;2;29
4;"graduated";15;15;20;30;16;12;9;23
4;"graduated";18;17;7;21;13;21;13;33
4;"graduated";16;14;21;39;14;23;12;34
4;"graduated";17;23;21;45;13;23;14;23
4;"graduated";27;27;22;65;18;48;17;40
4;"graduated";27;21;24;60;18;30;18;39
4;"graduated";17;21;26;39;17;28;13;34
4;"graduated";22;23;25;59;17;38;10;35
4;"not graduated";26;20;22;53;20;43;19;40
4;"not graduated";17;17;24;43;19;39;17;34
4;"graduated";23;21;20;43;19;30;17;38
4;"graduated";23;23;23;60;17;25;17;29
4;"graduated";23;18;21;57;16;43;17;35
4;"graduated";19;23;25;42;18;31;15;37
4;"not graduated";27;24;22;57;18;42;17;35
4;"not graduated";5;13;6;11;8;11;2;22
4;"not graduated";10;11;12;19;14;34;15;31
4;"graduated";22;19;21;51;17;33;6;35
4;"not graduated";6;5;13;13;15;9;5;35
4;"graduated";25;19;27;52;19;43;17;34
4;"graduated";23;21;23;50;18;32;10;33
4;"not graduated";4;4;6;14;12;6;2;24
4;"graduated";24;18;17;54;18;46;15;37
4;"graduated";27;28;26;64;19;49;20;34
4;"graduated";22;24;25;53;19;42;17;38
4;"not graduated";4;8;5;12;2;10;2;22
4;"graduated";24;24;24;54;16;27;10;38
4;"graduated";27;30;24;66;17;41;10;37
4;"not graduated";16;15;9;37;14;41;17;37
4;"graduated";16;15;13;42;15;16;11;28
4;"graduated";22;25;17;54;14;20;14;30
4;"graduated";16;12;5;24;12;2;4;17
4;"graduated";23;18;17;42;13;29;15;28
4;"graduated";12;16;10;21;15;29;11;24
4;"graduated";22;24;21;50;17;35;14;32
4;"not graduated";13;5;10;22;8;7;2;22
4;"graduated";25;29;24;52;16;29;13;31
4;"not graduated";9;14;10;20;13;0;12;29
4;"graduated";4;6;3;9;7;21;2;26
4;"graduated";21;19;19;51;17;36;18;31
4;"graduated";10;14;7;19;9;7;6;19
4;"graduated";18;25;23;43;18;25;14;32
4;"graduated";18;19;20;40;15;22;13;31
4;"graduated";16;19;12;32;13;16;2;29
4;"graduated";21;22;24;58;16;50;15;30
4;"graduated";25;29;26;60;20;37;17;38
4;"graduated";23;29;23;67;16;47;17;34
4;"graduated";21;27;27;54;20;39;17;37
4;"graduated";22;23;24;54;18;37;16;34
4;"graduated";26;25;20;61;12;17;15;14
4;"graduated";21;23;25;64;18;25;14;23
4;"graduated";21;26;20;51;17;44;14;36
4;"graduated";21;22;20;49;18;21;15;35
4;"graduated";24;29;26;61;18;37;18;40
4;"graduated";24;25;26;66;19;32;20;32
4;"graduated";17;19;17;49;17;16;11;33
4;"graduated";20;20;19;55;15;30;9;29
4;"graduated";28;29;22;64;17;42;15;37
4;"graduated";29;28;23;64;20;50;15;37
4;"graduated";25;25;20;59;17;48;11;35
4;"graduated";15;15;20;44;16;36;14;32
4;"graduated";14;6;19;29;7;20;9;24
4;"graduated";21;23;25;52;11;23;10;30
4;"graduated";14;20;18;46;15;21;15;36
4;"graduated";20;28;27;53;17;25;14;32
4;"graduated";20;15;17;49;14;29;14;31
4;"graduated";18;27;20;46;17;20;8;21
4;"graduated";17;24;20;60;17;34;14;31
4;"graduated";25;24;24;58;16;29;19;36
4;"graduated";23;24;23;64;17;38;17;36
4;"not graduated";9;16;18;34;14;24;6;25
4;"graduated";25;29;26;64;19;38;14;37
4;"graduated";27;28;24;61;17;37;16;33
4;"graduated";25;24;21;53;18;29;13;23
4;"graduated";16;21;16;43;14;18;9;32
4;"graduated";21;25;21;47;18;30;15;29
4;"graduated";17;23;19;49;16;26;15;33
4;"graduated";16;19;23;52;17;37;14;36
4;"graduated";6;17;21;36;14;42;2;21
4;"graduated";23;19;21;47;17;27;6;35
4;"graduated";19;20;23;51;16;43;13;35
4;"graduated";18;21;21;38;16;26;15;28
4;"graduated";24;22;24;49;19;28;18;33
4;"graduated";20;22;20;57;18;33;11;35
4;"graduated";19;17;21;52;16;38;18;28
4;"graduated";25;29;22;55;17;33;17;26
4;"graduated";17;19;21;47;14;34;13;29
4;"graduated";10;19;13;40;12;24;12;23
4;"graduated";24;18;15;43;14;30;20;34
4;"graduated";21;24;24;57;15;42;18;26
4;"not graduated";19;17;17;41;12;25;7;19
4;"graduated";24;20;24;53;19;27;15;24
4;"graduated";19;27;20;47;20;30;18;40
