"school";"gender";"age";"geread";"gevocab"
1129;"Male";113;2.6;4.2
1129;"Female";111;4.9;5
1129;"Male";110;4.9;4.5
1129;"Female";108;2.6;2.3
1129;"Female";105;4.3;6.7
1129;"Female";106;3.2;7.5
1129;"Male";105;3.9;6.3
1129;"Female";110;2.8;2.2
1129;"Male";110;12;4.5
1129;"Female";108;3.9;11.2
1129;"Male";112;6.4;6
1129;"Male";109;2.8;2.5
1129;"Female";111;1.4;1.9
1129;"Female";109;3.7;3
1129;"Female";105;1.4;2.1
1129;"Female";112;4.8;4.5
1129;"Male";102;2.9;2.9
1129;"Male";110;4.8;8.4
1129;"Male";109;3.3;3.1
1129;"Male";114;2.7;3.9
1129;"Female";112;3.8;4
1129;"Male";112;3.2;3.7
1129;"Female";103;4.5;3
1129;"Female";110;3.3;5.2
1129;"Female";103;4.1;4.8
1129;"Male";102;3.9;4.1
1129;"Female";112;2.6;2.9
1129;"Female";110;2.4;2.9
1129;"Female";97;4.9;3.1
1129;"Female";106;4.9;3.4
1129;"Male";111;4.4;3.8
1129;"Female";105;12;3.5
1129;"Female";112;1.9;3.6
1129;"Female";110;4.8;11.2
1129;"Female";110;4.9;3.1
1129;"Female";106;3.9;5.4
1129;"Male";114;3.1;2.4
1129;"Male";108;3.9;2.3
1129;"Male";110;4.8;5.4
1129;"Male";110;3.1;3.6
1129;"Male";115;3.4;2.9
1129;"Male";106;12;5
1129;"Female";112;12;4.4
1129;"Male";108;4.9;4.2
1129;"Female";107;12;11.2
1129;"Male";109;3.7;3.5
1133;"Female";101;6.4;7.5
1133;"Male";102;3.1;3.1
1133;"Female";118;4.5;4
1133;"Male";102;2;1.8
1133;"Male";111;4.4;4.5
1133;"Female";101;4.2;3.1
1133;"Male";110;4.7;4.4
1133;"Female";111;3.4;6.9
1133;"Male";110;4.4;3.1
1133;"Male";105;1.8;2.2
1133;"Female";103;6.6;3.9
1133;"Female";114;12;3.9
1133;"Male";108;3;4.2
1133;"Male";112;8.3;3.9
1133;"Female";106;2.4;3.1
1133;"Male";102;1.9;2.6
1133;"Female";111;3.8;6.2
1133;"Female";101;2;2.7
1133;"Female";101;3.1;3
1133;"Male";101;3.4;3.7
1133;"Female";102;3.5;4.4
1133;"Female";112;2.3;2.8
1133;"Male";108;10.6;4.8
1133;"Male";111;6.4;7.5
1133;"Female";108;4.9;4.7
1133;"Male";107;6.4;6.8
1133;"Male";113;4.6;2.4
1133;"Male";104;0.7;0.9
1133;"Female";104;4.9;3
1133;"Male";109;3.5;3.7
1133;"Male";102;2.2;3
1133;"Male";110;6.4;4.4
1133;"Female";101;4.3;5
1265;"Male";111;6.4;4.7
1265;"Female";110;4.6;4.7
1265;"Male";103;2.4;3.2
1265;"Female";122;4.4;3.9
1265;"Female";106;3;11
1265;"Female";102;4.1;5
1265;"Male";106;3.5;3.9
1265;"Female";110;4.9;3.8
1265;"Male";104;2;2.3
1265;"Male";121;3.3;3.2
1265;"Male";116;1.9;2.1
1265;"Male";107;4.8;5.5
1265;"Male";106;3.1;4.6
1265;"Female";109;2.8;3.3
1265;"Female";112;7.5;3.6
1265;"Female";109;6.4;4.6
1265;"Male";111;10.6;7.4
1265;"Female";111;3.3;4.7
1265;"Male";110;3.8;4.2
1265;"Male";108;2.4;3.8
1265;"Female";122;2.9;2.9
1265;"Female";106;4.9;10.9
1265;"Female";111;3.3;8.2
1265;"Female";105;4.8;11.2
1265;"Male";110;1.5;2.5
1265;"Female";111;5;2.9
1265;"Male";106;8.2;5
1265;"Female";101;3.8;6
1265;"Male";105;3.3;3.5
1265;"Female";108;1.6;3
1265;"Female";101;4.3;3.6
1265;"Female";104;6.4;6.7
1265;"Male";112;8.2;11.2
1265;"Female";107;6.4;5
1265;"Male";110;6.4;8.2
1265;"Female";109;4;6.2
1265;"Male";104;5;6.3
1265;"Male";104;3;3.6
1265;"Male";117;4.4;4.3
1265;"Female";104;6.4;11.2
1265;"Male";107;2.7;4.6
1265;"Male";108;3.8;2.8
1265;"Female";101;3.5;3.9
1265;"Female";101;5;4.7
1265;"Male";111;6.4;6.7
1265;"Male";108;5;3.4
1265;"Male";103;3.6;4
1265;"Female";104;2.9;4.4
1265;"Male";107;2.5;3.6
1265;"Female";106;4.9;4.8
1265;"Male";114;6.4;5.2
1265;"Female";102;2.4;3.5
1265;"Male";105;4.2;3.3
1265;"Male";112;3.3;3
1265;"Female";101;3.5;7.2
1265;"Female";109;4.8;6.8
1265;"Female";105;2.9;2.9
1265;"Female";105;2.8;4.7
1265;"Male";106;2.8;3.9
1265;"Male";110;4.9;7.5
1265;"Male";102;4.9;4
1265;"Male";117;7.9;4.6
1265;"Male";107;4.9;4.7
1265;"Female";112;3.9;11.2
1265;"Female";111;12;4
1265;"Male";111;4;3.1
1265;"Female";107;8.2;11.2
1265;"Female";113;2.6;3.1
1265;"Male";110;3.1;3.5
1265;"Male";102;5.2;11.2
1265;"Female";104;4.7;8.2
1265;"Female";103;3.1;3.9
1265;"Male";110;4;2.6
1265;"Male";127;4.4;4.4
1265;"Male";101;2.5;2.3
1265;"Female";103;3.4;3.9
1265;"Male";106;5.7;7.3
1265;"Male";125;4.3;2.9
1265;"Female";119;4.4;4.3
1265;"Male";105;2.7;4.7
1265;"Male";106;9.2;4.8
1266;"Male";104;2.7;2.3
1266;"Female";103;8.7;11.2
1266;"Female";110;3.1;3.6
1266;"Female";111;3;4.4
1266;"Male";102;6.4;6.8
1266;"Female";111;3.3;11.2
1266;"Female";109;3.5;3.1
1266;"Male";107;5.2;4.2
1266;"Female";101;5.4;5.5
1266;"Female";110;5.4;6.2
1266;"Female";111;3.3;3.6
1266;"Male";107;5.8;5
1266;"Female";110;5.2;3
1266;"Male";121;4.4;4.8
1266;"Female";107;3.7;7.2
1266;"Female";104;4.4;4
1266;"Female";108;2.9;3.7
1266;"Male";109;2.8;3.8
1266;"Male";107;4.7;6.2
1266;"Female";101;2.1;2.6
1266;"Female";110;6.4;11.2
1266;"Female";104;3;3.5
1266;"Female";110;4.4;5
1266;"Female";112;2.8;5.2
1266;"Male";105;3.1;0
1266;"Female";111;2.9;5
1266;"Female";115;2.8;5.2
1266;"Female";112;7.5;7.5
1266;"Female";102;6.4;4.4
1266;"Male";105;6.4;5
1266;"Female";110;4.4;3.5
1266;"Female";112;4.9;4.4
1266;"Male";111;9.2;11.2
1266;"Female";105;3.3;5
1266;"Male";111;3.9;3.9
1266;"Male";106;12;6.7
1266;"Male";112;6.4;11.2
1266;"Male";104;5;4.9
1266;"Female";102;5.2;4.9
1266;"Female";112;3.5;4.4
1266;"Female";103;3.1;2.9
1266;"Female";109;5.8;4.7
1266;"Male";102;4.1;3.5
1266;"Male";111;8.7;4.1
1266;"Female";107;3.1;2.8
1266;"Female";111;6.4;4.3
1266;"Female";118;3.2;3
1266;"Male";109;6.4;7.5
1266;"Female";106;3.3;5.4
1266;"Female";101;6.4;6.8
1266;"Male";103;3.8;3.3
1266;"Male";105;8.2;3.6
1266;"Male";103;1.4;2.6
1266;"Male";107;6.4;11
1266;"Male";104;3.3;8.1
1266;"Female";104;4.2;6.3
1266;"Female";109;4;4.3
1266;"Female";109;3.9;4.9
1266;"Female";106;5;5
1266;"Male";104;3.7;4.5
1266;"Female";103;4.8;6.7
1266;"Female";110;5.8;7
1266;"Male";102;3.7;3
1266;"Male";112;2.5;5
1266;"Female";111;8.7;4.9
1266;"Male";108;3.9;4.4
1266;"Female";110;3.3;2.8
1266;"Male";107;4.9;4.6
1266;"Male";102;2;3.7
1266;"Female";112;3.3;8.4
1266;"Female";104;6.4;4.5
1266;"Male";106;4.6;2.9
1266;"Female";105;3.9;4.1
1266;"Female";112;5.8;5
1266;"Male";106;3.8;4.5
1266;"Male";101;3.9;4.1
1266;"Male";107;4.4;2.8
1266;"Male";107;3.1;2.3
1266;"Female";107;3.3;4.2
1266;"Male";102;3.6;4.7
1266;"Female";111;4.3;4.2
1266;"Female";106;3.8;6.8
1266;"Female";108;4.3;8.4
1266;"Male";120;2.1;2.8
1321;"Male";103;3.7;3.7
1321;"Female";111;3.1;4.4
1321;"Female";108;4.9;5.5
1321;"Male";104;12;3.8
1321;"Male";109;3.7;3.8
1321;"Female";113;3.1;3
1321;"Female";106;2.8;2.3
1321;"Male";99;3.5;5.7
1321;"Male";102;7.8;5.2
1321;"Female";111;2.9;3.6
1321;"Female";104;10.6;11.2
1321;"Female";108;8.7;4.8
1321;"Female";103;2.9;4.2
1321;"Male";109;2.5;2.6
1321;"Female";106;10.6;8.9
1321;"Female";102;4.5;4.7
1321;"Female";111;10.6;9.3
1321;"Female";108;3.6;2.7
1321;"Female";109;9.2;4
1321;"Male";104;2.9;3.4
1321;"Male";107;3.5;2.5
1321;"Female";111;6.4;4.5
1321;"Female";110;4.7;6.2
1321;"Female";102;2.8;3.6
1321;"Male";106;3.9;3.3
1321;"Male";111;4.3;4.5
1321;"Female";102;4.7;3.6
1321;"Male";109;12;4.3
1321;"Male";108;6.4;11.2
1321;"Male";82;3;2.6
1321;"Male";108;2.8;4
1321;"Female";103;4.5;2.8
1321;"Female";109;4.9;3.6
1321;"Male";105;4.5;3.4
1321;"Female";103;2.8;4.1
1321;"Male";107;2.7;3.5
1321;"Female";102;4.6;3
1321;"Male";110;1.8;2.7
1321;"Male";107;3.9;4
1321;"Female";107;1.8;3.9
1321;"Male";105;5.2;8.2
1321;"Male";114;3.7;3.1
1321;"Male";105;1.9;2.2
1321;"Female";112;3.7;6.3
1321;"Female";102;8.3;4.9
1321;"Male";103;2.6;2.3
1321;"Male";110;4.9;11.2
1321;"Male";104;4.5;6.4
1321;"Female";106;4.9;4
1321;"Male";108;5.8;2.3
1321;"Female";102;3.8;3.2
1321;"Male";111;4.2;4.7
1321;"Male";101;2.9;2.5
1321;"Female";110;4.3;11.2
1321;"Female";98;4.9;7.3
1321;"Male";106;3.9;3.6
1321;"Male";110;4.7;4.2
1321;"Male";110;2.7;2.8
1321;"Female";105;2.7;3.7
1321;"Male";110;5.2;3.1
1321;"Female";102;5;3.1
1321;"Female";121;3.1;4.3
1321;"Female";104;6.6;4.7
1321;"Female";115;2.8;3
1321;"Male";110;4.4;3.2
1335;"Male";106;2.6;3.4
1335;"Male";108;3.7;3.1
1335;"Male";106;3.9;3.5
1335;"Female";101;3.8;3.1
1335;"Male";101;4.9;3.8
1335;"Male";110;3.7;3.1
1335;"Male";108;2.5;4.5
1335;"Male";105;5.8;3.3
1335;"Female";103;4.4;3.8
1335;"Female";113;4.7;5.2
1335;"Male";103;2.4;1.9
1335;"Male";102;3.3;2.9
1335;"Female";111;3;3.3
1335;"Female";110;3.5;4.2
1335;"Female";111;3.6;2.8
1335;"Male";105;8.3;7.2
1335;"Male";115;3.1;1.6
1335;"Male";105;12;7.5
1335;"Male";114;4.2;3.9
1335;"Female";111;7.8;3.2
1335;"Female";102;2.1;2.9
1335;"Female";115;4.9;8.2
1335;"Female";108;3.1;4.4
1335;"Female";108;3.9;4.4
1335;"Male";109;6.3;11.2
1335;"Female";110;12;3.9
1335;"Female";110;4.7;6.2
1335;"Male";101;3.6;3.4
1335;"Male";108;6.4;3.5
1335;"Male";111;8.2;11.2
1335;"Male";111;4.9;11
1335;"Male";103;4.5;4.3
1335;"Female";109;2.8;2.9
1335;"Female";105;3.9;4.4
1335;"Female";102;3.3;6.4
1335;"Female";96;2.9;3.1
1335;"Male";103;3.9;4.1
1335;"Female";118;2.6;4.3
1335;"Male";108;8.3;4.5
1329;"Female";111;6.4;7.4
1329;"Female";114;3.5;2.7
1329;"Male";111;3.7;3.5
1329;"Female";101;2.5;1.6
1329;"Female";103;4;6.7
1329;"Female";106;6.4;8.2
1329;"Male";109;12;4.7
1329;"Male";104;4;3.8
1329;"Male";109;4.5;6.3
1329;"Male";112;3;2.1
1329;"Male";109;6.4;5
1329;"Male";98;3.7;4.3
1329;"Male";107;4;2.5
1329;"Female";101;2.8;3.7
1329;"Male";112;3.5;6.2
1329;"Female";102;6.4;7.4
1329;"Female";110;5;3.8
1329;"Male";112;5;6.3
1329;"Female";98;2.7;2.2
1329;"Male";118;3.3;4.5
1329;"Female";104;2.7;2.5
1329;"Female";107;3.2;2.5
1329;"Male";107;4.6;3.5
1329;"Male";109;4.6;2.6
1329;"Female";107;6.3;5.4
1329;"Male";109;5.8;11.2
1329;"Male";102;5;3
1329;"Male";105;6.4;3.1
1329;"Female";103;6.4;7.4
1329;"Female";106;3.5;4.1
1329;"Female";96;2.5;1.1
1329;"Female";100;3.9;2.4
1329;"Female";112;2.8;11
1329;"Male";107;2.5;2.7
1329;"Female";96;3;7.3
1329;"Female";101;4.9;4.9
1329;"Female";106;3.3;4.5
1329;"Female";109;6.4;11.2
1329;"Male";109;3.3;3.9
1329;"Female";111;3.5;3.3
