"age";"prebody";"prelet";"preform";"prenumb";"prerelat";"preclas";"postbody";"postlet";"postform";"postnumb";"postrel";"postclas";"peabody"
59;27;7;13;23;12;10;32;39;18;49;16;19;55
36;11;12;9;5;5;3;12;12;6;13;9;6;27
51;32;16;16;34;15;17;21;17;6;21;8;12;62
51;31;18;13;33;15;14;21;16;11;7;9;11;58
48;13;14;8;8;10;11;21;22;10;28;8;19;34
43;17;13;14;13;11;14;24;19;12;22;11;20;32
35;23;12;8;9;5;5;29;11;8;9;11;11;32
36;11;2;6;5;2;4;21;6;11;6;6;7;28
39;20;18;6;4;4;6;19;8;11;22;10;10;29
45;14;13;9;16;9;12;29;48;17;48;14;19;35
58;30;38;15;45;14;18;32;48;19;46;14;23;67
38;13;10;7;8;5;7;26;36;14;20;10;16;29
57;26;15;11;22;10;15;24;20;18;28;12;18;35
49;26;35;10;47;13;17;26;13;7;12;11;14;67
55;24;11;10;18;8;10;20;10;14;23;10;10;39
44;25;39;18;41;9;21;30;47;20;50;11;23;90
56;13;11;6;15;10;11;15;13;9;13;10;6;46
48;17;11;9;14;8;9;26;32;15;27;11;11;39
50;16;10;8;9;7;6;21;15;17;17;12;15;34
52;16;15;6;13;11;13;19;14;14;18;7;16;38
51;24;14;10;20;10;17;28;21;17;36;14;17;34
58;25;17;17;23;14;15;25;16;19;28;9;20;37
48;13;10;10;13;9;7;27;15;14;23;11;12;33
54;16;13;10;10;9;7;19;20;14;19;12;11;36
52;20;35;15;21;8;20;27;48;19;47;15;22;49
48;20;12;11;13;7;11;28;19;17;17;11;17;53
55;28;13;10;29;11;12;30;31;19;45;15;22;65
55;23;16;5;32;10;13;28;28;15;46;13;17;55
55;30;27;11;39;12;17;32;40;19;52;17;23;85
56;26;18;10;30;12;9;29;46;13;44;13;17;43
50;31;15;10;24;11;20;31;43;18;52;14;23;65
51;28;19;14;37;13;15;32;47;19;48;15;22;75
58;30;14;17;37;13;22;28;38;15;36;16;18;85
55;27;10;10;12;14;16;31;42;16;31;13;20;40
41;24;22;14;42;14;21;30;49;19;50;14;22;58
51;20;13;11;22;11;15;27;17;11;20;14;14;42
52;29;13;9;18;10;10;30;23;17;28;12;17;69
54;30;26;13;23;10;17;32;42;12;37;12;19;58
47;19;12;11;16;11;12;28;43;18;38;14;17;37
50;31;30;15;47;15;19;23;48;19;49;13;20;62
55;31;13;18;39;15;24;31;51;19;50;14;23;99
50;32;27;13;29;13;12;31;45;19;53;16;23;75
57;31;19;14;36;13;11;32;50;17;47;15;22;82
55;20;12;9;16;11;18;30;30;14;18;12;16;47
55;26;14;8;24;13;12;30;45;19;43;15;24;62
50;30;44;15;45;12;11;32;53;19;52;15;23;67
52;26;13;11;34;12;12;30;45;17;43;13;21;40
45;28;12;9;16;7;8;28;21;14;32;9;17;41
52;24;14;7;18;8;7;28;43;12;41;13;15;56
53;26;17;15;32;13;16;27;37;15;42;14;23;73
53;29;10;17;23;13;15;32;51;19;48;16;21;85
53;23;12;12;15;11;17;28;20;15;19;8;19;59
56;28;29;11;43;13;22;31;32;15;40;15;21;58
54;32;46;15;48;13;21;32;51;19;50;16;23;92
50;22;17;8;18;12;14;25;16;14;32;14;17;69
50;29;25;14;35;15;20;26;36;16;31;8;15;56
53;25;17;12;30;13;17;29;40;17;40;13;22;78
45;21;16;12;15;11;17;29;36;19;29;10;16;58
56;32;22;15;32;11;13;31;46;20;51;14;24;78
53;31;14;16;29;11;17;32;43;19;42;13;22;67
46;22;28;14;20;5;15;32;41;13;29;15;18;69
46;30;18;14;23;11;11;29;33;13;36;8;16;53
50;18;13;8;14;11;12;19;23;11;31;12;17;55
47;17;10;5;11;8;7;18;19;9;8;10;13;53
56;27;11;15;22;13;14;30;47;20;45;15;24;67
46;27;13;13;22;12;13;28;36;17;46;11;20;62
45;21;23;14;27;13;20;31;48;19;44;11;24;59
46;19;17;4;19;10;13;28;36;16;29;10;15;46
47;31;9;14;24;11;16;32;42;17;42;11;20;58
52;26;16;12;30;14;16;27;29;20;41;15;21;92
52;24;15;12;30;14;14;31;45;18;49;13;23;48
56;21;22;12;25;12;15;29;37;14;46;14;18;65
48;28;22;13;19;11;8;32;48;18;43;15;19;67
49;25;16;13;18;15;15;27;48;13;45;15;18;59
55;32;8;13;23;11;17;29;35;18;36;11;19;39
45;22;15;12;20;9;14;25;21;15;21;9;16;47
45;32;16;14;30;11;17;25;26;17;39;13;19;51
48;31;6;8;13;7;13;29;32;15;23;7;16;43
58;19;14;12;23;11;10;28;15;10;34;11;7;65
55;20;16;7;14;9;9;21;11;13;20;13;13;39
48;20;15;5;13;8;7;21;14;3;17;10;7;33
52;14;6;3;9;4;8;18;19;20;18;12;20;34
58;20;11;5;25;9;7;26;16;10;23;12;12;35
50;13;12;5;11;10;9;21;18;10;19;10;9;32
58;22;19;11;35;10;17;23;44;18;46;13;19;44
49;14;13;7;5;5;7;17;16;12;19;12;15;31
56;24;17;9;16;11;10;29;35;17;40;14;19;44
50;7;14;4;10;5;5;19;15;13;14;13;17;27
49;20;18;3;14;6;6;11;12;6;8;9;5;29
46;15;14;8;23;14;12;25;18;14;30;12;16;47
57;26;14;9;23;15;9;28;15;14;24;12;9;35
44;12;9;7;14;9;14;13;13;7;17;9;7;32
41;16;14;9;10;11;9;22;17;9;23;8;13;36
58;17;9;11;28;8;13;29;13;12;29;12;15;38
60;31;19;11;27;11;16;31;31;17;38;13;22;42
40;12;14;3;17;6;6;16;13;6;17;10;9;27
37;7;4;6;4;5;4;13;13;6;14;9;11;60
45;12;5;5;9;7;7;15;13;12;20;12;11;28
60;17;18;9;14;7;6;32;36;13;32;13;12;33
52;18;13;9;24;10;16;25;15;12;26;11;10;55
46;20;12;4;17;8;8;28;22;17;38;14;20;29
60;23;16;9;25;11;14;29;26;17;38;16;22;46
60;17;11;10;15;10;14;11;13;7;16;9;13;33
59;7;16;11;10;6;10;15;14;9;14;8;10;32
52;29;20;8;37;13;13;28;46;12;42;13;15;47
60;29;13;12;17;12;16;29;25;17;32;13;19;90
56;21;12;12;17;9;14;23;26;16;34;10;20;61
54;18;28;9;14;12;16;27;42;18;37;11;15;36
61;13;12;8;16;7;11;28;15;15;18;7;15;35
61;29;18;12;22;11;14;30;25;17;39;13;19;48
51;17;15;5;11;10;11;32;43;14;44;15;21;35
49;19;17;7;16;3;6;27;27;18;43;15;20;35
52;22;13;10;20;11;14;22;14;9;21;9;7;35
55;25;13;12;16;10;14;26;17;6;31;13;9;35
60;28;10;10;22;12;15;28;15;15;30;11;17;45
43;14;9;5;15;5;6;16;16;12;14;10;14;33
55;14;7;9;15;9;12;18;15;16;22;11;16;42
52;18;11;9;15;8;12;23;23;15;40;13;18;32
56;26;24;13;25;9;10;17;7;3;13;6;5;40
56;24;11;11;28;14;17;27;14;15;40;12;21;42
47;20;19;9;25;12;8;26;24;13;35;11;17;46
56;17;18;8;17;5;9;24;17;10;19;10;15;39
52;28;15;13;27;9;15;31;16;16;22;12;18;69
51;23;14;11;23;8;11;31;37;17;42;14;18;36
51;7;13;6;11;7;6;12;8;14;22;10;16;35
53;15;15;8;18;8;11;29;32;12;28;10;14;34
50;26;11;14;23;10;11;30;22;16;40;14;17;32
59;16;10;8;21;9;12;25;22;14;31;10;18;38
53;14;12;7;9;9;5;22;28;9;30;9;10;32
55;15;10;7;9;6;11;24;20;14;27;9;9;34
57;6;13;2;8;7;7;18;6;4;0;1;4;35
58;16;5;5;8;6;9;13;14;11;11;9;16;34
44;10;12;4;9;10;11;13;15;3;8;3;5;28
39;14;12;4;5;7;5;13;11;8;19;10;8;29
53;21;17;12;16;10;13;27;20;14;29;15;16;37
52;23;10;9;9;7;6;21;16;11;20;9;9;32
57;25;11;10;19;11;13;28;29;20;25;16;19;35
40;11;10;7;14;4;8;16;22;11;21;9;9;35
47;16;13;7;7;6;9;22;13;4;18;11;9;32
51;25;19;11;24;12;8;26;20;15;24;11;13;47
48;11;7;4;14;3;13;11;12;8;27;11;10;35
49;15;16;6;9;4;7;20;16;7;17;10;5;35
50;12;8;5;17;8;10;18;19;12;13;12;17;30
53;10;13;4;13;7;8;19;16;9;16;7;11;35
52;13;15;8;19;8;9;21;11;8;16;7;11;39
51;19;12;9;17;8;12;27;16;12;27;11;16;39
52;20;16;12;22;11;17;25;19;14;26;11;15;36
46;13;3;3;1;4;4;24;11;10;13;11;13;27
51;21;19;12;25;13;14;24;15;11;25;8;14;45
47;19;12;13;27;8;11;24;14;15;21;7;13;28
51;25;13;12;21;12;16;31;16;15;25;11;18;40
54;8;20;5;8;7;6;14;13;11;11;8;10;47
54;12;4;9;4;7;6;17;13;10;12;9;8;36
57;24;11;10;28;12;11;30;24;18;26;14;16;39
53;17;12;8;9;5;11;26;13;11;20;10;15;39
50;20;16;8;18;9;13;28;25;15;15;9;12;43
57;28;23;16;33;14;11;26;25;16;42;14;11;69
58;31;30;12;44;14;17;32;43;16;44;11;13;69
58;28;29;9;33;14;8;29;44;9;44;15;10;38
53;19;19;14;24;11;16;21;13;9;31;10;16;39
49;20;17;7;13;9;10;30;15;6;21;10;9;30
51;10;1;2;2;4;0;13;0;0;0;0;0;34
58;22;13;9;13;10;9;18;18;11;13;11;8;36
51;18;12;4;10;5;9;17;10;8;14;5;10;48
53;21;17;9;18;9;11;28;15;9;19;12;9;49
56;29;17;17;32;10;20;30;33;17;38;12;20;49
51;19;11;10;19;8;7;22;19;11;39;11;21;37
47;23;12;11;14;11;13;29;15;13;22;14;16;45
54;23;14;12;23;8;15;28;41;16;35;16;22;46
54;17;15;6;15;4;11;24;30;13;42;17;20;32
46;22;14;7;15;3;14;29;24;18;36;13;23;30
52;20;15;14;19;5;13;27;45;16;38;17;22;35
48;24;18;5;21;9;11;23;17;10;16;15;9;36
49;17;21;7;23;9;4;13;14;13;35;15;13;45
58;14;7;3;17;13;6;22;15;11;23;13;9;59
46;18;13;10;11;7;9;22;14;13;23;10;13;42
57;27;19;11;20;10;15;27;19;8;29;12;11;41
48;27;12;15;23;11;16;27;17;13;27;13;10;39
52;23;8;9;16;12;8;20;16;13;23;10;12;94
57;29;17;12;24;12;16;31;32;12;17;9;10;55
46;18;9;10;12;9;14;24;18;11;13;8;10;28
55;14;12;8;14;11;11;27;40;18;35;16;21;32
44;8;11;6;10;6;9;31;23;15;18;10;13;28
56;26;15;12;29;11;12;25;23;13;40;12;16;59
44;14;14;12;10;10;12;25;23;16;26;13;12;27
59;28;17;12;27;10;11;31;46;19;29;16;20;61
48;16;8;8;9;8;8;24;11;9;11;8;7;35
56;22;17;11;23;14;13;30;20;17;38;13;21;58
58;20;18;8;26;11;10;30;44;12;40;13;21;59
53;15;11;2;8;10;5;18;19;10;14;6;8;34
53;26;16;8;14;10;9;28;13;12;18;10;11;41
65;15;16;5;24;12;12;22;15;12;26;11;19;44
46;15;5;5;4;9;4;15;13;10;10;8;11;41
49;19;12;12;16;13;15;28;16;14;36;14;16;59
55;21;40;8;36;9;10;27;49;13;47;9;17;53
46;20;9;6;17;10;11;29;13;12;23;12;8;31
58;30;55;19;52;15;23;31;54;19;54;15;23;78
47;18;13;9;20;8;11;28;34;17;33;11;18;43
53;26;25;14;36;13;13;30;44;19;43;15;23;90
51;30;15;8;12;10;10;30;33;12;45;12;20;49
49;17;16;12;15;8;15;25;26;15;20;12;11;43
43;16;13;6;11;8;9;22;19;10;10;9;7;30
60;23;16;9;33;14;16;29;35;18;50;13;23;69
51;21;11;10;27;10;12;25;32;17;47;11;19;65
