	Latitude	Longitude	Code Postal	Code INSEE	Code Région	Nom Ville	MAJ
50.066667	1.683333	80210	80004	11	Acheux-en-Vimeu	ACHEUX EN VIMEU:Acheux en Vimeu
50.383333	2.883333	62320	62003	31	Acheville	ACHEVILLE
47.566667	5.6	70180	70003	72	Achey	ACHEY
50.266667	2.766667	62217	62004	31	Achicourt	ACHICOURT
50.133333	2.783333	62121	62005	31	Achiet-le-Grand	ACHIET LE GRAND:Achiet le Grand
50.116667	2.75	62121	62006	31	Achiet-le-Petit	ACHIET LE PETIT:Achiet le Petit
47.116667	3.666667	58110	58001	26	Achun	ACHUN
49.566667	1.95	60690	60004	22	Achy	ACHY
48.966667	2.066667	78260	78005	11	Achères	ACHERES:Acheres:
48.35	2.566667	77760	77001	11	Achères-la-Forêt	ACHERES LA FORET:Achères la Forêt:Acheres la Foret:Acheres-la-Foret:
48.133333	-1.533333	35690	35001	53	Acigné	ACIGNE:Acigne:
49.166667	0.7	27800	27001	23	Aclou	ACLOU
48.766667	1.1	27570	27002	23	Acon	ACON
50.35	2.65	62144	62007	31	Acq	ACQ
49.608333	-1.75	50440	50001	25	Acqueville	ACQUEVILLE
49.166667	1.183333	27400	27003	23	Acquigny	ACQUIGNY
49.35	3.416667	2200	2003	22	Acy	ACY
49.5	4.333333	8300	8001	21	Acy-Romance	ACY ROMANCE:Acy Romance
49.1	2.966667	60620	60005	22	Acy-en-Multien	ACY EN MULTIEN:Acy en Multien
49	6.433333	57580	57007	41	Adaincourt	ADAINCOURT
48.716667	1.65	78113	78006	11	Adainville	ADAINVILLE
47.3	6.366667	25360	25006	43	Adam-lès-Passavant	ADAM LES PASSAVANT:Adam lès Passavant:Adam les Passavant:Adam-les-Passavant:
47.166667	6.4	25530	25007	43	Adam-lès-Vercel	ADAM LES VERCEL:Adam lès Vercel:Adam les Vercel:Adam-les-Vercel:
48.9	7.2	67320	67002	73	Adamswiller	ADAMSWILLER
42.966667	-0.083333	65260	65001	72	Adast	ADAST
49	6.616667	57380	57008	41	Adelange	ADELANGE
46.683333	-0.316667	79200	79002	74	Adilly	ADILLY
50.183333	2.7	62116	62009	31	Adinfer	ADINFER
43.533333	3.433333	34230	34002	91	Adissan	ADISSAN
47.766667	2.8	45230	45001	24	Adon	ADON
46.25	0.8	86430	86001	11	Adriers	ADRIERS
43.133333	-0.033333	65100	65002	72	Adé	ADE:Ade:
41.983333	8.8	20167	20001	94	Afa	AFA
45.516667	1.75	19260	19001	74	Affieux	AFFIEUX
49.266667	5.766667	54800	54004	41	Affléville	AFFLEVILLE:Affleville:
45.833333	4.4	69170	69001	82	Affoux	AFFOUX
48.466667	6.166667	54740	54005	41	Affracourt	AFFRACOURT
50.683333	2.066667	62380	62010	31	Affringues	AFFRINGUES
43.366667	0.883333	31230	31001	72	Agassac	AGASSAC
43.433333	6.85	83530	83920	11	Agay	AGAY
43.316667	3.466667	34300	34003	91	Agde	AGDE
43.333333	2.85	34210	34004	91	Agel	AGEL
44.2	0.633333	47000	47001	72	Agen	AGEN
44.366667	2.683333	12630	12001	73	Agen-d'Aveyron	AGEN D AVEYRON:Agen d'Aveyron
47.133333	4.983333	21700	21001	26	Agencourt	AGENCOURT
50.166667	2.1	80370	80005	11	Agenville	AGENVILLE
50.166667	1.916667	80150	80006	11	Agenvillers	AGENVILLERS
48.116667	5.35	52340	52001	72	Ageville	AGEVILLE
47.283333	4.766667	21410	21002	26	Agey	AGEY
42.1	9.4	20270	20002	94	Aghione	AGHIONE
48.733333	6.233333	54770	54006	41	Agincourt	AGINCOURT
44.483333	0.333333	47350	47002	72	Agmé	AGME:Agme:
44.65	0.366667	47800	47003	72	Agnac	AGNAC
45.35	3.466667	43100	43001	72	Agnat	AGNAT
49.116667	-1.1	50180	50002	25	Agneaux	AGNEAUX
49.383333	2.383333	60600	60007	22	Agnetz	AGNETZ
50.3	2.666667	62161	62011	31	Agnez-lès-Duisans	AGNEZ LES DUISANS:Agnez lès Duisans:Agnez les Duisans:Agnez-les-Duisans:
49.716667	3.95	2340	2004	22	Agnicourt-et-Séchelles	AGNICOURT ET SECHELLES:Agnicourt et Séchelles:Agnicourt et Sechelles:Agnicourt-et-Sechelles:
45.333333	4.866667	38150	38003	82	Agnin	AGNIN
49.716667	1.9	80290	80007	11	Agnières	AGNIERES:Agnieres:
44.7	5.883333	5250	5002	72	Agnières-en-Dévoluy	AGNIERES EN DEVOLUY:Agnières en Dévoluy:Agnieres en Devoluy:Agnieres-en-Devoluy:
43.166667	-0.616667	64400	64007	72	Agnos	AGNOS
50.266667	2.766667	62217	62013	31	Agny	AGNY
49.041667	-1.575	50230	50003	25	Agon-Coutainville	AGON COUTAINVILLE:Agon Coutainville
45.283333	0.75	24460	24002	72	Agonac	AGONAC
46.6	3.15	3210	3002	83	Agonges	AGONGES
45.883333	-0.733333	17350	17001	54	Agonnay	AGONNAY
43.916667	3.75	34190	34005	91	Agonès	AGONES:Agones:
43.033333	-0.066667	65400	65004	72	Agos-Vidalos	AGOS VIDALOS:Agos Vidalos
45.783333	0.333333	16110	16003	54	Agris	AGRIS
45.383333	-0.466667	17500	17002	54	Agudelle	AGUDELLE
44.15	3.1	12520	12002	73	Aguessac	AGUESSAC
49.4	3.966667	2190	2005	22	Aguilcourt	AGUILCOURT
43.533333	1.916667	81470	81001	11	Aguts	AGUTS
49.25	-0.766667	14400	14003	25	Agy	AGY
43.15	-1.166667	64220	64008	72	Ahaxe-Alciette-Bascassan	AHAXE ALCIETTE BASCASSAN:Ahaxe Alciette Bascassan
43.4	-1.566667	64210	64009	72	Ahetze	AHETZE
48.016667	-0.883333	53940	53001	52	Ahuillé	AHUILLE:Ahuille:
46.083333	2.05	23150	23001	74	Ahun	AHUN
47.366667	5.033333	21121	21003	26	Ahuy	AHUY
48.283333	6.2	88500	88002	11	Ahéville	AHEVILLE:Aheville:
50.233333	4.1	59149	59003	31	Aibes	AIBES
47.55	6.7	25750	25008	43	Aibre	AIBRE
46.283333	-0.416667	79230	79003	74	Aiffres	AIFFRES
44.066667	4.316667	30700	30001	91	Aigaliers	AIGALIERS
49.783333	4.783333	8090	8003	21	Aiglemont	AIGLEMONT
46.95	5.816667	39110	39006	43	Aiglepierre	AIGLEPIERRE
49	1.416667	27120	27004	23	Aigleville	AIGLEVILLE
43.85	6.916667	6910	6001	93	Aiglun	AIGLUN
43.7	0.083333	32290	32001	91	Aignan	AIGNAN
47.666667	4.733333	21510	21004	26	Aignay-le-Duc	AIGNAY LE DUC:Aignay le Duc
43.333333	2.816667	34210	34006	91	Aigne	AIGNE
49.316667	-0.916667	14710	14004	25	Aignerville	AIGNERVILLE
43.316667	1.6	31550	31002	72	Aignes	AIGNES
45.45	0.15	16190	16004	54	Aignes-et-Puypéroux	AIGNES ET PUYPEROUX:Aignes et Puypéroux:Aignes et Puyperoux:Aignes-et-Puyperoux:
50.033333	1.616667	80210	80008	11	Aigneville	AIGNEVILLE
49.033333	4.216667	51150	51003	21	Aigny	AIGNY
48.066667	0.116667	72650	72001	52	Aigné	AIGNE:Aigne:
46.316667	-0.25	79370	79004	74	Aigonnay	AIGONNAY
45.9	0.016667	16140	16005	54	Aigre	AIGRE
43.566667	1.6	31280	31003	72	Aigrefeuille	AIGREFEUILLE
46.116667	-0.933333	17290	17003	54	Aigrefeuille-d'Aunis	AIGREFEUILLE D AUNIS:Aigrefeuille d'Aunis
47.066667	-1.4	44140	44002	52	Aigrefeuille-sur-Maine	AIGREFEUILLE SUR MAINE:Aigrefeuille sur Maine
47.716667	3.883333	89800	89002	11	Aigremont	AIGREMONT
45.533333	5.816667	73610	73001	11	Aiguebelette-le-Lac	AIGUEBELETTE LE LAC:Aiguebelette le Lac
45.533333	6.3	73220	73002	11	Aiguebelle	AIGUEBELLE
45.5	6.5	73260	73003	11	Aigueblanche	AIGUEBLANCHE
43.483333	2.333333	81200	81002	11	Aiguefonde	AIGUEFONDE
46.283333	4.433333	69790	69002	82	Aigueperse	AIGUEPERSE
43.05	1.466667	9240	9001	73	Aigues-Juntes	AIGUES JUNTES:Aigues Juntes
43.566667	4.191667	30220	30003	91	Aigues-Mortes	AIGUES MORTES:Aigues Mortes
43.333333	2.816667	34210	34007	91	Aigues-Vives	VIVES:Aigues Vives
44.783333	6.866667	5470	5003	72	Aiguilles	AIGUILLES
44.3	0.35	47190	47004	72	Aiguillon	AIGUILLON
43.766667	6.25	83630	83002	11	Aiguines	AIGUINES
46.433333	1.833333	36140	36001	24	Aigurande	AIGURANDE
44.3	4.566667	30760	30005	91	Aiguèze	AIGUEZE:Aigueze:
44.883333	6.45	5340	5900	72	Ailefroide	AILEFROIDE
47.8	2.933333	45230	45002	24	Aillant-sur-Milleron	AILLANT SUR MILLERON:Aillant sur Milleron
47.866667	3.35	89110	89003	11	Aillant-sur-Tholon	AILLANT SUR THOLON:Aillant sur Tholon
44.466667	-0.066667	33124	33002	72	Aillas	AILLAS
45.8	3.95	42130	42002	82	Ailleux	AILLEUX
47.583333	6.416667	70110	70005	72	Aillevans	AILLEVANS
48.25	4.683333	10200	10002	21	Ailleville	AILLEVILLE
47.916667	6.333333	70320	70006	72	Aillevillers-et-Lyaumont	AILLEVILLERS ET LYAUMONT:Aillevillers et Lyaumont
48.35	5.483333	52700	52003	72	Aillianville	AILLIANVILLE
45.616667	6.083333	73340	73004	11	Aillon-le-Jeune	AILLON LE JEUNE:Aillon le Jeune
45.65	6.1	73340	73005	11	Aillon-le-Vieux	AILLON LE VIEUX:Aillon le Vieux
47.75	6.383333	70300	70007	72	Ailloncourt	AILLONCOURT
50.083333	2	80690	80009	11	Ailly-le-Haut-Clocher	AILLY LE HAUT CLOCHER:Ailly le Haut Clocher
48.866667	5.55	55300	55003	41	Ailly-sur-Meuse	AILLY SUR MEUSE:Ailly sur Meuse
49.75	2.366667	80250	80010	11	Ailly-sur-Noye	AILLY SUR NOYE:Ailly sur Noye
49.916667	2.2	80470	80011	11	Ailly-sur-Somme	AILLY SUR SOMME:Ailly sur Somme
43.683333	4.2	30470	30006	91	Aimargues	AIMARGUES
45.55	6.65	73210	73006	11	Aime	AIME
44.216667	6.2	4000	4002	93	Ainac	AINAC
46.716667	2.7	3360	3003	83	Ainay-le-Château	AINAY LE CHATEAU:Ainay le Château:Ainay le Chateau:Ainay-le-Chateau:
46.666667	2.55	18200	18002	24	Ainay-le-Vieil	AINAY LE VIEIL:Ainay le Vieil
43.15	-1.2	64220	64011	72	Aincille	AINCILLE
49.066667	1.783333	95510	95008	11	Aincourt	AINCOURT
49.366667	5.116667	55110	55004	41	Aincreville	AINCREVILLE
48.733333	6	54460	54007	41	Aingeray	AINGERAY
48.2	5.766667	88140	88003	11	Aingeville	AINGEVILLE
48.45	5.283333	52230	52004	72	Aingoulaincourt	AINGOULAINCOURT
43.266667	-0.933333	64130	64012	72	Ainharp	AINHARP
43.2	-1.15	64220	64013	72	Ainhice-Mongelos	AINHICE MONGELOS:Ainhice Mongelos
48	5.833333	88320	88004	11	Ainvelle	AINVELLE
49.966667	1.95	80270	80013	11	Airaines	AIRAINES
49.1	-0.15	14370	14005	25	Airan	AIRAN
49.483333	4.166667	8190	8004	21	Aire	AIRE
43.7	-0.266667	40800	40001	72	Aire-sur-l'Adour	AIRE SUR L ADOUR:Aire sur l'Adour
50.633333	2.4	62120	62014	31	Aire-sur-la-Lys	AIRE SUR LA LYS:Aire sur la Lys
49.216667	-1.083333	50680	50004	25	Airel	AIREL
49.433333	2.416667	60600	60008	22	Airion	AIRION
50.433333	1.666667	62180	62015	31	Airon-Notre-Dame	AIRON NOTRE DAME:Airon Notre Dame
50.433333	1.666667	62180	62016	31	Airon-Saint-Vaast	AIRON SAINT VAAST:Airon Saint Vaast
43.366667	1.866667	11320	11002	91	Airoux	AIROUX
46.833333	-0.15	79600	79005	74	Airvault	AIRVAULT
47.166667	5.166667	21110	21005	26	Aiserey	AISEREY
47.883333	5.95	70500	70009	72	Aisey-et-Richecourt	AISEY ET RICHECOURT:Aisey et Richecourt
47.75	4.583333	21400	21006	26	Aisey-sur-Seine	AISEY SUR SEINE:Aisey sur Seine
49.933333	3.533333	2110	2006	22	Aisonville-et-Bernoville	AISONVILLE ET BERNOVILLE:Aisonville et Bernoville
47.266667	6.333333	25360	25009	43	Aissey	AISSEY
47.4	4.283333	21390	21007	26	Aisy-sous-Thil	AISY SOUS THIL:Aisy sous Thil
47.65	4.216667	89390	89004	11	Aisy-sur-Armançon	AISY SUR ARMANCON:Aisy sur Armançon:Aisy sur Armancon:Aisy-sur-Armancon:
42.4	9.233333	20244	20003	94	Aiti	AITI
45.566667	6.25	73220	73007	11	Aiton	AITON
50.483333	3.283333	59310	59004	31	Aix	AIX
50.416667	2.7	62160	62019	31	Aix-Noulette	AIX NOULETTE:Aix Noulette
44.716667	5.416667	26150	26001	82	Aix-en-Diois	AIX EN DIOIS:Aix en Diois
50.583333	2	62650	62017	31	Aix-en-Ergny	AIX EN ERGNY:Aix en Ergny
50.483333	1.85	62170	62018	31	Aix-en-Issart	AIX EN ISSART:Aix en Issart
48.216667	3.733333	10160	10003	21	Aix-en-Othe	AIX EN OTHE:Aix en Othe
43.533333	5.433333	13100	13001	93	Aix-en-Provence	AIX EN PROVENCE:Aix en Provence
45.516667	3.533333	63980	63002	83	Aix-la-Fayette	AIX LA FAYETTE:Aix la Fayette
45.7	5.916667	73100	73008	11	Aix-les-Bains	AIX LES BAINS:Aix les Bains
45.8	1.133333	87700	87001	72	Aixe-sur-Vienne	AIXE SUR VIENNE:Aixe sur Vienne
44.716667	4.333333	7530	7003	82	Aizac	AIZAC
48.1	4.9	52120	52005	72	Aizanville	AIZANVILLE
47.1	1.7	36150	36002	24	Aize	AIZE
49.966667	3.05	80240	80014	11	Aizecourt-le-Bas	AIZECOURT LE BAS:Aizecourt le Bas
49.95	2.983333	80200	80015	11	Aizecourt-le-Haut	AIZECOURT LE HAUT:Aizecourt le Haut
45.983333	0.283333	16700	16006	54	Aizecq	AIZECQ
49.483333	3.816667	2820	2007	22	Aizelles	AIZELLES
46.733333	-1.616667	85190	85003	11	Aizenay	AIZENAY
49.433333	0.633333	27500	27006	23	Aizier	AIZIER
43.05	2.15	11300	11003	91	Ajac	AJAC
41.916667	8.733333	20090	20004	94	Ajaccio	AJACCIO
46.2	2	23380	23002	74	Ajain	AJAIN
45.15	1.016667	24210	24004	72	Ajat	AJAT
48.85	6.3	57590	57009	41	Ajoncourt	AJONCOURT
48.983333	0.783333	27410	27007	23	Ajou	AJOU
44.766667	4.516667	7000	7004	82	Ajoux	AJOUX
43.116667	2.1	11240	11004	91	Alaigne	ALAIGNE
47.933333	6.1	70210	70010	72	Alaincourt	ALAINCOURT
48.9	6.35	57590	57010	41	Alaincourt-la-Côte	ALAINCOURT LA COTE:Alaincourt la Côte:Alaincourt la Cote:Alaincourt-la-Cote:
43.183333	2.25	11290	11005	91	Alairac	ALAIRAC
47.016667	5.966667	25330	25010	43	Alaise	ALAISE
43.216667	0.95	31420	31005	72	Alan	ALAN
42.3	9.283333	20212	20005	94	Alando	ALANDO
41.95	8.75	20167	20006	94	Alata	ALATA
43.9	2.466667	81250	81003	11	Alban	ALBAN
44.883333	3.266667	48200	48002	91	Albaret-Sainte-Marie	ALBARET SAINTE MARIE:Albaret Sainte Marie
44.866667	3.15	48310	48001	91	Albaret-le-Comtal	ALBARET LE COMTAL:Albaret le Comtal
44.466667	1.233333	46140	46001	73	Albas	ALBAS
44.05	1.283333	82290	82001	11	Albefeuille-Lagarde	ALBEFEUILLE LAGARDE:Albefeuille Lagarde
45.783333	5.95	73410	73010	11	Albens	ALBENS
45.1	2.883333	15300	15025	83	Albepierre-Bredons	ALBEPIERRE BREDONS:Albepierre Bredons
50	2.65	80300	80016	11	Albert	ALBERT
42.316667	8.983333	20224	20007	94	Albertacce	ALBERTACCE
45.683333	6.383333	73200	73011	11	Albertville	ALBERTVILLE
48.933333	6.85	57670	57011	41	Albestroff	ALBESTROFF
43.933333	2.15	81990	81004	11	Albi	ALBI
44.766667	1.816667	46500	46002	73	Albiac	ALBIAC
44.083333	1.45	82350	82002	11	Albias	ALBIAS
45.216667	6.333333	73300	73013	11	Albiez-Montrond	ALBIEZ MONTROND:Albiez Montrond
45.216667	6.35	73300	73012	11	Albiez-le-Jeune	ALBIEZ LE JEUNE:Albiez le Jeune
45.133333	1.683333	19190	19003	74	Albignac	ALBIGNAC
45.816667	4.45	69250	69003	82	Albigny-sur-Saône	ALBIGNY SUR SAONE:Albigny sur Saône:Albigny sur Saone:Albigny-sur-Saone:
43.45	2.533333	81240	81005	11	Albine	ALBINE
43.75	6.016667	4550	4003	93	Albiosc	ALBIOSC
41.85	8.933333	20128	20008	94	Albitreccia	ALBITRECCIA
42.95	2.483333	11330	11007	91	Albières	ALBIERES:Albieres:
42.766667	1.7	9310	9004	73	Albiès	ALBIES:Albies:
45.233333	4.866667	26140	26002	82	Albon	ALBON
44.95	4.733333	7440	7007	82	Alboussière	ALBOUSSIERE:Alboussiere:
45.133333	1.833333	19380	19004	74	Albussac	ALBUSSAC
48.35	7.316667	67220	67003	73	Albé	ALBE:Albe:
43.1	-1.433333	64430	64016	72	Aldudes	ALDUDES
50.783333	1.883333	62850	62020	31	Alembon	ALEMBON
48.433333	0.083333	61000	61001	25	Alençon	ALENCON:Alencon:
43	2.266667	11580	11008	91	Alet-les-Bains	ALET LES BAINS:Alet les Bains
50.516667	1.816667	62650	62021	31	Alette	ALETTE
42.9	1.266667	9320	9005	73	Aleu	ALEU
45.883333	6.233333	74290	74003	72	Alex	ALEX
48.233333	-0.766667	53240	53002	52	Alexain	ALEXAIN
44.5	4.95	26770	26003	82	Aleyrac	ALEYRAC
48.8	2.416667	94140	94002	11	Alfortville	ALFORTVILLE
42.616667	8.866667	20220	20010	94	Algajola	ALGAJOLA
43.6	1.883333	81470	81006	11	Algans	ALGANS
48	7.566667	68600	68001	72	Algolsheim	ALGOLSHEIM
49.35	6.05	57440	57012	41	Algrange	ALGRANGE
43.466667	3.35	34290	34009	91	Alignan-du-Vent	ALIGNAN DU VENT:Alignan du Vent
49.4	4.35	8310	8005	21	Alincourt	ALINCOURT
50.733333	1.8	62142	62022	31	Alincthun	ALINCTHUN
47.533333	4.483333	21150	21008	26	Alise-Sainte-Reine	ALISE SAINTE REINE:Alise Sainte Reine
44.716667	4.616667	7210	7008	82	Alissas	ALISSAS
45.916667	4.65	69380	69004	82	Alix	ALIX
44.966667	5.033333	26300	26004	82	Alixan	ALIXAN
49.316667	1.183333	27460	27008	23	Alizay	ALIZAY
46.583333	5.583333	39270	39007	43	Alièze	ALIEZE:Alieze:
48.55	5.916667	54170	54008	41	Allain	ALLAIN
49.95	2.95	80200	80017	11	Allaines	ALLAINES
48.716667	1.3	28500	28003	24	Allainville	ALLAINVILLE
48.458333	1.9	78660	78009	11	Allainville-aux-Bois	ALLAINVILLE AUX BOIS:Allainville aux Bois
48.233333	2.05	45480	45003	24	Allainville-en-Beauce	ALLAINVILLE EN BEAUCE:Allainville en Beauce
47.633333	-2.166667	56350	56001	53	Allaire	ALLAIRE
49.116667	5.766667	54800	54009	41	Allamont	ALLAMONT
48.55	5.816667	54112	54010	41	Allamps	ALLAMPS
44.483333	4.783333	26780	26005	82	Allan	ALLAN
45.233333	2.933333	15160	15001	83	Allanche	ALLANCHE
49.516667	4.566667	8130	8006	21	Alland'huy-et-Sausseuil	ALLAND HUY ET SAUSSEUIL:Alland'huy et Sausseuil
48.483333	7.016667	88110	88005	11	Allarmont	ALLARMONT
45.383333	-0.483333	17150	17005	54	Allas-Bocage	ALLAS BOCAGE:Allas Bocage
45.466667	-0.333333	17500	17006	54	Allas-Champagne	ALLAS CHAMPAGNE:Allas Champagne
44.833333	1.066667	24220	24006	72	Allas-les-Mines	ALLAS LES MINES:Allas les Mines
45.25	1.483333	19240	19005	74	Allassac	ALLASSAC
43.333333	5.483333	13190	13002	93	Allauch	ALLAUCH
43.7	5.166667	13980	13003	93	Alleins	ALLEINS
43.783333	6.016667	4550	4004	93	Allemagne-en-Provence	ALLEMAGNE EN PROVENCE:Allemagne en Provence
44.633333	0.283333	47800	47005	72	Allemans-du-Dropt	ALLEMANS DU DROPT:Allemans du Dropt
48.766667	3.8	51120	51005	21	Allemant	ALLEMANT
50.083333	1.5	80530	80018	11	Allenay	ALLENAY
44.533333	3.666667	48190	48003	91	Allenc	ALLENC
47.533333	6.9	25490	25011	43	Allenjoie	ALLENJOIE
50.533333	2.95	59251	59005	31	Allennes-les-Marais	ALLENNES LES MARAIS:Allennes les Marais
48.666667	7.383333	67310	67004	73	Allenwiller	ALLENWILLER
49.966667	1.9	80270	80019	11	Allery	ALLERY
44.95	3.1	15100	15002	83	Alleuze	ALLEUZE
45.4	6.066667	38580	38006	82	Allevard	ALLEVARD
44.766667	4.916667	26400	26006	82	Allex	ALLEX
44.883333	3.966667	43150	43004	72	Alleyrac	ALLEYRAC
44.9	3.683333	43580	43005	72	Alleyras	ALLEYRAS
45.983333	2.15	23200	23003	74	Alleyrat	ALLEYRAT
44.4	0.616667	47110	47006	72	Allez-et-Cazeneuve	ALLEZ ET CAZENEUVE:Allez et Cazeneuve
48.8	4.883333	51250	51006	21	Alliancelles	ALLIANCELLES
42.816667	1.583333	9400	9006	73	Alliat	ALLIAT
48.583333	4.116667	10700	10004	21	Allibaudières	ALLIBAUDIERES:Allibaudieres:
48.566667	4.883333	52130	52006	72	Allichamps	ALLICHAMPS
43.183333	0.116667	65360	65005	72	Allier	ALLIER
47.45	3.066667	58200	58002	26	Alligny-Cosne	ALLIGNY COSNE:Alligny Cosne
47.2	4.166667	58230	58003	26	Alligny-en-Morvan	ALLIGNY EN MORVAN:Alligny en Morvan
48.316667	-2.866667	22460	22001	53	Allineuc	ALLINEUC
46.333333	6.466667	74200	74005	72	Allinges	ALLINGES
43.033333	1.35	9240	9007	73	Allières	ALLIERES:Allieres:
47.216667	2.316667	18110	18004	24	Allogny	ALLOGNY
47.516667	6.75	25550	25013	43	Allondans	ALLONDANS
45.7	6.366667	73200	73014	11	Allondaz	ALLONDAZ
49.516667	5.566667	54260	54011	41	Allondrelle-la-Malmaison	ALLONDRELLE LA MALMAISON:Allondrelle la Malmaison
46.583333	-0.383333	79130	79007	74	Allonne	ALLONNE
47.966667	0.15	72700	72003	52	Allonnes	ALLONNES
44.2	-0.05	47420	47007	72	Allons	ALLONS
49.933333	2.35	80260	80020	11	Allonville	ALLONVILLE
46	6.116667	74350	74006	72	Allonzier-la-Caille	ALLONZIER LA CAILLE:Allonzier la Caille
44.233333	6.633333	4260	4006	93	Allos	ALLOS
50.533333	2.5	62157	62023	31	Allouagne	ALLOUAGNE
47.166667	2.233333	18500	18005	24	Allouis	ALLOUIS
49.6	0.683333	76190	76001	23	Allouville-Bellefosse	ALLOUVILLE BELLEFOSSE:Allouville Bellefosse
46.033333	0.516667	16490	16007	54	Alloué	ALLOUE:Alloue:
47.033333	3.633333	58110	58004	26	Alluy	ALLUY
48.233333	1.366667	28800	28005	24	Alluyes	ALLUYES
45.158333	3.308333	43380	43006	72	Ally	ALLY
45.2	3.7	43270	43003	72	Allègre	ALLEGRE:Allegre:
44.85	0.866667	24480	24005	72	Allès-sur-Dordogne	ALLES SUR DORDOGNE:Allès sur Dordogne:Alles sur Dordogne:Alles-sur-Dordogne:
45.75	6.083333	74540	74004	72	Allèves	ALLEVES:Alleves:
46.816667	4.95	71380	71004	26	Allériot	ALLERIOT:Alleriot:
44.1	2.166667	81190	81008	11	Almayrac	ALMAYRAC
