decimalLongitude	decimalLatitude	timestamp	pa
93	-2.20589	46.67142	1	1
94	120.5	21.5	1	1
95	1.83409	6.28658	1	1
96	35.5025	-19.6633	1	1
97	-86	29.798	1	1
98	-86.8275	29.6885	1	1
99	-4.85702	48.03826	1	1
100	125.5	5.5	1	1
101	43.72637	-16.43051	2	1
102	-8.521605	51.629721	2	1
103	-8.831844	54.699025	2	1
104	-6.34427	52.248708	2	1
105	-40.23	46.21	2	1
106	33.0301	-29.2078	2	1
107	35.659	-26.86	2	1
108	33.168	-32.336	2	1
109	6.34018	43.00496	2	1
110	13.995	-26.591	2	1
111	13.982	-31.21	2	1
112	-74.95	35.26	2	1
113	25.697	-36.651	2	1
114	-1.62751	46.47587	2	1
115	32.9692	-28.8355	2	1
116	35.367	-21.179	2	1
117	-71.580045	41.369492	2	1
118	35.949	-27.112	2	1
119	-47.46	38.75	2	1
120	35.6843	-23.2154	2	1
121	-6.961	55.295851	2	1
122	24.952	-36.015	2	1
123	39.173	-23.131	2	1
124	6.5	-15.5	2	1
125	-84.6	27.1	2	1
126	137.5	22.5	2	1
127	-30.5	49.5	2	1
128	158.5	-19.5	2	1
129	-5.194411	51.688563	2	1
130	-6.25	49.1167	2	1
131	-63.940513	11.195266	2	1
132	-7.635738	55.317271	2	1
133	-125.5	30.5	2	1
134	-61.011732	10.601342	2	1
135	-9.52094	51.417675	2	1
136	35.079	-20.272	2	1
137	33.309	-27.862	2	1
138	-158.5	22.5	2	1
139	-10.075	51.175	2	1
140	-46.08	43.66	2	1
141	-85.851	29.859	2	1
142	162.5	33.5	2	1
143	-69.324	41.226	2	1
144	-18.5	27.5	2	1
145	19.253	-40.142	2	1
146	-4.18772	47.82502	2	1
147	13.155	-34.046	2	1
148	14.095	-26.386	2	1
149	151.316	-33.733	2	1
150	-95.958333	15.841667	2	1
151	-66.458782	18.469112	2	1
152	-6.31694	50.0011	2	1
153	-1.62756	46.45133	2	1
154	167.5	2.5	2	1
155	-71.33	39.83	2	1
156	-3.352795	54.036459	2	1
157	-71.117	40.517	2	1
158	26.693	-36.203	2	1
159	-100.5	1.5	2	1
160	133.5	7.5	2	1
161	120.5	11.5	2	1
162	-143.5	22.5	2	1
163	-50.5	-29.5	2	1
164	-52.13	43.2	2	1
165	-9.240457	51.475096	2	1
166	-79.68559	32.7978	2	1
167	35.334	-25.837	2	1
168	-81.274	29.8883	2	1
169	-79.88	26.33	2	1
170	143.5	0.5	2	1
171	32.688	-31.461	2	1
172	-3.06927	53.817305	2	1
173	-3.408498	54.103232	2	1
174	-75.75471	36.93138	2	1
175	-72.233	40.815	2	1
176	21.829	-37.09	2	1
177	14.245	-33.105	2	1
178	-2.21221	47.13095	2	1
179	0.8401	6.2833	2	1
180	-63.8894	11.157312	2	1
181	-9.203787	51.477626	2	1
182	-9.224278	51.424053	2	1
183	-98.5	-0.5	2	1
184	156.5	9.5	2	1
185	21.281	-39.757	2	1
186	-164.5	11.5	2	1
187	-76.75	-12.4611	2	1
188	34.065	-32.1105	2	1
189	2.512233	6.361099	2	1
190	-5.76667	50.0667	2	1
191	-1.61994	46.36144	2	1
192	22.016	-38.552	2	1
193	-93.5	-17.5	2	1
194	116.5	11.5	2	1
195	35.4831	-21.295	2	1
196	31.122	-32.609	2	1
197	-47	19	2	1
198	37.838	-20.4694	2	1
199	-2.945847	50.701299	2	1
200	-112.5	-31.5	2	1
201	2.5	-30.5	2	1
202	-9.282293	55.244567	2	1
203	27.878	-36.326	2	1
204	-93	26.3	2	1
205	15.5	-36.5	2	1
206	-90.5	3.5	2	1
207	-48.5	35.5	2	1
208	-53.942871	5.758447	2	1
209	14.954	-31.654	2	1
210	-73.9792	39.3345	2	1
211	-64.7	17	2	1
212	-61.83	39.15	2	1
213	35.277	-21.177	2	1
214	-5.5491	56.1627	2	1
215	173.5	6.5	2	1
216	36.853	-28.208	2	1
217	43.6924	-17.63244	2	1
218	33.0732	-26.0885	2	1
219	35.216	-20.447	2	1
220	-9.234694	51.45093	2	1
221	-75.144	37.382	2	1
222	-90.5	26.28	2	1
223	31.145	-30.303	2	1
224	169.5	36.5	2	1
225	14.502	-38.577	2	1
226	152.101111	-24.498333	2	1
227	35.914	-26.91	2	1
228	-85.947	30.027	2	1
229	12.375	-36.277	2	1
230	15.17	-30.365	2	1
231	35.6	-19.592	2	1
232	-40.5	-31.5	2	1
233	-104.5	-10.5	2	1
234	33.48	-27.535	2	1
235	166.5	-0.5	2	1
236	13.448	-28.241	2	1
237	128.5	8.5	2	1
238	13.329	-34.271	2	1
239	158.5	-7.5	2	1
240	-155.5	7.5	2	1
241	25.901	-35.888	2	1
242	-80.571834	30.299115	2	1
243	35.382	-28.54	2	1
244	35.595	-26.797	2	1
245	-48	15	2	1
246	32.712	-28.316	2	1
247	-82.5	-24.5	2	1
248	-8.23	51.75	2	1
249	35.805	-19.3274	2	1
250	32.201	-31.716	2	1
251	33.197	-27.643	2	1
252	-79	31	2	1
253	33.145	-27.625	2	1
254	32.76034	-27.44303	2	1
255	141.7597	-38.2735	2	1
256	32.9394	-26.5231	2	1
257	-6.69667	52.0883	2	1
258	33.014	-27.989	2	1
259	23.703	-35.808	2	1
260	-116.5	0.5	2	1
261	35.145	-34.221	2	1
262	152.339575	-32.620672	2	1
263	49.5576	-38.6881	2	1
264	-52.8	43.21	2	1
265	18.379	-37.473	2	1
266	34.988	-25.579	2	1
267	-127.5	33.5	2	1
268	-1.7639	46.5198	2	1
269	-4.855453	54.634104	2	1
270	-1.48271	46.27673	2	1
271	-73.73	20.41	2	1
272	25.347	-38.406	2	1
273	155.5	9.5	2	1
274	-48.33	13.35	2	1
275	25.616	-38.52	2	1
276	-4.8907	55.4466	2	1
277	-120.5	35.5	2	1
278	-6.5	-8.5	2	1
279	36.6834	-37.7072	2	1
280	-1.7639	46.5198	2	1
281	158.5	-15.5	2	1
282	-74.43	37.25	2	1
283	26.76	-36.901	2	1
284	35.522	-34.736	2	1
285	-73.317	38.867	2	1
286	-44.5	40.5	2	1
287	33.615	-27.427	2	1
288	-1.09989	45.3397	2	1
289	157.5	16.5	2	1
290	42.859	-38.153	2	1
291	-58.63	31.5	2	1
292	35.544	-19.526	2	1
293	25.683	-35.41	2	1
294	31.557	-32.572	2	1
295	-27.7	38.53	2	1
296	31.6177	-39.4251	2	1
297	32.83105	-27.37655	2	1
298	-103.5	-36.5	2	1
299	-67.883	42.567	2	1
300	-3.5	-9.5	2	1
301	33.8979	-38.2578	2	1
302	33.54	-38.552	2	1
303	-91.26	26.83	2	1
304	-1.7639	46.5198	2	1
305	-6.9663	57.728	2	1
306	-1.22335	46.28665	2	1
307	47.3682	-39.1869	2	1
308	35.158	-34.38	2	1
309	33.556	-27.708	2	1
310	29.48	-35.207	2	1
311	-68.06	40.15	2	1
312	-74.477	38	2	1
313	-48.41	39.01	2	1
314	-150.5	6.5	2	1
315	33.462	-27.885	2	1
316	-7.89578	45.73152	2	1
317	32.679	-28.44	2	1
318	-7.535844	51.99877	2	1
319	-44.01	45.58	2	1
320	26.148	-37.279	2	1
321	134.5	11.5	2	1
322	36.0165	-36.9179	2	1
323	35.499	-20.57	2	1
324	151.981667	-24.365	2	1
325	-78.5	31.36	2	1
326	-97.5	3.5	2	1
327	144.5	3.5	2	1
328	-3.65028	54.3511	2	1
329	-46.6	42.31	2	1
330	-133.5	26.5	2	1
331	1.5	-4.5	2	1
332	6.39349	42.86827	2	1
333	-47.5	39.5	2	1
334	36.1495	-19.1504	2	1
335	-10.55	51.1	2	1
336	-124.1064	38.7156	2	1
337	13.799	-30.112	2	1
338	-128.5	16.5	2	1
339	-2.58417	57.7014	2	1
340	-43.38	45.7	2	1
341	-122.034302	36.841435	2	1
342	36.801	-26.355	2	1
343	-88.5	-8.5	2	1
344	3.5	-1.5	2	1
345	-89.25	26.51	2	1
346	-90.75	26.28	2	1
347	22.446	-37.446	2	1
348	-77.2333	8.5333	2	1
349	-5.109896	51.774929	2	1
350	-143.5	32.5	2	1
351	35.381	-20.823	2	1
352	-71.91	39.65	2	1
353	24.333	-39.785	2	1
354	3.92588	43.53354	2	1
355	-91.5	-33.5	2	1
356	13.569	-26.014	2	1
357	31.651	-32.239	2	1
358	168.5	31.5	2	1
359	41.664	-35.978	2	1
360	-6.47	36.970001	2	1
361	17.259	-36.884	2	1
362	26.719	-34.703	2	1
363	-6.5	-4.5	2	1
364	32.733	-27.366	2	1
365	27.978	-35.663	2	1
366	-63.920533	11.175155	2	1
367	-1.19082	45.75932	2	1
368	138.61806	-35.54842	2	1
369	-3.95278	54.6558	2	1
370	-74.9658	38.8332	2	1
371	35.51287	-19.20927	2	1
372	5.19932	43.3538	2	1
373	6.585	42.99708	2	1
374	-46.98	41.16	2	1
375	-91.46	26.08	2	1
376	-48	15	2	1
377	-36.5	-20.5	2	1
378	129.5	8.5	2	1
379	148.5	12.5	2	1
380	35.283	-26.167	2	1
381	13.604	-30.297	2	1
382	35.087	-24.737	2	1
383	29.121	-33.671	2	1
384	27.536	-37.022	2	1
385	-45.4	43.78	2	1
386	-6.16889	50.8675	2	1
387	-43.85	45.93	2	1
388	-53.942871	5.758447	2	1
389	-9.52094	51.417675	2	1
390	-9.522125	51.424688	2	1
391	27.816	-37.318	2	1
392	33.196	-26.481	2	1
393	-4.098525	52.578293	2	1
394	1.26	6.13	2	1
395	7.5	-21.5	2	1
396	11.9673	-35.9929	2	1
397	34.1108	-25.6927	2	1
398	-1.20951	46.10681	2	1
399	-71.5216	41.375	2	1
400	28.215	-35.036	2	1
401	33.35	-27.295	2	1
402	-116.5	-5.5	2	1
403	33.40321	-25.32276	2	1
404	9.3875	-34.1652	2	1
405	-3.12222	47.60052	2	1
406	173.5	8.5	2	1
407	-42.36	43.33	2	1
408	-34.73	8.5	2	1
409	35.496	-21.072	2	1
410	13.894	-26.093	2	1
411	-6.82	55.21	2	1
412	-80.68398	30.099887	2	1
413	-4.651145	51.727272	2	1
414	-85.5	-11.5	2	1
415	-101.5	-9.5	2	1
416	32.034	-30.67	2	1
417	-2.2627	47.00893	2	1
418	-86.5	9.5	2	1
419	-71.14539	41.05956	2	1
420	-131.5	-2.5	2	1
421	27.438	-34.999	2	1
422	-80.07	26.3417	2	1
423	34.044	-34.052	2	1
424	-90	26.31	2	1
425	1.5	-4.5	2	1
426	29.929	-33.829	2	1
427	-9.52094	51.417675	2	1
428	-98.5	-35.5	2	1
429	137.86802	-34.78176	2	1
430	-144.5	15.5	2	1
431	-74.505412	35.618351	2	1
432	-41.96	45.41	2	1
433	-85.56	21.26	2	1
434	-44.96	41.6	2	1
435	13.518	-29.664	2	1
436	5.54605	43.07169	2	1
437	-71.451944	41.385556	2	1
438	12.7029	-38.3864	2	1
439	-48.25	44.28	2	1
440	-6.5	-3.5	2	1
441	126.5	5.5	2	1
442	-6.1992	58.5171	2	1
443	35.392	-21.228	2	1
444	25.934	-35.65	2	1
445	-90.5	-8.5	2	1
446	14.832	-31.786	2	1
447	27.39375	-39.22611	2	1
448	33.323	-27.353	2	1
449	-90.5	-5.5	2	1
450	132.332467	-11.151367	2	1
451	12.4959	-33.5686	2	1
452	-50.5	-30.5	2	1
453	-1.20262	46.01689	2	1
454	-75.476586	36.130956	2	1
455	-88.65	27.38	2	1
456	6.5	-6.5	2	1
457	-129.5	37.5	2	1
458	-0.5	-4.5	2	1
459	-1.7639	46.5198	2	1
460	32.738	-27.45	2	1
461	-139.5	33.5	2	1
462	-53.942871	5.758447	2	1
463	9.5	-7.5	2	1
464	-75.383	35.233	2	1
465	-80.612691	30.366138	2	1
466	33.5957	-40.187	2	1
467	32.971	-38.297	2	1
468	35.192	-19.962	2	1
469	35.726	-33.714	2	1
470	177.5	2.5	2	1
471	-123.5	-14.5	2	1
472	34.52	-25.035	2	1
473	-10.20097	53.406717	2	1
474	33.923	-27.408	2	1
475	-47.8	43.91	2	1
476	-40.5	-23.5	2	1
477	33.711	-27.565	2	1
478	-86.8247	29.687	2	1
479	-86.5	6.5	2	1
480	-6.271783	58.496531	2	1
481	-5.470888	54.689808	2	1
482	-70.45217	41.10283	2	1
483	-144.5	27.5	2	1
484	29.347	-34.804	2	1
485	35.7672	-24.2813	2	1
486	-1.61994	46.36144	2	1
487	-96.5	-30.5	2	1
488	24.563	-35.509	2	1
489	-41.5	-27.5	2	1
490	-63.981271	11.010135	2	1
491	133.5	-6.5	2	1
492	-85.967	30.005	2	1
493	-1.21642	46.19673	2	1
494	25.587	-35.66	2	1
495	18.841	-39.598	2	1
496	35.827	-24.78	2	1
497	36.4491	-37.6255	2	1
498	-35.5	-24.5	2	1
499	-43.61	46.4	2	1
500	-118.5	26.5	2	1
