decimalLongitude	decimalLatitude	year	species	pa
142.1721	-10.1847	2	sp2	1
136.6935	-13.630167	2	sp2	1
148.8918	-20.8302	2	sp2	1
152.172243	-32.743427	2	sp2	1
135.96728	-11.873051	2	sp2	1
149.8102	-21.6112	2	sp2	1
141.5993	-12.5741	2	sp2	1
136.25	-11.96	2	sp2	1
148.9876	-20.8948	2	sp2	1
130.377917	-11.169917	2	sp2	1
135.15	-11.7	2	sp2	1
140.4541	-17.6516	2	sp2	1
136.246997	-14.016901	2	sp2	1
130.3467	-12.7167	2	sp2	1
149.3445	-21.4824	2	sp2	1
149.4298	-20.9236	2	sp2	1
132.861667	-11.058333	2	sp2	1
149.859414	-22.002594	2	sp2	1
141.57	-9.52	2	sp2	1
118.5	-20.5	2	sp2	1
149.8455	-21.9868	2	sp2	1
150.189	-22.3222	2	sp2	1
151.94	-24.25	2	sp2	1
150.05	-22.133333	2	sp2	1
140.2958	-17.6897	2	sp2	1
136.089481	-11.751059	2	sp2	1
149.033333	-20.916667	2	sp2	1
136.7817	-14.2283	2	sp2	1
149.471	-21.5233	2	sp2	1
144.25	-14.0667	2	sp2	1
137.541667	-16.166667	2	sp2	1
132.852841	-11.056901	2	sp2	1
141.6545	-13.2012	2	sp2	1
152.4683	-24.8483	2	sp2	1
131.455	-11.345	2	sp2	1
150.1451	-21.9809	2	sp2	1
152.2333	-21.8167	2	sp2	1
143.0333	-11.1167	2	sp2	1
150.091	-22.1789	2	sp2	1
143.025	-10.6417	2	sp2	1
150.2884	-21.7495	2	sp2	1
153.057303	-31.052855	2	sp2	1
151.89	-24.18	2	sp2	1
149.1185	-20.5433	2	sp2	1
150.3521	-21.7331	2	sp2	1
145.9353	-16.633	2	sp2	1
130.07	-11.721667	2	sp2	1
144.4437	-13.976	2	sp2	1
136.385328	-13.283556	2	sp2	1
151.7667	-24.0317	2	sp2	1
136.853333	-14.2975	2	sp2	1
152.4624	-24.8154	2	sp2	1
129.42	-14.466667	2	sp2	1
151.6233	-23.975	2	sp2	1
148.7107	-20.6767	2	sp2	1
135.93	-13.96	2	sp2	1
131.459167	-11.356667	2	sp2	1
149.9099	-21.4832	2	sp2	1
136.328333	-14.243833	2	sp2	1
144.02	-11.6	2	sp2	1
143.3948	-12.75	2	sp2	1
138.5	-15.5	2	sp2	1
142.9333	-11.6	2	sp2	1
150.0893	-22.1793	2	sp2	1
130.045	-11.758333	2	sp2	1
136.873333	-12.091667	2	sp2	1
149.1914	-21.0543	2	sp2	1
139.85	-16.6833	2	sp2	1
131.103	-11.289667	2	sp2	1
144.0167	-11.6	2	sp2	1
132.283	-12.2	2	sp2	1
148.5	-20.5	2	sp2	1
136.933333	-14.1525	2	sp2	1
143.1359	-12.0881	2	sp2	1
136.085833	-11.598333	2	sp2	1
143.3617	-9.7167	2	sp2	1
149.6528	-21.9621	2	sp2	1
139.4472	-16.67	2	sp2	1
134.983333	-12.033333	2	sp2	1
132.46	-11.625	2	sp2	1
149.2925	-21.3219	2	sp2	1
129.36	-14.405	2	sp2	1
135.148333	-11.908333	2	sp2	1
142.636	-10.5995	2	sp2	1
149.8143	-21.6101	2	sp2	1
149.4428	-20.9103	2	sp2	1
133.4	-11.533333	2	sp2	1
148.8986	-20.8214	2	sp2	1
131.098333	-11.291667	2	sp2	1
151.7617	-24.0367	2	sp2	1
143.015	-11.1717	2	sp2	1
149.1648	-21.0029	2	sp2	1
136.486667	-11.805	2	sp2	1
129.883333	-13.456667	2	sp2	1
141.4242	-15.7171	2	sp2	1
139.6067	-17.5067	2	sp2	1
149.2239	-21.0957	2	sp2	1
