"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate3_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 12:44:32 PM"
"BatchStopTime","5/12/2022 1:46:38 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"11(1,A11)","S","121","39","52.5","40","60","42","50","49.5","29","69.5","22","58","37","58.5","76","105.5","31","230","154.5","104.5","67.5","59.5","34","102","42","32","27.5","43","48","45","1803"
"12(1,A12)","S","45.5","35","34.5","32","49","33.5","38","44","26","36","17.5","41","34","46","41","52","27.5","75","64","53","51.5","45","30","50","26.5","29.5","23","35","39","40","1730"
"13(1,B1)","Unknown2","27146","1165","3903","2543","3005.5","878","883","832","10447","1955.5","12190","14227","948","2221","22780","24218.5","967","16251","6475","23472.5","1233","4551.5","9726","22034","1511.5","10146.5","11689","4383","18428","13247","1747"
"14(1,B2)","Unknown10","21520","308","3129","341","2350","431","575.5","117","6613.5","1428","7246.5","10766","666","2163.5","17454","21360","327.5","13888","291.5","19592","930.5","2518","6486","15829","2233","5186","6353","4516","9988","7238.5","1845"
"15(1,B3)","Unknown18","26842","999","1073.5","1344","1393","1274","1342","2035.5","10174","1979","11387.5","14594","395.5","2343","24762","25857","665","13384","2015.5","25166","3782","2790","9158","23411.5","2432","9304","11336.5","7907","18108.5","10646","1643"
"16(1,B4)","Unknown26","23552.5","1576.5","5056","2113","1154","1137.5","694","759","8845","780","10549","13157","933","4094","21637.5","23525","855","16217","14760","22401","1074","1888.5","8716","22100","703","7785","10221","5404","17790","9617","1642"
"17(1,B5)","Unknown34","391","344.5","1893","179","332","329","216","159","105","308.5","165","215","705.5","787","945","1025","141","18177","969","1060","1804","5389.5","113","1438","233","124","172","324","5439","783","1751"
"18(1,B6)","Unknown42","17696","371","1718","207","184","186","209","139.5","3788","184","4519","7377.5","1960","4865","14572","16074","152","19084","3049.5","14101","2929","2587","3748","13778","233.5","3569.5","4759","1924","9951","4179","1707"
"19(1,B7)","Unknown50","21155.5","956","1663","884","1103","462","716.5","184.5","5400","1645","6236","9810","647","4716","17886.5","20458.5","225","5748.5","7505.5","19196","1241","5124","5620","17694.5","1147","5519","6417.5","3001","12880","7121","1978"
"20(1,B8)","Unknown58","20172","568","2685.5","3150","2203","1019.5","1317","170","4967","2571.5","5845","8887","858.5","2873","16852","17882","247","15357.5","996.5","16473","6048","4134","4924","14645.5","5486","3134","4824","3500.5","9126","3783","1780"
"21(1,B9)","Unknown66","25790.5","737.5","2827","470.5","666.5","526","923.5","147","9491","1918.5","11579","14010","974.5","1526","23533","24513.5","200.5","7811","956","24141","2073","2082","9077","21744","3241.5","8604","10602","5667","15204","10870","1740"
"22(1,B10)","Unknown74","23796","608","1713","851.5","1488","501.5","1099","157","6744.5","2636","8006","11678","356","599.5","19918","23607","332","5534.5","2084.5","22253.5","1959","4710","7408","19026.5","256","6233.5","7933","4481","13214.5","8296","1740"
"23(1,B11)","Unknown82","20536","452","1776.5","595","1087","844","1578","171","5658","3578.5","6787","10170","562","1630","14745","19141","243","15601","220","16753","554","4803","5961","15315","840.5","5403","6740","2155","10525.5","6487","1721"
"24(1,B12)","Unknown90","15481","321","1874","615","742","653","699","141.5","3913","1777","4615","7510","556","1530","11515","16449","421","15394.5","181.5","16862","627.5","1274","4353","12460","3195.5","3846.5","4345","2484","7698","6522","1831"
"25(1,C1)","Unknown3","25809","552.5","2884","455","372","972.5","1188","146","8530","2697","10106","13382","581","2334","21278.5","24084","266","17213","2164","22189.5","1415","1085","8814","21167","874","8645.5","10649","3050","17763","11691","1736"
"26(1,C2)","Unknown11","11770","281","1592","376","331","543","2098","281","1683.5","2594.5","2361.5","5528","389","2296.5","7388","13396.5","476","15830","175.5","13338","2576.5","2977","2729","9310","2422","2110","2477","2469","5349.5","3406","1735"
"27(1,C3)","Unknown19","17515","695","1683","782","353","790","1189","150","4068","2904","4560","7721","569.5","1810","14832","20115","209.5","1020.5","602.5","18024","826","549","4481","16046","121","4085.5","5626","4223","9057.5","5042","1791"
"28(1,C4)","Unknown27","25046.5","844","5163","2798","1955.5","864.5","541.5","682","7447","1304","8519.5","12556","1188","3257","19490","23561","644","20965.5","5660","21284","1820","7551","7550","19251","935.5","7511","9464.5","4437","17233.5","11147","1706"
"29(1,C5)","Unknown35","469.5","269","1679","834","118","463.5","329.5","466","99","1028","119","256","221","1263.5","867","1438.5","73","13422","1130.5","1651","791","5368","130","1589","265","161","195","445.5","6148","834","1692"
"30(1,C6)","Unknown43","23827","529.5","1265","380","305","419","891","380","8489","705","10259.5","12548","502","2202.5","21295","22100","1005","4166","536","21765.5","2318","3040","8190","19113","656","7853","9583","5731.5","12909","8835","1707"
"31(1,C7)","Unknown51","25596","1274","2017","812","1338","895.5","1285.5","802","8494","2009","9767","12513","1066.5","2093","22095","23717","955","5488","845","23212","716.5","1837.5","8209.5","21064","842","7853","9622","5299","13954","9466","1704"
"32(1,C8)","Unknown59","6341","324","1008","609","994.5","1087.5","1203.5","1076","1162","2578.5","1346","2473","655","2805","4774","6692","833","13355","843","5402.5","2977","1701","1275","3294","2825","747","780","903","1404","1323","1724"
"33(1,C9)","Unknown67","24644","391","1950","355","963","481.5","844","202.5","6926","2318","8236","11917","842","2799.5","20231","22172.5","595","6103","350","21217.5","2466","1868.5","6641","17237","377","5704.5","8127","4568","13274.5","7694.5","1598"
"34(1,C10)","Unknown75","22441","846.5","2501","825.5","2033.5","1385","377","1636","6952","963","7609","10852","1648","2475","19481","22944","1331","15922","6086.5","21027.5","1136.5","6765.5","6789","18627","2912","6340","8405","4810","15118","8717","1553"
"35(1,C11)","Unknown83","24527","757","2533","1428","706","872","938","211","8007","2449","9164","12632","414.5","1691","22243","23515","230.5","5907","233","22625.5","1798.5","1890","7862.5","21270","3884","7101","9567.5","6698","15003.5","8864","1880"
"36(1,C12)","Unknown91","26856","524","1784","792.5","821","438","346","153","10065.5","1239","11088","13971","909.5","3658","22747.5","24690.5","669.5","18682","5114","23151.5","2358","4183","9752","21042","2204","9550","11236","5889.5","19087","13799","1782"
"37(1,D1)","Unknown4","26795","512","1262","443","357","458.5","374","117","8874","1152","10595","13527","513","694","23126","25025.5","132","12394","1795.5","23673","781","571.5","9012","22538","5568.5","8611","10787.5","4451","18349","11306","1805"
"38(1,D2)","Unknown12","3329","332","1025.5","2030.5","1746","746","1834.5","136","738.5","3151","793","1997","378","1824","2335.5","5616","1528.5","19320","508.5","6073","2771","1414","905","4262.5","1863","780.5","1002","942","1889.5","1416","2023"
"39(1,D3)","Unknown20","25983","690","1610","559","1207","943","793","505","8212.5","1140","9491.5","13621.5","349","1074","21123","24151.5","583","9250.5","367","23221","1479.5","2389","7674","18393.5","6478","5432","6969","7894","11791.5","7183","1627"
"40(1,D4)","Unknown28","18313","1226","2610.5","1614","677","652","558","482","5067","567.5","5790.5","8960.5","1192","1661.5","16329","17838","867","16823","6400","17527","1143","5083","4964","14813","736.5","4452","5432.5","4792","10138.5","6198","1691"
"41(1,D5)","Unknown36","11413","703","4405.5","340","940","475","475.5","169","2544","1381.5","2829.5","4000","564.5","1429","11301.5","10979.5","330.5","16842.5","7365","10296","2162","3036","2063","11279.5","779","2169.5","2926.5","2022.5","8602.5","2453","1639"
"42(1,D6)","Unknown44","12680","255","1021","227","682","358.5","810","123","2304","2157","2827","6233.5","839","2266","8507","12873","864.5","9190","166.5","11562","1946.5","1576","3057","8999.5","1897","2512","2664.5","1203","5924","4818","1767"
"43(1,D7)","Unknown52","12174","720.5","733","199.5","308","264.5","324.5","159.5","2766","550","6625","5405","596","2748","17279","11575","198","14574","10851","10327.5","407","1856","2266.5","10426","349","2036","2663","2354","12727","5229","1685"
"44(1,D8)","Unknown60","14110","374","1509","505","1248","926","1287","249","2429","2268","2994.5","5762.5","281","2223","11047","14004","768","11217","360","13586","2469","2678","2958","11205.5","2494","2080","2872","3254","6758","2598","1726"
"45(1,D9)","Unknown68","10938","1944.5","836","1368.5","774","695","1190.5","261.5","1949","2972.5","2247","4189","670.5","3712","9905","10846","450","11300","15040","9293","2268","681","1973.5","9753","1264","1820.5","2624","1508","8807.5","2069","1722"
"46(1,D10)","Unknown76","23751","816","5369","4049","854","1420.5","1087","236.5","7177","2334.5","8031","11760.5","1395.5","1359","19495","23289","284","12485","3167","21607.5","2453","2813","7419","18826","831","6005.5","8187","5517","15051","6388.5","1654"
"47(1,D11)","Unknown84","4755","245.5","249","236","1077.5","432.5","883.5","115","610","1917","736","1673","674","1383","4000","5942","1028.5","13664.5","623","4179","3292","1639","866","5189.5","471","552.5","831","1226","2283","548","1976"
"48(1,D12)","Unknown92","23939","483.5","4954","841.5","1905","510","605","209","8629","1065","9477","12918.5","882","2400","19397","23659","486","6683.5","248","24326.5","2759","1885","7506","17681","870","7697.5","9287","4990.5","12799","11423.5","1935"
"49(1,E1)","Unknown5","25049","1593","1997.5","635.5","1106","458","840.5","192.5","9260","1510.5","10759","14364","774","3511.5","23469.5","24523.5","703.5","10238","15984","23522","820","496","9195.5","22226.5","1280.5","8718.5","11114","6225","19304.5","12171","1553"
"50(1,E2)","Unknown13","20743","430.5","3761.5","2713","1833","1556","1177","140","3954","1714.5","6500","10685","1270","2152","16027","20729.5","469","8534.5","1234.5","18366","3200","836.5","6113","13700","7303","3356","5228","5172","9762","5222","1854"
"51(1,E3)","Unknown21","24694.5","1837","2366.5","1135","2621","662","913","306","6636","1614","8795","12674","551","2998.5","21251","23937","855","10504","18299","22252","936","1896","7472.5","19514.5","3603","6209","7409","6990","15102.5","8535","1690"
"52(1,E4)","Unknown29","19045","767","1319","375","427","773.5","2447","203","3965","4303","4902","8489","576.5","5360","15680","17756","259.5","7639.5","520","17208","4228","2534","4739.5","14769","2039.5","3063","4775","4034","10199","4166","1607"
"53(1,E5)","Unknown37","3286.5","423.5","929","530","322","651","1432","139.5","399","3301","517","1051","393","648","2485","3300","320.5","8422.5","771.5","3191","1356","1376","472","3832","724","313","468","787","1338.5","382.5","1861"
"54(1,E6)","Unknown45","24050","1025","2085","512","981","449","2948","747","12741","1279","14240.5","14214.5","593","4127","22848","24561","321","17753","2584.5","24478","1525","2576","12012","23608","2300","12885","14473.5","9512.5","21841","15158.5","1594"
"55(1,E7)","Unknown53","29412.5","1182","4815","1207","936.5","873","607.5","193","13427.5","726.5","15229","16952","1370","7360","27128.5","27849.5","890","20580","5046","27523","1241.5","4066","12794.5","26577.5","2951","13384","15783","9917","24316","16757","1790"
"56(1,E8)","Unknown61","20636","516.5","478","564","395","725.5","919","563","5992","2550","7797","10512","589","1091.5","17294","18568.5","442","703.5","564","16819","1416","1875","6033","11893","1187","3881.5","4632.5","3387","8574","6337.5","1740"
"57(1,E9)","Unknown69","21251.5","420.5","1722.5","466.5","372","490","314","145","5277","379","7014","10193","945","2803.5","17764","18991","638","9883.5","1123","17942","1752.5","10170","6092.5","16218.5","1272","5002","6881","2793","12704","6983.5","1750"
"58(1,E10)","Unknown77","24408","316.5","11421.5","615","1279.5","1307.5","213.5","133","7042","280","7953.5","11604","313","2130","20596","22922","201.5","9902.5","220","22555","1438","5349","6591","19169.5","675","5633","7760.5","4692","12576","6553","1713"
"59(1,E11)","Unknown85","7439","604","814","1268.5","370","340","673","136.5","881","1438","1064.5","2192","869.5","992","5745","7509.5","252.5","4174.5","815","7336","999","1540","1053","6470","122","679","1010","1179","2703.5","804.5","1891"
"60(1,E12)","Unknown93","26062","533.5","3779","3340","2228","776.5","757","223.5","8616","1783","9083","12501","1375.5","4320","20715","23923","1208.5","12230","683.5","23491","122.5","4267","7831","19823.5","5516.5","7549.5","9905","6437","12226","8729","1839"
"61(1,F1)","Unknown6","21200","395.5","3523","897","995","575","484","152","6101","889","6602","10297","1326.5","2110.5","15760","19938","497.5","15359","242","19837.5","2233","2240.5","5874","15663","1457","5943.5","7415.5","3180","9349","8044","1726"
"62(1,F2)","Unknown14","14346","554.5","1229","1218.5","1211","292","346.5","118","3456","598","4777","8024","350","2031","11517.5","15234","854","6893","258.5","13903.5","2091.5","3467","4125.5","11708","1638.5","3295.5","4914","2138","8190","5205","1964"
"63(1,F3)","Unknown22","24502","581","2569","308","441","586.5","553","205","7613","1086","8880.5","12388","388.5","1308","18868.5","24306.5","857","5421","304","23300","2908","1531","8294","19546","6257","8420","9617.5","5763.5","15738","13320","1640"
"64(1,F4)","Unknown30","23697","477","1427","298","231","593","1150.5","107","8132","2851","9428.5","12093","452","1002","19428","21723","232","14128","215.5","20428","1301","1918.5","8270","18717","1027.5","7431.5","9157","4355","15615","10818","1659"
"65(1,F5)","Unknown38","63","275","654.5","1075.5","237.5","604","1495","516","73","3222","61.5","95","263.5","726","122","75.5","781.5","16003","183","71","1102","2926","70","176","1600","67","83.5","82","105","88","1720"
"66(1,F6)","Unknown46","25666","461","1819","483","529","560","1242","147","8488","2492","9355","13271","487","6738","22712","24309","167","13056.5","618","23192","1608","2205","7846.5","21456.5","2086","6708","8782","5362","15453","7974","1694"
"67(1,F7)","Unknown54","17514","599","3202.5","3234.5","2148.5","1257","452","350","4190","767","4632","8138","460","2068","14850","18107","1603","4743","791","18811.5","2180","1641","4773.5","15003","1466","4266","5415","4035","8182.5","4302","1653"
"68(1,F8)","Unknown62","45","87.5","105","98","285","137","121","133.5","49","83","44.5","65","316.5","268.5","66","56","87","10718","109","54","379","647.5","50.5","90","142","47","48","58","83","60","1905"
"69(1,F9)","Unknown70","17400","1344","1074","526","242","371","434","302.5","3511","619.5","4868","7484","488","4162.5","13873","15836","868","15574","13837","14825","1371.5","3692.5","4134","12687","3656.5","3029","4026","2363","9207","3207","1507"
"70(1,F10)","Unknown78","22797","699","1910","987.5","1212.5","567","632","188","5885","967.5","6801","10165","444.5","820","19237","21716","1209","11620.5","422","21820","2848.5","6482","6165.5","17629.5","3900","5450","6954","7199","12061","6061.5","1786"
"71(1,F11)","Unknown86","5626.5","263","476","461","278.5","133","95","134","520","113","575","2093.5","697.5","246","2859","6182.5","242","5257","438","4974","517","2693","842.5","5098","79.5","535.5","866.5","966","2179","409","1848"
"72(1,F12)","Unknown94","19628.5","720","1327","331.5","642.5","343","391","255","4283","805","5599","8539","440","2130","16312.5","16973","430.5","14170","9571.5","14467.5","1212","4634","4632","14127","2993.5","3155","4795","2516","10419.5","4620","1924"
"73(1,G1)","Unknown7","25138.5","1011","1899.5","1056.5","993.5","1131.5","1629.5","708.5","8381","3231","9962","13294","343.5","1385","21714","23319","1406","11094.5","2902","22109","2733.5","1162","7755","20011.5","4193","6586","8479","7395","13111","7289","1995"
"74(1,G2)","Unknown15","27901","684","1770","2956","2714","525.5","316","201","10075.5","610","12387","15054","365","1329","24991.5","25870","1009","14934","1588","25534","2002","2929","9471","22748.5","4912","8110","10262.5","7621","16557.5","10326","1977"
"75(1,G3)","Unknown23","23567","2687.5","3462","414","926","655","865","217.5","7176","2178","8416","11922.5","1118","1744","19846","22291","745","7161.5","15918","21388","1277","1237","6869","18364","1832.5","6017.5","7322","4651","12856","8182.5","1795"
"76(1,G4)","Unknown31","23342","660","1899","357.5","766","547","1151","151.5","12434.5","3163.5","13596.5","13129","638","2325.5","21724","23918","1093","14984","4060","22635","2392","1992.5","10917","22757","1960.5","11739","13383","5588.5","20984","14583","1819"
"77(1,G5)","Unknown39","21960.5","355","2282","486","450","540","1124","114.5","5658","2717.5","6799.5","9965","979","1669","17868","18915","895","2406","175","17237","3350","3210","6214","15594.5","1917","5185","6471","3222","11324","4696","1652"
"78(1,G6)","Unknown47","27767.5","707","1711.5","445.5","1026.5","558","1170.5","150.5","10417","2844","12066.5","15110","1151","4751.5","24994.5","25826","354","12435.5","6015","23827","3044.5","8854","9515.5","23266","5912","9110.5","11284","4324.5","17929","10782","1710"
"79(1,G7)","Unknown55","21434","678.5","4258","2188","2506.5","1198.5","868","1757","2677","1722","4021","9620","588.5","1617","13782.5","19554","399.5","16425.5","5970.5","17799.5","3894.5","5688.5","5332","12876","2438.5","2167","2921","5070","8533.5","3306","1797"
"80(1,G8)","Unknown63","24122","987","2361.5","661","277","297","202","181","13324","203","15448","14134.5","514","3846","23570.5","23578","529.5","13727","328.5","22829","3698","3324.5","12425.5","24526","5447","13283","15127","8380","22615","16258","1757"
"81(1,G9)","Unknown71","199","459","1298","2174","2227","565","1008","322","123.5","1583","131.5","168","364.5","1588","356.5","347.5","638","10678","1572","299.5","1741","1526","139","787","1577","104.5","150","334.5","3061","408","1790"
"82(1,G10)","Unknown79","79","218.5","1965","356","149.5","279","460","67.5","48","549","59","67","519","1395","224.5","153","76","2768","2465.5","185","251","1004","56","235","1430","59.5","59.5","134","2631.5","243","1910"
"83(1,G11)","Unknown87","27570","871","2464","329","525.5","436.5","915.5","156","10867","2005","12262","14075","529","4096.5","24357.5","25576","145.5","5641","1026.5","24515","297.5","1573","9752.5","24235","224.5","10173","11981","7816","19459","12414","1908"
"84(1,G12)","Unknown95","21436.5","418.5","1025","287.5","2112.5","565.5","1349","104","5211","3183","6217","10197.5","466","2773.5","14604","19897","1326","9402","196.5","16411.5","2288","1973.5","6371","12503.5","3028","5394","6097","2204","8668.5","6897","1590"
"85(1,H1)","Unknown8","21544","476","2345","196.5","2293.5","362","546","125","5212","1362","6953","10213","363","2105","18862","20229","514","3551","336","18771","2001","1192.5","6181","16749","5447","4899","6051","4682","11358","6533","1840"
"86(1,H2)","Unknown16","27837","987.5","5377.5","862","1975.5","598","704","225","11192","1883","12929.5","15002","1430","4866","23448.5","25869.5","1334","16054","509","24591","2971","2657","10885","22844.5","1928","11164","13216","8642","18064","13326","1685"
"87(1,H3)","Unknown24","21557","519","1038","1011","773","662","1329","107","5123","3062","6556.5","11025","542","2275","17054","21233.5","284","2455","671","20222","1865","2757","6226.5","16133","2166","5395","6737","5504","12014","7552","1860"
"88(1,H4)","Unknown32","313","108.5","957","109","341","230","165","145.5","91","249.5","106","164","1541","396","621","751.5","187","15049","787","767","1604","4838","97","810","1209","108.5","174","261","5830.5","779.5","1764"
"89(1,H5)","Unknown40","7449","343","2220.5","1139.5","759","357","487","93","830","1660.5","935.5","2310","829","1867","5667","11535.5","79.5","16686.5","141","13297","1322","6372","1041","7950","345.5","765","974","1252","2594","1172","1884"
"90(1,H6)","Unknown48","19096","331","1713","453","1044.5","381","612","180","5112.5","1465","6386.5","9349","455","1957.5","16241","18688","323","10763.5","361","17479.5","1527","2830","5219","13934","3097.5","4508","5944","3885.5","9234","6024","1843"
"91(1,H7)","Unknown56","19496","376","1360","1881","1122","1546","1769","559","5101.5","1541.5","6302.5","10077","869.5","4438","15020","18105","672.5","16598.5","212","15961.5","2213","6131.5","5630","13590","2800","4526","5893","1994","10095.5","6762","1879"
"92(1,H8)","Unknown64","17877","476","725.5","391","653","654.5","1028.5","316","4686.5","1984","5576","9534.5","477","782","12478","19603","363","18547","361","19205","1073","2771","5617.5","13171.5","237","5219","5800","3382","8859","8767","1884"
"93(1,H9)","Unknown72","151.5","425","966","479.5","705.5","495","840","144","169","2086","173.5","190","386","791","399","262","200.5","10875","2055","173","1541","7925","181.5","393","4677.5","150","146","263","9862","2756","1621"
"94(1,H10)","Unknown80","25774","679","2903.5","2310","2976","759","2663","162.5","7769","2975","9106","12868","1355","2973","22173","24064.5","843","14485.5","2492","23285","3295","6063","7897","21265","3976.5","6996","9046","6485.5","15378","8696","1981"
"95(1,H11)","Unknown88","9726","159","1770","154","751.5","182","216.5","388.5","1206","198.5","1460","2931.5","377","1154","6998.5","8074.5","109","10082","2355","7140","2286","2864","1413.5","6809","1102","815","1224","792","2897","1187","1910"
"96(1,H12)","Unknown96","26777","1950.5","1968.5","528","1129","601","1047.5","190.5","7829","1973","9785","12382","1053","3177.5","23304.5","24219","1530.5","19477","14554","23588.5","3858","7032","8299.5","21876","1463","7018","9059.5","6653","16684","10129","1830"

"DataType:","Count"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","62","68","63","53","48","54","49","57","39","60","50","65","78","66","65","73","50","49","60","50","47","64","72","55","53","62","58","41","57","55","1723"
"2(1,A2)","S","64","65","68","49","37","44","38","56","46","44","42","53","68","60","53","66","34","54","48","60","53","55","62","58","59","55","48","36","56","53","1584"
"3(1,A3)","S","53","62","71","51","45","51","42","59","52","52","46","59","75","54","56","61","42","46","80","54","52","53","59","67","46","53","52","55","56","65","1669"
"4(1,A4)","S","58","78","75","65","45","67","63","44","63","55","40","48","67","55","73","67","55","53","76","77","63","66","55","57","92","79","52","48","58","49","1843"
"5(1,A5)","S","59","65","60","67","65","67","46","50","80","55","49","63","71","61","68","73","54","45","57","72","50","54","66","71","67","58","56","60","77","69","1855"
"6(1,A6)","S","78","67","73","48","56","57","39","71","56","52","43","61","100","60","64","67","35","58","82","57","58","55","57","65","57","70","52","53","60","62","1813"
"7(1,A7)","S","59","66","81","56","51","52","50","57","80","54","42","56","69","67","73","69","28","53","51","47","47","61","71","54","63","70","77","40","48","57","1749"
"8(1,A8)","S","57","61","86","56","52","62","48","52","53","67","48","49","62","56","68","70","31","37","56","65","46","44","71","48","61","62","56","50","58","68","1700"
"9(1,A9)","S","60","67","58","57","54","67","45","49","55","53","47","57","71","51","64","67","52","40","56","65","67","45","71","53","67","57","53","53","55","81","1737"
"10(1,A10)","S","59","63","86","45","59","64","41","53","63","52","47","53","59","59","72","52","47","50","57","51","52","49","67","57","68","57","52","44","47","58","1683"
"11(1,A11)","S","53","63","70","62","43","71","59","60","62","40","55","55","81","58","66","74","32","49","64","64","48","64","61","69","83","64","52","51","64","66","1803"
"12(1,A12)","S","42","50","62","64","59","56","60","69","53","51","44","62","64","63","61","69","36","64","65","71","60","51","58","68","60","48","55","53","55","57","1730"
"13(1,B1)","Unknown2","63","56","82","55","60","57","47","51","55","64","37","67","60","68","73","62","39","57","54","56","54","40","79","64","48","76","65","53","51","54","1747"
