row,col,position,cell,compound,concentration,type,dilution
D,24,D24,hepg2,drug2,C3,untreated,10
E,1,E01,hepg2,drug3,B,blank3,10
E,2,E02,hepg2,drug3,C1,treated,10
E,3,E03,hepg2,drug3,C1,treated,10
E,4,E04,hepg2,drug3,C1,treated,10
E,5,E05,hepg2,drug3,C1,treated,10
E,6,E06,hepg2,drug3,C1,treated,10
E,7,E07,hepg2,drug3,C1,treated,10
E,8,E08,hepg2,drug3,C1,treated,10
E,9,E09,hepg2,drug3,C2,treated,10
E,10,E10,hepg2,drug3,C2,treated,10
E,11,E11,hepg2,drug3,C2,treated,10
E,12,E12,hepg2,drug3,C2,treated,10
E,13,E13,hepg2,drug3,C2,treated,10
E,14,E14,hepg2,drug3,C2,treated,10
E,15,E15,hepg2,drug3,C2,treated,10
E,16,E16,hepg2,drug3,C2,treated,10
E,17,E17,hepg2,drug3,C3,treated,10
E,18,E18,hepg2,drug3,C3,treated,10
E,19,E19,hepg2,drug3,C3,treated,10
E,20,E20,hepg2,drug3,C3,treated,10
E,21,E21,hepg2,drug3,C3,treated,10
E,22,E22,hepg2,drug3,C3,treated,10
E,23,E23,hepg2,drug3,C3,treated,10
E,24,E24,hepg2,drug3,C3,treated,10
F,1,F01,hepg2,drug3,C1,untreated,10
F,2,F02,hepg2,drug3,C1,untreated,10
F,3,F03,hepg2,drug3,C1,untreated,10
F,4,F04,hepg2,drug3,C1,untreated,10
F,5,F05,hepg2,drug3,C1,untreated,10
F,6,F06,hepg2,drug3,C1,untreated,10
F,7,F07,hepg2,drug3,C1,untreated,10
F,8,F08,hepg2,drug3,C1,untreated,10
F,9,F09,hepg2,drug3,C2,untreated,10
F,10,F10,hepg2,drug3,C2,untreated,10
F,11,F11,hepg2,drug3,C2,untreated,10
F,12,F12,hepg2,drug3,C2,untreated,10
F,13,F13,hepg2,drug3,C2,untreated,10
F,14,F14,hepg2,drug3,C2,untreated,10
F,15,F15,hepg2,drug3,C2,untreated,10
F,16,F16,hepg2,drug3,C2,untreated,10
F,17,F17,hepg2,drug3,C3,untreated,10
F,18,F18,hepg2,drug3,C3,untreated,10
F,19,F19,hepg2,drug3,C3,untreated,10
F,20,F20,hepg2,drug3,C3,untreated,10
F,21,F21,hepg2,drug3,C3,untreated,10
F,22,F22,hepg2,drug3,C3,untreated,10
F,23,F23,hepg2,drug3,C3,untreated,10
F,24,F24,hepg2,drug3,C3,untreated,10
G,1,G01,hepg2,drug4,B,blank4,10
G,2,G02,hepg2,drug4,C1,treated,10
G,3,G03,hepg2,drug4,C1,treated,10
G,4,G04,hepg2,drug4,C1,treated,10
G,5,G05,hepg2,drug4,C1,treated,10
G,6,G06,hepg2,drug4,C1,treated,10
G,7,G07,hepg2,drug4,C1,treated,10
G,8,G08,hepg2,drug4,C1,treated,10
G,9,G09,hepg2,drug4,C2,treated,10
G,10,G10,hepg2,drug4,C2,treated,10
G,11,G11,hepg2,drug4,C2,treated,10
G,12,G12,hepg2,drug4,C2,treated,10
G,13,G13,hepg2,drug4,C2,treated,10
G,14,G14,hepg2,drug4,C2,treated,10
G,15,G15,hepg2,drug4,C2,treated,10
G,16,G16,hepg2,drug4,C2,treated,10
G,17,G17,hepg2,drug4,C3,treated,10
G,18,G18,hepg2,drug4,C3,treated,10
G,19,G19,hepg2,drug4,C3,treated,10
G,20,G20,hepg2,drug4,C3,treated,10
G,21,G21,hepg2,drug4,C3,treated,10
G,22,G22,hepg2,drug4,C3,treated,10
G,23,G23,hepg2,drug4,C3,treated,10
G,24,G24,hepg2,drug4,C3,treated,10
H,1,H01,hepg2,drug4,C1,untreated,10
H,2,H02,hepg2,drug4,C1,untreated,10
H,3,H03,hepg2,drug4,C1,untreated,10
H,4,H04,hepg2,drug4,C1,untreated,10
H,5,H05,hepg2,drug4,C1,untreated,10
H,6,H06,hepg2,drug4,C1,untreated,10
H,7,H07,hepg2,drug4,C1,untreated,10
H,8,H08,hepg2,drug4,C1,untreated,10
H,9,H09,hepg2,drug4,C2,untreated,10
H,10,H10,hepg2,drug4,C2,untreated,10
H,11,H11,hepg2,drug4,C2,untreated,10
H,12,H12,hepg2,drug4,C2,untreated,10
H,13,H13,hepg2,drug4,C2,untreated,10
H,14,H14,hepg2,drug4,C2,untreated,10
H,15,H15,hepg2,drug4,C2,untreated,10
H,16,H16,hepg2,drug4,C2,untreated,10
H,17,H17,hepg2,drug4,C3,untreated,10
H,18,H18,hepg2,drug4,C3,untreated,10
H,19,H19,hepg2,drug4,C3,untreated,10
H,20,H20,hepg2,drug4,C3,untreated,10
H,21,H21,hepg2,drug4,C3,untreated,10
H,22,H22,hepg2,drug4,C3,untreated,10
H,23,H23,hepg2,drug4,C3,untreated,10
H,24,H24,hepg2,drug4,C3,untreated,10
I,1,I01,huh7,drug1,B,blank1,10
I,2,I02,huh7,drug1,C1,treated,10
I,3,I03,huh7,drug1,C1,treated,10
I,4,I04,huh7,drug1,C1,treated,10
I,5,I05,huh7,drug1,C1,treated,10
I,6,I06,huh7,drug1,C1,treated,10
I,7,I07,huh7,drug1,C1,treated,10
I,8,I08,huh7,drug1,C1,treated,10
I,9,I09,huh7,drug1,C2,treated,10
I,10,I10,huh7,drug1,C2,treated,10
I,11,I11,huh7,drug1,C2,treated,10
I,12,I12,huh7,drug1,C2,treated,10
I,13,I13,huh7,drug1,C2,treated,10
I,14,I14,huh7,drug1,C2,treated,10
I,15,I15,huh7,drug1,C2,treated,10
I,16,I16,huh7,drug1,C2,treated,10
I,17,I17,huh7,drug1,C3,treated,10
I,18,I18,huh7,drug1,C3,treated,10
I,19,I19,huh7,drug1,C3,treated,10
I,20,I20,huh7,drug1,C3,treated,10
I,21,I21,huh7,drug1,C3,treated,10
I,22,I22,huh7,drug1,C3,treated,10
I,23,I23,huh7,drug1,C3,treated,10
I,24,I24,huh7,drug1,C3,treated,10
J,1,J01,huh7,drug1,C1,untreated,10
J,2,J02,huh7,drug1,C1,untreated,10
J,3,J03,huh7,drug1,C1,untreated,10
J,4,J04,huh7,drug1,C1,untreated,10
J,5,J05,huh7,drug1,C1,untreated,10
J,6,J06,huh7,drug1,C1,untreated,10
J,7,J07,huh7,drug1,C1,untreated,10
J,8,J08,huh7,drug1,C1,untreated,10
J,9,J09,huh7,drug1,C2,untreated,10
J,10,J10,huh7,drug1,C2,untreated,10
J,11,J11,huh7,drug1,C2,untreated,10
J,12,J12,huh7,drug1,C2,untreated,10
J,13,J13,huh7,drug1,C2,untreated,10
J,14,J14,huh7,drug1,C2,untreated,10
J,15,J15,huh7,drug1,C2,untreated,10
J,16,J16,huh7,drug1,C2,untreated,10
J,17,J17,huh7,drug1,C3,untreated,10
J,18,J18,huh7,drug1,C3,untreated,10
J,19,J19,huh7,drug1,C3,untreated,10
J,20,J20,huh7,drug1,C3,untreated,10
J,21,J21,huh7,drug1,C3,untreated,10
J,22,J22,huh7,drug1,C3,untreated,10
J,23,J23,huh7,drug1,C3,untreated,10
J,24,J24,huh7,drug1,C3,untreated,10
K,1,K01,huh7,drug2,B,blank2,10
K,2,K02,huh7,drug2,C1,treated,10
K,3,K03,huh7,drug2,C1,treated,10
K,4,K04,huh7,drug2,C1,treated,10
K,5,K05,huh7,drug2,C1,treated,10
K,6,K06,huh7,drug2,C1,treated,10
K,7,K07,huh7,drug2,C1,treated,10
K,8,K08,huh7,drug2,C1,treated,10
K,9,K09,huh7,drug2,C2,treated,10
K,10,K10,huh7,drug2,C2,treated,10
K,11,K11,huh7,drug2,C2,treated,10
K,12,K12,huh7,drug2,C2,treated,10
K,13,K13,huh7,drug2,C2,treated,10
K,14,K14,huh7,drug2,C2,treated,10
K,15,K15,huh7,drug2,C2,treated,10
K,16,K16,huh7,drug2,C2,treated,10
K,17,K17,huh7,drug2,C3,treated,10
K,18,K18,huh7,drug2,C3,treated,10
K,19,K19,huh7,drug2,C3,treated,10
K,20,K20,huh7,drug2,C3,treated,10
K,21,K21,huh7,drug2,C3,treated,10
K,22,K22,huh7,drug2,C3,treated,10
K,23,K23,huh7,drug2,C3,treated,10
K,24,K24,huh7,drug2,C3,treated,10
L,1,L01,huh7,drug2,C1,untreated,10
L,2,L02,huh7,drug2,C1,untreated,10
L,3,L03,huh7,drug2,C1,untreated,10
L,4,L04,huh7,drug2,C1,untreated,10
L,5,L05,huh7,drug2,C1,untreated,10
L,6,L06,huh7,drug2,C1,untreated,10
L,7,L07,huh7,drug2,C1,untreated,10
L,8,L08,huh7,drug2,C1,untreated,10
L,9,L09,huh7,drug2,C2,untreated,10
L,10,L10,huh7,drug2,C2,untreated,10
L,11,L11,huh7,drug2,C2,untreated,10
L,12,L12,huh7,drug2,C2,untreated,10
L,13,L13,huh7,drug2,C2,untreated,10
L,14,L14,huh7,drug2,C2,untreated,10
L,15,L15,huh7,drug2,C2,untreated,10
L,16,L16,huh7,drug2,C2,untreated,10
L,17,L17,huh7,drug2,C3,untreated,10
L,18,L18,huh7,drug2,C3,untreated,10
L,19,L19,huh7,drug2,C3,untreated,10
L,20,L20,huh7,drug2,C3,untreated,10
L,21,L21,huh7,drug2,C3,untreated,10
L,22,L22,huh7,drug2,C3,untreated,10
L,23,L23,huh7,drug2,C3,untreated,10
L,24,L24,huh7,drug2,C3,untreated,10
M,1,M01,huh7,drug3,B,blank3,10
M,2,M02,huh7,drug3,C1,treated,10
M,3,M03,huh7,drug3,C1,treated,10
M,4,M04,huh7,drug3,C1,treated,10
M,5,M05,huh7,drug3,C1,treated,10
M,6,M06,huh7,drug3,C1,treated,10
M,7,M07,huh7,drug3,C1,treated,10
M,8,M08,huh7,drug3,C1,treated,10
M,9,M09,huh7,drug3,C2,treated,10
M,10,M10,huh7,drug3,C2,treated,10
M,11,M11,huh7,drug3,C2,treated,10
M,12,M12,huh7,drug3,C2,treated,10
M,13,M13,huh7,drug3,C2,treated,10
M,14,M14,huh7,drug3,C2,treated,10
M,15,M15,huh7,drug3,C2,treated,10
M,16,M16,huh7,drug3,C2,treated,10
M,17,M17,huh7,drug3,C3,treated,10
M,18,M18,huh7,drug3,C3,treated,10
M,19,M19,huh7,drug3,C3,treated,10
M,20,M20,huh7,drug3,C3,treated,10
M,21,M21,huh7,drug3,C3,treated,10
M,22,M22,huh7,drug3,C3,treated,10
M,23,M23,huh7,drug3,C3,treated,10
M,24,M24,huh7,drug3,C3,treated,10
N,1,N01,huh7,drug3,C1,untreated,10
N,2,N02,huh7,drug3,C1,untreated,10
N,3,N03,huh7,drug3,C1,untreated,10
N,4,N04,huh7,drug3,C1,untreated,10
N,5,N05,huh7,drug3,C1,untreated,10
N,6,N06,huh7,drug3,C1,untreated,10
N,7,N07,huh7,drug3,C1,untreated,10
N,8,N08,huh7,drug3,C1,untreated,10
N,9,N09,huh7,drug3,C2,untreated,10
N,10,N10,huh7,drug3,C2,untreated,10
N,11,N11,huh7,drug3,C2,untreated,10
N,12,N12,huh7,drug3,C2,untreated,10
N,13,N13,huh7,drug3,C2,untreated,10
N,14,N14,huh7,drug3,C2,untreated,10
N,15,N15,huh7,drug3,C2,untreated,10
N,16,N16,huh7,drug3,C2,untreated,10
N,17,N17,huh7,drug3,C3,untreated,10
N,18,N18,huh7,drug3,C3,untreated,10
N,19,N19,huh7,drug3,C3,untreated,10
N,20,N20,huh7,drug3,C3,untreated,10
N,21,N21,huh7,drug3,C3,untreated,10
N,22,N22,huh7,drug3,C3,untreated,10
N,23,N23,huh7,drug3,C3,untreated,10
N,24,N24,huh7,drug3,C3,untreated,10
O,1,O01,huh7,drug4,B,blank4,10
O,2,O02,huh7,drug4,C1,treated,10
O,3,O03,huh7,drug4,C1,treated,10
O,4,O04,huh7,drug4,C1,treated,10
O,5,O05,huh7,drug4,C1,treated,10
O,6,O06,huh7,drug4,C1,treated,10
O,7,O07,huh7,drug4,C1,treated,10
O,8,O08,huh7,drug4,C1,treated,10
O,9,O09,huh7,drug4,C2,treated,10
O,10,O10,huh7,drug4,C2,treated,10
O,11,O11,huh7,drug4,C2,treated,10
O,12,O12,huh7,drug4,C2,treated,10
O,13,O13,huh7,drug4,C2,treated,10
O,14,O14,huh7,drug4,C2,treated,10
O,15,O15,huh7,drug4,C2,treated,10
O,16,O16,huh7,drug4,C2,treated,10
O,17,O17,huh7,drug4,C3,treated,10
O,18,O18,huh7,drug4,C3,treated,10
O,19,O19,huh7,drug4,C3,treated,10
O,20,O20,huh7,drug4,C3,treated,10
O,21,O21,huh7,drug4,C3,treated,10
O,22,O22,huh7,drug4,C3,treated,10
O,23,O23,huh7,drug4,C3,treated,10
O,24,O24,huh7,drug4,C3,treated,10
P,1,P01,huh7,drug4,C1,untreated,10
P,2,P02,huh7,drug4,C1,untreated,10
P,3,P03,huh7,drug4,C1,untreated,10
P,4,P04,huh7,drug4,C1,untreated,10
P,5,P05,huh7,drug4,C1,untreated,10
P,6,P06,huh7,drug4,C1,untreated,10
P,7,P07,huh7,drug4,C1,untreated,10
P,8,P08,huh7,drug4,C1,untreated,10
P,9,P09,huh7,drug4,C2,untreated,10
P,10,P10,huh7,drug4,C2,untreated,10
P,11,P11,huh7,drug4,C2,untreated,10
P,12,P12,huh7,drug4,C2,untreated,10
P,13,P13,huh7,drug4,C2,untreated,10
P,14,P14,huh7,drug4,C2,untreated,10
P,15,P15,huh7,drug4,C2,untreated,10
P,16,P16,huh7,drug4,C2,untreated,10
P,17,P17,huh7,drug4,C3,untreated,10
P,18,P18,huh7,drug4,C3,untreated,10
P,19,P19,huh7,drug4,C3,untreated,10
P,20,P20,huh7,drug4,C3,untreated,10
P,21,P21,huh7,drug4,C3,untreated,10
P,22,P22,huh7,drug4,C3,untreated,10
P,23,P23,huh7,drug4,C3,untreated,10
P,24,P24,huh7,drug4,C3,untreated,10
