trait,method,alpha,replicate,source,mean,SD
yield,tensorEVD,0.98,1,GE,0.0915256113965546,0.0045051107761059
yield,tensorEVD,0.98,1,Error,0.379495873744444,0.00245906899138566
anthesis,tensorEVD,0.98,1,G,0.125779556332836,0.00521851804307332
anthesis,tensorEVD,0.98,1,E,0.781443354270895,0.0169245591035268
anthesis,tensorEVD,0.98,1,GE,0.0449573624676082,0.00135376237246747
anthesis,tensorEVD,0.98,1,Error,0.0575743954044444,0.000372600464446307
silking,tensorEVD,0.98,1,G,0.138241071372331,0.00548088761606071
silking,tensorEVD,0.98,1,E,0.805212278750836,0.0194521842826958
silking,tensorEVD,0.98,1,GE,0.0430579678056414,0.00130731324132987
silking,tensorEVD,0.98,1,Error,0.06188056389,0.000400973414119931
ASI,tensorEVD,0.98,1,G,0.07854108560651,0.00615929067287695
ASI,tensorEVD,0.98,1,E,0.344917346966893,0.0328386511813226
ASI,tensorEVD,0.98,1,GE,0.0931981394330066,0.00445183795420958
ASI,tensorEVD,0.98,1,Error,0.550329083344444,0.00354798704121456
yield,eigen,1,1,G,0.0673697024426918,0.00436240816537247
yield,eigen,1,1,E,0.484503722850365,0.0123944324019507
yield,eigen,1,1,GE,0.0941377027955023,0.00455107374715934
yield,eigen,1,1,Error,0.377032629433333,0.00248203657448811
anthesis,eigen,1,1,G,0.125931880636851,0.0048453551731876
anthesis,eigen,1,1,E,0.853144963818033,0.00874276219556432
anthesis,eigen,1,1,GE,0.0453180882762465,0.00128168333804519
anthesis,eigen,1,1,Error,0.0571236321588889,0.000376738238829053
silking,eigen,1,1,G,0.137319760476507,0.00511184879128159
silking,eigen,1,1,E,0.843744678751688,0.00899689415436848
silking,eigen,1,1,GE,0.0434338482869992,0.00124692851072798
silking,eigen,1,1,Error,0.0613942788974124,0.000403611374700377
ASI,eigen,1,1,G,0.0780442892615102,0.00571371053871952
ASI,eigen,1,1,E,0.315766015475601,0.0095828322762213
ASI,eigen,1,1,GE,0.0961315553072502,0.00456651314032995
ASI,eigen,1,1,Error,0.547523013455556,0.00352535007707109
yield,eigen,0.9,2,G,0.0691978569178481,0.00415356751570931
yield,eigen,0.9,2,E,0.48457714228151,0.0120924373151884
yield,eigen,0.9,2,GE,0.075857245033601,0.00394181708516809
yield,eigen,0.9,2,Error,0.391915748422222,0.00242161747906441
anthesis,eigen,0.9,2,G,0.128171081962322,0.00468964850264603
anthesis,eigen,0.9,2,E,0.853680837223678,0.00849523398419371
anthesis,eigen,0.9,2,GE,0.0427262456090517,0.00130629207877501
anthesis,eigen,0.9,2,Error,0.0602123888322222,0.000373759362188806
silking,eigen,0.9,2,G,0.140133288971493,0.00494213262246993
silking,eigen,0.9,2,E,0.845004731635649,0.00877364161631112
silking,eigen,0.9,2,GE,0.0406367142557879,0.00124528210632729
silking,eigen,0.9,2,Error,0.0646078397311111,0.00040064283371995
ASI,eigen,0.9,2,G,0.0811027587547805,0.00562055064768506
ASI,eigen,0.9,2,E,0.316759662036242,0.00925365621837309
ASI,eigen,0.9,2,GE,0.0771197752008875,0.00403909949319202
ASI,eigen,0.9,2,Error,0.563512821944444,0.0034611995493598
yield,tensorEVD,0.9,2,G,0.0697284962385019,0.00447106887859822
yield,tensorEVD,0.9,2,E,0.48368997366707,0.0122780475837484
yield,tensorEVD,0.9,2,GE,0.0819876160162192,0.00442567172443572
yield,tensorEVD,0.9,2,Error,0.387748115655556,0.00241932210003335
anthesis,tensorEVD,0.9,2,G,0.126105905342362,0.0050558954507551
anthesis,tensorEVD,0.9,2,E,0.851491957175709,0.0089624786597787
anthesis,tensorEVD,0.9,2,GE,0.0436023416940559,0.00136167930209423
anthesis,tensorEVD,0.9,2,Error,0.0591896980466667,0.000369876881628472
silking,tensorEVD,0.9,2,G,0.137588185115125,0.00531675112269461
silking,tensorEVD,0.9,2,E,0.842810318547675,0.00926780699083618
silking,tensorEVD,0.9,2,GE,0.0417222204275656,0.00130430526725955
silking,tensorEVD,0.9,2,Error,0.0635438563622222,0.00039831447752921
ASI,tensorEVD,0.9,2,G,0.0812609931725661,0.00620972320839717
ASI,tensorEVD,0.9,2,E,0.316567725777557,0.00946185519757876
ASI,tensorEVD,0.9,2,GE,0.083561375238623,0.00435015865985952
ASI,tensorEVD,0.9,2,Error,0.559105755266667,0.00346534314953359
yield,eigen,0.95,2,G,0.0678718187632285,0.00417267281231638
yield,eigen,0.95,2,E,0.483632664679155,0.012111117122697
yield,eigen,0.95,2,GE,0.0834368295393066,0.00417253297665396
yield,eigen,0.95,2,Error,0.385688374211111,0.00237268311505886
anthesis,eigen,0.95,2,G,0.126675490334567,0.00510977199982223
anthesis,eigen,0.95,2,E,0.852528432909186,0.00881424329820565
anthesis,eigen,0.95,2,GE,0.0441072127252038,0.00131256657970737
anthesis,eigen,0.95,2,Error,0.0585964602288889,0.000360664694456369
silking,eigen,0.95,2,G,0.137745834564379,0.00531435808907597
silking,eigen,0.95,2,E,0.842713344159366,0.00905616091648957
silking,eigen,0.95,2,GE,0.0420572038557796,0.00124906094728266
silking,eigen,0.95,2,Error,0.0629587054733333,0.000388337488278972
ASI,eigen,0.95,2,G,0.078644796299724,0.00579751459809858
ASI,eigen,0.95,2,E,0.315258546327951,0.00947048094066767
ASI,eigen,0.95,2,GE,0.0857906173251351,0.00417727989384407
ASI,eigen,0.95,2,Error,0.556395777433333,0.00343209511611061
yield,tensorEVD,0.95,2,G,0.0681020095388478,0.00432149688019318
yield,tensorEVD,0.95,2,E,0.485824240591553,0.0125549488332855
yield,tensorEVD,0.95,2,GE,0.0881411742059431,0.00450256434867528
yield,tensorEVD,0.95,2,Error,0.382875381033333,0.00239733661728986
anthesis,tensorEVD,0.95,2,G,0.126934796044647,0.00513044736458127
anthesis,tensorEVD,0.95,2,E,0.852837168718171,0.00864604789731202
anthesis,tensorEVD,0.95,2,GE,0.0446199090703604,0.00141002323490676
anthesis,tensorEVD,0.95,2,Error,0.0581879499877778,0.000363969646464104
silking,tensorEVD,0.95,2,G,0.138242283282481,0.00535096728666062
silking,tensorEVD,0.95,2,E,0.8435852923873,0.0089030381101981
silking,tensorEVD,0.95,2,GE,0.0427465959900973,0.00136877173001045
silking,tensorEVD,0.95,2,Error,0.06250139437,0.000390387785523448
ASI,tensorEVD,0.95,2,G,0.0791823793224165,0.00613675232493088
ASI,tensorEVD,0.95,2,E,0.316278325434526,0.00973755873734618
ASI,tensorEVD,0.95,2,GE,0.0900882815899548,0.00441169644852293
ASI,tensorEVD,0.95,2,Error,0.553483386355556,0.00343677114981394
yield,eigen,0.98,2,G,0.0683087041563207,0.00469733270192581
yield,eigen,0.98,2,E,0.564761592237282,0.0245932641902975
yield,eigen,0.98,2,GE,0.0902539538436187,0.00448435186927635
yield,eigen,0.98,2,Error,0.3803872512,0.00241828000239603
anthesis,eigen,0.98,2,G,0.125691649048798,0.00502754103424136
anthesis,eigen,0.98,2,E,0.782277113970967,0.0166266352501366
anthesis,eigen,0.98,2,GE,0.0448385460690983,0.00131635699185456
anthesis,eigen,0.98,2,Error,0.0576944915111111,0.00036565581779311
silking,eigen,0.98,2,G,0.138227818168167,0.0052993086739238
silking,eigen,0.98,2,E,0.805517858600981,0.0191991039066301
silking,eigen,0.98,2,GE,0.0428877030947953,0.00124761154727096
silking,eigen,0.98,2,Error,0.0620378143744444,0.000394278724307609
ASI,eigen,0.98,2,G,0.0783970751314907,0.00620162650863854
ASI,eigen,0.98,2,E,0.340181978942743,0.0293597629577167
ASI,eigen,0.98,2,GE,0.0931387046006426,0.00435493909604423
ASI,eigen,0.98,2,Error,0.550453592022222,0.00348770528276762
yield,tensorEVD,0.98,2,G,0.0683276341272474,0.00465955740467907
yield,tensorEVD,0.98,2,E,0.563936465891603,0.0221337287637065
yield,tensorEVD,0.98,2,GE,0.0912908857863276,0.00443168566926766
yield,tensorEVD,0.98,2,Error,0.379545936777778,0.0024202685752463
anthesis,tensorEVD,0.98,2,G,0.125875840412169,0.0049309936332286
anthesis,tensorEVD,0.98,2,E,0.798401647034451,0.019912467704627
anthesis,tensorEVD,0.98,2,GE,0.044939885760691,0.00138830328846736
anthesis,tensorEVD,0.98,2,Error,0.0575777477388889,0.000367409973995063
silking,tensorEVD,0.98,2,G,0.138334349276533,0.00521338460071377
silking,tensorEVD,0.98,2,E,0.818467065191399,0.0183544067856628
silking,tensorEVD,0.98,2,GE,0.0430483938012853,0.00132254260687823
silking,tensorEVD,0.98,2,Error,0.0618821438488889,0.000395130364505217
ASI,tensorEVD,0.98,2,G,0.0785056592284083,0.00615904526127189
ASI,tensorEVD,0.98,2,E,0.344817641027278,0.025430317400981
ASI,tensorEVD,0.98,2,GE,0.093032239567743,0.00448309137101217
ASI,tensorEVD,0.98,2,Error,0.550343148811111,0.00348114806501466
yield,eigen,1,2,G,0.0670726167575568,0.00422871850965522
yield,eigen,1,2,E,0.484192638069422,0.0123758462086827
yield,eigen,1,2,GE,0.0940220552910024,0.00441072533526847
yield,eigen,1,2,Error,0.377008544633333,0.00242948199267968
anthesis,eigen,1,2,G,0.125872798158637,0.00478636664713258
anthesis,eigen,1,2,E,0.853040746563957,0.00883839019450222
anthesis,eigen,1,2,GE,0.0452626875723547,0.00131651752997487
anthesis,eigen,1,2,Error,0.0571202713866667,0.000367121463382469
silking,eigen,1,2,G,0.13725475873909,0.00500814643807662
silking,eigen,1,2,E,0.843775444902294,0.00909071832973087
silking,eigen,1,2,GE,0.0433893825789876,0.00126231969060606
silking,eigen,1,2,Error,0.0613936988388889,0.000395171910613611
ASI,eigen,1,2,G,0.0781838717795626,0.00586127108982179
ASI,eigen,1,2,E,0.315778044785444,0.00984860915377048
ASI,eigen,1,2,GE,0.0961576701879706,0.00443602144623957
ASI,eigen,1,2,Error,0.547500835866667,0.00349372081164658
yield,eigen,0.9,3,G,0.0691524141488811,0.00420697961033308
yield,eigen,0.9,3,E,0.483220100734866,0.0120284809665619
yield,eigen,0.9,3,GE,0.0759510990865226,0.00392680743323047
yield,eigen,0.9,3,Error,0.391942255844444,0.00237651053162731
anthesis,eigen,0.9,3,G,0.128443675579106,0.00477181786180787
anthesis,eigen,0.9,3,E,0.853716778945714,0.00868533279464157
anthesis,eigen,0.9,3,GE,0.0428072134144121,0.00131840675318474
anthesis,eigen,0.9,3,Error,0.0602174300788889,0.000366521465264745
silking,eigen,0.9,3,G,0.140427089579083,0.00502312247013545
silking,eigen,0.9,3,E,0.84507910348375,0.00895962241117127
silking,eigen,0.9,3,GE,0.0407495590988585,0.0012676594082883
silking,eigen,0.9,3,Error,0.0646137339255556,0.000394163457674179
ASI,eigen,0.9,3,G,0.0813555098893577,0.0057860798603126
ASI,eigen,0.9,3,E,0.317212918803583,0.00945450832400667
ASI,eigen,0.9,3,GE,0.0773931120316535,0.00402766773034171
ASI,eigen,0.9,3,Error,0.563537882911111,0.00341519797393346
yield,tensorEVD,0.9,3,G,0.0695844738490138,0.00439376074326587
yield,tensorEVD,0.9,3,E,0.484243138284013,0.0123390620437549
yield,tensorEVD,0.9,3,GE,0.0823470460151366,0.00447118058184849
yield,tensorEVD,0.9,3,Error,0.387710360544444,0.00239191704413671
anthesis,tensorEVD,0.9,3,G,0.126755965333872,0.00508011056686896
anthesis,tensorEVD,0.9,3,E,0.851410609632155,0.00903803855560915
anthesis,tensorEVD,0.9,3,GE,0.0436334528506076,0.00135265496480309
anthesis,tensorEVD,0.9,3,Error,0.0591870330922222,0.000367280513798477
silking,tensorEVD,0.9,3,G,0.138265087633334,0.00533632025607965
silking,tensorEVD,0.9,3,E,0.842741972917261,0.00929771985566614
silking,tensorEVD,0.9,3,GE,0.0417790106134408,0.00130963766016515
silking,tensorEVD,0.9,3,Error,0.0635413489411111,0.000394396944977239
ASI,tensorEVD,0.9,3,G,0.0812903171440852,0.00583156462579788
ASI,tensorEVD,0.9,3,E,0.31669671985546,0.00946213357555925
ASI,tensorEVD,0.9,3,GE,0.0837485456644772,0.00432311237414099
ASI,tensorEVD,0.9,3,Error,0.5590857528,0.00342711512631832
yield,eigen,0.95,3,G,0.0678030054081668,0.00418132657084703
yield,eigen,0.95,3,E,0.483236735724616,0.0124900116938106
yield,eigen,0.95,3,GE,0.0836281579443307,0.00422058271726469
yield,eigen,0.95,3,Error,0.385757130477778,0.00240150840370897
anthesis,eigen,0.95,3,G,0.126865179457168,0.00496269957112498
anthesis,eigen,0.95,3,E,0.852610126693533,0.00882300133339172
anthesis,eigen,0.95,3,GE,0.0441546139826266,0.00133958514636184
anthesis,eigen,0.95,3,Error,0.0586087286311111,0.000367699250683322
silking,eigen,0.95,3,G,0.137887723028339,0.00515981359531074
silking,eigen,0.95,3,E,0.842784126628121,0.00905673860479997
silking,eigen,0.95,3,GE,0.0421224901594576,0.00129356821578075
silking,eigen,0.95,3,Error,0.0629711233077778,0.000395562686420007
ASI,eigen,0.95,3,G,0.0783898836830883,0.00565994025429317
ASI,eigen,0.95,3,E,0.315244431193366,0.00948451143412928
ASI,eigen,0.95,3,GE,0.086132237304756,0.00421531464959693
ASI,eigen,0.95,3,Error,0.5564752652,0.00344916589549182
yield,tensorEVD,0.95,3,G,0.0676654257847972,0.00439418338197906
yield,tensorEVD,0.95,3,E,0.485376527244207,0.012288777655215
yield,tensorEVD,0.95,3,GE,0.0878018747588074,0.00437144139169147
yield,tensorEVD,0.95,3,Error,0.382913384522222,0.00240582471528568
anthesis,tensorEVD,0.95,3,G,0.126450681957532,0.00497365073953468
anthesis,tensorEVD,0.95,3,E,0.853716894997162,0.00911449987423101
anthesis,tensorEVD,0.95,3,GE,0.0444408139391877,0.00144815891800527
anthesis,tensorEVD,0.95,3,Error,0.05819287445,0.000367273354362706
silking,tensorEVD,0.95,3,G,0.137786903253013,0.00521487097455847
silking,tensorEVD,0.95,3,E,0.844469701786735,0.00939576116469599
silking,tensorEVD,0.95,3,GE,0.0426020224666051,0.00137851285943995
silking,tensorEVD,0.95,3,Error,0.0625076507044444,0.000394583499103365
ASI,tensorEVD,0.95,3,G,0.0793401018505176,0.00611370052284167
ASI,tensorEVD,0.95,3,E,0.316257951408694,0.0098813720688764
ASI,tensorEVD,0.95,3,GE,0.0902422212335322,0.00452043138010274
ASI,tensorEVD,0.95,3,Error,0.553554734111111,0.00345098838823771
yield,eigen,0.98,3,G,0.0679855295475641,0.00446322835891136
yield,eigen,0.98,3,E,0.55870807430942,0.0185825941872395
yield,eigen,0.98,3,GE,0.0901493278776435,0.00445896737047223
yield,eigen,0.98,3,Error,0.380440305844444,0.00241154337648157
anthesis,eigen,0.98,3,G,0.125643877833227,0.00511529877419739
anthesis,eigen,0.98,3,E,0.788484015991526,0.024745030418002
anthesis,eigen,0.98,3,GE,0.0448754084293352,0.00133366873812279
anthesis,eigen,0.98,3,Error,0.0576988344344444,0.000365215917698385
silking,eigen,0.98,3,G,0.138109159434303,0.00538646526143443
silking,eigen,0.98,3,E,0.813011931349067,0.0289564551939929
silking,eigen,0.98,3,GE,0.0429164972793537,0.00128335859023934
silking,eigen,0.98,3,Error,0.0620439058633333,0.000392578629089357
ASI,eigen,0.98,3,G,0.0779251078109638,0.00592649868571944
ASI,eigen,0.98,3,E,0.349556244322114,0.043079297156847
ASI,eigen,0.98,3,GE,0.0930855862093663,0.00444559779650518
ASI,eigen,0.98,3,Error,0.550546937266667,0.00345825287333771
yield,tensorEVD,0.98,3,G,0.06835481811444,0.00468985471737735
yield,tensorEVD,0.98,3,E,0.562489058232938,0.0209963989240144
yield,tensorEVD,0.98,3,GE,0.0914448226710101,0.00447528020183234
yield,tensorEVD,0.98,3,Error,0.379532419777778,0.00245729907769298
anthesis,tensorEVD,0.98,3,G,0.12569482747472,0.00495369586077204
anthesis,tensorEVD,0.98,3,E,0.785168048143139,0.0153905127513924
anthesis,tensorEVD,0.98,3,GE,0.044935981322181,0.00139459539453746
anthesis,tensorEVD,0.98,3,Error,0.0575756818455556,0.000370606838219543
silking,tensorEVD,0.98,3,G,0.138118025593193,0.00527032233944037
silking,tensorEVD,0.98,3,E,0.807049673360349,0.0145641539968728
silking,tensorEVD,0.98,3,GE,0.0430448445842388,0.00133953626284735
silking,tensorEVD,0.98,3,Error,0.0618823681033333,0.000399156461572282
ASI,tensorEVD,0.98,3,G,0.0782705367674624,0.0061260674084059
ASI,tensorEVD,0.98,3,E,0.337876368779113,0.0203046718749698
ASI,tensorEVD,0.98,3,GE,0.0931996776219765,0.00447795214257875
ASI,tensorEVD,0.98,3,Error,0.550349216955556,0.00349879101625608
yield,eigen,1,3,G,0.0672372675870618,0.00440831503278303
yield,eigen,1,3,E,0.484424328676063,0.0126752638785865
yield,eigen,1,3,GE,0.0941280930144225,0.00451542415636638
yield,eigen,1,3,Error,0.377047033033333,0.00248176063222026
anthesis,eigen,1,3,G,0.126799605396905,0.00473939889817773
anthesis,eigen,1,3,E,0.852957725398145,0.008955982308558
anthesis,eigen,1,3,GE,0.0454094715184745,0.0013554015931443
anthesis,eigen,1,3,Error,0.0571278175,0.000376803956769121
silking,eigen,1,3,G,0.138416333674961,0.00482002811603689
silking,eigen,1,3,E,0.843825399722063,0.0092044081096899
silking,eigen,1,3,GE,0.0435330072145951,0.00130883093078925
silking,eigen,1,3,Error,0.0614013903353463,0.00040515287896759
ASI,eigen,1,3,G,0.0782480479485993,0.00592826294740178
ASI,eigen,1,3,E,0.315873952336987,0.00990241598671775
ASI,eigen,1,3,GE,0.0959931617694181,0.00457144184019451
ASI,eigen,1,3,Error,0.547592855433333,0.00358030034968651
yield,eigen,0.9,4,G,0.0690575549317111,0.00409513527355824
yield,eigen,0.9,4,E,0.483670379273428,0.0120873029949102
yield,eigen,0.9,4,GE,0.0759453013769144,0.00405437902007544
yield,eigen,0.9,4,Error,0.391879125322222,0.00237455512389199
anthesis,eigen,0.9,4,G,0.127973666674691,0.00462744050438545
anthesis,eigen,0.9,4,E,0.85331840044334,0.00850383048293637
anthesis,eigen,0.9,4,GE,0.0427363402963743,0.00135481836635134
anthesis,eigen,0.9,4,Error,0.0602097926855556,0.000366340193956124
silking,eigen,0.9,4,G,0.13990961958504,0.00481471130720254
silking,eigen,0.9,4,E,0.844618384994038,0.00875014158958707
silking,eigen,0.9,4,GE,0.0406851900151551,0.00130335118678214
silking,eigen,0.9,4,Error,0.06460547556,0.000392782494016187
ASI,eigen,0.9,4,G,0.0809728123409225,0.00566440241971454
ASI,eigen,0.9,4,E,0.316595028257334,0.00929111610204325
ASI,eigen,0.9,4,GE,0.0773638701115169,0.00405085716617901
ASI,eigen,0.9,4,Error,0.563483882888889,0.00340270428670765
yield,tensorEVD,0.9,4,G,0.0695065358250116,0.00448843660296581
yield,tensorEVD,0.9,4,E,0.483378081700633,0.0119844600814313
yield,tensorEVD,0.9,4,GE,0.0822336796619532,0.00429698065683184
yield,tensorEVD,0.9,4,Error,0.387650811044444,0.002383177831293
anthesis,tensorEVD,0.9,4,G,0.126485836323587,0.00507187077990362
anthesis,tensorEVD,0.9,4,E,0.851742450586253,0.00876299589591147
anthesis,tensorEVD,0.9,4,GE,0.043599215152566,0.00139811188845327
anthesis,tensorEVD,0.9,4,Error,0.0591777713211111,0.000365912025168582
silking,tensorEVD,0.9,4,G,0.138003875234356,0.00531307681626571
silking,tensorEVD,0.9,4,E,0.843111928058959,0.00900756919144554
silking,tensorEVD,0.9,4,GE,0.041755816037053,0.0013361349249551
silking,tensorEVD,0.9,4,Error,0.0635302380511111,0.000393088145112157
ASI,tensorEVD,0.9,4,G,0.0813558394361685,0.00592994780933003
ASI,tensorEVD,0.9,4,E,0.316954787974309,0.00954232884635528
ASI,tensorEVD,0.9,4,GE,0.083874874461168,0.00433052579648125
ASI,tensorEVD,0.9,4,Error,0.558972960766667,0.00341706278952788
yield,eigen,0.95,4,G,0.0679902477296546,0.00421793346885187
yield,eigen,0.95,4,E,0.483411654860154,0.0123568485817436
yield,eigen,0.95,4,GE,0.0835374600886307,0.00430153985110283
yield,eigen,0.95,4,Error,0.385707760866667,0.00239389627392499
anthesis,eigen,0.95,4,G,0.126133833818041,0.0048953697726251
anthesis,eigen,0.95,4,E,0.852509358048159,0.00904550853916358
anthesis,eigen,0.95,4,GE,0.0440484036705717,0.00135515872717018
anthesis,eigen,0.95,4,Error,0.0586052778911111,0.000361603231043866
silking,eigen,0.95,4,G,0.137158665317224,0.00505600352102822
silking,eigen,0.95,4,E,0.842669894575882,0.00931502005465635
silking,eigen,0.95,4,GE,0.0419972415996492,0.00129144239058967
silking,eigen,0.95,4,Error,0.0629679730788889,0.00038933333855047
ASI,eigen,0.95,4,G,0.0785067674959967,0.00576682050740298
ASI,eigen,0.95,4,E,0.315207353782963,0.00960323026394967
ASI,eigen,0.95,4,GE,0.0859973057308595,0.00429811228009187
ASI,eigen,0.95,4,Error,0.556410481055556,0.00344343072008787
yield,tensorEVD,0.95,4,G,0.0680221377796681,0.0044301043874306
yield,tensorEVD,0.95,4,E,0.485131684402101,0.0123945986375484
yield,tensorEVD,0.95,4,GE,0.0878390216296402,0.00457370067789102
yield,tensorEVD,0.95,4,Error,0.382901338988889,0.00238686805468261
anthesis,tensorEVD,0.95,4,G,0.125922199397484,0.0050964636859258
anthesis,tensorEVD,0.95,4,E,0.85337462093118,0.00882541665943301
anthesis,tensorEVD,0.95,4,GE,0.0443775762323291,0.00138095236390211
anthesis,tensorEVD,0.95,4,Error,0.0581926873277778,0.000365898244702648
silking,tensorEVD,0.95,4,G,0.137220060083693,0.0052649377726616
silking,tensorEVD,0.95,4,E,0.844173034618199,0.00909620738606059
silking,tensorEVD,0.95,4,GE,0.0425164061060517,0.00131869166524105
silking,tensorEVD,0.95,4,Error,0.0625076424111111,0.00039222216935856
ASI,tensorEVD,0.95,4,G,0.0792013434492611,0.00604933149157525
ASI,tensorEVD,0.95,4,E,0.316603535555603,0.00974488300613958
ASI,tensorEVD,0.95,4,GE,0.0901757041358425,0.00445136950136464
ASI,tensorEVD,0.95,4,Error,0.553549838711111,0.0034328195750644
yield,eigen,0.98,4,G,0.0680630021888842,0.00455589274618083
yield,eigen,0.98,4,E,0.55733781924351,0.0177018322661635
