"key";"es";"en"
"selcolores";"Seleccionar Colores:";"Select Colors:"
"selcolorind";"Seleccionar Color (Individuos):";"Select Color (Individuals):"
"selcolorvar";"Seleccionar Color (Variables):";"Select Color (Variables):"
"selcolpoint";"Seleccione color de los puntos:";"Select point color:"
"seleccionarPredecir";"Seleccionar la variable a predecir:";"Select the variable to be predicted:"
"selectAlg";"Seleccionar Algoritmo:";"Select Algorithm:"
"selectCapas";"Cantidad de capas ocultas:";"Number of hidden layers:"
"selected";"Seleccionado";"Selected"
"selectInd";"Seleccionar Índice:";"Select Index:"
"selectMod";"Seleccionar Modelo:";"Select Model:"
"selejes";"Seleccionar Ejes:";"Select Axes:"
"seleModel";"Selección de Modelos";"Selection of Models"
"seleParModel";"Parametrización de Modelos";"Parameterization of the Models"
"seleParModel";"Selección y Parametrización del Modelo";"Selection and Parameterization of the Model"
"selidioma";"Seleccionar Idioma:";"Select Language"
"selkernel";"Seleccionar un Kernel:";"Select kernel:"
"selmetodo";"Seleccionar Método:";"Select Method:"
"selnrounds";"Número Máximo de Iteraciones:";"Maximum Number of Iterations:"
"seltipo";"Seleccionar Tipo:";"Select Type:"
"selvar";"Seleccionar la variable:";"Select the variable:"
"selvars";"Seleccionar Variables:";"Select Variables:"
"semilla";"Semilla Aleatoria:";"Random Seed:"
"separador";"Separador de Datos";"Data Separator"
"separadordec";"Separador de Decimales";"Decimal Separator"
"shrinkage";"Ritmo de Aprendizaje";"Learning Rate:"
"si";"SI";"YES"
"sigue";"¿Sigue la normal?";"is normally distributed?"
"siguiente";"Siguiente";"Next"
"sinasimetria";"Sin Asimetría";"Without Asymmetry"
"sobreposicion";"Sobreposición";"Overlaying"
"splitIndex";"Índice de división:";"Split Index:"
"stepmax";"Pasos máximos para el entrenamiento:";"Maximum steps for the training:"
"subir";"Subir";"Upload"
"superior";"Valor Superior";"Upper Value"
"svm";"Soporte Vectorial";"Support Vector Machines"
"SVM";"Soporte Vectorial";"Support Vector Machines"
"svml";"Soporte Vectorial";"Support Vector Machines"
"tab";"Espacio";"Tab"
"tablaComp";"Tabla Comparativa";"Comparison Table"
"tasim";"Valor del test";"Test value"
"threshold";"Criterios de detención:";"Detention criteria:"
"tieneCData";"Tiene que cargar los datos";"You have to load the data"
"tieneD";"Tiene que ingresar datos";"You have to enter data"
"tieneDAP";"Tiene que crear los datos de aprendizaje y de prueba";"You have to create the learning and test data"
"tieneSVP";"Tiene que seleccionar una variable a predecir";"You have to select a variable to predict"
"tieneVP";"Tiene que seleccionar una variable a predecir";"You have to select a variable to predict"
"tipo";"Tipo";"Type"
"tipoGrafico";"Tipo de Gráfico:";"Plot Type:"
"titulo";"Digite el Titulo:";"Enter the Title:"
"titulodistribucion";"Distribución y Atipicidad de";"Distribution and Atipicity of"
"titulonormal";"Test de normalidad de";"Normal Plot of"
"tituloreporte";"Reporte";"Report"
"todos";"Todos";"All"
"trans";"Transformar";"Transform"
"transDatos";"Transformar Datos";"Transform Data"
"tt";"Aprendizaje - Prueba";"Training - Testing"
"ultimo";"Ultimo";"Last"
"uppCurve";"Curva Superior";"Upper Curve"
"varError";"Variación del Error";"Error Variation"
"VarExp";"Porcentaje de Varianza Explicada";"Percentage of Explained Variance"
"variable";"Variable";"Variable"
"variables";"Variables";"Variables"
"varImp";"Importancia de Variables";"Variable Importance"
"varp";"Gráfico de importancia de variables";"Variable Importance Chart"
"VarsPred";"Variables Predictoras:";"Predictor Variables:"
"vee";"Varianza Explicada por cada Eje";"Variance Explained for each Axis"
"version";"VERSIÓN DEL SISTEMA";"SYSTEM VERSION"
"vertical";"Vertical";"Vertical"
"xgb";"XGPotenciación";"XGBoosting"
"XGB";"XGPotenciación";"XGBoosting"
