Date&Time	Phase	Temp.1	Ox.1	Temp.2	Ox.2	Temp.3	Ox.3	Temp.4	Ox.4
08/02/2021/16:01:10	M1	5,081	13,056	5,081	8,0979	5,081	5,9941	5,081	7,9556
08/02/2021/16:11:10	M1	5,073	13,063	5,073	7,8977	5,073	5,9556	5,073	7,7328
08/02/2021/16:21:10	M1	5,069	13,054	5,069	7,7504	5,069	6,0546	5,069	7,3638
08/02/2021/16:31:10	M1	5,062	13,016	5,062	7,5717	5,062	5,2363	5,062	7,4033
08/02/2021/16:41:10	M1	5,06	12,996	5,06	7,42	5,06	5,1071	5,06	7,3611
08/02/2021/16:51:10	M1	5,057	12,992	5,057	6,9234	5,057	4,8737	5,057	7,0031
08/02/2021/17:01:10	M1	5,07	12,992	5,07	7,5643	5,07	4,5958	5,07	6,8909
08/02/2021/17:11:10	M1	5,07	12,973	5,07	7,3675	5,07	4,4186	5,07	6,9187
08/02/2021/17:21:10	M1	5,067	12,944	5,067	7,0121	5,067	4,1809	5,067	6,8835
08/02/2021/17:31:10	M1	5,069	12,931	5,069	6,4681	5,069	3,9075	5,069	6,8105
08/02/2021/17:41:10	M1	5,062	12,915	5,062	6,0961	5,062	3,5247	5,062	6,0221
08/02/2021/17:51:10	M1	5,062	12,903	5,062	5,8465	5,062	3,2692	5,062	6,0004
08/02/2021/18:01:10	M1	5,063	12,881	5,063	5,4884	5,063	3,12	5,063	5,841
08/02/2021/18:11:10	M1	5,063	12,868	5,063	5,1509	5,063	2,8486	5,063	5,8237
08/02/2021/18:21:10	M1	5,061	12,856	5,061	4,7855	5,061	2,7596	5,061	5,7411
08/02/2021/18:31:10	M1	5,062	12,825	5,062	4,4249	5,062	2,4664	5,062	5,7106
08/02/2021/18:41:10	M1	5,058	12,843	5,058	4,0637	5,058	2,2709	5,058	5,6079
08/02/2021/18:51:10	M1	5,056	12,818	5,056	3,7242	5,056	2,1365	5,056	5,6168
08/02/2021/19:01:10	M1	5,061	12,816	5,061	3,369	5,061	1,8915	5,061	5,4751
08/02/2021/19:11:10	M1	5,061	12,806	5,061	2,9991	5,061	1,6439	5,061	5,4563
08/02/2021/19:21:10	M1	5,065	12,8	5,065	2,6148	5,065	1,3018	5,065	5,3802
08/02/2021/19:31:10	M1	5,062	12,765	5,062	2,2545	5,062	1,0755	5,062	5,2989
08/02/2021/19:41:10	M1	5,067	12,769	5,067	1,9179	5,067	1,023	5,067	5,2494
08/02/2021/19:51:10	M1	5,07	12,762	5,07	1,5645	5,07	1,0125	5,07	5,2368
08/02/2021/20:01:10	M1	5,071	12,767	5,071	1,2554	5,071	0,87287	5,071	5,1796
08/02/2021/20:11:10	M1	5,074	12,753	5,074	0,90196	5,074	0,73969	5,074	3,6219
08/02/2021/20:21:10	M1	5,075	12,73	5,075	0,74306	5,075	0,4047	5,075	4,6305
08/02/2021/20:31:10	M1	5,079	12,713	5,079	0,48606	5,079	0,64539	5,079	4,6544
08/02/2021/20:41:10	M1	5,08	12,711	5,08	0,41148	5,08	0,5155	5,08	4,6518
08/02/2021/20:51:10	M1	5,078	12,695	5,078	0,27709	5,078	0,38482	5,078	3,9455
08/02/2021/21:01:10	M1	5,082	12,687	5,082	0,21899	5,082	0,26725	5,082	4,2773
08/02/2021/21:11:10	M1	5,083	12,673	5,083	0,16044	5,083	0,18819	5,083	3,7653
08/02/2021/21:21:10	M1	5,084	12,652	5,084	0,10881	5,084	0,12891	5,084	3,8767
08/02/2021/21:31:10	M1	5,085	12,659	5,085	0,085813	5,085	0,083648	5,085	3,8873
08/02/2021/21:41:10	M1	5,087	12,631	5,087	0,05856	5,087	0,054848	5,087	2,7668
08/02/2021/21:51:10	M1	5,089	12,613	5,089	0,058133	5,089	0,025803	5,089	3,2456
08/02/2021/22:01:10	M1	5,092	12,61	5,092	0,050261	5,092	0,018283	5,092	3,3189
08/02/2021/22:11:10	M1	5,091	12,598	5,091	0,039168	5,091	0,010859	5,091	2,7723
08/02/2021/22:21:10	M1	5,09	12,593	5,09	0,039413	5,09	0,0061973	5,09	2,1304
08/02/2021/22:31:10	M1	5,084	12,574	5,084	0,032789	5,084	0,00192	5,084	0,43561
08/02/2021/22:41:10	M1	5,085	12,578	5,085	0,037909	5,085	-0,0022187	5,085	0,55609
08/02/2021/22:51:10	M1	5,082	12,553	5,082	0,036096	5,082	-0,0025173	5,082	0,41525
08/02/2021/23:01:10	M1	5,083	12,547	5,083	0,034965	5,083	-0,0017173	5,083	0,39052
08/02/2021/23:11:10	M1	5,086	12,522	5,086	0,03296	5,086	-0,00045867	5,086	0,67774
08/02/2021/23:21:10	M1	5,085	12,527	5,085	0,033376	5,085	-0,00032	5,085	0,44737
08/02/2021/23:31:10	M1	5,085	12,5	5,085	0,031264	5,085	-0,002144	5,085	0,44141
08/02/2021/23:41:10	M1	5,089	12,488	5,089	0,034112	5,089	-0,004128	5,089	0,41367
08/02/2021/23:51:10	M1	5,082	12,493	5,082	0,033376	5,082	-0,001664	5,082	0,37633
09/02/2021/00:01:10	M1	5,083	12,478	5,083	0,030624	5,083	0,00010667	5,083	0,57038
09/02/2021/00:11:10	M1	5,082	12,483	5,082	0,032683	5,082	-0,0021333	5,082	0,40892
09/02/2021/00:21:10	M1	5,08	12,455	5,08	0,030517	5,08	-0,002688	5,08	0,46421
09/02/2021/00:31:10	M1	5,079	12,439	5,079	0,029056	5,079	-0,004704	5,079	0,35328
09/02/2021/00:41:10	M1	5,079	12,435	5,079	0,031115	5,079	-0,0021333	5,079	0,35867
09/02/2021/00:51:10	M1	5,074	12,414	5,074	0,029771	5,074	-0,000832	5,074	0,54183
09/02/2021/01:01:10	M1	5,06	12,419	5,06	0,028715	5,06	-0,00256	5,06	0,39962
09/02/2021/01:11:10	M1	5,061	12,407	5,061	0,031125	5,061	0,0018773	5,061	0,27924
09/02/2021/01:21:10	M1	5,054	12,376	5,054	0,029685	5,054	-0,0033387	5,054	0,27332
09/02/2021/01:31:10	M1	5,056	12,374	5,056	0,029035	5,056	-0,002432	5,056	0,20169
09/02/2021/01:41:10	M1	5,047	12,354	5,047	0,031541	5,047	-0,0014827	5,047	0,15683
09/02/2021/01:51:10	M1	5,041	12,337	5,041	0,029333	5,041	-0,0048853	5,041	0,11894
09/02/2021/02:01:10	M1	5,038	12,322	5,038	0,031061	5,038	-0,0033387	5,038	0,087872
09/02/2021/02:11:10	M1	5,03	12,321	5,03	0,030144	5,03	-0,004736	5,03	0,082208
09/02/2021/02:21:10	M1	5,024	12,346	5,024	0,028875	5,024	-0,0044587	5,024	0,066123
09/02/2021/02:31:10	M1	5,02	12,317	5,02	0,030955	5,02	-0,0038293	5,02	0,052149
09/02/2021/02:41:10	M1	5,012	12,307	5,012	0,028288	5,012	-0,0019733	5,012	0,044053
09/02/2021/02:51:10	M1	5,009	12,291	5,009	0,029952	5,009	-0,003616	5,009	0,026357
09/02/2021/03:01:10	M1	5,002	12,291	5,002	0,030219	5,002	-0,0026667	5,002	0,021931
09/02/2021/03:11:10	M1	4,992	12,263	4,992	0,029312	4,992	-0,0018347	4,992	0,029653
09/02/2021/03:21:10	M1	4,991	12,259	4,991	0,030379	4,991	-0,0022507	4,991	0,027637
09/02/2021/03:31:10	M1	4,986	12,261	4,986	0,030816	4,986	-0,0034133	4,986	0,022688
09/02/2021/03:41:10	M1	4,976	12,236	4,976	0,031509	4,976	-0,004288	4,976	0,02224
09/02/2021/03:51:10	M1	4,973	12,222	4,973	0,028747	4,973	-0,004288	4,973	0,022816
09/02/2021/04:01:10	M1	4,968	12,213	4,968	0,0312	4,968	-0,0040853	4,968	0,021387
09/02/2021/04:11:10	M1	4,959	12,206	4,959	0,029109	4,959	-0,0022827	4,959	0,021237
09/02/2021/04:21:10	M1	4,952	12,219	4,952	0,03008	4,952	-0,00256	4,952	0,020395
09/02/2021/04:31:10	M1	4,945	12,197	4,945	0,030229	4,945	-0,0040747	4,945	0,018464
09/02/2021/04:41:10	M1	4,943	12,193	4,943	0,029131	4,943	-0,0022827	4,943	0,019797
09/02/2021/04:51:10	M1	4,938	12,193	4,938	0,027957	4,938	-0,0041173	4,938	0,018507
09/02/2021/05:01:10	M1	4,929	12,165	4,929	0,030016	4,929	-0,0032853	4,929	0,017664
09/02/2021/05:11:10	M1	4,927	12,17	4,927	0,028832	4,927	-0,0038933	4,927	0,017728
09/02/2021/05:21:10	M1	4,917	12,133	4,917	0,029003	4,917	-0,0028693	4,917	0,016832
09/02/2021/05:31:10	M1	4,909	12,15	4,909	0,029163	4,909	-0,0029547	4,909	0,015413
09/02/2021/05:41:10	M1	4,905	12,129	4,905	0,028299	4,905	-0,0034453	4,905	0,01488
09/02/2021/05:51:10	M1	4,893	12,141	4,893	0,028459	4,893	-0,00384	4,893	0,012843
09/02/2021/06:01:10	M1	4,887	12,106	4,887	0,028843	4,887	-0,003936	4,887	0,014315
09/02/2021/06:11:10	M1	4,884	12,089	4,884	0,029675	4,884	-0,003744	4,884	0,015968
09/02/2021/06:21:10	M1	4,871	12,089	4,871	0,029611	4,871	-0,004064	4,871	0,014123
09/02/2021/06:31:10	M1	4,867	12,083	4,867	0,030347	4,867	-0,0040533	4,867	0,013323
09/02/2021/06:41:10	M1	4,856	12,087	4,856	0,028971	4,856	-0,0036373	4,856	0,012608
09/02/2021/06:51:10	M1	4,848	12,069	4,848	0,028533	4,848	-0,0028907	4,848	0,013515
09/02/2021/07:01:10	M1	4,842	12,057	4,842	0,029504	4,842	-0,002304	4,842	0,0128
09/02/2021/07:11:10	M1	4,839	12,032	4,839	0,028341	4,839	-0,0035307	4,839	0,013685
09/02/2021/07:21:10	M1	4,831	12,03	4,831	0,029547	4,831	-0,0035627	4,831	0,01536
09/02/2021/07:31:10	M1	4,822	12,019	4,822	0,027765	4,822	-0,003584	4,822	0,014261
09/02/2021/07:41:10	M1	4,815	12,01	4,815	0,030763	4,815	-0,006048	4,815	0,014421
09/02/2021/07:51:10	M1	4,809	11,988	4,809	0,030784	4,809	-0,0028587	4,809	0,013056
09/02/2021/08:01:10	M1	4,801	11,983	4,801	0,030645	4,801	-0,0042027	4,801	0,013333
09/02/2021/08:11:10	M1	4,796	11,97	4,796	0,031093	4,796	-0,0019627	4,796	0,013557
09/02/2021/08:21:10	M1	4,787	11,981	4,787	0,031733	4,787	-0,002976	4,787	0,014229
09/02/2021/08:31:10	M1	4,789	11,968	4,789	0,030827	4,789	-0,0028693	4,789	0,015232
09/02/2021/08:41:10	M1	4,775	11,966	4,775	0,031712	4,775	-0,0025707	4,775	0,012757
09/02/2021/08:51:10	M1	4,77	11,957	4,77	0,031019	4,77	-0,0031573	4,77	0,014613
09/02/2021/09:01:10	M1	4,765	11,943	4,765	0,031467	4,765	-0,003712	4,765	0,013493
09/02/2021/09:11:10	M1	4,758	11,925	4,758	0,030549	4,758	-0,0025707	4,758	0,013013
09/02/2021/09:21:10	M1	4,75	11,923	4,75	0,030773	4,75	-0,0031467	4,75	0,014443
09/02/2021/09:31:10	M1	4,739	11,912	4,739	0,032064	4,739	-0,0031893	4,739	0,013216
09/02/2021/09:41:10	M1	4,738	11,905	4,738	0,031477	4,738	-0,0031787	4,738	0,014304
09/02/2021/09:51:10	M1	4,731	11,897	4,731	0,031328	4,731	-0,0037867	4,731	0,014261
09/02/2021/10:01:10	M1	4,727	11,861	4,727	0,031637	4,727	-0,0031467	4,727	0,013973
09/02/2021/10:11:10	M1	4,723	11,881	4,723	0,031349	4,723	-0,0021973	4,723	0,013675
09/02/2021/10:21:10	M1	4,718	11,883	4,718	0,030432	4,718	-0,0041707	4,718	0,01344
09/02/2021/10:31:10	M1	4,712	11,863	4,712	0,030272	4,712	-0,0032107	4,712	0,011509
09/02/2021/10:41:10	M1	4,712	11,866	4,712	0,031477	4,712	-0,0021653	4,712	0,012501
09/02/2021/10:51:10	M1	4,708	11,864	4,708	0,030283	4,708	-0,0037653	4,708	0,014805
09/02/2021/11:01:10	M1	4,706	11,849	4,706	0,030901	4,706	-0,0036267	4,706	0,013931
09/02/2021/11:11:10	M1	4,7	11,844	4,7	0,032416	4,7	-0,003424	4,7	0,013131
09/02/2021/11:21:10	M1	4,698	11,825	4,698	0,031285	4,698	-0,0027947	4,698	0,012885
09/02/2021/11:31:10	M1	4,695	11,837	4,695	0,03184	4,695	-0,0041493	4,695	0,013344
09/02/2021/11:41:10	M1	4,695	11,823	4,695	0,031061	4,695	-0,0030293	4,695	0,012064
09/02/2021/11:51:10	F2	4,696	11,819	4,696	0,030464	4,696	-0,0044053	4,696	0,014667
									
									
									
