,D2_1,D2_2,D4_1,D4_2
ENSMUSG00000064329,0.578839727,0.473146948,0.316085122,0.519920101
ENSMUSG00000022044,1.041613905,0.747074129,0,0.100273886
ENSMUSG00000034159,0.892811919,0.946293896,0,0.050136943
ENSMUSG00000081745,0.569911608,0.41985566,0.500343273,0.399591437
ENSMUSG00000073568,0.248003311,0.439777637,0.324573979,0.877396506
ENSMUSG00000033177,0.69440927,0.946293896,0.149803375,0.100273886
ENSMUSG00000089197,0.930012415,0.435793242,0.224705063,0.300821659
ENSMUSG00000117698,0.69440927,0.747074129,0.29960675,0.15041083
ENSMUSG00000004961,0.545607284,0.946293896,0.249672292,0.15041083
ENSMUSG00000038276,0.644808608,0.697269187,0.349541209,0.200547773
ENSMUSG00000045515,0.545607284,0.796879071,0.349541209,0.200547773
ENSMUSG00000052135,0.545607284,0.547854361,0.499344584,0.300821659
ENSMUSG00000028976,0.545607284,0.498049419,0.399475667,0.451232489
ENSMUSG00000016349,0.446405959,0.647464245,0.349541209,0.451232489
ENSMUSG00000032017,0.297603973,0.796879071,0.399475667,0.401095546
ENSMUSG00000042258,0.396805297,0.647464245,0.29960675,0.551506375
ENSMUSG00000086359,0.496006621,0.298829651,0.524311813,0.576574847
ENSMUSG00000064563,0.322404304,0.398439535,0.649147959,0.526437904
ENSMUSG00000073102,0.496006621,0.700755533,0.499344584,0.200547773
ENSMUSG00000064246,0.248003311,0.348634593,0.749016876,0.551506375
ENSMUSG00000004748,0.148801986,0.697269187,0.29960675,0.752054148
ENSMUSG00000052221,0.148801986,0.448244477,0.699082417,0.601643319
ENSMUSG00000085862,0.248003311,0.398439535,0.449410125,0.802191092
ENSMUSG00000063887,0.297603973,0.049804942,0.549279042,1.002738864
ENSMUSG00000028681,0,0.149414826,0.749016876,1.009758036
ENSMUSG00000082453,0.446405959,0.697269187,0.382997296,0.384550354
ENSMUSG00000098640,0.485590482,0.482609887,0.504837374,0.4412051
ENSMUSG00000088378,0.545607284,0.373537064,0.62418073,0.376027074
ENSMUSG00000113636,0.496006621,0.373537064,0.499344584,0.551506375
ENSMUSG00000086782,0.272803642,0.547854361,0.599213501,0.501369432
ENSMUSG00000005237,0.322404304,0.124512355,0.948754709,0.526437904
ENSMUSG00000050014,0.706809436,0.759525364,0.316085122,0.15041083
ENSMUSG00000051029,0.51237484,0.348634593,0.565757413,0.509892713
ENSMUSG00000079243,1.140815229,0.298829651,0.149803375,0.350958603
ENSMUSG00000050830,0.744009932,0.846684012,0.199737834,0.15041083
ENSMUSG00000081848,0.727641714,0.830248382,0.333062837,0.050136943
ENSMUSG00000086070,0.69440927,0.597659303,0.349541209,0.300821659
ENSMUSG00000112854,0.644808608,0.647464245,0.399475667,0.250684716
ENSMUSG00000034336,0.669608939,0.647464245,0.249672292,0.376027074
ENSMUSG00000063193,0.545607284,0.697269187,0.349541209,0.350958603
ENSMUSG00000086742,0.545607284,0.647464245,0.374508438,0.376027074
ENSMUSG00000024731,0.446405959,0.498049419,0.699082417,0.300821659
ENSMUSG00000069792,0.446405959,0.796879071,0.149803375,0.551506375
ENSMUSG00000060512,0.496006621,0.448244477,0.549279042,0.451232489
ENSMUSG00000055341,0.520806952,0.373537064,0.549279042,0.501369432
ENSMUSG00000054999,0.446405959,0.448244477,0.599213501,0.451232489
ENSMUSG00000077734,0.396805297,0.448244477,0.699082417,0.401095546
ENSMUSG00000084728,0.372004966,0.448244477,0.599213501,0.526437904
ENSMUSG00000087331,0.297603973,0.572756832,0.449410125,0.62671179
ENSMUSG00000036151,0.446405959,0.199219768,0.549279042,0.752054148
ENSMUSG00000015405,0.248003311,0.498049419,0.549279042,0.651780262
ENSMUSG00000032572,0.421605628,0.24902471,0.424442896,0.852328035
ENSMUSG00000042306,0.198402649,0.498049419,0.549279042,0.701917205
ENSMUSG00000032089,0.248003311,0.348634593,0.599213501,0.752054148
ENSMUSG00000068105,0.744009932,0.398439535,0.29960675,0.505881757
ENSMUSG00000096982,0.297603973,0.348634593,0.449410125,0.852328035
ENSMUSG00000085139,0.099201324,0.24902471,0.948754709,0.651780262
ENSMUSG00000028360,0.198402649,0.199219768,0.699082417,0.852328035
ENSMUSG00000104274,0.533207118,0.510500655,0.544784941,0.360985991
ENSMUSG00000024677,0.248003311,0.27392718,0.732538504,0.701917205
ENSMUSG00000089976,0.39779731,0.4716528,0.550277731,0.546994051
ENSMUSG00000074874,0.661176826,0.626546169,0.308095608,0.372016119
ENSMUSG00000110715,0.607608111,0.398439535,0.474377355,0.488835196
ENSMUSG00000116291,0.469222264,0.501535765,0.507833442,0.491843413
ENSMUSG00000064513,0.446405959,0.423342006,0.536795428,0.564040611
ENSMUSG00000080683,0.446405959,0.498049419,0.349541209,0.676848733
ENSMUSG00000092335,0.256435423,0.149414826,0.715560789,0.852328035
ENSMUSG00000101199,0.392837244,0.456711317,0.597216122,0.527942012
ENSMUSG00000108827,0.099201324,0.099609884,0.758504423,1.020788164
ENSMUSG00000107388,0.347204635,0.581223672,0.65364206,0.401095546
ENSMUSG00000116732,0.537175171,0.572756832,0.36601958,0.509892713
ENSMUSG00000056215,0.942412581,0.498049419,0.399475667,0.15041083
ENSMUSG00000093751,0.449381999,0.512492852,0.548280353,0.480311916
ENSMUSG00000103255,0.439461867,0.323732122,0.638162378,0.591114561
ENSMUSG00000027713,0.793610594,0.398439535,0.399475667,0.401095546
ENSMUSG00000020826,0.644808608,0.697269187,0.29960675,0.350958603
ENSMUSG00000031621,0.496006621,0.547854361,0.699082417,0.250684716
ENSMUSG00000093246,0.570407615,0.498049419,0.574246271,0.350958603
ENSMUSG00000097936,0.775258349,0.75454487,0.219711617,0.244166913
ENSMUSG00000007591,0.446405959,0.348634593,0.998689168,0.200547773
ENSMUSG00000025529,0.496006621,0.498049419,0.399475667,0.601643319
ENSMUSG00000110140,0.396805297,0.398439535,0.798951334,0.401095546
ENSMUSG00000064453,0.396805297,0.473146948,0.649147959,0.476300961
ENSMUSG00000075370,0.347204635,0.597659303,0.549279042,0.501369432
ENSMUSG00000021719,0.396805297,0.547854361,0.449410125,0.601643319
ENSMUSG00000085316,0.347204635,0.448244477,0.599213501,0.601643319
ENSMUSG00000013091,0.347204635,0.398439535,0.649147959,0.601643319
ENSMUSG00000055489,0.396805297,0.398439535,0.349541209,0.852328035
ENSMUSG00000114376,0.22320298,0.199219768,0.92378748,0.651780262
ENSMUSG00000032358,0.248003311,0.348634593,0.599213501,0.802191092
ENSMUSG00000109564,0.099201324,0.398439535,0.898820251,0.601643319
ENSMUSG00000067001,0.198402649,0.448244477,0.549279042,0.802191092
ENSMUSG00000032890,0.099201324,0.498049419,0.699082417,0.701917205
ENSMUSG00000041828,0.248003311,0.224122239,0.699082417,0.827259563
ENSMUSG00000034917,0.198402649,0.224122239,0.524311813,1.052875808
ENSMUSG00000095101,0.642824581,0.513987,0.442419301,0.404103762
ENSMUSG00000071475,0.400277343,0.641487652,0.535796738,0.426164017
ENSMUSG00000103800,0.394821271,0.357101433,0.659134851,0.595125516
ENSMUSG00000020014,0.354148728,0.749564376,0.599213501,0.305835354
ENSMUSG00000081332,0.47120629,0.456711317,0.482866213,0.605654274
ENSMUSG00000097327,0.398789324,0.390470745,0.570750859,0.657295326
ENSMUSG00000036560,0.496006621,0.448244477,0.574246271,0.501369432
ENSMUSG00000013158,0.421605628,0.398439535,0.62418073,0.576574847
ENSMUSG00000054901,0.545607284,0.199219768,0.499344584,0.77712262
ENSMUSG00000097943,0.69738531,0.762513661,0.298608061,0.263720321
ENSMUSG00000109181,0.363572854,0.618577379,0.470382598,0.572563892
ENSMUSG00000070501,0.828331058,0.547854361,0.274639521,0.376027074
ENSMUSG00000070908,0.681513098,0.505022111,0.41944945,0.421150323
ENSMUSG00000113591,0.492038568,0.298829651,0.661631573,0.576574847
ENSMUSG00000049128,0.892811919,0.896488954,0.099868917,0.15041083
ENSMUSG00000038528,0.316452224,0.464680108,0.678109945,0.580585802
ENSMUSG00000051242,0.099201324,0.24902471,0.940265851,0.752054148
ENSMUSG00000048065,0.843211256,0.697269187,0.249672292,0.250684716
ENSMUSG00000039304,0.099201324,0.074707413,0.865364164,1.002738864
ENSMUSG00000027765,0.644808608,0.747074129,0.324573979,0.325890131
ENSMUSG00000019852,0.446405959,1.095708722,0.249672292,0.250684716
ENSMUSG00000018126,0.744009932,0.547854361,0.249672292,0.501369432
ENSMUSG00000116665,0.669608939,0.672366716,0.224705063,0.476300961
ENSMUSG00000097966,0.690937224,0.799369318,0.294613304,0.258205258
ENSMUSG00000057123,0.644808608,0.398439535,0.649147959,0.350958603
ENSMUSG00000097745,0.69440927,0.423342006,0.474377355,0.451232489
ENSMUSG00000064844,0.744009932,0.348634593,0.449410125,0.501369432
ENSMUSG00000104318,0.395317277,0.373537064,0.679607979,0.595125516
ENSMUSG00000039131,0.808490793,0.759525364,0.149803375,0.325890131
ENSMUSG00000094597,0.520806952,0.622561774,0.449410125,0.451232489
ENSMUSG00000103707,0.397301304,0.384992201,0.668622398,0.593120038
ENSMUSG00000098116,0.793610594,0.682327704,0.304600196,0.263720321
ENSMUSG00000025020,0.496006621,0.597659303,0.449410125,0.501369432
ENSMUSG00000073408,0.545607284,0.498049419,0.449410125,0.551506375
ENSMUSG00000112035,0.446405959,0.547854361,0.449410125,0.601643319
ENSMUSG00000048442,0.297603973,0.597659303,0.599213501,0.551506375
ENSMUSG00000026870,0.347204635,0.398439535,0.749016876,0.551506375
ENSMUSG00000065392,0.322404304,0.373537064,0.699082417,0.651780262
ENSMUSG00000045281,0.347204635,0.149414826,0.898820251,0.651780262
ENSMUSG00000009378,0.297603973,0.398439535,0.499344584,0.852328035
ENSMUSG00000092103,0.409205463,0.245040314,0.578241028,0.816229436
ENSMUSG00000073402,0.433013781,0.546858262,0.506834753,0.566547458
ENSMUSG00000115538,0.648776661,0.510500655,0.474377355,0.430174973
ENSMUSG00000079017,0.016368219,0.049804942,1.148492543,0.852328035
ENSMUSG00000097386,0.446405959,0.697269187,0.524311813,0.401095546
ENSMUSG00000032589,0.496006621,0.722171658,0.349541209,0.501369432
ENSMUSG00000083107,0.47120629,0.672366716,0.449410125,0.476300961
ENSMUSG00000027824,0.560487482,0.467170355,0.734535883,0.307840831
ENSMUSG00000040528,0.347204635,0.547854361,0.62418073,0.551506375
ENSMUSG00000112011,0.548087317,0.480617689,0.561762657,0.483821502
ENSMUSG00000105147,0.777242376,0.589192463,0.46189374,0.250684716
ENSMUSG00000033597,0.396805297,0.298829651,0.908807142,0.476300961
ENSMUSG00000102312,0.395317277,0.329708715,0.715560789,0.645262459
ENSMUSG00000103442,0.499478668,0.332198963,0.659134851,0.595125516
ENSMUSG00000103224,0.51237484,0.498049419,0.5577679,0.517914623
ENSMUSG00000072974,0.454838072,0.489582579,0.5577679,0.585098127
ENSMUSG00000028287,1.041613905,1.04590378,0,0
ENSMUSG00000087444,0.363572854,0.448244477,0.62418073,0.651780262
ENSMUSG00000023999,1.041613905,0.348634593,0.349541209,0.350958603
ENSMUSG00000050747,0.69440927,0.946293896,0.249672292,0.200547773
ENSMUSG00000020660,0.744009932,0.547854361,0.499344584,0.300821659
ENSMUSG00000102206,0.466742231,0.356105335,0.652144026,0.61818851
ENSMUSG00000083816,0.644808608,0.498049419,0.499344584,0.451232489
ENSMUSG00000020905,0.496006621,0.622561774,0.674115188,0.300821659
ENSMUSG00000026601,0.644808608,0.547854361,0.399475667,0.501369432
ENSMUSG00000044562,0.47120629,0.547854361,0.798951334,0.275753188
ENSMUSG00000081059,0.570407615,0.448244477,0.661631573,0.413629782
ENSMUSG00000054945,0.446405959,0.946293896,0.149803375,0.551506375
ENSMUSG00000029055,0.545607284,0.448244477,0.599213501,0.501369432
ENSMUSG00000031312,0.545607284,0.498049419,0.449410125,0.601643319
ENSMUSG00000051506,0.496006621,0.547854361,0.399475667,0.651780262
ENSMUSG00000038486,0.545607284,0.298829651,0.599213501,0.651780262
ENSMUSG00000051951,0.396805297,0.597659303,0.499344584,0.601643319
ENSMUSG00000038453,0.570407615,0.423342006,0.274639521,0.827259563
ENSMUSG00000018654,0.396805297,0.547854361,0.499344584,0.651780262
ENSMUSG00000054065,0.396805297,0.348634593,0.649147959,0.701917205
ENSMUSG00000025375,0.347204635,0.448244477,0.599213501,0.701917205
ENSMUSG00000005465,0.248003311,0.348634593,0.699082417,0.802191092
ENSMUSG00000079034,0.611576164,0.783431736,0.353535965,0.349454494
ENSMUSG00000064294,0.248003311,0.149414826,0.948754709,0.752054148
ENSMUSG00000070644,0.198402649,0.348634593,0.749016876,0.802191092
ENSMUSG00000098003,0.828331058,0.697269187,0.307096919,0.267229907
ENSMUSG00000031554,0.099201324,0.24902471,0.649147959,1.103012751
ENSMUSG00000108571,0.560983489,0.498547469,0.489357692,0.553511853
ENSMUSG00000027470,0.597687979,0.84917426,0.302103473,0.35346545
ENSMUSG00000090634,0.273795655,0.163360209,0.916297311,0.756065104
ENSMUSG00000103092,0.449878006,0.323732122,0.642656479,0.695399402
ENSMUSG00000108840,0.51088682,0.783929786,0.447412747,0.373520227
ENSMUSG00000098157,0.834283137,0.722171658,0.302103473,0.258205258
ENSMUSG00000117077,0.669608939,0.597659303,0.474377355,0.376027074
ENSMUSG00000098826,0.545607284,0.622561774,0.524311813,0.426164017
ENSMUSG00000068463,0.372004966,0.473146948,0.549279042,0.726985677
ENSMUSG00000082549,0.524775005,0.631028614,0.540790184,0.430174973
ENSMUSG00000093606,0.455334078,0.355109236,0.760501801,0.55652007
ENSMUSG00000070034,0.273795655,0.147422628,1.002683924,0.706930899
ENSMUSG00000093290,0.533207118,0.547854361,0.599213501,0.451232489
ENSMUSG00000113409,0.467238237,0.518469445,0.495849172,0.651780262
ENSMUSG00000103948,0.607608111,0.430314698,0.536795428,0.564040611
ENSMUSG00000112776,0.805514753,0.766000007,0.319580534,0.249180608
ENSMUSG00000086308,0.868011587,0.373537064,0.524311813,0.376027074
ENSMUSG00000064437,0.843211256,0.448244477,0.449410125,0.401095546
ENSMUSG00000097855,0.744009932,0.647464245,0.349541209,0.401095546
ENSMUSG00000037169,0.69440927,0.547854361,0.449410125,0.451232489
ENSMUSG00000064968,0.595207946,0.547854361,0.574246271,0.426164017
ENSMUSG00000067285,0.644808608,0.423342006,0.549279042,0.526437904
ENSMUSG00000079434,0.570407615,0.510500655,0.536795428,0.526437904
ENSMUSG00000044288,0.347204635,0.796879071,0.549279042,0.451232489
ENSMUSG00000100018,0.496006621,0.348634593,0.815429705,0.484824241
ENSMUSG00000088948,0.570407615,0.398439535,0.474377355,0.701917205
ENSMUSG00000099319,0.396805297,0.597659303,0.574246271,0.576574847
ENSMUSG00000030877,0.297603973,0.448244477,0.898820251,0.501369432
ENSMUSG00000061132,0.595207946,0.84917426,0.549279042,0.152917677
ENSMUSG00000047013,0.347204635,0.498049419,0.549279042,0.752054148
ENSMUSG00000040522,0.446405959,0.24902471,0.649147959,0.802191092
ENSMUSG00000028392,0.396805297,0.149414826,0.798951334,0.802191092
ENSMUSG00000037446,0.901244031,0.996098838,0.149803375,0.100273886
ENSMUSG00000021209,0.248003311,0.149414826,0.998689168,0.752054148
ENSMUSG00000112811,0.453846059,0.561301695,0.621684007,0.51239956
ENSMUSG00000092572,0.124001655,0.199219768,0.699082417,1.128081222
ENSMUSG00000031849,0.148801986,0.199219768,0.599213501,1.203286637
ENSMUSG00000039545,0.430037741,0.581223672,0.490855726,0.651780262
ENSMUSG00000098077,0.731609767,0.839213271,0.294613304,0.292298379
ENSMUSG00000111864,0.272803642,0.51448505,0.549279042,0.827259563
ENSMUSG00000085081,0.620008277,0.547854361,0.574246271,0.426164017
ENSMUSG00000104141,0.496006621,0.572756832,0.524311813,0.576574847
ENSMUSG00000114622,0.545607284,0.473146948,0.549279042,0.601643319
ENSMUSG00000113075,0.58875986,0.53988557,0.534798049,0.507385865
ENSMUSG00000037280,0.322404304,0.448244477,0.798951334,0.601643319
ENSMUSG00000043541,0.396805297,0.27392718,0.749016876,0.752054148
ENSMUSG00000056290,0.22320298,0.24902471,0.773984105,0.92753345
ENSMUSG00000027344,0.710777489,0.813314701,0.424442896,0.225616244
ENSMUSG00000104148,0.400277343,0.329708715,0.699082417,0.745536346
ENSMUSG00000090356,0.313972191,0.722171658,0.482866213,0.660303542
ENSMUSG00000118199,0.528247052,0.562297794,0.52181509,0.574569369
ENSMUSG00000057228,1.091214567,0.647464245,0.349541209,0.100273886
ENSMUSG00000021356,0.892811919,0.946293896,0.149803375,0.200547773
ENSMUSG00000084127,0.58280778,0.373039015,0.599213501,0.634733701
ENSMUSG00000055761,0.793610594,0.498049419,0.349541209,0.551506375
ENSMUSG00000083731,0.620008277,0.647464245,0.474377355,0.451232489
ENSMUSG00000047976,0.69440927,0.498049419,0.499344584,0.501369432
ENSMUSG00000037686,0.595207946,0.697269187,0.399475667,0.501369432
ENSMUSG00000000706,0.595207946,0.747074129,0.29960675,0.551506375
ENSMUSG00000079467,0.595207946,0.647464245,0.399475667,0.551506375
ENSMUSG00000001948,0.644808608,0.498049419,0.474377355,0.576574847
ENSMUSG00000001946,0.545607284,0.697269187,0.399475667,0.551506375
ENSMUSG00000066196,0.347204635,0.796879071,0.399475667,0.651780262
ENSMUSG00000097534,0.496006621,0.24902471,0.898820251,0.551506375
ENSMUSG00000102545,0.396805297,0.697269187,0.399475667,0.701917205
ENSMUSG00000031285,0.545607284,0.149414826,0.848885792,0.651780262
ENSMUSG00000050854,0.396805297,0.448244477,0.749016876,0.601643319
ENSMUSG00000097276,0.297603973,0.298829651,0.998689168,0.601643319
ENSMUSG00000030699,0.297603973,0.448244477,0.749016876,0.701917205
ENSMUSG00000086236,0.372004966,0.24902471,0.699082417,0.877396506
ENSMUSG00000024401,0.248003311,0.298829651,0.898820251,0.752054148
ENSMUSG00000091754,0.482118436,0.537893373,0.597216122,0.581087172
ENSMUSG00000031028,0.173602317,0.423342006,0.649147959,0.952601921
ENSMUSG00000032482,0.101681357,0.547854361,0.699082417,0.852328035
ENSMUSG00000115067,0.586775833,0.631028614,0.507833442,0.476300961
ENSMUSG00000073733,0.297603973,0.304308195,0.649147959,0.952601921
ENSMUSG00000105333,0.54461527,0.57425098,0.588727264,0.506884496
ENSMUSG00000099104,0.843211256,0.572756832,0.29960675,0.501369432
ENSMUSG00000100222,0.620008277,0.722171658,0.399475667,0.476300961
ENSMUSG00000042567,0.466246224,0.551340707,0.499344584,0.701917205
ENSMUSG00000037548,0.809978813,0.603137847,0.352037932,0.453739336
ENSMUSG00000073077,0.421605628,0.498049419,0.499344584,0.802191092
ENSMUSG00000092868,0.22320298,0.448244477,0.998689168,0.551506375
ENSMUSG00000078611,0.272803642,0.423342006,0.674115188,0.852328035
ENSMUSG00000110595,0.701849369,0.311280887,0.534298705,0.675344625
ENSMUSG00000103770,0.400277343,0.404416128,0.727545059,0.691388447
ENSMUSG00000087424,0.69440927,0.821781541,0.449410125,0.259207996
ENSMUSG00000092021,0.024800331,0,1.060108551,1.144626414
ENSMUSG00000100586,0.198402649,0.439777637,0.732538504,0.859347207
ENSMUSG00000117578,0.619016264,0.53988557,0.623182041,0.451232489
ENSMUSG00000028977,0.396805297,0.27392718,0.749016876,0.814725327
ENSMUSG00000086657,0.744009932,0.796879071,0.499344584,0.200547773
ENSMUSG00000025189,0.768810263,0.547854361,0.349541209,0.576574847
ENSMUSG00000006313,0.545607284,0.348634593,0.749016876,0.601643319
ENSMUSG00000074207,0.396805297,0.597659303,0.724049646,0.526437904
ENSMUSG00000110361,0.496006621,0.547854361,0.524311813,0.676848733
ENSMUSG00000040009,0.396805297,0.647464245,0.599213501,0.601643319
ENSMUSG00000038782,0.496006621,0.749564376,0.599213501,0.401095546
ENSMUSG00000065378,0.322404304,0.672366716,0.424442896,0.827259563
ENSMUSG00000079261,0.372004966,0.498049419,0.524311813,0.852328035
ENSMUSG00000011263,0.446405959,0.298829651,0.499344584,1.002738864
ENSMUSG00000051246,0.248003311,0.24902471,0.948754709,0.802191092
ENSMUSG00000061576,0.297603973,0.24902471,0.898820251,0.804697939
ENSMUSG00000050876,0.056544755,0.176807544,1.004181958,1.022793642
ENSMUSG00000101337,0.437973847,0.25749155,0.565757413,1.002738864
ENSMUSG00000083562,0.748473992,0.553830954,0.452406193,0.516410515
ENSMUSG00000018341,0.427557708,0.398439535,0.898820251,0.551506375
ENSMUSG00000019936,0.049600662,0,0.948754709,1.278492052
ENSMUSG00000092192,0.372004966,0.357101433,0.92378748,0.635235071
ENSMUSG00000005355,0.992013243,0.896488954,0.199737834,0.200547773
ENSMUSG00000026938,0.644808608,0.996098838,0.29960675,0.350958603
ENSMUSG00000064179,0.843211256,0.398439535,0.549279042,0.501369432
ENSMUSG00000089706,0.69440927,0.647464245,0.499344584,0.451232489
ENSMUSG00000028591,0.496006621,0.697269187,0.499344584,0.601643319
ENSMUSG00000004630,0.496006621,0.647464245,0.574246271,0.576574847
ENSMUSG00000024033,0.446405959,0.597659303,0.549279042,0.701917205
ENSMUSG00000047904,0.248003311,0.697269187,0.649147959,0.701917205
ENSMUSG00000100254,0.297603973,0.373537064,1.048623626,0.576574847
ENSMUSG00000113971,0.742025906,0.619075428,0.457898983,0.479810547
ENSMUSG00000022510,0.148801986,0.298829651,0.948754709,0.902464978
ENSMUSG00000035352,0.099201324,0.099609884,1.248361459,0.852328035
ENSMUSG00000092019,0.742025906,0.62555007,0.457898983,0.474295483
ENSMUSG00000079031,0.742025906,0.62555007,0.457898983,0.474295483
ENSMUSG00000035930,0.099201324,0,0.798951334,1.40383441
ENSMUSG00000074071,0.69440927,0.552834855,0.70157914,0.353966819
ENSMUSG00000011154,0.446405959,0.298829651,0.499344584,1.058892241
ENSMUSG00000104252,0.466742231,0.398439535,0.706073241,0.734506218
ENSMUSG00000032750,0.052080695,0.365070224,0.815429705,1.077944279
ENSMUSG00000053395,0.892811919,0.622561774,0.349541209,0.451232489
ENSMUSG00000052387,0.620008277,0.597659303,0.599213501,0.501369432
ENSMUSG00000096169,0.644808608,0.332198963,0.823918563,0.517914623
ENSMUSG00000064440,0.545607284,0.622561774,0.599213501,0.551506375
ENSMUSG00000112259,0.595207946,0.498049419,0.599213501,0.62671179
ENSMUSG00000099047,0.47120629,0.498049419,0.649147959,0.701917205
ENSMUSG00000088524,0.347204635,0.398439535,0.873853022,0.701917205
ENSMUSG00000099241,0.689449204,0.693284791,0.459397017,0.481314655
ENSMUSG00000039200,0.173602317,0.174317297,0.798951334,1.178218166
ENSMUSG00000109813,0.603640058,0.672366716,0.532800671,0.517914623
ENSMUSG00000023931,0.496006621,0.298829651,0.730041781,0.802191092
ENSMUSG00000101355,0.905708091,1.021997408,0.260657873,0.145898505
ENSMUSG00000113643,0.655720754,0.675853062,0.626677453,0.376027074
ENSMUSG00000072972,0.578839727,0.589192463,0.682604046,0.484824241
ENSMUSG00000044338,1.190415891,0.697269187,0.199737834,0.250684716
ENSMUSG00000042540,0.502454708,0.546858262,0.6776106,0.614177554
ENSMUSG00000040189,0.570407615,0.606126143,0.512826888,0.651780262
ENSMUSG00000022523,0.545607284,1.04590378,0.249672292,0.501369432
ENSMUSG00000028838,0.744009932,0.747074129,0.399475667,0.453739336
ENSMUSG00000032725,0.347204635,0.722171658,0.773984105,0.501369432
ENSMUSG00000089876,0.347204635,0.747074129,0.649147959,0.601643319
ENSMUSG00000067860,0.396805297,0.597659303,0.699082417,0.651780262
ENSMUSG00000065281,0.47120629,0.348634593,0.699082417,0.827259563
ENSMUSG00000022987,0.396805297,0.498049419,0.649147959,0.802191092
ENSMUSG00000064918,0.297603973,0.498049419,0.898820251,0.651780262
ENSMUSG00000024867,0.396805297,0.398439535,0.749016876,0.802191092
ENSMUSG00000109284,0.248003311,0.697269187,0.649147959,0.752054148
ENSMUSG00000085084,0.248003311,0.298829651,0.848885792,0.952601921
ENSMUSG00000056856,0.198402649,0.27392718,0.848885792,1.027807336
ENSMUSG00000082304,0.91017215,0.840707419,0.320579223,0.283273729
ENSMUSG00000025723,0.372004966,0.510500655,0.873853022,0.601643319
ENSMUSG00000110156,0.91761225,0.639993504,0.501841307,0.303328506
ENSMUSG00000033409,0.868011587,0.473146948,0.499344584,0.526437904
ENSMUSG00000117877,0.644808608,0.572756832,0.640659101,0.509892713
ENSMUSG00000020191,0.595207946,0.323732122,0.699082417,0.752054148
ENSMUSG00000044827,0.396805297,0.373537064,0.823918563,0.77712262
ENSMUSG00000018727,0.372004966,0.448244477,0.699082417,0.852328035
ENSMUSG00000079013,0.210802814,0.473146948,0.890331393,0.798180136
