"2024-07-01 at 11:16"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2024-07-01	11:17:05	4.16158e2	1.44466e1	1.26667e1	5.14835e1	1.01801e2	9.6956253e-2	9.6255064e-2	2.0122284e1	7.1192502e-1	
2024-07-01	11:17:06	4.16671e2	1.44577e1	1.26800e1	5.14802e1	1.01811e2	9.7052631e-2	9.6315565e-2	2.0117249e1	7.1162462e-1	
2024-07-01	11:17:06	4.16671e2	1.44577e1	1.26800e1	5.14802e1	1.01811e2	9.7052631e-2	9.6315565e-2	2.0117249e1	7.1162462e-1	
2024-07-01	11:17:07	4.16556e2	1.44627e1	1.26836e1	5.14736e1	1.01800e2	9.7023963e-2	9.6330051e-2	2.0118088e1	7.1374645e-1	
2024-07-01	11:17:07	4.16592e2	1.44473e1	1.26688e1	5.14769e1	1.01810e2	9.7039165e-2	9.6267700e-2	2.0126481e1	7.0619163e-1	
2024-07-01	11:17:08	4.19145e2	1.44367e1	1.26571e1	5.14769e1	1.01806e2	9.7460689e-2	9.6215667e-2	2.0114731e1	7.1550502e-1	
2024-07-01	11:17:08	4.17700e2	1.44497e1	1.26703e1	5.14736e1	1.01803e2	9.7217674e-2	9.6273241e-2	2.0116410e1	7.0995421e-1	
2024-07-01	11:17:09	4.15567e2	1.44463e1	1.26678e1	5.14769e1	1.01810e2	9.6868400e-2	9.6263046e-2	2.0123963e1	7.1220283e-1	
2024-07-01	11:17:09	4.15567e2	1.44463e1	1.26678e1	5.14769e1	1.01810e2	9.6868400e-2	9.6263046e-2	2.0123963e1	7.1220283e-1	
2024-07-01	11:17:10	4.15949e2	1.44388e1	1.26582e1	5.14769e1	1.01798e2	9.6920728e-2	9.6218824e-2	2.0125641e1	7.1531553e-1	
2024-07-01	11:17:10	4.20592e2	1.44514e1	1.26735e1	5.14802e1	1.01812e2	9.7706556e-2	9.6287841e-2	2.0130677e1	7.0423579e-1	
2024-07-01	11:17:11	4.19007e2	1.44594e1	1.26807e1	5.14769e1	1.01804e2	9.7435588e-2	9.6318006e-2	2.0112214e1	7.1631822e-1	
2024-07-01	11:17:11	4.15721e2	1.44430e1	1.26640e1	5.14769e1	1.01808e2	9.6892061e-2	9.6246128e-2	2.0114731e1	7.1164984e-1	
2024-07-01	11:17:12	4.16470e2	1.44475e1	1.26690e1	5.14769e1	1.01810e2	9.7018833e-2	9.6268358e-2	2.0124802e1	7.1128568e-1	
2024-07-01	11:17:12	4.16470e2	1.44475e1	1.26690e1	5.14769e1	1.01810e2	9.7018833e-2	9.6268358e-2	2.0124802e1	7.1128568e-1	
2024-07-01	11:17:13	4.19141e2	1.44489e1	1.26693e1	5.14769e1	1.01802e2	9.7455501e-2	9.6267814e-2	2.0123124e1	7.1391010e-1	
2024-07-01	11:17:13	4.19092e2	1.44505e1	1.26724e1	5.14835e1	1.01811e2	9.7455139e-2	9.6281824e-2	2.0126481e1	7.0628223e-1	
2024-07-01	11:17:14	4.17972e2	1.44397e1	1.26601e1	5.14835e1	1.01806e2	9.7263698e-2	9.6227588e-2	2.0119767e1	7.1485633e-1	
2024-07-01	11:17:14	4.16674e2	1.44340e1	1.26541e1	5.14769e1	1.01805e2	9.7048521e-2	9.6202611e-2	2.0113053e1	7.1058397e-1	
2024-07-01	11:17:15	4.16187e2	1.44369e1	1.26578e1	5.14702e1	1.01809e2	9.6972465e-2	9.6220855e-2	2.0118927e1	7.1142759e-1	
2024-07-01	11:17:15	4.16187e2	1.44369e1	1.26578e1	5.14702e1	1.01809e2	9.6972465e-2	9.6220855e-2	2.0118927e1	7.1142759e-1	
2024-07-01	11:17:16	4.19356e2	1.44563e1	1.26771e1	5.14769e1	1.01801e2	9.7491083e-2	9.6301555e-2	2.0124802e1	7.1428318e-1	
2024-07-01	11:17:16	4.19605e2	1.44468e1	1.26689e1	5.14802e1	1.01814e2	9.7544078e-2	9.6268177e-2	2.0121445e1	7.0498495e-1	
2024-07-01	11:17:17	4.21848e2	1.44439e1	1.26651e1	5.14802e1	1.01809e2	9.7911472e-2	9.6250715e-2	2.0121445e1	7.1498436e-1	
2024-07-01	11:17:17	4.23301e2	1.44541e1	1.26757e1	5.14802e1	1.01808e2	9.8151092e-2	9.6296491e-2	2.0123124e1	7.0995240e-1	
2024-07-01	11:17:18	4.20466e2	1.44564e1	1.26782e1	5.14835e1	1.01808e2	9.7680931e-2	9.6306562e-2	2.0116410e1	7.1241111e-1	
2024-07-01	11:17:18	4.20466e2	1.44564e1	1.26782e1	5.14835e1	1.01808e2	9.7680931e-2	9.6306562e-2	2.0116410e1	7.1241111e-1	
2024-07-01	11:17:19	4.20320e2	1.44537e1	1.26738e1	5.14802e1	1.01798e2	9.7647609e-2	9.6286115e-2	2.0116410e1	7.1452622e-1	
2024-07-01	11:17:19	4.18825e2	1.44516e1	1.26734e1	5.14769e1	1.01811e2	9.7411928e-2	9.6287841e-2	2.0123124e1	7.0491766e-1	
2024-07-01	11:17:20	4.16271e2	1.44464e1	1.26671e1	5.14835e1	1.01804e2	9.6978845e-2	9.6257448e-2	2.0117249e1	7.1537265e-1	
2024-07-01	11:17:20	4.18500e2	1.44624e1	1.26840e1	5.14802e1	1.01805e2	9.7351608e-2	9.6331653e-2	2.0118927e1	7.1047744e-1	
2024-07-01	11:17:21	4.21584e2	1.44661e1	1.26884e1	5.14769e1	1.01808e2	9.7868080e-2	9.6352396e-2	2.0123124e1	7.1136875e-1	
2024-07-01	11:17:21	4.21584e2	1.44661e1	1.26884e1	5.14769e1	1.01808e2	9.7868080e-2	9.6352396e-2	2.0123124e1	7.1136875e-1	
2024-07-01	11:17:22	4.20393e2	1.44555e1	1.26756e1	5.14736e1	1.01798e2	9.7660598e-2	9.6295175e-2	2.0121445e1	7.1410937e-1	
2024-07-01	11:17:22	4.20941e2	1.44747e1	1.26980e1	5.14769e1	1.01812e2	9.7764911e-2	9.6394834e-2	2.0114731e1	7.0497617e-1	
2024-07-01	11:17:23	4.21024e2	1.44631e1	1.26850e1	5.14702e1	1.01807e2	9.7775039e-2	9.6338863e-2	2.0112214e1	7.1499223e-1	
2024-07-01	11:17:23	4.20559e2	1.44455e1	1.26662e1	5.14669e1	1.01805e2	9.7696723e-2	9.6256971e-2	2.0113053e1	7.1022710e-1	
2024-07-01	11:17:24	4.23718e2	1.44542e1	1.26761e1	5.14736e1	1.01810e2	9.8223686e-2	9.6299943e-2	2.0122284e1	7.1094222e-1	
2024-07-01	11:17:24	4.23718e2	1.44542e1	1.26761e1	5.14736e1	1.01810e2	9.8223686e-2	9.6299943e-2	2.0122284e1	7.1094222e-1	
2024-07-01	11:17:25	4.23500e2	1.44579e1	1.26786e1	5.14736e1	1.01800e2	9.8178091e-2	9.6308708e-2	2.0116410e1	7.1430215e-1	
2024-07-01	11:17:25	4.21288e2	1.44563e1	1.26790e1	5.14835e1	1.01815e2	9.7823858e-2	9.6311750e-2	2.0121445e1	7.0432143e-1	
2024-07-01	11:17:26	4.24128e2	1.44507e1	1.26718e1	5.14736e1	1.01806e2	9.8287525e-2	9.6280517e-2	2.0110535e1	7.1485548e-1	
2024-07-01	11:17:26	4.23050e2	1.44404e1	1.26610e1	5.14736e1	1.01807e2	9.8109722e-2	9.6233730e-2	2.0118927e1	7.1015863e-1	
2024-07-01	11:17:27	4.21638e2	1.44547e1	1.26766e1	5.14769e1	1.01810e2	9.7878341e-2	9.6301441e-2	2.0114731e1	7.1119222e-1	
2024-07-01	11:17:27	4.21638e2	1.44547e1	1.26766e1	5.14769e1	1.01810e2	9.7878341e-2	9.6301441e-2	2.0114731e1	7.1119222e-1	
2024-07-01	11:17:28	4.21482e2	1.44599e1	1.26808e1	5.14736e1	1.01801e2	9.7844839e-2	9.6318426e-2	2.0114731e1	7.1363162e-1	
2024-07-01	11:17:28	4.16827e2	1.44511e1	1.26735e1	5.14769e1	1.01814e2	9.7082796e-2	9.6288795e-2	2.0119767e1	7.0487327e-1	
2024-07-01	11:17:29	4.15724e2	1.44468e1	1.26675e1	5.14802e1	1.01804e2	9.6888246e-2	9.6259956e-2	2.0123124e1	7.1453619e-1	
2024-07-01	11:17:29	4.16625e2	1.44451e1	1.26661e1	5.14769e1	1.01807e2	9.7042198e-2	9.6255359e-2	2.0109696e1	7.1068692e-1	
2024-07-01	11:17:30	4.16931e2	1.44514e1	1.26731e1	5.14736e1	1.01810e2	9.7096147e-2	9.6286954e-2	2.0114731e1	7.1095952e-1	
2024-07-01	11:17:30	4.16931e2	1.44514e1	1.26731e1	5.14736e1	1.01810e2	9.7096147e-2	9.6286954e-2	2.0114731e1	7.1095952e-1	
2024-07-01	11:17:31	4.16268e2	1.44540e1	1.26746e1	5.14736e1	1.01802e2	9.6977710e-2	9.6291723e-2	2.0116410e1	7.1397213e-1	
2024-07-01	11:17:31	4.16426e2	1.44535e1	1.26758e1	5.14802e1	1.01813e2	9.7013769e-2	9.6298103e-2	2.0123963e1	7.0475273e-1	
2024-07-01	11:17:32	4.17833e2	1.44440e1	1.26654e1	5.14835e1	1.01811e2	9.7245273e-2	9.6251544e-2	2.0110535e1	7.1465373e-1	
2024-07-01	11:17:32	4.20742e2	1.44400e1	1.26608e1	5.14736e1	1.01807e2	9.7727956e-2	9.6232948e-2	2.0115571e1	7.0995326e-1	
2024-07-01	11:17:33	4.20268e2	1.44570e1	1.26789e1	5.14702e1	1.01809e2	9.7651901e-2	9.6312761e-2	2.0109696e1	7.1158318e-1	
2024-07-01	11:17:33	4.20268e2	1.44570e1	1.26789e1	5.14702e1	1.01809e2	9.7651901e-2	9.6312761e-2	2.0109696e1	7.1158318e-1	
2024-07-01	11:17:34	4.20557e2	1.44582e1	1.26790e1	5.14736e1	1.01801e2	9.7691421e-2	9.6310615e-2	2.0121445e1	7.1350746e-1	
2024-07-01	11:17:34	4.19177e2	1.44520e1	1.26742e1	5.14802e1	1.01813e2	9.7471952e-2	9.6290950e-2	2.0120606e1	7.0514545e-1	
2024-07-01	11:17:35	4.18132e2	1.44507e1	1.26722e1	5.14802e1	1.01809e2	9.7294149e-2	9.6281528e-2	2.0123124e1	7.1493873e-1	
2024-07-01	11:17:35	4.19629e2	1.44510e1	1.26729e1	5.14769e1	1.01811e2	9.7546339e-2	9.6285762e-2	2.0113892e1	7.0915980e-1	
2024-07-01	11:17:36	4.18359e2	1.44569e1	1.26794e1	5.14736e1	1.01813e2	9.7337131e-2	9.6314725e-2	2.0115571e1	7.1126055e-1	
2024-07-01	11:17:36	4.18359e2	1.44569e1	1.26794e1	5.14736e1	1.01813e2	9.7337131e-2	9.6314725e-2	2.0115571e1	7.1126055e-1	
2024-07-01	11:17:37	4.18017e2	1.44547e1	1.26751e1	5.14769e1	1.01800e2	9.7266788e-2	9.6292858e-2	2.0118927e1	7.1377654e-1	
2024-07-01	11:17:37	4.20295e2	1.44579e1	1.26802e1	5.14769e1	1.01811e2	9.7656965e-2	9.6317291e-2	2.0125641e1	7.0441217e-1	
2024-07-01	11:17:38	4.20382e2	1.44577e1	1.26791e1	5.14769e1	1.01805e2	9.7665309e-2	9.6311092e-2	2.0113892e1	7.1510686e-1	
2024-07-01	11:17:38	4.18409e2	1.44545e1	1.26759e1	5.14802e1	1.01806e2	9.7337360e-2	9.6296606e-2	2.0118927e1	7.0994377e-1	
2024-07-01	11:17:39	4.17309e2	1.44547e1	1.26768e1	5.14802e1	1.01811e2	9.7159204e-2	9.6302089e-2	2.0115571e1	7.1114115e-1	
2024-07-01	11:17:39	4.17309e2	1.44547e1	1.26768e1	5.14802e1	1.01811e2	9.7159204e-2	9.6302089e-2	2.0115571e1	7.1114115e-1	
2024-07-01	11:17:40	4.21242e2	1.44483e1	1.26684e1	5.14702e1	1.01800e2	9.7804069e-2	9.6264724e-2	2.0117249e1	7.1380758e-1	
2024-07-01	11:17:40	4.16264e2	1.44976e1	1.27222e1	5.14769e1	1.01812e2	9.6987066e-2	9.6500158e-2	2.0118088e1	7.0441045e-1	
2024-07-01	11:17:41	4.16703e2	1.44823e1	1.27048e1	5.14769e1	1.01803e2	9.7051982e-2	9.6422615e-2	2.0123963e1	7.1487975e-1	
2024-07-01	11:17:41	4.17946e2	1.44876e1	1.27106e1	5.14769e1	1.01805e2	9.7261066e-2	9.6448478e-2	2.0110535e1	7.0878934e-1	
2024-07-01	11:17:42	4.21000e2	1.44799e1	1.27032e1	5.14769e1	1.01810e2	9.7772598e-2	9.6417064e-2	2.0121445e1	7.1150450e-1	
2024-07-01	11:17:42	4.21000e2	1.44799e1	1.27032e1	5.14769e1	1.01810e2	9.7772598e-2	9.6417064e-2	2.0121445e1	7.1150450e-1	
2024-07-01	11:17:43	4.19657e2	1.44461e1	1.26656e1	5.14802e1	1.01796e2	9.7535552e-2	9.6249942e-2	2.0116410e1	7.1378798e-1	
