Model:	LI-7810
SN:	TG10-01087
Software Version:	2.1.41
Timestamp:	2022-07-11 07:14:15
Timezone:	EST
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATA	1657638438	984519958	18495	0	""	2022-07-12	10:07:18	31453.746	447.89359	2088.0239	39.6685	55.0003	28.321	37.832	0.00518164	10.9081	54.5005	-26.25	0.433817	15.5954	117
DATA	1657638439	984519958	18499	0	""	2022-07-12	10:07:19	31468.744	447.50717	2088.0493	39.6677	55.0003	28.3214	37.832	0.00517584	10.9073	54.5005	-56	0.433817	15.5962	 27
DATA	1657638440	984519958	18503	0	""	2022-07-12	10:07:20	31485.568	447.93185	2088.3416	39.6681	55.0003	28.3202	37.832	0.00518046	10.9068	54.5005	10.75	0.433817	15.5954	 94
DATA	1657638441	984519958	18507	0	""	2022-07-12	10:07:21	31498.066	448.10657	2088.395	39.6685	55.0003	28.3218	37.832	0.00516969	10.9072	54.5005	151.25	0.433817	15.5954	113
DATA	1657638442	984519958	18511	0	""	2022-07-12	10:07:22	31508.469	448.55176	2088.8486	39.6685	55.0003	28.3218	37.832	0.00514875	10.907	54.5005	-6.25	0.433817	15.5946	 64
DATA	1657638443	984519958	18515	0	""	2022-07-12	10:07:23	31523.316	449.49725	2089.1411	39.6693	55.0003	28.3202	37.832	0.00518079	10.9066	54.5005	137.75	0.433817	15.595	 97
DATA	1657638444	984519958	18519	0	""	2022-07-12	10:07:24	31537.943	448.82739	2088.9255	39.6677	55.0003	28.3231	37.832	0.00518727	10.9069	54.5005	81.5	0.433817	15.595	 30
DATA	1657638445	984185934	18523	0	""	2022-07-12	10:07:25	31561.471	449.08887	2088.9834	39.6689	55.0003	28.3235	37.832	0.0052083	10.9064	54.5005	66.25	0.433817	15.595	 14
DATA	1657638446	984185934	18527	0	""	2022-07-12	10:07:26	31577.23	449.98093	2089.2185	39.6701	55.0003	28.3222	37.832	0.00518212	10.9063	54.5005	-43.75	0.433817	15.5923	 85
DATA	1657638447	984185934	18531	0	""	2022-07-12	10:07:27	31592.031	449.16293	2089.2422	39.6705	55.0003	28.3247	37.832	0.00516917	10.9079	54.5005	225.75	0.433817	15.5927	149
DATA	1657638448	984185934	18535	0	""	2022-07-12	10:07:28	31605.711	450.91809	2089.5984	39.6697	55.0003	28.3255	37.832	0.00516056	10.9059	54.5005	-91.5	0.433817	15.5927	113
DATA	1657638449	984185934	18539	0	""	2022-07-12	10:07:29	31615.721	450.61703	2089.6343	39.6689	55.0003	28.3239	37.832	0.00515757	10.9071	54.5005	110.75	0.433817	15.5919	156
DATA	1657638450	984185934	18543	0	""	2022-07-12	10:07:30	31625.256	449.85641	2089.5823	39.6701	55.0003	28.3251	37.832	0.00516535	10.9068	54.5005	-91.25	0.433817	15.5919	136
DATA	1657638451	984185934	18547	0	""	2022-07-12	10:07:31	31635	450.67438	2089.5747	39.6697	55.0003	28.3222	37.832	0.00517785	10.9069	54.5005	61.5	0.433817	15.5923	115
DATA	1657638452	984185934	18551	0	""	2022-07-12	10:07:32	31645.355	450.13406	2089.6499	39.6693	55.0003	28.3227	37.832	0.00518197	10.9074	54.5005	-50.5	0.433817	15.5919	 94
DATA	1657638453	983849048	18555	0	""	2022-07-12	10:07:33	31653.9	450.72366	2089.7505	39.6701	55.0003	28.3235	37.832	0.00516873	10.9052	54.5005	24.5	0.433817	15.5923	191
DATA	1657638454	983849048	18559	0	""	2022-07-12	10:07:34	31661.984	451.31955	2089.8604	39.6705	55.0003	28.3243	37.832	0.00518042	10.9064	54.5005	-24.75	0.433817	15.5923	145
DATA	1657638455	983849048	18563	0	""	2022-07-12	10:07:35	31673.746	450.73932	2090.2354	39.6693	55.0003	28.3227	37.832	0.00519258	10.9064	54.5007	66.5	0.433817	15.595	  7
DATA	1657638456	983849048	18567	0	""	2022-07-12	10:07:36	31683.49	451.42361	2090.3618	39.6705	55.0003	28.3235	37.832	0.00518721	10.9068	54.5005	-132	0.433817	15.595	192
DATA	1657638457	983849048	18571	0	""	2022-07-12	10:07:37	31697.316	452.79791	2090.2839	39.6701	55.0003	28.3218	37.832	0.0052028	10.9055	54.5005	-46	0.433817	15.5938	209
DATA	1657638458	983849048	18575	0	""	2022-07-12	10:07:38	31707.594	451.8981	2090.1816	39.6709	55.0003	28.3194	37.832	0.00520285	10.9069	54.5009	22.75	0.433817	15.5935	 70
DATA	1657638459	983849048	18579	0	""	2022-07-12	10:07:39	31722.662	452.75525	2090.189	39.6693	55.0003	28.3194	37.832	0.00523238	10.9061	54.5009	-17.25	0.433817	15.5935	109
DATA	1657638460	983516931	18583	0	""	2022-07-12	10:07:40	31735.434	453.4552	2090.5664	39.6709	55.0003	28.3194	37.832	0.00522949	10.9063	54.5007	39.25	0.433817	15.5931	 38
DATA	1657638461	983516931	18587	0	""	2022-07-12	10:07:41	31742.975	452.06519	2090.5457	39.6705	55.0003	28.3222	37.832	0.0052028	10.9065	54.5009	131.75	0.433817	15.5931	 80
DATA	1657638462	983516931	18591	0	""	2022-07-12	10:07:42	31749.285	453.34335	2090.729	39.6705	55.0003	28.3235	37.832	0.00521584	10.9054	54.5013	-44.75	0.433817	15.5935	 82
DATA	1657638463	983516931	18595	0	""	2022-07-12	10:07:43	31754.098	452.15683	2090.927	39.6709	55.0003	28.3243	37.832	0.00520374	10.9061	54.5013	-33.5	0.433817	15.5919	 32
DATA	1657638464	983516931	18599	0	""	2022-07-12	10:07:44	31762.029	452.55133	2090.8181	39.6709	55.0003	28.3239	37.832	0.00521224	10.9071	54.5011	1.75	0.433817	15.5915	 25
DATA	1657638465	983516931	18603	0	""	2022-07-12	10:07:45	31763.924	452.05289	2091.0271	39.6714	55.0003	28.3231	37.832	0.00520096	10.9057	54.5013	-56.75	0.433817	15.5915	121
DATA	1657638466	983516931	18607	0	""	2022-07-12	10:07:46	31762.012	453.44217	2090.9062	39.6714	55.0003	28.3206	37.832	0.00520834	10.9062	54.5011	-32.75	0.433817	15.5919	109
DATA	1657638467	983516931	18611	0	""	2022-07-12	10:07:47	31762.814	452.25974	2091.1013	39.6697	55.0003	28.3214	37.832	0.00519938	10.9059	54.5005	4.25	0.433817	15.5911	 37
DATA	1657638468	983182907	18615	0	""	2022-07-12	10:07:48	31759.701	453.07382	2091.2007	39.6705	55.0003	28.3227	37.832	0.00519898	10.9061	54.5005	-72.5	0.433817	15.5903	 85
DATA	1657638469	983182907	18619	0	""	2022-07-12	10:07:49	31761.174	454.51242	2091.4827	39.6705	55.0003	28.3206	37.832	0.00521699	10.906	54.5005	101.75	0.433817	15.5907	 90
DATA	1657638470	983182907	18623	0	""	2022-07-12	10:07:50	31764.273	454.59973	2091.363	39.6709	55.0003	28.3218	37.832	0.00520199	10.9058	54.5005	-70	0.433817	15.5907	194
DATA	1657638471	983182907	18627	0	""	2022-07-12	10:07:51	31768.314	453.99188	2091.6421	39.6722	55.0003	28.3214	37.832	0.00520615	10.9057	54.5005	98.75	0.433817	15.5911	 91
DATA	1657638472	983182907	18631	0	""	2022-07-12	10:07:52	31769.451	453.97745	2091.6477	39.6722	55.0003	28.3235	37.832	0.00518781	10.9069	54.5005	107.75	0.433817	15.5931	157
DATA	1657638473	983182907	18635	0	""	2022-07-12	10:07:53	31760.307	455.25027	2092.0347	39.6714	55.0003	28.3251	37.832	0.00519174	10.9065	54.5005	1.75	0.433817	15.5927	 25
DATA	1657638474	983182907	18639	0	""	2022-07-12	10:07:54	31750.529	455.61969	2092.1572	39.6718	55.0003	28.3227	37.832	0.00520155	10.9063	54.5005	-35.5	0.433817	15.5923	 89
DATA	1657638475	982846021	18643	0	""	2022-07-12	10:07:55	31738.879	456.75287	2092.2185	39.6709	55.0003	28.3214	37.832	0.00520209	10.9059	54.5005	-49	0.433817	15.5923	  0
DATA	1657638476	982846021	18647	0	""	2022-07-12	10:07:56	31727.594	455.30347	2092.176	39.6714	55.0003	28.3214	37.832	0.0051699	10.905	54.5005	164.75	0.433817	15.5923	249
DATA	1657638477	982846021	18651	0	""	2022-07-12	10:07:57	31718.861	454.952	2092.1113	39.6709	55.0003	28.3247	37.832	0.00517134	10.9058	54.5005	-22.25	0.433817	15.5923	 19
DATA	1657638478	982846021	18655	0	""	2022-07-12	10:07:58	31713.953	455.64645	2092.4758	39.6714	55.0003	28.3235	37.832	0.00518546	10.9057	54.5005	65.5	0.433817	15.5919	 63
DATA	1657638479	982846021	18659	0	""	2022-07-12	10:07:59	31712.58	455.75897	2092.4695	39.6714	55.0003	28.3247	37.832	0.00516583	10.9057	54.5005	-30.25	0.433817	15.5919	116
DATA	1657638480	982846021	18663	0	""	2022-07-12	10:08:00	31711.299	455.2157	2092.489	39.6705	55.0003	28.3251	37.832	0.00517145	10.9064	54.5005	5.5	0.433817	15.5899	134
DATA	1657638481	982846021	18667	0	""	2022-07-12	10:08:01	31714.883	455.95108	2092.5142	39.6705	55.0003	28.3235	37.832	0.0051835	10.9062	54.5011	-27.5	0.433817	15.5895	 22
DATA	1657638482	982846021	18671	0	""	2022-07-12	10:08:02	31716.371	455.77829	2092.8335	39.6709	55.0003	28.3218	37.832	0.00517334	10.9064	54.5013	76.5	0.433817	15.5895	 47
DATA	1657638483	982508897	18675	0	""	2022-07-12	10:08:03	31720.371	457.15369	2093.0317	39.6705	55.0003	28.3239	37.832	0.00519137	10.9058	54.5013	-76.75	0.433817	15.5899	159
DATA	1657638484	982508897	18679	0	""	2022-07-12	10:08:04	31727.973	456.72104	2092.9717	39.6709	55.0003	28.3198	37.832	0.00517793	10.9057	54.5011	16	0.433817	15.5891	235
DATA	1657638485	982508897	18683	0	""	2022-07-12	10:08:05	31727.814	457.55124	2093.2634	39.6718	55.0003	28.321	37.832	0.00519984	10.906	54.5013	42.25	0.433817	15.5891	  3
DATA	1657638486	982508897	18687	0	""	2022-07-12	10:08:06	31727.582	456.81873	2092.99	39.6701	55.0003	28.321	37.832	0.0052166	10.9063	54.5011	83.5	0.433817	15.5899	122
DATA	1657638487	982508897	18691	0	""	2022-07-12	10:08:07	31723.891	457.22495	2092.9646	39.6705	55.0003	28.3222	37.832	0.00520807	10.9063	54.5011	-9.75	0.433817	15.5907	106
DATA	1657638488	982508897	18695	0	""	2022-07-12	10:08:08	31714.529	458.10123	2093.29	39.6714	55.0003	28.321	37.832	0.00517847	10.9056	54.5009	26.5	0.433817	15.5903	154
DATA	1657638489	982508897	18699	0	""	2022-07-12	10:08:09	31709.27	457.42508	2093.1438	39.6718	55.0003	28.3235	37.832	0.00517979	10.9064	54.5007	141.25	0.433817	15.5915	126
DATA	1657638490	982172966	18703	0	""	2022-07-12	10:08:10	31707.764	458.00085	2093.532	39.6714	55.0003	28.3251	37.832	0.00517769	10.9067	54.5005	-58	0.433817	15.5911	184
DATA	1657638491	982172966	18707	0	""	2022-07-12	10:08:11	31705.387	456.74899	2093.5784	39.6714	55.0003	28.3231	37.832	0.00517993	10.9059	54.5005	-55.25	0.433817	15.5907	166
DATA	1657638492	982172966	18711	0	""	2022-07-12	10:08:12	31705.664	458.39981	2093.4775	39.6701	55.0003	28.3222	37.832	0.00518921	10.9063	54.5005	151.75	0.433817	15.5907	143
DATA	1657638493	982172966	18715	0	""	2022-07-12	10:08:13	31706.359	458.29932	2093.5237	39.6709	55.0003	28.3227	37.832	0.00518113	10.9064	54.5005	17.5	0.433817	15.5907	 45
DATA	1657638494	982172966	18719	0	""	2022-07-12	10:08:14	31706.004	458.62564	2094.0781	39.6722	55.0003	28.3222	37.832	0.00519731	10.9063	54.5005	64.5	0.433817	15.5907	 34
DATA	1657638495	982172966	18723	0	""	2022-07-12	10:08:15	31710.143	459.38721	2093.7727	39.6714	55.0003	28.3222	37.832	0.00519744	10.9065	54.5005	2	0.433817	15.5903	139
DATA	1657638496	982172966	18727	0	""	2022-07-12	10:08:16	31709.789	457.78345	2093.8743	39.6714	55.0003	28.3214	37.832	0.00518253	10.9061	54.5005	-30.5	0.433817	15.5903	100
DATA	1657638497	982172966	18731	0	""	2022-07-12	10:08:17	31714.713	459.53452	2093.978	39.6705	55.0003	28.3227	37.832	0.00518617	10.9058	54.5005	25.75	0.433817	15.588	 12
DATA	1657638498	981832981	18735	0	""	2022-07-12	10:08:18	31716.191	459.28329	2094.1094	39.6722	55.0003	28.3214	37.832	0.00519262	10.907	54.5005	82	0.433817	15.588	106
DATA	1657638499	981832981	18739	0	""	2022-07-12	10:08:19	31723.461	458.86676	2093.8101	39.6718	55.0003	28.3235	37.832	0.00520229	10.9066	54.5005	138.5	0.433817	15.588	 62
DATA	1657638500	981832981	18743	0	""	2022-07-12	10:08:20	31730.809	458.97247	2094.2837	39.6709	55.0003	28.3263	37.832	0.00519037	10.9069	54.5005	-79.25	0.433817	15.5872	152
DATA	1657638501	981832981	18747	0	""	2022-07-12	10:08:21	31738.561	458.18356	2094.2502	39.6709	55.0003	28.3231	37.832	0.00519465	10.9062	54.5005	-26.5	0.433817	15.5876	 83
DATA	1657638502	981832981	18751	0	""	2022-07-12	10:08:22	31747.088	458.06885	2094.364	39.6714	55.0003	28.3227	37.832	0.00519813	10.9056	54.5005	-26	0.433817	15.5872	198
DATA	1657638503	981832981	18755	0	""	2022-07-12	10:08:23	31758.32	458.08267	2094.5735	39.6718	55.0003	28.3227	37.832	0.00519719	10.9063	54.5005	-17.75	0.433817	15.5876	107
DATA	1657638504	981832981	18759	0	""	2022-07-12	10:08:24	31770.725	460.146	2094.5491	39.6722	55.0003	28.3231	37.832	0.0052233	10.9067	54.5007	-56.25	0.433817	15.5876	233
DATA	1657638505	981506109	18763	0	""	2022-07-12	10:08:25	31784.781	460.74323	2094.6206	39.6709	55.0003	28.3206	37.832	0.00520169	10.9062	54.5009	1	0.433817	15.588	 81
DATA	1657638506	981506109	18767	0	""	2022-07-12	10:08:26	31799.912	459.88394	2094.8145	39.6722	55.0003	28.3214	37.832	0.00521444	10.9063	54.5011	49	0.433817	15.5899	217
DATA	1657638507	981506109	18771	0	""	2022-07-12	10:08:27	31814.523	460.00812	2094.9778	39.6714	55.0003	28.321	37.832	0.00522054	10.9059	54.5011	-50	0.433817	15.5899	173
DATA	1657638508	981506109	18775	0	""	2022-07-12	10:08:28	31828.908	459.75546	2094.9985	39.6714	55.0003	28.3206	37.832	0.00520547	10.906	54.5013	5.25	0.433817	15.5899	 19
DATA	1657638509	981506109	18779	0	""	2022-07-12	10:08:29	31840.674	460.69797	2095.2798	39.6705	55.0003	28.321	37.832	0.00522302	10.9055	54.5013	-29	0.433817	15.5899	214
DATA	1657638510	981506109	18783	0	""	2022-07-12	10:08:30	31845.658	462.3519	2095.3975	39.673	55.0003	28.319	37.832	0.00521939	10.9065	54.5013	67.5	0.433817	15.5895	157
DATA	1657638511	981506109	18787	0	""	2022-07-12	10:08:31	31852.971	461.77164	2095.2048	39.6722	55.0003	28.3206	37.832	0.00521906	10.9057	54.5013	58.25	0.433817	15.5899	 91
DATA	1657638512	981506109	18791	0	""	2022-07-12	10:08:32	31860.928	461.7298	2095.3149	39.6722	55.0003	28.3227	37.832	0.00522193	10.9062	54.5005	-17.25	0.433817	15.5891	 76
DATA	1657638513	981163024	18795	0	""	2022-07-12	10:08:33	31871.408	461.55524	2095.4824	39.6722	55.0003	28.3202	37.832	0.00523419	10.9055	54.5007	-26.25	0.433817	15.5887	120
DATA	1657638514	981163024	18799	0	""	2022-07-12	10:08:34	31884.145	460.44131	2095.3823	39.673	55.0003	28.321	37.832	0.00519288	10.9056	54.5005	123.25	0.433817	15.5868	 27
DATA	1657638515	981163024	18803	0	""	2022-07-12	10:08:35	31901.543	461.59848	2095.2327	39.673	55.0003	28.3222	37.832	0.00519781	10.9058	54.5005	-32.5	0.433817	15.5868	 24
DATA	1657638516	981163024	18807	0	""	2022-07-12	10:08:36	31914.404	461.55716	2095.2002	39.673	55.0003	28.3214	37.832	0.00520843	10.9059	54.5005	70	0.433817	15.5864	113
DATA	1657638517	981163024	18811	0	""	2022-07-12	10:08:37	31928.549	461.52957	2095.448	39.673	55.0003	28.3227	37.832	0.005206	10.9049	54.5005	10.75	0.433817	15.586	 87
DATA	1657638518	981163024	18815	0	""	2022-07-12	10:08:38	31939.455	461.72067	2095.5586	39.6738	55.0003	28.3239	37.832	0.005225	10.9056	54.5005	-33.75	0.433817	15.586	249
DATA	1657638519	981163024	18819	0	""	2022-07-12	10:08:39	31946.846	462.85376	2095.8589	39.6726	55.0003	28.3227	37.832	0.00524259	10.9058	54.5005	-44.5	0.433817	15.5856	120
DATA	1657638520	980834007	18823	0	""	2022-07-12	10:08:40	31958.535	461.71164	2095.6792	39.6726	55.0003	28.321	37.832	0.00523171	10.9049	54.5005	-78.25	0.433817	15.586	 25
DATA	1657638521	980834007	18827	0	""	2022-07-12	10:08:41	31961.064	461.3042	2095.4844	39.673	55.0003	28.321	37.832	0.00520994	10.9049	54.5005	68.5	0.433817	15.5864	129
DATA	1657638522	980834007	18831	0	""	2022-07-12	10:08:42	31967.629	463.24792	2095.9834	39.673	55.0003	28.3206	37.832	0.00522823	10.9051	54.5005	-27	0.433817	15.5868	192
DATA	1657638523	980834007	18835	0	""	2022-07-12	10:08:43	31974.064	462.38702	2096.1428	39.6746	55.0003	28.3206	37.832	0.00522984	10.9047	54.5005	36.25	0.433817	15.5884	 90
DATA	1657638524	980834007	18839	0	""	2022-07-12	10:08:44	31978.84	463.63965	2095.8428	39.6726	55.0003	28.3214	37.832	0.00523973	10.9057	54.5005	-21.5	0.433817	15.588	  4
DATA	1657638525	980834007	18843	0	""	2022-07-12	10:08:45	31984.033	463.40738	2096.0288	39.673	55.0003	28.3222	37.832	0.0052442	10.9048	54.5005	-27	0.433817	15.5876	132
DATA	1657638526	980834007	18847	0	""	2022-07-12	10:08:46	31986.443	462.9744	2096.0601	39.673	55.0003	28.3227	37.832	0.00522815	10.905	54.5007	7.5	0.433817	15.5876	 97
DATA	1657638527	980834007	18851	0	""	2022-07-12	10:08:47	31989.367	463.10794	2096.1538	39.6742	55.0003	28.3222	37.832	0.00524281	10.905	54.5007	1.25	0.433817	15.5876	247
DATA	1657638528	980492115	18855	0	""	2022-07-12	10:08:48	31993.41	463.01666	2096.1118	39.673	55.0003	28.3222	37.832	0.00525069	10.905	54.5007	122	0.433817	15.5872	 82
DATA	1657638529	980492115	18859	0	""	2022-07-12	10:08:49	31998.684	463.52872	2096.1553	39.6742	55.0003	28.3231	37.832	0.00525603	10.9049	54.5007	-97.25	0.433817	15.5872	164
DATA	1657638530	980492115	18863	0	""	2022-07-12	10:08:50	32006.172	461.82776	2095.9438	39.6734	55.0003	28.319	37.832	0.00523448	10.9042	54.5009	6.75	0.433817	15.5872	244
DATA	1657638531	980492115	18867	0	""	2022-07-12	10:08:51	32004.949	463.4859	2095.875	39.6734	55.0003	28.3194	37.832	0.00523155	10.9047	54.5005	82.25	0.433817	15.5852	251
DATA	1657638532	980492115	18871	0	""	2022-07-12	10:08:52	32000.078	463.84448	2096.5359	39.6746	55.0003	28.321	37.832	0.00522454	10.905	54.5005	127.5	0.433817	15.5852	227
DATA	1657638533	980492115	18875	0	""	2022-07-12	10:08:53	31992.326	464.76309	2096.4236	39.6734	55.0003	28.3231	37.832	0.00523473	10.9051	54.5011	70.25	0.433817	15.5848	 83
DATA	1657638534	980492115	18879	0	""	2022-07-12	10:08:54	31984.746	464.07758	2096.48	39.6742	55.0003	28.3227	37.832	0.00521824	10.905	54.5013	-59.75	0.433817	15.5852	  6
DATA	1657638535	980163097	18883	0	""	2022-07-12	10:08:55	31974.865	465.17731	2096.8113	39.6734	55.0003	28.3222	37.832	0.00522099	10.9053	54.5013	-28.5	0.433817	15.5856	 95
DATA	1657638536	980163097	18887	0	""	2022-07-12	10:08:56	31971.992	463.94748	2096.9707	39.6738	55.0003	28.3222	37.832	0.00524339	10.905	54.5013	-4.75	0.433817	15.5856	 73
DATA	1657638537	980163097	18891	0	""	2022-07-12	10:08:57	31974.553	463.52234	2096.623	39.6738	55.0003	28.321	37.832	0.00523067	10.9052	54.5013	-3.5	0.433817	15.586	133
DATA	1657638538	980163097	18895	0	""	2022-07-12	10:08:58	31979.184	463.69925	2096.6843	39.6742	55.0003	28.3214	37.832	0.00522559	10.9051	54.5013	0	0.433817	15.586	121
DATA	1657638539	980163097	18899	0	""	2022-07-12	10:08:59	31985.789	465.05066	2096.8533	39.6746	55.0003	28.3218	37.832	0.00522727	10.9051	54.5009	36.25	0.433817	15.586	 81
DATA	1657638540	980163097	18903	0	""	2022-07-12	10:09:00	31986.059	464.4469	2096.6997	39.6746	55.0003	28.3222	37.832	0.00522721	10.905	54.5009	-32.25	0.433817	15.5884	 41
DATA	1657638541	980163097	18907	0	""	2022-07-12	10:09:01	31987.686	464.82983	2096.8491	39.6742	55.0003	28.321	37.832	0.0052463	10.9064	54.5005	157.5	0.433817	15.5864	  6
DATA	1657638542	980163097	18911	0	""	2022-07-12	10:09:02	31980.992	464.6481	2096.939	39.6742	55.0003	28.3222	37.832	0.0052425	10.9047	54.5005	-13.25	0.433817	15.586	180
DATA	1657638543	979820966	18915	0	""	2022-07-12	10:09:03	31976.123	465.21405	2097.2344	39.6738	55.0003	28.3222	37.832	0.00523275	10.9049	54.5005	63.75	0.433817	15.586	 43
DATA	1657638544	979820966	18919	0	""	2022-07-12	10:09:04	31971.779	466.59866	2096.9448	39.6746	55.0003	28.3222	37.832	0.00523448	10.9049	54.5005	91.25	0.433817	15.586	 92
DATA	1657638545	979820966	18923	0	""	2022-07-12	10:09:05	31967.854	464.52716	2096.8423	39.6742	55.0005	28.3227	37.832	0.00523625	10.9053	54.5005	-55.5	0.433817	15.586	 55
DATA	1657638546	979820966	18927	0	""	2022-07-12	10:09:06	31964.359	464.43723	2096.907	39.6742	55.0003	28.3222	37.832	0.00521867	10.904	54.5005	-1.5	0.433817	15.5856	206
DATA	1657638547	979820966	18931	0	""	2022-07-12	10:09:07	31955.943	463.90948	2096.8772	39.6746	55.0003	28.3227	37.832	0.00521969	10.9052	54.5005	66.5	0.433817	15.5856	 89
DATA	1657638548	979820966	18935	0	""	2022-07-12	10:09:08	31944.674	464.47507	2097.1682	39.6742	55.0003	28.3235	37.832	0.00520769	10.9052	54.5005	-48.5	0.433817	15.5833	114
DATA	1657638549	979820966	18939	0	""	2022-07-12	10:09:09	31935.107	465.83261	2097.1013	39.675	55.0003	28.3231	37.832	0.00520053	10.9059	54.5005	182	0.433817	15.5836	199
DATA	1657638550	979485988	18943	0	""	2022-07-12	10:09:10	31923.117	466.71417	2097.4988	39.6742	55.0003	28.3235	37.832	0.00521412	10.9055	54.5005	-126.25	0.433817	15.5836	197
DATA	1657638551	979485988	18947	0	""	2022-07-12	10:09:11	31907.525	467.08945	2097.5791	39.6742	55.0003	28.3222	37.832	0.00520177	10.9059	54.5005	-12.5	0.433817	15.5833	108
DATA	1657638552	979485988	18951	0	""	2022-07-12	10:09:12	31892.904	465.81018	2097.562	39.675	55.0003	28.3214	37.832	0.00520538	10.9052	54.5005	69.25	0.433817	15.5833	  5
DATA	1657638553	979485988	18955	0	""	2022-07-12	10:09:13	31874.576	465.80014	2097.1074	39.6746	55.0003	28.3222	37.832	0.00519367	10.9055	54.5005	47.25	0.433817	15.5833	117
DATA	1657638554	979485988	18959	0	""	2022-07-12	10:09:14	31861.355	464.29807	2097.2991	39.6746	55.0005	28.3218	37.832	0.00517727	10.9055	54.5005	94	0.433817	15.5829	254
