Model:	LI-7820
SN:	TG20-01182
Software Version:	2.3.8
Timestamp:	2023-11-08 10:00:00
Timezone:	America/New_York
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATA	1699457123	3730058	18622	16	""	2023-11-08	10:25:23	13403.355	416.01511	39.6489	46.3589	31.6608	29.5611	0.00407518	34.7895	46.5981	-143	-0.378292	23.9495	143
DATA	1699457124	3587961	18632	16	""	2023-11-08	10:25:24	13404.604	416.52066	39.6488	46.3731	31.6517	29.5612	0.00409417	34.7919	46.6121	-128.2	-0.378292	23.9497	241
DATA	1699457125	3587961	18642	16	""	2023-11-08	10:25:25	13406.273	416.97223	39.6489	46.387	31.6412	29.561	0.00411077	34.7897	46.6266	-115.3	-0.378292	23.9495	158
DATA	1699457126	3587961	18652	16	""	2023-11-08	10:25:26	13406.611	416.85074	39.6488	46.4016	31.6293	29.561	0.00412074	34.7906	46.6413	-106.7	-0.378292	23.9497	194
DATA	1699457127	3453969	18662	16	""	2023-11-08	10:25:27	13407.816	417.10916	39.6491	46.4159	31.6185	29.561	0.00413261	34.7891	46.6554	-123.1	-0.378292	23.9499	204
DATA	1699457128	3453969	18672	16	""	2023-11-08	10:25:28	13408.738	417.147	39.6496	46.4295	31.6082	29.5612	0.00413901	34.7887	46.6691	-98.1	-0.378292	23.9491	125
DATA	1699457129	3453969	18682	16	""	2023-11-08	10:25:29	13410.1	417.14413	39.6488	46.4443	31.5989	29.5615	0.00415294	34.7862	46.6835	-125.5	-0.378292	23.9492	163
DATA	1699457130	3329992	18692	16	""	2023-11-08	10:25:30	13410.772	417.0181	39.6504	46.459	31.5886	29.561	0.00416959	34.7899	46.6973	-115.3	-0.378292	23.9489	118
DATA	1699457131	3329992	18702	16	""	2023-11-08	10:25:31	13410.595	417.47156	39.6504	46.4728	31.5802	29.561	0.00417465	34.7876	46.7111	-131.3	-0.378292	23.95	 74
DATA	1699457132	3329992	18712	16	""	2023-11-08	10:25:32	13412.689	417.46497	39.6491	46.4874	31.5685	29.561	0.00418243	34.7888	46.7255	-174.9	-0.378292	23.9503	225
DATA	1699457133	3200054	18722	16	""	2023-11-08	10:25:33	13411.835	417.48984	39.6488	46.5014	31.5563	29.5607	0.00419346	34.7901	46.7393	-102.4	-0.379359	23.9499	241
DATA	1699457134	3200054	18732	16	""	2023-11-08	10:25:34	13412.111	417.18057	39.6493	46.5157	31.5442	29.5592	0.00421161	34.7914	46.7538	-94.7	-0.38007	23.9503	101
DATA	1699457135	3200054	18742	16	""	2023-11-08	10:25:35	13412.751	417.29672	39.6489	46.5296	31.5342	29.5592	0.00421384	34.7883	46.7673	-120.9	-0.38007	23.9495	189
DATA	1699457136	3069162	18752	16	""	2023-11-08	10:25:36	13411.95	417.54187	39.6491	46.5439	31.5246	29.5592	0.0042211	34.7884	46.7814	-127.6	-0.38007	23.9494	 92
DATA	1699457137	3069162	18762	16	""	2023-11-08	10:25:37	13410.806	417.46188	39.6493	46.5583	31.5143	29.5592	0.00423464	34.7887	46.7958	-98.1	-0.38007	23.9489	173
DATA	1699457138	3069162	18772	16	""	2023-11-08	10:25:38	13411.733	418.11111	39.6496	46.5722	31.5054	29.5592	0.00425544	34.7906	46.8102	-100.7	-0.38007	23.9492	161
DATA	1699457139	2941131	18782	16	""	2023-11-08	10:25:39	13412.612	417.58792	39.6485	46.5863	31.4931	29.5592	0.00424764	34.7866	46.8243	-130.5	-0.38007	23.9495	205
DATA	1699457140	2941131	18792	16	""	2023-11-08	10:25:40	13412.669	417.92828	39.6494	46.6007	31.4836	29.5592	0.00425853	34.789	46.8387	-131.7	-0.38007	23.9495	156
DATA	1699457141	2941131	18802	16	""	2023-11-08	10:25:41	13412.192	417.67719	39.6496	46.6145	31.4739	29.5592	0.00426781	34.7901	46.8522	-67.9	-0.380159	23.9499	204
DATA	1699457142	2819061	18812	16	""	2023-11-08	10:25:42	13410.321	417.98578	39.6491	46.6296	31.4664	29.5568	0.00427422	34.7875	46.8664	-162.3	-0.384516	23.9497	  5
DATA	1699457143	2819061	18822	16	""	2023-11-08	10:25:43	13409.805	417.1691	39.6483	46.6442	31.4511	29.553	0.00429121	34.7884	46.8806	-134.2	-0.385405	23.9494	126
DATA	1699457144	2819061	18832	16	""	2023-11-08	10:25:44	13409.263	417.91327	39.6483	46.6585	31.4405	29.5539	0.00429491	34.7899	46.8944	-126	-0.385405	23.9497	174
DATA	1699457145	2681970	18842	16	""	2023-11-08	10:25:45	13408.924	417.99594	39.6496	46.6723	31.4309	29.5539	0.00429621	34.7882	46.9085	-111.8	-0.385405	23.9492	 20
DATA	1699457146	2681970	18852	16	""	2023-11-08	10:25:46	13407.748	418.08307	39.6493	46.6866	31.422	29.5539	0.0043021	34.7851	46.9227	-126.3	-0.385405	23.9492	147
DATA	1699457147	2681970	18862	16	""	2023-11-08	10:25:47	13407.231	417.8912	39.6493	46.7008	31.4091	29.5539	0.00431452	34.7886	46.9364	-132.3	-0.385405	23.9489	203
DATA	1699457148	2552986	18872	16	""	2023-11-08	10:25:48	13407.104	417.99408	39.6488	46.7146	31.4002	29.5539	0.00431412	34.7857	46.9505	-102.4	-0.385405	23.9499	  0
DATA	1699457149	2552986	18882	16	""	2023-11-08	10:25:49	13406.697	417.9841	39.6493	46.729	31.3912	29.5539	0.00433104	34.7854	46.9643	-131.8	-0.385405	23.9502	167
DATA	1699457150	2552986	18892	16	""	2023-11-08	10:25:50	13405.489	417.82648	39.6493	46.7431	31.3796	29.5539	0.00433652	34.787	46.979	-96.4	-0.385405	23.9503	131
DATA	1699457151	2438068	18902	16	""	2023-11-08	10:25:51	13404.778	417.94257	39.6494	46.7572	31.3702	29.5539	0.00434228	34.7854	46.9935	-124.2	-0.385405	23.9494	  2
DATA	1699457152	2438068	18912	16	""	2023-11-08	10:25:52	13403.499	418.33078	39.6496	46.7714	31.3586	29.5539	0.00434022	34.7869	47.007	-126	-0.385405	23.9495	104
DATA	1699457153	2438068	18922	16	""	2023-11-08	10:25:53	13401.973	417.54565	39.6489	46.7853	31.3477	29.5539	0.00434606	34.7877	47.0212	-107.4	-0.385405	23.9494	  3
DATA	1699457154	2290010	18932	16	""	2023-11-08	10:25:54	13400.732	417.61722	39.6504	46.8003	31.3393	29.5539	0.00436082	34.7858	47.0355	-126.3	-0.385405	23.9489	214
DATA	1699457155	2290010	18942	16	""	2023-11-08	10:25:55	13397.109	417.98193	39.6493	46.8146	31.3285	29.5539	0.00436812	34.7858	47.049	-105.2	-0.385405	23.9492	200
DATA	1699457156	2290010	18952	16	""	2023-11-08	10:25:56	13395.513	417.58362	39.6493	46.8286	31.3177	29.5539	0.00436456	34.7863	47.0636	-161.3	-0.385405	23.9495	255
DATA	1699457157	2161979	18962	16	""	2023-11-08	10:25:57	13394.161	417.741	39.6491	46.843	31.3048	29.5539	0.00436148	34.7877	47.0774	-116.1	-0.385405	23.9495	111
DATA	1699457158	2161979	18972	16	""	2023-11-08	10:25:58	13392.423	417.26816	39.6499	46.8568	31.297	29.5539	0.00437195	34.7873	47.091	-105.8	-0.385405	23.9499	195
DATA	1699457159	2161979	18982	16	""	2023-11-08	10:25:59	13389.806	418.0061	39.6494	46.8709	31.2889	29.5539	0.00436478	34.7863	47.1053	-128.9	-0.385405	23.9492	243
DATA	1699457160	2035140	18992	16	""	2023-11-08	10:26:00	13388.556	417.37711	39.6497	46.8854	31.2789	29.5539	0.00437324	34.7853	47.1191	-125.5	-0.385405	23.9494	254
DATA	1699457161	2035140	19002	16	""	2023-11-08	10:26:01	13387.948	417.48355	39.6491	46.8996	31.2688	29.5539	0.0043691	34.784	47.1335	-111.8	-0.385405	23.9497	149
DATA	1699457162	2035140	19012	16	""	2023-11-08	10:26:02	13385.205	417.72122	39.6499	46.9133	31.2583	29.5539	0.00436929	34.7845	47.1471	-127.3	-0.385405	23.9492	220
DATA	1699457163	1904964	19022	16	""	2023-11-08	10:26:03	13383.682	417.66092	39.6496	46.9279	31.2485	29.5539	0.00437596	34.7844	47.162	-122	-0.385405	23.9492	112
DATA	1699457164	1904964	19032	16	""	2023-11-08	10:26:04	13380.957	417.409	39.6486	46.9419	31.2366	29.5539	0.00437898	34.7872	47.1761	-121.1	-0.385405	23.9489	164
DATA	1699457165	1904964	19042	16	""	2023-11-08	10:26:05	13380.556	417.49792	39.6494	46.9556	31.2248	29.5539	0.00437273	34.7865	47.1897	-103.1	-0.385405	23.9502	  5
DATA	1699457166	1773118	19052	16	""	2023-11-08	10:26:06	13379.794	417.75931	39.6497	46.97	31.2154	29.5536	0.00437535	34.785	47.2037	-114.9	-0.386294	23.9503	108
DATA	1699457167	1773118	19062	16	""	2023-11-08	10:26:07	13376.976	417.03973	39.6493	46.9848	31.2035	29.5521	0.00437617	34.7867	47.2179	-118.6	-0.387183	23.9503	 11
DATA	1699457168	1773118	19072	16	""	2023-11-08	10:26:08	13373.132	417.22186	39.6496	46.999	31.1917	29.5521	0.00438508	34.7857	47.2318	-118.6	-0.387183	23.9497	215
DATA	1699457169	1646041	19082	16	""	2023-11-08	10:26:09	13370.844	417.36728	39.6497	47.013	31.1823	29.5521	0.00438317	34.7868	47.2457	-116.7	-0.387183	23.9491	198
DATA	1699457170	1646041	19092	16	""	2023-11-08	10:26:10	13369.414	417.17303	39.6496	47.027	31.1712	29.5521	0.00438104	34.7854	47.26	-135.6	-0.387183	23.9492	 57
DATA	1699457171	1646041	19102	16	""	2023-11-08	10:26:11	13367.314	416.93964	39.6491	47.0414	31.1599	29.5521	0.00437972	34.7846	47.274	-118.2	-0.387183	23.9491	182
DATA	1699457172	1523971	19112	16	""	2023-11-08	10:26:12	13364.415	416.87796	39.6488	47.0551	31.15	29.5521	0.00438301	34.786	47.2876	-129.3	-0.387183	23.9492	 87
DATA	1699457173	1523971	19122	16	""	2023-11-08	10:26:13	13362.335	416.86554	39.6491	47.0695	31.1395	29.5521	0.00437464	34.7852	47.3017	-140.6	-0.387183	23.9495	236
DATA	1699457174	1523971	19132	16	""	2023-11-08	10:26:14	13359.261	416.68533	39.6493	47.0839	31.1268	29.5521	0.00437222	34.7863	47.3158	-129.2	-0.387183	23.9495	244
DATA	1699457175	1384973	19142	16	""	2023-11-08	10:26:15	13357.156	416.59799	39.6491	47.0972	31.1171	29.5519	0.00437718	34.7871	47.3297	-138.4	-0.387895	23.9497	 36
DATA	1699457176	1384973	19152	16	""	2023-11-08	10:26:16	13355.357	416.70947	39.6497	47.1117	31.1053	29.5494	0.00437312	34.7876	47.3447	-103.1	-0.389851	23.9497	  2
DATA	1699457177	1384973	19162	16	""	2023-11-08	10:26:17	13353.414	416.82251	39.6499	47.126	31.0972	29.5489	0.00436961	34.7855	47.3584	-120.8	-0.389851	23.9497	224
DATA	1699457178	1255035	19172	16	""	2023-11-08	10:26:18	13351.318	415.89349	39.6497	47.1396	31.085	29.5495	0.00436973	34.7834	47.3726	-151.2	-0.389851	23.9495	222
DATA	1699457179	1255035	19182	16	""	2023-11-08	10:26:19	13349.306	416.17606	39.6499	47.1544	31.0724	29.5495	0.00437147	34.7866	47.3863	-124	-0.389851	23.9492	164
DATA	1699457180	1255035	19192	16	""	2023-11-08	10:26:20	13347.058	416.11469	39.6493	47.169	31.062	29.5495	0.00436503	34.7849	47.4004	-49.9	-0.389851	23.9492	 92
DATA	1699457181	1135110	19202	16	""	2023-11-08	10:26:21	13344.842	416.36053	39.6491	47.183	31.0543	29.5495	0.0043574	34.7834	47.4145	-129.4	-0.389851	23.9492	113
DATA	1699457182	1135110	19212	16	""	2023-11-08	10:26:22	13342.251	415.68619	39.6504	47.1971	31.0463	29.5495	0.00436492	34.783	47.4281	-128.5	-0.389851	23.9499	179
DATA	1699457183	1135110	19222	16	""	2023-11-08	10:26:23	13339.931	415.73123	39.6499	47.2112	31.036	29.5495	0.00436094	34.7824	47.4423	-123.5	-0.389851	23.9503	156
DATA	1699457184	1000165	19232	16	""	2023-11-08	10:26:24	13335.913	415.53488	39.65	47.2254	31.0242	29.5495	0.00435849	34.7827	47.4564	-136.4	-0.389851	23.9503	128
DATA	1699457185	1000165	19242	16	""	2023-11-08	10:26:25	13332.857	415.2756	39.6494	47.2394	31.0129	29.5495	0.00435321	34.7847	47.4702	-119.4	-0.389851	23.9494	187
DATA	1699457186	1000165	19252	16	""	2023-11-08	10:26:26	13329.564	415.36987	39.6491	47.2533	31.0027	29.5495	0.00434208	34.785	47.4842	-136.5	-0.389851	23.9494	195
DATA	1699457187	873088	19262	16	""	2023-11-08	10:26:27	13327.25	415.57889	39.6493	47.2676	30.9913	29.5495	0.00433273	34.785	47.4979	-106.9	-0.389851	23.9491	149
DATA	1699457188	873088	19272	16	""	2023-11-08	10:26:28	13324.812	415.16284	39.6493	47.2817	30.9824	29.5487	0.00432848	34.7861	47.5123	-106.9	-0.392252	23.9489	219
DATA	1699457189	873088	19282	16	""	2023-11-08	10:26:29	13321.44	414.88147	39.65	47.2954	30.9738	29.5437	0.00432429	34.7863	47.5266	-122.5	-0.395187	23.9494	 73
DATA	1699457190	735998	19292	16	""	2023-11-08	10:26:30	13318.729	415.21442	39.6499	47.3097	30.9625	29.5432	0.00432235	34.7821	47.5405	-162.4	-0.395187	23.9495	205
DATA	1699457191	735998	19302	16	""	2023-11-08	10:26:31	13315.964	415.13577	39.6494	47.3239	30.9507	29.5434	0.00431455	34.7828	47.5547	-102.4	-0.395187	23.9495	212
DATA	1699457192	735998	19312	18	""	2023-11-08	10:26:32	13311.864	414.90759	39.6494	47.3383	30.9426	29.544	0.00430832	34.7803	47.5684	-160.7	-0.396254	23.95	 54
DATA	1699457193	614166	19322	18	""	2023-11-08	10:26:33	13309.2	414.32458	39.6499	47.3529	30.9321	29.5359	0.00430351	34.7914	47.5822	-146.5	-0.40586	23.95	182
DATA	1699457194	614166	19332	18	""	2023-11-08	10:26:34	13304.732	414.17606	39.6497	47.3669	30.9186	29.5327	0.00430848	34.7871	47.5965	-180.9	-0.40586	23.95	 58
DATA	1699457195	614166	19342	18	""	2023-11-08	10:26:35	13302.6	413.72305	39.6491	47.3809	30.9027	29.5255	0.00429981	34.7946	47.6103	-169.8	-0.417424	23.9495	 93
DATA	1699457196	478029	19352	18	""	2023-11-08	10:26:36	13297.301	413.37277	39.6494	47.3949	30.8887	29.5204	0.00428606	34.7975	47.6242	-128.4	-0.417424	23.9492	220
DATA	1699457197	478029	19362	18	""	2023-11-08	10:26:37	13295.483	413.24557	39.6488	47.4089	30.8761	29.5149	0.00427926	34.7935	47.6384	-110.5	-0.427835	23.9492	233
DATA	1699457198	478029	19372	18	""	2023-11-08	10:26:38	13291.5	412.71793	39.6493	47.4234	30.8661	29.5087	0.00427334	34.7956	47.652	-147.9	-0.428992	23.9489	 82
DATA	1699457199	349044	19382	18	""	2023-11-08	10:26:39	13289.298	412.55371	39.6497	47.4374	30.8546	29.505	0.00426561	34.7894	47.6659	-170.9	-0.438248	23.9499	198
DATA	1699457200	349044	19392	18	""	2023-11-08	10:26:40	13285.808	412.55762	39.65	47.4511	30.8405	29.4973	0.00426688	34.7952	47.6798	-178.2	-0.440562	23.9503	 96
DATA	1699457201	349044	19402	18	""	2023-11-08	10:26:41	13282.157	412.26694	39.6496	47.4654	30.8257	29.4945	0.00425304	34.7889	47.6945	-112.5	-0.448662	23.95	 96
DATA	1699457202	216007	19412	18	""	2023-11-08	10:26:42	13278.052	411.96008	39.6489	47.4797	30.812	29.4854	0.00425625	34.8006	47.7086	-204.5	-0.452134	23.9495	120
DATA	1699457203	216007	19422	18	""	2023-11-08	10:26:43	13274.354	411.25204	39.6497	47.4931	30.798	29.4839	0.00424344	34.7926	47.7223	-118.9	-0.459079	23.9494	141
DATA	1699457204	216007	19432	18	""	2023-11-08	10:26:44	13270.106	411.83963	39.6502	47.5078	30.7861	29.4747	0.00422691	34.8042	47.7364	-185.1	-0.463709	23.9495	176
DATA	1699457205	90122	19442	18	""	2023-11-08	10:26:45	13267.048	411.505	39.6502	47.5223	30.7714	29.4738	0.00421424	34.7921	47.7504	-129.7	-0.469943	23.9489	 21
DATA	1699457206	90122	19452	18	""	2023-11-08	10:26:46	13262.205	410.51443	39.6493	47.5363	30.7601	29.4619	0.00421733	34.8079	47.7639	-161.1	-0.476177	23.9495	124
DATA	1699457207	90122	19462	19	""	2023-11-08	10:26:47	13131.447	388.43729	39.6494	47.5506	30.7474	29.4622	0.00354792	34.8123	47.7782	-137.7	-0.476177	23.9495	163
DATA	1699457207	999959945	19472	18	""	2023-11-08	10:26:47	13311.375	402.49252	39.6499	47.5645	30.7351	29.4781	0.00413553	34.7804	47.7924	-109.2	-0.453024	23.9495	120
DATA	1699457208	999959945	19482	18	""	2023-11-08	10:26:48	13304.855	402.87823	39.6496	47.5784	30.731	29.4891	0.00411572	34.7807	47.8058	-76.9	-0.453024	23.9513	 38
DATA	1699457209	999959945	19492	18	""	2023-11-08	10:26:49	13300.624	402.51874	39.6505	47.5925	30.7245	29.4994	0.00410762	34.7752	47.8198	-48.6	-0.432196	23.95	238
DATA	1699457210	999827146	19502	18	""	2023-11-08	10:26:50	13295.93	402.34222	39.6491	47.6065	30.7208	29.512	0.00409322	34.7792	47.8338	-68.5	-0.429882	23.9502	194
DATA	1699457211	999827146	19512	18	""	2023-11-08	10:26:51	13243.719	399.20203	39.6489	47.6206	30.717	29.5198	0.0039159	34.7716	47.8476	-94.1	-0.411376	23.9495	222
DATA	1699457212	999827146	19522	19	""	2023-11-08	10:26:52	12932.1	378.8541	39.6491	47.6346	30.7121	29.5367	0.00282964	-463.276	47.8615	-49.4	-0.406749	23.9492	218
DATA	1699457213	999701976	19532	19	""	2023-11-08	10:26:53	13163.841	403.3559	39.6508	47.6487	30.7083	29.5337	0.00385907	34.8258	47.8762	-92.9	-0.406749	23.9489	 44
DATA	1699457214	999701976	19542	18	""	2023-11-08	10:26:54	13219.146	409.22534	39.6496	47.6629	30.6982	29.5302	0.00410304	34.7992	47.8902	-134.6	-0.414222	23.9491	 97
DATA	1699457215	999701976	19552	18	""	2023-11-08	10:26:55	13215.505	409.14468	39.6497	47.6765	30.6869	29.5184	0.00409593	34.804	47.9039	-171.5	-0.419204	23.9503	 72
DATA	1699457216	999570131	19562	18	""	2023-11-08	10:26:56	13212.202	409.1369	39.6504	47.6914	30.6736	29.5174	0.0040788	34.7847	47.9178	-157.9	-0.425878	23.95	172
DATA	1699457217	999570131	19572	18	""	2023-11-08	10:26:57	13207.952	408.70822	39.6489	47.706	30.6588	29.5055	0.00406429	34.8062	47.932	-125.5	-0.432552	23.95	153
DATA	1699457218	999570131	19582	18	""	2023-11-08	10:26:58	13203.143	408.77054	39.6493	47.7194	30.647	29.5053	0.0040474	34.788	47.9455	-134.2	-0.437892	23.9492	216
DATA	1699457219	999438047	19592	19	""	2023-11-08	10:26:59	13128.497	396.87167	39.6497	47.7336	30.6343	29.4928	0.00365278	34.8174	47.9596	-174	-0.445902	23.9495	 75
DATA	1699457220	999438047	19602	18	""	2023-11-08	10:27:00	13219.924	403.11526	39.6493	47.7478	30.6195	29.4923	0.00402064	34.8148	47.9737	-187.2	-0.445902	23.9494	101
DATA	1699457221	999438047	19612	18	""	2023-11-08	10:27:01	13215.881	402.97946	39.6499	47.7615	30.6053	29.4943	0.00400284	34.7983	47.9872	-121.9	-0.442698	23.9489	131
DATA	1699457222	999310970	19622	16	""	2023-11-08	10:27:02	13213.25	402.94846	39.6494	47.7756	30.5985	29.5013	0.00397898	34.7943	48.0012	-80.7	-0.437892	23.9495	 16
DATA	1699457223	999310970	19632	16	""	2023-11-08	10:27:03	13209.747	403.20639	39.6493	47.7897	30.5901	29.5023	0.0039639	34.7972	48.0152	-110.7	-0.437892	23.9495	 54
