,,,Raw Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.61_305.1027m/z,305.1027329,3.605833333,0,0,0,377.7626551,382.6761713,399.4401493,221.1677954,230.0266524,237.3327435,334.8905925,353.2231475,328.4015536,6361.275601,6335.69035,6151.760447,5596.06428,5660.308038,5459.16238,5762.556723,5626.457214,5798.908734,0,0,0,0,0,0,0,0,0
4.12_180.0459n,383.0766594,4.118116667,0,0,0,2002.583093,2073.759937,2052.237058,1307.821806,1283.460546,1337.148959,1344.165301,1413.714455,1457.739603,6450.098692,6326.91037,6214.708051,5077.23722,5283.077917,5108.952713,6124.504598,5926.05132,6133.913752,0,0,0,0,0,0,0,0,0.004253952
2.65_515.5487m/z,515.5486666,2.6526,0,0,0,5161.402501,5738.860653,5979.184779,7394.053288,7440.958283,7758.42627,1976.768934,2034.184456,2199.911375,6.291218462,7.594717868,5.809844971,15.22848511,11.41206407,28.71075428,22.34990238,13.20739797,23.10061119,82.26560245,89.75758984,70.03116251,85.76148185,89.84986333,88.01247772,82.24596242,100.6832761,98.67054181
0.80_325.1430m/z,325.1430066,0.795633333,0,0,0,227.9984138,251.3661945,227.71797,228.5236355,264.3590401,264.617083,198.7742933,195.0393865,177.4936189,129.2118717,124.9372103,140.212367,129.2118094,134.9875697,136.0508984,142.1634633,123.9190686,134.6915945,5496.293265,5565.901341,5685.37954,5731.380765,5784.421176,5856.259893,5865.597701,5643.453334,5701.443109
2.55_780.2995m/z,780.2995491,2.552633333,0,0,0,5134.211964,4851.557318,4823.295576,7789.795911,6941.947269,6724.434041,1712.32264,1699.849415,1649.842757,178.0995766,200.1564096,171.6338653,221.7212759,237.4796517,205.1339924,184.2993455,191.4440239,178.0702804,0,0,0,0,3.531366367,1.073780398,0,0,0
2.28_229.1550m/z,229.154979,2.2824,0,0,0,25.74533292,29.53707962,26.66502489,25.8904249,32.82266298,28.10881546,19.16143544,22.97707842,19.81924649,8.813670507,11.12095852,8.593328898,9.850857921,14.42832109,11.00493141,8.45819188,9.600282959,9.478741509,5033.96954,5125.752957,5060.230477,5125.865657,5509.451606,5470.764585,5557.119362,5513.39912,5255.107824
3.96_446.1218n,447.1290339,3.961483333,0,0,0,2433.411751,2591.756511,2721.768266,2320.246005,2361.361768,2452.252623,3562.769008,3472.334083,3774.005024,4594.579478,4619.728838,4480.237285,4236.392195,4736.655581,4376.690614,5097.90151,5124.291128,5120.688848,0,0,0,0,0,0,0,0,0
2.64_245.1868m/z,245.1868425,2.638316667,0,0,0,2.97E-05,0,0,0,0,0.005588032,0,0,0,27.13297238,38.03794567,37.10982523,59.64325799,66.81598246,65.68216213,27.31231111,18.44786395,17.90629599,4814.742327,4980.177038,4869.646849,5138.874278,5371.247623,5146.217352,5300.003551,5186.862816,5296.809889
0.77_504.1699n,527.159099,0.767066667,0,0,0,3938.34343,3869.087994,3990.259884,3634.049038,3605.485063,3705.711089,3213.89823,3117.332697,3230.477069,2770.789133,2774.832126,2693.817347,2707.307527,2735.256736,2646.739394,2763.888896,2654.35422,2811.320699,5283.503884,5206.739765,5137.39724,5234.978547,5222.218866,5043.469922,5099.428719,4961.36813,5073.215599
3.42_401.0872m/z,401.0872196,3.420866667,0,0,0,1513.942879,1518.898476,1571.312358,1032.578756,1024.180864,1080.299775,1670.777354,1643.48946,1712.285751,4645.315173,4422.243577,4412.750445,4908.449401,5035.104817,4895.266208,4271.727441,4279.346731,4262.220284,0,0,0,0,0,0,0,0,0
2.44_763.8280m/z,763.8280419,2.439083333,0,0,0,2598.997994,3724.828526,4719.792046,1104.427473,1313.753412,1559.984806,7015.063452,7724.372638,8406.705986,3485.466275,4061.259671,4094.588438,4349.304589,5048.102569,4991.73476,3833.913274,4109.937324,4436.046086,2.830115684,3.844363939,2.394914285,0.929633531,0,0,0,0,0
4.12_908.1932m/z,908.1932188,4.118116667,0,0,0,1951.292244,2101.536304,2118.87379,1091.988136,1055.690588,1118.720237,1238.904664,1257.774335,1253.567067,4807.556077,4702.012998,4572.304992,4151.828901,4248.911196,4219.91087,4607.648581,4561.935296,4628.209938,0,0,0,0,0,0,0,0,0
1.24_182.0821m/z,182.0820985,1.24385,0,0,0,91.62207896,87.70458867,81.26692268,65.2511084,55.90345147,73.98353652,62.50907658,68.50686285,46.00358337,101.4836539,90.46732022,74.88600627,68.20023861,78.47967567,75.51240144,56.5009395,45.96155072,59.69527617,4771.722623,4950.936489,4894.663789,4939.792737,4999.957977,4922.059199,4972.916202,4909.566881,5028.381488
1.21_201.5936n,202.6009339,1.20815,0,0,0,3614.651776,3720.915993,3797.814181,4002.124631,4096.038657,4092.936437,4222.624115,4395.087396,4476.475874,4844.624099,4838.560959,4681.236538,4287.233118,4364.354874,4324.93086,4150.944416,3985.130204,4367.83581,35.09436345,31.15260997,25.85346097,44.85812671,40.821386,32.846326,26.62287498,31.51215882,27.71328737
4.62_422.1242n,445.1134652,4.623133333,0,0,0,2507.117758,2489.307418,2501.015722,1574.293547,1586.783282,1567.575924,2092.245132,2056.971384,1986.197812,5124.061625,4981.347829,4807.713217,4357.488521,4390.361394,4171.739878,3937.777004,3696.154403,3823.787148,1.086778684,1.168461386,0.469501159,0.892625837,1.257141279,2.945114284,1.153567733,4.178434691,0.713541401
4.11_845.1923m/z,845.1922738,4.110983333,0,0,0,919.8446417,1005.267352,987.0586465,473.533268,447.6383458,485.7335585,557.0564112,583.0503168,585.035561,4961.53984,4741.516712,4626.651084,3613.986294,3765.874979,3641.171057,4533.266993,4294.791531,4583.100647,0,0,10.2067497,0,0,0,0,0,0
4.10_685.1325n,686.1397815,4.103833333,0,0,0,2224.491303,2319.378289,2339.00603,1439.010602,1391.99517,1495.909555,1496.370105,1598.905833,1630.156858,4539.058814,4411.976736,4336.734476,3930.211011,4078.944082,3991.280963,4368.01665,4259.210924,4377.627913,0,0,0,0,0,0,0,0,0
4.13_261.0473m/z,261.0473042,4.1324,0,0,0,3654.324495,3767.031493,3709.509363,3284.590357,3212.90488,3302.455058,3343.184601,3331.375346,3349.951946,4229.97359,4194.957206,4116.55656,4134.29449,4216.529308,4173.045419,4174.137163,4169.880517,4193.91915,0.019676076,0,0,0,0,0,0,0,0
3.96_226.0959n,227.1032097,3.961483333,0,0,0,128.0317692,131.729858,135.444546,457.1072498,443.9757326,448.8100983,300.2598877,296.3254036,304.3731528,5199.012231,5104.630751,4899.212046,2944.451338,3044.457209,2876.649975,4609.52254,4449.617163,4500.371063,0,0,0,0,0,0,0,0,0
3.63_289.1080m/z,289.1079775,3.62725,0,0,0,202.1813546,201.4070104,233.9631506,148.0428663,168.0878856,161.3837415,242.1784942,256.1173223,249.6899303,4008.694497,3884.43285,3880.390518,4172.09824,4157.385915,4199.00688,3531.402991,3484.723959,3526.877797,0,0,0,0,0,0,0,0,0
4.62_290.0781n,581.1634047,4.623133333,0,0,0,2668.720839,2637.929284,2655.810996,1911.483212,1912.833496,1995.265688,2418.572608,2336.301475,2295.795819,4204.929191,4140.808392,4041.639255,3791.246541,3856.7257,3627.297618,3525.914788,3415.188063,3540.549585,0,0,0,0,0,0,0,0,0
0.92_647.1981m/z,647.1980698,0.916316667,0,0,0,3379.438146,3466.877101,3498.542294,3477.706317,3532.865475,3586.226013,3570.091077,3628.332538,3535.634258,3352.007781,3445.262817,3291.274209,3391.261322,3324.675879,3396.771671,3434.613974,3252.340138,3451.106501,2752.841748,2704.662277,2819.332365,2854.98645,2797.402812,2868.467368,2887.543197,2762.077772,2798.178147
1.46_86.0969m/z,86.09693013,1.464516667,0,0,0,0,1.014041901,0.138194821,0.799331665,0.619255036,0,0,0,0,0,0,0,0,0,0,0,0,0,3950.68826,4109.452875,3979.085171,4126.493642,4141.128157,4081.950341,4273.764112,4126.509356,4241.115822
0.84_477.1769m/z,477.1769328,0.838483333,0,0,0,18.02605495,15.92077134,26.98270699,18.15401061,19.6562809,19.79000461,18.65151251,10.19696706,11.58094283,16.15586362,12.87336808,10.88669552,11.98098963,16.14636184,14.88514784,14.88381066,9.487294394,14.06656073,4078.790926,4094.472627,4038.365402,4081.300256,3916.657173,3930.929425,3937.71768,3800.025257,3983.0584
4.11_1130.2460m/z,1130.245974,4.110983333,0,0,0,1184.442244,1262.097836,1250.854954,534.5441942,526.2685751,549.8268936,612.2504277,658.8605248,685.9988701,3794.717928,3703.884322,3537.425755,3121.954082,3283.532388,3243.570133,3579.740042,3531.810036,3621.023871,0,0,0,0,0,0,0,0,0
0.64_270.9272m/z,270.927202,0.639233333,0,0,0,0,0,0,0,0,0,0,0,0,3925.686409,4040.422292,4035.008393,2138.181595,2004.919225,1944.412434,3761.816166,3409.19313,3673.040246,0,0,0,0,0,0,0,0,0
2.94_209.1052n,210.112519,2.944283333,0,0,0,903.4366293,944.6030027,972.9600276,769.2432687,743.2767816,736.3774233,678.2744572,700.4910309,700.7559977,2961.62011,2893.120674,2798.248588,3550.099888,3494.627071,3499.04698,2964.439588,2915.409022,2976.378065,137.8653468,137.0126401,137.3441083,156.8012782,162.3290129,161.957666,173.5353822,145.6079676,165.1985594
4.62_340.0949m/z,340.0948663,4.623133333,0,0,0,2365.747668,2365.591383,2367.049704,1771.141702,1833.387627,1801.404582,2124.571637,2192.466775,2035.745805,3401.358382,3357.666335,3155.463509,3036.970594,3088.40429,2983.572307,2893.781302,2855.697587,2862.437798,0,0,0,0,0,0,0,0,0
4.45_447.1291m/z,447.1290622,4.4453,0,0,0,2577.759613,2753.420541,2594.326502,2440.489186,2439.020032,2381.705625,3756.155863,3466.176331,3647.459012,2534.181188,2501.63117,2264.519082,2270.14096,2357.434117,2125.670482,2260.654348,2177.826292,2186.685723,0,0,0.15141181,0.447629263,0.057143706,0.61298534,0.890431779,0.876923628,0.53678757
2.44_514.8771m/z,514.8771179,2.439083333,0,0,0,1809.527404,2598.101053,3166.580369,776.7463185,956.0541991,1118.165468,4590.201548,5091.57051,5380.161632,2552.66855,2796.000565,2881.838397,2971.09934,3459.433402,3341.812134,2735.005781,2933.328555,3107.350199,83.99732993,85.53569129,74.74163358,87.93331886,74.95558561,62.18870591,91.78080417,84.41001315,91.34538197
4.11_461.5800n,462.5873311,4.110983333,0,0,0,1969.821413,2070.746205,2040.155195,1495.652551,1467.533272,1550.895835,1538.993264,1644.177203,1649.718656,3081.450927,2977.92863,2946.035362,2822.730154,2924.343845,2897.38935,2982.26217,2927.71979,3012.342729,0,0,0,0,0,0,0,0,0
0.72_339.9382n,362.9273802,0.717083333,0,0,0,2804.546617,2687.639464,2827.124829,2620.770574,2620.224126,2647.042016,2647.732844,2733.049361,2673.792422,2596.378287,2584.105925,2522.310157,2484.286091,2342.892741,2388.768378,2555.580372,2507.401343,2613.722843,1542.009902,1488.148623,1503.008882,1562.126713,1512.718638,1558.105724,1451.237679,1462.731051,1474.393682
2.41_230.1633n,231.1706189,2.410366667,0,0,0,0,0.116141319,0.355894302,0.26155954,0,0.393912069,0,0,0,12.60817707,17.32209133,13.85800922,30.87478362,28.64707733,24.06191124,13.58850122,10.46930322,14.02908644,2833.320621,2978.011541,2909.210578,2993.311816,2991.404404,3044.210927,3073.573336,2984.251631,3103.043873
8.02_1530.1628m/z,1530.162769,8.023266667,4.300537109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.9357949,1609.985756,3906.766697,7568.045478,5178.158216,3583.662414,2100.467151,1638.103197,621.1841488
2.39_457.2531m/z,457.2531065,2.38895,0,0,0,80.20655784,71.86807344,75.43212551,74.11503617,44.1561377,58.26884302,46.31772805,60.92858729,46.08298366,133.0480698,159.1199074,167.5982606,158.0848906,193.4234039,134.3224389,184.6669402,159.5072891,179.6373156,2887.26261,2955.10973,2777.198944,2854.471294,3025.181657,2957.282546,3010.851213,2847.139004,2967.585328
0.81_210.1507m/z,210.1507495,0.809916667,0,0,0,2454.929209,2471.562766,2528.875883,2360.241179,2405.102596,2416.27697,2455.263328,2462.918698,2465.157898,2411.609654,2482.447953,2417.218548,2351.399418,2353.58392,2338.929224,2397.278798,2277.991604,2365.8461,2613.484165,2621.204935,2590.785712,2540.557693,2456.75656,2541.149445,2525.053851,2419.285639,2520.367207
2.23_414.2244m/z,414.224392,2.232416667,0,0,0,356.2705994,363.095208,371.5233562,390.6764697,367.778849,364.4981215,209.6976407,257.8144561,258.5940748,413.402753,421.0749494,337.945723,380.8230929,386.2442323,387.4704249,377.2907062,341.4928315,405.8312612,2745.161327,2773.516947,2668.862612,2775.608945,2807.55046,2789.454606,2795.916324,2690.32098,2807.382342
3.50_607.1365n,608.1437482,3.499416667,0,0,0,241.0354771,272.9281928,270.2520298,275.2086502,292.62286,314.7988321,852.6379644,857.9145086,874.5072195,2918.915201,2916.509693,2831.271319,1702.450039,1741.024555,1661.387828,2521.96459,2385.41879,2504.034114,0,0,0,0,0,0,0,0,0
0.76_666.2218n,689.2110064,0.759916667,0,0,0,2129.013859,2019.215109,2149.257369,2035.47627,1928.435913,2122.488426,2011.826766,1855.548611,1984.405501,1475.035209,1455.400599,1394.200728,1132.429597,1217.20587,1106.045769,1575.595606,1443.165835,1580.593211,2246.297215,2226.982466,2118.671786,2347.803621,2187.1044,2216.61943,2230.545067,2355.542456,2373.158107
4.11_1352.3005m/z,1352.30049,4.110983333,0,0,0,518.0880197,551.7100754,532.3236376,191.2920738,161.1217369,206.0377147,218.1226297,218.5608746,227.4627436,2383.521393,2276.121638,2177.295075,1813.990705,1993.783843,1896.05722,2194.551223,2142.973236,2211.543252,0,0,0,0,0,0,0,0,0
2.15_472.2391m/z,472.2390528,2.147433333,0,0,0,129.9366743,139.4515964,147.2763497,84.19258342,110.1403197,114.10963,78.35740372,88.29464707,90.0135255,232.1575519,246.1341922,256.6361396,187.8599941,210.4942807,189.1149501,207.5853908,194.3545489,239.6377328,2328.961,2436.126335,2341.784107,2350.258369,2431.198984,2343.961486,2360.152808,2254.542024,2365.073778
0.63_311.9542m/z,311.9542302,0.632083333,0,0,0,0,0,0,0,0,0,0,0,0,2584.033692,2653.231216,2703.37674,1429.52895,1325.385524,1256.756299,2481.689376,2214.333476,2395.923832,0,0,0,0,0,0,0,0,0
1.73_254.1616m/z,254.161649,1.7275,0,0,0,2008.009967,2084.974043,2033.13552,2043.158113,2029.049607,1942.618289,1949.068513,1939.696,1981.089053,2051.154778,2050.888774,1980.868573,2000.088053,2011.088722,1893.671755,1963.610974,1887.480473,1994.922325,1758.403455,1823.843431,1779.185579,1827.56277,1848.368601,1826.129989,1846.977384,1793.378875,1840.614902
0.72_271.9508n,566.8903117,0.717083333,0,0,0,2062.687639,1982.447551,2092.478087,1920.609389,1916.13871,1959.94314,2005.996706,1967.402327,1992.629116,1887.680297,1930.686363,1884.106795,1821.524321,1755.31739,1782.416457,1871.052884,1837.878281,1919.138693,1186.571374,1138.773293,1128.43863,1169.686212,1134.465659,1182.228694,1082.044754,1100.520925,1141.54896
2.30_231.1705m/z,231.1704879,2.296683333,0,0,0,0,0,0.064980807,0.002057687,0,0.024114381,0,0,0.008268455,0.096470717,0.440236005,0.997745585,2.726171718,3.910445094,0.353163074,0,0,0,2223.863984,2263.075122,2250.341922,2275.793919,2385.555282,2321.992727,2387.828806,2319.480916,2319.081403
2.66_798.2693m/z,798.2693081,2.65975,0,0,0,1878.906377,2003.558886,1978.70146,1580.338913,1480.167942,1513.100695,2301.214511,2239.452,2272.760484,1333.990935,1303.860701,1226.607832,1401.291033,1413.331346,1269.651832,1367.351585,1187.348167,1247.489037,0,0,0,0,0,0,0,0,0
5.01_1107.0524m/z,1107.052414,5.014483333,0,0,0,1767.019584,1879.085779,2005.073608,1706.934721,1777.656435,1837.249755,2083.79,2060.686541,2047.276446,1622.928076,1567.457003,1658.880208,1523.077255,1532.830873,1508.913258,1862.460587,1713.420171,1770.857939,0,0,0,0,0,0,0,0,0
0.92_438.1258m/z,438.1257936,0.923466667,0,0,0,1883.302303,1875.93061,1901.999878,1901.172314,1930.868905,1965.814718,1899.929439,1900.400356,1872.41465,1760.75157,1862.644253,1735.664563,1788.712711,1723.048427,1785.584825,1755.92305,1733.812547,1793.188882,1886.852721,1880.553015,1909.319695,1919.468489,1864.089857,1887.970498,1869.333131,1882.597262,1897.600017
2.46_263.1395m/z,263.1394721,2.4605,0,0,0,45.87682171,52.17179822,51.89648102,55.85540547,58.69552075,49.1109573,48.58282076,42.41107796,57.01939935,86.23321354,91.37672199,83.85606996,85.54038417,95.32613878,83.94360725,79.60788005,83.29204194,77.63665826,2128.135431,2202.680888,2148.4541,2176.667702,2309.30641,2247.245558,2263.085221,2201.584162,2293.934588
2.22_247.1295m/z,247.1295325,2.218133333,0,0,0,1340.130839,1380.981669,1434.584177,1332.800448,1346.810185,1360.719455,1346.406874,1391.871441,1468.645001,1284.749966,1328.569269,1327.899522,1266.983902,1315.502101,1242.004888,1223.00473,1176.353627,1239.18898,2199.04122,2214.051524,2141.001489,2158.436903,2253.115701,2241.375125,2309.474145,2178.822978,2279.986599
3.96_284.0685m/z,284.0684892,3.961483333,0,0,0,1509.332284,1543.123458,1587.483729,1518.534298,1524.973198,1535.860225,1807.971722,1844.627086,1838.61773,1987.969467,2023.680661,1920.189656,1948.340907,1987.231706,1902.358189,2007.385665,2062.315729,2003.319227,0,0,0,0,0,0,0,0,0
3.11_235.0972m/z,235.0971572,3.108066667,0,0,0,632.9385964,690.2186005,722.0223101,536.5951654,558.0391639,558.9070354,701.0371243,703.4462869,718.9158604,2134.072369,2049.26297,1972.284537,1987.716595,2023.037085,1957.817557,1874.548306,1806.430631,1908.646207,0,0,0,0,0,0,0,0,0
0.94_165.5441m/z,165.5440594,0.93775,0,0,0,1753.46971,1792.549601,1765.233819,1584.339656,1607.947646,1616.317718,1751.955764,1776.380213,1732.197465,1817.948136,1829.660955,1822.65851,1808.952281,1812.367466,1811.648799,1848.587148,1815.324719,1811.461753,1682.660847,1629.513081,1639.65683,1633.573908,1646.405199,1677.745918,1657.132588,1657.268336,1587.159092
4.69_328.1421m/z,328.1420549,4.6874,0,0,0,1523.265494,1539.069399,1595.480764,1910.948039,1978.509841,1996.988858,1625.473462,1656.479383,1672.248258,518.5084718,514.4252233,477.5638925,480.797363,515.3085859,477.2986364,532.0901961,512.9580724,522.7144835,0,0,0,0,0,0,0,0,0
