"site","date","depth","temp"
"Buckboard",2023-08-17,0.4,21.53
"Buckboard",2023-08-17,1,21.27
"Buckboard",2023-08-17,2,21.1
"Buckboard",2023-08-17,3,21.03
"Buckboard",2023-08-17,4,20.97
"Buckboard",2023-08-17,5.1,20.67
"Buckboard",2023-08-17,5.9,20.33
"Buckboard",2023-08-17,7,19.92
"Buckboard",2023-08-17,8,19.68
"Buckboard",2023-08-17,9,19.57
"Buckboard",2023-08-17,9.9,19.34
"Buckboard",2023-08-17,11,19
"Buckboard",2023-08-17,12,18.12
"Buckboard",2023-08-17,13,14.7
"Buckboard",2023-08-17,14,13.33
"Buckboard",2023-08-17,15,11.9
"Buckboard",2023-08-17,16,11.33
"Buckboard",2023-08-17,17,10.57
"Buckboard",2023-08-17,18,10.15
"Buckboard",2023-08-17,19,9.52
"Buckboard",2023-08-17,20,8.69
"Buckboard",2023-08-17,21,7.6
"Buckboard",2023-08-17,22,7.28
"Buckboard",2023-08-17,23.1,6.96
"Buckboard",2023-08-17,24,6.82
"Buckboard",2023-08-17,25,6.48
"Cedar Springs",2023-08-17,0.4,22.85
"Cedar Springs",2023-08-17,1,22.9
"Cedar Springs",2023-08-17,2,22.3
"Cedar Springs",2023-08-17,3,21.83
"Cedar Springs",2023-08-17,3.9,21.62
"Cedar Springs",2023-08-17,5,21.41
"Cedar Springs",2023-08-17,6,21.34
"Cedar Springs",2023-08-17,7,21.03
"Cedar Springs",2023-08-17,7.9,20.4
"Cedar Springs",2023-08-17,9,19.21
"Cedar Springs",2023-08-17,10,18.31
"Cedar Springs",2023-08-17,11,17.29
"Cedar Springs",2023-08-17,12,16.27
"Cedar Springs",2023-08-17,13,15.21
"Cedar Springs",2023-08-17,14,13.88
"Cedar Springs",2023-08-17,15,12.28
"Cedar Springs",2023-08-17,20,7.88
"Cedar Springs",2023-08-17,25,5.89
"Cedar Springs",2023-08-17,30,4.83
"Cedar Springs",2023-08-17,35,4.3
"Cedar Springs",2023-08-17,40,3.92
"Cedar Springs",2023-08-17,45,3.81
"Cedar Springs",2023-08-17,50,3.73
"Cedar Springs",2023-08-17,55.1,3.61
"Cedar Springs",2023-08-17,60.1,3.57
"Antelope Flat",2022-07-27,0.5,21.66
"Antelope Flat",2022-07-27,1,21.67
"Antelope Flat",2022-07-27,2,21.67
"Antelope Flat",2022-07-27,3,21.65
"Antelope Flat",2022-07-27,4,21.6
"Antelope Flat",2022-07-27,5,21.57
"Antelope Flat",2022-07-27,6,21.37
"Antelope Flat",2022-07-27,7,21.03
"Antelope Flat",2022-07-27,8,20.04
"Antelope Flat",2022-07-27,9,17.8
"Antelope Flat",2022-07-27,10,17.32
"Antelope Flat",2022-07-27,15,12.92
"Antelope Flat",2022-07-27,20,9.6
"Antelope Flat",2022-07-27,24.9,8.34
"Antelope Flat",2022-07-27,30,7.76
"Antelope Flat",2022-07-27,35,7.17
"Antelope Flat",2022-07-27,40,6.83
"Antelope Flat",2022-07-27,45,6.57
"Anvil Draw",2022-07-27,0.7,21.55
"Anvil Draw",2022-07-27,1,21.57
"Anvil Draw",2022-07-27,2,21.26
"Anvil Draw",2022-07-27,3,21.17
"Anvil Draw",2022-07-27,4,20.77
"Anvil Draw",2022-07-27,4.9,20.62
"Anvil Draw",2022-07-27,5,20.58
"Anvil Draw",2022-07-27,6,20.5
"Anvil Draw",2022-07-27,7,20.41
"Anvil Draw",2022-07-27,8,20.34
"Anvil Draw",2022-07-27,8.9,20.18
"Anvil Draw",2022-07-27,10,19.72
"Anvil Draw",2022-07-27,11,19.45
"Anvil Draw",2022-07-27,12,16.53
"Anvil Draw",2022-07-27,13,14.6
"Anvil Draw",2022-07-27,14,13.53
"Anvil Draw",2022-07-27,15,12.94
"Anvil Draw",2022-07-27,20,9.59
"Anvil Draw",2022-07-27,25,8.17
"Anvil Draw",2022-07-27,30,7.52
"Anvil Draw",2022-07-27,35,7.13
"Anvil Draw",2022-07-27,40,6.9
"Buckboard",2022-07-27,0.6,21.52
"Buckboard",2022-07-27,1,21.42
"Buckboard",2022-07-27,1.9,21.32
"Buckboard",2022-07-27,3.1,21.23
"Buckboard",2022-07-27,4,21.17
"Buckboard",2022-07-27,5,21.12
"Buckboard",2022-07-27,6,21.08
"Buckboard",2022-07-27,7,21.07
"Buckboard",2022-07-27,8,20.97
"Buckboard",2022-07-27,9,18.52
"Buckboard",2022-07-27,10,16.81
"Buckboard",2022-07-27,11,15.28
"Buckboard",2022-07-27,12,13.87
"Buckboard",2022-07-27,12.9,12.8
"Buckboard",2022-07-27,14,11.92
"Buckboard",2022-07-27,15,11
"Buckboard",2022-07-27,16,10.61
"Buckboard",2022-07-27,17,10.4
"Buckboard",2022-07-27,18,9.87
"Buckboard",2022-07-27,19,9.6
"Buckboard",2022-07-27,20,9.45
"Cedar Springs",2022-07-27,0.1,23.92
"Cedar Springs",2022-07-27,1,22.97
"Cedar Springs",2022-07-27,2,22.65
"Cedar Springs",2022-07-27,3,22.43
"Cedar Springs",2022-07-27,4,22.33
"Cedar Springs",2022-07-27,5,22.22
"Cedar Springs",2022-07-27,6,21.96
"Cedar Springs",2022-07-27,7,19.62
"Cedar Springs",2022-07-27,8,17.11
"Cedar Springs",2022-07-27,9,15.89
"Cedar Springs",2022-07-27,9.9,15.06
"Cedar Springs",2022-07-27,10.9,14.21
"Cedar Springs",2022-07-27,12.1,13.43
"Cedar Springs",2022-07-27,13,12.69
"Cedar Springs",2022-07-27,14.1,11.8
"Cedar Springs",2022-07-27,15,11.32
"Cedar Springs",2022-07-27,16,10.83
"Cedar Springs",2022-07-27,17,10.39
"Cedar Springs",2022-07-27,18,10.05
"Cedar Springs",2022-07-27,19,9.63
"Cedar Springs",2022-07-27,20,9.18
"Cedar Springs",2022-07-27,25,7.81
"Cedar Springs",2022-07-27,30,6.83
"Cedar Springs",2022-07-27,35.1,5.98
"Cedar Springs",2022-07-27,40,5.42
"Cedar Springs",2022-07-27,45,5.07
"Cedar Springs",2022-07-27,50,4.85
"Cedar Springs",2022-07-27,55,4.67
"Cedar Springs",2022-07-27,60,4.5
"Buckboard",2020-07-21,0.4,19.38
"Buckboard",2020-07-21,1,19.37
"Buckboard",2020-07-21,2,19.35
"Buckboard",2020-07-21,3,19.31
"Buckboard",2020-07-21,4,19.2
"Buckboard",2020-07-21,5,19.14
"Buckboard",2020-07-21,6,19.09
"Buckboard",2020-07-21,7,19.08
"Buckboard",2020-07-21,8,19.04
"Buckboard",2020-07-21,9,18.57
"Buckboard",2020-07-21,10,18.22
"Buckboard",2020-07-21,11,15.87
"Buckboard",2020-07-21,12,14.81
"Buckboard",2020-07-21,13,13.52
"Buckboard",2020-07-21,14,12.69
"Buckboard",2020-07-21,15,12.28
"Buckboard",2020-07-21,16,10.83
"Buckboard",2020-07-21,17.1,10.39
"Buckboard",2020-07-21,18,9.65
"Buckboard",2020-07-21,19,9.68
"Buckboard",2020-07-21,20,9.59
"Buckboard",2020-07-21,21,9.57
"Buckboard",2020-07-21,22,9.48
"Buckboard",2020-07-21,23,9.44
"Buckboard",2020-07-21,24,9.33
"Buckboard",2020-07-21,25,9.26
"Buckboard",2020-07-21,0.5,19.38
"Anvil Draw",2020-07-21,0.4,19.37
"Anvil Draw",2020-07-21,1,19.49
"Anvil Draw",2020-07-21,2,19.41
"Anvil Draw",2020-07-21,3,19.34
"Anvil Draw",2020-07-21,4,19.31
"Anvil Draw",2020-07-21,5,19.3
"Anvil Draw",2020-07-21,6,19.28
"Anvil Draw",2020-07-21,7,19.26
"Anvil Draw",2020-07-21,7.9,19.22
"Anvil Draw",2020-07-21,9.1,19.09
"Anvil Draw",2020-07-21,10,19.08
"Anvil Draw",2020-07-21,11,19.08
"Anvil Draw",2020-07-21,12.1,18.21
"Anvil Draw",2020-07-21,13.1,17.58
"Anvil Draw",2020-07-21,14,16.57
"Anvil Draw",2020-07-21,15,15.23
"Anvil Draw",2020-07-21,16,14.49
"Anvil Draw",2020-07-21,16.9,12.95
"Anvil Draw",2020-07-21,18,12.37
"Anvil Draw",2020-07-21,18.9,10.98
"Anvil Draw",2020-07-21,20.1,10.01
"Anvil Draw",2020-07-21,24.9,8.58
"Anvil Draw",2020-07-21,30,7.76
"Anvil Draw",2020-07-21,35,6.8
"Anvil Draw",2020-07-21,40,6.65
"Anvil Draw",2020-07-21,0.5,19.66
"Antelope Flat",2020-07-21,0.4,20.36
"Antelope Flat",2020-07-21,1,19.96
"Antelope Flat",2020-07-21,2.1,19.84
"Antelope Flat",2020-07-21,3,19.77
"Antelope Flat",2020-07-21,4,19.65
"Antelope Flat",2020-07-21,5,19.6
"Antelope Flat",2020-07-21,6,19.56
"Antelope Flat",2020-07-21,7.1,19.51
"Antelope Flat",2020-07-21,7.9,19.43
"Antelope Flat",2020-07-21,9,19.11
"Antelope Flat",2020-07-21,10,17.81
"Antelope Flat",2020-07-21,11,16.97
"Antelope Flat",2020-07-21,11.9,15.81
"Antelope Flat",2020-07-21,13,15.57
"Antelope Flat",2020-07-21,14,14.96
"Antelope Flat",2020-07-21,15,13.39
"Antelope Flat",2020-07-21,20,10.11
"Antelope Flat",2020-07-21,25,8.44
"Antelope Flat",2020-07-21,30,7.69
"Antelope Flat",2020-07-21,35,6.9
"Antelope Flat",2020-07-21,40,6.7
"Antelope Flat",2020-07-21,44.9,6.23
"Antelope Flat",2020-07-21,50,6.03
"Antelope Flat",2020-07-21,0.5,20.2
"Cedar Springs",2020-07-21,0.4,21.15
"Cedar Springs",2020-07-21,1,21.24
"Cedar Springs",2020-07-21,2,20.99
"Cedar Springs",2020-07-21,3,20.81
"Cedar Springs",2020-07-21,3.9,20.84
"Cedar Springs",2020-07-21,5,20.78
"Cedar Springs",2020-07-21,6,20.69
"Cedar Springs",2020-07-21,7,20.67
"Cedar Springs",2020-07-21,8,20.67
"Cedar Springs",2020-07-21,9,19.28
"Cedar Springs",2020-07-21,10.1,17.06
"Cedar Springs",2020-07-21,11,15.99
"Cedar Springs",2020-07-21,12,15.1
"Cedar Springs",2020-07-21,13,14.42
"Cedar Springs",2020-07-21,14,13.04
"Cedar Springs",2020-07-21,15,12.5
"Cedar Springs",2020-07-21,20.1,9.95
"Cedar Springs",2020-07-21,25,8.27
"Cedar Springs",2020-07-21,30,6.97
"Cedar Springs",2020-07-21,35,6.05
"Cedar Springs",2020-07-21,40,5.38
"Cedar Springs",2020-07-21,44.9,4.82
"Cedar Springs",2020-07-21,50,4.38
"Cedar Springs",2020-07-21,55,4.16
"Cedar Springs",2020-07-21,60,4.01
"Cedar Springs",2020-07-21,0.6,21.13
"Buckboard",2019-08-05,0.4,21.3
"Buckboard",2019-08-05,1,21.29
"Buckboard",2019-08-05,2,21.28
"Buckboard",2019-08-05,3,21.28
"Buckboard",2019-08-05,3.9,21.28
"Buckboard",2019-08-05,5,21.28
"Buckboard",2019-08-05,6,21.27
"Buckboard",2019-08-05,7,21.22
"Buckboard",2019-08-05,8,20.77
"Buckboard",2019-08-05,9,18.9
"Buckboard",2019-08-05,10,17.79
"Buckboard",2019-08-05,11,16.66
"Buckboard",2019-08-05,12,15.42
"Buckboard",2019-08-05,13,14.2
"Buckboard",2019-08-05,14,13.6
"Buckboard",2019-08-05,15,12.6
"Buckboard",2019-08-05,16,12.11
"Buckboard",2019-08-05,17,11.38
"Buckboard",2019-08-05,18,10.85
"Buckboard",2019-08-05,19,10.47
"Buckboard",2019-08-05,20.1,10.22
"Buckboard",2019-08-05,21,9.99
"Buckboard",2019-08-05,22,9.41
"Buckboard",2019-08-05,23,8.61
"Buckboard",2019-08-05,24,8.28
"Buckboard",2019-08-05,25,8.26
"Buckboard",2019-08-05,26,8.23
"Buckboard",2019-08-05,0.3,21.33
"Anvil Draw",2019-08-05,0.5,21.75
"Anvil Draw",2019-08-05,1,21.62
"Anvil Draw",2019-08-05,2,21.53
"Anvil Draw",2019-08-05,3,21.49
"Anvil Draw",2019-08-05,4,21.46
"Anvil Draw",2019-08-05,5,21.37
"Anvil Draw",2019-08-05,6,21.32
"Anvil Draw",2019-08-05,7,21.31
"Anvil Draw",2019-08-05,8,21.29
"Anvil Draw",2019-08-05,9,21.28
"Anvil Draw",2019-08-05,10,18.03
"Anvil Draw",2019-08-05,10.9,17.03
"Anvil Draw",2019-08-05,12,15.92
"Anvil Draw",2019-08-05,13,15.26
"Anvil Draw",2019-08-05,13.9,14.38
"Anvil Draw",2019-08-05,15,13.94
"Anvil Draw",2019-08-05,19.9,10.31
"Anvil Draw",2019-08-05,25,8.33
"Anvil Draw",2019-08-05,29.9,7.67
"Anvil Draw",2019-08-05,35,7.34
"Anvil Draw",2019-08-05,40,6.74
"Anvil Draw",2019-08-05,45,6.26
"Anvil Draw",2019-08-05,0.4,21.63
"Antelope",2019-08-05,0.3,21.52
"Antelope",2019-08-05,1,21.2
"Antelope",2019-08-05,2,21.12
"Antelope",2019-08-05,3,21.07
"Antelope",2019-08-05,4,21.05
"Antelope",2019-08-05,4.9,21
"Antelope",2019-08-05,6,20.94
"Antelope",2019-08-05,7,20.9
"Antelope",2019-08-05,8,20.79
"Antelope",2019-08-05,9,18.95
"Antelope",2019-08-05,10,16.09
"Antelope",2019-08-05,11,15.34
"Antelope",2019-08-05,12,14.24
"Antelope",2019-08-05,13,12.8
"Antelope",2019-08-05,14,12.47
"Antelope",2019-08-05,15,11.98
"Antelope",2019-08-05,20,9.96
"Antelope",2019-08-05,24.9,7.95
"Antelope",2019-08-05,30,7.31
"Antelope",2019-08-05,35,6.52
"Antelope",2019-08-05,40,6.27
"Antelope",2019-08-05,45,5.79
"Antelope",2019-08-05,50,5.71
"Antelope",2019-08-05,55,5.59
"Antelope",2019-08-05,0.4,21.22
"Cedar Springs",2019-08-05,0.4,22.22
"Cedar Springs",2019-08-05,1,22.18
"Cedar Springs",2019-08-05,2,21.89
"Cedar Springs",2019-08-05,3,21.71
"Cedar Springs",2019-08-05,4,21.69
"Cedar Springs",2019-08-05,5,21.65
"Cedar Springs",2019-08-05,6,21.63
"Cedar Springs",2019-08-05,7,21.59
"Cedar Springs",2019-08-05,8,19.2
"Cedar Springs",2019-08-05,9,17.82
"Cedar Springs",2019-08-05,10,17.01
"Cedar Springs",2019-08-05,11,16.11
"Cedar Springs",2019-08-05,12,14.63
"Cedar Springs",2019-08-05,13,13.43
"Cedar Springs",2019-08-05,14,12.74
"Cedar Springs",2019-08-05,15,11.62
"Cedar Springs",2019-08-05,20,8.71
"Cedar Springs",2019-08-05,25,7.4
"Cedar Springs",2019-08-05,30.1,6.4
"Cedar Springs",2019-08-05,35,5.87
"Cedar Springs",2019-08-05,40,5.21
"Cedar Springs",2019-08-05,45,4.9
"Cedar Springs",2019-08-05,50.1,4.5
"Cedar Springs",2019-08-05,0.4,22.91
"Buckboard",2019-07-02,0.3,18.7
"Buckboard",2019-07-02,1,18.67
"Buckboard",2019-07-02,2,18.57
"Buckboard",2019-07-02,3,17.6
"Buckboard",2019-07-02,4,17.22
"Buckboard",2019-07-02,4.9,16.89
"Buckboard",2019-07-02,6,16.72
"Buckboard",2019-07-02,7.1,16.45
"Buckboard",2019-07-02,8,16.54
"Buckboard",2019-07-02,9,16.45
"Buckboard",2019-07-02,10,16.34
"Buckboard",2019-07-02,11,16.24
"Buckboard",2019-07-02,12,15.89
"Buckboard",2019-07-02,13,15.34
"Buckboard",2019-07-02,14,14.86
"Buckboard",2019-07-02,15,13.9
"Buckboard",2019-07-02,15.9,12.07
"Buckboard",2019-07-02,17,11.06
"Buckboard",2019-07-02,18,10.21
"Buckboard",2019-07-02,19,9.71
"Buckboard",2019-07-02,20.1,9.4
"Buckboard",2019-07-02,21.1,8.76
"Buckboard",2019-07-02,22,8.51
"Buckboard",2019-07-02,23,8.41
"Buckboard",2019-07-02,24,8.34
"Buckboard",2019-07-02,25,8.34
"Buckboard",2019-07-02,26,8.24
"Buckboard",2019-07-02,0.3,18.55
"Anvil Draw",2019-07-02,0.3,17.68
"Anvil Draw",2019-07-02,1,17.67
"Anvil Draw",2019-07-02,2,17.63
"Anvil Draw",2019-07-02,3,17.6
"Anvil Draw",2019-07-02,4,17.37
"Anvil Draw",2019-07-02,5,16.58
"Anvil Draw",2019-07-02,6,16.43
"Anvil Draw",2019-07-02,7,16.42
"Anvil Draw",2019-07-02,8,16.04
"Anvil Draw",2019-07-02,9,15.66
"Anvil Draw",2019-07-02,10.1,15.37
"Anvil Draw",2019-07-02,11,15.03
"Anvil Draw",2019-07-02,12,14.89
"Anvil Draw",2019-07-02,13,14.79
"Anvil Draw",2019-07-02,14,14.21
"Anvil Draw",2019-07-02,15,13.59
"Anvil Draw",2019-07-02,16,13.53
"Anvil Draw",2019-07-02,17,11.96
"Anvil Draw",2019-07-02,18,10.46
"Anvil Draw",2019-07-02,19,9.9
"Anvil Draw",2019-07-02,20,9.14
"Anvil Draw",2019-07-02,21,8.83
"Anvil Draw",2019-07-02,22,8.43
"Anvil Draw",2019-07-02,23,8.17
"Anvil Draw",2019-07-02,24,7.95
"Anvil Draw",2019-07-02,25,7.7
"Anvil Draw",2019-07-02,26,7.49
"Anvil Draw",2019-07-02,27,7.19
"Anvil Draw",2019-07-02,28.4,7.08
"Anvil Draw",2019-07-02,29,7.07
"Anvil Draw",2019-07-02,30,6.93
"Anvil Draw",2019-07-02,35,6.22
"Anvil Draw",2019-07-02,40,6
"Anvil Draw",2019-07-02,45,5.9
"Anvil Draw",2019-07-02,0.3,17.7
"Antelope",2019-07-02,0.3,18.42
"Antelope",2019-07-02,1,18.2
"Antelope",2019-07-02,2,17.96
"Antelope",2019-07-02,3,17.79
"Antelope",2019-07-02,4,17.66
"Antelope",2019-07-02,5,17.22
"Antelope",2019-07-02,6,16.86
"Antelope",2019-07-02,7,16.87
"Antelope",2019-07-02,8,16.14
"Antelope",2019-07-02,9,15.2
"Antelope",2019-07-02,10,14.37
"Antelope",2019-07-02,11,14.11
"Antelope",2019-07-02,12,13.85
"Antelope",2019-07-02,13,12.97
"Antelope",2019-07-02,14,12.11
"Antelope",2019-07-02,15,11.38
"Antelope",2019-07-02,20,9.38
"Antelope",2019-07-02,25.1,7.32
"Antelope",2019-07-02,30,6.46
"Antelope",2019-07-02,40,5.86
"Antelope",2019-07-02,50,5.35
"Antelope",2019-07-02,55.1,5.21
"Antelope",2019-07-02,45,5.52
"Antelope",2019-07-02,35,6.17
"Antelope",2019-07-02,0.3,18.25
"Cedar Springs",2019-07-02,0.3,19
"Cedar Springs",2019-07-02,1,18.97
"Cedar Springs",2019-07-02,2,18.91
"Cedar Springs",2019-07-02,3,18.89
"Cedar Springs",2019-07-02,4,18.81
"Cedar Springs",2019-07-02,5,18.17
"Cedar Springs",2019-07-02,6,16.97
"Cedar Springs",2019-07-02,7,15.53
"Cedar Springs",2019-07-02,8,14.71
"Cedar Springs",2019-07-02,9,13.21
"Cedar Springs",2019-07-02,10.1,12.24
"Cedar Springs",2019-07-02,11,11.5
"Cedar Springs",2019-07-02,12,11.09
"Cedar Springs",2019-07-02,13.1,10.58
"Cedar Springs",2019-07-02,14.1,9.93
"Cedar Springs",2019-07-02,15,9.38
"Cedar Springs",2019-07-02,16.1,8.96
"Cedar Springs",2019-07-02,17.2,8.79
"Cedar Springs",2019-07-02,18.1,8.34
"Cedar Springs",2019-07-02,19,8.02
"Cedar Springs",2019-07-02,20,7.75
"Cedar Springs",2019-07-02,25.1,6.21
"Cedar Springs",2019-07-02,30,5.43
"Cedar Springs",2019-07-02,35,4.97
"Cedar Springs",2019-07-02,40,4.66
"Cedar Springs",2019-07-02,45.1,4.44
"Cedar Springs",2019-07-02,50,4.36
"Cedar Springs",2019-07-02,0.3,18.88
"Antelope",2018-08-01,0.4,22.17
"Antelope",2018-08-01,0.9,22.2
"Antelope",2018-08-01,2,22.2
"Antelope",2018-08-01,3,22.17
"Antelope",2018-08-01,3,22.14
"Antelope",2018-08-01,4,21.9
"Antelope",2018-08-01,5,21.77
"Antelope",2018-08-01,6,21.63
"Antelope",2018-08-01,7,21.49
"Antelope",2018-08-01,8,21.23
"Antelope",2018-08-01,9,21.13
"Antelope",2018-08-01,10,20.12
"Antelope",2018-08-01,11,19.12
"Antelope",2018-08-01,12.1,17.84
"Antelope",2018-08-01,13,16.13
"Antelope",2018-08-01,14,15.01
"Antelope",2018-08-01,15,14.01
"Antelope",2018-08-01,20,8.74
"Antelope",2018-08-01,25,7.39
"Antelope",2018-08-01,30,6.88
"Antelope",2018-08-01,35,6.24
"Antelope",2018-08-01,40,5.96
"Antelope",2018-08-01,45,5.79
"Antelope",2018-08-01,50,5.59
"Antelope",2018-08-01,54,5.53
"Anvil Draw",2018-08-01,0.5,22.39
"Anvil Draw",2018-08-01,1,22.41
"Anvil Draw",2018-08-01,2,22.4
"Anvil Draw",2018-08-01,3,22.16
"Anvil Draw",2018-08-01,4,22.19
"Anvil Draw",2018-08-01,5,21.89
"Anvil Draw",2018-08-01,6,21.65
"Anvil Draw",2018-08-01,6,21.62
"Anvil Draw",2018-08-01,7.1,21.31
"Anvil Draw",2018-08-01,8,21.08
"Anvil Draw",2018-08-01,9,20.89
"Anvil Draw",2018-08-01,10,20.54
"Anvil Draw",2018-08-01,11.1,18.6
"Anvil Draw",2018-08-01,12,17.25
"Anvil Draw",2018-08-01,13,15.61
"Anvil Draw",2018-08-01,14,14.31
"Anvil Draw",2018-08-01,15,13.04
"Anvil Draw",2018-08-01,20,9.05
"Anvil Draw",2018-08-01,25,7.87
"Anvil Draw",2018-08-01,30,7.07
"Anvil Draw",2018-08-01,35,6.77
"Anvil Draw",2018-08-01,40,6.56
"Anvil Draw",2018-08-01,45,6.26
"Buckboard",2018-08-01,0.5,21.35
"Buckboard",2018-08-01,1.1,21.35
"Buckboard",2018-08-01,2,21.3
"Buckboard",2018-08-01,3,21.25
"Buckboard",2018-08-01,4,20.72
"Buckboard",2018-08-01,5,20.44
"Buckboard",2018-08-01,6,20.33
"Buckboard",2018-08-01,7,20.11
"Buckboard",2018-08-01,8,20
"Buckboard",2018-08-01,9,19.77
"Buckboard",2018-08-01,10,19.43
"Buckboard",2018-08-01,11,18.85
"Buckboard",2018-08-01,12,16.84
"Buckboard",2018-08-01,13,16.04
"Buckboard",2018-08-01,14,15.4
"Buckboard",2018-08-01,14.9,14.58
"Buckboard",2018-08-01,16,12.99
"Buckboard",2018-08-01,17,11.38
"Buckboard",2018-08-01,18,11.01
"Buckboard",2018-08-01,19,10.25
"Buckboard",2018-08-01,20,9.92
"Buckboard",2018-08-01,21,9.79
"Buckboard",2018-08-01,22,9.32
"Buckboard",2018-08-01,23,9.05
"Buckboard",2018-08-01,24,8.78
"Buckboard",2018-08-01,25,8.32
"Buckboard",2018-08-01,26,8.15
"Cedar Springs",2018-08-01,0.5,22.56
"Cedar Springs",2018-08-01,1,22.58
"Cedar Springs",2018-08-01,1.9,22.53
"Cedar Springs",2018-08-01,3,22.46
"Cedar Springs",2018-08-01,4,22.4
"Cedar Springs",2018-08-01,5,22.35
"Cedar Springs",2018-08-01,6,22.33
"Cedar Springs",2018-08-01,7,22.22
"Cedar Springs",2018-08-01,8,22.17
"Cedar Springs",2018-08-01,9,21.21
"Cedar Springs",2018-08-01,10,19.64
"Cedar Springs",2018-08-01,11,18.61
"Cedar Springs",2018-08-01,12,18.06
"Cedar Springs",2018-08-01,13,17.46
"Cedar Springs",2018-08-01,14,16.38
"Cedar Springs",2018-08-01,15,15.08
"Cedar Springs",2018-08-01,16,13.91
"Cedar Springs",2018-08-01,17,12.24
"Cedar Springs",2018-08-01,18.1,11.12
"Cedar Springs",2018-08-01,19,10.41
"Cedar Springs",2018-08-01,20,9.55
"Cedar Springs",2018-08-01,25,7.47
"Cedar Springs",2018-08-01,30,6.61
"Cedar Springs",2018-08-01,35,6.11
"Cedar Springs",2018-08-01,40,5.74
"Cedar Springs",2018-08-01,45,5.47
"Cedar Springs",2018-08-01,50,5.18
"Cedar Springs",2018-08-01,55,5.02
"Cedar Springs",2018-08-01,59.9,4.84
