 Date	Time	Phase	Millis																						
25/09/2020	09:06:41	F1	113069																						
25/09/2020	09:06:42	F1	114069																						
25/09/2020	09:06:43	F1	115069																						
25/09/2020	09:06:44	F1	116071																						
25/09/2020	09:06:45	F1	117071																						
25/09/2020	09:06:46	F1	118072																						
25/09/2020	09:06:47	F1	119072																						
25/09/2020	09:06:48	F1	120073																						
25/09/2020	09:06:49	F1	121073																						
25/09/2020	09:06:50	F1	122074																						
25/09/2020	09:06:51	F1	123074																						
25/09/2020	09:06:52	F1	124075																						
25/09/2020	09:06:53	F1	125075																						
25/09/2020	09:06:54	F1	126075																						
25/09/2020	09:06:55	F1	127076																						
25/09/2020	09:06:56	F1	128077																						
25/09/2020	09:06:57	F1	129078																						
25/09/2020	09:06:58	F1	130078																						
25/09/2020	09:06:59	F1	131079																						
25/09/2020	09:07:00	F1	132079																						
25/09/2020	09:07:01	F1	133080																						
25/09/2020	09:07:02	F1	134080																						
25/09/2020	09:07:03	F1	135080																						
25/09/2020	09:07:04	F1	136081																						
25/09/2020	09:07:05	F1	137081																						
25/09/2020	09:07:06	F1	138082																						
25/09/2020	09:07:07	F1	139082																						
25/09/2020	09:07:08	F1	140084																						
25/09/2020	09:07:09	F1	141084																						
25/09/2020	09:07:10	F1	142085																						
25/09/2020	09:07:11	F1	143085																						
25/09/2020	09:07:12	F1	144086																						
25/09/2020	09:07:13	F1	145086																						
25/09/2020	09:07:14	F1	146086																						
25/09/2020	09:07:15	F1	147087																						
25/09/2020	09:07:16	F1	148087																						
25/09/2020	09:07:17	F1	149088																						
25/09/2020	09:07:18	F1	150088																						
25/09/2020	09:07:19	F1	151089																						
25/09/2020	09:07:20	F1	152090																						
25/09/2020	09:07:21	F1	153091																						
25/09/2020	09:07:22	F1	154091																						
25/09/2020	09:07:23	F1	155091																						
25/09/2020	09:07:24	F1	156092																						
25/09/2020	09:07:25	F1	157092																						
25/09/2020	09:07:26	F1	158093																						
25/09/2020	09:07:27	F1	159093																						
25/09/2020	09:07:28	F1	160094																						
25/09/2020	09:07:29	F1	161094																						
25/09/2020	09:07:30	F1	162095																						
25/09/2020	09:07:31	F1	163095																						
25/09/2020	09:07:32	F1	164097																						
25/09/2020	09:07:33	F1	165097																						
25/09/2020	09:07:34	F1	166097																						
25/09/2020	09:07:35	F1	167098																						
25/09/2020	09:07:36	F1	168098																						
25/09/2020	09:07:37	F1	169099																						
25/09/2020	09:07:38	F1	170099																						
25/09/2020	09:07:39	F1	171100																						
25/09/2020	09:07:40	F1	172100																						
25/09/2020	09:07:41	F1	173101																						
25/09/2020	09:07:42	F1	174101																						
25/09/2020	09:07:43	F1	175101																						
25/09/2020	09:07:44	F1	176103																						
25/09/2020	09:07:45	F1	177103																						
25/09/2020	09:07:46	F1	178104																						
25/09/2020	09:07:47	F1	179104																						
25/09/2020	09:07:48	F1	180105																						
25/09/2020	09:07:49	F1	181105																						
25/09/2020	09:07:50	F1	182106																						
25/09/2020	09:07:51	F1	183106																						
25/09/2020	09:07:52	F1	184107																						
25/09/2020	09:07:53	F1	185107																						
25/09/2020	09:07:54	F1	186107																						
25/09/2020	09:07:55	F1	187108																						
25/09/2020	09:07:56	F1	188109																						
25/09/2020	09:07:57	F1	189110																						
25/09/2020	09:07:58	F1	190110																						
25/09/2020	09:07:59	F1	191111																						
25/09/2020	09:08:00	F1	192111																						
25/09/2020	09:08:01	F1	193112																						
25/09/2020	09:08:02	F1	194112																						
25/09/2020	09:08:03	F1	195112																						
25/09/2020	09:08:04	F1	196113																						
25/09/2020	09:08:05	F1	197113																						
25/09/2020	09:08:06	F1	198114																						
25/09/2020	09:08:07	F1	199114																						
25/09/2020	09:08:08	F1	200116																						
25/09/2020	09:08:09	F1	201116																						
25/09/2020	09:08:10	F1	202117																						
25/09/2020	09:08:11	F1	203117																						
25/09/2020	09:08:12	F1	204118																						
25/09/2020	09:08:13	F1	205118																						
25/09/2020	09:08:14	F1	206118																						
25/09/2020	09:08:15	F1	207119																						
25/09/2020	09:08:16	F1	208119																						
25/09/2020	09:08:17	F1	209120																						
25/09/2020	09:08:18	F1	210120																						
25/09/2020	09:08:19	F1	211121																						
25/09/2020	09:08:20	F1	212122																						
25/09/2020	09:08:21	F1	213123																						
25/09/2020	09:08:22	F1	214123																						
25/09/2020	09:08:23	F1	215123																						
25/09/2020	09:08:24	F1	216124																						
25/09/2020	09:08:25	F1	217124																						
25/09/2020	09:08:26	F1	218125																						
25/09/2020	09:08:27	F1	219125																						
25/09/2020	09:08:28	F1	220126																						
25/09/2020	09:08:29	F1	221126																						
25/09/2020	09:08:30	F1	222127																						
25/09/2020	09:08:31	F1	223127																						
25/09/2020	09:08:32	F1	224129																						
25/09/2020	09:08:33	F1	225129																						
25/09/2020	09:08:34	F1	226129																						
25/09/2020	09:08:35	F1	227130																						
25/09/2020	09:08:36	F1	228130																						
25/09/2020	09:08:37	F1	229131																						
25/09/2020	09:08:38	F1	230131																						
25/09/2020	09:08:39	F1	231132																						
25/09/2020	09:08:40	F1	232132																						
25/09/2020	09:08:41	F1	233133																						
25/09/2020	09:08:42	F1	234133																						
25/09/2020	09:08:43	F1	235133																						
25/09/2020	09:08:44	F1	236135																						
25/09/2020	09:08:45	F1	237135																						
25/09/2020	09:08:46	F1	238136																						
25/09/2020	09:08:47	F1	239136																						
25/09/2020	09:08:48	F1	240137																						
25/09/2020	09:08:49	F1	241137																						
25/09/2020	09:08:50	F1	242138																						
25/09/2020	09:08:51	F1	243138																						
25/09/2020	09:08:52	F1	244139																						
25/09/2020	09:08:53	F1	245139																						
25/09/2020	09:08:54	F1	246139																						
25/09/2020	09:08:55	F1	247140																						
25/09/2020	09:08:56	F1	248141																						
25/09/2020	09:08:57	F1	249142																						
25/09/2020	09:08:58	F1	250142																						
25/09/2020	09:08:59	F1	251143																						
25/09/2020	09:09:00	F1	252143																						
25/09/2020	09:09:01	F1	253144																						
25/09/2020	09:09:02	F1	254144																						
25/09/2020	09:09:03	F1	255144																						
25/09/2020	09:09:04	F1	256145																						
25/09/2020	09:09:05	F1	257145																						
25/09/2020	09:09:06	F1	258146																						
25/09/2020	09:09:07	F1	259146																						
25/09/2020	09:09:08	F1	260148																						
25/09/2020	09:09:09	F1	261148																						
25/09/2020	09:09:10	F1	262149																						
25/09/2020	09:09:11	F1	263149																						
25/09/2020	09:09:12	F1	264150																						
25/09/2020	09:09:13	F1	265150																						
25/09/2020	09:09:14	F1	266150																						
25/09/2020	09:09:15	F1	267151																						
25/09/2020	09:09:16	F1	268151																						
25/09/2020	09:09:17	F1	269152																						
25/09/2020	09:09:18	F1	270152																						
25/09/2020	09:09:19	F1	271153																						
25/09/2020	09:09:20	F1	272154																						
25/09/2020	09:09:21	F1	273155																						
25/09/2020	09:09:22	F1	274155																						
25/09/2020	09:09:23	F1	275155																						
25/09/2020	09:09:24	F1	276156																						
25/09/2020	09:09:25	F1	277156																						
25/09/2020	09:09:26	F1	278157																						
25/09/2020	09:09:27	F1	279157																						
25/09/2020	09:09:28	F1	280158																						
25/09/2020	09:09:29	F1	281158																						
25/09/2020	09:09:30	F1	282159																						
25/09/2020	09:09:31	F1	283159																						
25/09/2020	09:09:32	F1	284161																						
25/09/2020	09:09:33	F1	285161																						
25/09/2020	09:09:34	F1	286161																						
25/09/2020	09:09:35	F1	287162																						
25/09/2020	09:09:36	F1	288162																						
25/09/2020	09:09:37	F1	289163																						
25/09/2020	09:09:38	F1	290163																						
25/09/2020	09:09:39	F1	291164																						
25/09/2020	09:09:40	F1	292164																						
25/09/2020	09:09:41	F1	293165																						
25/09/2020	09:09:42	F1	294165																						
25/09/2020	09:09:43	F1	295165																						
25/09/2020	09:09:44	F1	296167																						
25/09/2020	09:09:45	F1	297167																						
25/09/2020	09:09:46	F1	298168																						
25/09/2020	09:09:47	F1	299168																						
25/09/2020	09:09:48	M1	300169																						
25/09/2020	09:09:49	M1	301169																						
25/09/2020	09:09:50	M1	302170																						
25/09/2020	09:09:51	M1	303170																						
25/09/2020	09:09:52	M1	304171																						
25/09/2020	09:09:53	M1	305171																						
25/09/2020	09:09:54	M1	306171																						
25/09/2020	09:09:55	M1	307173																						
25/09/2020	09:09:56	M1	308173																						
25/09/2020	09:09:57	M1	309174																						
25/09/2020	09:09:58	M1	310174																						
25/09/2020	09:09:59	M1	311175																						
25/09/2020	09:10:00	M1	312175																						
25/09/2020	09:10:01	M1	313176																						
25/09/2020	09:10:02	M1	314176																						
25/09/2020	09:10:03	M1	315176																						
25/09/2020	09:10:04	M1	316177																						
25/09/2020	09:10:05	M1	317177																						
25/09/2020	09:10:06	M1	318179																						
25/09/2020	09:10:07	M1	319179																						
25/09/2020	09:10:08	M1	320180																						
25/09/2020	09:10:09	M1	321180																						
25/09/2020	09:10:10	M1	322181																						
25/09/2020	09:10:11	M1	323181																						
25/09/2020	09:10:12	M1	324182																						
25/09/2020	09:10:13	M1	325182																						
25/09/2020	09:10:14	M1	326182																						
25/09/2020	09:10:15	M1	327183																						
25/09/2020	09:10:16	M1	328184																						
25/09/2020	09:10:17	M1	329185																						
25/09/2020	09:10:18	M1	330185																						
25/09/2020	09:10:19	M1	331186																						
25/09/2020	09:10:20	M1	332186																						
25/09/2020	09:10:21	M1	333187																						
25/09/2020	09:10:22	M1	334187																						
25/09/2020	09:10:23	M1	335187																						
25/09/2020	09:10:24	M1	336188																						
25/09/2020	09:10:25	M1	337188																						
25/09/2020	09:10:26	M1	338189																						
25/09/2020	09:10:27	M1	339190																						
25/09/2020	09:10:28	M1	340191																						
25/09/2020	09:10:29	M1	341191																						
25/09/2020	09:10:30	M1	342192																						
25/09/2020	09:10:31	M1	343192																						
25/09/2020	09:10:32	M1	344193																						
25/09/2020	09:10:33	M1	345193																						
25/09/2020	09:10:34	M1	346193																						
25/09/2020	09:10:35	M1	347194																						
25/09/2020	09:10:36	M1	348194																						
25/09/2020	09:10:37	M1	349196																						
25/09/2020	09:10:38	M1	350196																						
25/09/2020	09:10:39	M1	351197																						
25/09/2020	09:10:40	M1	352197																						
25/09/2020	09:10:41	M1	353198																						
25/09/2020	09:10:42	M1	354198																						
25/09/2020	09:10:43	M1	355198																						
25/09/2020	09:10:44	M1	356199																						
25/09/2020	09:10:45	M1	357199																						
25/09/2020	09:10:46	M1	358200																						
25/09/2020	09:10:47	M1	359200																						
25/09/2020	09:10:48	M1	360202																						
25/09/2020	09:10:49	M1	361202																						
25/09/2020	09:10:50	M1	362203																						
25/09/2020	09:10:51	M1	363203																						
25/09/2020	09:10:52	M1	364204																						
25/09/2020	09:10:53	M1	365204																						
25/09/2020	09:10:54	M1	366204																						
25/09/2020	09:10:55	M1	367205																						
25/09/2020	09:10:56	M1	368205																						
25/09/2020	09:10:57	M1	369206																						
25/09/2020	09:10:58	M1	370207																						
25/09/2020	09:10:59	M1	371208																						
25/09/2020	09:11:00	M1	372208																						
25/09/2020	09:11:01	M1	373209																						
25/09/2020	09:11:02	M1	374209																						
25/09/2020	09:11:03	M1	375209																						
25/09/2020	09:11:04	M1	376210																						
25/09/2020	09:11:05	M1	377210																						
25/09/2020	09:11:06	M1	378211																						
25/09/2020	09:11:07	M1	379211																						
25/09/2020	09:11:08	M1	380212																						
25/09/2020	09:11:09	M1	381213																						
25/09/2020	09:11:10	M1	382214																						
25/09/2020	09:11:11	M1	383214																						
25/09/2020	09:11:12	M1	384215																						
25/09/2020	09:11:13	M1	385215																						
25/09/2020	09:11:14	M1	386215																						
25/09/2020	09:11:15	M1	387216																						
25/09/2020	09:11:16	M1	388216																						
25/09/2020	09:11:17	M1	389217																						
25/09/2020	09:11:18	M1	390217																						
25/09/2020	09:11:19	M1	391219																						
25/09/2020	09:11:20	M1	392219																						
25/09/2020	09:11:21	M1	393220																						
25/09/2020	09:11:22	M1	394220																						
25/09/2020	09:11:23	M1	395220																						
25/09/2020	09:11:24	M1	396221																						
25/09/2020	09:11:25	M1	397221																						
25/09/2020	09:11:26	M1	398222																						
25/09/2020	09:11:27	M1	399222																						
25/09/2020	09:11:28	M1	400223																						
25/09/2020	09:11:29	M1	401223																						
25/09/2020	09:11:30	M1	402225																						
25/09/2020	09:11:31	M1	403225																						
25/09/2020	09:11:32	M1	404226																						
25/09/2020	09:11:33	M1	405226																						
25/09/2020	09:11:34	M1	406226																						
25/09/2020	09:11:35	M1	407227																						
25/09/2020	09:11:36	M1	408227																						
25/09/2020	09:11:37	M1	409228																						
25/09/2020	09:11:38	M1	410228																						
25/09/2020	09:11:39	M1	411229																						
25/09/2020	09:11:40	M1	412229																						
25/09/2020	09:11:41	M1	413231																						
25/09/2020	09:11:42	M1	414231																						
25/09/2020	09:11:43	M1	415232																						
25/09/2020	09:11:44	M1	416232																						
25/09/2020	09:11:45	M1	417232																						
25/09/2020	09:11:46	M1	418233																						
25/09/2020	09:11:47	M1	419233																						
25/09/2020	09:11:48	M1	420234																						
25/09/2020	09:11:49	M1	421234																						
25/09/2020	09:11:50	M1	422235																						
25/09/2020	09:11:51	M1	423236																						
25/09/2020	09:11:52	M1	424237																						
25/09/2020	09:11:53	M1	425237																						
25/09/2020	09:11:54	M1	426237																						
25/09/2020	09:11:55	M1	427238																						
25/09/2020	09:11:56	M1	428238																						
25/09/2020	09:11:57	M1	429239																						
25/09/2020	09:11:58	M1	430239																						
25/09/2020	09:11:59	M1	431240																						
25/09/2020	09:12:00	M1	432240																						
25/09/2020	09:12:01	M1	433241																						
25/09/2020	09:12:02	M1	434242																						
25/09/2020	09:12:03	M1	435243																						
25/09/2020	09:12:04	M1	436243																						
25/09/2020	09:12:05	M1	437243																						
25/09/2020	09:12:06	M1	438244																						
25/09/2020	09:12:07	M1	439244																						
25/09/2020	09:12:08	M1	440245																						
25/09/2020	09:12:09	M1	441245																						
25/09/2020	09:12:10	M1	442246																						
25/09/2020	09:12:11	M1	443246																						
25/09/2020	09:12:12	M1	444248																						
25/09/2020	09:12:13	M1	445248																						
25/09/2020	09:12:14	M1	446248																						
25/09/2020	09:12:15	M1	447249																						
25/09/2020	09:12:16	M1	448249																						
25/09/2020	09:12:17	M1	449250																						
25/09/2020	09:12:18	M1	450250																						
25/09/2020	09:12:19	M1	451251																						
25/09/2020	09:12:20	M1	452251																						
25/09/2020	09:12:21	M1	453252																						
25/09/2020	09:12:22	M1	454252																						
25/09/2020	09:12:23	M1	455254																						
25/09/2020	09:12:24	M1	456254																						
25/09/2020	09:12:25	M1	457254																						
25/09/2020	09:12:26	M1	458255																						
25/09/2020	09:12:27	M1	459255																						
25/09/2020	09:12:28	M1	460256																						
25/09/2020	09:12:29	M1	461256																						
25/09/2020	09:12:30	M1	462257																						
25/09/2020	09:12:31	M1	463257																						
25/09/2020	09:12:32	M1	464258																						
25/09/2020	09:12:33	M1	465259																						
25/09/2020	09:12:34	M1	466259																						
25/09/2020	09:12:35	M1	467260																						
25/09/2020	09:12:36	M1	468260																						
25/09/2020	09:12:37	M1	469261																						
25/09/2020	09:12:38	M1	470261																						
25/09/2020	09:12:39	M1	471262																						
25/09/2020	09:12:40	M1	472262																						
25/09/2020	09:12:41	M1	473263																						
25/09/2020	09:12:42	M1	474263																						
25/09/2020	09:12:43	M1	475264																						
25/09/2020	09:12:44	M1	476265																						
25/09/2020	09:12:45	M1	477265																						
25/09/2020	09:12:46	M1	478266																						
25/09/2020	09:12:47	M1	479266																						
25/09/2020	09:12:48	M1	480267																						
25/09/2020	09:12:49	M1	481267																						
25/09/2020	09:12:50	M1	482268																						
25/09/2020	09:12:51	M1	483268																						
25/09/2020	09:12:52	M1	484269																						
25/09/2020	09:12:53	M1	485269																						
25/09/2020	09:12:54	M1	486270																						
25/09/2020	09:12:55	M1	487271																						
25/09/2020	09:12:56	M1	488271																						
25/09/2020	09:12:57	M1	489272																						
25/09/2020	09:12:58	M1	490272																						
25/09/2020	09:12:59	M1	491273																						
25/09/2020	09:13:00	M1	492273																						
25/09/2020	09:13:01	M1	493274																						
25/09/2020	09:13:02	M1	494274																						
25/09/2020	09:13:03	M1	495275																						
25/09/2020	09:13:04	M1	496275																						
25/09/2020	09:13:05	M1	497276																						
25/09/2020	09:13:06	M1	498277																						
25/09/2020	09:13:07	M1	499277																						
25/09/2020	09:13:08	M1	500278																						
25/09/2020	09:13:09	M1	501278																						
25/09/2020	09:13:10	M1	502279																						
25/09/2020	09:13:11	M1	503279																						
25/09/2020	09:13:12	M1	504280																						
25/09/2020	09:13:13	M1	505280																						
25/09/2020	09:13:14	M1	506280																						
25/09/2020	09:13:15	M1	507282																						
25/09/2020	09:13:16	M1	508282																						
25/09/2020	09:13:17	M1	509283																						
25/09/2020	09:13:18	M1	510283																						
25/09/2020	09:13:19	M1	511284																						
25/09/2020	09:13:20	M1	512284																						
25/09/2020	09:13:21	M1	513285																						
25/09/2020	09:13:22	M1	514285																						
25/09/2020	09:13:23	M1	515286																						
25/09/2020	09:13:24	M1	516286																						
25/09/2020	09:13:25	M1	517286																						
25/09/2020	09:13:26	M1	518288																						
25/09/2020	09:13:27	M1	519288																						
25/09/2020	09:13:28	M1	520289																						
25/09/2020	09:13:29	M1	521289																						
25/09/2020	09:13:30	M1	522290																						
25/09/2020	09:13:31	M1	523290																						
25/09/2020	09:13:32	M1	524291																						
25/09/2020	09:13:33	M1	525291																						
25/09/2020	09:13:34	M1	526291																						
25/09/2020	09:13:35	M1	527292																						
25/09/2020	09:13:36	M1	528293																						
25/09/2020	09:13:37	M1	529294																						
25/09/2020	09:13:38	M1	530294																						
25/09/2020	09:13:39	M1	531295																						
25/09/2020	09:13:40	M1	532295																						
25/09/2020	09:13:41	M1	533296																						
25/09/2020	09:13:42	M1	534296																						
25/09/2020	09:13:43	M1	535297																						
25/09/2020	09:13:44	M1	536297																						
25/09/2020	09:13:45	M1	537297																						
25/09/2020	09:13:46	M1	538298																						
25/09/2020	09:13:47	M1	539299																						
25/09/2020	09:13:48	M1	540300																						
25/09/2020	09:13:49	M1	541300																						
25/09/2020	09:13:50	M1	542301																						
25/09/2020	09:13:51	M1	543301																						
25/09/2020	09:13:52	M1	544302																						
25/09/2020	09:13:53	M1	545302																						
25/09/2020	09:13:54	M1	546302																						
25/09/2020	09:13:55	M1	547303																						
25/09/2020	09:13:56	M1	548303																						
25/09/2020	09:13:57	M1	549305																						
25/09/2020	09:13:58	M1	550305																						
25/09/2020	09:13:59	M1	551306																						
25/09/2020	09:14:00	M1	552306																						
25/09/2020	09:14:01	M1	553307																						
25/09/2020	09:14:02	M1	554307																						
25/09/2020	09:14:03	M1	555308																						
25/09/2020	09:14:04	M1	556308																						
25/09/2020	09:14:05	M1	557308																						
25/09/2020	09:14:06	M1	558309																						
25/09/2020	09:14:07	M1	559309																						
25/09/2020	09:14:08	M1	560311																						
25/09/2020	09:14:09	M1	561311																						
25/09/2020	09:14:10	M1	562312																						
25/09/2020	09:14:11	M1	563312																						
25/09/2020	09:14:12	M1	564313																						
25/09/2020	09:14:13	M1	565313																						
25/09/2020	09:14:14	M1	566313																						
25/09/2020	09:14:15	M1	567314																						
25/09/2020	09:14:16	M1	568314																						
25/09/2020	09:14:17	M1	569315																						
25/09/2020	09:14:18	M1	570316																						
25/09/2020	09:14:19	M1	571317																						
25/09/2020	09:14:20	M1	572317																						
25/09/2020	09:14:21	M1	573318																						
25/09/2020	09:14:22	M1	574318																						
25/09/2020	09:14:23	M1	575319																						
25/09/2020	09:14:24	M1	576319																						
25/09/2020	09:14:25	M1	577319																						
25/09/2020	09:14:26	M1	578320																						
25/09/2020	09:14:27	M1	579320																						
25/09/2020	09:14:28	M1	580321																						
25/09/2020	09:14:29	M1	581322																						
25/09/2020	09:14:30	M1	582323																						
25/09/2020	09:14:31	M1	583323																						
25/09/2020	09:14:32	M1	584324																						
25/09/2020	09:14:33	M1	585324																						
25/09/2020	09:14:34	M1	586324																						
25/09/2020	09:14:35	M1	587325																						
25/09/2020	09:14:36	M1	588325																						
25/09/2020	09:14:37	M1	589326																						
25/09/2020	09:14:38	M1	590326																						
25/09/2020	09:14:39	M1	591328																						
25/09/2020	09:14:40	M1	592328																						
25/09/2020	09:14:42	M1	593329																						
25/09/2020	09:14:43	M1	594329																						
25/09/2020	09:14:43	M1	595330																						
25/09/2020	09:14:44	M1	596330																						
25/09/2020	09:14:45	M1	597330																						
25/09/2020	09:14:46	M1	598331																						
25/09/2020	09:14:47	M1	599331																						
25/09/2020	09:14:48	M1	600332																						
25/09/2020	09:14:49	M1	601333																						
25/09/2020	09:14:50	M1	602334																						
25/09/2020	09:14:51	M1	603334																						
25/09/2020	09:14:52	M1	604335																						
25/09/2020	09:14:53	M1	605335																						
25/09/2020	09:14:54	M1	606336																						
25/09/2020	09:14:55	M1	607336																						
25/09/2020	09:14:56	M1	608336																						
25/09/2020	09:14:57	M1	609337																						
25/09/2020	09:14:58	M1	610337																						
25/09/2020	09:14:59	M1	611338																						
25/09/2020	09:15:00	M1	612339																						
25/09/2020	09:15:01	M1	613340																						
25/09/2020	09:15:02	M1	614340																						
25/09/2020	09:15:03	M1	615341																						
25/09/2020	09:15:04	M1	616341																						
25/09/2020	09:15:05	M1	617341																						
25/09/2020	09:15:06	M1	618342																						
25/09/2020	09:15:07	M1	619342																						
25/09/2020	09:15:08	M1	620343																						
25/09/2020	09:15:09	M1	621343																						
25/09/2020	09:15:10	M1	622345																						
25/09/2020	09:15:11	M1	623345																						
25/09/2020	09:15:12	M1	624346																						
25/09/2020	09:15:13	M1	625346																						
25/09/2020	09:15:14	M1	626347																						
25/09/2020	09:15:15	M1	627347																						
25/09/2020	09:15:16	M1	628347																						
25/09/2020	09:15:17	M1	629348																						
25/09/2020	09:15:18	M1	630348																						
25/09/2020	09:15:19	M1	631349																						
25/09/2020	09:15:20	M1	632349																						
25/09/2020	09:15:21	M1	633351																						
25/09/2020	09:15:22	M1	634351																						
25/09/2020	09:15:23	M1	635352																						
25/09/2020	09:15:24	M1	636352																						
25/09/2020	09:15:25	M1	637352																						
25/09/2020	09:15:26	M1	638353																						
25/09/2020	09:15:27	M1	639353																						
25/09/2020	09:15:28	M1	640354																						
25/09/2020	09:15:29	M1	641354																						
25/09/2020	09:15:30	M1	642355																						
25/09/2020	09:15:31	M1	643355																						
25/09/2020	09:15:32	M1	644357																						
25/09/2020	09:15:33	M1	645357																						
25/09/2020	09:15:34	M1	646358																						
25/09/2020	09:15:35	M1	647358																						
25/09/2020	09:15:36	M1	648358																						
25/09/2020	09:15:37	M1	649359																						
25/09/2020	09:15:38	M1	650359																						
25/09/2020	09:15:39	M1	651360																						
25/09/2020	09:15:40	M1	652360																						
25/09/2020	09:15:41	M1	653361																						
25/09/2020	09:15:42	M1	654362																						
25/09/2020	09:15:43	M1	655363																						
25/09/2020	09:15:44	M1	656363																						
25/09/2020	09:15:45	M1	657363																						
25/09/2020	09:15:46	M1	658364																						
25/09/2020	09:15:47	M1	659364																						
25/09/2020	09:15:48	M1	660365																						
25/09/2020	09:15:49	M1	661365																						
25/09/2020	09:15:50	M1	662366																						
25/09/2020	09:15:51	M1	663366																						
25/09/2020	09:15:52	M1	664367																						
