DOID	DOTerm	p	p.adjust	geneRatio	bgRatio	cg
DOID:332	amyotrophic lateral sclerosis	1.7624408627338903e-21	4.98978110137542e-19	31/91	519/15106	1471,945,4524,836,5621,627,5649,5663,5664,3481,3480,3479,3162,5336,10452,4137,54209,7422,3077,341,348,351,7447,498,7124,7019,2932,3952,3127,55676,1636
DOID:7148	rheumatoid arthritis	2.9587087947486048e-21	7.911258571736131e-19	41/91	1235/15106	596,3479,4353,7124,3162,3553,4524,7422,2023,3077,3635,1471,2,3643,836,627,5649,3481,3480,2147,5468,54209,7018,3952,4846,4852,1139,1378,1392,1191,3127,5328,8633,2099,102,55676,348,590,2932,7167,1636
DOID:14250	Down syndrome	1.0542483148385344e-20	2.6705774417462453e-18	23/91	264/15106	351,3630,4846,9510,8301,1808,7124,1141,1139,4524,836,5621,627,5663,3479,6653,3952,4137,54209,7422,2099,23621,348
DOID:1414	ovarian dysfunction	1.5556426699255293e-20	3.743654085175787e-18	33/91	530/15106	3630,4846,4852,3643,3416,10857,3553,4524,1392,627,3481,3480,3479,2147,6517,4353,6648,5697,3162,5468,7422,2099,3077,581,341,348,9510,7124,7019,2932,1636,3952,1565
DOID:10825	essential hypertension	1.41912576108791e-19	3.252501089579101e-17	22/91	259/15106	351,4846,9510,1471,3643,7124,3553,4524,627,3480,3479,1191,4353,6648,1636,3162,3952,4129,5468,7422,3077,348
DOID:769	neuroblastoma	3.2111669403210106e-19	7.025157492620466e-17	35/91	953/15106	5819,4524,5621,627,5649,5663,5664,3482,3481,3480,3479,4137,5468,7422,3077,7447,274,1718,3952,4846,4852,3553,1191,6648,5328,3162,2099,23621,581,351,596,1808,43,7124,2932
DOID:10591	pre-eclampsia	3.6114969634707063e-19	7.557449950080222e-17	36/91	973/15106	7422,351,596,3952,836,3479,2147,4846,1471,1636,7124,3162,1139,4524,2099,348,3630,2,3643,627,5649,3481,3480,4353,5468,4852,3553,1392,1191,6653,6648,5328,581,341,590,9510
DOID:9970	obesity	5.637890578309434e-19	1.130631973058471e-16	38/91	1187/15106	7124,3479,3630,3952,4524,5468,2099,1636,5697,348,627,1471,3643,5663,3481,3480,2147,6517,4353,4137,54209,7422,7018,4846,4852,3553,1392,2023,1191,6653,6648,3162,341,590,351,596,9510,2932
DOID:934	viral infectious disease	8.397717368633812e-19	1.6167285478093816e-16	56/91	2752/15106	7124,3479,348,4137,1636,7422,2099,3553,3416,4524,836,4846,3162,627,3480,1378,596,581,1471,2,1139,2147,4353,6648,54209,590,351,43,7018,3952,2932,23621,3077,102,5819,8301,1965,3482,1191,23607,3643,5328,5468,3630,3481,10452,341,1718,1565,9510,3635,2023,5697,10857,5621,5663
DOID:3393	coronary artery disease	1.7260262413057009e-18	3.142720106033558e-16	39/91	1161/15106	4846,7124,3162,1636,4852,348,590,9510,1471,43,3553,4524,3481,3479,2147,4353,3952,5468,7422,3077,3630,1139,627,3480,1191,2099,581,351,7019,801,6517,54209,1565,1378,6653,6648,5328,341,596
DOID:848	arthritis	1.763005253748308e-18	3.142720106033558e-16	47/91	1735/15106	4353,1636,7124,3553,3952,3077,596,3479,3162,4524,7422,2023,3635,1471,2,3643,836,627,5649,3481,3480,2147,5468,54209,7018,4846,4852,1139,1378,1392,1191,3127,5328,8633,2099,102,55676,348,590,2932,7167,801,6648,581,9510,5336,1565
DOID:5082	liver cirrhosis	1.8334888276005454e-18	3.1516363311576516e-16	28/91	539/15106	596,4846,498,1636,7124,3952,5468,2099,4353,6648,3630,1471,3553,4524,836,5649,3482,3481,3480,3479,2147,6517,7422,3077,581,348,2932,1565
DOID:3324	mood disorder	1.873089967389968e-17	3.1086834527751433e-15	44/91	909/15106	7422,596,3479,4524,2932,348,627,3630,4846,1139,3553,1392,5621,5649,6648,4137,2099,351,1808,7124,1636,3952,1565,590,1471,4852,3482,5697,4129,7782,55676,1378,5663,3481,3480,1191,4353,3162,10452,5468,8301,498,43,23237
DOID:9351	diabetes mellitus	4.6763314945599223e-17	7.502394494438968e-15	52/91	2087/15106	1471,1191,4852,7422,4353,1636,348,627,3630,3553,3952,3479,4846,7124,2099,1565,596,8301,3643,4524,2932,3481,6517,3162,5468,3077,2,3416,10858,3482,3480,2147,5697,4129,4137,54209,274,7019,7018,1141,6648,23621,341,590,351,7167,10452,51741,23607,3127,6653,102
DOID:631	fibromyalgia	5.530186505100205e-17	8.586060531950737e-15	14/91	83/15106	7124,3479,3553,3952,4524,4129,4846,4852,2099,6648,1636,3077,348,627
DOID:6713	cerebrovascular disease	6.278526263292916e-17	9.443295907884e-15	41/91	1037/15106	596,3479,4846,1471,801,1636,7124,3553,4524,5468,7422,2099,102,348,627,4353,2147,1191,3480,3162,3952,836,5621,7018,2023,7019,3630,3635,2,5663,5664,4137,54209,3077,7447,4852,1139,6653,6648,351,9510
DOID:10763	hypertension	6.55720886872091e-17	9.563589783379922e-15	45/91	1606/15106	7422,7124,4846,1471,4852,4524,627,3480,3479,2147,6653,1636,3162,5468,348,351,9510,3643,3553,1191,4353,6648,3952,4129,3077,596,836,1139,2099,3630,2,5649,3481,1392,5328,581,341,590,5664,6517,7018,51741,1565,2023,23621
DOID:0050848	obstructive sleep apnea	7.041656776817865e-17	9.968086490242466e-15	18/91	192/15106	5663,351,3479,4846,1191,6517,1636,7124,3162,3553,3952,4137,5468,7422,2099,581,348,627
DOID:3342	bone inflammation disease	1.0571264959608683e-16	1.4536999500170455e-14	48/91	1819/15106	7124,3553,4524,2932,5649,6653,6648,1636,3952,7422,1565,596,4846,581,4353,3077,3479,3162,2023,3635,1471,2,3643,836,627,3481,3480,2147,5468,54209,7018,4852,1139,1378,1392,1191,3127,5328,8633,2099,102,55676,348,590,7167,801,9510,5336
DOID:303	substance-related disorder	2.297414570841154e-16	3.0715156470717987e-14	24/91	319/15106	4524,7018,3077,1565,348,627,5649,590,4852,43,3479,7422,1141,1139,3553,4846,1636,1808,3952,4129,1392,5621,2099,2932
DOID:784	chronic kidney disease	3.178258730334965e-16	4.070887673441808e-14	24/91	430/15106	23607,4846,1471,1191,1636,7124,7422,2099,351,4852,4524,836,5621,2932,627,3481,3479,4353,6648,3952,5468,54209,102,348
DOID:6364	migraine	3.214081271364818e-16	4.070887673441808e-14	18/91	210/15106	7124,2099,4524,4846,1636,3643,627,3553,5621,2147,6648,3952,5468,7422,23621,3077,1565,348
DOID:654	overnutrition	3.812468669004473e-16	4.704977359979109e-14	38/91	1191/15106	7124,3479,3630,3952,4524,5468,2099,1636,5697,348,627,1471,3643,5663,3481,3480,2147,6517,4353,4137,54209,7422,7018,4846,4852,3553,1392,2023,1191,6653,6648,3162,341,590,351,596,9510,2932
DOID:5844	myocardial infarction	4.0208255567967876e-16	4.838058351215735e-14	29/91	674/15106	590,4846,9510,1471,43,7124,3553,4524,3481,3479,2147,4353,1636,3162,3952,5468,7422,3077,348,3630,4852,1139,627,3480,1191,2099,581,351,7019
DOID:2621	autonomic nervous system neoplasm	4.935742100446271e-16	5.794079690109245e-14	35/91	953/15106	5819,4524,5621,627,5649,5663,5664,3482,3481,3480,3479,4137,5468,7422,3077,7447,274,1718,3952,4846,4852,3553,1191,6648,5328,3162,2099,23621,581,351,596,1808,43,7124,2932
DOID:1909	melanoma	5.320752053176112e-16	6.097328483794435e-14	44/91	1945/15106	596,23385,267,945,836,2023,3481,3480,54209,7422,581,1471,1808,102,627,4137,5468,274,1965,1191,2099,348,351,9510,2932,1636,5621,5649,5663,3482,3479,2147,7019,1718,3952,26330,4846,3553,1392,6648,5328,3162,7124,7167
DOID:10923	sickle cell anemia	6.344678759736626e-16	7.10161369084009e-14	13/91	76/15106	7124,3162,3480,3479,3553,4524,4846,7422,4353,6648,1636,348,627
DOID:0060224	atrial fibrillation	1.0798739363351595e-15	1.1812348308138916e-13	21/91	348/15106	596,4846,1471,4852,7124,3553,4524,7019,3480,3479,2147,4353,1636,3162,3952,5468,2099,581,102,1565,348
DOID:4450	renal cell carcinoma	1.6898605054596804e-15	1.8073996917283202e-13	38/91	1488/15106	4524,3480,5468,7422,498,7019,7018,3952,2023,2041,581,341,351,596,7124,1636,1471,3643,10857,627,5649,3481,3479,54209,3077,23237,1965,51741,1565,3553,1191,6648,5328,8633,2099,348,9510,2932
DOID:2468	psychotic disorder	1.7654277118976418e-15	1.8471746907311631e-13	46/91	1312/15106	7422,3077,4852,7018,5649,2932,7124,627,3630,801,3643,4524,836,5621,5663,3481,3479,4129,4137,5468,54209,8301,7447,498,23237,3952,1565,4846,1141,1139,3553,1392,1191,3127,6648,3162,2099,23621,102,348,351,596,23385,1808,7167,1636
DOID:1470	major depressive disorder	1.8207313971996484e-15	1.8645064286642355e-13	28/91	384/15106	1392,4524,627,7124,590,351,4846,1471,4852,1139,3553,5621,2932,5649,3482,3479,6648,1636,5697,3952,4129,4137,7782,7422,2099,1565,55676,348
DOID:649	prion disease	3.384509633549615e-15	3.3936760138071446e-13	12/91	53/15106	5621,351,23621,2023,102,348,4137,43,581,2,5649,54209
DOID:11716	prediabetes syndrome	3.604773097607487e-15	3.540769983425477e-13	15/91	138/15106	3481,3480,3479,3630,4846,8301,1471,4852,6517,1636,7124,3952,5468,7422,2932
DOID:1936	atherosclerosis	7.963248976624867e-15	7.665423464899097e-13	30/91	930/15106	4524,348,3630,1471,836,627,5649,3481,3480,3479,2147,4353,5468,7422,3077,3952,4846,4852,3553,2023,6648,5328,3162,2099,341,102,351,9510,7124,1636
DOID:9120	amyloidosis	1.2173369083860303e-14	1.148831870600385e-12	25/91	556/15106	2,4137,4846,3553,4524,836,3480,3479,4353,6648,5328,3162,7422,2099,351,2932,348,1191,5663,23621,1378,1471,5621,7124,1636
DOID:0060903	thrombosis	1.301447313810837e-14	1.2045896002637614e-12	19/91	301/15106	2147,4524,351,4846,1471,7124,3553,7018,2932,627,4353,1636,5328,3162,3952,5468,7422,2099,348
DOID:1883	hepatitis C	1.3776849671711838e-14	1.251093914527341e-12	29/91	730/15106	3630,4846,2,3553,4524,836,3481,3479,2147,4353,6648,3162,10452,5468,7422,2099,3077,581,341,348,590,596,7124,1718,1965,2932,1636,3952,1565
DOID:480	movement disease	1.6128172470861498e-14	1.437498038930674e-12	21/91	304/15106	7422,5663,5664,51225,5336,4129,4137,54209,627,4852,1965,1565,5649,351,7124,5621,348,3162,3553,4524,4846
DOID:0060032	autoimmune disease of musculoskeletal system	1.9308354184915896e-14	1.6896565216727311e-12	48/91	2083/15106	1471,4524,836,627,3480,3479,2147,5468,7422,3952,1565,4846,1378,3553,2023,1191,3127,6648,3162,2099,348,590,596,7124,1636,1965,7167,581,102,1139,5328,4852,43,1392,2932,4353,51741,5649,6653,3077,3635,2,3643,3481,54209,7018,8633,55676
DOID:326	ischemia	2.2190653482189705e-14	1.90720741446034e-12	26/91	650/15106	2147,4524,348,3480,596,4846,1471,7124,3162,3553,3952,836,5621,7422,7018,2023,3479,1191,4353,6648,4137,5468,23621,351,2932,1636
DOID:8398	osteoarthritis	2.7224092506920312e-14	2.2987641620317097e-12	29/91	761/15106	4846,801,1139,3553,4524,1392,2023,627,3481,3479,1191,6648,5328,3162,5468,7422,8633,2099,3077,581,102,348,596,9510,7124,2932,7167,1636,3952
DOID:0080600	COVID-19	2.8956657753192496e-14	2.4029033407950943e-12	24/91	512/15106	596,3479,4846,1636,7124,7422,348,627,3162,1471,2,1139,1378,3553,4524,2147,4353,6648,54209,590,351,43,7018,3952
DOID:0080599	Coronavirus infectious disease	3.120904515428239e-14	2.5459175309756124e-12	30/91	725/15106	348,596,3479,4846,1636,7124,7422,627,3162,1471,2,1139,1378,3553,4524,2147,4353,6648,54209,590,351,43,7018,3952,836,2932,4137,23621,3077,102
DOID:4194	glucose metabolism disease	3.241987866355591e-14	2.6006146001282433e-12	52/91	2167/15106	3481,3480,3479,3630,4846,8301,1471,4852,6517,1636,7124,3952,5468,7422,2932,3643,3553,348,3162,3077,627,351,4524,341,2099,5697,1191,4353,1565,596,2,3416,10858,3482,2147,4129,4137,54209,274,7019,7018,1141,6648,23621,590,7167,10452,51741,23607,3127,6653,102
DOID:3146	lipid metabolism disorder	5.403601349980802e-14	4.263530048763541e-12	18/91	259/15106	7124,4524,4353,6653,1636,348,5468,341,351,3479,3952,5819,3630,4846,1471,4137,7422,51741
DOID:9408	acute myocardial infarction	6.300911045291431e-14	4.891336267901235e-12	19/91	274/15106	590,4846,9510,1471,43,7124,3553,4524,3481,3479,2147,4353,1636,3162,3952,5468,7422,3077,348
DOID:10952	nephritis	9.091846323174023e-14	6.945881960862948e-12	26/91	609/15106	6648,596,4846,7124,3553,4524,836,2023,4353,1636,3162,3952,5468,7422,581,1191,102,5328,3480,3479,1378,23607,1392,348,341,2099
DOID:6543	acne	9.928273082799693e-14	7.466371616799207e-12	12/91	85/15106	7124,5663,3480,3479,3553,3630,3952,5468,54209,23385,1636,627
DOID:374	nutrition disease	1.0366941067655711e-13	7.676321132096452e-12	39/91	1214/15106	4353,3077,7124,3479,3630,3952,4524,5468,2099,1636,5697,348,627,1471,3643,5663,3481,3480,2147,6517,4137,54209,7422,7018,4846,4852,3553,1392,2023,1191,6653,6648,3162,341,590,351,596,9510,2932
DOID:127	leiomyoma	1.0546798946471588e-13	7.691173231722386e-12	13/91	112/15106	3481,3480,596,3479,4846,3643,4353,1636,5328,7124,5468,7422,2099
DOID:289	endometriosis	1.0829979278354712e-13	7.77980451742108e-12	35/91	1385/15106	596,4846,3162,10857,5468,7422,2099,581,3480,9510,1191,51741,3643,3479,4353,5328,348,1718,3952,3553,3630,4524,3481,6517,590,7124,2932,1636,7018,4852,1139,1392,627,2147,6648
DOID:3083	chronic obstructive pulmonary disease	1.1526273692510836e-13	8.11047693667089e-12	28/91	822/15106	7422,3481,1471,627,3480,3479,2147,6517,4353,4137,5468,7019,3952,51741,4846,1139,3553,1392,1191,6648,5328,3162,348,596,43,7124,2932,1636
DOID:0081292	traumatic brain injury	1.162731993829818e-13	8.11047693667089e-12	15/91	174/15106	351,596,3479,4846,1191,1636,7124,3553,836,4137,54209,7422,102,348,627
DOID:3068	glioblastoma	1.263558037242449e-13	8.687864047497009e-12	38/91	1719/15106	1471,4524,627,4137,5468,54209,2023,2099,341,348,351,9510,2932,801,10857,10858,836,5621,5649,5663,3481,3480,3479,2147,7422,7447,498,3952,51741,3553,6648,5328,3162,581,102,596,1808,7124
DOID:231	motor neuron disease	1.6196467179341413e-13	1.09793797935451e-11	32/91	586/15106	1471,945,4524,836,5621,627,5649,5663,5664,3481,3480,3479,3162,5336,10452,4137,54209,7422,3077,341,348,351,7447,498,7124,7019,2932,3952,3127,55676,1636,3630
DOID:0050847	sleep apnea	2.332503449315385e-13	1.5592137641048538e-11	18/91	197/15106	5663,351,3479,4846,1191,6517,1636,7124,3162,3553,3952,4137,5468,7422,2099,581,348,627
DOID:438	autoimmune disease of the nervous system	2.4292643930331166e-13	1.6016506196806016e-11	40/91	906/15106	43,7124,4524,7422,2099,3481,3479,3553,1471,348,351,2147,1636,945,54209,3952,627,5621,5819,4846,2,4852,10858,5649,1191,3127,4353,6648,3162,5336,4137,5468,23621,3077,581,590,596,7018,2932,7167
DOID:12336	male infertility	2.809278469225551e-13	1.8271699016733215e-11	22/91	485/15106	3162,4524,596,4846,9510,3481,1191,1636,836,3630,1471,43,7124,3553,627,3482,4353,6648,3952,2099,3077,348
DOID:11054	urinary bladder cancer	2.977223399258343e-13	1.910583496084054e-11	35/91	1430/15106	4524,6517,5468,7422,2099,3482,581,1471,3643,836,627,5663,3481,3480,3479,4353,54209,1718,3952,51741,1565,4846,3553,2023,1191,6648,5328,3162,102,348,590,596,7124,2932,1636
DOID:9452	steatotic liver disease	3.109369603733455e-13	1.969131039838042e-11	26/91	723/15106	596,4846,7124,3553,4524,7018,1965,3480,4353,6648,3952,5468,2099,3077,348,3162,4852,3630,627,3479,1191,54209,7422,351,3643,341
DOID:11714	gestational diabetes	3.366139368451506e-13	2.104055685760662e-11	21/91	361/15106	596,3630,4846,8301,1471,3643,7124,3553,4524,2932,627,3481,6517,1636,3162,3952,5468,7422,2099,3077,348
DOID:0060039	autoimmune disease of skin and connective tissue	3.787738118201086e-13	2.3372286619104907e-11	31/91	902/15106	7124,581,836,102,1139,5328,590,4852,43,3553,4524,1392,2932,627,3479,6648,1636,3162,7422,2099,3952,4846,4353,1378,2023,1191,5468,348,596,51741,1565
DOID:5223	infertility	4.316505445491416e-13	2.629789963183568e-11	18/91	316/15106	3630,4846,9510,3643,7124,3553,4524,7018,627,3481,3479,6648,1636,5328,3952,7422,2099,348
DOID:10534	stomach cancer	4.963452521283916e-13	2.986137123117436e-11	51/91	3176/15106	4524,596,51741,7422,7124,3553,836,1965,2932,3481,3480,5328,3162,3952,5468,581,3479,2041,1191,6648,1565,3630,1471,3643,627,4137,54209,267,23607,1139,2023,2099,23621,341,348,9510,43,1636,1200,5621,5663,6517,4353,3077,8301,4846,1392,5336,102,590,7167
DOID:1070	primary open angle glaucoma	5.336021091067621e-13	3.1706505569516616e-11	11/91	73/15106	7124,3480,10858,3553,4524,4846,5621,5468,7422,2099,348
DOID:3082	interstitial lung disease	9.533129455158915e-13	5.595481959473153e-11	26/91	651/15106	7124,3553,3162,1636,2932,348,3630,3077,6648,4846,1471,43,1378,627,3479,1191,5328,3952,7422,596,3481,3480,2147,5468,54209,3127
DOID:12337	varicocele	1.0749064696821008e-12	6.233162456120423e-11	10/91	56/15106	3162,596,3479,4524,4846,1471,7422,2099,1636,581
DOID:10283	prostate cancer	1.2550554876771755e-12	7.191169121655055e-11	47/91	2824/15106	596,7422,2099,6648,3480,3479,5328,4524,836,5468,581,3630,1471,2,3643,627,4129,4137,267,274,1965,2023,2041,1191,7782,348,351,9510,43,2932,1636,3482,3481,6517,4353,7019,1718,3952,51741,4846,4852,3553,3162,102,590,7124,7167
DOID:12849	autistic disorder	1.3872523819109962e-12	7.855112604867794e-11	20/91	443/15106	1141,1139,3553,4524,836,627,5649,3480,3479,4129,4137,7422,2099,3077,348,351,596,7124,1636,3952
DOID:3328	temporal lobe epilepsy	2.884740840279236e-12	1.6144485656120888e-10	14/91	178/15106	351,4852,3643,1808,7124,3553,836,5621,4137,1965,2932,348,627,5649
DOID:0070527	Borrelia miyamotoi disease	3.759333109851221e-12	2.0797322135303363e-10	13/91	146/15106	3480,3479,4846,1636,5697,7124,3952,4524,5468,7422,2099,1565,348
DOID:13025	retinopathy of prematurity	4.156656423861706e-12	2.2734076554598174e-10	9/91	44/15106	7422,7124,3480,3479,2147,4524,4846,1636,627
DOID:4448	macular degeneration	4.313077232714576e-12	2.3324540136017137e-10	18/91	281/15106	7422,10452,4524,6648,4846,348,351,1471,2,7124,10858,3553,7018,3480,1636,3162,3077,5468
DOID:3526	cerebral infarction	4.549656204541804e-12	2.4330550347177446e-10	15/91	147/15106	596,3479,4846,1471,801,1636,7124,3553,4524,5468,7422,2099,102,348,627
DOID:4451	renal carcinoma	4.7106364920850785e-12	2.491460817187416e-10	38/91	1543/15106	4524,3480,5468,7422,498,7019,7018,3952,2023,2041,581,341,351,596,7124,1636,1471,3643,10857,627,5649,3481,3479,54209,3077,23237,1965,51741,1565,3553,1191,6648,5328,8633,2099,348,9510,2932
DOID:2841	asthma	4.999625946497794e-12	2.615565182662379e-10	27/91	905/15106	7124,4524,7422,4846,267,3553,627,1191,2,836,3480,2147,4353,4129,5468,3952,4852,1139,6648,5328,3162,7782,2099,581,348,596,1636
DOID:684	hepatocellular carcinoma	5.248636350279888e-12	2.7163104036448494e-10	52/91	3553/15106	3630,3643,5468,54209,267,274,1965,1139,1191,8633,341,348,43,1200,10857,5649,5663,4353,7422,3077,3952,3162,581,596,23385,5819,4524,627,1565,2023,2041,2099,9510,2932,1636,836,3482,3481,3480,3479,2147,7019,7018,1718,51741,4846,3553,6648,5328,102,7124,7167
DOID:3312	bipolar disorder	6.910423405318343e-12	3.538283813808211e-10	23/91	427/15106	7422,596,3479,4524,2932,348,627,3630,4846,1139,3553,1392,5621,5649,6648,4137,2099,351,1808,7124,1636,3952,1565
DOID:114	heart disease	8.683156039414363e-12	4.399161054494877e-10	39/91	1336/15106	1636,801,596,4846,1471,4852,7124,3553,4524,7019,3480,3479,2147,4353,3162,3952,5468,2099,581,102,1565,348,7422,5663,627,5664,6648,3077,2932,274,1191,2,4137,5328,351,3630,267,5621,6653
DOID:319	spinal cord disease	9.202650138748682e-12	4.6137869914372296e-10	16/91	226/15106	3952,4524,6648,351,2147,1636,945,3553,54209,2099,9510,3479,7422,7124,348,627
DOID:13223	uterine fibroid	9.344754448442897e-12	4.6367322845727484e-10	11/91	94/15106	7124,3481,596,3479,3553,3952,4846,3643,7422,2099,1636
DOID:1074	kidney failure	9.690633336382723e-12	4.759287576327556e-10	24/91	523/15106	7124,3952,1471,23607,4846,1191,1636,7422,2099,351,4852,4524,836,5621,2932,627,3481,3479,4353,6648,5468,54209,102,348
DOID:0080199	colorectal carcinoma	1.0173829388389573e-11	4.946125338012022e-10	23/91	636/15106	3481,596,4852,3643,3952,4524,836,7422,3553,627,3480,3479,2041,1191,6648,5328,3162,5468,2099,590,43,2932,1200
DOID:11476	osteoporosis	1.0522658067327559e-11	5.064555327804755e-10	18/91	383/15106	351,4846,1471,4852,267,7124,3553,4524,627,3481,3480,3479,6648,1636,3952,7422,2099,348
DOID:0060429	chromosomal duplication syndrome	1.2755690541961394e-11	6.078528572124771e-10	23/91	364/15106	3479,3952,4524,351,3630,4846,9510,8301,1808,7124,1141,1139,836,5621,627,5663,6653,4137,54209,7422,2099,23621,348
