list name,name,label::English,label::French,label::Bahasa
select_161,one_arm_only,one arm only,un bras seulement,Hanya Satu Tangan
select_161,whole_body,whole body,tout le corps,Seluruh Tubuh
select_161,other,other,autres,Lainnya
,,,,
select_164,solids,solids,Solides,Padat
select_164,liquids,liquids,Liquides,Cair
select_164,both,both,Les deux de,Keduanya
,,,,
select_208,hospital,hospital,Hôpital,Rumah Sakit
select_208,other_health_facility,other health facility,autre établissement de santé,Fasilitas Kesehatan Lain
select_208,home,home,à domicile,Rumah
select_208,on_route_to_hospital_or_facility,on route to hospital or facility,en route vers l'hôpital ,Dalam perjalanan menuju Rumah Sakit atau Fasilitas Kesehatan
select_208,other,other,Autres,Lainnya
,,,,
select_219,first,first,premier,Pertama
select_219,second_or_later,second or later,deuxième ou tard,Kedua atau Selanjutnya
,,,,
select_221,during_delivery,during delivery,pendant accouchement,Selama Persalinan
select_221,after_delivery,after delivery,après livraison,Sesudah Persalinan
,,,,
select_223,hospital,hospital,Hôpital,Rumah Sakit
select_223,other_health_facility,other health facility,Autre établissement de santé,Fasilitas Kesehatan Lain
select_223,home,home,à domicile,Rumah
select_223,on_route_to_hospital_or_facility,on route to hospital or facility,en route vers hôpital ,Dalam perjalanan menuju Rumah Sakit atau Fasilitas Kesehatan
select_223,other,other,autres,Lainnya
select_223,DK,Doesn't know,Ne sait pas,Tidak Tahu
select_223,Ref,Refused to answer,Refus de repondre,Menolak Menjawab
,,,,
select_292,pedestrian,pedestrian,Piéton,Pejalan Kaki
select_292,in_car_or_light_vehicle,driver or passenger in car or light vehicle,conducteur ou passager dans la voiture ou véhicule léger,Pengendara/Penumpang Mobil atau kendaraan kecil
select_292,in_bus_or_heavy_vehicle,driver or passenger in bus or heavy vehicle,conducteur ou passager dans un autobus ou d'un véhicule lourd,Pengendara/Penumpang Bus atau kendaraan berat
select_292,on_a_motorcycle,driver or passenger on a motorcycle,conducteur ou du passager sur une moto,Pengendara/Penumpang Sepeda Motor
select_292,on_a_pedal_cycle,driver or passenger on a pedal cycle,conducteur ou du passager sur un cycle de pédale,Pengendara/Penumpang Sepeda
select_292,other,other,conducteur ou du passager sur un bicyclette,Pengendara/Penumpang Sepeda
,,,,
select_293,pedestrian,pedestrian,Piéton,Pejalan Kaki
select_293,stationary_object,stationary object,Objet fixe,Objek Tidak bergerak
select_293,car_or_light_vehicle,car or light vehicle,Voiture ou véhicule léger ,Mobil atau kendaraan kecil
select_293,bus_or_heavy_vehicle,bus or heavy vehicle,Véhicule lourds ou bus,Bus atau kendaraan besar
select_293,motorcycle,motorcycle,Moto,Sepeda Motor
select_293,pedal_cycle,pedal cycle,Bicyclette,Sepeda
select_293,other,other,autres,Lainnya
,,,,
select_299,dog,dog,Chien,Anjing
select_299,snake,snake,serpent,Ular
select_299,insect_or_scorpion,insect or scorpion,insecte ou scorpion,Serangga atau Kalajengking
select_299,other,other,autres,Lainnya
select_299,DK,Doesn't know,Ne sait pas,Lainnya
,,,,
select_306,cigarettes,cigarettes,Cigarette,Rokok
select_306,pipe,pipe,Pipe,Pipa
select_306,chewing_tobacco,chewing tobacco,Mâcher du tabac,Tembakau kunyah
select_306,local_form_of_tobacco,local form of tobacco,autres formes locales de tabacs,Tembakau Lokal
select_306,other,other,Autre,Lainnya
,,,,
select_322,traditional_healer,traditional healer,Guérisseur traditionnel homéopathe,Pengobatan Tadisional
select_322,homeopath,homeopath,homéopathe,Homeopatik
select_322,religious_leader,religious leader,Homme de religion,Tokoh Agama
select_322,government_hospital,government hospital,hôpital public,Rumah sakit Pemerintah
select_322,government_health_center_or_clinic,government health center or clinic,centre de santé clinique,Puskesmas atau Klinik
select_322,private_hospital,private hospital,hôpital privé ,Rumah Sakit Swasta
select_322,community_based_practitionerinsystem,community-based practitioner associated with health system,Praticien communautaire,Polindes
select_322,trained_birth_attendant,trained birth attendant,Sage femme,Bidan Terlatih
select_322,private_physician,private physician,Médecin privé,Dokter Umum
select_322,relative_friend,"Relative, friend (outside household)",,
select_322,pharmacy,pharmacy,Pharmacie,Farmasi
select_322,dk,Doesn't know,Ne sait pas,
select_322,ref,Refused to answer,Refus de repondre,
,,,,
select_500,citizen_at_birth,citizen at birth,Citoyen à la naissance,
select_500,naturalized_citizen,naturalized citizen,Citoyen naturalisé,
select_500,foreign_national,foreign national,Ressortissant étranger,
select_500,dk,Doesn't know,Ne sait pas,
,,,,
select_501,stridor,stridor,Stridor,
select_501,grunting,grunting,Grognement,
select_501,wheezing,wheezing,une respiration sifflante,
select_501,no,no,Non,
select_501,dk,Doesn't know,Ne sait pas,
select_501,ref,Refused to answer,Refus de repondre,
,,,,
select_510,Chronic_kidney_disease,Chronic kidney disease,,
select_510,Dialysis,Dialysis,,
select_510,Fever,Fever,,
select_510,Heart_attack,Heart attack,,
select_510,Heart_problem,Heart problem,,
select_510,Jaundice,Jaundice,,
select_510,Liver_failure,Liver failure,,
select_510,Malaria,Malaria,,
select_510,Pneumonia,Pneumonia,,
select_510,Renal_kidney_failure,Renal (kidney) failure,,
select_510,Suicide,Suicide,,
select_510,None,None of the above words were mentioned,,
select_510,dk,Don't know,,
,,,,
select_512,asphyxia,Asphyxia,,
select_512,incubator,Incubator,,
select_512,lung_problem,Lung problem,,
select_512,pneumonia,Pneumonia,,
select_512,preterm_delivery,Preterm delivery,,
select_512,respiratory_distress,Respiratory distress,,
select_512,None,None of the above words were mentioned,,
select_512,dk,Don't know,,
,,,,
select_511,abdomen,Abdomen,,
select_511,cancer,Cancer,,
select_511,dehydration,Dehydration,,
select_511,dengue,Dengue fever,,
select_511,diarrhea,Diarrhoea,,
select_511,fever,Fever,,
select_511,heart_problem,Heart problems,,
select_511,jaundice,Jaundice (yellow skin or eyes),,
select_511,pneumonia,Pneumonia,,
select_511,rash,Rash,,
select_511,None,None of the above words were mentioned,,
select_511,dk,Don't know,,
,,,,
,,,,
select_520,green_or_brown,Green or brown,,
select_520,clear,Clear (normal),,
select_520,other,Other,,
select_520,dk,Doesn't know,,
select_520,ref,Refused to answer,,
,,,,
select_530,Doctor,Doctor,,
select_530,Midwife,Midwife,,
select_530,Nurse,Nurse,,
select_530,Relative,Relative,,
select_530,Self_mother,Self (the mother),,
select_530,Traditional_birth_attendant,Traditional birth attendant,,
select_530,Other,Other,,
select_530,DK,Doesn’t know ,,
select_530,ref,Refused to answer,,

