list name,name,label::English,label::French
select_23,Ref,Refused to answer,Refus de repondre
,,,
select_25,mainly_unemployed,mainly unemployed,Principalement au chômage
select_25,mainly_employed,mainly employed,Employé
select_25,home-maker,home-maker,Auxiliaire familial
select_25,pensioner,pensioner,Pensionné
select_25,student,student,Etudiant
select_25,other,other,Autres
select_25,DK,Doesn't know,Ne sait pas
select_25,Ref,Refused to answer,Refus de repondre
,,,
select_32,parent,parent,Parent
select_32,child,child,Enfant
select_32,family_member,other family member,Autre membre de la famille
select_32,friend,friend,Ami
select_32,health_worker,health worker,Soignant
select_32,public_official,public official,Agent Public
select_32,another_relationship,another relationship,une autre relation
select_32,Ref,Refused to answer,Refus de repondre
,,,
select_58,wet,wet,HUMIDE
select_58,dry,dry,SÈCHE
select_58,DK,Doesn't know,Ne sait pas
,,,
select_63,mild,mild,Légère
select_63,moderate,moderate,modérée
select_63,severe,severe,grave
select_63,DK,Doesn't know,Ne sait pas
select_63,Ref,Refused to answer,Refus de repondre
,,,
select_64,continuous,continuous,Continue
select_64,on_and_off,on and off,Des hauts et des bas
select_64,nightly,only at night,Seul la nuit
select_64,DK,Doesn't know,Ne sait pas
select_64,Ref,Refused to answer,Refus de repondre
,,,
,,,
select_80,continuous,continuous,Continue
select_80,on_and_off,on and off,Des hauts et des bas
select_80,DK,Doesn't know,Ne sait pas
select_80,Ref,Refused to answer,Refus de repondre
,,,
select_100,upper_abdomen,upper abdomen,abdomen supérieur
select_100,lower_abdomen,lower abdomen,abdomen inférieur
select_100,upper_lower_abdomen,upper and lower abdomen,
select_100,DK,Doesn't know,Ne sait pas
select_100,Ref,Refused to answer,Refus de repondre
,,,
select_103,rapidly,rapidly,Rapidement
select_103,slowly,slowly,lentement
select_103,DK,Doesn't know,Ne sait pas
select_103,Ref,Refused to answer,Refus de repondre
,,,
select_135,face,face,Visage
select_135,trunk,trunk or abdomen,
select_135,extremities,extremities,Extrémités
select_135,everywhere,everywhere,partout
select_135,DK,Doesn't know,Ne sait pas
select_135,Ref,Refused to answer,Refus de repondre
,,,
select_161,right_side,right side,Côté droit
select_161,left_side,left side,côté gauche
select_161,lower_part_of_body,lower part of body,Partie inférieure du corps 
select_161,upper_part_of_body,upper part of body,partie supérieure du corps 
select_161,one_leg_only,one leg only,Une jambe seulement
select_161,one_arm_only,one arm only,un bras seulement
select_161,whole_body,whole body,tout le corps
select_161,other,other,autres
select_161,DK,Doesn't know,Ne sait pas
select_161,Ref,Refused to answer,Refus de repondre
,,,
select_164,solids,solids,Solides
select_164,liquids,liquids,Liquides
select_164,both,both,Les deux de
select_164,DK,Doesn't know,Ne sait pas
select_164,Ref,Refused to answer,Refus de repondre
,,,
select_208,hospital,hospital,Hôpital
select_208,other_health_facility,other health facility,autre établissement de santé
select_208,home,home,à domicile
select_208,on_route_to_hospital_or_facility,on route to hospital or facility,en route vers l'hôpital 
select_208,other,other,Autres
select_208,DK,Doesn't know,Ne sait pas
select_208,Ref,Refused to answer,Refus de repondre
,,,
select_219,first,first,premier
select_219,second_or_later,second or later,deuxième ou tard
select_219,DK,Doesn't know,Ne sait pas
select_219,ref,Refused to answer,Refus de repondre
,,,
select_221,before_delivery,before delivery,avant accouchement
select_221,during_delivery,during delivery,pendant accouchement
select_221,after_delivery,after delivery,après livraison
select_221,DK,Doesn't know,Ne sait pas
select_221,Ref,Refused to answer,Refus de repondre
,,,
select_223,hospital,hospital,Hôpital
select_223,other_health_facility,other health facility,Autre établissement de santé
select_223,home,home,à domicile
select_223,on_route_to_hospital_or_facility,on route to hospital or facility,en route vers hôpital 
select_223,other,other,autres
select_223,DK,Doesn't know,Ne sait pas
select_223,Ref,Refused to answer,Refus de repondre
,,,
select_292,pedestrian,pedestrian,Piéton
select_292,in_car_or_light_vehicle,driver or passenger in car or light vehicle,conducteur ou passager dans la voiture ou véhicule léger
select_292,in_bus_or_heavy_vehicle,driver or passenger in bus or heavy vehicle,conducteur ou passager dans un autobus ou d'un véhicule lourd
select_292,on_a_motorcycle,driver or passenger on a motorcycle,conducteur ou du passager sur une moto
select_292,on_a_pedal_cycle,driver or passenger on a pedal cycle,conducteur ou du passager sur un cycle de pédale
select_292,other,other,conducteur ou du passager sur un bicyclette
select_292,DK,Doesn't know,Ne sait pas
select_292,Ref,Refused to answer,Refus de repondre
,,,
select_293,pedestrian,pedestrian,Piéton
select_293,stationary_object,stationary object,Objet fixe
select_293,car_or_light_vehicle,car or light vehicle,Voiture ou véhicule léger 
select_293,bus_or_heavy_vehicle,bus or heavy vehicle,Véhicule lourds ou bus
select_293,motorcycle,motorcycle,Moto
select_293,pedal_cycle,pedal cycle,Bicyclette
select_293,other,other,autres
select_293,DK,Doesn't know,Ne sait pas
select_293,Ref,Refused to answer,Refus de repondre
,,,
select_299,dog,dog,Chien
select_299,snake,snake,serpent
select_299,insect_or_scorpion,insect or scorpion,insecte ou scorpion
select_299,other,other,autres
select_299,DK,Doesn't know,Ne sait pas
select_299,Ref,Refused to answer,Refus de repondre
,,,
select_306,cigarettes,cigarettes,Cigarette
select_306,pipe,pipe,Pipe
select_306,chewing_tobacco,chewing tobacco,Mâcher du tabac
select_306,local_form_of_tobacco,local form of tobacco,autres formes locales de tabacs
select_306,other,other,Autre
,,,
select_322,traditional_healer,traditional healer,Guérisseur traditionnel homéopathe
select_322,homeopath,homeopath,homéopathe
select_322,religious_leader,religious leader,Homme de religion
select_322,government_hospital,government hospital,hôpital public
select_322,govment_health_center_or_clinic,government health center or clinic,centre de santé clinique
select_322,private_hospital,private hospital,hôpital privé 
select_322,community_based_pract_system,community-based practitioner associated with health system,Praticien communautaire
select_322,trained_birth_attendant,trained birth attendant,Sage femme
select_322,private_physician,private physician,Médecin privé
select_322,relative_friend,"Relative, friend (outside household)",
select_322,pharmacy,pharmacy,Pharmacie
select_322,dk,Doesn't know,Ne sait pas
select_322,ref,Refused to answer,Refus de repondre
,,,
select_500,citizen_at_birth,citizen at birth,Citoyen à la naissance
select_500,naturalized_citizen,naturalized citizen,Citoyen naturalisé
select_500,foreign_national,foreign national,Ressortissant étranger
select_500,dk,Doesn't know,Ne sait pas
select_500,ref,Refused to answer,Refus de repondre
,,,
select_501,stridor,stridor,Stridor
select_501,grunting,grunting,Grognement
select_501,wheezing,wheezing,une respiration sifflante
select_501,no,no,Non
select_501,dk,Doesn't know,Ne sait pas
select_501,ref,Refused to answer,Refus de repondre
,,,
select_502,wheezing,wheezing,une respiration sifflante
select_502,no,no,Non
select_502,dk,Doesn't know,Ne sait pas
select_502,ref,Refused to answer,Refus de repondre
,,,
select_510,Chronic_kidney_disease,Chronic kidney disease,
select_510,Dialysis,Dialysis,
select_510,Fever,Fever,
select_510,Heart_attack,Heart attack,
select_510,Heart_problem,Heart problem,
select_510,Jaundice,Jaundice,
select_510,Liver_failure,Liver failure,
select_510,Malaria,Malaria,
select_510,Pneumonia,Pneumonia,
select_510,Renal_kidney_failure,Renal (kidney) failure,
select_510,Suicide,Suicide,
select_510,None,None of the above words were mentioned,
select_510,dk,Don't know,
,,,
select_512,asphyxia,Asphyxia,
select_512,incubator,Incubator,
select_512,lung_problem,Lung problem,
select_512,pneumonia,Pneumonia,
select_512,preterm_delivery,Preterm delivery,
select_512,respiratory_distress,Respiratory distress,
select_512,None,None of the above words were mentioned,
select_512,dk,Don't know,
,,,
select_511,abdomen,Abdomen,
select_511,cancer,Cancer,
select_511,dehydration,Dehydration,
select_511,dengue,Dengue fever,
select_511,diarrhea,Diarrhoea,
select_511,fever,Fever,
select_511,heart_problem,Heart problems,
select_511,jaundice,Jaundice (yellow skin or eyes),
select_511,pneumonia,Pneumonia,
select_511,rash,Rash,
select_511,None,None of the above words were mentioned,
select_511,dk,Don't know,
,,,
,,,
select_520,green_or_brown,Green or brown,
select_520,clear,Clear (normal),
select_520,other,Other,
select_520,dk,Doesn't know,
select_520,ref,Refused to answer,
,,,
select_530,Doctor,Doctor,
select_530,Midwife,Midwife,
select_530,Nurse,Nurse,
select_530,Relative,Relative,
select_530,Self_mother,Self (the mother),
select_530,Traditional_birth_attendant,Traditional birth attendant,
select_530,Other,Other,
select_530,DK,Doesn’t know ,
select_530,ref,Refused to answer,
,,,
,,,
,,,
select_vaccines,BCG,BCG,
select_vaccines,DPT_123,"DPT 1,2,3",
select_vaccines,HepB,Hep B,
select_vaccines,Hib,Hib,
select_vaccines,Meningitis,Meningitis,
select_vaccines,Penta_123,"Penta 1,2,3",
select_vaccines,Pneumo,Pneumo,
select_vaccines,Polio_123,"Polio 1,2,3",
select_vaccines,Rota,Rota,
select_vaccines,no,No Vaccines,
select_vaccines,dk,Doesn’t know ,
select_vaccines,ref,Refused to answer,
