type;name;label::English;hint::English;relevant;required;notes;appearance;calculation;default;constraint;constraint_message::English;read_only
note;displayAgeNeonate;NEONATE was ${ageInDays} days old.;Please verify that the age is correct, before you proceed. You will now be filling in the questionnaire for a NEONATE.;${isNeonatal1} = '1';;;;;;;;
note;displayAgeChild;CHILD was ${ageInYears} years ${ageInMonths} months and ${ageInMonthsRemain} days old.;Please verify that the age is correct, before you proceed. You will now be filling in the questionnaire for a CHILD.;${isChild1} = '1';;;;;;;;
note;displayAgeAdult;ADULT was ${ageInYears} years old.;Please verify that the age is correct, before you proceed. You will now be filling in the questionnaire for an ADULT.;${isAdult1} = '1';;;;;;;;
select_one age_group;age_group;[What age group corresponds to the deceased?];"(1) Neonatal 0-28 completed days; (2) Child 29 days - 11 years; (3) Adult - above 11 years";${Id10020} != 'yes' or ${Id10022} != 'yes';yes;;;;;;;
integer;age_neonate_days;How many days old was the baby? [Enter neonate's age in days:];Neonatal age is under 28 days, or 0 to 27 completed days. If less than 1 day or 24 hours, enter 0 days. A response is required for this question. If the exact age is unknown, enter the best estimate.;${age_group} = 'neonate';yes;;;;;.>=0 and .<=27;Neonatal age is 0 to 27 days only!;
select_one units;age_child_unit;How old was the child? [Enter child's age in:];Child age is between 28 days and 11 years. A response is required for this question. If the exact age is unknown, enter the best estimate.;${age_group} = 'child';yes;;horizontal-compact;;;;;
integer;age_child_days;[Enter child's age in days:];;${age_child_unit} = 'days';yes;;;;;.>27 and .<=60;"Child's age is above 28 days; If response was greater than 60 days, ask respondent to report time in another unit.";
integer;age_child_months;[Enter child's age in months:];;${age_child_unit} = 'months';yes;;;;;.>0 and .<=59;Number entered is not likely. If response was greater than 59 months, ask respondent to report time in years.;
integer;age_child_years;[Enter child's age in years:];;${age_child_unit} = 'years';yes;;;;;.>0 and .<=11;Child's age is between 28 days and 11 years only!;
integer;age_adult;[Enter adult's age in years:];A response is required for this question. If the exact age is unknown, enter the best estimate.;${age_group} = 'adult';yes;;;;;.>11 and .<120;"Adult age is above 11 years; an age above 120 years is unlikely.";
calculate;ageInMonthsByYear;;;;;;;if (${ageInYears} != 'NaN' and string-length(${ageInYears}) > 0, int(${ageInYears} * 12 + ${ageInMonths}), if (${age_child_unit} = 'months',${age_child_months}, int(${age_child_years} * 12)));;;;
calculate;ageInYears2;;;;;;;if(${age_group} = 'adult', ${age_adult},  int(${ageInMonthsByYear} div 12));;;;
calculate;isNeonatal2;;;;yes;;;if(${age_group} = 'neonate', '1', '0');;;;
calculate;isChild2;;;;yes;;;if(${age_group} = 'child', '1', '0');;;;
calculate;isAdult2;;;;yes;;;if(${age_group} = 'adult', '1', '0');;;;
calculate;isNeonatal;;;;yes;;;if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${isNeonatal2}, ${isNeonatal1});;;;
calculate;isChild;;;;yes;;;if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${isChild2}, ${isChild1});;;;
calculate;isAdult;;;;yes;;;if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${isAdult2}, ${isAdult1});;;;
calculate;ageInDaysNeonate;;;;yes;;;if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays});;;;
note;Id10008_check;(Id10008_check) It is not possible to select that the respondent is the child of the deceased and enter that the deceased is a neonate or child. Please go back and correct the selection. ;;selected(${Id10008}, 'child')  and (selected(${isNeonatal}, '1') or selected(${isChild}, '1')) ;yes;;;;;;;
select_one select_18;Id10058;(Id10058) Where did the deceased die? ;;;;;;;;;;
;;;;;;;;;;;;
select_one YES_NO;Id10051;(Id10051) [Is there a need to collect additional demographic data on the deceased?];If you choose 'No', this question allows to skip asking details about place of residence, education and family. The question on marriage status will always be asked for adults.;;yes;;;;;;;
select_one select_500;Id10052;(Id10052) What was her/his citizenship/nationality?;;(selected(${Id10051}, 'yes'));;;;;;;;
text;Id10053;(Id10053) What was her/his ethnicity?;Enter a “-“ if this information is not available.;(selected(${Id10051}, 'yes'));;;;;;;;
text;Id10054;(Id10054) What was her/his place of birth?;Specify here village and district, a question on the facility and circumstances will be asked later.  Enter a “-“ if this information is not available.;(selected(${Id10051}, 'yes'));;;;;;;;
text;Id10055;(Id10055) What was her/his place of usual residence? (the place where the person lived most of the year);For perinatal cases, just ask for the address of the health facility or if released at home, the home address.;(selected(${Id10051}, 'yes'));;;;;;;;
text;Id10057;(Id10057) Where did the death occur? (specify country, province, district, village);;(selected(${Id10051}, 'yes'));;;;;;;;
select_one select_19;Id10059;(Id10059) What was her/his marital status?;Life partner is defined here as living with someone for a long time without ever having married.;(selected(${Id10051}, 'yes') and selected(${isAdult}, '1'));;;;;;;;
select_one YES_NO;Id10060_check;(Id10060_check) [Is the date of marriage available?];;(selected(${isAdult}, '1')) and (${Id10059} = 'married' or ${Id10059} = 'divorced' or ${Id10059} = 'widowed');yes;;;;;;;
date;Id10060;(Id10060) What was the date of marriage?;;selected(${Id10060_check}, 'yes');yes;;;;;;;
text;Id10061;(Id10061) What was the name of the father?;;(selected(${isChild}, '1') or selected(${isNeonatal}, '1')) and (selected(${Id10051}, 'yes'));;;;;;;;
text;Id10062;(Id10062) What was the name of the mother?;;(selected(${isChild}, '1') or selected(${isNeonatal}, '1')) and (selected(${Id10051}, 'yes'));;;;;;;;
select_one select_23;Id10063;(Id10063) What was her/his highest level of schooling?;;((selected(${isChild}, '1') and ${ageInMonthsByYear} >=48 ) or selected(${isAdult}, '1')) and (selected(${Id10051}, 'yes'));;;;;;;;
select_one YES_NO_DK_REF;Id10064;(Id10064) Was (s)he able to read and/or write?;select 'yes' also if only one of either reading or writing is known to the respondent;((selected(${isChild}, '1') and ${ageInMonthsByYear} >=72 ) or selected(${isAdult}, '1')) and (selected(${Id10051}, 'yes'));;;;;;;;
select_one select_25;Id10065;(Id10065) What was her/his economic activity status in year prior to death?;The deceased might have had several activities.  Choose the one that was probabaly true for most of the year preceding illness and death;((selected(${isChild}, '1') and ${ageInMonthsByYear} >=96 ) or selected(${isAdult}, '1')) and (selected(${Id10051}, 'yes'));;;;;;;;
text;Id10066;(Id10066) What was her/his occupation, that is, what kind of work did (s)he mainly do?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and (selected(${Id10051}, 'yes')) and selected(${Id10065}, 'mainly_employed');;;;;;;;
end group;;;;;;;;;;;;
begin group;vital_reg_certif;Civil registration numbers;;;;;;;;;;
select_one YES_NO;Id10069;(Id10069) [Is there a need to collect civil registration numbers on the deceased?];;;yes;;;;;;;
select_one YES_NO;Id10069_a;(Id10069_a) Do you have a death registration certificate?;;selected(${Id10069}, 'yes');yes;;;;;;;
text;Id10070;(Id10070) [Death registration number/certificate];Enter a “-“ if this information is not available.;selected(${Id10069_a}, 'yes');;;;;;;;
select_one YES_NO;Id10071_check;(Id10071_check) [Is the date of registration available?];;selected(${Id10069_a}, 'yes');yes;;;;;;;
date;Id10071;(Id10071) [Date of registration];;selected(${Id10071_check}, 'yes');yes;;;;;;;
text;Id10072;(Id10072) [Place of registration];Enter a “-“ if this information is not available.;selected(${Id10069_a}, 'yes');;;;;;;;
text;Id10073;(Id10073) [National identification number of deceased];Enter a “-“ if this information is not available. For children and newborns that have no ID number, use the mother's ID. If mother's ID is not available, use the father's ID.;selected(${Id10069_a}, 'yes');;;;;;;;
end group;;;;;;;;;;;;
end group;;;;;;;;;;;;
begin group;stillbirth;Verification of possible stillbirth;;selected(${isNeonatal},'1')  ;;;;;;;;
select_one YES_NO_DK_REF;Id10104;(Id10104) Did the baby ever cry?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10105;(Id10105) Did the baby cry immediately after birth, even if only a little bit?;;selected(${Id10104}, 'yes') or selected(${Id10104}, 'dk');yes;;;;;;;
integer;Id10106;(Id10106) How many minutes after birth did the baby first cry?;"For don't know, enter ""99."" For refused, enter ""88."" If the respondent says the baby never cried, go back and enter ""No"" to Id10104, ""Did the baby ever cry?""";selected(${Id10104}, 'yes');yes;;;;;(.>=0 and .<=60) or .=99 or .=88;"Enter a number between 1 and 60. If the respondent says the baby never cried, go back and enter ""No,"" the baby did not ever cry.";
select_one YES_NO_DK_REF;Id10107;(Id10107) Did the baby stop being able to cry?;;selected(${Id10104}, 'yes') or selected(${Id10104}, 'dk');yes;;;;;;;
integer;Id10108;(Id10108) How many hours before death did the baby stop crying?;"Less than 60 minutes = 0 hours. Enter ""99"" for ""don't know."" Enter ""88"" for ""refuse.";selected(${Id10107}, 'yes');yes;;;;;.>=1 and .<=99;Please enter a value between 0 and 99.  If response was greater than 98 hours, confirm the response and enter 98.;
select_one YES_NO_DK_REF;Id10109;(Id10109) Did the baby ever move?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10110;(Id10110) Did the baby ever breathe?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10111;(Id10111) Did the baby breathe immediately after birth, even a little?;;selected(${Id10110}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10112;(Id10112) Did the baby have a breathing problem?;;selected(${Id10110}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10113;(Id10113) Was the baby given assistance to breathe at birth?;;selected(${Id10110}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10114;(Id10114) If the baby didn't show any sign of life, was it born dead?;This question serves to finally determine if the baby was born alive or dead.;not(selected(${Id10104}, 'yes')) and not(selected(${Id10109}, 'yes'))  and not(selected(${Id10110}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10115;(Id10115) Were there any bruises or signs of injury on baby's body after the birth?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10116;(Id10116) Was the baby’s body soft, pulpy and discoloured and the skin peeling away?;Macerated means the body was pulpy. This indicates that the baby has been dead inside the mother for some time.  If the deceased is ascertained to be a stillbirth, proceed straight with the injury section.;selected(${Id10114}, 'yes');yes;;;;;;;
end group;;;;;;;;;;;;
begin group;injuries_accidents;History of injuries/accidents;;;;;;;;;;
select_one YES_NO_DK_REF;Id10077;(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?;;${Id10114}!='yes';yes;;;;;;;
begin group;injuries_accidents_yes;Injuries and accidents detail;;(selected(${Id10077}, 'yes') or selected(${Id10077}, 'dk') or selected(${Id10077}, 'ref'));;;;;;;;
select_one YES_NO_DK_REF;Id10079;(Id10079) Was it a road traffic accident?;;;yes;;;;;;;
select_one select_292;Id10080;(Id10080) What was her/his role in the road traffic accident?;;selected(${Id10079}, 'yes');yes;;;;;;;
select_one select_293;Id10081;(Id10081) What was the counterpart that was hit during the road traffic accident?;;selected(${Id10079}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10082;(Id10082) Was (s)he injured in a non-road transport accident?;;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));;;;;;;;
select_one YES_NO_DK_REF;Id10083;(Id10083) Was (s)he injured in a fall?;This includes accidents and cases where it is unknown if it was an accident or whether there was intentional violence.;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10084;(Id10084) Was there any poisoning?;This includes accidents and cases where it is unknown if it was an accident or whether there was intentional violence.;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10085;(Id10085) Did (s)he die of drowning?;This includes accidents and cases where it is unknown if it was an accident or whether there was intentional violence.;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10086;(Id10086) Was (s)he injured by a bite or sting by venomous animal?;This includes accidents and cases where it is unknown if it was an accident or whether there was intentional violence.;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10087;(Id10087) Was (s)he injured by an animal or insect (non-venomous)?;;(selected(${Id10086}, 'no') or selected(${Id10086}, 'dk') or selected(${Id10086}, 'ref'));yes;;;;;;;
select_one select_299;Id10088;(Id10088) What was the animal/insect?;;selected(${Id10087}, 'yes') or selected(${Id10086}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10089;(Id10089) Was (s)he injured by burns/fire?;;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10090;(Id10090) Was (s)he subject to violence (suicide, homicide, abuse)?;(don't say suicide for under-12-year olds);(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10091;(Id10091) Was (s)he injured by a firearm?;;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10092;(Id10092) Was (s)he stabbed, cut or pierced?;;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10093;(Id10093) Was (s)he strangled?;;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref')) ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10094;(Id10094) Was (s)he injured by a blunt force?;;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref')) ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10095;(Id10095) Was (s)he injured by a force of nature?;;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10096;(Id10096) Was it electrocution?;This includes accidents and cases where it is unknown if it was an accident or whether there was intentional violence.;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref')) ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10097;(Id10097) Did (s)he encounter any other injury?;;(selected(${Id10079}, 'no') or selected(${Id10079}, 'dk') or selected(${Id10079}, 'ref')) ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10098;(Id10098) Was the injury accidental?;;;;;;;;;;
select_one YES_NO_DK_REF;Id10099;(Id10099) Was the injury self-inflicted?;;${isAdult} = '1' and not(selected(${Id10098}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10100;(Id10100) Was the injury intentionally inflicted by someone else?;;not(selected(${Id10098}, 'yes')) and not(selected(${Id10099}, 'yes'));yes;;;;;;;
end group;;;;;;;;;;;;
end group;;;;;;;;;;;;
begin group;illhistory;Health history;;;;;;;;;;
integer;Id10351;(Id10351) How many days old was the baby when the fatal illness started?;"Maximum number of days for neonates is 28 days. The answer could be given in another unit, but for data entry use days. Less than 24 hours=0 days; 1 week=7 days. Enter ""99"" for ""don't know."" Enter ""88"" for ""refuse.""";(selected(${Id10114}, 'no') or ${Id10114} = 'NaN' or string-length(${Id10114}) = 0) and selected(${isNeonatal}, '1') and (selected(${Id10098}, 'yes') or ${Id10098} = 'NaN' or string-length(${Id10098}) = 0)   and not(selected(${Id10099}, 'yes'));yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less than the age in days at death.;
select_one YES_NO_DK_REF;Id10408;(Id10408) Before the illness that led to death, was the baby/the child growing normally?;;((selected(${Id10114}, 'no') or ${Id10114} = 'NaN' or string-length(${Id10114}) = 0)  and selected(${isNeonatal}, '1')) or selected(${isChild}, '1') ;yes;;;;;;;
begin group;illdur;Duration of illness;;not(selected(${Id10114}, 'yes'));;;;;;;;
integer;Id10120_0;(Id10120_0) For how many days was (s)he ill before death? ;"If less than 1 day or 24 hours, enter 0 days. For don't know, enter ""99."" For refused, enter ""88.""";selected(${isNeonatal}, '1');yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less then neonatal age in days at death. ;
select_one units_1;id10120_unit;(id10120_unit) For how long was (s)he ill before death?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));;;;;;;;
integer;Id10121;(Id10121) Months;;${id10120_unit}='months';yes;;;;;.>=1 and .<=11;If response was greater than 11 months, ask respondent to report time in years.;
integer;Id10122;(Id10122) Years;;${id10120_unit}='years';yes;;;;;.>=1 and .<=${ageInYears2};Duration entered exceeds age at death.;
integer;Id10120_1;(Id10120_1) Days;Less than 24 hours = 0 days.;${id10120_unit}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in another unit.;
calculate;Id10120;(Id10120) Calculated number of Days with illness;;;yes;;;if(selected(${isNeonatal}, '1'),${Id10120_0}, if(${id10120_unit}='days', ${Id10120_1},if(${id10120_unit}='months', ${Id10121} * 30, ${Id10122} * 365)));;;;TRUE
end group;;;;;;;;;;;;
select_one YES_NO_DK_REF;Id10123;(Id10123) Did (s)he die suddenly?;Suddenly means died unexpectedly within 24 hours of being in regular health. ;not(selected(${Id10114}, 'yes'));yes;;;;;;;
begin group;med_hist_final_illness;Medical history associated with final illness;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));;;;;;;;
select_one YES_NO_DK_REF;Id10125;(Id10125) Was there any diagnosis by a health professional of tuberculosis?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10126;(Id10126) Was an HIV test ever positive?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10127;(Id10127) Was there any diagnosis by a health professional of AIDS?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10128;(Id10128) Did (s)he have a recent positive test by a health professional for malaria?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10129;(Id10129) Did (s)he have a recent negative test by a health professional for malaria?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;not(selected(${Id10128}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10130;(Id10130) Was there any diagnosis by a health professional of dengue fever?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10131;(Id10131) Was there any diagnosis by a health professional of measles?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10132;(Id10132) Was there any diagnosis by a health professional of high blood pressure?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;not(selected(${isChild}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10133;(Id10133) Was there any diagnosis by a health professional of heart disease?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10134;(Id10134) Was there any diagnosis by a health professional of diabetes?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10135;(Id10135) Was there any diagnosis by a health professional of asthma?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10136;(Id10136) Was there any diagnosis by a health professional of epilepsy?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10137;(Id10137) Was there any diagnosis by a health professional of cancer?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10138;(Id10138) Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;selected(${isAdult}, '1');yes;;;;;;;
select_one YES_NO_DK_REF;Id10139;(Id10139) Was there any diagnosis by a health professional of dementia?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;selected(${isAdult}, '1');yes;;;;;;;
select_one YES_NO_DK_REF;Id10140;(Id10140) Was there any diagnosis by a health professional of depression?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;selected(${isAdult}, '1');yes;;;;;;;
select_one YES_NO_DK_REF;Id10141;(Id10141) Was there any diagnosis by a health professional of stroke?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;selected(${isAdult}, '1');yes;;;;;;;
select_one YES_NO_DK_REF;Id10142;(Id10142) Was there any diagnosis by a health professional of sickle cell disease?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10143;(Id10143) Was there any diagnosis by a health professional of kidney disease?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10144;(Id10144) Was there any diagnosis by a health professional of liver disease?;Remind the respondent that we are asking for the diagnosis assessed by a doctor, health worker, or other health professional during the final illness.;;yes;;;;;;;
end group;;;;;;;;;;;;
begin group;signs_symptoms_final_illness;General signs and symptoms associated with final illness;;not(selected(${Id10114}, 'yes'));;;;;;;;
select_one YES_NO_DK_REF;Id10147;(Id10147) Did (s)he have a fever?;;;yes;;;;;;;
integer;Id10148_a;(Id10148_a) How many days did the fever last?;"If less than 1 day or 24 hours, enter 0 days. Use 1 week = 7 days to determine number of days. For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10147}, 'yes') and selected(${isNeonatal}, '1');yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less then neonatal age in days at death. ;
select_one units_2;Id10148_units;(Id10148_units) How long did the fever last?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";selected(${Id10147}, 'yes') and (selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
integer;Id10148_b;(Id10148_b) [Enter how long the fever lasted in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10148_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months.;
integer;Id10148_c;(Id10148_c) [Enter how long the fever lasted in months]:;Enter 1-60 months.;${Id10148_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response was greater than 60 months, confirm the response and enter 60.;
calculate;Id10148;(Id10148) How many days did the fever last?;;selected(${Id10147}, 'yes');;;;if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)));;;;
select_one YES_NO_DK_REF;Id10149;(Id10149) Did the fever continue until death?;;selected(${Id10147}, 'yes');yes;;;;;;;
select_one select_63;Id10150;(Id10150) How severe was the fever?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10147}, 'yes');yes;;;;;;;
select_one select_64;Id10151;(Id10151) What was the pattern of the fever?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10147}, 'yes');;;;;;;;
select_one YES_NO_DK_REF;Id10152;(Id10152) Did (s)he have night sweats?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10153;(Id10153) Did (s)he have a cough?;;;yes;;;;;;;
select_one units_2;Id10154_units;(Id10154_units) For how long did (s)he have a cough?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10153}, 'yes');yes;;;;;;;
