C:\Users\jhuc964\Desktop\ECIS R\vascrdata\inst\compare\200723071429 New Measurement.cZsx
Parameter : CPE_A(sⁿ⁻¹·µF/cm²)

time (h),A1,A2,A4,A5,B1,B2,B4,B5
25.42,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
26.69,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
27.96,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
29.23,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
30.49,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
31.76,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
33.03,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
34.29,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
35.56,0.84,0.84,0.83,0.85,0.83,0.85,0.84,0.83
36.83,0.84,0.84,0.83,0.85,0.83,0.85,0.84,0.83
38.10,0.84,0.84,0.82,0.85,0.83,0.85,0.84,0.83
39.37,0.84,0.84,0.82,0.85,0.83,0.85,0.84,0.83
40.64,0.84,0.84,0.82,0.85,0.83,0.85,0.84,0.83
41.91,0.84,0.84,0.82,0.85,0.83,0.85,0.84,0.83
43.18,0.84,0.84,0.82,0.85,0.83,0.85,0.84,0.83
44.45,0.84,0.84,0.82,0.85,0.83,0.85,0.84,0.83
45.72,0.84,0.84,0.82,0.85,0.83,0.85,0.84,0.82
46.98,0.84,0.84,0.82,0.85,0.83,0.85,0.84,0.83



C:\Users\jhuc964\Desktop\ECIS R\vascrdata\inst\compare\200723071429 New Measurement.cZsx
Parameter : TER(Ω·cm²)

time (h),A1,A2,A4,A5,B1,B2,B4,B5
,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1
0.03,,0.88,1.75,,,,,
1.30,3.66,4.34,,,4.97,5.20,,
2.57,5.67,6.34,1.67,,6.74,6.93,1.99,
3.84,5.12,5.77,1.71,,6.46,6.47,2.02,
5.11,4.90,5.62,1.69,,6.20,6.33,1.98,
6.38,4.74,5.46,1.65,,6.05,6.14,1.94,
7.65,4.61,5.19,1.59,,5.85,6.04,1.89,
8.92,4.69,5.16,1.60,,5.78,6.02,1.90,
10.19,4.78,5.14,1.58,,5.88,6.13,1.92,
11.46,4.99,5.26,1.65,,6.00,6.24,1.96,
12.73,5.20,5.44,1.73,,6.23,6.50,1.99,
14.00,5.45,5.52,1.77,,6.37,6.64,2.05,
15.27,5.62,5.62,1.87,,6.51,6.79,2.18,
16.53,5.77,5.68,1.98,,6.64,6.84,2.31,2.06
17.80,5.86,5.71,2.06,,6.74,6.86,2.42,2.12
19.07,6.00,5.74,2.14,,6.82,6.92,2.60,2.23
20.34,6.03,5.76,2.18,,6.86,6.88,2.65,2.35
21.61,6.09,5.74,2.27,,6.86,6.87,2.69,2.41
22.88,6.15,5.75,2.32,2.76,6.84,6.92,2.82,2.53
24.15,6.22,5.83,2.41,2.80,6.82,6.84,2.88,2.62
25.42,6.22,5.84,2.50,2.91,6.80,6.79,3.05,2.73
26.69,6.22,5.79,2.58,2.98,6.79,6.72,3.14,2.82
27.96,6.12,5.81,2.62,3.04,6.74,6.55,3.25,2.91
29.23,6.03,5.78,2.66,3.10,6.57,6.53,3.28,3.04
30.49,5.98,5.72,2.77,3.15,6.49,6.44,3.38,3.08
31.76,5.85,5.69,2.89,3.25,6.37,6.28,3.44,3.17
33.03,5.77,5.62,3.00,3.30,6.27,6.14,3.50,3.27
34.29,5.68,5.57,3.08,3.38,6.13,6.05,3.59,3.28
35.56,5.58,5.50,3.11,3.39,6.00,5.93,3.65,3.38
36.83,5.44,5.43,3.17,3.44,5.93,5.85,3.77,3.48
38.10,5.42,5.32,3.21,3.53,5.79,5.67,3.88,3.53
39.37,5.35,5.18,3.30,3.58,5.72,5.57,3.97,3.63
40.64,5.27,5.20,3.38,3.62,5.63,5.45,4.00,3.71
41.91,5.17,5.09,3.45,3.72,5.50,5.33,4.10,3.76
43.18,5.14,5.03,3.53,3.73,5.41,5.21,4.18,3.85
44.45,4.99,4.91,3.53,3.81,5.34,5.11,4.25,3.93
45.72,4.93,4.84,3.56,3.82,5.27,5.05,4.31,3.98
46.98,4.84,4.80,3.59,3.90,5.19,4.93,4.36,4.03
48.25,6.79,6.81,5.07,5.61,7.24,7.02,6.05,5.49



C:\Users\jhuc964\Desktop\ECIS R\vascrdata\inst\compare\200723071429 New Measurement.cZsx
Parameter : Ccl(µF/cm²)

time (h),A1,A2,A4,A5,B1,B2,B4,B5
,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1
0.03,,1.27,5.61,,,,,
1.30,1.76,1.84,,,2.05,1.91,,
2.57,1.24,1.38,5.52,,1.44,1.41,5.66,
3.84,1.24,1.40,4.68,,1.42,1.44,5.36,
5.11,1.26,1.39,4.89,,1.42,1.45,5.84,
6.38,1.23,1.39,4.92,,1.38,1.45,5.82,
7.65,1.27,1.41,5.92,,1.37,1.42,6.43,
8.92,1.21,1.41,5.87,,1.35,1.40,6.36,
10.19,1.18,1.38,5.56,,1.31,1.35,6.20,
11.46,1.12,1.32,4.87,,1.27,1.31,5.79,
12.73,1.07,1.26,4.70,,1.17,1.23,5.00,
14.00,1.01,1.21,4.25,,1.13,1.16,4.53,
15.27,0.99,1.18,3.74,,1.09,1.12,4.25,
16.53,0.96,1.16,3.40,,1.04,1.09,3.50,5.43
17.80,0.94,1.14,3.09,,1.00,1.06,3.12,4.17
19.07,0.91,1.11,2.96,,0.99,1.05,2.70,3.75
20.34,0.90,1.10,2.89,,0.98,1.03,2.49,3.36
21.61,0.89,1.10,2.73,,0.94,1.01,2.31,3.01
22.88,0.88,1.10,2.63,4.04,0.96,0.99,2.14,2.78
24.15,0.87,1.08,2.52,4.10,0.93,1.00,2.05,2.66
25.42,0.85,1.06,2.40,3.34,0.91,0.99,1.79,2.38
26.69,0.84,1.04,2.15,2.86,0.90,0.98,1.68,2.15
27.96,0.85,1.02,2.14,2.58,0.89,0.98,1.59,2.07
29.23,0.86,1.02,2.13,2.56,0.91,0.96,1.54,1.91
30.49,0.85,1.01,1.95,2.40,0.89,0.96,1.47,1.89
31.76,0.88,1.00,1.86,2.27,0.90,0.97,1.42,1.78
33.03,0.87,1.00,1.74,2.14,0.89,0.99,1.40,1.69
34.29,0.87,1.00,1.70,2.01,0.91,0.98,1.38,1.70
35.56,0.88,1.00,1.66,1.97,0.91,0.97,1.32,1.54
36.83,0.90,0.99,1.62,1.92,0.90,0.98,1.28,1.52
38.10,0.89,0.98,1.57,1.78,0.92,1.01,1.23,1.46
39.37,0.88,0.99,1.51,1.73,0.91,0.99,1.21,1.40
40.64,0.88,0.96,1.41,1.72,0.89,1.01,1.19,1.37
41.91,0.89,0.99,1.39,1.70,0.92,1.01,1.15,1.34
43.18,0.88,0.98,1.31,1.63,0.92,1.03,1.13,1.31
44.45,0.89,0.99,1.30,1.60,0.92,1.04,1.11,1.26
45.72,0.89,0.99,1.27,1.59,0.92,1.03,1.10,1.25
46.98,0.89,0.98,1.24,1.54,0.92,1.04,1.08,1.23
48.25,0.82,0.93,1.32,1.29,0.84,0.97,1.09,1.15



C:\Users\jhuc964\Desktop\ECIS R\vascrdata\inst\compare\200723071429 New Measurement.cZsx
Parameter : Rins(Ω·cm²)

time (h),A1,A2,A4,A5,B1,B2,B4,B5
,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1
0.03,,5.49,5.49,,,,,
1.30,5.49,5.49,,,5.49,5.49,,
2.57,5.49,5.49,5.49,,5.49,5.49,5.49,
3.84,5.49,5.49,5.49,,5.49,5.49,5.49,
5.11,5.49,5.49,5.49,,5.49,5.49,5.49,
6.38,5.49,5.49,5.49,,5.49,5.49,5.49,
7.65,5.49,5.49,5.49,,5.49,5.49,5.49,
8.92,5.49,5.49,5.49,,5.49,5.49,5.49,
10.19,5.49,5.49,5.49,,5.49,5.49,5.49,
11.46,5.49,5.49,5.49,,5.49,5.49,5.49,
12.73,5.49,5.49,5.49,,5.49,5.49,5.49,
14.00,5.49,5.49,5.49,,5.49,5.49,5.49,
15.27,5.49,5.49,5.49,,5.49,5.49,5.49,
16.53,5.49,5.49,5.49,,5.49,5.49,5.49,5.49
17.80,5.49,5.49,5.49,,5.49,5.49,5.49,5.49
19.07,5.49,5.49,5.49,,5.49,5.49,5.49,5.49
20.34,5.49,5.49,5.49,,5.49,5.49,5.49,5.49
21.61,5.49,5.49,5.49,,5.49,5.49,5.49,5.49
22.88,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
24.15,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
25.42,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
26.69,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
27.96,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
29.23,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
30.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
31.76,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
33.03,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
34.29,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
35.56,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
36.83,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
38.10,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
39.37,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
40.64,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
41.91,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
43.18,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
44.45,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
45.72,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
46.98,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49
48.25,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49


C:\Users\jhuc964\Desktop\ECIS R\vascrdata\inst\compare\200723071429 New Measurement.cZsx
Parameter : Cins(µF/cm²)

time (h),A1,A2,A4,A5,B1,B2,B4,B5
,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1
0.03,,13.21,13.21,,,,,
1.30,13.21,13.21,,,13.21,13.21,,
2.57,13.21,13.21,13.21,,13.21,13.21,13.21,
3.84,13.21,13.21,13.21,,13.21,13.21,13.21,
5.11,13.21,13.21,13.21,,13.21,13.21,13.21,
6.38,13.21,13.21,13.21,,13.21,13.21,13.21,
7.65,13.21,13.21,13.21,,13.21,13.21,13.21,
8.92,13.21,13.21,13.21,,13.21,13.21,13.21,
10.19,13.21,13.21,13.21,,13.21,13.21,13.21,
11.46,13.21,13.21,13.21,,13.21,13.21,13.21,
12.73,13.21,13.21,13.21,,13.21,13.21,13.21,
14.00,13.21,13.21,13.21,,13.21,13.21,13.21,
15.27,13.21,13.21,13.21,,13.21,13.21,13.21,
16.53,13.21,13.21,13.21,,13.21,13.21,13.21,13.21
17.80,13.21,13.21,13.21,,13.21,13.21,13.21,13.21
19.07,13.21,13.21,13.21,,13.21,13.21,13.21,13.21
20.34,13.21,13.21,13.21,,13.21,13.21,13.21,13.21
21.61,13.21,13.21,13.21,,13.21,13.21,13.21,13.21
22.88,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
24.15,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
25.42,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
26.69,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
27.96,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
29.23,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
30.49,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
31.76,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
33.03,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
34.29,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
35.56,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
36.83,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
38.10,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
39.37,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
40.64,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
41.91,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
43.18,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
44.45,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
45.72,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
46.98,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
48.25,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21


C:\Users\jhuc964\Desktop\ECIS R\vascrdata\inst\compare\200723071429 New Measurement.cZsx
Parameter : Rmed(Ω)

time (h),A1,A2,A4,A5,B1,B2,B4,B5
,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1
0.03,,108.72,136.68,,,,,
1.30,99.68,92.70,,,99.25,90.68,,
2.57,97.80,91.93,86.63,,95.48,89.68,83.67,
3.84,97.20,90.97,85.60,,94.97,88.81,83.00,
5.11,96.81,90.59,85.32,,94.32,88.81,82.75,
6.38,96.31,90.35,85.09,,93.73,88.30,82.42,
7.65,96.09,89.70,84.98,,93.07,87.78,82.22,
8.92,95.64,89.38,84.83,,92.58,87.39,82.13,
10.19,95.58,89.00,84.56,,92.51,86.98,81.97,
11.46,95.33,88.72,84.36,,92.30,86.79,81.81,
12.73,95.11,88.47,84.24,,92.01,86.51,81.51,
14.00,94.84,88.21,84.04,,91.80,86.19,81.31,
15.27,94.72,88.01,84.16,,91.56,85.96,81.56,
16.53,94.46,87.78,83.93,,91.25,85.64,81.34,86.23
17.80,94.24,87.53,83.66,,90.97,85.34,81.06,85.41
19.07,93.93,87.27,83.47,,90.79,85.12,80.80,85.38
20.34,93.67,87.21,83.36,,90.58,84.92,80.58,85.22
21.61,93.47,87.07,83.20,,90.15,84.69,80.25,84.90
22.88,93.25,86.91,82.97,87.03,89.99,84.36,80.03,84.73
24.15,92.95,86.66,82.90,87.00,89.59,84.10,79.90,84.61
25.42,92.67,86.44,82.67,86.51,89.23,83.85,79.45,84.30
26.69,92.32,86.15,82.32,86.04,88.93,83.52,79.12,83.94
27.96,92.11,85.93,82.12,85.64,88.54,83.14,78.83,83.73
29.23,91.89,85.71,81.99,85.46,88.40,82.77,78.61,83.44
30.49,91.62,85.43,81.68,85.27,87.99,82.50,78.33,83.29
31.76,91.50,85.21,81.52,85.12,87.76,82.24,78.10,83.07
33.03,91.17,84.99,81.37,84.88,87.35,82.03,78.00,82.92
34.29,90.93,84.77,81.28,84.65,87.20,81.80,77.96,82.82
35.56,90.80,84.61,81.12,84.45,86.95,81.49,77.67,82.39
36.83,90.71,84.29,81.04,84.30,86.61,81.27,77.51,82.33
38.10,90.45,84.06,80.83,83.97,86.45,81.13,77.35,82.10
39.37,90.26,83.85,80.62,83.89,86.17,80.86,77.23,81.94
40.64,90.03,83.43,80.32,83.71,85.72,80.63,77.07,81.73
41.91,89.78,83.38,80.18,83.65,85.67,80.42,76.79,81.52
43.18,89.47,83.13,79.85,83.36,85.40,80.22,76.60,81.41
44.45,89.27,82.89,79.70,83.19,85.17,80.04,76.46,81.18
45.72,89.05,82.65,79.54,83.05,84.86,79.73,76.40,81.09
46.98,88.81,82.38,79.22,82.89,84.62,79.51,76.21,80.91
48.25,91.91,86.23,85.41,86.56,88.81,83.54,82.64,85.21



