Well: A1 - 80,000 HCMVEC
Spectrum: Run.1 measured at 23/07/2020 5:09:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
46415.89,103.47,-3.11
59948.43,102.22,-2.43
77426.37,100.93,-1.66
100000.00,99.78,-0.79


Well: A1 - 80,000 HCMVEC
Spectrum: Run.9 measured at 23/07/2020 7:42:42 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14051.65,-74.57
1.29,11343.22,-74.14
1.67,9052.74,-74.24
2.15,7344.17,-73.94
2.78,5877.03,-73.90
3.59,4740.94,-73.55
4.64,3892.82,-73.38
5.99,3144.56,-72.81
7.74,2541.44,-72.15
10.00,2051.79,-71.35
12.92,1657.70,-70.37
16.68,1341.30,-69.21
21.54,1089.24,-67.83
27.83,886.22,-66.11
35.94,723.78,-64.07
46.42,595.57,-61.67
59.95,493.11,-58.87
77.43,412.65,-55.60
100.00,349.09,-51.89
129.15,299.25,-47.93
166.81,261.36,-43.67
215.44,231.76,-39.28
278.26,208.91,-35.10
359.38,190.00,-31.42
464.16,176.05,-27.76
599.48,165.02,-24.47
774.26,155.79,-21.71
1000.00,148.20,-19.23
1291.55,141.89,-16.92
1668.10,136.32,-15.06
2154.43,131.61,-13.35
2782.56,127.68,-11.84
3593.81,124.26,-10.51
4641.59,121.42,-9.40
5994.84,118.87,-8.44
7742.64,116.75,-7.80
10000.00,114.76,-7.20
12915.50,112.76,-6.71
16681.01,110.80,-6.26
21544.35,108.79,-5.86
27825.59,106.54,-5.46
35938.14,104.71,-4.82
46415.89,102.77,-4.51
59948.43,100.97,-3.89
77426.37,99.43,-3.10
100000.00,97.96,-2.30


Well: A1 - 80,000 HCMVEC
Spectrum: Run.13 measured at 23/07/2020 8:58:52 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13895.45,-74.79
1.29,11212.76,-74.72
1.67,8991.81,-74.09
2.15,7262.85,-74.19
2.78,5832.37,-73.78
3.59,4699.70,-73.57
4.64,3866.58,-73.48
5.99,3123.29,-72.89
7.74,2521.85,-72.34
10.00,2031.63,-71.56
12.92,1641.69,-70.56
16.68,1328.73,-69.35
21.54,1076.80,-67.98
27.83,875.67,-66.32
35.94,715.04,-64.29
46.42,586.85,-61.90
59.95,485.89,-59.05
77.43,406.28,-55.78
100.00,343.24,-52.12
129.15,294.79,-48.05
166.81,256.91,-43.82
215.44,227.82,-39.39
278.26,205.09,-35.14
359.38,186.86,-31.44
464.16,172.90,-27.83
599.48,162.22,-24.52
774.26,153.21,-21.70
1000.00,145.72,-19.21
1291.55,139.39,-17.00
1668.10,133.92,-15.01
2154.43,129.21,-13.29
2782.56,125.36,-11.77
3593.81,121.96,-10.38
4641.59,119.18,-9.15
5994.84,116.93,-8.17
7742.64,114.78,-7.44
10000.00,112.86,-6.84
12915.50,111.30,-6.34
16681.01,109.50,-5.84
21544.35,107.79,-5.43
27825.59,105.87,-5.08
35938.14,104.09,-4.61
46415.89,102.43,-4.37
59948.43,100.63,-3.88
77426.37,98.99,-3.14
100000.00,97.40,-2.33


Well: A1 - 80,000 HCMVEC
Spectrum: Run.17 measured at 23/07/2020 10:15:01 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13987.74,-74.98
1.29,11285.41,-74.75
1.67,8987.45,-74.41
2.15,7289.85,-74.33
2.78,5830.27,-74.08
3.59,4707.23,-73.80
4.64,3878.51,-73.50
5.99,3122.76,-72.99
7.74,2519.91,-72.48
10.00,2029.48,-71.70
12.92,1638.87,-70.73
16.68,1326.65,-69.58
21.54,1073.64,-68.23
27.83,873.53,-66.47
35.94,712.57,-64.47
46.42,584.76,-62.08
59.95,483.77,-59.26
77.43,404.29,-55.96
100.00,341.49,-52.31
129.15,292.92,-48.20
166.81,255.07,-43.95
215.44,226.15,-39.55
278.26,203.70,-35.30
359.38,185.33,-31.58
464.16,171.63,-27.88
599.48,160.65,-24.68
774.26,151.72,-21.74
1000.00,144.22,-19.18
1291.55,137.93,-16.97
1668.10,132.65,-14.99
2154.43,128.04,-13.25
2782.56,124.18,-11.68
3593.81,120.80,-10.32
4641.59,118.19,-9.06
5994.84,115.84,-8.13
7742.64,113.95,-7.33
10000.00,112.05,-6.69
12915.50,110.45,-6.16
16681.01,108.72,-5.68
21544.35,107.03,-5.26
27825.59,105.25,-4.95
35938.14,103.61,-4.38
46415.89,101.94,-4.28
59948.43,100.21,-3.77
77426.37,98.48,-3.07
100000.00,97.14,-2.26


Well: A1 - 80,000 HCMVEC
Spectrum: Run.21 measured at 23/07/2020 11:31:11 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13985.22,-74.87
1.29,11231.29,-74.65
1.67,9085.77,-74.39
2.15,7300.25,-74.20
2.78,5887.37,-74.06
3.59,4721.28,-73.78
4.64,3888.68,-73.60
5.99,3141.80,-73.18
7.74,2525.09,-72.70
10.00,2034.59,-71.72
12.92,1641.00,-70.90
16.68,1326.65,-69.74
21.54,1074.02,-68.34
27.83,873.30,-66.65
35.94,712.47,-64.65
46.42,584.20,-62.24
59.95,482.77,-59.44
77.43,403.09,-56.19
100.00,340.10,-52.47
129.15,291.80,-48.44
166.81,254.09,-44.15
215.44,225.05,-39.78
278.26,202.41,-35.54
359.38,184.49,-31.75
464.16,170.36,-28.07
599.48,159.48,-24.75
774.26,150.53,-21.90
1000.00,143.12,-19.34
1291.55,136.92,-17.06
1668.10,131.63,-14.99
2154.43,127.08,-13.31
2782.56,123.18,-11.75
3593.81,119.91,-10.29
4641.59,117.21,-9.07
5994.84,114.89,-8.09
7742.64,113.09,-7.28
10000.00,111.31,-6.59
12915.50,109.69,-6.06
16681.01,108.11,-5.58
21544.35,106.60,-5.15
27825.59,104.99,-4.80
35938.14,103.34,-4.37
46415.89,101.45,-4.16
59948.43,99.88,-3.71
77426.37,98.27,-3.04
100000.00,96.76,-2.20


Well: A1 - 80,000 HCMVEC
Spectrum: Run.25 measured at 24/07/2020 12:47:21 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14124.39,-75.01
1.29,11369.98,-74.49
1.67,9091.20,-74.77
2.15,7344.45,-74.29
2.78,5884.34,-74.43
3.59,4732.51,-74.03
4.64,3895.21,-73.79
5.99,3137.71,-73.43
7.74,2527.92,-72.64
10.00,2036.15,-71.97
12.92,1642.23,-71.01
16.68,1327.44,-69.83
21.54,1074.72,-68.44
27.83,873.36,-66.76
35.94,711.47,-64.81
46.42,583.53,-62.40
59.95,482.07,-59.55
77.43,402.24,-56.30
100.00,339.52,-52.59
129.15,290.48,-48.55
166.81,252.73,-44.27
215.44,223.62,-39.90
278.26,201.62,-35.53
359.38,183.21,-31.78
464.16,169.58,-28.17
599.48,158.53,-24.79
774.26,149.90,-21.90
1000.00,142.21,-19.38
1291.55,136.07,-17.12
1668.10,130.82,-15.06
2154.43,126.26,-13.29
2782.56,122.45,-11.69
3593.81,119.24,-10.24
4641.59,116.52,-9.10
5994.84,114.27,-7.96
7742.64,112.46,-7.19
10000.00,110.63,-6.52
12915.50,109.15,-5.95
16681.01,107.66,-5.48
21544.35,106.09,-5.06
27825.59,104.27,-4.79
35938.14,102.92,-4.33
46415.89,101.26,-4.11
59948.43,99.59,-3.64
77426.37,98.00,-3.01
100000.00,96.41,-2.16


Well: A1 - 80,000 HCMVEC
Spectrum: Run.29 measured at 24/07/2020 2:03:29 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14154.03,-75.18
1.29,11426.73,-74.81
1.67,9105.21,-74.84
2.15,7367.86,-74.64
2.78,5887.86,-74.44
3.59,4736.34,-74.03
4.64,3892.70,-73.91
5.99,3137.47,-73.43
7.74,2533.32,-72.75
10.00,2037.84,-72.00
12.92,1644.93,-71.11
16.68,1328.99,-69.95
21.54,1076.64,-68.49
27.83,873.94,-66.84
35.94,712.42,-64.84
46.42,583.57,-62.47
59.95,482.39,-59.64
77.43,401.83,-56.43
100.00,339.25,-52.67
129.15,290.31,-48.61
166.81,252.58,-44.31
215.44,223.44,-39.95
278.26,201.25,-35.55
359.38,183.17,-31.81
464.16,169.33,-28.20
599.48,158.40,-24.80
774.26,149.60,-21.92
1000.00,142.12,-19.38
1291.55,135.83,-17.13
1668.10,130.53,-15.11
2154.43,125.99,-13.35
2782.56,122.27,-11.69
3593.81,118.93,-10.27
4641.59,116.28,-8.96
5994.84,114.06,-7.96
7742.64,112.29,-7.16
10000.00,110.64,-6.55
12915.50,109.08,-5.98
16681.01,107.45,-5.45
21544.35,105.97,-5.09
27825.59,104.14,-4.83
35938.14,102.71,-4.29
46415.89,101.01,-4.25
59948.43,99.32,-3.69
77426.37,97.65,-3.12
100000.00,96.12,-2.32


Well: A1 - 80,000 HCMVEC
Spectrum: Run.33 measured at 24/07/2020 3:19:38 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14134.19,-75.20
1.29,11362.66,-75.15
1.67,9134.41,-74.56
2.15,7354.02,-74.61
2.78,5909.70,-74.24
3.59,4755.63,-73.99
4.64,3910.42,-73.90
5.99,3156.36,-73.35
7.74,2539.58,-72.93
10.00,2043.61,-72.14
12.92,1647.51,-71.09
16.68,1330.83,-69.99
21.54,1077.14,-68.57
27.83,874.07,-66.91
35.94,713.16,-64.94
46.42,584.08,-62.53
59.95,482.46,-59.68
77.43,402.23,-56.43
100.00,339.67,-52.68
129.15,290.40,-48.65
166.81,252.63,-44.33
215.44,223.56,-39.94
278.26,201.35,-35.62
359.38,183.07,-31.85
464.16,169.58,-28.13
599.48,158.47,-24.79
774.26,149.84,-21.92
1000.00,142.37,-19.31
1291.55,136.10,-17.06
1668.10,130.79,-15.09
2154.43,126.22,-13.35
2782.56,122.38,-11.69
3593.81,119.20,-10.26
4641.59,116.59,-9.05
5994.84,114.32,-7.96
7742.64,112.56,-7.25
10000.00,110.72,-6.59
12915.50,109.26,-6.04
16681.01,107.69,-5.59
21544.35,106.15,-5.17
27825.59,104.28,-4.92
35938.14,102.80,-4.52
46415.89,100.99,-4.30
59948.43,99.33,-3.85
77426.37,97.69,-3.21
100000.00,96.12,-2.43


Well: A1 - 80,000 HCMVEC
Spectrum: Run.37 measured at 24/07/2020 4:35:48 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14205.16,-75.38
1.29,11431.46,-75.14
1.67,9144.05,-74.70
2.15,7390.58,-74.76
2.78,5915.36,-74.37
3.59,4757.83,-74.07
4.64,3913.81,-73.94
5.99,3164.37,-73.30
7.74,2549.08,-72.88
10.00,2048.05,-72.01
12.92,1651.74,-71.10
16.68,1333.34,-70.09
21.54,1079.67,-68.66
27.83,876.43,-66.98
35.94,713.63,-64.94
46.42,585.24,-62.52
59.95,482.89,-59.66
77.43,402.97,-56.42
100.00,339.96,-52.64
129.15,290.85,-48.60
166.81,252.95,-44.26
215.44,224.06,-39.87
278.26,202.00,-35.47
359.38,183.48,-31.78
464.16,169.76,-28.09
599.48,158.82,-24.78
774.26,150.03,-21.85
1000.00,142.71,-19.31
1291.55,136.64,-17.08
1668.10,131.22,-15.01
2154.43,126.66,-13.31
2782.56,122.87,-11.67
3593.81,119.59,-10.28
4641.59,116.86,-9.07
5994.84,114.70,-8.06
7742.64,112.81,-7.30
10000.00,111.19,-6.60
12915.50,109.48,-6.12
16681.01,107.94,-5.73
21544.35,106.35,-5.34
27825.59,104.49,-5.11
35938.14,102.92,-4.74
46415.89,101.04,-4.56
59948.43,99.21,-4.00
77426.37,97.53,-3.40
100000.00,95.95,-2.55


Well: A1 - 80,000 HCMVEC
Spectrum: Run.41 measured at 24/07/2020 5:51:56 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14276.98,-75.32
1.29,11518.18,-74.92
1.67,9178.01,-74.94
2.15,7431.73,-74.71
2.78,5933.79,-74.61
3.59,4772.65,-74.18
4.64,3932.65,-74.00
5.99,3164.16,-73.67
7.74,2542.34,-72.94
10.00,2051.31,-72.18
12.92,1653.38,-71.16
16.68,1335.03,-70.05
21.54,1080.54,-68.68
27.83,877.23,-66.93
35.94,714.25,-64.95
46.42,585.93,-62.50
59.95,483.87,-59.69
77.43,403.39,-56.39
100.00,340.30,-52.68
129.15,291.24,-48.57
166.81,253.49,-44.27
215.44,224.37,-39.85
278.26,202.12,-35.46
359.38,184.09,-31.75
464.16,170.07,-28.07
599.48,159.45,-24.71
774.26,150.52,-21.81
1000.00,143.08,-19.26
1291.55,136.84,-17.05
1668.10,131.52,-15.01
2154.43,127.03,-13.30
2782.56,123.02,-11.67
3593.81,119.94,-10.27
4641.59,117.29,-9.08
5994.84,115.07,-8.05
7742.64,113.23,-7.30
10000.00,111.34,-6.71
12915.50,109.88,-6.23
16681.01,108.12,-5.77
21544.35,106.63,-5.47
27825.59,104.65,-5.22
35938.14,102.92,-4.82
46415.89,101.17,-4.78
59948.43,99.29,-4.19
77426.37,97.48,-3.53
100000.00,95.63,-2.78


Well: A1 - 80,000 HCMVEC
Spectrum: Run.45 measured at 24/07/2020 7:08:06 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14289.20,-75.14
1.29,11446.01,-74.61
1.67,9237.57,-74.76
2.15,7423.18,-74.49
2.78,5973.55,-74.47
3.59,4789.42,-74.09
4.64,3940.36,-74.03
5.99,3178.25,-73.67
7.74,2549.22,-72.96
10.00,2055.10,-72.16
12.92,1658.74,-71.09
16.68,1339.17,-70.03
21.54,1083.07,-68.69
27.83,879.12,-66.94
35.94,716.18,-64.93
46.42,586.73,-62.52
59.95,484.55,-59.64
77.43,403.72,-56.40
100.00,340.59,-52.65
129.15,291.90,-48.53
166.81,254.12,-44.17
215.44,224.99,-39.79
278.26,202.47,-35.41
359.38,184.53,-31.67
464.16,170.96,-27.96
599.48,159.74,-24.63
774.26,150.99,-21.80
1000.00,143.70,-19.22
1291.55,137.41,-17.00
1668.10,132.01,-15.02
2154.43,127.47,-13.24
2782.56,123.70,-11.71
3593.81,120.41,-10.28
4641.59,117.79,-9.05
5994.84,115.52,-8.11
7742.64,113.61,-7.36
10000.00,111.91,-6.77
12915.50,110.23,-6.30
16681.01,108.71,-5.96
21544.35,106.87,-5.62
27825.59,104.86,-5.40
35938.14,103.06,-4.98
46415.89,101.17,-4.79
59948.43,99.16,-4.35
77426.37,97.35,-3.70
100000.00,95.53,-2.92


Well: A1 - 80,000 HCMVEC
Spectrum: Run.49 measured at 24/07/2020 8:24:16 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14290.60,-75.38
1.29,11469.43,-75.15
1.67,9232.86,-74.69
2.15,7425.02,-74.73
2.78,5962.26,-74.29
3.59,4789.75,-74.13
4.64,3945.25,-74.01
5.99,3184.10,-73.47
7.74,2563.32,-72.96
10.00,2062.06,-72.06
12.92,1659.28,-71.14
16.68,1339.52,-70.07
21.54,1084.40,-68.72
27.83,880.49,-66.95
35.94,716.74,-64.96
46.42,587.89,-62.54
59.95,485.04,-59.67
77.43,404.55,-56.40
100.00,341.52,-52.60
129.15,292.08,-48.49
166.81,254.36,-44.19
215.44,225.26,-39.75
278.26,203.11,-35.39
359.38,184.73,-31.65
464.16,171.14,-27.95
599.48,160.45,-24.60
774.26,151.26,-21.76
1000.00,143.89,-19.25
1291.55,137.79,-17.00
1668.10,132.48,-14.99
2154.43,127.88,-13.30
2782.56,124.03,-11.63
3593.81,120.81,-10.33
4641.59,118.20,-9.08
5994.84,116.00,-8.16
7742.64,114.01,-7.41
10000.00,112.19,-6.88
12915.50,110.63,-6.39
16681.01,108.91,-6.06
21544.35,107.02,-5.75
27825.59,105.06,-5.57
35938.14,103.10,-5.16
46415.89,101.15,-4.99
59948.43,99.18,-4.53
77426.37,97.22,-3.89
100000.00,95.49,-3.11


Well: A1 - 80,000 HCMVEC
Spectrum: Run.53 measured at 24/07/2020 9:40:26 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14347.32,-75.08
1.29,11528.65,-74.68
1.67,9275.51,-74.99
2.15,7462.64,-74.51
2.78,5993.82,-74.60
3.59,4805.04,-74.16
4.64,3952.46,-74.07
5.99,3186.04,-73.74
7.74,2559.92,-72.88
10.00,2062.33,-72.15
12.92,1661.64,-71.30
16.68,1341.29,-70.07
21.54,1085.66,-68.64
27.83,880.69,-66.98
35.94,717.98,-64.89
46.42,588.31,-62.53
59.95,485.31,-59.69
77.43,405.17,-56.39
100.00,341.94,-52.60
129.15,292.38,-48.53
166.81,254.49,-44.15
215.44,225.54,-39.75
278.26,203.52,-35.39
359.38,184.94,-31.61
464.16,171.39,-27.87
599.48,160.57,-24.62
774.26,151.60,-21.72
1000.00,144.16,-19.19
1291.55,137.86,-17.02
1668.10,132.65,-14.98
2154.43,127.98,-13.28
2782.56,124.34,-11.69
3593.81,120.95,-10.30
4641.59,118.33,-9.15
5994.84,116.06,-8.14
7742.64,114.10,-7.43
10000.00,112.40,-6.87
12915.50,110.68,-6.49
16681.01,108.95,-6.15
21544.35,107.09,-5.88
27825.59,104.97,-5.68
35938.14,103.14,-5.33
46415.89,101.03,-5.17
59948.43,99.10,-4.63
77426.37,96.98,-3.95
100000.00,95.20,-3.10


Well: A1 - 80,000 HCMVEC
Spectrum: Run.57 measured at 24/07/2020 10:56:34 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14366.66,-75.19
1.29,11514.34,-74.74
1.67,9291.92,-74.83
2.15,7463.22,-74.55
2.78,6004.31,-74.45
3.59,4816.47,-74.24
4.64,3960.32,-74.01
5.99,3200.59,-73.64
7.74,2567.01,-72.99
10.00,2063.65,-72.24
12.92,1664.40,-71.26
16.68,1344.55,-70.06
21.54,1087.48,-68.74
27.83,882.50,-66.98
35.94,719.28,-64.94
46.42,588.91,-62.59
59.95,486.40,-59.70
77.43,405.59,-56.40
100.00,342.36,-52.64
129.15,293.04,-48.52
166.81,255.03,-44.16
215.44,226.01,-39.74
278.26,203.77,-35.38
359.38,185.27,-31.72
464.16,171.64,-27.90
599.48,160.69,-24.78
774.26,151.97,-21.76
1000.00,144.25,-19.22
1291.55,137.96,-17.04
1668.10,132.70,-15.04
2154.43,128.07,-13.30
2782.56,124.29,-11.70
3593.81,121.05,-10.35
4641.59,118.43,-9.18
5994.84,116.18,-8.22
7742.64,114.09,-7.47
10000.00,112.46,-6.96
12915.50,110.71,-6.51
16681.01,108.95,-6.26
21544.35,107.15,-5.95
27825.59,104.95,-5.78
35938.14,103.11,-5.46
46415.89,101.00,-5.28
59948.43,98.78,-4.77
77426.37,96.94,-4.08
100000.00,95.05,-3.27


Well: A1 - 80,000 HCMVEC
Spectrum: Run.61 measured at 24/07/2020 12:12:44 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14415.14,-75.45
1.29,11614.84,-75.27
1.67,9247.45,-74.85
2.15,7490.15,-74.79
2.78,5985.01,-74.59
3.59,4821.18,-74.33
4.64,3958.06,-74.15
5.99,3185.15,-73.62
7.74,2565.85,-72.99
10.00,2067.54,-72.24
12.92,1668.27,-71.27
16.68,1345.95,-70.08
21.54,1088.71,-68.68
27.83,883.84,-67.03
35.94,719.89,-65.03
46.42,589.81,-62.57
59.95,487.22,-59.73
77.43,405.99,-56.41
100.00,342.48,-52.67
129.15,293.39,-48.53
166.81,255.44,-44.17
215.44,226.17,-39.70
278.26,203.79,-35.41
359.38,185.65,-31.67
464.16,171.62,-27.98
599.48,160.90,-24.70
774.26,152.01,-21.73
1000.00,144.47,-19.22
1291.55,138.11,-17.00
1668.10,132.85,-15.07
2154.43,128.21,-13.31
2782.56,124.43,-11.73
3593.81,121.16,-10.38
4641.59,118.47,-9.16
5994.84,116.26,-8.24
7742.64,114.22,-7.50
10000.00,112.60,-7.00
12915.50,110.79,-6.56
16681.01,109.04,-6.32
21544.35,107.19,-6.03
27825.59,105.05,-5.88
35938.14,103.06,-5.48
46415.89,100.89,-5.38
59948.43,98.72,-4.85
77426.37,96.71,-4.11
100000.00,94.83,-3.34


Well: A1 - 80,000 HCMVEC
Spectrum: Run.65 measured at 24/07/2020 1:28:54 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14379.92,-75.30
1.29,11545.95,-75.22
1.67,9305.55,-74.70
2.15,7467.23,-74.75
2.78,6012.07,-74.40
3.59,4826.43,-74.18
4.64,3985.41,-73.92
5.99,3196.91,-73.67
7.74,2577.93,-73.07
10.00,2071.11,-72.31
12.92,1671.25,-71.24
16.68,1348.86,-70.16
21.54,1090.15,-68.78
27.83,884.32,-67.01
35.94,720.88,-65.02
46.42,590.93,-62.56
59.95,487.42,-59.71
77.43,406.31,-56.46
100.00,342.68,-52.71
129.15,293.72,-48.59
166.81,255.32,-44.24
215.44,226.38,-39.76
278.26,203.84,-35.46
359.38,185.54,-31.69
464.16,171.68,-28.04
599.48,160.96,-24.60
774.26,151.90,-21.82
1000.00,144.38,-19.31
1291.55,138.13,-17.06
1668.10,132.75,-15.06
2154.43,128.12,-13.31
2782.56,124.26,-11.77
3593.81,120.94,-10.36
4641.59,118.34,-9.17
5994.84,116.14,-8.19
7742.64,114.09,-7.49
10000.00,112.52,-6.99
12915.50,110.67,-6.61
16681.01,108.91,-6.33
21544.35,107.04,-6.03
27825.59,104.94,-5.88
35938.14,102.95,-5.65
46415.89,100.70,-5.44
59948.43,98.50,-4.91
77426.37,96.41,-4.26
100000.00,94.73,-3.35


Well: A1 - 80,000 HCMVEC
Spectrum: Run.69 measured at 24/07/2020 2:45:02 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14462.30,-75.51
1.29,11655.38,-75.20
1.67,9282.48,-74.97
2.15,7513.98,-74.84
2.78,6006.55,-74.61
3.59,4834.25,-74.30
4.64,3968.87,-74.18
5.99,3196.12,-73.76
7.74,2574.81,-73.00
10.00,2072.87,-72.28
12.92,1671.74,-71.29
16.68,1350.10,-70.10
21.54,1091.84,-68.78
27.83,886.49,-67.05
35.94,722.25,-65.04
46.42,591.45,-62.63
59.95,487.95,-59.80
77.43,406.81,-56.46
100.00,342.97,-52.77
129.15,293.84,-48.60
166.81,255.65,-44.26
215.44,226.30,-39.84
278.26,204.04,-35.48
359.38,185.83,-31.75
464.16,171.86,-28.03
599.48,160.78,-24.77
774.26,151.87,-21.90
1000.00,144.30,-19.36
1291.55,138.10,-17.08
1668.10,132.70,-15.11
2154.43,128.02,-13.36
2782.56,124.26,-11.75
3593.81,120.95,-10.38
4641.59,118.33,-9.23
5994.84,116.10,-8.28
7742.64,114.11,-7.52
10000.00,112.43,-7.06
12915.50,110.61,-6.65
16681.01,108.72,-6.37
21544.35,106.97,-6.14
27825.59,104.60,-6.00
35938.14,102.81,-5.65
46415.89,100.56,-5.46
59948.43,98.41,-5.01
77426.37,96.20,-4.27
100000.00,94.39,-3.44


Well: A1 - 80,000 HCMVEC
Spectrum: Run.73 measured at 24/07/2020 4:01:11 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14464.38,-75.46
1.29,11652.93,-75.36
1.67,9286.28,-74.82
2.15,7506.55,-74.80
2.78,6004.25,-74.45
3.59,4834.79,-74.25
4.64,3985.32,-73.95
5.99,3207.11,-73.49
7.74,2584.06,-72.98
10.00,2077.78,-72.13
12.92,1670.48,-71.38
16.68,1351.21,-70.09
21.54,1092.58,-68.73
27.83,886.80,-67.08
35.94,722.33,-65.02
46.42,591.64,-62.63
59.95,488.14,-59.82
77.43,407.18,-56.50
100.00,342.86,-52.74
129.15,293.98,-48.56
166.81,255.87,-44.30
215.44,226.41,-39.83
278.26,204.05,-35.52
359.38,185.66,-31.76
464.16,171.75,-28.07
599.48,160.84,-24.76
774.26,151.99,-21.88
1000.00,144.42,-19.37
1291.55,137.99,-17.05
1668.10,132.69,-15.15
2154.43,128.02,-13.36
2782.56,124.18,-11.77
3593.81,120.86,-10.39
4641.59,118.26,-9.19
5994.84,116.08,-8.29
7742.64,114.00,-7.54
10000.00,112.38,-7.06
12915.50,110.61,-6.65
16681.01,108.74,-6.41
21544.35,106.88,-6.15
27825.59,104.59,-6.01
35938.14,102.69,-5.73
46415.89,100.40,-5.61
59948.43,98.19,-5.04
77426.37,96.15,-4.29
100000.00,94.20,-3.51


Well: A1 - 80,000 HCMVEC
Spectrum: Run.77 measured at 24/07/2020 5:17:20 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14524.61,-75.37
1.29,11712.19,-74.96
1.67,9317.13,-75.12
2.15,7540.41,-74.77
2.78,6025.65,-74.70
3.59,4842.20,-74.26
4.64,3993.76,-74.09
5.99,3213.42,-73.67
7.74,2581.67,-72.93
10.00,2080.43,-72.26
12.92,1675.91,-71.33
16.68,1353.81,-70.18
21.54,1095.79,-68.67
27.83,887.79,-67.04
35.94,723.36,-65.07
46.42,592.66,-62.67
59.95,489.09,-59.82
77.43,408.04,-56.55
100.00,343.43,-52.77
129.15,294.18,-48.65
166.81,256.07,-44.36
215.44,226.73,-39.88
278.26,204.10,-35.56
359.38,186.04,-31.78
