area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020
E06000015,0.625,0.613,0.596,0.580,0.558,0.531,0.511,0.490,0.467,0.444,0.421,0.393,0.360,0.324,0.281,0.232,0.189,0.165,0.139,0.109,0.074,0.036,0.014,0.000
E06000016,0.657,0.643,0.624,0.608,0.589,0.564,0.541,0.517,0.491,0.461,0.433,0.403,0.366,0.329,0.293,0.255,0.221,0.195,0.165,0.131,0.092,0.048,0.020,0.000
E06000017,0.658,0.648,0.633,0.618,0.598,0.572,0.546,0.524,0.501,0.478,0.454,0.421,0.375,0.322,0.270,0.216,0.172,0.146,0.121,0.093,0.058,0.028,0.013,0.000
E06000018,0.689,0.680,0.666,0.653,0.636,0.612,0.591,0.573,0.553,0.529,0.506,0.475,0.426,0.374,0.324,0.271,0.225,0.197,0.169,0.139,0.101,0.053,0.022,0.000
E06000019,0.619,0.608,0.589,0.568,0.544,0.518,0.498,0.478,0.458,0.437,0.416,0.390,0.358,0.319,0.269,0.218,0.178,0.155,0.133,0.108,0.074,0.038,0.016,0.000
E06000020,0.646,0.633,0.615,0.598,0.575,0.545,0.520,0.497,0.476,0.453,0.430,0.406,0.379,0.344,0.295,0.240,0.197,0.170,0.142,0.111,0.076,0.037,0.014,0.000
E06000021,0.604,0.598,0.584,0.572,0.553,0.525,0.500,0.475,0.452,0.428,0.405,0.380,0.350,0.310,0.265,0.216,0.175,0.152,0.127,0.099,0.069,0.035,0.015,0.000
E06000022,0.600,0.589,0.573,0.558,0.539,0.516,0.495,0.478,0.461,0.440,0.421,0.395,0.351,0.302,0.261,0.220,0.185,0.163,0.143,0.118,0.085,0.053,0.031,0.000
E06000023,0.668,0.657,0.640,0.626,0.608,0.585,0.564,0.543,0.520,0.494,0.469,0.439,0.402,0.361,0.317,0.274,0.235,0.207,0.177,0.142,0.097,0.049,0.020,0.000
E06000024,0.630,0.617,0.598,0.582,0.557,0.527,0.502,0.477,0.451,0.424,0.398,0.366,0.328,0.291,0.252,0.209,0.172,0.150,0.129,0.101,0.070,0.035,0.013,0.000
E06000025,0.561,0.548,0.531,0.516,0.495,0.470,0.448,0.427,0.410,0.396,0.384,0.364,0.334,0.295,0.249,0.204,0.169,0.148,0.126,0.101,0.072,0.038,0.014,0.000
E06000026,0.626,0.612,0.592,0.575,0.556,0.532,0.511,0.493,0.474,0.452,0.430,0.401,0.365,0.333,0.302,0.255,0.209,0.182,0.153,0.121,0.082,0.042,0.018,0.000
E06000027,0.677,0.664,0.645,0.627,0.605,0.576,0.553,0.532,0.514,0.494,0.475,0.446,0.406,0.358,0.304,0.249,0.206,0.181,0.154,0.119,0.077,0.038,0.015,0.000
E06000030,0.650,0.638,0.621,0.608,0.590,0.566,0.545,0.523,0.500,0.473,0.448,0.417,0.375,0.325,0.275,0.226,0.187,0.162,0.135,0.107,0.072,0.036,0.016,0.000
E06000031,0.685,0.675,0.660,0.645,0.625,0.600,0.578,0.557,0.534,0.505,0.475,0.442,0.405,0.367,0.326,0.278,0.232,0.203,0.170,0.134,0.095,0.049,0.020,0.000
E06000032,0.634,0.621,0.602,0.588,0.571,0.547,0.525,0.505,0.484,0.463,0.442,0.414,0.380,0.345,0.307,0.264,0.226,0.198,0.165,0.128,0.088,0.048,0.023,0.000
E06000033,0.656,0.642,0.621,0.604,0.582,0.554,0.530,0.510,0.489,0.465,0.441,0.410,0.372,0.328,0.273,0.218,0.174,0.149,0.126,0.096,0.061,0.030,0.012,0.000
E06000034,0.651,0.640,0.623,0.609,0.592,0.568,0.544,0.519,0.491,0.464,0.440,0.411,0.379,0.347,0.307,0.256,0.213,0.187,0.158,0.124,0.083,0.042,0.019,0.000
E06000035,0.624,0.614,0.597,0.582,0.563,0.538,0.516,0.495,0.475,0.454,0.432,0.403,0.367,0.325,0.279,0.229,0.188,0.165,0.138,0.107,0.075,0.043,0.024,0.000
E06000036,0.649,0.635,0.615,0.599,0.582,0.561,0.540,0.518,0.495,0.469,0.446,0.417,0.378,0.329,0.271,0.214,0.168,0.142,0.118,0.093,0.063,0.031,0.012,0.000
E06000037,0.623,0.610,0.592,0.576,0.557,0.531,0.506,0.481,0.456,0.430,0.407,0.377,0.340,0.299,0.252,0.204,0.165,0.142,0.119,0.093,0.063,0.031,0.012,0.000
E06000038,0.693,0.683,0.666,0.653,0.639,0.620,0.601,0.578,0.554,0.528,0.501,0.469,0.431,0.389,0.343,0.290,0.241,0.211,0.182,0.145,0.100,0.051,0.020,0.000
E06000039,0.693,0.683,0.669,0.657,0.641,0.619,0.596,0.573,0.549,0.524,0.497,0.462,0.420,0.372,0.319,0.263,0.217,0.190,0.163,0.128,0.087,0.044,0.018,0.000
E06000040,0.607,0.596,0.579,0.564,0.544,0.517,0.493,0.472,0.448,0.421,0.397,0.369,0.335,0.305,0.273,0.228,0.187,0.160,0.135,0.105,0.072,0.037,0.015,0.000
E06000041,0.577,0.562,0.543,0.528,0.512,0.493,0.474,0.453,0.429,0.402,0.378,0.349,0.314,0.280,0.245,0.209,0.177,0.155,0.134,0.109,0.077,0.040,0.018,0.000
E06000042,0.696,0.684,0.667,0.652,0.635,0.613,0.590,0.566,0.543,0.519,0.496,0.465,0.426,0.390,0.350,0.290,0.232,0.200,0.169,0.135,0.093,0.048,0.022,0.000
E06000043,0.732,0.721,0.704,0.689,0.670,0.647,0.627,0.607,0.586,0.561,0.536,0.500,0.452,0.403,0.352,0.289,0.234,0.203,0.178,0.140,0.091,0.048,0.021,0.000
E06000044,0.671,0.660,0.644,0.630,0.613,0.591,0.570,0.550,0.530,0.512,0.495,0.469,0.432,0.382,0.326,0.270,0.225,0.198,0.169,0.132,0.087,0.043,0.019,0.000
E06000045,0.693,0.683,0.667,0.655,0.640,0.616,0.592,0.567,0.541,0.514,0.484,0.448,0.406,0.364,0.319,0.267,0.222,0.195,0.167,0.131,0.089,0.046,0.019,0.000
E06000046,0.660,0.648,0.630,0.612,0.590,0.562,0.534,0.506,0.479,0.449,0.419,0.385,0.349,0.309,0.263,0.215,0.178,0.156,0.134,0.103,0.064,0.031,0.013,0.000
E06000047,0.595,0.583,0.565,0.548,0.528,0.502,0.478,0.454,0.431,0.407,0.383,0.355,0.320,0.277,0.232,0.189,0.154,0.134,0.113,0.091,0.065,0.034,0.014,0.000
E06000049,0.584,0.572,0.553,0.536,0.516,0.490,0.467,0.445,0.424,0.400,0.377,0.349,0.314,0.273,0.232,0.197,0.167,0.146,0.123,0.097,0.066,0.034,0.014,0.000
E06000050,0.574,0.561,0.542,0.525,0.506,0.480,0.456,0.434,0.414,0.392,0.371,0.347,0.316,0.287,0.258,0.218,0.177,0.150,0.125,0.098,0.067,0.033,0.013,0.000
E06000051,0.607,0.595,0.577,0.558,0.536,0.510,0.489,0.468,0.447,0.425,0.405,0.381,0.354,0.322,0.276,0.222,0.182,0.159,0.136,0.107,0.070,0.034,0.014,0.000
E06000052,0.649,0.638,0.619,0.598,0.575,0.548,0.527,0.507,0.487,0.464,0.442,0.414,0.381,0.344,0.300,0.243,0.195,0.168,0.143,0.114,0.079,0.042,0.018,0.000
E06000053,0.581,0.574,0.563,0.552,0.532,0.499,0.466,0.434,0.403,0.369,0.338,0.309,0.280,0.250,0.222,0.192,0.160,0.132,0.106,0.083,0.055,0.025,0.008,0.000
E06000054,0.618,0.606,0.587,0.570,0.549,0.521,0.496,0.475,0.453,0.429,0.406,0.381,0.354,0.330,0.300,0.251,0.203,0.173,0.145,0.115,0.079,0.042,0.019,0.000
E06000055,0.657,0.645,0.628,0.614,0.596,0.572,0.550,0.528,0.506,0.483,0.460,0.433,0.399,0.365,0.327,0.275,0.226,0.190,0.155,0.117,0.075,0.039,0.021,0.000
E06000056,0.627,0.614,0.595,0.579,0.558,0.529,0.503,0.477,0.451,0.424,0.400,0.371,0.339,0.306,0.271,0.234,0.201,0.177,0.149,0.118,0.080,0.040,0.017,0.000
E06000057,0.594,0.581,0.563,0.544,0.520,0.491,0.465,0.442,0.419,0.396,0.374,0.349,0.322,0.293,0.258,0.208,0.162,0.136,0.114,0.090,0.062,0.033,0.014,0.000
E06000058,0.688,0.677,0.659,0.643,0.623,0.599,0.578,0.558,0.536,0.511,0.486,0.456,0.418,0.376,0.327,0.267,0.215,0.186,0.159,0.122,0.076,0.038,0.016,0.000
E06000059,0.626,0.613,0.593,0.573,0.549,0.519,0.493,0.467,0.439,0.411,0.385,0.356,0.321,0.282,0.238,0.194,0.159,0.138,0.117,0.092,0.061,0.029,0.011,0.000
E06000060,0.617,0.605,0.587,0.570,0.551,0.525,0.501,0.480,0.459,0.435,0.411,0.382,0.348,0.313,0.271,0.218,0.173,0.148,0.125,0.098,0.065,0.032,0.014,0.000
E07000008,0.690,0.679,0.665,0.652,0.636,0.615,0.598,0.581,0.562,0.539,0.517,0.489,0.451,0.406,0.355,0.300,0.252,0.222,0.194,0.156,0.109,0.061,0.029,0.000
E07000009,0.673,0.663,0.647,0.630,0.610,0.583,0.555,0.528,0.499,0.470,0.444,0.414,0.380,0.338,0.284,0.231,0.192,0.168,0.145,0.111,0.071,0.038,0.018,0.000
E07000010,0.665,0.653,0.635,0.618,0.599,0.578,0.552,0.525,0.506,0.489,0.468,0.431,0.374,0.317,0.267,0.216,0.175,0.151,0.126,0.099,0.067,0.036,0.016,0.000
E07000011,0.626,0.614,0.595,0.578,0.557,0.529,0.504,0.481,0.456,0.430,0.404,0.374,0.341,0.307,0.269,0.225,0.187,0.163,0.140,0.112,0.078,0.041,0.018,0.000
E07000012,0.686,0.677,0.664,0.651,0.634,0.613,0.591,0.570,0.548,0.522,0.500,0.476,0.447,0.418,0.386,0.347,0.312,0.291,0.275,0.194,0.086,0.036,0.015,0.000
E07000026,0.630,0.621,0.605,0.590,0.573,0.553,0.537,0.522,0.505,0.488,0.471,0.451,0.427,0.403,0.377,0.338,0.303,0.284,0.262,0.236,0.197,0.114,0.039,0.000
E07000027,0.566,0.554,0.535,0.518,0.496,0.468,0.444,0.421,0.394,0.365,0.340,0.312,0.281,0.254,0.229,0.192,0.154,0.129,0.105,0.082,0.058,0.031,0.015,0.000
E07000028,0.610,0.598,0.581,0.565,0.543,0.513,0.487,0.465,0.443,0.419,0.396,0.370,0.340,0.302,0.260,0.212,0.172,0.151,0.133,0.111,0.077,0.040,0.017,0.000
E07000029,0.559,0.548,0.531,0.515,0.494,0.466,0.441,0.418,0.396,0.374,0.351,0.324,0.288,0.250,0.215,0.179,0.149,0.131,0.113,0.091,0.063,0.032,0.013,0.000
E07000030,0.589,0.580,0.564,0.544,0.519,0.491,0.470,0.454,0.440,0.424,0.404,0.380,0.350,0.321,0.287,0.234,0.184,0.156,0.133,0.107,0.073,0.038,0.017,0.000
E07000031,0.592,0.580,0.561,0.541,0.515,0.485,0.460,0.438,0.418,0.397,0.376,0.351,0.321,0.292,0.260,0.212,0.165,0.139,0.119,0.095,0.063,0.033,0.015,0.000
E07000032,0.574,0.562,0.545,0.528,0.507,0.479,0.456,0.435,0.415,0.396,0.378,0.356,0.330,0.304,0.274,0.224,0.177,0.154,0.134,0.112,0.081,0.043,0.018,0.000
E07000033,0.613,0.603,0.587,0.572,0.548,0.516,0.489,0.464,0.440,0.412,0.385,0.357,0.330,0.301,0.264,0.218,0.178,0.155,0.131,0.105,0.074,0.038,0.015,0.000
E07000034,0.579,0.568,0.551,0.535,0.513,0.483,0.456,0.429,0.404,0.379,0.356,0.331,0.299,0.260,0.215,0.173,0.139,0.119,0.101,0.080,0.055,0.028,0.012,0.000
E07000035,0.567,0.557,0.539,0.519,0.498,0.474,0.454,0.436,0.417,0.395,0.373,0.346,0.314,0.272,0.219,0.168,0.132,0.111,0.095,0.077,0.054,0.031,0.016,0.000
E07000036,0.571,0.559,0.541,0.526,0.504,0.476,0.453,0.430,0.408,0.386,0.364,0.340,0.311,0.278,0.239,0.191,0.149,0.126,0.105,0.082,0.055,0.027,0.011,0.000
E07000037,0.599,0.586,0.567,0.549,0.530,0.506,0.482,0.461,0.439,0.416,0.394,0.369,0.339,0.308,0.269,0.222,0.182,0.159,0.138,0.103,0.063,0.031,0.012,0.000
E07000038,0.533,0.520,0.502,0.486,0.465,0.436,0.412,0.389,0.367,0.344,0.322,0.298,0.271,0.240,0.206,0.171,0.142,0.123,0.104,0.083,0.058,0.030,0.011,0.000
E07000039,0.636,0.625,0.609,0.594,0.572,0.540,0.508,0.476,0.446,0.417,0.393,0.368,0.341,0.310,0.271,0.227,0.190,0.168,0.145,0.115,0.077,0.039,0.018,0.000
E07000040,0.644,0.631,0.610,0.590,0.568,0.540,0.515,0.492,0.470,0.447,0.424,0.395,0.360,0.329,0.295,0.245,0.198,0.168,0.139,0.105,0.065,0.030,0.012,0.000
E07000041,0.668,0.656,0.639,0.626,0.611,0.592,0.574,0.556,0.537,0.517,0.496,0.468,0.430,0.385,0.336,0.287,0.246,0.220,0.194,0.160,0.114,0.063,0.028,0.000
E07000042,0.622,0.611,0.591,0.571,0.548,0.521,0.499,0.478,0.458,0.436,0.413,0.384,0.351,0.319,0.284,0.244,0.209,0.186,0.159,0.126,0.087,0.044,0.017,0.000
E07000043,0.650,0.638,0.619,0.599,0.577,0.552,0.529,0.508,0.487,0.463,0.440,0.409,0.371,0.328,0.276,0.221,0.178,0.153,0.130,0.102,0.067,0.033,0.013,0.000
E07000044,0.614,0.602,0.581,0.564,0.552,0.525,0.489,0.461,0.436,0.412,0.389,0.360,0.325,0.283,0.235,0.189,0.152,0.130,0.112,0.091,0.062,0.032,0.013,0.000
E07000045,0.637,0.624,0.602,0.579,0.553,0.525,0.503,0.483,0.464,0.444,0.424,0.397,0.361,0.318,0.271,0.223,0.184,0.160,0.136,0.107,0.070,0.034,0.014,0.000
E07000046,0.656,0.645,0.625,0.603,0.579,0.551,0.526,0.503,0.480,0.454,0.426,0.391,0.349,0.303,0.256,0.214,0.180,0.156,0.132,0.106,0.073,0.038,0.016,0.000
E07000047,0.620,0.609,0.589,0.568,0.542,0.512,0.486,0.463,0.441,0.417,0.394,0.365,0.332,0.289,0.240,0.194,0.159,0.137,0.116,0.092,0.062,0.030,0.012,0.000
E07000061,0.709,0.697,0.678,0.659,0.636,0.608,0.584,0.559,0.533,0.505,0.478,0.443,0.399,0.345,0.284,0.224,0.178,0.151,0.128,0.095,0.058,0.028,0.011,0.000
E07000062,0.699,0.687,0.669,0.653,0.631,0.604,0.580,0.557,0.530,0.501,0.473,0.437,0.396,0.352,0.300,0.244,0.200,0.173,0.145,0.109,0.068,0.032,0.012,0.000
E07000063,0.634,0.620,0.600,0.584,0.565,0.540,0.519,0.499,0.477,0.452,0.427,0.396,0.356,0.315,0.274,0.223,0.179,0.156,0.134,0.107,0.072,0.037,0.016,0.000
E07000064,0.669,0.658,0.639,0.621,0.601,0.576,0.553,0.528,0.504,0.476,0.450,0.420,0.382,0.337,0.281,0.224,0.179,0.150,0.128,0.100,0.064,0.032,0.014,0.000
E07000065,0.623,0.609,0.590,0.572,0.548,0.519,0.494,0.472,0.450,0.426,0.403,0.376,0.341,0.297,0.243,0.192,0.154,0.131,0.111,0.087,0.058,0.029,0.012,0.000
E07000066,0.609,0.596,0.577,0.561,0.538,0.509,0.484,0.459,0.435,0.411,0.387,0.361,0.329,0.296,0.253,0.203,0.166,0.144,0.121,0.096,0.067,0.035,0.014,0.000
E07000067,0.559,0.544,0.523,0.503,0.479,0.450,0.421,0.391,0.361,0.329,0.300,0.267,0.228,0.193,0.160,0.130,0.105,0.088,0.069,0.049,0.032,0.016,0.007,0.000
E07000068,0.597,0.586,0.569,0.554,0.539,0.517,0.495,0.473,0.449,0.421,0.394,0.364,0.331,0.297,0.255,0.205,0.165,0.141,0.120,0.095,0.065,0.033,0.014,0.000
E07000069,0.544,0.531,0.511,0.495,0.469,0.435,0.407,0.382,0.360,0.337,0.314,0.289,0.261,0.235,0.204,0.173,0.151,0.136,0.116,0.090,0.062,0.032,0.012,0.000
E07000070,0.598,0.585,0.567,0.551,0.531,0.506,0.484,0.463,0.441,0.417,0.395,0.367,0.334,0.305,0.275,0.229,0.184,0.159,0.133,0.106,0.076,0.041,0.018,0.000
E07000071,0.646,0.634,0.618,0.602,0.585,0.563,0.541,0.521,0.500,0.478,0.455,0.426,0.392,0.355,0.311,0.259,0.214,0.189,0.162,0.128,0.090,0.048,0.021,0.000
E07000072,0.582,0.568,0.548,0.530,0.510,0.485,0.462,0.441,0.421,0.399,0.378,0.350,0.312,0.276,0.240,0.195,0.155,0.131,0.108,0.084,0.059,0.032,0.015,0.000
E07000073,0.606,0.597,0.582,0.568,0.550,0.525,0.502,0.477,0.453,0.428,0.405,0.377,0.344,0.308,0.268,0.225,0.188,0.164,0.137,0.108,0.077,0.041,0.018,0.000
E07000074,0.604,0.592,0.572,0.555,0.536,0.511,0.487,0.464,0.438,0.409,0.384,0.356,0.324,0.286,0.239,0.196,0.163,0.143,0.122,0.096,0.064,0.031,0.013,0.000
E07000075,0.559,0.546,0.528,0.512,0.493,0.468,0.445,0.423,0.402,0.379,0.358,0.333,0.301,0.265,0.224,0.180,0.146,0.127,0.109,0.086,0.058,0.030,0.014,0.000
E07000076,0.648,0.634,0.614,0.597,0.587,0.557,0.517,0.487,0.461,0.435,0.410,0.380,0.343,0.301,0.256,0.212,0.176,0.154,0.131,0.100,0.065,0.031,0.013,0.000
E07000077,0.651,0.641,0.626,0.612,0.596,0.575,0.554,0.533,0.511,0.487,0.462,0.432,0.394,0.351,0.299,0.235,0.182,0.152,0.130,0.101,0.061,0.028,0.012,0.000
E07000078,0.652,0.640,0.623,0.609,0.595,0.574,0.553,0.531,0.509,0.484,0.462,0.433,0.395,0.351,0.301,0.248,0.204,0.177,0.152,0.121,0.079,0.040,0.020,0.000
E07000079,0.647,0.637,0.620,0.601,0.580,0.555,0.532,0.510,0.489,0.471,0.456,0.432,0.397,0.353,0.296,0.239,0.197,0.172,0.148,0.116,0.072,0.035,0.016,0.000
E07000080,0.583,0.571,0.553,0.536,0.513,0.485,0.462,0.443,0.423,0.404,0.390,0.370,0.343,0.304,0.253,0.202,0.163,0.141,0.120,0.094,0.061,0.028,0.011,0.000
E07000081,0.648,0.636,0.618,0.603,0.584,0.558,0.532,0.508,0.485,0.461,0.437,0.407,0.371,0.334,0.294,0.237,0.184,0.156,0.128,0.097,0.062,0.029,0.011,0.000
E07000082,0.615,0.602,0.583,0.565,0.545,0.521,0.496,0.473,0.453,0.435,0.419,0.398,0.369,0.325,0.268,0.215,0.175,0.150,0.127,0.099,0.064,0.030,0.011,0.000
E07000083,0.627,0.616,0.600,0.584,0.563,0.537,0.515,0.495,0.474,0.452,0.431,0.404,0.365,0.323,0.281,0.236,0.200,0.175,0.151,0.121,0.082,0.042,0.018,0.000
E07000084,0.625,0.613,0.595,0.578,0.559,0.537,0.518,0.500,0.482,0.462,0.443,0.417,0.380,0.337,0.285,0.228,0.181,0.154,0.129,0.101,0.069,0.034,0.013,0.000
E07000085,0.602,0.589,0.570,0.554,0.532,0.502,0.476,0.452,0.429,0.405,0.381,0.354,0.323,0.291,0.253,0.210,0.173,0.148,0.123,0.093,0.057,0.025,0.010,0.000
E07000086,0.616,0.605,0.588,0.574,0.558,0.532,0.504,0.476,0.448,0.417,0.385,0.351,0.315,0.278,0.236,0.191,0.153,0.132,0.113,0.088,0.057,0.027,0.011,0.000
E07000087,0.577,0.563,0.544,0.528,0.508,0.479,0.454,0.433,0.409,0.385,0.367,0.345,0.314,0.276,0.230,0.184,0.147,0.126,0.105,0.082,0.055,0.026,0.010,0.000
E07000088,0.651,0.638,0.618,0.601,0.583,0.561,0.540,0.518,0.494,0.467,0.442,0.411,0.374,0.328,0.278,0.233,0.197,0.173,0.144,0.111,0.074,0.038,0.017,0.000
E07000089,0.615,0.603,0.584,0.566,0.543,0.515,0.487,0.459,0.433,0.408,0.386,0.361,0.328,0.288,0.242,0.195,0.159,0.138,0.116,0.092,0.062,0.030,0.011,0.000
E07000090,0.582,0.568,0.548,0.532,0.513,0.488,0.464,0.444,0.423,0.400,0.379,0.355,0.325,0.289,0.247,0.198,0.158,0.135,0.112,0.085,0.055,0.026,0.010,0.000
E07000091,0.588,0.575,0.554,0.536,0.517,0.495,0.475,0.455,0.437,0.418,0.399,0.373,0.334,0.283,0.226,0.175,0.137,0.116,0.098,0.076,0.050,0.024,0.009,0.000
E07000092,0.669,0.656,0.638,0.624,0.604,0.580,0.559,0.533,0.499,0.464,0.436,0.404,0.363,0.317,0.267,0.218,0.179,0.155,0.131,0.101,0.068,0.035,0.015,0.000
E07000093,0.604,0.592,0.574,0.558,0.539,0.516,0.490,0.462,0.435,0.412,0.394,0.375,0.348,0.319,0.284,0.236,0.191,0.164,0.139,0.111,0.077,0.041,0.019,0.000
E07000094,0.649,0.639,0.623,0.607,0.590,0.567,0.542,0.515,0.487,0.454,0.423,0.385,0.344,0.303,0.258,0.209,0.171,0.149,0.130,0.105,0.071,0.036,0.015,0.000
E07000095,0.609,0.598,0.582,0.565,0.544,0.518,0.493,0.468,0.443,0.418,0.392,0.360,0.323,0.289,0.248,0.190,0.136,0.105,0.081,0.060,0.040,0.020,0.008,0.000
E07000096,0.615,0.602,0.583,0.568,0.550,0.526,0.505,0.483,0.460,0.433,0.409,0.381,0.348,0.317,0.284,0.231,0.179,0.150,0.127,0.100,0.070,0.037,0.017,0.000
E07000098,0.611,0.598,0.578,0.563,0.544,0.518,0.493,0.467,0.442,0.414,0.386,0.355,0.319,0.286,0.250,0.211,0.178,0.154,0.127,0.097,0.066,0.034,0.015,0.000
E07000099,0.616,0.604,0.586,0.569,0.549,0.523,0.500,0.478,0.456,0.432,0.408,0.380,0.345,0.303,0.253,0.203,0.165,0.142,0.120,0.096,0.068,0.035,0.015,0.000
E07000102,0.605,0.594,0.576,0.560,0.537,0.509,0.484,0.457,0.428,0.397,0.368,0.338,0.304,0.265,0.223,0.182,0.149,0.128,0.106,0.081,0.054,0.027,0.011,0.000
E07000103,0.638,0.626,0.610,0.595,0.577,0.552,0.528,0.503,0.480,0.454,0.429,0.397,0.360,0.322,0.279,0.232,0.189,0.160,0.134,0.104,0.072,0.038,0.016,0.000
E07000105,0.659,0.648,0.632,0.615,0.596,0.574,0.553,0.532,0.509,0.485,0.460,0.423,0.370,0.317,0.269,0.221,0.185,0.162,0.138,0.109,0.074,0.037,0.016,0.000
E07000106,0.657,0.644,0.626,0.610,0.592,0.568,0.545,0.525,0.504,0.480,0.456,0.423,0.377,0.328,0.280,0.231,0.189,0.165,0.142,0.115,0.082,0.043,0.017,0.000
E07000107,0.647,0.636,0.621,0.608,0.592,0.568,0.544,0.520,0.497,0.470,0.444,0.415,0.383,0.343,0.296,0.246,0.203,0.177,0.149,0.114,0.074,0.036,0.015,0.000
E07000108,0.621,0.608,0.588,0.572,0.551,0.521,0.493,0.470,0.448,0.426,0.404,0.375,0.337,0.298,0.260,0.215,0.178,0.155,0.131,0.102,0.067,0.035,0.017,0.000
E07000109,0.585,0.572,0.554,0.539,0.520,0.494,0.472,0.451,0.432,0.413,0.394,0.369,0.339,0.313,0.283,0.238,0.194,0.168,0.142,0.110,0.073,0.037,0.016,0.000
E07000110,0.632,0.620,0.603,0.588,0.572,0.552,0.533,0.514,0.495,0.474,0.453,0.422,0.381,0.330,0.278,0.234,0.200,0.179,0.156,0.122,0.080,0.043,0.022,0.000
E07000111,0.587,0.574,0.555,0.538,0.517,0.491,0.468,0.447,0.426,0.402,0.380,0.352,0.319,0.287,0.253,0.206,0.162,0.139,0.118,0.091,0.059,0.029,0.013,0.000
E07000112,0.654,0.641,0.623,0.606,0.585,0.560,0.537,0.515,0.491,0.463,0.437,0.404,0.364,0.331,0.298,0.244,0.190,0.161,0.133,0.099,0.061,0.031,0.013,0.000
E07000113,0.625,0.613,0.595,0.579,0.559,0.535,0.511,0.487,0.458,0.427,0.399,0.367,0.326,0.285,0.246,0.204,0.170,0.147,0.121,0.091,0.058,0.028,0.012,0.000
E07000114,0.677,0.663,0.643,0.627,0.607,0.583,0.560,0.538,0.515,0.491,0.468,0.440,0.394,0.341,0.291,0.238,0.194,0.168,0.140,0.105,0.067,0.034,0.015,0.000
E07000115,0.613,0.600,0.583,0.567,0.549,0.525,0.504,0.482,0.459,0.433,0.409,0.380,0.347,0.316,0.281,0.231,0.184,0.157,0.133,0.104,0.067,0.032,0.013,0.000
E07000116,0.648,0.631,0.612,0.596,0.577,0.554,0.533,0.513,0.491,0.465,0.440,0.408,0.369,0.327,0.280,0.231,0.191,0.166,0.141,0.111,0.079,0.045,0.021,0.000
