"id","sire","dam","sex","gen","birth","exit","age","ancestry","origin","status"
"9747LE",NA,NA,"F",0,1991-06-23,1999-11-17,8.4,"JAPANESE","","DECEASED"
"MCETJ8",NA,NA,"M",0,1991-06-01,1992-08-08,1.2,"JAPANESE","","SHIPPED"
"9Q766V",NA,NA,"M",0,1991-05-07,1995-06-08,4.1,"JAPANESE","","DECEASED"
"4YHBRW",NA,NA,"U",0,1992-06-04,1992-06-16,0,"JAPANESE","","DECEASED"
"IZPCZZ",NA,NA,"M",0,1992-04-27,1992-07-30,0.3,"JAPANESE","","DECEASED"
"8TBUP5",NA,NA,"M",0,1992-05-19,1994-08-01,2.2,"JAPANESE","","SHIPPED"
"BKB6NF",NA,NA,"F",0,1992-05-01,1992-12-17,0.6,"JAPANESE","","DECEASED"
"BPE9NT",NA,NA,"M",0,1992-06-02,1995-05-12,2.9,"JAPANESE","","DECEASED"
"PW7W9T",NA,NA,"M",0,1992-04-30,1995-10-13,3.5,"JAPANESE","","SHIPPED"
"RMJKJ4",NA,NA,"F",0,1992-05-06,2002-06-19,10.1,"JAPANESE","","DECEASED"
"F240HZ",NA,NA,"M",0,1992-05-27,1995-05-27,3,"JAPANESE","","DECEASED"
"8TS6VW",NA,NA,"F",0,1993-03-25,1993-04-06,0,"JAPANESE","","DECEASED"
"Y6NNRB",NA,NA,"U",0,1993-04-28,1993-07-08,0.2,"JAPANESE","","DECEASED"
"AGWJ2R",NA,NA,"F",0,1993-07-06,1993-07-06,0,"JAPANESE","","DECEASED"
"TA1CKU",NA,NA,"M",0,1993-07-10,1993-08-19,0.1,"JAPANESE","","DECEASED"
"NBWMEY",NA,NA,"M",0,1993-06-18,1995-05-30,1.9,"JAPANESE","","DECEASED"
"FDXXBI",NA,NA,"M",0,1993-09-06,1995-09-28,2.1,"JAPANESE","","DECEASED"
"WTE53B",NA,NA,"F",0,1993-06-02,NA,26.1,"JAPANESE","","ALIVE"
"SSNP86",NA,NA,"M",0,NA,1980-02-21,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"HHFN1E",NA,NA,"F",0,1993-06-30,2004-08-23,11.1,"JAPANESE","","DECEASED"
"XGGREU",NA,NA,"M",0,1993-08-27,1995-06-07,1.8,"JAPANESE","","DECEASED"
"7PABGY",NA,NA,"M",0,1993-04-12,1995-06-20,2.2,"JAPANESE","","SHIPPED"
"VGPK53",NA,NA,"M",0,1993-05-08,1995-05-25,2,"JAPANESE","","SHIPPED"
"JWIMX8",NA,NA,"M",0,1993-04-21,1995-07-26,2.3,"JAPANESE","","DECEASED"
"HZ95JQ",NA,NA,"F",0,1994-04-12,1994-05-10,0.1,"JAPANESE","","DECEASED"
"0J5JEH",NA,NA,"F",0,1994-05-20,1994-05-20,-0.1,"JAPANESE","","DECEASED"
"8QH2I1",NA,NA,"M",0,1994-07-17,1994-07-22,0,"JAPANESE","","DECEASED"
"WQS9VQ",NA,NA,"U",0,1994-04-01,1994-04-01,0,"JAPANESE","","DECEASED"
"VMB6MK",NA,NA,"M",0,1994-06-15,1994-07-09,0.1,"JAPANESE","","DECEASED"
"WJLVT1",NA,NA,"M",0,1993-10-09,1994-08-30,0.9,"JAPANESE","","DECEASED"
"SBWT9S",NA,NA,"F",0,1994-08-12,1994-08-23,0,"JAPANESE","","DECEASED"
"B6W7HJ",NA,NA,"M",0,1994-06-13,1995-11-01,1.4,"JAPANESE","","SHIPPED"
"APW1RV",NA,NA,"M",0,1994-06-11,1996-01-05,1.6,"JAPANESE","","DECEASED"
"NTYCL3",NA,NA,"M",0,1994-05-15,1996-06-16,2.1,"JAPANESE","","DECEASED"
"CT8DTM",NA,NA,"M",0,1994-06-11,1997-02-17,2.7,"JAPANESE","","DECEASED"
"YCFQ5P",NA,NA,"F",0,1994-05-02,2009-10-10,15.4,"JAPANESE","","DECEASED"
"6CX836",NA,NA,"F",0,1994-05-28,2010-01-05,15.6,"JAPANESE","","DECEASED"
"Y3R9SM",NA,NA,"M",0,1994-08-06,1997-03-08,2.6,"JAPANESE","","DECEASED"
"F0AW25",NA,NA,"M",0,1994-06-11,1994-11-24,0.5,"JAPANESE","","DECEASED"
"8VL35Z",NA,NA,"M",0,1994-04-22,1996-05-24,2.1,"JAPANESE","","DECEASED"
"4PTY84",NA,NA,"M",0,1994-05-31,2000-09-30,6.3,"JAPANESE","","DECEASED"
"TH7HTY",NA,NA,"F",0,1994-05-26,2009-04-22,14.9,"JAPANESE","","DECEASED"
"B0BD97",NA,NA,"F",0,1994-05-05,1995-07-01,1.2,"JAPANESE","","DECEASED"
"KB1NXJ",NA,NA,"M",0,1995-04-27,1995-05-11,0,"JAPANESE","","DECEASED"
"K1GMK0",NA,NA,"M",0,1995-05-20,1995-07-09,0.1,"JAPANESE","","DECEASED"
"KFRNH9",NA,NA,"F",0,1995-06-20,1995-06-20,0,"JAPANESE","","DECEASED"
"DT5M1V",NA,NA,"M",0,1995-06-06,1995-07-01,0.1,"JAPANESE","","DECEASED"
"CUY46M",NA,NA,"M",0,1995-06-21,1995-07-16,0.1,"JAPANESE","","DECEASED"
"3BR2DG",NA,NA,"M",0,1995-06-06,1995-06-06,0,"JAPANESE","","DECEASED"
"3HGLEN",NA,NA,"F",0,1995-06-12,1995-06-12,0,"JAPANESE","","DECEASED"
"493GGJ",NA,NA,"U",0,1995-06-15,1995-07-06,0.1,"JAPANESE","","DECEASED"
"11Q5X6",NA,NA,"F",0,1995-07-15,1995-09-29,0.2,"JAPANESE","","DECEASED"
"Q8667V",NA,NA,"F",0,1995-05-08,1995-08-14,0.3,"JAPANESE","","DECEASED"
"XZH1WD",NA,NA,"M",0,1995-05-17,1995-09-21,0.3,"JAPANESE","","DECEASED"
"H7BDVI",NA,NA,"F",0,1995-06-21,1996-01-30,0.6,"JAPANESE","","DECEASED"
"B2CW2H",NA,NA,"M",0,1995-09-20,2001-06-20,5.7,"JAPANESE","","DECEASED"
"VDBGDP",NA,NA,"M",0,1995-06-01,2010-08-17,15.2,"JAPANESE","","DECEASED"
"NI7QQ2",NA,NA,"U",0,1995-09-07,1995-09-07,0,"JAPANESE","","DECEASED"
"L5E0K4",NA,NA,"U",0,1995-04-12,1995-05-26,0.1,"JAPANESE","","DECEASED"
"VF5TA6",NA,NA,"F",0,NA,1982-05-17,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","SHIPPED"
"PW68MV",NA,NA,"M",0,1996-05-24,1996-05-24,-0.1,"JAPANESE","","DECEASED"
"10JVXT",NA,NA,"U",0,1996-04-28,1996-05-27,0.1,"JAPANESE","","DECEASED"
"ZUUZCM",NA,NA,"M",0,1996-05-23,1999-11-12,3.5,"JAPANESE","","SHIPPED"
"D8XU5I",NA,NA,"M",0,1996-05-12,1999-11-09,3.5,"JAPANESE","","SHIPPED"
"Z5CDUB",NA,NA,"M",0,1997-04-15,1997-05-22,0.1,"JAPANESE","","DECEASED"
"A4LVZ0",NA,NA,"U",0,1997-04-22,1997-04-25,0,"JAPANESE","","DECEASED"
"DPG4MS",NA,NA,"M",0,1997-06-04,1998-06-25,1.1,"JAPANESE","","DECEASED"
"YCLTFI",NA,NA,"M",0,1997-05-04,1997-09-04,0.3,"JAPANESE","","DECEASED"
"M9WMMU",NA,NA,"F",0,1997-09-02,1997-09-02,-0.1,"JAPANESE","","DECEASED"
"9A08HP",NA,NA,"F",0,1997-06-16,1997-09-28,0.3,"JAPANESE","","DECEASED"
"3XE6E3",NA,NA,"F",0,1998-02-02,1998-04-17,0.2,"JAPANESE","","DECEASED"
"KJIIRT",NA,NA,"M",0,1998-05-28,1998-05-28,-0.1,"JAPANESE","","DECEASED"
"Q3DARJ",NA,NA,"M",0,1998-06-15,1998-06-17,0,"JAPANESE","","DECEASED"
"HKX842",NA,NA,"M",0,1998-04-26,1998-08-21,0.3,"JAPANESE","","DECEASED"
"DEZZCQ",NA,NA,"U",0,1998-07-08,1998-10-10,0.3,"JAPANESE","","DECEASED"
"5PWJ0G",NA,NA,"F",0,1998-04-14,NA,21.2,"JAPANESE","","ALIVE"
"ZVYH2K",NA,NA,"M",0,NA,1987-03-01,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"7IFLW9",NA,NA,"F",0,1998-05-18,1998-10-06,0.4,"JAPANESE","","DECEASED"
"Y56F8C",NA,NA,"F",0,1998-04-08,2014-07-27,16.3,"JAPANESE","","DECEASED"
"0ZX29Q",NA,NA,"F",0,1998-06-28,NA,21,"JAPANESE","","ALIVE"
"1RPPRW",NA,NA,"U",0,1998-06-30,1998-11-09,0.4,"JAPANESE","","DECEASED"
"3MJ3E7",NA,NA,"M",0,1999-02-26,1999-04-13,0.1,"JAPANESE","","DECEASED"
"757BLD",NA,NA,"F",0,1999-04-09,1999-04-09,-0.1,"JAPANESE","","DECEASED"
"EC4M69",NA,NA,"M",0,1999-06-02,1999-06-30,0.1,"JAPANESE","","DECEASED"
"ATN2K9",NA,NA,"U",0,1999-06-23,1999-06-30,0,"JAPANESE","","DECEASED"
"HL6YG6",NA,NA,"F",0,1999-05-09,1999-07-20,0.2,"JAPANESE","","DECEASED"
"15FEBR",NA,NA,"M",0,1999-04-17,1999-07-12,0.2,"JAPANESE","","DECEASED"
"2TXZPV",NA,NA,"M",0,1999-05-29,1999-09-22,0.3,"JAPANESE","","DECEASED"
"5JDF5N",NA,NA,"F",0,1999-05-29,2001-06-07,2,"JAPANESE","","DECEASED"
"C3223L",NA,NA,"M",0,1999-05-25,2001-06-19,2.1,"JAPANESE","","DECEASED"
"R850T0",NA,NA,"M",0,1999-05-21,2000-03-03,0.8,"JAPANESE","","DECEASED"
"0SQP8I",NA,NA,"M",0,1999-05-11,2001-06-08,2.1,"JAPANESE","","DECEASED"
"0LHU4M",NA,NA,"F",0,1999-07-28,1999-12-19,0.4,"JAPANESE","","DECEASED"
"986A3D",NA,NA,"M",0,1999-05-13,2000-03-03,0.8,"JAPANESE","","DECEASED"
"D9GR39",NA,NA,"M",0,1999-07-08,2001-07-15,2,"JAPANESE","","DECEASED"
"EE7DQV",NA,NA,"F",0,2000-04-06,2000-04-06,-0.1,"JAPANESE","","DECEASED"
"C0A768",NA,NA,"M",0,2000-06-06,2000-06-10,0,"JAPANESE","","DECEASED"
"G5V5TU",NA,NA,"M",0,2000-07-14,2000-07-18,0,"JAPANESE","","DECEASED"
"FM4L81",NA,NA,"F",0,NA,1974-04-16,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"Z528L9",NA,NA,"M",0,2001-05-01,2001-05-31,0.1,"JAPANESE","","DECEASED"
"VHHDHV",NA,NA,"F",0,2001-06-18,2001-06-18,-0.1,"JAPANESE","","DECEASED"
"A10HCV",NA,NA,"M",0,2001-06-13,2002-10-22,1.4,"JAPANESE","","DECEASED"
"RU11VN",NA,NA,"M",0,2002-02-18,2002-02-18,-0.1,"JAPANESE","","DECEASED"
"18APRC",NA,NA,"M",0,2002-03-24,2002-04-03,0,"JAPANESE","","DECEASED"
"9G91MC",NA,NA,"M",0,NA,1983-10-06,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"2Y7VDA",NA,NA,"F",0,2003-07-31,2003-08-11,0,"JAPANESE","","DECEASED"
"C9IK8M",NA,NA,"M",0,2003-07-20,2003-09-02,0.1,"JAPANESE","","DECEASED"
"TPTUYM",NA,NA,"F",0,2003-03-09,2003-11-06,0.7,"JAPANESE","","DECEASED"
"NF0DLQ",NA,NA,"F",0,2003-04-03,2005-11-05,2.6,"JAPANESE","","DECEASED"
"9R4FAV",NA,NA,"F",0,2004-04-22,2004-06-02,0.1,"JAPANESE","","DECEASED"
"JC5PB5",NA,NA,"F",0,2004-05-22,2004-07-17,0.2,"JAPANESE","","DECEASED"
"02GZ4L",NA,NA,"U",0,2004-07-05,2004-08-15,0.1,"JAPANESE","","DECEASED"
"ZZDSNV",NA,NA,"U",0,2004-07-01,2004-08-20,0.1,"JAPANESE","","DECEASED"
"EXFMU5",NA,NA,"F",0,NA,1982-04-28,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","SHIPPED"
"F1ASM9",NA,NA,"U",0,2004-07-20,2004-09-23,0.2,"JAPANESE","","DECEASED"
"BLHKUT",NA,NA,"U",0,2004-08-25,2004-10-01,0.1,"JAPANESE","","DECEASED"
"EW4L95",NA,NA,"F",0,2004-06-12,2006-02-09,1.7,"JAPANESE","","DECEASED"
"093AB5",NA,NA,"M",0,2004-09-03,2005-01-29,0.4,"JAPANESE","","DECEASED"
"XM4GY6",NA,NA,"F",0,2005-03-30,2005-04-27,0.1,"JAPANESE","","DECEASED"
"EBK34A",NA,NA,"M",0,2005-06-05,2005-06-21,0,"JAPANESE","","DECEASED"
"8FR8EA",NA,NA,"F",0,2005-07-24,2005-07-24,0,"JAPANESE","","DECEASED"
"Z4UJIC",NA,NA,"M",0,2005-06-11,2005-06-12,0,"JAPANESE","","DECEASED"
"EC702Y",NA,NA,"U",0,2005-03-02,2005-03-10,0,"JAPANESE","","DECEASED"
"01WY5E",NA,NA,"M",0,2005-07-07,2005-08-26,0.1,"JAPANESE","","DECEASED"
"NLGE61",NA,NA,"F",0,2005-08-10,2005-10-03,0.1,"JAPANESE","","DECEASED"
"0SPRLB",NA,NA,"M",0,NA,1977-08-08,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"12AM87",NA,NA,"M",0,2006-05-23,2006-05-23,0,"JAPANESE","","DECEASED"
"4V85VF",NA,NA,"M",0,2006-05-26,2007-02-20,0.7,"JAPANESE","","DECEASED"
"BTWLYN",NA,NA,"F",0,NA,1982-05-12,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","SHIPPED"
"5JNITD",NA,NA,"U",0,2007-06-03,2007-06-03,-0.1,"JAPANESE","","DECEASED"
"VEC97H",NA,NA,"F",0,2007-05-24,2007-07-31,0.2,"JAPANESE","","DECEASED"
"LV8WIM",NA,NA,"F",0,2008-05-09,2008-06-07,0.1,"JAPANESE","","DECEASED"
"100PFZ",NA,NA,"M",0,2008-07-01,2008-07-01,0,"JAPANESE","","DECEASED"
"Q3J24E",NA,NA,"F",0,2008-06-08,2008-07-09,0.1,"JAPANESE","","DECEASED"
"IC716S",NA,NA,"F",0,2008-07-03,2008-08-14,0.1,"JAPANESE","","DECEASED"
"08CF4C",NA,NA,"F",0,NA,1966-03-19,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"SJD499",NA,NA,"F",0,2008-03-11,2008-11-27,0.7,"JAPANESE","","DECEASED"
"0M6WB4",NA,NA,"F",0,2009-07-23,2009-07-23,0,"JAPANESE","","DECEASED"
"YJBY17",NA,NA,"M",0,2009-03-30,2009-05-06,0.1,"JAPANESE","","DECEASED"
"IDKQ3J",NA,NA,"F",0,2009-06-16,2009-07-06,0.1,"JAPANESE","","DECEASED"
"I3SU3W",NA,NA,"F",0,2009-06-22,2009-06-22,-0.1,"JAPANESE","","DECEASED"
"CS5JWC",NA,NA,"F",0,2009-07-20,2009-08-14,0.1,"JAPANESE","","DECEASED"
"W69TQ7",NA,NA,"F",0,2009-06-28,2009-06-28,0,"JAPANESE","","DECEASED"
"5C63F4",NA,NA,"F",0,2009-05-10,2009-10-05,0.4,"JAPANESE","","DECEASED"
"R0ZLR7",NA,NA,"F",0,NA,1965-06-28,NA,"JAPANESE","","SHIPPED"
"AUM3I5",NA,NA,"M",0,NA,1985-02-13,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"HWTBFV",NA,NA,"M",0,2010-05-11,2010-06-01,0.1,"JAPANESE","","DECEASED"
"M30ER6",NA,NA,"F",0,2010-07-21,2010-07-21,0,"JAPANESE","","DECEASED"
"A4HWDT",NA,NA,"M",0,2010-05-23,2010-08-17,0.2,"JAPANESE","","DECEASED"
"2KSL1E",NA,NA,"M",0,2011-04-03,2011-04-22,0.1,"JAPANESE","","DECEASED"
"Q204TU",NA,NA,"F",0,2011-04-29,2011-04-29,0,"JAPANESE","","DECEASED"
"GDN0LY",NA,NA,"M",0,NA,1966-09-30,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"5W3X92",NA,NA,"M",0,2012-06-26,2012-06-26,-0.1,"JAPANESE","","DECEASED"
"VVEWCE",NA,NA,"M",0,2012-07-30,2012-08-13,0,"JAPANESE","","DECEASED"
"7RLPEJ",NA,NA,"F",0,2012-08-13,2012-08-13,0,"JAPANESE","","DECEASED"
"40RLGE",NA,NA,"M",0,NA,1968-09-13,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"V7UUEH",NA,NA,"M",0,2013-05-19,2013-05-19,0,"JAPANESE","","DECEASED"
"NCD01L",NA,NA,"F",0,2013-04-24,2013-06-02,0.1,"JAPANESE","","DECEASED"
"GUDU9H",NA,NA,"F",0,2013-07-02,2013-07-10,0,"JAPANESE","","DECEASED"
"YPHZIJ",NA,NA,"F",0,2013-06-08,2013-07-04,0.1,"JAPANESE","","DECEASED"
"V1H5HL",NA,NA,"M",0,2013-07-29,2013-07-29,0,"JAPANESE","","DECEASED"
"CLGRHI",NA,NA,"M",0,2013-08-26,2013-08-28,0,"JAPANESE","","DECEASED"
"ASUZAZ",NA,NA,"M",0,2013-05-08,2013-08-23,0.3,"JAPANESE","","DECEASED"
"Z8Q2X9",NA,NA,"F",0,2013-07-24,2013-07-24,-0.1,"JAPANESE","","DECEASED"
"ETUF6V",NA,NA,"U",0,2013-07-12,2013-08-22,0.1,"JAPANESE","","DECEASED"
"8GRDXR",NA,NA,"F",0,NA,1966-03-22,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"9AWTC3",NA,NA,"F",0,2014-07-23,2014-07-27,0,"JAPANESE","","DECEASED"
"1QBKW9",NA,NA,"M",0,2014-06-30,NA,5,"JAPANESE","","ALIVE"
"RKQMGF",NA,NA,"U",0,2014-08-22,2014-09-12,0.1,"JAPANESE","","DECEASED"
"EWX5XV",NA,NA,"M",0,NA,1969-05-26,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"PBRGIF",NA,NA,"M",0,NA,1981-01-02,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"ESNTV0",NA,NA,"M",0,NA,1977-07-20,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"B267C6",NA,NA,"M",0,NA,1989-03-12,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"QF30SN",NA,NA,"M",0,NA,1982-04-20,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","SHIPPED"
"XN5RG3",NA,NA,"M",0,NA,1969-07-30,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"489C6D",NA,NA,"M",0,1976-07-28,1976-11-16,0.3,"JAPANESE","","SHIPPED"
"V6L8GF",NA,NA,"F",0,NA,1965-07-04,NA,"JAPANESE","","SHIPPED"
"77EUZ7",NA,NA,"M",0,NA,1968-06-22,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"Y3CJ5A",NA,NA,"M",0,2012-01-15,NA,7.4,"JAPANESE","","ALIVE"
"DGE0LV",NA,NA,"M",0,1977-03-31,1977-03-31,0,"JAPANESE","","DECEASED"
"JU35B4",NA,NA,"F",0,NA,1981-03-07,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"NSMEH6",NA,NA,"F",0,NA,1992-01-06,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"RGQ8WZ",NA,NA,"M",0,NA,1982-03-31,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","SHIPPED"
"8SG2BX",NA,NA,"M",0,NA,1968-01-07,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"VE6WXY",NA,NA,"F",0,NA,1986-11-28,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"9G1M77",NA,NA,"F",0,NA,1974-10-03,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"9HS6C2",NA,NA,"F",0,NA,1965-05-20,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"079ZJK",NA,NA,"F",0,NA,1975-01-16,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"VXTG4H",NA,NA,"F",0,NA,1979-11-27,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"P0F3LH",NA,NA,"M",0,NA,1980-10-07,NA,"JAPANESE","","DECEASED"
"KKYQP2",NA,NA,"F",0,NA,1978-09-23,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"SK0UDE",NA,NA,"M",0,NA,1980-09-25,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"5D0XXP",NA,NA,"F",0,NA,1987-10-04,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"B2I259",NA,NA,"M",0,NA,1982-05-11,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","SHIPPED"
"N7C6N9",NA,NA,"F",0,NA,1982-05-15,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","SHIPPED"
"2WMICB",NA,NA,"M",0,NA,1975-11-04,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"9XF3PS",NA,NA,"M",0,NA,1975-03-03,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"FLXGB5",NA,NA,"F",0,NA,1967-12-03,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"SDBN6F",NA,NA,"M",0,NA,1988-03-05,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"JZNCW3",NA,NA,"M",0,NA,1967-12-17,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"RZMNIB",NA,NA,"F",0,NA,1976-11-27,NA,"JAPANESE","","SHIPPED"
"FJL8ZR",NA,NA,"F",0,NA,1982-12-24,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"NU5H65",NA,NA,"F",0,NA,1987-08-29,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"ZUPBXP",NA,NA,"M",0,NA,1971-07-13,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"W57X0M",NA,NA,"M",0,1981-05-05,1982-04-17,1,"JAPANESE","","SHIPPED"
"X2BZB4",NA,NA,"F",0,NA,1978-10-25,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"IBQQQD",NA,NA,"M",0,1981-04-01,1982-04-23,1.1,"JAPANESE","","SHIPPED"
"88GL9Z",NA,NA,"M",0,1981-03-24,1982-04-25,1.1,"JAPANESE","","SHIPPED"
"BXPVRF",NA,NA,"M",0,NA,1976-10-31,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","SHIPPED"
"B7BMJM",NA,NA,"F",0,1981-04-20,1982-05-26,1.1,"JAPANESE","","SHIPPED"
"L219W7",NA,NA,"F",0,NA,1990-11-05,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"PKLXCD",NA,NA,"U",0,1981-05-16,1982-03-29,0.9,"JAPANESE","","SHIPPED"
"M07IM7",NA,NA,"M",0,NA,1982-06-06,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"8C4DFM",NA,NA,"F",0,1981-06-01,1982-04-20,0.9,"JAPANESE","","SHIPPED"
"PSIK51",NA,NA,"M",0,NA,1966-10-15,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"DXXRLM",NA,NA,"U",0,1981-06-05,1982-03-30,0.8,"JAPANESE","","SHIPPED"
"N5Z0XZ",NA,NA,"U",0,1981-06-06,1981-06-09,0,"JAPANESE","","DECEASED"
"VKC95C",NA,NA,"F",0,1981-06-08,1982-04-06,0.8,"JAPANESE","","SHIPPED"
"N43TAY",NA,NA,"M",0,NA,1977-02-22,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"V205HB",NA,NA,"M",0,1981-06-29,1982-05-26,0.9,"JAPANESE","","SHIPPED"
"L71BK6",NA,NA,"F",0,1981-07-28,1982-05-13,0.8,"JAPANESE","","SHIPPED"
"YGAWEQ",NA,NA,"F",0,1981-08-03,1982-04-02,0.7,"JAPANESE","","SHIPPED"
"GYCUTE",NA,NA,"F",0,NA,1968-06-27,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
"4Z1FJ6",NA,NA,"F",0,NA,1997-09-21,NA,"JAPANESE","JAPAN MONKEY CENTER PRIMATE ZOO","DECEASED"
