"id","species","geographic.origin","sex","status","birth","death","dam","dam.type","sire","sire.type","from.center","departure"
"AIDXM","JAPANESE MACAQUE","Japan","m","Dead",1979-04-22,1989-08-10,"73RDE","Observed",,,"Yes",
"FSTI7","JAPANESE MACAQUE","Japan","m","Dead",1979-05-01,1979-06-13,"25RJN","Observed",,,"Yes",
"FSLYI","JAPANESE MACAQUE","Japan","f","Shipped",1979-05-29,,"M1G68","Observed",,,"Yes",1982-04-26
"NQ9YQ","JAPANESE MACAQUE","Japan","f","Dead",1979-05-11,1979-06-04,"DJS3B","Observed",,,"Yes",
"M17R5","JAPANESE MACAQUE","Japan","f","Dead",1979-04-26,1989-08-17,"QKSJN","Observed",,,"Yes",
"C3CAL","JAPANESE MACAQUE","Japan","f","Dead",1979-05-17,1989-02-09,"MYFHE","Observed",,,"Yes",
"JJGCR","JAPANESE MACAQUE","Japan","m","Dead",1979-06-03,1979-06-05,"2DAEJ","Observed",,,"Yes",
"QJAG5","JAPANESE MACAQUE","Japan","f","Shipped",1979-06-15,,"XV8B7","Observed",,,"Yes",1982-04-02
"T12YD","JAPANESE MACAQUE","Japan","m","Shipped",1979-05-06,,"5SQU6","Observed",,,"Yes",1982-05-06
"XMNQG","JAPANESE MACAQUE","Japan","f","Shipped",1979-06-05,,"SXF6U","Observed",,,"Yes",1995-09-19
"5F8QQ","JAPANESE MACAQUE","Japan","m","Shipped",1979-05-15,,"FVWKU","Observed",,,"Yes",1982-04-15
"FMMU9","JAPANESE MACAQUE","Japan","f","Dead",1979-05-24,1992-12-06,"1IAGX","Observed",,,"Yes",
"1L8EJ","JAPANESE MACAQUE","Japan","f","Shipped",1979-06-03,,"2DDY8","Observed",,,"Yes",1982-04-07
"1NAEP","JAPANESE MACAQUE","Japan","f","Dead",1979-05-31,1989-08-16,"YE505","Observed",,,"Yes",
"LAEBG","JAPANESE MACAQUE","Japan","m","Shipped",1979-06-02,,"5DHHH","Observed",,,"Yes",1983-03-22
"6HDRZ","JAPANESE MACAQUE","Japan","m","Dead",1979-05-28,1995-10-17,"1M66M","Observed",,,"Yes",
"7LHA2","JAPANESE MACAQUE","Japan","m","Shipped",1979-07-07,,"9AZEB","Observed",,,"Yes",1982-05-17
"XLHKR","JAPANESE MACAQUE","Japan","f","Dead",1979-05-27,1986-03-30,"6GVCL","Observed",,,"Yes",
"12LEM","JAPANESE MACAQUE","Japan","f","Shipped",1979-06-06,,"CPLCY","Observed",,,"Yes",1982-04-14
"291X5","JAPANESE MACAQUE","Japan","m","Shipped",1979-05-19,,"DUG3L","Observed",,,"Yes",1982-04-11
"55I35","JAPANESE MACAQUE","Japan","u","Dead",1979-05-28,1979-05-21,"GHTM5","Observed",,,"Yes",
"F2CLY","JAPANESE MACAQUE","Japan","f","Dead",1979-05-19,1986-05-26,"X5EI2","Observed",,,"Yes",
"A0R9P","JAPANESE MACAQUE","Japan","f","Shipped",1979-07-04,,"A1UND","Observed",,,"Yes",1982-04-11
"5TLY7","JAPANESE MACAQUE","Japan","f","Shipped",1979-05-27,,"07NXN","Observed",,,"Yes",1982-04-19
"KKI6Z","JAPANESE MACAQUE","Japan","m","Shipped",1979-06-08,,"7G9I7","Observed",,,"Yes",1982-05-21
"0W9BR","JAPANESE MACAQUE","Japan","f","Dead",1979-07-14,2002-03-13,"FJNS8","Observed",,,"Yes",
"I86LQ","JAPANESE MACAQUE","Japan","f","Dead",1979-07-02,1994-10-27,"N3GZZ","Observed",,,"Yes",
"G85EU","JAPANESE MACAQUE","Japan","m","Dead",1979-06-19,1986-03-07,"0DZYA","Observed",,,"Yes",
"1TW9T","JAPANESE MACAQUE","Japan","u","Dead",1979-07-16,1979-06-19,"28GC1","Observed",,,"Yes",
"Z8HWA","JAPANESE MACAQUE","Japan","f","Shipped",1979-06-24,,"1N20C","Observed",,,"Yes",1982-04-10
"YMHUE","JAPANESE MACAQUE","Japan","f","Shipped",1979-07-09,,"ZFGGX","Observed",,,"Yes",1982-05-15
"B5A2K","JAPANESE MACAQUE","Japan","f","Shipped",1980-02-15,,"G9TQJ","Observed",,,"Yes",1982-03-28
"2G6XH","JAPANESE MACAQUE","Japan","f","Shipped",1980-02-20,,"VFQ7J","Observed",,,"Yes",1982-04-02
"F26SU","JAPANESE MACAQUE","Japan","u","Dead",1980-03-15,1980-02-20,"9XAFJ","Observed",,,"Yes",
"4YTPC","JAPANESE MACAQUE","Japan","m","Dead",1980-04-16,1982-12-09,"N6QS9","Observed",,,"Yes",
"ZBUHF","JAPANESE MACAQUE","Japan","m","Dead",1980-04-03,1983-01-22,"7BRH5","Observed",,,"Yes",
"E03DZ","JAPANESE MACAQUE","Japan","f","Dead",1980-03-09,1984-12-08,"GU5SR","Observed",,,"Yes",
"QICVK","JAPANESE MACAQUE","Japan","f","Shipped",1980-03-03,,"P5VYB","Observed",,,"Yes",1982-05-12
"N7GS1","JAPANESE MACAQUE","Japan","f","Dead",1980-03-03,1994-12-28,"FHEQH","Observed",,,"Yes",
"1CT3M","JAPANESE MACAQUE","Japan","f","Shipped",1980-04-29,,"23Q2D","Observed",,,"Yes",1982-05-14
"33RKY","JAPANESE MACAQUE","Japan","f","Shipped",1980-04-17,,"VFQ7J","Observed",,,"Yes",1982-04-06
"LPW7K","JAPANESE MACAQUE","Japan","f","Dead",1980-04-29,1986-04-01,"XQ2AG","Observed",,,"Yes",
"QZ1RR","JAPANESE MACAQUE","Japan","m","Dead",1980-04-10,1985-08-31,"JAJUX","Observed",,,"Yes",
"QJVE0","JAPANESE MACAQUE","Japan","m","Dead",1980-04-06,1986-11-17,"F5HF0","Observed",,,"Yes",
"P2J4R","JAPANESE MACAQUE","Japan","m","Shipped",1980-03-15,,"99FF7","Observed",,,"Yes",1982-05-01
"DFVS6","JAPANESE MACAQUE","Japan","m","Shipped",1980-03-20,,"2P8JT","Observed",,,"Yes",1982-05-17
"1DPSK","JAPANESE MACAQUE","Japan","m","Shipped",1980-03-31,,"XX1W4","Observed",,,"Yes",1982-04-21
"MDR9Y","JAPANESE MACAQUE","Japan","f","Dead",1980-03-22,1991-09-22,"7LK65","Observed",,,"Yes",
"RLN8Z","JAPANESE MACAQUE","Japan","f","Dead",1980-03-19,1980-07-05,"44DCV","Observed",,,"Yes",
"XRGSK","JAPANESE MACAQUE","Japan","f","Shipped",1980-05-09,,"4WR71","Observed",,,"Yes",1982-04-10
"LCQ54","JAPANESE MACAQUE","Japan","f","Dead",1980-04-24,1980-04-07,"B3UEZ","Observed",,,"Yes",
"7FMIC","JAPANESE MACAQUE","Japan","f","Shipped",1980-04-02,,"ZKJRX","Observed",,,"Yes",1995-09-29
"BCMDX","JAPANESE MACAQUE","Japan","m","Dead",1980-05-23,1980-05-30,"F0UBK","Observed",,,"Yes",
"268Q5","JAPANESE MACAQUE","Japan","f","Dead",1980-05-31,1987-12-23,"TD6MM","Observed",,,"Yes",
"48IGD","JAPANESE MACAQUE","Japan","m","Shipped",1980-06-02,,"8DT2W","Observed",,,"Yes",1982-04-10
"2JMJ3","JAPANESE MACAQUE","Japan","m","Shipped",1980-06-01,,"MKT12","Observed",,,"Yes",1982-04-14
"A72AX","JAPANESE MACAQUE","Japan","f","Dead",1980-04-11,1987-05-29,"28GC1","Observed",,,"Yes",
"CNRI7","JAPANESE MACAQUE","Japan","m","Dead",1980-05-25,1986-03-12,"2DAEJ","Observed",,,"Yes",
"42WV3","JAPANESE MACAQUE","Japan","f","Shipped",1980-05-06,,"M7GKA","Observed",,,"Yes",1982-04-07
"RIG5B","JAPANESE MACAQUE","Japan","m","Shipped",1980-05-30,,"WEZ5M","Observed",,,"Yes",1982-04-10
"09YCM","JAPANESE MACAQUE","Japan","m","Dead",1980-04-24,1985-09-06,"NMI6S","Observed",,,"Yes",
"E7ZHD","JAPANESE MACAQUE","Japan","m","Dead",1980-04-26,1982-04-01,"MS6ER","Observed",,,"Yes",
"2BQ73","JAPANESE MACAQUE","Japan","f","Shipped",1980-04-17,,"72YRW","Observed",,,"Yes",1982-04-11
"TD2RN","JAPANESE MACAQUE","Japan","f","Shipped",1980-05-08,,"25RJN","Observed",,,"Yes",1982-04-17
"D47W3","JAPANESE MACAQUE","Japan","f","Dead",1980-06-05,1985-03-08,"TLRRT","Observed",,,"Yes",
"W0MSV","JAPANESE MACAQUE","Japan","m","Dead",1980-05-31,1986-07-22,"FJNS8","Observed",,,"Yes",
"56EB6","JAPANESE MACAQUE","Japan","m","Dead",1980-06-09,1987-10-15,"GHTM5","Observed",,,"Yes",
"XQLC7","JAPANESE MACAQUE","Japan","f","Dead",1980-04-25,1989-07-03,"1M66M","Observed",,,"Yes",
"3TC58","JAPANESE MACAQUE","Japan","f","Dead",1980-06-11,1982-12-13,"TWS4H","Observed",,,"Yes",
"LK6DP","JAPANESE MACAQUE","Japan","m","Shipped",1980-05-13,,"DJS3B","Observed",,,"Yes",1982-04-16
"Z0GYH","JAPANESE MACAQUE","Japan","f","Dead",1980-05-01,1994-11-21,"XJ51I","Observed",,,"Yes",
"07RIN","JAPANESE MACAQUE","Japan","f","Shipped",1980-06-07,,"WYHLZ","Observed",,,"Yes",1982-04-26
"XATU3","JAPANESE MACAQUE","Japan","f","Shipped",1980-05-28,,"RND4U","Observed",,,"Yes",1982-04-07
"7IM3M","JAPANESE MACAQUE","Japan","f","Dead",1980-06-10,1986-12-16,"5GXUA","Observed",,,"Yes",
"WLPH8","JAPANESE MACAQUE","Japan","u","Dead",1980-06-08,1980-06-15,"866JB","Observed",,,"Yes",
"RDRQD","JAPANESE MACAQUE","Japan","m","Dead",1980-04-23,1993-10-28,"DQKUA","Observed",,,"Yes",
"B7URR","JAPANESE MACAQUE","Japan","m","Dead",1980-05-15,1980-06-16,"HFXSW","Observed",,,"Yes",
"CVBIS","JAPANESE MACAQUE","Japan","f","Shipped",1980-05-14,,"7RM1A","Observed",,,"Yes",1982-05-24
"J7VBR","JAPANESE MACAQUE","Japan","m","Dead",1980-06-25,1986-09-01,"DCLNW","Observed",,,"Yes",
"DRXSQ","JAPANESE MACAQUE","Japan","m","Dead",1980-06-09,1982-12-18,"TWGP6","Observed",,,"Yes",
"691A0","JAPANESE MACAQUE","Japan","f","Dead",1980-06-25,1994-10-02,"0DZYA","Observed",,,"Yes",
"FVSIX","JAPANESE MACAQUE","Japan","m","Dead",1980-05-15,1980-05-28,"QLRK8","Observed",,,"Yes",
"IXUIB","JAPANESE MACAQUE","Japan","f","Dead",1980-05-31,1986-10-26,"PJIQJ","Observed",,,"Yes",
"SY0J9","JAPANESE MACAQUE","Japan","f","Dead",1980-06-19,1985-05-28,"YDCIC","Observed",,,"Yes",
"NHV6Y","JAPANESE MACAQUE","Japan","m","Dead",1980-06-12,1986-07-06,"MYFHE","Observed",,,"Yes",
"651YS","JAPANESE MACAQUE","Japan","m","Dead",1980-07-01,1980-06-15,"FFX8B","Observed",,,"Yes",
"96WCJ","JAPANESE MACAQUE","Japan","m","Dead",1980-06-30,1983-11-15,"FAE4W","Observed",,,"Yes",
"IRMN1","JAPANESE MACAQUE","Japan","m","Shipped",1980-06-21,,"07NXN","Observed",,,"Yes",1982-04-26
"Q272Z","JAPANESE MACAQUE","Japan","m","Dead",1980-07-15,1980-06-14,"4UGC4","Observed",,,"Yes",
"N5JJZ","JAPANESE MACAQUE","Japan","f","Dead",1980-07-01,1997-02-05,"A4ZSH","Observed",,,"Yes",
"W8Y3P","JAPANESE MACAQUE","Japan","f","Dead",1980-06-12,1989-03-08,"DH7FS","Observed",,,"Yes",
"GSTXF","JAPANESE MACAQUE","Japan","m","Dead",1980-08-10,1986-06-21,"9DV4Z","Observed",,,"Yes",
"LM8LP","JAPANESE MACAQUE","Japan","f","Shipped",1980-08-15,,"KJWR8","Observed",,,"Yes",1982-04-03
"RS9GL","JAPANESE MACAQUE","Japan","f","Dead",1980-08-16,1980-07-19,"VFPD2","Observed",,,"Yes",
"5EVR0","JAPANESE MACAQUE","Japan","m","Shipped",1981-03-29,,"9W2BY","Observed",,,"Yes",1982-05-04
"ZC1GT","JAPANESE MACAQUE","Japan","m","Shipped",1981-02-21,,"55S8U","Observed",,,"Yes",1982-03-28
"YXL5V","JAPANESE MACAQUE","Japan","f","Dead",1981-06-26,1986-12-20,"JUB6J","Observed",,,"Yes",
"NHZ9I","JAPANESE MACAQUE","Japan","f","Shipped",1981-04-16,,"9XAFJ","Observed",,,"Yes",1982-04-10
"WCZQN","JAPANESE MACAQUE","Japan","m","Dead",1981-04-28,1984-10-17,"Q82AF","Observed",,,"Yes",
"EERG7","JAPANESE MACAQUE","Japan","m","Dead",1981-04-03,1986-08-14,"AW2U9","Observed",,,"Yes",
"B2GPN","JAPANESE MACAQUE","Japan","m","Dead",1981-03-03,1981-04-18,"9AZEB","Observed",,,"Yes",
"C4R83","JAPANESE MACAQUE","Japan","f","Shipped",1981-07-26,,"GU5SR","Observed",,,"Yes",1995-10-11
"P86TQ","JAPANESE MACAQUE","Japan","m","Shipped",1981-04-23,,"CPLCY","Observed",,,"Yes",1982-04-22
"V2JLC","JAPANESE MACAQUE","Japan","m","Shipped",1981-04-12,,,,,,"Yes",1982-05-17
"YR5HD","JAPANESE MACAQUE","Japan","f","Dead",1981-06-13,2008-04-09,"N6QS9","Genetic",,,"Yes",
"3DZWP","JAPANESE MACAQUE","Japan","f","Shipped",1981-03-24,,"QLRK8","Observed",,,"Yes",1982-05-18
"6CNUF","JAPANESE MACAQUE","Japan","f","Dead",1981-03-23,1981-06-25,"5F3AK","Observed",,,"Yes",
"SHV8E","JAPANESE MACAQUE","Japan","m","Dead",1981-03-17,1981-04-17,"9KM0C","Observed",,,"Yes",
"MU6R7","JAPANESE MACAQUE","Japan","m","Shipped",1981-05-05,,"73RDE","Observed",,,"Yes",1995-10-08
"EE0TR","JAPANESE MACAQUE","Japan","m","Dead",1981-03-12,1994-04-22,"1N20C","Observed",,,"Yes",
"B2I0N","JAPANESE MACAQUE","Japan","m","Dead",1981-04-12,1987-09-21,"B9U7M","Observed",,,"Yes",
"J7Z6G","JAPANESE MACAQUE","Japan","m","Shipped",1981-05-05,,"5DHHH","Observed",,,"Yes",1982-05-21
"XDSXY","JAPANESE MACAQUE","Japan","f","Dead",1981-04-07,1990-10-16,"1IAGX","Observed",,,"Yes",
"LG9JZ","JAPANESE MACAQUE","Japan","m","Shipped",1981-04-27,,"X5EI2","Observed",,,"Yes",1982-05-24
"FFJHV","JAPANESE MACAQUE","Japan","f","Dead",1981-04-09,1987-07-05,"XDCHL","Observed",,,"Yes",
"L3KQE","JAPANESE MACAQUE","Japan","f","Dead",1981-05-28,1986-08-05,"TWS4H","Observed",,,"Yes",
"8EQ08","JAPANESE MACAQUE","Japan","m","Shipped",1981-04-06,,,,,,"Yes",1982-03-31
"AMM9L","JAPANESE MACAQUE","Japan","m","Shipped",1981-04-15,,,,,,"Yes",1982-05-05
"YB1RJ","JAPANESE MACAQUE","Japan","u","Dead",1981-04-15,1981-05-08,"HXAA7","Observed",,,"Yes",
"ZG3GH","JAPANESE MACAQUE","Japan","m","Dead",1981-04-10,1986-01-22,"6GVCL","Observed",,,"Yes",
"FDRM0","JAPANESE MACAQUE","Japan","f","Shipped",1981-05-17,,,,,,"Yes",1982-04-28
"6UPWN","JAPANESE MACAQUE","Japan","m","Shipped",1981-05-09,,"HFXSW","Observed",,,"Yes",1982-04-20
"VU6R7","JAPANESE MACAQUE","Japan","f","Dead",1981-05-26,1981-09-02,"G9TQJ","Observed",,,"Yes",
"8M95V","JAPANESE MACAQUE","Japan","f","Shipped",1981-04-13,,"2DDY8","Observed",,,"Yes",1982-05-23
"AZYPL","JAPANESE MACAQUE","Japan","f","Dead",1981-06-03,2000-01-23,"JAJUX","Observed",,,"Yes",
"TVC26","JAPANESE MACAQUE","Japan","f","Dead",1981-05-12,1999-05-20,"F5HF0","Observed",,,"Yes",
"FK3ZU","JAPANESE MACAQUE","Japan","m","Dead",1981-07-30,1997-10-05,"NMI6S","Observed",,,"Yes",
"2RCSW","JAPANESE MACAQUE","Japan","f","Dead",1981-05-11,1993-11-29,"N3GZZ","Observed",,,"Yes",
"1BBV8","JAPANESE MACAQUE","Japan","m","Shipped",1981-05-15,,"5SQU6","Observed",,,"Yes",1982-05-22
"LRP5D","JAPANESE MACAQUE","Japan","m","Dead",1981-04-13,1986-04-20,"SXF6U","Observed",,,"Yes",
"XATET","JAPANESE MACAQUE","Japan","u","Dead",1981-05-27,1981-05-03,"5GXUA","Observed",,,"Yes",
"1VREZ","JAPANESE MACAQUE","Japan","f","Shipped",1981-04-13,,"MKT12","Observed",,,"Yes",1982-05-16
"J1YAW","JAPANESE MACAQUE","Japan","u","Dead",1981-04-15,1981-06-05,"F0UBK","Observed",,,"Yes",
"BNS8U","JAPANESE MACAQUE","Japan","u","Shipped",1981-05-07,,,,,,"Yes",1982-04-27
"EKGEP","JAPANESE MACAQUE","Japan","m","Shipped",1981-06-01,,"A1UND","Observed",,,"Yes",1982-05-11
"3BF52","JAPANESE MACAQUE","Japan","u","Shipped",1981-05-17,,"VFPD2","Observed",,,"Yes",1982-04-18
"CPWZ6","JAPANESE MACAQUE","Japan","f","Dead",1981-06-10,1981-06-15,"KE430","Observed",,,"Yes",
"TM62W","JAPANESE MACAQUE","Japan","m","Shipped",1981-05-24,,"VFQ7J","Observed",,,"Yes",1982-04-22
"18ZE9","JAPANESE MACAQUE","Japan","f","Dead",1981-04-27,1986-05-17,"MYFHE","Observed",,,"Yes",
"7S061","JAPANESE MACAQUE","Japan","m","Shipped",1981-05-02,,"WCLNP","Observed",,,"Yes",1982-04-07
"JLDAR","JAPANESE MACAQUE","Japan","f","Shipped",1981-05-22,,"ZFGGX","Observed",,,"Yes",1982-05-11
"SG5YD","JAPANESE MACAQUE","Japan","f","Dead",1981-03-09,1986-07-02,"866JB","Observed",,,"Yes",
"6C2WZ","JAPANESE MACAQUE","Japan","u","Dead",1981-05-04,1981-06-30,"0DZYA","Observed",,,"Yes",
"TD5KY","JAPANESE MACAQUE","Japan","m","Shipped",1981-06-09,,"7RM1A","Observed",,,"Yes",1982-05-03
"RXCW3","JAPANESE MACAQUE","Japan","f","Dead",1981-05-21,1985-09-18,"RND4U","Observed",,,"Yes",
"IUPSA","JAPANESE MACAQUE","Japan","f","Shipped",1981-06-19,,,,,,"Yes",1982-05-13
"QW7LL","JAPANESE MACAQUE","Japan","m","Shipped",1981-05-31,,"RC9NB","Observed",,,"Yes",1982-03-31
"0T56R","JAPANESE MACAQUE","Japan","f","Dead",1981-05-11,1981-07-19,"2P8JT","Observed",,,"Yes",
"PURH5","JAPANESE MACAQUE","Japan","f","Dead",1981-06-03,1981-08-03,"99FF7","Observed",,,"Yes",
"AT0G0","JAPANESE MACAQUE","Japan","u","Shipped",1981-05-29,,,,,,"Yes",1982-04-21
"4BUSR","JAPANESE MACAQUE","Japan","u","Shipped",1981-05-08,,"P5VYB","Observed",,,"Yes",1982-04-13
"BFRF4","JAPANESE MACAQUE","Japan","f","Shipped",1981-05-03,,"WRK1B","Observed",,,"Yes",1982-04-01
"ECS0S","JAPANESE MACAQUE","Japan","f","Dead",1981-05-17,1994-06-13,"4UGC4","Observed",,,"Yes",
"VYAYD","JAPANESE MACAQUE","Japan","m","Dead",1981-05-22,1981-05-14,"YCA6Y","Observed",,,"Yes",
"F1L5M","JAPANESE MACAQUE","Japan","u","Dead",1981-07-02,1981-06-29,,,,,"Yes",
"IT6K3","JAPANESE MACAQUE","Japan","f","Shipped",1981-05-21,,,,,,"Yes",1982-04-13
"6JZ5V","JAPANESE MACAQUE","Japan","m","Shipped",1981-05-18,,"33XER","Observed",,,"Yes",1982-04-17
"ZIZD8","JAPANESE MACAQUE","Japan","f","Dead",1981-04-03,1995-11-17,"7BRH5","Observed",,,"Yes",
"XAAP5","JAPANESE MACAQUE","Japan","f","Shipped",1981-05-18,,"07NXN","Observed",,,"Yes",1982-05-01
"QMS8B","JAPANESE MACAQUE","Japan","m","Dead",1981-06-26,1989-06-27,"3SH4I","Observed",,,"Yes",
"5PU09","JAPANESE MACAQUE","Japan","m","Shipped",1981-06-09,,,,,,"Yes",1982-05-18
"4SG2H","JAPANESE MACAQUE","Japan","f","Shipped",1981-07-10,,,,,,"Yes",1982-05-11
"P7MB7","JAPANESE MACAQUE","Japan","f","Shipped",1981-07-22,,"72YRW","Observed",,,"Yes",1982-04-17
"3PHMX","JAPANESE MACAQUE","Japan","f","Shipped",1981-06-15,,,,,,"Yes",1982-04-18
"JENPE","JAPANESE MACAQUE","Japan","m","Dead",,1980-10-02,,,,,"No",
"KHVP7","JAPANESE MACAQUE","Japan","u","Dead",1981-07-01,1981-08-03,"4WR71","Observed",,,"Yes",
"AJH4E","JAPANESE MACAQUE","Japan","f","Shipped",1981-07-13,,"KV12C","Observed",,,"Yes",1982-04-15
"GXK3E","JAPANESE MACAQUE","Japan","f","Shipped",,,,,,,"No",1976-11-02
"PMCW5","JAPANESE MACAQUE","Japan","f","Shipped",1981-08-07,,"HPLW3","Observed",,,"Yes",1982-04-30
"YFBS0","JAPANESE MACAQUE","Japan","m","Dead",1981-05-19,1985-01-03,"XQ2AG","Observed",,,"Yes",
"ZVL1X","JAPANESE MACAQUE","Japan","u","Dead",1982-02-01,1982-04-12,"28GC1","Observed",,,"Yes",
"C76UU","JAPANESE MACAQUE","Japan","u","Dead",1982-02-05,1982-03-01,"YE505","Observed",,,"Yes",
"9MPV3","JAPANESE MACAQUE","Japan","u","Dead",1982-01-29,1982-02-07,"FJNS8","Observed",,,"Yes",
"7JG8X","JAPANESE MACAQUE","Japan","f","Dead",1982-03-15,1986-07-05,"I9MS7","Observed",,,"Yes",
"15XCL","JAPANESE MACAQUE","Japan","m","Dead",1982-05-12,1991-02-23,"9DV4Z","Observed",,,"Yes",
"YMU1M","JAPANESE MACAQUE","Japan","m","Dead",1982-04-07,1986-08-30,"FHEQH","Observed",,,"Yes",
"GDAJK","JAPANESE MACAQUE","Japan","u","Shipped",1982-04-07,,"DJS3B","Observed",,,"Yes",1982-04-05
"LFURJ","JAPANESE MACAQUE","Japan","m","Dead",1982-03-20,1983-07-18,"PJIQJ","Observed",,,"Yes",
"SV9B3","JAPANESE MACAQUE","Japan","u","Dead",1982-04-18,1982-04-10,"KQIX1","Observed",,,"Yes",
"HRYI5","JAPANESE MACAQUE","Japan","u","Shipped",1982-02-28,,"23Q2D","Observed",,,"Yes",1982-05-25
"IUS7H","JAPANESE MACAQUE","Japan","u","Shipped",1982-03-16,,"MS6ER","Observed",,,"Yes",1982-04-14
"RAF84","JAPANESE MACAQUE","Japan","u","Shipped",1982-03-25,,"WYHLZ","Observed",,,"Yes",1982-04-04
"EZ27I","JAPANESE MACAQUE","Japan","u","Shipped",1982-03-08,,"KJWR8","Observed",,,"Yes",1982-04-16
"Z9805","JAPANESE MACAQUE","Japan","u","Shipped",1982-03-31,,"99FF7","Observed",,,"Yes",1982-04-12
"0TUS1","JAPANESE MACAQUE","Japan","u","Shipped",1982-03-24,,"M7GKA","Observed",,,"Yes",1982-04-16
"8T5S8","JAPANESE MACAQUE","Japan","m","Dead",1982-03-14,1983-12-14,"B3UEZ","Observed",,,"Yes",
"3E5YD","JAPANESE MACAQUE","Japan","f","Dead",1982-03-27,1991-09-26,"5GXUA","Observed",,,"Yes",
"ZA37H","JAPANESE MACAQUE","Japan","f","Dead",1982-05-03,1982-04-18,"F0UBK","Observed",,,"Yes",
"YSQ1Z","JAPANESE MACAQUE","Japan","m","Dead",1982-04-21,1996-08-18,"DQKUA","Observed",,,"Yes",
"70XP6","JAPANESE MACAQUE","Japan","f","Dead",1982-03-15,1982-04-06,"9KM0C","Observed",,,"Yes",
"HT9X6","JAPANESE MACAQUE","Japan","f","Dead",1982-04-26,1994-12-24,"GHTM5","Observed",,,"Yes",
"NGPP4","JAPANESE MACAQUE","Japan","m","Dead",1982-03-15,1993-01-20,"1M66M","Genetic",,"Genetic","Yes",
"ZSVNP","JAPANESE MACAQUE","Japan","u","Shipped",1982-03-26,,"55S8U","Observed",,,"Yes",1982-04-01
"HBQ1F","JAPANESE MACAQUE","Japan","f","Dead",1982-03-05,1983-11-22,"ZKJRX","Observed",,,"Yes",
"FZNRI","JAPANESE MACAQUE","Japan","m","Shipped",1982-03-17,,"XV8B7","Observed",,,"Yes",1983-04-11
"V3IXG","JAPANESE MACAQUE","Japan","f","Dead",1982-05-11,1989-07-27,"TWGP6","Observed",,,"Yes",
