Spot,Clone ID,Accession,CH,POS.start,POS.end,GBM29
11753,IMAGE:51620,H19445,7,49704666,49705002,-0.105946916341719
30472,IMAGE:742792,AA400474,7,49866170,49874116,-0.136889190609567
7786,IMAGE:1700833,AI049730,7,49985934,49986288,0.993734119257982
6236,IMAGE:711680,AA280931,7,50211662,50212003,0.0502260373149129
2280,IMAGE:447171,AA702985,7,50212324,50212768,0.80049768792659
626,IMAGE:1947991,AI352323,7,50253579,50253995,-0.393921201494715
27929,IMAGE:384015,AA702640,7,50267889,50272781,-0.343725924016131
25082,IMAGE:1868563,AI261788,7,50270808,50271257,0.602905690382937
5169,IMAGE:1868563,AI261788,7,50270808,50271257,0.35748168852799
27129,IMAGE:2028959,AI261686,7,50353435,50374792,-0.412016664682793
21838,IMAGE:565379,AA136336,7,50399228,50399929,-0.467471489605939
5520,IMAGE:1632157,AI004928,7,50825657,50826000,0.0420636285040883
38794,IMAGE:434863,AA701242,7,50826500,50826908,-0.454778717589857
34382,IMAGE:813641,AA447744,7,50881455,50881838,0.258735755628128
12930,IMAGE:1893594,AI277138,7,50882184,50882497,0.283615296136728
19844,IMAGE:1658249,AI038604,7,50882628,50945723,0.311822650547421
2404,IMAGE:1896822,AI298021,7,51075556,51075953,0.0876929875527552
40820,IMAGE:857553,AA782308,7,51135860,51136261,0.301947405515405
32698,IMAGE:1055686,AA628218,7,52846028,52846369,0.561615268592633
33873,IMAGE:1635151,AI005026,7,53187229,53187680,0.525295567897195
1539,IMAGE:1914778,AI340216,7,53189983,53190185,0.11008749135655
29379,IMAGE:1914847,AI310135,7,54378795,54379382,0.893868262666173
15320,IMAGE:47626,H11325,7,54380003,54380522,-0.230056328598476
21077,IMAGE:358456,W96106,7,54561703,54568644,-0.366507917063082
39326,IMAGE:137017,R35665,7,54828632,54951813,1.23016526249848
32933,IMAGE:1700809,AI049712,7,54855656,54856032,4.58956308742561
32777,IMAGE:208897,H63763,7,54866868,54867164,1.84059933008931
7583,IMAGE:1655366,AI021972,7,54877915,54879532,4.99120918827612
4067,IMAGE:431894,AA678124,7,54908778,54909267,4.11312906641985
28232,IMAGE:428192,AA001712,7,54994117,54994517,3.28919415139068
4332,IMAGE:669485,AA234715,7,55014906,55015340,5.17358580605054
2823,IMAGE:324861,W48712,7,55015917,55016407,5.06672743202619
40676,IMAGE:241197,H80438,7,55016295,55016549,4.6784581253004
19601,IMAGE:69378,T58652,7,55020246,55020677,4.70058434161949
8316,IMAGE:429647,AA011646,7,55242530,55242798,4.47079352265042
32491,IMAGE:878617,AA775283,7,55280054,55280527,0.0302364731383788
39960,IMAGE:236190,AI820830,7,55300695,55300853,0.181660490443238
36662,IMAGE:299679,N75028,7,55582888,55583051,-0.823411434365351
13556,IMAGE:970795,AA774885,7,55705249,55705653,0.308748023714838
36337,IMAGE:1913855,AI309197,7,55762667,55764703,0.44772177886109
16988,IMAGE:122728,T99031,7,55803179,55803381,0.419833032564713
7077,IMAGE:2504022,AW004731,7,55808959,55809623,0.193058023616239
35011,IMAGE:843195,AA488432,7,55820507,55820975,0.289769487825054
40051,IMAGE:1475730,AA872690,7,55873050,55873431,-0.0858231591568616
17639,IMAGE:768358,AA425001,7,55889364,55889732,0.656411902427026
21907,IMAGE:308788,N93274,7,55892592,55897135,-0.592439577186806
16953,IMAGE:768405,AA495824,7,55910327,55910799,-0.218602953410885
11548,IMAGE:811606,AA454611,7,55911016,55912344,-0.548867894260552
2094,IMAGE:782231,AA431073,7,55913688,55915899,-0.00904538664075862
18763,IMAGE:745472,AA625958,7,56291723,56291880,0.794848694041425
24859,IMAGE:743948,AA634543,7,56406202,56406599,-0.125886747304828
12909,IMAGE:1620381,AA992246,7,56478634,56479005,0.404348971766626
4910,IMAGE:1031741,AA609606,7,56484292,56484526,0.370004883878466
26762,IMAGE:1641214,AI015255,7,56596461,56596883,0.179383281331118
1749,IMAGE:297731,N69908,7,61959646,61959886,-0.0803971982480366
25072,IMAGE:1941778,AI203259,7,62252533,62257824,0.0783558492942568
3416,IMAGE:161510,AI668601,7,62785355,62785849,0.369777193888969
7265,IMAGE:160113,AI668591,7,62785391,62785839,0.285390924041668
8634,IMAGE:160113,AI668591,7,62785391,62785839,0.378452841967352
22973,IMAGE:782307,AA431241,7,62896860,62897372,-0.00131906528538872
5577,IMAGE:303180,N92764,7,63226347,63226755,0.142406855272657
7520,1292887,AA776755,7,63230449,63230993,0.678304186242099
39835,IMAGE:1626106,AI004787,7,63321590,63321986,0.396981945647094
1568,IMAGE:383935,AA702721,7,63374008,63374543,0.783244910899394
1490,IMAGE:253994,N22297,7,63391947,63392498,-0.0277105487229585
12117,IMAGE:594874,AA171626,7,63398354,63416486,1.19334288967551
22015,IMAGE:594874,AA171626,7,63398354,63416486,0.0868040267145513
10933,IMAGE:121182,T96951,7,63558548,63558936,1.29313980402122
32010,IMAGE:1523155,AA909999,7,63563317,63578624,0.463936505157279
1097,IMAGE:703844,AA278839,7,63582684,63583085,-0.282127631586189
26801,IMAGE:1657278,AI038981,7,63585205,63585763,0.189088173878873
41366,IMAGE:429086,AA005196,7,63667636,63668133,0.113304853679024
14249,IMAGE:128795,R10020,7,63705430,63705529,0.166896412539428
2382,IMAGE:1908660,AI301041,7,63736562,63737009,0.394591484934143
19824,IMAGE:1543996,AA922121,7,63765459,63766018,-0.0139662814727347
38507,IMAGE:589861,AA156112,7,63846523,63846886,0.300544962591778
19012,IMAGE:1700163,AI049550,7,63848796,63849237,0.689136545705972
23460,IMAGE:1700163,AI049550,7,63848796,63849237,1.47353699495731
705,IMAGE:210494,H64888,7,63876956,63877341,-0.0955971033733973
4989,IMAGE:731196,AA417354,7,63908995,63909405,0.400477865752577
27568,IMAGE:742708,AA400102,7,64063895,64064296,0.386036632282061
12972,IMAGE:118399,AI820568,7,64080306,64080642,0.274715182806925
34597,IMAGE:1942431,AI206976,7,64198486,64198839,0.023912466969155
31229,IMAGE:68063,AI821000,7,64276942,64277415,0.0740300423988569
35982,IMAGE:79043,AI821043,7,64590638,64591099,0.0901952184713176
38193,IMAGE:79043,AI821043,7,64590638,64591099,0.629646329851504
33614,IMAGE:222527,H84286,7,64627731,64631265,-0.0968503163698
38183,IMAGE:1008432,AA226314,7,64802309,64802703,0.328925598553127
15565,IMAGE:1009266,AA226181,7,64802453,64802817,1.01354854860331
18534,IMAGE:470006,AA029103,7,64832345,64832776,-0.14324576045051
34676,IMAGE:1882370,AI279477,7,64833625,64834084,-0.0800991092890028
39561,IMAGE:365245,AA024449,7,64834828,64835151,0.129418538606858
23605,IMAGE:2273001,AI681896,7,64837286,64841053,-0.309463067236023
41062,IMAGE:276449,N34827,7,64856022,64857014,0.24613140521268
30478,IMAGE:841221,AA486740,7,64966234,64969553,-0.0677313044851232
