"STRM.ID"	"jday"	"lon"	"lat"	"sed"	"elev"	"slope"	"area"	"sed.log"	"temp"	"temp.avg"	"elev.ut"	"sp"
"00014CSR"	181	-124.1011	42.833	5.454545	3.0103	0.8976271	1.819558	0.8098657	NA	NA	1024.0001022367	1.8074061
"00014REM"	234	-122.4879	43.56562	0	3.293141	0.6434527	3.103831	0	13.2	14.72857	1963.99781370213	2.1953682
"00015CSR"	187	-123.7547	45.54567	14.28571	2.40824	0.1875207	3.395208	1.184286	NA	NA	256.00002044734	1.8851247
"00016CSR"	186	-123.517	45.58563	NA	2.835056	0.4601458	2.919642	NA	NA	NA	683.99983979407	1.9199668
"00016REM"	234	-122.7105	43.58841	7.272727	3.286232	0.8055009	3.045335	0.9176487	13.1	14.44286	1933.00064970398	2.3281684
"00017CSR"	186	-123.2988	44.70756	9	2.609594	0.5632569	2.608948	1	13.4	16.5	406.999616493893	1.8677309
"00017REM"	235	-122.677	43.8291	3.636364	3.110253	0.9394194	2.701224	0.6661775	13.7	16.7	1289.00024529778	2.2900314
"00018CSR"	187	-122.797	44.96687	8.571429	2.453318	0.1958997	3.780908	0.9809768	15.3	18.84286	283.999777631711	2.0863537
"00018REM"	233	-122.6924	43.731	5.454545	3.154424	0.04921802	3.939638	0.8098657	NA	NA	1427.0000883396	2.01903702
"00019CSR"	186	-123.193	45.79846	53.7037	2.834421	0.05499586	3.353562	1.738017	11.3	13.5	683.000466010025	1.73177686
"00019REM"	241	-122.303	43.81904	0	3.422754	0.989939	3.2523	0	9.9	11.32857	2647.00035776494	2.616089
"00020CSR"	187	-123.5584	45.30022	9.230769	3.054996	0.4248816	3.243345	1.009908	10.2	11.75714	1135.00036188452	2.0465541
"00020REM"	242	-122.1771	43.71478	72	3.478711	-0.09017663	3.715084	1.863323	NA	NA	3011.00169505098	1.76736537
"00021REM"	240	-122.1356	43.86306	6.666667	3.431525	0.4007106	3.453068	0.8846066	9.4	10.47143	2701.00258605688	2.1272446
"00022REM"	240	-122.2888	43.88823	7.272727	3.320562	0.1238516	4.535909	0.9176487	12.3	14.42857	2092.00154050267	2.3918061
"00025REM"	240	-122.5771	44.85982	12.72727	3.304059	0.6404814	2.968257	1.137584	NA	NA	2013.99783796069	2.1246099
"00026CSR"	191	-123.985	44.08514	21.90476	2.255273	0.2291697	2.704277	1.359926	NA	NA	180.000205117632	1.5813082
"00026REM"	241	-122.5523	44.69756	23.63636	2.970812	0.4393327	4.069514	1.391577	13.4	14.07143	935.000837759571	2.4740897
"00027CSR"	192	-123.8208	43.87563	29.52381	2.565848	-0.05060999	3.385061	1.484639	13.1	17.22857	368.000153647265	1.64192051
"00027REM"	242	-122.3972	44.69876	0	3.278982	0.544068	3.375747	0	12.1	12.17143	1900.99948845498	2.2319415
"00028CSR"	193	-124.1058	44.17071	NA	1.278754	NA	3.581318	NA	NA	NA	19.0000174579693	NA
"00028REM"	240	-121.8353	45.31646	12.72727	3.40671	0.4361626	3.000846	1.137584	7.6	9.214286	2550.99730617587	1.9365856
"00029CSR"	192	-124.1882	42.97443	NA	2.454845	0.3112239	2.303184	NA	NA	NA	285.000091867575	1.4628159
"00029REM"	241	-122.1005	45.41623	0	3.08849	NA	3.627595	0	NA	NA	1225.99867269024	NA
"00030REM"	241	-122.208	44.84536	0	3.31639	0.6994523	3.435861	0	10.7	12.52857	2072.00118761925	2.4173828
"00031CSR"	194	-123.7403	43.09032	17.14286	3.423901	1.14574	1.741317	1.258706	9.1	9.871429	2654.00049787785	2.0163985
"00031REM"	242	-121.9399	44.76983	7.272727	3.394277	0.3600462	3.698825	0.9176487	7.7	9.728571	2479.00270126207	2.2094587
"00032REM"	240	-122.1558	44.74891	5.454545	3.20871	0.5611014	3.486968	0.8098657	11.2	11.68571	1616.99992588289	2.3045854
"00033CSR"	199	-123.3519	45.17308	60	2.713491	0.6354837	1.843678	1.78533	NA	NA	517.000543917931	1.5573227
"00033REM"	250	-121.9338	45.50837	10.81081	3.201943	NA	3.920563	1.07228	8.9	10.02857	1591.99976758761	NA
"00034CSR"	200	-123.5527	45.00054	15.2381	2.998695	0.847881	2.292652	1.210535	NA	NA	996.999636567586	1.994207
"00034REM"	250	-122.0174	45.49424	7.272727	3.021189	NA	4.112115	0.9176487	9.7	10.98571	1049.99927693457	NA
"00035CSR"	201	-123.7577	44.12679	35.2381	2.488551	NA	4.157764	1.559165	17.8	19.65714	308.000201056876	NA
"00035REM"	248	-121.669	45.43375	9.090909	3.55461	1.006466	2.845378	1.00393	8.3	7.171429	3585.99764486833	2.429155
"00036CSR"	199	-123.687	44.19705	10.47619	2.805501	0.3096302	2.385643	1.059798	NA	NA	639.000208698938	1.5024517
"00036REM"	250	-121.8815	45.23283	4	3.370328	0.5751878	3.085555	0.69897	8.5	9.357143	2345.99995797614	2.1179653
"00037CSR"	201	-123.6073	43.93039	30.47619	2.569374	NA	4.613337	1.497982	17.2	20.88571	371.000077212175	NA
"00038CSR"	199	-123.2401	42.07481	2.857143	3.561698	1.298198	1.914248	0.5862657	NA	NA	3645.003922401	2.255322
"00039CSR"	200	-123.2397	42.1018	NA	3.489537	0.8893017	2.972724	NA	NA	NA	3087.0026336721	2.3756637
"00040CSR"	201	-123.4249	42.11138	1.941748	3.45894	0.8353735	3.033525	0.4686054	11.8	14.77143	2877.00091491283	2.352136
"00041CSR"	198	-123.8171	45.62795	5.714286	2.4133	1.187521	1.629376	0.8269998	12.5	10.67143	259.000140694793	2.002209
"00042CSR"	200	-123.4877	45.47423	13.33333	2.945469	0.1172713	3.220076	1.156347	NA	NA	882.000842547914	1.7273093
"00043CSR"	201	-123.5224	45.24599	NA	3.199755	0.7755376	2.777525	NA	NA	NA	1583.99935350446	2.1643001
"00045CSR"	193	-123.8137	44.89135	31.42857	2.920123	-0.04575749	2.778461	1.510928	13.1	13.21429	831.99937490852	1.34347301
"00046CSR"	192	-123.6231	45.22879	NA	3.069298	0.8195439	1.645173	NA	NA	NA	1172.99996727678	1.6421304
"00047CSR"	194	-123.7797	44.75645	57.14286	2.409933	-0.02687215	2.845117	1.764496	13.3	14.52857	256.999927016945	1.39568635
"00048CSR"	191	-122.3862	44.42754	0.952381	3.099681	0.3802112	3.556246	0.2905646	NA	NA	1258.00103958205	2.1583342
"00049CSR"	193	-122.1461	44.02313	0.952381	3.497206	1.351989	1.709773	0.2905646	12.2	15.34286	3141.99869265733	2.2068755
"00050CSR"	192	-122.5841	44.37731	29.33333	3.06032	0.417353	2.096388	1.48192	NA	NA	1148.99992410026	1.465547
"00051CSR"	194	-122.159	44.2321	0.9708738	3.376394	0.7234557	3.19442	0.2946588	NA	NA	2378.99757858742	2.3206657
"00052CSR"	207	-123.8505	44.26118	11.42857	2.531479	0.4265113	2.816998	1.094421	NA	NA	340.000064945877	1.8350103
"00053CSR"	206	-123.5501	44.33821	5.714286	2.720986	0.2355284	3.978736	0.8269998	17.5	17.92857	526.000309870787	2.2248964
"00054CSR"	207	-123.9298	44.58077	NA	1.80618	0.1479853	2.195492	NA	NA	NA	64.0000038338762	1.2457313
"00055CSR"	205	-123.572	42.65526	0	2.888741	0.4183013	3.402614	0	19.6	19.82857	774.000070070986	2.1196083
"00056CSR"	206	-123.7907	42.65824	0.952381	3.41797	0.9115837	2.492964	0.2905646	12.5	12.74286	2618.00215679048	2.1580657
"00057CSR"	207	-123.395	42.78007	11.42857	3.208979	0.3117539	3.185403	1.094421	NA	NA	1618.00179842823	1.9044554
"00058CSR"	205	-122.7807	44.90142	88.57143	2.784617	0.1958997	2.597161	1.95217	16.8	19.44286	608.999589648571	1.4944802
"00059CSR"	206	-122.29	44.85315	2.857143	3.192846	0.3588862	3.920032	0.5862657	NA	NA	1558.9995865032	2.3189022
"00060CSR"	207	-122.5953	44.88165	4.761905	3.22037	0.5118834	3.096656	0.7605661	12.9	14.67143	1661.00140572473	2.0602114
"00061CSR"	208	-122.5941	45.01194	1.904762	2.836324	0.392697	3.883074	0.4631105	14.2	17.8	685.99981723272	2.334234
"00062CSR"	208	-123.9999	43.11054	21.90476	1.934498	NA	3.507868	1.359926	14.9	18.54286	85.9999106437492	NA
"00063CSR"	206	-124.3061	42.80419	NA	2.222716	-0.07831352	4.227405	NA	NA	NA	166.999818828912	2.03538898
"00064CSR"	213	-122.6799	45.16758	60.95238	2.222716	-0.04914854	3.330894	1.792058	19.6	22.91429	166.999818828912	1.61629846
"00065CSR"	214	-123.7863	45.04696	19.04762	2.673942	-0.02687215	3.486226	1.302063	14.1	17.35714	472.000001484501	1.71624085
"00067CSR"	212	-123.6107	43.4563	18.09524	2.531479	0.1003705	3.635081	1.280925	NA	NA	340.000064945877	1.917911
"00069CSR"	212	-122.1031	44.7821	NA	3.543323	1.529063	1.562003	NA	NA	NA	3494.00079931876	2.3100645
"00070CSR"	214	-122.8303	44.41375	30.47619	2.840733	NA	2.489426	1.497982	NA	NA	692.999625632043	NA
"00071CSR"	213	-122.0002	44.56985	11.42857	3.441538	0.2329961	3.997532	1.094421	10.2	15.1	2763.9997536861	2.2317621
"00103CSR"	264	-124.2819	43.02058	18.09524	2.652246	0.4305588	2.45165	1.280925	14.2	14.25714	448.999647450202	1.6563838
"00105CSR"	263	-123.9123	42.17385	NA	3.311754	0.5921768	3.419458	NA	NA	NA	2050.00065585855	2.3019058
"01003CSR"	226	-123.4159	45.29379	29.52381	3.273233	-0.01322827	2.646043	1.484639	14.1	16.71429	1876.00071687603	1.30979323
"01004CSR"	228	-123.6231	45.22879	NA	3.069298	0.8195439	1.645173	NA	NA	NA	1172.99996727678	1.6421304
"01005CSR"	192	-123.6466	45.1914	20	3.006038	NA	2.608751	1.322219	NA	NA	1014.00010507323	NA
"01007CSR"	184	-123.9185	45.33984	30	2.537819	0.7171948	2.347347	1.491362	NA	NA	344.999924474573	1.8908683
"01012CSR"	228	-123.1009	45.94784	8.571429	2.941014	0.3492775	3.296502	0.9809768	12.6	13.54286	872.999510113733	1.9975285
"01013CSR"	275	-123.4513	45.43462	3.809524	3.116608	0.519828	3.573483	0.6821021	9.9	10.41429	1308.00077105163	2.3065695
"01016CSR"	227	-123.8947	44.17962	27.61905	2.715167	0.1903317	2.638562	1.456655	NA	NA	518.99957235636	1.5096127
"01021CSR"	190	-123.9636	44.9892	23.07692	2.460898	1.080626	1.707779	1.381601	10.8	11.81429	289.000104637217	1.9345155
"01023CSR"	227	-123.5068	43.88247	30.47619	2.744293	-0.3187588	4.538954	1.497982	17.3	21.21429	555.000021568118	1.9507182
"01025CSR"	226	-123.8896	43.94707	56.19048	2.825426	-0.04817696	3.028074	1.757324	15.5	18.5	668.999818587005	1.46586004
"01027CSR"	233	-124.2093	42.94164	16.19048	2.506505	0.4653829	2.671346	1.235288	12.3	14.54286	320.999976048594	1.8010559
"01031WSE"	213	-122.2813	44.86329	0	3.382917	1.32894	1.921245	0	NA	NA	2414.99924881307	2.2895625
"01032WSE"	235	-122.8502	43.69977	17.89474	3.008174	0.7659168	3.018852	1.276341	NA	NA	1018.99956825952	2.2753428
"01033WSE"	183	-123.62	45.8592	28.42105	2.776701	0.7867514	1.778974	1.468658	NA	NA	597.999746657968	1.6762384
"01037CSR"	221	-124.0177	43.05014	25.71429	2.359835	0.3138672	2.656075	1.426744	14.1	16.14286	228.999745666184	1.6419047
"01039CSR"	220	-123.9838	42.7606	26.49573	3.333649	-0.09420412	3.909765	1.439265	NA	NA	2156.00120875229	1.86067838
"01040WSE"	214	-122.7967	44.96672	6.666667	2.451786	0.3747483	3.780853	0.8846066	NA	NA	282.99971619876	2.2651748
"01041CSR"	241	-123.955	43.494	26	3.004321	NA	2.168622	1.431364	NA	NA	1009.99913072737	NA
"01041WSE"	249	-123.7186	45.68971	35	2.617	0.5998831	2.076479	1.556303	NA	NA	413.99967481973	1.6381226
"01050CSR"	235	-123.6365	43.60739	59.04762	2.394452	NA	2.913356	1.778496	16	17.38571	248.000182261416	NA
"01051CSR"	225	-123.7257	43.63609	24.7619	2.240549	0	3.256547	1.410978	16.3	18.21429	173.999900525653	1.6282735
"01056CSR"	234	-123.1281	42.8853	13.33333	3.256718	0.6384893	2.768892	1.156347	13.3	13.67143	1806.00105634497	2.0229353
"01059CSR"	233	-122.5214	43.23377	11.42857	3.380754	1.298853	2.967014	1.094421	NA	NA	2403.00126816802	2.78236
"01062CSR"	220	-123.1997	42.77649	13.33333	3.26529	0.3710679	3.133036	1.156347	NA	NA	1842.00158686024	1.9375859
"01065CSR"	242	-122.6298	42.62415	24.7619	3.402433	0.5314789	3.403659	1.410978	NA	NA	2525.99798627505	2.2333084
"01066CSR"	260	-123.6484	42.4993	1.904762	3.166726	0.4277295	2.647181	0.4631105	13.6	14.24286	1467.9998121286	1.75132
"01067CSR"	261	-123.8032	42.47432	0	3.166134	0.4533183	3.725003	0	13.1	13.5	1466.00010023777	2.3158198
"01069CSR"	234	-124.3165	42.44625	3.809524	3.120903	0.8684093	2.892161	0.6821021	13.9	15.02857	1321.00055476473	2.3144898
"01072CSR"	240	-122.7069	42.09823	30.90909	3.708676	1.003245	2.358823	1.503914	NA	NA	5113.00244025543	2.1826565
"01076CSR"	219	-123.2865	42.5602	7.619048	3.20085	0.510545	3.479547	0.9354593	16.9	19.44286	1587.99817872847	2.2503185
"01080CSR"	260	-122.3862	44.42754	NA	3.099681	0.3802112	3.556246	NA	NA	NA	1258.00103958205	2.1583342
"01082CSR"	186	-122.508	44.9739	37.14286	3.329398	0.9827234	1.825873	1.581413	NA	NA	2135.00059306351	1.8956599
"01085CSR"	242	-122.5776	44.6233	7.619048	3.543074	1.21801	1.621847	0.9354593	11.7	11.75714	3491.99811018351	2.0289335
"01086CSR"	211	-122.7308	44.49908	20.95238	2.685742	0.1383027	3.793784	1.341482	15.5	19.77143	485.000291916995	2.0351947
"01089CSR"	262	-122.9476	44.19571	18.09524	3.13226	0.8692317	2.581348	1.280925	NA	NA	1356.00096937924	2.1599057
"01090CSR"	261	-122.0811	44.25455	1.941748	3.399847	0.9240207	2.815469	0.4686054	10.9	12.47143	2511.00166103444	2.3317552
"01093CSR"	255	-122.2188	44.54251	19.04762	3.55084	1.477121	1.658918	1.302063	11.9	11.45714	3555.00323281053	2.30658
"01094CSR"	212	-122.1134	44.63671	7.619048	3.299071	0.3521825	3.565103	0.9354593	12.6	14.84286	1990.9988079185	2.134734
"01096CSR"	212	-122.9543	44.36308	63.80952	2.555094	-0.30103	3.457858	1.811639	NA	NA	358.999629192771	1.427899
"01102CSR"	240	-123.1794	43.94159	72.38095	2.814913	-0.2441251	2.663668	1.865583	NA	NA	652.99972743702	1.0877089
"01104CSR"	220	-122.2654	43.77886	3.921569	3.386142	NA	2.612654	0.6921035	8.6	8.642857	2432.99938974899	NA
"01105CSR"	219	-122.138	43.79792	6.363636	3.564903	0.5422028	2.922806	0.8670923	11.7	12.1	3672.0027687969	2.0036058
"01106CSR"	218	-122.1946	43.68558	14.28571	3.571126	0.6471384	3.259297	1.184286	7.9	7.9	3724.99762341274	2.2767869
"01108CSR"	234	-122.6961	43.57797	0.952381	3.343212	1.116442	2.969772	0.2905646	13	12.98571	2204.00207979677	2.601328
"01109CSR"	221	-122.2972	43.59313	3.809524	3.54133	NA	3.165227	0.6821021	NA	NA	3478.00338221187	NA
"01111CSR"	227	-123.1897	45.71291	20	2.632457	0.50515	2.855496	1.322219	14.8	17.37143	428.999711377395	1.932898
"01112CSR"	255	-122.302	45.3234	3.809524	2.651278	0.3617278	4.309579	0.6821021	13.9	15.51429	447.999985560101	2.5165173
"01114CSR"	225	-123.0665	45.73517	20	2.775246	0.4014005	3.538835	1.322219	14.3	17.15714	595.999643548005	2.170818
"01115CSR"	184	-122.4908	45.06395	8.571429	2.79796	0.003460532	4.482648	0.9809768	NA	NA	628.000515164576	2.244784532
"01116CSR"	225	-123.0606	45.7126	9.52381	2.733999	0.748188	2.700999	1.022173	14.6	15.54286	541.99964239989	2.0986875
"01117CSR"	213	-123.4333	44.37964	9.52381	2.749736	0.544068	3.138864	1.022173	NA	NA	561.999591637114	2.1135
"01118CSR"	228	-123.5014	44.11375	27.18447	2.692847	-0.08618615	3.15391	1.45001	14.3	16.05714	493.000091634435	1.49076885
"01119CSR"	247	-122.6528	44.87211	26	3.12156	0.3617278	3.487891	1.431364	13.1	15.91429	1323.00047465483	2.1056733
"99001CSR"	182	-123.517	45.58563	9.090909	2.835056	0.4601458	2.919642	1.00393	NA	NA	683.99983979407	1.9199668
"99001REM"	187	-122.6138	45.03728	34.54545	2.938019	0.4668676	3.089298	1.550784	14.7	14.77143	866.99980540424	2.0115166
"99002CSR"	187	-123.4905	45.55321	5.454545	3.022428	0.3970705	3.251678	0.8098657	10.6	11.61429	1052.99910001585	2.0229095
"99002REM"	188	-122.2523	45.3139	13.20755	2.861534	0.3617278	3.66524	1.152519	12.4	15.82857	726.999312230775	2.1943478
"99003REM"	189	-122.04	44.96716	20	3.304275	0.8048207	2.479254	1.322219	7.3	10.34286	2014.99976580083	2.0444477
"99004CSR"	188	-123.7558	45.17801	NA	2.85248	0.5740313	3.276575	NA	NA	NA	712.000010431996	2.2123188
"99004REM"	196	-122.6099	43.90181	14.54545	3.082426	0.2552725	3.410536	1.191603	11.4	15.4	1208.99916245644	1.9605405
"99005REM"	194	-122.4858	43.73887	14.54545	3.057666	0.9747419	2.715217	1.191603	14.7	14.58571	1141.99972676372	2.3323504
"99006CSR"	189	-123.9084	44.91002	12.72727	2.61595	0.5423274	3.024742	1.137584	NA	NA	412.999950876437	2.0546984
"99006REM"	195	-122.3945	43.83501	8.928571	3.270213	1.525951	2.726394	0.9968868	12.4	12.82857	1863.00062245402	2.889148
"99007REM"	203	-122.2348	44.22538	5.454545	3.19201	0.3324385	3.758591	0.8098657	12.1	16.04286	1556.00145945024	2.211734
"99008REM"	201	-122.1072	44.27117	3.703704	3.444201	0.908485	2.684187	0.67244	9.3	10.48571	2781.00007130823	2.2505785
"99009CSR"	194	-122.5536	43.14074	NA	3.413635	0.2576786	3.602748	NA	NA	NA	2592.00001671986	2.0590526
"99009REM"	202	-122.0197	44.1076	3.636364	3.345962	0.7969211	2.678542	0.6661775	8.9	9.285714	2218.0023400228	2.1361921
"99010CSR"	195	-122.7962	43.24508	10.90909	3.597146	1.029343	2.426943	1.075879	9.8	13.25714	3954.99555743565	2.2428145
"99010REM"	208	-122.1913	44.51892	11.66667	3.304706	1.159868	2.441186	1.102662	12.7	13.78571	2017.00047273195	2.380461
"99011CSR"	196	-123.1788	43.05507	47.27273	3.053463	0.9925535	1.798137	1.683702	NA	NA	1131.00102886298	1.891622
"99011REM"	209	-122.5328	44.32166	3.636364	3.145196	0.2988531	3.675839	0.6661775	15.1	19.25714	1396.9986936485	2.1367726
"99012CSR"	200	-123.1273	43.12151	16.36364	3.038223	0.2345173	3.482494	1.239641	16.6	17.62857	1092.00090929436	1.9757643
"99012REM"	210	-122.5698	44.57867	5.454545	3.117934	0.2552725	3.801258	0.8098657	15.1	20.15714	1312.00049834396	2.1559015
"99013CSR"	202	-123.2397	42.1018	14.54545	3.489537	0.8893017	2.972724	1.191603	NA	NA	3087.0026336721	2.3756637
"99013REM"	215	-121.9422	45.26824	5.454545	3.227115	0.4232459	3.488182	0.8098657	NA	NA	1686.99967918579	2.1673369
"99014CSR"	201	-122.7185	42.14356	30.90909	3.502291	0.7647873	3.407699	1.503914	NA	NA	3179.00345562703	2.4686368
"99014REM"	216	-121.7823	45.46436	16.36364	3.354685	0.3222193	3.512012	1.239641	12.2	12.7	2263.00232423162	2.0782253
"99015CSR"	203	-122.9845	42.09598	23.63636	3.435685	0.6901961	3.194542	1.391577	11.6	14.28571	2726.99913384401	2.2874671
"99015REM"	217	-121.9207	45.2619	NA	3.243534	1.031004	2.380316	NA	NA	NA	1751.99958919637	2.221162
"99016CSR"	208	-124.1058	44.17071	29.09091	1.278754	NA	3.581318	1.478435	NA	NA	19.0000174579693	NA
"99016REM"	223	-122.1678	45.09758	1.818182	3.143015	0.2304489	3.932392	0.449969	13.6	17.12857	1390.00063930555	2.1966449
"99017CSR"	209	-124.091	44.26643	NA	1.792392	0.1958997	3.317201	NA	NA	NA	62.0000443273307	1.8545002
"99017REM"	222	-122.3833	44.9817	1.818182	3.179264	0.3617278	3.933167	0.449969	14.9	16.4	1510.99838446971	2.3283113
"99018CSR"	210	-124.0912	44.1877	NA	2.252853	NA	3.141724	NA	NA	NA	178.999987231243	NA
"99018REM"	223	-122.1622	45.06484	9.090909	3.285107	0.3873898	3.488616	1.00393	10.5	11.82857	1927.99986874157	2.1316978
"99019CSR"	214	-123.7337	45.48088	NA	1.934498	0.02325246	3.701191	NA	NA	NA	85.9999106437492	1.87384796
"99019REM"	228	-122.5866	43.62246	0	3.449478	0.5965971	3.401096	0	12.8	13.54286	2814.99741255769	2.2971451
"99020CSR"	215	-123.8316	45.35165	69.09091	2.161368	-0.3565473	3.172091	1.845662	NA	NA	144.999999253798	1.2294982
"99020REM"	230	-122.2513	43.43758	18.18182	3.583199	0.4771213	2.826475	1.28289	10.3	11.58571	3830.00199334884	1.8903588
"99021CSR"	216	-123.7435	45.59474	NA	2.724276	0.7058637	2.545763	NA	NA	NA	530.000159135322	1.9787452
"99021REM"	229	-122.1009	43.70004	0	3.549003	0.9894498	3.188836	0	NA	NA	3539.99786418882	2.5838678
"99022CSR"	214	-122.8902	43.74075	5.454545	2.947434	0.5010593	2.889685	0.8098657	NA	NA	886.000567375737	1.9459018
"99022REM"	235	-122.3901	44.37375	25.45455	3.071514	0.2174839	4.072092	1.4225	16.2	19.057	1179.0005291178	2.2535299
"99023CSR"	215	-122.7348	44.25927	3.636364	2.957607	0.04532298	3.869529	0.6661775	NA	NA	906.99940049107	1.98008748
"99023REM"	237	-122.5078	44.10854	5.454545	3.03543	0.4393327	3.365307	0.8098657	14.3	16.04286	1085.000654095	2.1219862
"99024CSR"	216	-122.7384	44.62999	14.54545	2.638489	0.1303338	3.556248	1.191603	NA	NA	434.999742628012	1.9084578
"99025CSR"	217	-123.1026	44.94756	47.27273	2.622214	0.5649618	2.56255	1.683702	NA	NA	418.999977842506	1.8462368
"99025REM"	243	-122.073	44.84753	0	3.453318	0.1335389	3.186261	0	NA	NA	2839.99777631711	1.7266694
"99026CSR"	215	-123.5504	45.27777	3.636364	2.95376	0.3891661	3.347942	0.6661775	13	16.11429	899.00063811984	2.0631371
"99026REM"	250	-121.8887	45.48103	10.90909	3.386499	0.4409091	3.27537	1.075879	6.6	10.15714	2435.00019315042	2.0785941
"99027REM"	251	-121.8697	45.59537	1.818182	2.915927	0.4983106	3.729014	0.449969	11	13.54286	823.999598340784	2.3628176
"99028CSR"	216	-123.5224	45.24599	NA	3.199755	0.7755376	2.777525	NA	NA	NA	1583.99935350446	2.1643001
"99029CSR"	221	-123.7302	42.29803	0	3.049993	0.6603911	2.246585	0	NA	NA	1122.00036964694	1.7836836
"99029REM"	264	-122.2901	44.98764	0	3.344785	NA	3.732815	0	NA	NA	2211.99937539292	NA
"99030CSR"	222	-123.8135	42.38035	0	2.994757	1.211121	2.659906	0	NA	NA	988.00012606061	2.541074
"99030REM"	265	-121.8887	44.73813	1.818182	3.485721	0.80618	2.449432	0.449969	NA	NA	3059.99699505048	2.030896
"99031CSR"	223	-123.4832	42.52352	NA	2.905796	0.05307844	4.441495	NA	NA	NA	805.000221747876	2.27382594
"99031REM"	256	-122.6369	43.74323	18.18182	3.4133	1.10721	2.488526	1.28289	12.7	12.28571	2590.00140694793	2.351473
"99032CSR"	222	-122.8189	43.09517	11.11111	3.286007	0.575765	3.442638	1.083184	15.2	17.57143	1931.99945691801	2.297084
"99032REM"	257	-122.7189	43.5422	7.272727	3.395501	0.9745117	2.344047	0.9176487	NA	NA	2485.99928844654	2.1465352
"99033CSR"	223	-122.6403	42.91191	1.818182	3.57066	0.7759743	2.470511	0.449969	NA	NA	3721.00282722989	2.0112298
