dist_name;class;implemented;moment_funs;type_limits;l_limit;u_limit;type
SEP2;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
SEP3;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
SEP4;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
SHASH;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
SHASHo;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
SHASHo2;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
SI;gamlss;FALSE;FALSE;one_limit;0;NA;Discrete
SICHEL;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
SN1;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
SN2;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
SST;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
ST1;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
ST2;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
ST3;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
ST3C;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
ST4;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
ST5;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
TF;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
TF2;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
WARING;gamlss;FALSE;FALSE;one_limit;0;NA;Discrete
WEI;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
WEI2;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
WEI3;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
YULE;gamlss;FALSE;FALSE;one_limit;0;NA;Discrete
ZABB;gamlss;TRUE;FALSE;one_limit;0;NA;Discrete
ZABI;gamlss;TRUE;FALSE;one_limit;0;NA;Discrete
ZABNB;gamlss;FALSE;FALSE;NA;NA;NA;Discrete
ZAGA;gamlss;TRUE;TRUE;one_limit;0;NA;Mixed
ZAIG;gamlss;TRUE;FALSE;one_limit;0;NA;Mixed
ZALG;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZANBI;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZAP;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZAPIG;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZASICHEL;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZAZIPF;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZIBB;gamlss;TRUE;FALSE;one_limit;0;NA;Discrete
ZIBI;gamlss;TRUE;FALSE;one_limit;0;NA;Discrete
ZIBNB;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZINBF;gamlss;TRUE;FALSE;one_limit;0;NA;Discrete
ZINBI;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZIP;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZIP2;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZIPF;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZIPIG;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
ZISICHEL;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
beta;bamlss;TRUE;TRUE;both_limits;0;1;Continuous
binomial;bamlss;TRUE;TRUE;both_limits;0;1;Discrete
cnorm;bamlss;TRUE;TRUE;one_limit;0;NA;Mixed
cox;bamlss;FALSE;FALSE;NA;NA;NA;NA
gamma;bamlss;TRUE;TRUE;one_limit;0;NA;Continuous
gaussian;bamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
Gaussian;bamlss;FALSE;FALSE;no_limits;NA;NA;Continuous
gaussian2;bamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
glogis;bamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
gpareto;bamlss;TRUE;TRUE;both_limits;0;5;Continuous
lognormal;bamlss;TRUE;TRUE;one_limit;0;NA;Continuous
multinomial;bamlss;TRUE;TRUE;cat_limits;NA;NA;Categorical
mvnorm;bamlss;FALSE;FALSE;no_limits;NA;NA;Continuous
poisson;bamlss;TRUE;TRUE;one_limit;0;NA;Discrete
quant;bamlss;FALSE;FALSE;NA;NA;NA;NA
betareg;betareg;TRUE;TRUE;both_limits;0;1;Continuous
