Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HealthyControl_01	HealthyControl_02	HealthyControl_03	HealthyControl_04	HealthyControl_05	Patient_01	Patient_02	Patient_03	Patient_04
P19827	P19827	ITIH1_HUMAN	ITIH1	NA	48766.79376	29358.69235	68240.11414	24832.23869	61688.18758	218997.75	77479.87336	117927.1563	43829.32319
Q9BXR6	Q9BXR6	FHR5_HUMAN	CFHR5	NA	8132.38684	2863.222601	9524.591889	10077.11409	1390.093646	578.6031397	16512.16903	10922.7992	7256.031356
P13647	P13647	K2C5_HUMAN	KRT5	NA	3623.809774	2511.83619	5103.487516	1124.019644	958.303622	1791.178623	4747.118415	5070.627615	2544.750011
P01597;P04432	P01597;P04432	KV139_HUMAN;KVD39_HUMAN	IGKV1-39;IGKV1D-39	NA	7320.806518	15645.6647	7726.156133	4027.427558	6827.729726	18709.06149	31093.70309	31264.74852	21951.42333
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18	NA	364976.0751	225787.7146	321556.7277	190915.4122	309874.3015	360278.1415	382355.3735	391942.8149	259400.3889
P04259	P04259;P48668	K2C6B_HUMAN	KRT6B	NA	3980.920434	904.1421929	4509.726941	597.9109025	2008.704536	8872.762116	6181.642819	7642.097949	1350.758759
P68366	P0DPH7;P0DPH8;P68363;P68366;Q6PEY2;Q71U36;Q9BQE3;Q9NY65	TBA4A_HUMAN	TUBA4A	NA	40646.02091	50430.70258	46537.078	30619.64385	40023.51139	53261.69822	57196.678	73846.37152	54152.11056
Q04756	Q04756	HGFA_HUMAN	HGFAC	NA	NA	NA	NA	NA	NA	1143.337939	666.929207	1520.648107	350.1465344
P09172	P09172	DOPO_HUMAN	DBH	NA	88533.65423	46632.26371	72103.39678	36932.96601	85521.67996	108191.8056	99673.75503	82174.77277	70771.87399
P30043	P30043	BLVRB_HUMAN	BLVRB	NA	NA	NA	NA	2932.460163	4394.818892	NA	NA	NA	NA
P20742	P20742	PZP_HUMAN	PZP	NA	4153.252187	1781.720963	9806.768493	4369.828878	2377.285948	NA	3129.178889	4897.829036	1022.350581
Q9HC36	Q9HC36	MRM3_HUMAN	MRM3	NA	11897.66655	11288.66487	8768.392053	8647.048724	11755.6057	15342.88486	18018.38589	22408.12959	56348.68395
P02533;P08779;Q04695	P02533;P08727;P08779;P19012;Q04695	K1C14_HUMAN;K1C16_HUMAN;K1C17_HUMAN	KRT14;KRT16;KRT17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P20851	P20851	C4BPB_HUMAN	C4BPB	NA	45851.90915	14880.41887	44274.95209	15234.65694	49062.71492	18792.50569	38242.70677	25089.3554	14782.11964
Q5T749	Q5T749	KPRP_HUMAN	KPRP	NA	26381.90462	23966.04309	16848.06425	20755.18667	32876.0445	39398.42778	31148.34912	39062.15587	24239.8357
P01857;P01859	P01857;P01859;P0DOX5	IGHG1_HUMAN;IGHG2_HUMAN	IGHG1;IGHG2	NA	NA	NA	1155.673443	NA	NA	NA	NA	NA	NA
P17936	P17936	IBP3_HUMAN	IGFBP3	NA	52553.44955	39128.70447	66750.01251	26896.11137	52386.00959	34335.33367	26274.48905	46372.86016	21448.84181
P35858	P35858	ALS_HUMAN	IGFALS	NA	22838.0728	23046.98818	21895.61692	15032.05002	21947.71599	NA	561543.7094	NA	666657.4483
Q9UGM5	Q9UGM5	FETUB_HUMAN	FETUB	NA	335656.7391	268603.9343	357739.4913	197110.1449	268655.1312	450471.0403	431942.267	464990.9652	311128.2557
Q8WZ42	Q8WZ42	TITIN_HUMAN	TTN	NA	NA	NA	NA	NA	NA	19601.92407	25694.90253	26422.55502	22066.91739
Q6UX71	Q6UX71	PXDC2_HUMAN	PLXDC2	NA	209405.1438	155038.0016	184067.5045	166477.3384	188015.6449	277398.2539	291157.0654	320708.9453	173451.23
P02787	P02787	TRFE_HUMAN	TF	NA	107393.9167	79974.101	110246.0715	70599.31316	73099.41016	86988.56277	93938.79945	93490.68688	70050.24716
A0A075B6I9;P04211	P04211;A0A075B6I9	LV743_HUMAN;LV746_HUMAN	IGLV7-43;IGLV7-46	NA	6034.362163	18370.58779	NA	8845.432125	12399.18648	4047.861451	NA	4158.033825	22868.58867
P05154	P05154	IPSP_HUMAN	SERPINA5	NA	31982.13727	69028.61677	253821.4075	49195.7351	99341.92598	63101.92392	122329.5048	39117.10653	23063.91488
Q01518	Q01518	CAP1_HUMAN	CAP1	NA	26064.61475	31298.76946	19242.26372	12813.25815	12928.03088	21401.1623	19829.3219	34305.8029	18543.24924
P04264;P35908	P04264;P35908	K22E_HUMAN;K2C1_HUMAN	KRT1;KRT2	NA	7640.466314	9416.908978	10504.18072	7485.087548	6378.008504	5498.67015	7940.083971	13539.48115	4533.00929
P07360	P07360	CO8G_HUMAN	C8G	NA	72926.91686	70376.85332	79209.64892	40285.78521	20691.67189	15919.44691	13787.32043	48850.86229	32201.78363
P01700	P01700	LV147_HUMAN	IGLV1-47	NA	117952.9303	135336.0672	138053.5511	85866.5091	105485.5671	103393.4978	162801.3913	204832.4505	121745.3383
P0C0L4	P0C0L4	CO4A_HUMAN	C4A	NA	3597.465261	NA	4584.626734	NA	2538.400304	NA	202562.5635	205723.3734	NA
P01782;P0DP04	P01782;P0DP04	HV309_HUMAN;HV43D_HUMAN	IGHV3-43D;IGHV3-9	NA	1130.303566	1981.952625	3331.420547	866.4687662	732.4983568	2427.846032	3342.35194	4017.012804	2436.427887
A0A075B6I9	A0A075B6I9	LV746_HUMAN	IGLV7-46	NA	21394.81975	21661.03175	18272.63358	18186.68787	24181.17023	703577.5025	NA	936253.1351	634987.36
P08779	P08779	K1C16_HUMAN	KRT16	NA	NA	NA	NA	NA	NA	786.9762939	NA	NA	1929.828264
P02753	P02753	RET4_HUMAN	RBP4	NA	5827.053612	9462.050191	8796.894335	6604.63692	1397.384934	6364.598737	8314.28443	12077.30578	12523.88495
P01857;P01859;P01860;P01861	P01857;P01859;P01860;P01861;P0DOX5	IGHG1_HUMAN;IGHG2_HUMAN;IGHG3_HUMAN;IGHG4_HUMAN	IGHG1;IGHG2;IGHG3;IGHG4	NA	16607.80664	10756.80757	8203.436911	6543.674564	NA	134620.8056	96501.55032	150992.2062	88720.23974
A0A0B4J1X8;P01762;P01766;P01780	P01780;P01762;P01763;P01766;P01782;A0A0B4J1V1;A0A0B4J1X8;A0A0C4DH32;P0DP04	HV307_HUMAN;HV311_HUMAN;HV313_HUMAN;HV343_HUMAN	IGHV3-11;IGHV3-13;IGHV3-43;IGHV3-7	NA	149968.4254	106652.5611	167908.2783	57688.49795	56630.93557	158134.6848	118419.9056	153188.7573	151832.3968
Q86UX7	Q86UX7	URP2_HUMAN	FERMT3	NA	66979.2904	43318.70726	62348.7777	28519.54381	24037.72445	25921.28155	65279.75434	77745.87219	127488.2282
A0A0B4J1U7	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	NA	2328.481122	2619.862343	5852.70873	863.7350079	2652.108367	3035.534092	4056.999317	6493.519394	3894.296313
P01031	P01031	CO5_HUMAN	C5	NA	49289.12544	60495.67091	49115.84002	38387.02828	32679.56148	39535.4229	29744.97453	42102.5913	42884.40303
Q9UHG3	Q9UHG3	PCYOX_HUMAN	PCYOX1	NA	32796.79786	38404.41048	44395.31063	14834.68044	22156.5468	50408.6505	42691.53335	46603.26447	33201.25097
Q14520	Q14520	HABP2_HUMAN	HABP2	NA	5168.739708	9333.011516	854.5453913	4783.094361	4585.452926	3984.859921	24569.796	10288.23831	8042.976032
P37802	P37802	TAGL2_HUMAN	TAGLN2	NA	887501.2085	941688.5466	707919.2656	689984.2098	973689.4689	810403.9204	849979.6345	1492218.479	1098484.388
P02533;P08779;P13645;Q04695	P02533;P08727;P08779;P13645;P19012;Q04695;Q99456	K1C10_HUMAN;K1C14_HUMAN;K1C16_HUMAN;K1C17_HUMAN	KRT10;KRT14;KRT16;KRT17	NA	945423.6497	1096490.05	669558.9225	851047.1018	1217730.657	1842895.493	1943294.793	2612164.746	2150328.898
O95445	O95445	APOM_HUMAN	APOM	NA	63210.05537	50264.2617	NA	23199.26125	53037.49771	127130.0268	100792.15	170622.5192	117667.8092
P0DJI9	P0DJI8;P0DJI9	SAA2_HUMAN	SAA2	NA	2658.916778	NA	NA	NA	NA	2217.038432	NA	NA	NA
A0A0B4J1V0;A0A0B4J1Y9	A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9	HV315_HUMAN;HV372_HUMAN	IGHV3-15;IGHV3-72	NA	4309.424663	4307.993296	3836.678053	NA	NA	NA	NA	NA	NA
P04433	P04433;A0A0A0MRZ8	KV311_HUMAN	IGKV3-11	NA	NA	NA	NA	NA	NA	NA	21.22537428	234.4538982	NA
A0A075B6P5;P01615	P01615;A0A075B6P5	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	NA	129598.0613	73667.28048	83352.02034	57000.24592	147958.8885	164575.4024	68073.42819	407534.2381	332771.88
P04430	P04430	KV116_HUMAN	IGKV1-16	NA	13836.78088	16182.75647	15354.42312	14005.69332	16579.34056	143330.2491	147164.9086	291591.5201	266308.3899
P07996	P07996	TSP1_HUMAN	THBS1	NA	3073.23633	37807.74498	11627.12085	27378.65844	14601.34252	67507.19604	80943.419	162358.5565	123005.2974
P35908	P35908	K22E_HUMAN	KRT2	NA	4529.906983	3131.894683	3368.570785	3304.118444	3960.946517	4086.888462	3639.383208	3918.68718	3911.365663
P01717	P01717	LV325_HUMAN	IGLV3-25	NA	NA	2049.51422	8136.458408	5165.85392	12646.02664	6451.586574	6422.38454	7833.122259	8589.121001
Q9H257	Q9H257	CARD9_HUMAN	CARD9	NA	63158.25498	82561.0713	73217.05935	78182.9901	72492.76019	61986.78751	66736.05592	65748.35695	57046.86378
P00736	P00736	C1R_HUMAN	C1R	NA	1080.254262	NA	NA	527.3394384	986.2319974	NA	NA	NA	NA
P51884	P51884	LUM_HUMAN	LUM	NA	37843.5235	41079.23423	160519.3758	48847.2333	66277.89878	140635.8976	135232.3111	91243.88822	53584.02517
Q96PD5	Q96PD5	PGRP2_HUMAN	PGLYRP2	NA	36971.63503	39361.8594	50052.10604	30387.19407	39539.90573	17189.86027	13961.51223	24799.25864	26639.51992
P19823	P19823	ITIH2_HUMAN	ITIH2	NA	21428.43606	18389.52181	19276.40134	17895.60083	16119.99216	17439.58322	18440.18028	21121.04052	20069.66564
P01876;P01877	P01876;P01877;P0DOX2	IGHA1_HUMAN;IGHA2_HUMAN	IGHA1;IGHA2	NA	145627.6691	166311.6665	107133.1435	112567.7524	113647.435	37310.34017	55856.70948	105234.4501	74998.25707
A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73	KV112_HUMAN;KV139_HUMAN;KVD12_HUMAN;KVD39_HUMAN	IGKV1-12;IGKV1-39;IGKV1D-12;IGKV1D-39	NA	1516.048615	2091.374345	NA	1916.263607	1618.817532	5339.800815	NA	NA	3360.642885
P01023	P01023	A2MG_HUMAN	A2M	NA	2673.930126	2420.629242	506.5366787	532.7280306	427.1585574	47.12977005	NA	290.7574861	1528.588944
Q5SQ80;Q5VUR7	Q5SQ80;Q5VUR7	A20A2_HUMAN;A20A3_HUMAN	ANKRD20A2P;ANKRD20A3P	NA	554600.9889	505974.1235	432162.4875	436921.5361	477708.321	566142.5222	650415.1899	658131.7114	621974.6993
P00747;P08519	P00747;P08519	APOA_HUMAN;PLMN_HUMAN	LPA;PLG	NA	9221.790523	12832.09144	5605.590644	9656.831458	9424.560311	13187.04799	4937.596129	10649.3144	13317.7996
P0DOX7	P0DOX7	IGK_HUMAN	NA	NA	179614.6146	139470.3235	186103.0276	139957.6191	190441.4188	288491.3152	434866.5969	330587.2241	403979.607
P02747	P02747	C1QC_HUMAN	C1QC	NA	21346.51954	23328.62043	26185.82847	23559.05638	13362.74759	35606.34237	40682.85719	33624.81082	33987.64649
A0A0C4DH38	A0A0C4DH38	HV551_HUMAN	IGHV5-51	NA	21748.67222	21327.23716	27046.6339	26638.80025	13351.06608	NA	NA	NA	NA
P15144	P15144	AMPN_HUMAN	ANPEP	NA	1087222.181	2031878.919	234933.7294	2066378.822	1238320.612	2685695.735	1174719.313	2371973.368	3959775.889
P04180	P04180	LCAT_HUMAN	LCAT	NA	618096.6535	882972.9962	231805.3782	996173.6036	805692.1064	1002679.299	838746.7258	1273614.63	1640601.018
P07477;Q9BYE2	P07477;Q9BYE2	TMPSD_HUMAN;TRY1_HUMAN	PRSS1;TMPRSS13	NA	37986.93393	90498.10083	57061.78261	86745.05062	79415.82465	41049.13459	37225.65152	88157.77595	35305.84064
A0M8Q6;B9A064;P0CF74;P0DOY3	A0M8Q6;P0CG04;P0DOY2;P0DOY3;P0CF74;B9A064;P0DOX8	IGLC3_HUMAN;IGLC6_HUMAN;IGLC7_HUMAN;IGLL5_HUMAN	IGLC3;IGLC6;IGLC7;IGLL5	NA	19938.68303	20230.50784	31874.9348	19943.93009	25461.34972	18138.16614	19968.51074	13957.82711	16707.57211
P13796	P13796	PLSL_HUMAN	LCP1	NA	22756.97349	25370.08831	16974.96903	18382.00166	19899.16196	11021.20472	13723.62231	12601.19904	12962.56984
P01593;P01594	P01593;P01594	KV133_HUMAN;KVD33_HUMAN	IGKV1-33;IGKV1D-33	NA	8049.981312	10294.74862	6577.722738	8336.014702	11244.25455	11112.66177	7985.857131	9685.228463	10004.96979
P01767;P01772	P01764;P01768;P01772;P01767;A0A0C4DH42;P0DP02;P0DP03	HV333_HUMAN;HV353_HUMAN	IGHV3-33;IGHV3-53	NA	356857.4985	340506.0198	344004.6647	380314.9985	497615.7576	294221.5794	300931.0647	367354.3074	339384.9265
P01602	P01602;P0DOX7	KV105_HUMAN	IGKV1-5	NA	169.15629	NA	NA	398.1860634	NA	11998.71399	12021.68817	15219.87504	16112.67894
O43790;P78385;P78386;Q14533	O43790;P78385;P78386;Q14533;A6NCN2	KRT81_HUMAN;KRT83_HUMAN;KRT85_HUMAN;KRT86_HUMAN	KRT81;KRT83;KRT85;KRT86	NA	37009.01703	22923.15	46471.72454	38456.44313	39813.9989	49674.03144	75419.18677	56235.27522	69398.67935
P33151	P33151	CADH5_HUMAN	CDH5	NA	208973.4501	295175.1106	295177.4175	410892.8509	232530.0102	316148.2773	327232.2262	295935.2337	314061.4288
A0A075B6H7	P01624;A0A075B6H7;A0A0C4DH55	KV37_HUMAN	IGKV3-7	NA	10879.55803	3148.880706	21233.76909	29672.36548	39293.20279	8958.99381	28014.82856	18189.3246	6869.936017
P01859	P01859	IGHG2_HUMAN	IGHG2	NA	471.920189	534.4440229	2356.570068	2850.747977	3673.640012	1127.938426	2574.692873	1344.327702	675.3786037
P04075	P04075	ALDOA_HUMAN	ALDOA	NA	170563.2131	241906.18	187892.107	188971.3396	260480.8737	137437.3677	182587.6306	188058.7519	211373.445
Q16610	Q16610	ECM1_HUMAN	ECM1	NA	1991957.084	2089036.481	1932207.065	1925064.018	2313848.677	1830081.553	1675609.722	1719232.044	2225018.393
A0A0B4J1Y8	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	NA	552462.8219	642084.0257	597755.2927	635872.935	611689.5352	542644.2459	465990.3243	544714.9465	543778.3702
P23528	P23528;Q9Y281	COF1_HUMAN	CFL1	NA	70952.42258	95946.24067	69443.42049	49671.0036	76833.60734	78478.42642	92644.19889	93432.92563	74966.98358
P55056	P55056	APOC4_HUMAN	APOC4	NA	3268775.648	1624766.922	1260468.387	1457450.368	1979485.817	1687689.072	1741175.475	2123021.567	1829805.705
P08519	P08519	APOA_HUMAN	LPA	NA	749663.3176	337219.1394	326832.7629	364764.2904	452541.0526	313298.9726	329792.6245	427271.8836	362657.1273
P63267	P62736;P63267;P68032;P68133	ACTH_HUMAN	ACTG2	NA	714289.4874	1304866.784	1087638.066	1065313.909	1112455.887	1280956.987	1038905.897	1073675.893	1201648.293
A0A087WSX0;A0A0G2JS06	A0A087WSX0;A0A0G2JS06	LV539_HUMAN;LV545_HUMAN	IGLV5-39;IGLV5-45	NA	68327.17895	100953.8878	98851.92418	94927.47251	89034.90256	72839.30962	67741.79584	75048.91751	97149.18027
P02766	P02766	TTHY_HUMAN	TTR	NA	5058.924375	5492.032274	9908.684329	6950.954311	8763.357609	11319.41914	NA	NA	15155.88769
A0A0B4J1U3	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	NA	329777.5401	402193.0175	457240.9948	320070.3494	366462.1373	628610.5611	606215.3512	714697.0838	685637.2464
P06702	P06702	S10A9_HUMAN	S100A9	NA	NA	NA	NA	NA	NA	7013.273585	6736.853324	7936.921235	6096.778187
A0A075B6K5	A0A075B6K5	LV39_HUMAN	IGLV3-9	NA	299666.0981	104331.0074	273045.3072	155899.2778	156248.0139	309173.0381	151062.8818	147513.3961	140687.9749
P01601	P01601	KVD16_HUMAN	IGKV1D-16	NA	11014.55818	28329.08526	20559.08403	13715.01177	17984.00268	15517.04557	28664.66828	47312.9439	28569.42577
Q03591	Q03591	FHR1_HUMAN	CFHR1	NA	8367.846814	5040.368529	14806.37191	3523.002852	6959.314006	10849.49089	13620.5168	17290.93648	17153.67423
P35443;P49747	P35443;P49747	COMP_HUMAN;TSP4_HUMAN	COMP;THBS4	NA	27448.38778	16059.45715	37856.25702	9744.480231	17590.74165	14256.55136	27483.52585	16993.37761	14455.58082
P35443	P35443	TSP4_HUMAN	THBS4	NA	992.9900999	993.3883565	607.0268586	1568.662886	1895.217084	1638.885531	3542.399988	1760.493054	NA
P07357	P07357	CO8A_HUMAN	C8A	NA	205001.771	67679.09265	65719.55904	90521.94601	72340.46088	115719.9332	159501.353	104229.0574	190720.8738
P14618	P14618	KPYM_HUMAN	PKM	NA	198500.8762	90944.52975	140054.6074	63439.2655	118500.4298	130011.8754	108610.0559	136955.0986	103018.3104
P05106	P05106	ITB3_HUMAN	ITGB3	NA	87808.04409	101889.6483	140011.4465	74544.9002	80482.17563	158779.2232	113899.4452	165410.94	157145.7818
P41222	P41222	PTGDS_HUMAN	PTGDS	NA	21183.51307	60653.8172	14456.29846	51852.37028	28534.67535	7302.770309	17976.80625	36954.16973	50025.82733
P04264	P04264	K2C1_HUMAN	KRT1	NA	NA	NA	NA	NA	NA	2706.461418	1433.525577	2938.417743	2757.705607
P00918	P00918	CAH2_HUMAN	CA2	NA	7136.279156	11902.63221	9444.417343	11218.21324	16327.85773	32361.17152	38477.16957	68942.10346	50088.24134
A0A075B6K0	A0A075B6K0	LV316_HUMAN	IGLV3-16	NA	6641.438646	4002.388888	4645.495864	5872.181912	8226.584861	6239.79933	10338.96904	9903.555035	7445.051214
P08571	P08571	CD14_HUMAN	CD14	NA	1583.905854	4238.982616	1693.776239	570.5021499	1324.494725	3501.118921	5793.940213	8366.418077	1607.99655
P0DTE1	P0DTE1	HV383_HUMAN	IGHV3-38-3	NA	NA	6809.412308	NA	NA	657.9383621	2800.663497	1586.979979	1677.989601	559.4420208
A0A0B4J1V0	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	NA	319.6254514	178.137193	692.9339856	NA	NA	861.1219874	1869.248759	1945.165023	2142.228315
P02763	P02763	A1AG1_HUMAN	ORM1	NA	27880.06393	22304.68338	28599.79235	31108.23711	44138.46233	37687.56759	16593.02114	24230.45513	29560.17199
P08603;P36980;Q03591	P08603;P36980;Q03591	CFAH_HUMAN;FHR1_HUMAN;FHR2_HUMAN	CFH;CFHR1;CFHR2	NA	NA	NA	NA	NA	NA	NA	NA	437.4277236	NA
P0DOX5	P0DOX5	IGG1_HUMAN	NA	NA	10357.71873	6561.759538	5496.485309	5047.773404	3581.65997	236254.1476	289198.2884	317355.5797	244903.9486
Q9NPH3	Q9NPH3	IL1AP_HUMAN	IL1RAP	NA	244.4041684	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1X8;P01766;P01780	P01780;P01762;P01763;P01766;P01782;A0A0B4J1V1;A0A0B4J1X8;A0A0C4DH32;P0DP04	HV307_HUMAN;HV313_HUMAN;HV343_HUMAN	IGHV3-13;IGHV3-43;IGHV3-7	NA	2797.60822	10392.8768	NA	10180.91342	12578.77038	8572.617677	11517.38478	7801.301996	NA
P02774	P02774	VTDB_HUMAN	GC	NA	NA	460.6370197	NA	NA	NA	NA	2537.353196	NA	NA
B9A064	B9A064;P0DOX8	IGLL5_HUMAN	IGLL5	NA	13273.26046	49517.50748	29831.94224	13589.29867	23064.64115	28846.58314	38648.93688	39814.24217	41984.42405
P02042	P02042	HBD_HUMAN	HBD	NA	159736.849	106258.8351	148857.0465	102290.0685	106563.419	120434.4551	212236.8652	226444.9763	120450.2028
P01011	P01011	AACT_HUMAN	SERPINA3	NA	1888.726654	807.0722801	1327.2318	278.2675114	1648.317516	49429.36198	33336.53193	72716.94985	55703.52803
