"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","12/20/2021","10:50 AM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOise0_amiens_plate2_20211220"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_28plex"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","12/20/2021 11:44:15 AM"
"BatchStopTime","12/20/2021 12:15:53 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","28"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/20/2021 10:56:41"
"Last VER Verification","Passed 12/20/2021 10:57:43"
"Last Fluidics Test","Passed 12/20/2021 10:59:02"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B81409","05/21/2022","12/20/2021 10:56:41 AM","26.3","26.3","26.3","26.3","167","207","313","313","0.00709","0.00709","0.00395","0.11616","Pass","MAGPX16145704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"12(1,A12)","S","45.5","25","32","25","50","24.5","25","32","30","41.5","28","41","26","24","36","54","22","72.5","58","50","29.5","35","21","71","30","25","24","39","1805"
"13(1,B1)","Unknown2","4658.5","365.5","1286","666.5","6262","351","471","144","1710","658","1213","2846.5","807.5","1969","2235.5","3463.5","358","7374.5","1783","2968.5","1444","1484.5","655","4031","4394.5","288.5","946","532.5","1853"
"14(1,B2)","Unknown10","209.5","814","1516","2030","4461","779.5","485","175","114","733","143","175","641","2700","40","70","169","14038","140","139","794","1504","151","205","4316","182","169.5","140","1694"
"15(1,B3)","Unknown18","4180","993","1614","909.5","5615.5","1052.5","962","388","1716","1724","1599.5","2772","689","2183","2902.5","4958","503","7666","8500","3864.5","1214","4922","797","3886.5","3588","634","1121","872","1789"
"16(1,B4)","Unknown26","287.5","572","2162","3830","5475","1877.5","597","175.5","174","1991","248","328","1481","4918.5","44","66","368","13773","206","59.5","2858","6345","250","139","3594","281","272","165","1890"
"17(1,B5)","Unknown34","784","602","1847","4252","3112.5","952","1337.5","313","299","2699","275","307","1374.5","1495","122","676","777","17497.5","331","798","2169.5","7655","272","956.5","4763","310","309.5","242","1739"
"18(1,B6)","Unknown42","209","257","4369.5","1623.5","7421.5","491","325","675","124","779","168","218.5","1520.5","2773","68","102.5","1359","18837.5","122","114","1748","8632.5","239","178.5","1493","199.5","189.5","179","1818"
"25(1,C1)","Unknown3","4503","931.5","2613.5","1755.5","5049","796.5","1166","731","1596","957","1483","2520","796","5647","3560","3898.5","854.5","11524","6184","3789.5","2263","3635","673","4714","2770.5","426","1130","670","1779"
"26(1,C2)","Unknown11","114","205","754","343","1101","377.5","853","304","99.5","1850","102","132","984.5","653","42","62","95","6770","243","63","650","1712.5","118","102","904","193","105.5","99","1841"
"27(1,C3)","Unknown19","144","372.5","1398","697","2516","709.5","1076","75","77","2203","71","112","309","358","44","105","58","5967.5","142.5","109","269","1092.5","89.5","137","2483","94","90.5","202","1837"
"28(1,C4)","Unknown27","1992.5","327","1011","414.5","6053.5","266","488.5","123","508","903","2074","1795.5","297","1617","5239","2446","465","11289","1517","1474.5","2381","1963","249","1407.5","2009","203","196","1596","1830"
"29(1,C5)","Unknown35","156","168.5","1130.5","762","2432.5","371.5","604","135","106","1432","131.5","147","636","2494.5","46.5","104","267","3960","90","128","1817","438","132","150","2233","128","142","124","1711"
"30(1,C6)","Unknown43","239.5","371.5","3098","3241","5547.5","1778","454","153","147.5","1141","202","217","1444.5","3928.5","54","78.5","376.5","15825","665.5","85","1112","2533.5","231.5","218.5","6686.5","251","207.5","169.5","1819"
"37(1,D1)","Unknown4","325.5","478.5","6118","3261","5651.5","3115.5","1294.5","402","160.5","2422","217","272","1500","1280","68","126","401","17099.5","1017","74","2574","4976","228","146","2058.5","253","231","228","1689"
"38(1,D2)","Unknown12","1908","1129","3029","1675","6486","726","799","650","626","1623","620","1001","909","1978","867.5","1408.5","618","4633","11756.5","1472.5","2363","1497","431","1661","2533","420.5","478","583","1924"
"39(1,D3)","Unknown20","186.5","311.5","2365","905","2099","2390","762","343","225","1349","238","307.5","1026.5","1793.5","126","196","302","6170.5","222","184","782.5","2500.5","328.5","333","4206","605","231","293","1684"
"40(1,D4)","Unknown28","985","430.5","1114","3351.5","6399","510.5","396","209","311","521","213","231","1059.5","2633","164","958","196.5","16488","171","1222","1305.5","4983","203","1414","1600","237","201","227","1782"
"41(1,D5)","Unknown36","1598","384","6225","846","6600","2490.5","204","443","569","526","478.5","1111","1070","2560.5","1507","1524","216.5","5180.5","895","1352.5","1147","2993.5","281","2655.5","1227","208","292.5","440","1835"
"49(1,E1)","Unknown5","147","183","1280.5","855","1085","649","695","91.5","75.5","760","103","118.5","1116","1830","41.5","60","96","12405","94","65","1001.5","1902","111","90.5","199","125","112.5","163","1547"
"50(1,E2)","Unknown13","123","186","606","727.5","2046","292","376.5","1959","120","484.5","140","184","144","1550.5","36","55","3096","7533.5","170.5","52","2482.5","2855","114","80","4047.5","168.5","165.5","129","1637"
"51(1,E3)","Unknown21","100","210.5","883.5","962","3034","519.5","1169","153","84","2394","101","106.5","279","921.5","36.5","45.5","296","8717","77","43","3132","3404.5","103","72","576","121","100.5","143.5","1560"
"52(1,E4)","Unknown29","98","193","872","861","2658","298","911","161","109.5","878","137","138","475","1310","39.5","57","399","14784","118.5","59.5","1347","2300.5","144","101.5","3148.5","179","132.5","116","1429"
"53(1,E5)","Unknown37","206","282","5028","1099","6705","1008","992.5","121","113","2064.5","137","156","575","1221","49","125","140.5","15296","138","183","839","5804","158","282","1457","158","166.5","160","1756"
"61(1,F1)","Unknown6","162.5","223","419","1296","1416","726.5","969","1106","82.5","2247","106","134","534","1449","49","47.5","475","10404","274","52","1309.5","1392","101","115.5","755.5","109","110","101.5","1604"
"62(1,F2)","Unknown14","5944","1046","9702","5175","8640.5","1580","331","378","1816","515","1164","1857.5","976.5","1889","2371","5710","935","10647","2776","7066.5","3599","2151","655","6624","3154","492","995","983","1913"
"63(1,F3)","Unknown22","14414","1706","831","538","2629","680","1093","904","7967","1755","6454","9805","204.5","435","13341","14956","542","7209.5","13810","16124","388","1742","2820","14124","188","1135","5248","1473.5","1457"
"64(1,F4)","SP","6626","233","2246","642","3929","502","1020","128","2095","1474.5","1135","1903.5","343.5","1467","3055","7407","201.5","8655","409","8683.5","491","3112","490","7796","1209","238","915","756","1730"
"65(1,F5)","Unknown38","10465","1216","4793","434.5","13724","725","1331","360.5","3935.5","2521","2410","4592","1447","1900","7077.5","12449.5","851","2859","12878.5","14278.5","739","1712","895","11755","3086.5","716","1220","3405.5","1622"
"73(1,G1)","Unknown7","117.5","444","1351.5","1455","1489","3454.5","935","117","126","1535","147","159","458","2527","58","61","821.5","7924","102","70","2082","1589","167.5","128","2051.5","203","145","152","1678"
"74(1,G2)","Unknown15","362.5","508.5","2130","3979","4018","3256","1993.5","691.5","192","1343.5","254","283","1022","5008","52","71.5","641","16886","139.5","93","2582","6544","252","172","2837","288","267","200.5","1674"
"75(1,G3)","Unknown23","6187.5","841.5","7935","1864","10179","5482.5","351","2553","1851","472","1582","2762","1396.5","1655.5","4153.5","5190","550","16979","7257.5","5016.5","2042","5442","715.5","4922","3726","479","803","1870.5","1582"
"76(1,G4)","FD","14657.5","402","799.5","460.5","1919.5","432","914","144","7523","1750","5571.5","8368","273.5","1745","12854","17343.5","613.5","13151","319","17042.5","1965.5","3527.5","2729","15384","2956.5","1073.5","4792","3439","1648"
"77(1,G5)","Unknown39","92","130","980","407.5","2408","581.5","876","438","84","1895","107","155","648","2961","37","49","184.5","4643","640","52","1981","3156","107","76.5","4008","129","110","86","1746"
"85(1,H1)","Unknown8","199.5","226","1107","1778","3932","360.5","230","88","103.5","429.5","143","299","1223","6107","33","64","371","2700.5","178.5","77","2406","948","152","145","3706","160","138.5","108","1569"
"86(1,H2)","Unknown16","159","354.5","1343","1294","3200","476","1082","89","97","1904","139","150","1143","2025","35","48.5","257","8736","94.5","45","1676","8238.5","133.5","71","1752","153","132.5","131","1789"
"87(1,H3)","Unknown24","5140.5","973","1958.5","1589","6055","681.5","692","2733","2696","1692.5","1926","4004.5","1293","1524","2699","5041","377","15243.5","8535","4762","1391.5","2640","692","5258.5","555","470","2105","906","1616"
"88(1,H4)","LG","19919","376","2226.5","539","5633","370","475.5","229","13058.5","710","11143","13939.5","787.5","2158","19161","21322","224","10834","153","21174","1272.5","1492","5238","18853","1927","2317.5","9128","2513","1706"
"89(1,H5)","Unknown40","1754","475","4262","2678","5145.5","1555","666","160","567.5","684","226","256","1800.5","8088","369.5","1809","645","19808","128","2308","1247","4757","272.5","2471","3253","309","259.5","352.5","1714"

"DataType:","Net MFI"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","19","22","25","21.5","24","22","21","31","22","30","26","29","26","21.5","20","29","20","20","21","29.5","26","29","21","46.5","24","25.5","21","35.5","1817"
"2(1,A2)","S","12722.5","1839","6680","6251","13244.5","3606","1858.5","1446.5","6129","3182","4876.5","8723","1917","4881","11108","13583","1333.5","17576","13721.5","13249","4305","5791.5","1883","12289","6180.5","1101","2546","2684","1772"
"3(1,A3)","S","9163.5","1219","4096.5","3423","9488.5","2087","1367","763.5","3565","2438","2919","6179.5","1110","2637","7673","9403.5","812","13597","13325","9153.5","2452.5","3366.5","1167","8531","3676","721","1595","1703","1797"
"4(1,A4)","S","6735","806","2419","2554","7020","1497","1075","462","2422","2021","2148","4889","666","1752","5610.5","7763","540","11582","11045.5","7302","2071.5","2434","794","7014.5","2313","516.5","1109.5","1258","1800"
"5(1,A5)","S","3510","388.5","1200","1064","3425","704","648","193","1277.5","1247","1012","2207","317","790","2425","3442","291.5","6340.5","5667.5","3061","802","1129","397","3267","1068","259","529","624.5","1766"
"6(1,A6)","S","2277","239","769","801","2224","480.5","458","138","821.5","938","667","1625","202","515","1655.5","2361","170","4317","4244","2138","607","763.5","245.5","2482","668.5","165","329","383","1794"
"7(1,A7)","S","1158","126.5","401","356.5","1252","249","248","85","392","485.5","314","691","114.5","259.5","745","1187","113","2062","1815","1151","387","385.5","128.5","1301","337","96","172","213","1957"
"8(1,A8)","S","624.5","80","205","191","653.5","134","146","57","230","276","149","354","69","137","403.5","662","63.5","1195.5","928.5","524","192","218","75","779","180","58","92","122","1848"
"9(1,A9)","S","346.5","53","118.5","112","372","82.5","86","48.5","125","157","94.5","184.5","47","77.5","221","354","41","631.5","517","306","120","122.5","51","414","106","45","58","77","1766"
"10(1,A10)","S","206","37","75","67","205","54","56","39.5","75","101","59.5","121","39","49","126","209.5","31","355","276.5","177","70","77.5","37","249","66","34","41","59","1717"
"11(1,A11)","S","111","36","55","50","125","42.5","43","38","58","73","48","86","36","41.5","85","124","31","199","169","114.5","52","61","35","163","51","35","35","55","1821"
"12(1,A12)","S","45.5","25","32","25","50","24.5","25","32","30","41.5","28","41","26","24","36","54","22","72.5","58","50","29.5","35","21","71","30","25","24","39","1805"
"13(1,B1)","Unknown2","4658.5","365.5","1286","666.5","6262","351","471","144","1710","658","1213","2846.5","807.5","1969","2235.5","3463.5","358","7374.5","1783","2968.5","1444","1484.5","655","4031","4394.5","288.5","946","532.5","1853"
"14(1,B2)","Unknown10","209.5","814","1516","2030","4461","779.5","485","175","114","733","143","175","641","2700","40","70","169","14038","140","139","794","1504","151","205","4316","182","169.5","140","1694"
"15(1,B3)","Unknown18","4180","993","1614","909.5","5615.5","1052.5","962","388","1716","1724","1599.5","2772","689","2183","2902.5","4958","503","7666","8500","3864.5","1214","4922","797","3886.5","3588","634","1121","872","1789"
"16(1,B4)","Unknown26","287.5","572","2162","3830","5475","1877.5","597","175.5","174","1991","248","328","1481","4918.5","44","66","368","13773","206","59.5","2858","6345","250","139","3594","281","272","165","1890"
"17(1,B5)","Unknown34","784","602","1847","4252","3112.5","952","1337.5","313","299","2699","275","307","1374.5","1495","122","676","777","17497.5","331","798","2169.5","7655","272","956.5","4763","310","309.5","242","1739"
"18(1,B6)","Unknown42","209","257","4369.5","1623.5","7421.5","491","325","675","124","779","168","218.5","1520.5","2773","68","102.5","1359","18837.5","122","114","1748","8632.5","239","178.5","1493","199.5","189.5","179","1818"
"25(1,C1)","Unknown3","4503","931.5","2613.5","1755.5","5049","796.5","1166","731","1596","957","1483","2520","796","5647","3560","3898.5","854.5","11524","6184","3789.5","2263","3635","673","4714","2770.5","426","1130","670","1779"
"26(1,C2)","Unknown11","114","205","754","343","1101","377.5","853","304","99.5","1850","102","132","984.5","653","42","62","95","6770","243","63","650","1712.5","118","102","904","193","105.5","99","1841"
"27(1,C3)","Unknown19","144","372.5","1398","697","2516","709.5","1076","75","77","2203","71","112","309","358","44","105","58","5967.5","142.5","109","269","1092.5","89.5","137","2483","94","90.5","202","1837"
"28(1,C4)","Unknown27","1992.5","327","1011","414.5","6053.5","266","488.5","123","508","903","2074","1795.5","297","1617","5239","2446","465","11289","1517","1474.5","2381","1963","249","1407.5","2009","203","196","1596","1830"
"29(1,C5)","Unknown35","156","168.5","1130.5","762","2432.5","371.5","604","135","106","1432","131.5","147","636","2494.5","46.5","104","267","3960","90","128","1817","438","132","150","2233","128","142","124","1711"
"30(1,C6)","Unknown43","239.5","371.5","3098","3241","5547.5","1778","454","153","147.5","1141","202","217","1444.5","3928.5","54","78.5","376.5","15825","665.5","85","1112","2533.5","231.5","218.5","6686.5","251","207.5","169.5","1819"
"37(1,D1)","Unknown4","325.5","478.5","6118","3261","5651.5","3115.5","1294.5","402","160.5","2422","217","272","1500","1280","68","126","401","17099.5","1017","74","2574","4976","228","146","2058.5","253","231","228","1689"
"38(1,D2)","Unknown12","1908","1129","3029","1675","6486","726","799","650","626","1623","620","1001","909","1978","867.5","1408.5","618","4633","11756.5","1472.5","2363","1497","431","1661","2533","420.5","478","583","1924"
"39(1,D3)","Unknown20","186.5","311.5","2365","905","2099","2390","762","343","225","1349","238","307.5","1026.5","1793.5","126","196","302","6170.5","222","184","782.5","2500.5","328.5","333","4206","605","231","293","1684"
"40(1,D4)","Unknown28","985","430.5","1114","3351.5","6399","510.5","396","209","311","521","213","231","1059.5","2633","164","958","196.5","16488","171","1222","1305.5","4983","203","1414","1600","237","201","227","1782"
"41(1,D5)","Unknown36","1598","384","6225","846","6600","2490.5","204","443","569","526","478.5","1111","1070","2560.5","1507","1524","216.5","5180.5","895","1352.5","1147","2993.5","281","2655.5","1227","208","292.5","440","1835"
"49(1,E1)","Unknown5","147","183","1280.5","855","1085","649","695","91.5","75.5","760","103","118.5","1116","1830","41.5","60","96","12405","94","65","1001.5","1902","111","90.5","199","125","112.5","163","1547"
"50(1,E2)","Unknown13","123","186","606","727.5","2046","292","376.5","1959","120","484.5","140","184","144","1550.5","36","55","3096","7533.5","170.5","52","2482.5","2855","114","80","4047.5","168.5","165.5","129","1637"
"51(1,E3)","Unknown21","100","210.5","883.5","962","3034","519.5","1169","153","84","2394","101","106.5","279","921.5","36.5","45.5","296","8717","77","43","3132","3404.5","103","72","576","121","100.5","143.5","1560"
"52(1,E4)","Unknown29","98","193","872","861","2658","298","911","161","109.5","878","137","138","475","1310","39.5","57","399","14784","118.5","59.5","1347","2300.5","144","101.5","3148.5","179","132.5","116","1429"
"53(1,E5)","Unknown37","206","282","5028","1099","6705","1008","992.5","121","113","2064.5","137","156","575","1221","49","125","140.5","15296","138","183","839","5804","158","282","1457","158","166.5","160","1756"
"61(1,F1)","Unknown6","162.5","223","419","1296","1416","726.5","969","1106","82.5","2247","106","134","534","1449","49","47.5","475","10404","274","52","1309.5","1392","101","115.5","755.5","109","110","101.5","1604"
"62(1,F2)","Unknown14","5944","1046","9702","5175","8640.5","1580","331","378","1816","515","1164","1857.5","976.5","1889","2371","5710","935","10647","2776","7066.5","3599","2151","655","6624","3154","492","995","983","1913"
"63(1,F3)","Unknown22","14414","1706","831","538","2629","680","1093","904","7967","1755","6454","9805","204.5","435","13341","14956","542","7209.5","13810","16124","388","1742","2820","14124","188","1135","5248","1473.5","1457"
"64(1,F4)","SP","6626","233","2246","642","3929","502","1020","128","2095","1474.5","1135","1903.5","343.5","1467","3055","7407","201.5","8655","409","8683.5","491","3112","490","7796","1209","238","915","756","1730"
"65(1,F5)","Unknown38","10465","1216","4793","434.5","13724","725","1331","360.5","3935.5","2521","2410","4592","1447","1900","7077.5","12449.5","851","2859","12878.5","14278.5","739","1712","895","11755","3086.5","716","1220","3405.5","1622"
"73(1,G1)","Unknown7","117.5","444","1351.5","1455","1489","3454.5","935","117","126","1535","147","159","458","2527","58","61","821.5","7924","102","70","2082","1589","167.5","128","2051.5","203","145","152","1678"
"74(1,G2)","Unknown15","362.5","508.5","2130","3979","4018","3256","1993.5","691.5","192","1343.5","254","283","1022","5008","52","71.5","641","16886","139.5","93","2582","6544","252","172","2837","288","267","200.5","1674"
"75(1,G3)","Unknown23","6187.5","841.5","7935","1864","10179","5482.5","351","2553","1851","472","1582","2762","1396.5","1655.5","4153.5","5190","550","16979","7257.5","5016.5","2042","5442","715.5","4922","3726","479","803","1870.5","1582"
"76(1,G4)","FD","14657.5","402","799.5","460.5","1919.5","432","914","144","7523","1750","5571.5","8368","273.5","1745","12854","17343.5","613.5","13151","319","17042.5","1965.5","3527.5","2729","15384","2956.5","1073.5","4792","3439","1648"
"77(1,G5)","Unknown39","92","130","980","407.5","2408","581.5","876","438","84","1895","107","155","648","2961","37","49","184.5","4643","640","52","1981","3156","107","76.5","4008","129","110","86","1746"
"85(1,H1)","Unknown8","199.5","226","1107","1778","3932","360.5","230","88","103.5","429.5","143","299","1223","6107","33","64","371","2700.5","178.5","77","2406","948","152","145","3706","160","138.5","108","1569"
"86(1,H2)","Unknown16","159","354.5","1343","1294","3200","476","1082","89","97","1904","139","150","1143","2025","35","48.5","257","8736","94.5","45","1676","8238.5","133.5","71","1752","153","132.5","131","1789"
"87(1,H3)","Unknown24","5140.5","973","1958.5","1589","6055","681.5","692","2733","2696","1692.5","1926","4004.5","1293","1524","2699","5041","377","15243.5","8535","4762","1391.5","2640","692","5258.5","555","470","2105","906","1616"
"88(1,H4)","LG","19919","376","2226.5","539","5633","370","475.5","229","13058.5","710","11143","13939.5","787.5","2158","19161","21322","224","10834","153","21174","1272.5","1492","5238","18853","1927","2317.5","9128","2513","1706"
"89(1,H5)","Unknown40","1754","475","4262","2678","5145.5","1555","666","160","567.5","684","226","256","1800.5","8088","369.5","1809","645","19808","128","2308","1247","4757","272.5","2471","3253","309","259.5","352.5","1714"

"DataType:","Count"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","73","61","78","60","81","72","68","59","73","77","57","48","66","70","69","54","49","58","59","66","55","76","76","66","68","72","54","52","1817"
"2(1,A2)","S","46","45","74","74","82","69","72","38","74","77","56","63","64","90","51","72","56","60","56","55","59","64","61","69","66","63","57","59","1772"
"3(1,A3)","S","70","58","80","65","74","62","85","52","62","67","79","52","72","78","81","50","45","67","77","52","56","56","67","55","66","75","43","51","1797"
"4(1,A4)","S","65","53","81","73","56","50","65","60","64","76","70","69","72","70","74","58","45","64","78","71","46","57","78","68","59","58","66","54","1800"
"5(1,A5)","S","79","52","71","58","65","69","68","56","68","77","75","57","55","63","53","58","40","68","66","76","59","67","70","50","65","56","67","58","1766"
"6(1,A6)","S","59","61","75","64","61","58","60","67","72","85","58","67","66","67","56","67","40","63","75","55","55","70","72","77","52","71","71","50","1794"
"7(1,A7)","S","86","58","88","68","82","69","78","65","86","92","65","58","72","64","72","60","43","66","60","73","63","66","76","74","61","83","63","66","1957"
"8(1,A8)","S","80","48","69","77","72","45","64","61","65","87","64","70","75","63","76","58","38","64","74","53","63","60","79","61","67","89","67","59","1848"
"9(1,A9)","S","74","64","78","59","82","54","69","58","61","65","68","74","57","64","64","59","49","50","68","58","65","54","60","58","75","67","59","53","1766"
"10(1,A10)","S","59","64","94","71","47","62","67","60","68","66","72","69","63","53","56","46","55","65","66","61","55","62","64","49","67","49","58","49","1717"
"11(1,A11)","S","61","45","71","77","67","46","71","60","69","76","63","71","83","80","65","48","43","74","71","64","69","67","63","65","73","61","63","55","1821"
"12(1,A12)","S","66","64","77","59","65","54","71","73","64","80","67","76","59","65","71","59","49","38","90","64","44","64","63","72","53","73","56","69","1805"
"13(1,B1)","Unknown2","62","60","88","74","66","45","67","69","81","81","75","64","64","63","70","66","46","60","75","70","64","82","67","65","56","62","57","54","1853"
"14(1,B2)","Unknown10","74","58","77","65","55","48","67","52","59","58","74","55","68","73","64","55","41","61","73","55","43","64","62","57","63","74","50","49","1694"
"15(1,B3)","Unknown18","71","71","75","50","60","60","64","57","55","107","64","76","70","70","58","59","50","57","65","60","55","69","59","58","55","73","68","53","1789"
"16(1,B4)","Unknown26","70","70","91","69","77","68","71","72","54","81","67","69","71","68","55","61","59","59","71","62","53","69","83","66","64","83","56","51","1890"
"17(1,B5)","Unknown34","58","54","77","69","56","58","52","61","60","60","61","67","58","70","59","60","43","78","83","56","64","68","73","56","72","59","54","53","1739"
"18(1,B6)","Unknown42","66","58","82","70","66","57","61","63","70","69","75","66","68","72","59","56","52","48","67","67","61","78","65","72","64","72","52","62","1818"
"25(1,C1)","Unknown3","63","52","74","56","58","60","75","60","76","74","63","72","65","81","57","52","40","57","77","74","43","72","75","70","60","61","60","52","1779"
"26(1,C2)","Unknown11","76","51","79","69","79","56","53","57","66","86","82","70","62","59","67","55","39","53","82","67","67","66","84","75","73","53","58","57","1841"
