"STATION","STATION_NAME","STATE","LONGITUDE","LATITUDE","ELEVATION","YRS","maxobs","yr50","HUC","TD","FFP","MCMT","MWMT","PPTWT","RH","MAT"
"USC00051741","COLLBRAN","CO",-107.967,39.238,1823,20,1.819,1.58,"14010005",26.6000003814697,130,-5.30000019073486,21.3999996185303,69,48,8.19999980926514
"USC00021920","COLORADO CITY","AZ",-112.974,36.994,1527,32,0.91,0.91,"15010009",23.5,170,0.899999976158142,24.3999996185303,80,50,12.1999998092651
"USC00051772","COLORADO NATIONAL MONUMENT","CO",-108.734,39.101,1762,43,1.101,1.293,"14010005",28.2999992370605,166,-4.09999990463257,24.1000003814697,52,56,10
"USS0008L02S","COLUMBINE PASS","CO",-108.38,38.42,2865,31,9.145,7.709,"14020005",22.8999996185303,95,-5.19999980926514,17.7000007629395,267,50,5.69999980926514
"904","COLUMBUS BASIN","CO",-108.024,37.441,3287,23,11.012,11.06,"14080105",19.2999992370605,49,-7.90000009536743,11.3999996185303,386,54,1.20000004768372
"USC00261905","CONTACT","NV",-114.751,41.777,1634,18,1.389,1.389,"17040213",24.2000007629395,91,-4.19999980926514,20,49,45,7.09999990463257
"USC00421731","CORINNE","UT",-112.114,41.55,1289,22,1.724,1.915,"16010204",28.2000007629395,159,-4.30000019073486,23.8999996185303,111,55,9.60000038146973
"USC00051886","CORTEZ","CO",-108.595,37.344,1880,39,1.389,1.149,"14080202",25.6000003814697,134,-3.40000009536743,22.2000007629395,71,46,9.30000019073486
"USS0010G25S","COTTONWOOD CREEK","WY",-110.81,42.65,2338,33,9.289,9.432,"17040105",23.2000007629395,61,-8.39999961853027,14.8999996185303,294,55,2.09999990463257
"USC00421759","COTTONWOOD WEIR","UT",-111.783,40.619,1512,44,2.873,2.394,"16020204",25.2000007629395,146,-3.5,21.7999992370605,173,57,8.39999961853027
"USS0011J32S","CURRANT CREEK","UT",-111.09,40.36,2438,39,5.075,6.224,"14060004",23.8999996185303,37,-8.89999961853027,15,197,43,2.59999990463257
"USC00421918","CUTLER DAM","UT",-112.053,41.833,1308,31,3.399,3.16,"16010204",27.3999996185303,142,-5.09999990463257,22.2999992370605,112,55,8.19999980926514
"USS0011J23S","DANIELS STRAWBERRY","UT",-111.26,40.3,2450,39,7.469,8.858,"16020203",24.3999996185303,59,-8.5,15.8999996185303,228,48,3.20000004768372
"USC00422057","DEER CREEK DAM","UT",-111.533,40.4,1606,37,3.064,3.495,"16020203",25.6000003814697,123,-5.30000019073486,20.2999992370605,227,53,7.09999990463257
"USW00023162","DELTA","UT",-112.586,39.337,1409,36,0.766,0.91,"16030005",28,139,-4,24.1000003814697,40,46,9.69999980926514
"USC00422101","DESERET","UT",-112.652,39.287,1399,29,1.197,1.484,"16030005",28.2000007629395,139,-4,24.2000007629395,40,46,9.80000019073486
"USC00422116","DESERT EXPERIMENTAL RANGE","UT",-113.75,38.6,1601,14,1.197,1.245,"16020302",26.2000007629395,132,-2.79999995231628,23.3999996185303,25,44,9.69999980926514
"USS0011K15S","DILL S CAMP","UT",-111.47,39.05,2799,39,7.038,7.182,"14070002",21.6000003814697,62,-7.09999990463257,14.5,235,53,2.79999995231628
"USC00052286","DINOSAUR NATIONAL MONUMNT","CO",-108.972,40.244,1805,35,1.772,1.963,"14050007",29.2999992370605,140,-6.5,22.7999992370605,44,51,8.10000038146973
"USC00422173","DINOSAUR NM QUARRY AREA","UT",-109.304,40.438,1463,32,1.341,1.772,"14060010",32.5,135,-9.19999980926514,23.3999996185303,42,44,8.10000038146973
"USC00052326","DOLORES","CO",-108.498,37.475,2118,27,2.633,2.681,"14030002",24.1000003814697,118,-4.40000009536743,19.7000007629395,110,48,7.5
"USS0011L05S","DONKEY RESERVOIR","UT",-111.48,38.21,2987,32,4.453,3.83,"14070003",21.2000007629395,53,-7.19999980926514,14,112,50,2.40000009536743
"USS0015J01S","DORSEY BASIN","NV",-115.2,40.89,2469,39,9.432,7.374,"16040101",21.3999996185303,83,-5.09999990463257,16.2999992370605,266,55,4.30000019073486
"US1CODR0003","DOVE CREEK 124 SSW","CO",-108.995,37.601,2013,12,2.681,2.538,"14080203",26.1000003814697,142,-4,22,83,52,8.80000019073486
"USC00422235","DRAPER POINT OF MOUNTAIN","UT",-111.9,40.486,1372,21,1.149,1.053,"16020204",26.7000007629395,162,-2.5,24.2999992370605,96,54,10.3999996185303
"USS0011H55S","DRY BREAD POND","UT",-111.54,41.41,2545,39,10.151,10.677,"16010203",23,84,-6.90000009536743,16.1000003814697,257,58,3.5
"USS0012J09S","DRY FORK","UT",-112.17,40.57,2162,23,6.464,5.889,"16020204",24.6000003814697,130,-4.69999980926514,19.8999996185303,174,60,6.69999980926514
"USC00422253","DUCHESNE","UT",-110.4,40.167,1682,36,1.245,1.676,"14060003",29.6000003814697,123,-8.10000038146973,21.5,41,47,7.19999980926514
"USC00422257","DUGWAY","UT",-112.919,40.183,1323,25,0.862,0.91,"16020306",28.3999996185303,154,-3,25.2999992370605,40,51,10.3999996185303
"USS0009K01S","EAST WILLOW CREEK","UT",-109.53,39.31,2530,31,3.783,4.118,"14060006",25,117,-6.59999990463257,18.5,87,58,5.30000019073486
"USC00422385","ECHO DAM","UT",-111.433,40.967,1667,48,1.819,1.819,"16020101",25.1000003814697,100,-5.40000009536743,19.7000007629395,92,46,6.80000019073486
"USS0008M06S","EL DIENTE PEAK","CO",-108.02,37.79,3048,31,6.655,6.607,"14030002",19.5,40,-7.5,11.8999996185303,227,45,1.5
"USC00422418","ELBERTA","UT",-111.95,39.95,1430,22,1.245,1.484,"16020201",27.2999992370605,151,-3.29999995231628,24,69,50,10.1000003814697
"USW00023154","ELY YELLAND FIELD AIRPORT","NV",-114.847,39.295,1909,46,1.724,1.436,"16060008",24.1000003814697,106,-3.29999995231628,20.7999992370605,49,45,7.90000009536743
"USS0011G06S","EMIGRANT SUMMIT","ID",-111.56,42.36,2252,36,11.874,12.257,"16010202",24.2999992370605,87,-7.59999990463257,16.7000007629395,284,57,3.5
"USC00422561","ENTERPRISE BERYL JCT","UT",-113.65,37.767,1570,23,1.149,1.245,"16030006",24.3999996185303,117,-2.29999995231628,22.1000003814697,54,42,9.39999961853027
"USC00422558","ENTERPRISE","UT",-113.716,37.57,1622,35,2.107,2.011,"16030006",24.1000003814697,130,-1.79999995231628,22.2999992370605,100,46,9.69999980926514
"USC00422578","EPHRAIM USFS","UT",-111.586,39.358,1679,12,1.963,2.202,"16030004",26.2000007629395,127,-4.40000009536743,21.8999996185303,75,48,8.60000038146973
"USC00422592","ESCALANTE","UT",-111.598,37.768,1771,38,2.155,1.963,"14070005",25.3999996185303,137,-3.09999990463257,22.2999992370605,53,48,9.39999961853027
"USC00422607","ESKDALE","UT",-113.953,39.109,1518,31,0.958,1.149,"16020301",26.6000003814697,139,-2.5,24.1000003814697,19,45,10.1999998092651
"USC00422625","EUREKA","UT",-112.117,39.95,1972,13,2.777,4.022,"16030005",24.5,134,-3.90000009536743,20.6000003814697,115,57,7.5
"USC00483100","EVANSTON 1 E","WY",-110.95,41.267,2079,30,2.059,2.202,"16010101",24.5,67,-7.30000019073486,17.2999992370605,52,46,4.40000009536743
"USC00422696","FAIRFIELD","UT",-112.087,40.267,1487,41,1.197,1.341,"16020201",26.2999992370605,145,-3.40000009536743,22.8999996185303,72,52,9.39999961853027
"USC00422702","FAIRVIEW 8 N","UT",-111.416,39.748,2057,36,3.735,3.735,"16030004",25,94,-6.40000009536743,18.6000003814697,115,47,5.69999980926514
"USC00422700","FAIRVIEW","UT",-111.433,39.617,1817,12,2.011,2.011,"16030004",26,105,-5.90000009536743,20.1000003814697,101,45,7
"USC00422726","FARMINGTON 3 NW","UT",-111.925,41.018,1335,39,2.202,1.819,"16020102",27.2000007629395,173,-2.5,24.7000007629395,141,58,10.6000003814697
"USC00293142","FARMINGTON AG SCI CTR","NM",-108.313,36.695,1714,29,0.622,0.718,"14080105",26.2000007629395,158,-2.29999995231628,23.7999992370605,38,49,10.6999998092651
"USS0011J12S","FARMINGTON LOWER","UT",-111.81,40.97,2066,14,8.044,10.438,"16020102",22.3999996185303,104,-6.09999990463257,16.2999992370605,412,61,4.09999990463257
"USS0011J11S","FARMINGTON","UT",-111.82,40.99,2438,39,16.662,16.95,"16020102",23.5,124,-5,18.5,331,60,5.90000009536743
"USS0011L01S","FARNSWORTH LAKE","UT",-111.68,38.77,2951,37,9.815,8.523,"16030003",21.7000007629395,61,-7.40000009536743,14.3000001907349,259,56,2.29999995231628
"USC00422798","FERRON","UT",-111.132,39.087,1807,42,1.436,1.58,"14060009",27.2999992370605,134,-5.19999980926514,22,41,48,8.5
"USC00422828","FILLMORE","UT",-112.328,38.966,1561,48,1.58,1.532,"16030005",26.7000007629395,146,-2.79999995231628,23.8999996185303,98,48,10.1000003814697
"USC00422852","FISH SPRINGS NWR","UT",-113.398,39.84,1323,30,0.575,0.814,"16020306",28.2000007629395,156,-2.79999995231628,25.5,31,50,10.8000001907349
"USS0010J26S","FIVE POINTS LAKE","UT",-110.47,40.72,3335,37,9.337,8.906,"14060003",20.7999992370605,30,-10.5,10.3000001907349,216,47,-1.29999995231628
"USC00422864","FLAMING GORGE","UT",-109.412,40.932,1911,46,1.628,1.58,"14040106",26.2999992370605,120,-5.59999990463257,20.7000007629395,34,50,7
"USC00483396","FONTENELLE DAM","WY",-110.067,41.983,1975,22,1.724,1.484,"14040103",27.7999992370605,65,-10,17.7999992370605,16,42,3.70000004768372
"USC00422996","FORT DUCHESNE","UT",-109.861,40.284,1539,23,1.149,1.245,"14060003",32.5,132,-9.60000038146973,22.8999996185303,28,45,7.69999980926514
"USC00483582","FOSSIL BUTTE","WY",-110.77,41.837,2067,27,2.825,2.825,"16010101",26,61,-8.60000038146973,17.3999996185303,55,44,3.79999995231628
"USS0011G32S","FRANKLIN BASIN","ID",-111.6,42.05,2490,39,13.071,14.268,"16010202",23.2999992370605,73,-7.80000019073486,15.5,388,55,2.90000009536743
"USC00423012","FREMONT INDIAN S P","UT",-112.335,38.578,1804,27,1.915,1.724,"16030003",24.7999992370605,121,-3,21.8999996185303,66,45,8.69999980926514
"USC00053146","FRUITA","CO",-108.733,39.165,1373,19,0.958,1.149,"14010005",29.5,164,-4.30000019073486,25.2000007629395,46,49,10.8999996185303
"USC00293340","FRUITLAND","NM",-108.358,36.733,1570,29,0.622,0.718,"14080105",26.3999996185303,158,-2,24.3999996185303,45,46,11.1999998092651
"USS0013M07S","GARDNER PEAK","UT",-113.46,37.4,2537,13,6.56,6.751,"15010008",21,105,-3.90000009536743,17.1000003814697,156,57,5.5
"USC00423097","GARFIELD","UT",-112.198,40.723,1320,31,1.58,1.101,"16020204",27.2999992370605,179,-2.29999995231628,25,79,61,10.6999998092651
"USC00423138","GARRISON","UT",-114.033,38.933,1608,17,1.532,2.298,"16020301",25.8999996185303,132,-2.5,23.2999992370605,32,45,9.80000019073486
"USC00053246","GATEWAY","CO",-108.973,38.683,1391,33,1.005,0.862,"14030004",28.5,167,-3.59999990463257,24.7999992370605,49,51,11.1000003814697
"USC00423183","GENEVA STEEL 2","UT",-111.733,40.3,1388,12,1.005,0.958,"16020201",26.7000007629395,162,-2.70000004768372,24,90,54,10.3999996185303
"USC00263114","GIBBS RANCH JARBIDGE 24 SE","NV",-115.215,41.57,1829,28,2.202,2.202,"16040101",24.5,81,-5.59999990463257,18.8999996185303,73,45,6
"USS0011G33S","GIVEOUT","ID",-111.17,42.41,2112,36,5.41,4.74,"16010201",23.8999996185303,68,-7.80000019073486,16.1000003814697,141,51,3.20000004768372
"USC00053307","GLADE PARK 17 W","CO",-109.053,38.954,1946,18,1.819,1.963,"14030001",27.2999992370605,153,-4.69999980926514,22.6000003814697,83,55,8.89999961853027
"USC00423260","GOLD HILL","UT",-113.833,40.167,1621,18,1.053,1.532,"16020306",26.2999992370605,164,-1.89999997615814,24.3999996185303,49,58,10.1999998092651
"USS0011L12S","GOOSEBERRY RANGER STATION","UT",-111.68,38.8,2423,37,6.607,4.692,"16030003",22.5,90,-5.19999980926514,17.2999992370605,184,53,5
"USC00053489","GRAND JUNCTION 6 ESE","CO",-108.466,39.042,1451,37,0.862,0.91,"14010005",29,173,-3.79999995231628,25.2000007629395,38,53,11.1999998092651
"US1COME0003","GRAND JUNCTION 8 NNW","CO",-108.619,39.178,1448,14,0.814,1.101,"14010005",29.2999992370605,168,-4.09999990463257,25.2000007629395,39,51,11
"USW00023066","GRAND JUNCTION WALKER FIELD","CO",-108.537,39.134,1476,48,1.197,0.91,"14010005",29.1000003814697,172,-3.90000009536743,25.1000003814697,40,53,11
"USC00053508","GRAND VALLEY - combined","CO",-108.05,39.45,1552,18,1.963,2.298,"14010005",27.8999996185303,150,-4.30000019073486,23.7000007629395,69,48,9.89999961853027
"USC00423348","GRANTSVILLE 2 W","UT",-112.486,40.601,1339,37,1.245,1.149,"16020304",27.2999992370605,161,-2.70000004768372,24.6000003814697,55,56,10.3000001907349
"USC00263340","GREAT BASIN NATIONAL PARK","NV",-114.224,39.007,2082,45,2.394,2.202,"16020301",24.3999996185303,133,-2.90000009536743,21.5,66,54,8.19999980926514
