Feature,12C_rep_1_fraction_10,12C_rep_1_fraction_1,12C_rep_1_fraction_2,12C_rep_1_fraction_3,12C_rep_1_fraction_4,12C_rep_1_fraction_5,12C_rep_1_fraction_6,12C_rep_1_fraction_7,12C_rep_1_fraction_8,12C_rep_1_fraction_9,12C_rep_2_fraction_10,12C_rep_2_fraction_1,12C_rep_2_fraction_2,12C_rep_2_fraction_3,12C_rep_2_fraction_4,12C_rep_2_fraction_5,12C_rep_2_fraction_6,12C_rep_2_fraction_7,12C_rep_2_fraction_8,12C_rep_2_fraction_9,12C_rep_3_fraction_10,12C_rep_3_fraction_1,12C_rep_3_fraction_2,12C_rep_3_fraction_3,12C_rep_3_fraction_4,12C_rep_3_fraction_5,12C_rep_3_fraction_6,12C_rep_3_fraction_7,12C_rep_3_fraction_9,12C_rep_3_fraction_8,13C_rep_1_fraction_10,13C_rep_1_fraction_1,13C_rep_1_fraction_2,13C_rep_1_fraction_3,13C_rep_1_fraction_4,13C_rep_1_fraction_5,13C_rep_1_fraction_6,13C_rep_1_fraction_7,13C_rep_1_fraction_8,13C_rep_1_fraction_9,13C_rep_2_fraction_10,13C_rep_2_fraction_1,13C_rep_2_fraction_2,13C_rep_2_fraction_3,13C_rep_2_fraction_4,13C_rep_2_fraction_5,13C_rep_2_fraction_6,13C_rep_2_fraction_7,13C_rep_2_fraction_8,13C_rep_2_fraction_9,13C_rep_3_fraction_10,13C_rep_3_fraction_1,13C_rep_3_fraction_2,13C_rep_3_fraction_3,13C_rep_3_fraction_4,13C_rep_3_fraction_5,13C_rep_3_fraction_6,13C_rep_3_fraction_7,13C_rep_3_fraction_8,13C_rep_3_fraction_9
NC_014210.1,0.458213,0.46125,0.018587,0.000262,0.000105,0.035054,7.562804,13.056385,0.461564,0.459051,0.455988,0.464077,0.019634,0.000105,0.000052,0.037043,7.548615,13.057145,0.46858,0.457663,0.44994,0.457637,0.019137,0.000314,0,0.033562,7.567202,13.069501,0.459627,0.465726,2.044641,0.545861,0.549421,0.539473,0.15964,0.001309,0,0.003534,1.108816,55.359938,2.19072,0.537221,0.540415,0.543347,0.14532,0.001257,0.000209,0.004529,1.091276,52.16423,2.357245,0.545285,0.542065,0.542064,0.157729,0.000995,0.000105,0.003639,1.095412,54.382202
NC_014211.1,0.454351,0.46292,0.019864,0,0,0.063294,7.403412,1.712435,0.452988,0.476358,0.456493,0.470905,0.020643,0.000389,0,0.067189,7.425613,1.691207,0.459025,0.458441,0.469152,0.428255,0.020838,0,0,0.070499,7.419381,1.674458,0.43994,0.465062,1.157982,0.539262,0.527188,0.525824,0.150347,0.001558,0,0.008764,1.315924,46.816672,0.911818,0.528356,0.538483,0.538094,0.137688,0.000779,0,0.013827,1.290607,44.383469,0.792047,0.516476,0.553479,0.508492,0.157163,0.000389,0.000389,0.009932,1.324104,45.097227
NC_014212.1,0.041266,0.042474,0.001626,0,0.000093,0.193084,0.019936,0.041219,0.036851,0.038942,0.039639,0.041684,0.002231,0,0.000093,0.182581,0.019703,0.039918,0.041451,0.038431,0.04266,0.0395,0.001673,0,0.000186,0.185602,0.018774,0.036851,0.039778,0.039778,0.044193,0.043589,0.044379,0.042427,0.011571,0.000093,0.000093,0.030344,0.153956,0.024443,0.041451,0.041916,0.041637,0.041591,0.01171,0,0,0.031089,0.161484,0.021934,0.044611,0.038524,0.038245,0.04029,0.010502,0.000093,0.000093,0.03383,0.160973,0.02198
NC_014213.1,0.039502,0.038634,0.00217,0,0,0.134568,0.156707,0.046448,0.052091,0.0382,0.035161,0.04037,0.003473,0,0,0.145854,0.167993,0.039068,0.04775,0.045579,0.036898,0.037332,0.000868,0,0,0.147591,0.150195,0.037332,0.037766,0.037332,0.049052,0.044277,0.038634,0.042975,0.009984,0,0,0.014325,0.187961,0.153668,0.034727,0.038634,0.046014,0.0382,0.013891,0,0,0.016495,0.188395,0.129359,0.049486,0.051223,0.050354,0.055564,0.015193,0,0,0.015193,0.217045,0.159311
NC_014214.1,0.052186,0.032768,0.002427,0,0,0.101944,0.415059,0.037622,0.047331,0.024272,0.04369,0.037622,0.002427,0,0,0.076458,0.425981,0.049758,0.060681,0.04369,0.037622,0.038836,0,0,0,0.077672,0.446613,0.04005,0.052186,0.036409,0.053399,0.019418,0.041263,0.046118,0.012136,0,0,0.007282,0.245152,0.480594,0.031554,0.054613,0.031554,0.042477,0.012136,0,0,0.010923,0.258501,0.531566,0.060681,0.04005,0.037622,0.052186,0.007282,0,0,0.008495,0.218452,0.524284
NC_014363.1,1.050578,1.015843,0.04489,0.000442,0.017073,3.366617,5.504126,1.00554,1.029089,1.053227,1.043954,1.011575,0.045185,0.000883,0.019501,3.349544,5.449375,0.979048,1.028059,1.037037,1.050357,1.049106,0.040916,0.000736,0.019281,3.340419,5.454673,1.009882,1.028206,1.042483,1.109008,1.121813,1.140652,1.145215,0.323209,0.002355,0.006034,0.361771,5.097244,4.659674,1.125346,1.133146,1.115337,1.097087,0.302162,0.003827,0.007212,0.383406,5.140442,4.230716,1.09326,1.114307,1.140652,1.135207,0.337486,0.002502,0.00677,0.381935,5.172233,4.389596
NC_014364.1,10.589406,10.574156,25.740961,7.704489,15.579186,0.845982,0.015898,10.041273,10.601248,10.54927,10.591871,10.531847,25.731358,7.729991,15.594597,0.856819,0.018234,10.023298,10.563255,10.585998,10.594336,10.526267,25.732526,7.714871,15.525262,0.857857,0.016028,10.037022,10.586615,10.637521,10.270272,10.327636,10.312776,10.368289,20.03829,7.117681,14.492654,11.809451,0.075208,0.288375,10.312062,10.303367,10.380846,10.320303,21.083811,6.730737,14.497616,11.612864,0.065605,0.26774,10.286365,10.368419,10.343663,10.356512,17.108469,7.017554,14.531134,11.787615,0.078388,0.278901
NC_015761.1,14.619435,14.546475,3.561823,3.374838,21.714,4.245912,0.021871,13.843969,14.621803,14.622413,14.625258,14.525992,3.541815,3.38188,21.660099,4.236094,0.023123,13.890048,14.568278,14.629253,14.650174,14.578944,3.521806,3.428432,21.726967,4.234164,0.0216,13.933515,14.622685,14.591604,14.392737,14.45537,14.491393,14.42859,5.530566,2.801763,12.195062,23.678237,0.397466,0.397127,14.341243,14.512857,14.451409,14.431332,5.936936,2.676361,12.193672,23.596275,0.398211,0.374986,14.379263,14.472229,14.454826,14.455674,5.775105,2.833926,12.387938,23.734407,0.370585,0.384262
NC_017033.1,2.057999,2.042285,0.087496,0.00109,0.029417,8.943277,2.013329,1.946953,2.068726,2.051085,2.040315,2.041028,0.086323,0.001006,0.031177,8.958362,2.00126,1.943433,2.052719,2.05758,2.041363,2.069313,0.083222,0.00109,0.030506,8.908077,2.001763,1.943391,2.078448,2.051294,2.177426,2.1993,2.181029,2.167704,0.641553,0.00595,0.013912,1.083475,9.468671,1.695779,2.179605,2.186058,2.17047,2.192763,0.581965,0.004609,0.008548,1.098812,9.439171,1.53361,2.15463,2.17378,2.179856,2.177761,0.629359,0.004945,0.009889,1.104595,9.516275,1.554562
NC_017095.1,0.330803,0.314145,0.12616,2.501308,0.004321,0.000558,0.000558,0.307872,0.317281,0.317351,0.337146,0.3246,0.126717,2.509115,0.004879,0.000558,0.000697,0.304177,0.318883,0.318466,0.324391,0.328712,0.120584,2.526888,0.004879,0.000697,0.000418,0.3223,0.319233,0.319372,0.303341,0.290655,0.295256,0.299368,0.199904,3.860417,0.459472,0.004461,0.000279,0.010037,0.306687,0.29644,0.309893,0.295534,0.190006,3.83184,0.452502,0.00223,0.000139,0.008782,0.311566,0.302086,0.29658,0.296092,0.434589,3.821454,0.467209,0.00237,0.000139,0.009061
NC_018014.1,1.971776,1.973625,0.081972,0.001675,0.063255,9.318178,0.005257,1.877962,1.964324,1.988384,1.98564,1.983619,0.083994,0.000867,0.065913,9.344693,0.004564,1.884605,1.980008,1.978535,1.976918,1.978131,0.081221,0.001098,0.061638,9.336548,0.004795,1.882988,1.973798,1.964844,2.053922,2.080495,2.044332,2.0519,0.612682,0.004621,0.013287,2.625559,5.090756,0.081394,2.030237,2.0638,2.054326,2.05811,0.544169,0.004564,0.013402,2.647309,5.045582,0.072325,2.039249,2.078097,2.055683,2.034974,0.596218,0.004448,0.01398,2.672033,5.033566,0.083185
NC_018066.1,0.119907,0.17986,0.009992,1.224048,0,0,0,0.149883,0.17986,0.129899,0.149883,0.189852,0.004996,1.279005,0,0,0,0.159876,0.229821,0.199844,0.144887,0.209837,0.004996,1.443876,0,0,0,0.134895,0.164872,0.144887,0.119907,0.134895,0.154879,0.134895,0.034973,1.693682,0.264794,0,0,0.004996,0.139891,0.134895,0.174864,0.159876,0.034973,1.578771,0.239813,0,0,0.004996,0.154879,0.109914,0.174864,0.144887,0.064949,1.558787,0.304763,0,0,0.004996
NC_018067.1,0.232487,0.077496,0,1.239928,0,0,0,0.154991,0.309982,0.154991,0.387478,0.309982,0,1.162433,0,0,0,0.154991,0.232487,0.154991,0.309982,0,0,0.852451,0,0,0,0.154991,0.154991,0.154991,0.387478,0.542469,0.232487,0.387478,0.154991,0.464973,0.154991,0.077496,0,0,0.077496,0.542469,0.154991,0.154991,0.077496,0.309982,0.387478,0,0,0,0,0,0.077496,0.309982,0,0.154991,0.542469,0,0,0
NC_018068.1,0.161763,0.168352,0.308446,0.899686,0.092712,0.000245,0.000306,0.162192,0.172306,0.16351,0.159985,0.161916,0.305535,0.886905,0.088298,0.000245,0.000306,0.157502,0.167126,0.165042,0.172275,0.170681,0.300508,0.891319,0.087961,0.000429,0.000368,0.154346,0.170743,0.169609,0.151833,0.159924,0.161609,0.157656,0.193821,0.791864,0.352978,0.011861,0.000061,0.004751,0.155051,0.155939,0.161088,0.160751,0.217359,0.795665,0.365575,0.011217,0.000245,0.00377,0.15643,0.156246,0.152016,0.16308,0.190542,0.788156,0.360549,0.010758,0.000123,0.004168
NC_018515.1,3.2919,3.311296,0.387727,20.437686,1.168263,0.035259,0.00409,3.141754,3.307299,3.290599,3.315727,3.304355,0.381314,20.406641,1.170834,0.033307,0.005391,3.136766,3.318391,3.292551,3.261413,3.277648,0.383049,20.404689,1.162624,0.036746,0.005205,3.151297,3.296951,3.289422,3.117494,3.144512,3.148509,3.142529,1.258858,17.169209,6.95647,0.196404,0.005639,0.086599,3.101538,3.128587,3.118238,3.161181,2.036388,17.156785,6.988879,0.202756,0.004338,0.083996,3.131995,3.134938,3.130786,3.156317,2.895095,17.107583,6.971497,0.20006,0.003904,0.082726
NC_019792.1,16.14759,16.166522,0.67828,0.007254,0.628257,73.034642,4.978307,15.376039,16.120406,16.155679,16.112793,16.1047,0.689879,0.008211,0.637983,73.219548,4.96894,15.362208,16.171824,16.177442,16.19259,16.138302,0.680472,0.007454,0.62451,72.99303,4.949409,15.385485,16.151456,16.170509,17.014881,17.158971,17.158931,17.147731,5.082458,0.055723,0.318075,12.508505,64.401226,4.398797,16.973866,17.111141,17.153032,17.107035,4.611803,0.036431,0.303088,12.545932,64.348853,6.354478,16.977653,17.134378,17.140635,17.194884,5.003378,0.03667,0.344222,12.573156,64.191928,5.171902
NC_019897.1,19.868917,19.84325,0.836284,0.637731,2.879356,83.092552,11.057245,18.931472,19.805162,19.823505,19.872902,19.896559,0.842171,0.639957,2.839365,82.940595,11.002214,18.905841,19.876563,19.872542,19.863999,19.803511,0.83115,0.63791,2.823391,83.082034,11.065538,18.909969,19.860625,19.885932,20.731694,20.863942,20.767197,20.781305,6.185613,0.995133,1.401716,21.304556,62.18467,8.142458,20.669877,20.780551,20.806721,20.792433,7.334713,0.950655,1.38951,21.061131,62.072704,9.332482,20.671672,20.712883,20.852634,20.827757,6.057133,1.025252,1.371274,21.162902,62.044237,11.312769
NC_019898.1,17.352925,17.285108,0.771286,24.999993,23.356202,1.601279,0.039475,16.531029,17.019915,17.40657,17.250694,17.455155,0.809749,25.635646,23.038376,1.630632,0.046561,16.443981,17.404546,17.234499,17.597874,17.25373,0.654885,25.104249,23.130485,1.60634,0.030366,16.848856,17.366083,17.163646,16.729418,16.733467,17.017891,16.847844,5.030567,6.670309,31.850471,13.196887,0.284424,0.501032,17.148463,16.920721,17.057366,17.269925,4.566985,6.322117,31.359561,13.487385,0.199401,0.375521,16.476371,17.111012,17.020927,16.745613,4.954653,10.806103,32.380857,11.992385,0.093121,0.443338
NC_019904.1,30.533393,30.495101,52.075457,77.50849,34.897768,0.226714,0.043566,28.962093,30.495236,30.504201,30.486273,30.48207,52.108899,77.674729,34.953259,0.227037,0.049651,29.071439,30.567477,30.432203,30.53234,30.478088,52.130063,77.524855,34.916401,0.225744,0.044535,29.032395,30.507329,30.544271,29.1422,29.348773,29.343711,29.306662,43.623072,45.516912,70.117998,6.996112,0.028433,0.806073,29.154747,29.346081,29.316678,29.320095,43.388844,47.251085,70.22895,6.900769,0.028595,0.759841,29.097988,29.358302,29.343548,29.335903,38.044107,45.893172,69.932534,7.053222,0.041842,0.785663
NC_019936.1,12.125826,12.122756,0.513889,0.008515,0.58716,52.259508,12.605686,11.568898,12.195763,12.148533,12.15147,12.117079,0.513757,0.009968,0.58881,52.199703,12.599613,11.546092,12.14949,12.204213,12.159953,12.13543,0.518575,0.009505,0.585543,52.225744,12.616776,11.561142,12.086252,12.160745,12.879892,12.919597,12.921577,12.943427,3.81578,0.029705,0.159282,8.981929,49.497381,8.575175,12.859924,12.971976,12.880684,12.923029,3.490152,0.027922,0.149513,9.008333,49.895191,8.168355,12.88273,12.90755,12.912731,12.871212,3.76307,0.0268,0.150503,9.132432,49.667324,7.962007
NC_019937.1,12.730236,11.168534,0.544229,0,18.006895,0,0,9.985427,10.837264,11.357831,11.878398,10.931913,0.544229,0.023662,17.722949,0,0.047324,10.624305,11.097548,11.310507,11.405156,10.837264,0.567892,0.047324,18.290841,0,0,9.961764,11.073885,11.002899,10.57698,10.837264,10.624305,11.618115,3.147066,0,1.467053,23.425527,0,0.165635,9.938102,11.050223,11.144872,10.955575,2.721147,0.023662,3.809606,24.89258,0,0.307608,10.955575,10.624305,11.097548,12.044034,3.785944,0.023662,2.389877,25.318499,0,0.283946
NC_019938.1,12.490218,11.143234,0.459199,0,0,58.71627,0.030613,11.939179,10.592195,12.092245,12.398378,11.755499,0.734719,0,0,55.746782,0.061227,10.653421,12.367765,11.816726,13.286163,11.724886,0.673492,0,0,56.971313,0,11.326913,11.38814,12.031019,12.98003,13.469843,12.061632,12.735124,3.887886,0,0,18.184288,24.949823,0.612266,12.520831,11.34222,12.735124,12.061632,3.122554,0.030613,0,17.296503,29.082615,0.214293,11.449366,12.582058,11.38814,11.847339,4.01034,0,0,13.653523,31.011252,0.214293
NC_019939.1,10.878031,12.278174,0.861626,0,0,54.605563,0,11.524251,11.093438,11.739658,10.447218,13.78602,0.64622,0,0,57.944365,0,11.416548,12.278174,12.493581,12.062767,12.278174,0.64622,0,0,51.159058,0,10.554922,12.385877,12.493581,11.955064,11.847361,11.847361,15.186163,3.877318,0,0,10.447218,46.743224,0.32311,12.062767,10.985735,13.355207,13.678317,2.800285,0.215407,0,9.262482,36.619116,0.32311,11.416548,13.355207,11.955064,12.601284,3.661912,0.107703,0,14.970756,51.374465,0.538516
NC_019964.1,4.124416,4.113269,0.171052,0.002061,0.117095,14.468689,17.403794,3.945495,4.126852,4.140201,4.111395,4.130224,0.171896,0.001218,0.106603,14.446066,17.433396,3.922123,4.15191,4.149803,4.124276,4.144323,0.176907,0.001405,0.108196,14.46452,17.428337,3.953504,4.129615,4.130037,4.410925,4.48343,4.483008,4.472095,1.310715,0.01096,0.039625,1.653195,20.135388,11.39307,4.426147,4.453688,4.46521,4.502212,1.196056,0.008056,0.041311,1.633008,20.17979,11.642061,4.419355,4.466756,4.458278,4.45884,1.298631,0.008899,0.041592,1.649448,20.125318,10.981363
NC_019974.1,8.36957,8.325699,0.353268,0.086389,0.634068,18.549688,70.416732,7.933639,8.327505,8.335669,8.321447,8.344286,0.358422,0.079766,0.634068,18.569066,70.358751,7.906511,8.370247,8.357191,8.359599,8.351924,0.350408,0.079164,0.63309,18.551682,70.328162,7.982515,8.342028,8.333224,8.953483,8.998935,9.05146,9.089425,2.677745,0.059223,0.335922,2.599483,40.852689,51.009668,9.023392,9.070875,9.072004,9.031519,2.424185,0.047559,0.35323,2.56039,41.116107,49.272038,9.050971,9.014023,9.082426,9.070236,2.637297,0.042216,0.357519,2.570549,41.059668,49.257251
NC_019975.1,8.449185,6.511941,0.466806,0,10.012984,6.371899,0,6.698663,7.725636,7.118788,6.932066,7.592241,0.186722,0,9.68622,6.885385,0,7.445552,7.165469,7.795657,7.30551,7.608934,0.396785,0,9.452817,6.068475,0,7.748976,7.002087,7.23549,7.818997,7.795657,7.422212,7.352191,2.170647,0,0.956952,15.591313,0,0.186722,7.842337,7.095448,7.352191,7.585594,2.264008,0,1.400417,18.018703,1.493778,0.093361,7.608934,7.608934,7.23549,7.445552,2.193987,0.02334,0.536827,16.15148,1.003632,0.256743
NC_019976.1,7.94425,7.98987,0.353427,0.003146,1.27108,26.476113,30.223282,7.588725,8.13617,8.263593,7.975712,7.954213,0.321965,0.006292,1.199765,26.595146,29.994656,7.504825,7.942677,7.991443,8.127256,8.168157,0.346086,0.002097,1.173547,26.607206,30.123127,7.736074,8.090025,8.150328,8.4251,8.502183,8.509524,8.469147,2.491296,0.018877,0.629248,8.130927,25.679066,24.259589,8.403076,8.443977,8.332286,8.4036,2.277352,0.013634,0.466692,7.803718,25.789709,26.435737,8.465476,8.454465,8.555669,8.531023,2.487101,0.01678,0.71105,7.752329,26.142088,22.012127
NC_021184.1,0.161308,0.172379,0.119854,0.447166,0.199746,0.008708,0.000435,0.165351,0.168896,0.166626,0.178692,0.168337,0.11777,0.448193,0.185969,0.008739,0.000435,0.16137,0.169425,0.177013,0.17098,0.165444,0.123524,0.4467,0.188831,0.008521,0.000124,0.165164,0.176298,0.174059,0.162894,0.168119,0.1642,0.159784,0.188457,0.300723,0.344603,0.08039,0.000995,0.003981,0.158727,0.163578,0.162521,0.166937,0.078368,0.30884,0.348086,0.080732,0.000871,0.003794,0.166191,0.163703,0.164045,0.169176,0.103061,0.323674,0.345225,0.077995,0.000809,0.004665
S1080_ML_001_A,2.102747,2.330072,7.672187,0.056831,0.056831,0,0.227324,1.534437,1.989085,1.648099,1.932254,1.932254,8.524652,0.113662,0.113662,0.056831,0.397817,1.70493,1.591268,1.875423,1.591268,1.13662,7.103877,0,0,0.170493,0.340986,1.989085,1.761761,1.761761,13.923598,12.445992,13.355288,12.33233,4.205495,0.227324,0,0.170493,0.113662,3.807678,11.707189,13.127964,12.786978,12.048175,2.841551,0.227324,0.056831,0,0.170493,2.671058,12.502823,12.90064,13.014302,13.639443,3.807678,0.340986,0,0,0,3.239368
S1081_ML_002_A,3.581028,3.201222,14.269853,0.217032,0.108516,0.217032,0.54258,3.146964,3.472512,3.418254,3.960834,4.06935,16.114625,0.108516,0.054258,0.27129,0.379806,3.765361,2.767158,3.906576,3.635286,3.906576,14.703917,0.162774,0,0.162774,0.651096,3.146964,2.658642,3.201222,25.229968,25.501258,26.26087,25.935322,8.247215,0.379806,0.054258,0.108516,0.108516,6.565217,25.881064,24.524614,24.470356,24.958678,6.999281,0.488322,0.108516,0.054258,0.108516,7.379087,26.640676,25.609774,24.958678,24.795904,7.758893,0.488322,0,0.108516,0.162774,6.402443
S1082_ML_003_A,12.875637,13.089518,61.597734,0.684419,0.171105,0.470538,1.882153,12.96119,13.089518,14.330028,13.346176,14.586686,60.784986,0.8983,0,0.513314,2.053258,14.2017,13.175071,14.158924,14.415581,15.1,61.554958,0.513314,0.128329,0.556091,2.181586,13.175071,14.715014,13.945042,101.721813,104.288385,100.951841,98.94136,28.95949,2.13881,0.384986,0.171105,0.983853,29.900567,99.198017,99.796884,101.97847,100.866289,25.109632,2.48102,0.256657,0.085552,0.769972,25.152408,101.336827,95.947025,100.139093,99.668555,30.114448,1.796601,0.171105,0.213881,0.855524,28.745609
