Feature,1,2,3,4,5,6
MH_03,0,0.0839,0,0,0,0
MH_04,0.249,0.8332,0.8178,0.2517,0.1621,0.6732
MH_05,0.2107,0.5097,2.0181,0.5785,0.0839,0.2513
MH_06,3.6312,4.402,11.7154,1.7809,1.2148,4.6221
MH_07,54.846,115.7279,228.352,39.2628,39.2661,106.952
MH_09,2520.1644,4371.0728,9427.6272,1627.1171,1684.2946,4614.2829
MH_10,0.1393,0.4111,0.9644,0,0,0
MH_11,0.1678,0.2389,0.1678,0.2406,0,0.3356
MH_12,2068.6101,3216.5728,7305.603,1222.4342,1262.0174,3436.444
MH_14,1.3191,2.8013,7.0389,0.5872,1.254,3.0956
MH_15,517.0362,881.7883,1950.699,321.599,362.944,963.5701
MH_16,14.853,23.1762,56.2715,9.8819,9.3966,25.8362
MH_17,517.8419,928.9453,2047.8983,336.8547,356.5027,945.5114
MH_18,0,0,0.0839,0,0,0
MH_19,220.5701,521.7319,1115.7399,165.1433,215.0574,509.556
MH_20,0.0839,0.0839,0.0839,0.0839,0.0839,0.0352
MH_21,0.5872,0.744,1.5299,0,0.1074,0.7339
MH_22,75.9574,141.0621,286.4208,43.2772,49.594,136.0487
