"pdf","pagenum","storet_code","state","name","county","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","retention_time_units","alkalinity","conductivity","secchi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading","lat","long","chl"
474,119,"2752","MINNESOTA","MALMEUAL LAKE","POPE","NATURAL",21.5,0.79,1.8,0,1.3,"years",180,563,0.4,0.125,0.03,0.395,NA,136,NA,NA,82,218,422,NA,NA,3429,3850,544,NA,0.28,3333,13,4.9,45.673611,-95.527222,41
474,12,"0902","CONNECTICUT","BANTAM","LITCHFIELD","NATURAL",85.99,3.71,4.4,1.7,112,"days",33,110,1.7,0.044,0.014,0.135,NA,190,NA,NA,2132,2322,535,NA,NA,44562,45098,2431,NA,0.63,47927,NA,12.2,41.7,-73.225,31.2
474,120,"2756","MINNESOTA","MASHKENODE LAKE","ST LOUIS","NATURAL",45.58,0.41,2.1,0.3,40,"days",101,300,1,0.075,0.022,0.145,NA,1932,NA,NA,268,2200,5787,NA,NA,10313,16100,567,74,5.38,7066,56,39.4,47.828333,-92.597778,25.3
474,121,"2757","MINNESOTA","MCQUADE LAKE","ST LOUIS","NATURAL",64.23,0.66,2.7,0.4,57,"days",60,145,1.4,0.04,0.02,0.13,NA,367,NA,NA,426,794,1107,NA,NA,23088,24195,562,29,1.2,21206,12,36.5,47.425556,-92.766389,10.7
474,122,"2760","MINNESOTA","LAKE MINNETONKA","HENNEPIN","NATURAL",NA,58.56,6.9,NA,15,"years",130,360,1.4,0.047,0.018,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.961667,-93.51,16.6
474,123,"2761","MINNESOTA","LAKE MINNEWASKA","POPE","NATURAL",227.92,28.77,6,0.4,12.7,"years",220,640,1.7,0.035,0.017,0.14,NA,2930,NA,177,1129,4236,8789,NA,6571,50984,66345,426,90,0.15,14181,79,2.3,45.635278,-95.398889,7.6
474,124,"2765","MINNESOTA","PELICAN LAKE","ST LOUIS","NATURAL",179.49,44.29,2.4,1,3.3,"years",35,89,1.7,0.032,0.011,0.15,NA,358,NA,73,2086,2517,1070,NA,2780,82417,86268,1347,46,0.06,34277,60,1.9,48.059722,-92.936111,11.4
474,125,"2771","MINNESOTA","RABBIT LAKE","CROW WING","NATURAL",NA,2.15,7.2,NA,NA,"years",106,280,2.7,0.028,0.012,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.528333,-93.938333,6.7
474,126,"2776","MINNESOTA","ST LOUIS BAY","ST LOUIS (MN); DOUGLAS, (WI)","NATURAL",9564.09,9.79,3.4,67.9,6,"days",39,160,0.4,0.216,0.161,0.82,NA,156349,NA,NA,162122,318472,543528,NA,NA,2953785,3497313,226553,29,32.53,3467383,1,357.2,46.753333,-92.118333,4.7
474,127,"2782","MINNESOTA","SILVER LAKE","MCLEOD","NATURAL",5.7,1.71,1.2,0,2.3,"years",186,480,0.3,0.6,0.31,0.36,NA,789,NA,NA,118,907,2358,NA,NA,3837,6195,662,27,0.53,4240,32,3.6,44.898333,-94.2,126.1
474,128,"2783","MINNESOTA","SIX MILE LAKE","ST LOUIS","NATURAL",38.33,0.34,1.9,0.2,36,"days",127,320,0.9,0.235,0.151,0.095,NA,1533,NA,NA,195,1728,4594,NA,NA,8707,13302,766,56,5.08,15256,NA,39.1,47.448611,-92.810278,21
474,129,"2786","MINNESOTA","SUPERIOR BAY","ST LOUIS (MN","NATURAL",10828.52,14.69,3.8,82.6,8,"days",44,130,0.6,0.079,0.044,0.44,NA,148399,NA,NA,204653,353052,649497,NA,NA,3552790,4202286,144259,59,24.03,2890381,31,286.1,46.759167,-92.091667,6.2
474,13,"0903","CONNECTICUT","COMMUNITY LAKE","NEW HAVEN","IMPOUNDMENT",282.31,0.36,NA,5.5,NA,"years",66,280,0.9,0.488,0.36,2.15,NA,38236,NA,NA,57007,95243,179537,NA,NA,397179,576716,91810,4,261.49,553528,4,1583.4,41.463889,-72.828611,48.3
474,130,"2788","MINNESOTA","SWAN LAKE","ITASCA","NATURAL",293.45,10.58,12.1,1.7,2.4,"years",79,190,2.9,0.013,0.009,0.08,NA,3193,NA,95,1687,4975,9741,NA,3624,67710,81075,1052,79,0.47,33565,59,7.7,47.324722,-93.186667,3.8
474,131,"2792","MINNESOTA","TRACE LAKE","TODD","NATURAL",4.14,1.12,NA,0,NA,"years",206,420,1.1,1.13,0.088,1.08,NA,367,NA,NA,50,417,1107,NA,NA,2005,3111,91,78,0.37,780,75,2.8,45.831111,-94.763333,18.7
474,132,"2793","MINNESOTA","TROUT LAKE","ITASCA","NATURAL",41.96,7.65,15.2,0.2,17.4,"years",119,320,2.8,0.05,0.04,0.08,NA,2204,NA,9,290,2503,6612,NA,331,14608,21551,200,92,0.33,6168,71,2.8,47.28,-93.415833,7
474,133,"3302","NEW HAMPSHIRE","POWDER MILL POND","HILLSBOROUGH","IMPOUNDMENT",372.96,1.51,2.5,6.7,6.5,"days",10,65,1.2,0.033,0.016,0.17,NA,2540,NA,5,2141,4685,11247,NA,213,79197,90657,4413,6,3.11,88417,2,60.2,42.95,-71.933333,6.2
474,134,"3303","NEW HAMPSHIRE","LAKE WINNIPESAUKEE","BELKNAP, CARROL","NATURAL",940.17,180.44,13.1,18.2,4,"years",10,51,5.6,0.006,0.004,0.06,NA,10005,NA,1710,10603,22317,37420,NA,36313,413523,487256,5179,77,0.12,135778,72,2.7,43.546667,-71.468333,2.1
474,136,"3305","NEW HAMPSHIRE","KELLYS FALLS POND","HILLSBOROUGH","IMPOUNDMENT",564.62,0.52,2.3,8.9,1.5,"days",10,65,1.8,0.024,0.015,0.31,NA,3229,NA,63,11728,15020,9855,NA,2449,140476,152780,10122,33,28.77,178862,NA,292.6,43.016667,-71.571667,7
474,137,"3306","NEW HAMPSHIRE","GLEN LAKE","HILLSBOROUGH","IMPOUNDMENT",523.18,0.61,3.4,8.3,3,"days",10,75,1.7,0.028,0.015,0.135,NA,4032,NA,36,3955,8023,11646,NA,1333,147714,160694,5469,32,13.13,115370,28,263,43.000833,-71.502222,3.8
474,138,"3602","NEW YORK","BLACK LAKE","ST LAWRENCE","NATURAL",1445.22,33.8,NA,27,NA,"years",56,128,1.9,0.03,0.017,0.08,NA,NA,NA,NA,54200,54200,NA,NA,NA,962689,962689,41596,23,1.6,928122,4,28.5,44.484722,-75.623611,13.1
474,139,"3604","NEW YORK","CANADIAGUA","ONTARIO, YATES","NATURAL",476.56,42.99,39,3.6,15,"years",111,310,4.5,0.009,0.005,0.38,NA,2481,NA,299,3261,6041,9669,NA,4485,144671,158825,2100,65,0.14,79166,50,3.7,42.862222,-77.268056,4.3
474,14,"0904","CONNECTICUT","EAGLEVILLE","TOLLAND","IMPOUNDMENT",287.49,0.32,0.9,5.3,0.6,"days",10,90,1.6,0.094,0.04,0.5,NA,11374,NA,14,6127,17515,69728,NA,535,180689,250952,13819,21,54.1,257710,NA,775.1,41.783333,-72.283333,7.1
474,140,"3605","NEW YORK","CANNONSVILLE RESERVOIR","DELAWARE","IMPOUNDMENT",1175.86,19.43,19.2,20.6,210,"days",10,65,1.8,0.046,0.022,0.61,NA,NA,NA,NA,82780,82780,NA,NA,NA,851211,851211,24218,71,4.26,650989,24,43.3,42.091667,-75.325,29.9
474,141,"3606","NEW YORK","CARRY FALLS RESERVOIR","ST LAWRENCE","NATURAL",2261.07,26.14,5.4,42.9,38,"days",10,50,2.3,0.01,0.006,0.3,NA,NA,NA,5,18635,18639,NA,NA,159,1192525,1192683,13456,28,0.71,1376843,NA,45.6,44.416667,-74.666667,3.1
474,142,"3607","NEW YORK","CASSADAGA LAKE","CHAUTAUOUA","NATURAL",15.54,0.85,NA,0.3,6,NA,82,200,2.6,0.026,0.011,0.42,NA,454,NA,5,222,680,1361,NA,127,11882,13370,254,63,0.8,10875,19,15.7,42.345278,-79.316667,9.7
474,143,"3608","NEW YORK","CAYUGA LAKE","CAYUGAQSENECA9 TOMPKINS","NATURAL",2033.15,171.98,54.6,26.4,11.2,"years",105,500,2.8,0.014,0.008,0.78,NA,37075,NA,336,46676,84086,175179,NA,12721,1186815,1374715,40399,52,0.49,1069310,22,8,42.470278,-76.525278,3.2
474,144,"3610","NEW YORK","CHAUTAUQUA","CHAUTAUOUA","NATURAL",489.51,57.2,6.9,9.2,1.4,"years",49,150,2,0.028,0.013,0.09,NA,8213,NA,204,7156,15574,35029,NA,7642,263551,306222,18150,NA,0.27,344422,NA,5.4,42.107222,-79.296389,13.3
474,145,"3611","NEW YORK","CROSS LAKE","CAYUGAONONDAGA","NATURAL",8031.59,8.81,5.5,85.4,7,"days",129,650,1.3,0.076,0.042,0.485,NA,59048,NA,45,236127,295220,304005,NA,1633,4123799,4429436,223376,23,33.52,3967274,10,503,42.470278,-76.525278,19.5
474,146,"3613","NEW YORK","GOODYEAR LAKE","OTSEGO","NATURAL",906.5,1.48,NA,15.6,NA,"years",96,230,1.4,0.026,0.009,0.24,NA,3673,NA,50,18381,22104,13379,NA,1927,504295,519601,16127,27,14.96,563120,NA,351.8,42.416667,-74.916667,9.6
474,147,"3615","NEW YORK","LAKE HUNTINGTON","SULLIVAN","NATURAL",1.81,0.34,NA,0,0.5,"years",14,80,3.5,0.015,0.01,0.26,NA,NA,NA,5,32,36,NA,NA,236,1179,1415,18,50,0.11,685,52,4.2,41.682778,-74.990833,NA
474,148,"3617","NEW YORK","KEUKA LAKE","YATES STEUBEN","NATURAL",471.38,47.4,22.6,4.3,7.8,"years",74,241,3.6,0.008,0.005,0.305,NA,NA,NA,744,4195,4939,NA,NA,27991,179533,207524,2345,53,0.1,104576,50,4.4,42.625,-77.083333,5.7
474,149,"3619","NEW YORK","LONG LAKE","HAMILTON","NATURAL",1219.89,16.55,NA,26.6,NA,"years",10,50,2.9,0.008,0.005,0.22,NA,NA,NA,91,7347,7438,NA,NA,3370,667601,670970,8889,NA,0.45,644943,4,40.5,43.97,-74.433333,3.5
474,15,"0905","CONNECTICUT","HANOVER POND","NEW HAVEN","IMPOUNDMENT",246.31,0.26,1.4,4.8,0.8,"days",59,265,1,0.298,0.189,1.575,NA,29673,NA,NA,26875,56549,105900,NA,NA,247143,353043,56440,0,218.33,380676,NA,1363.1,41.521111,-72.827222,18.9
474,150,"3625","NEW YORK","OTTER LAKE","CAYUGA","NATURAL",7.51,1.14,NA,0.1,NA,"years",122,270,1.1,0.043,0.011,0.24,NA,NA,NA,NA,77,77,NA,NA,NA,7410,7410,177,NA,0.07,6399,14,6.5,43.14,-76.533889,13.3
474,151,"3627","NEW YORK","OWASCO","CAYUGA","NATURAL",NA,26.68,29.3,NA,NA,"years",107,280,2.7,0.009,0.005,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.780556,-76.482222,8.5
474,152,"3630","NEW YORK","ROUND LAKE","SARATOGA","NATURAL",69.93,1.3,NA,1.1,NA,"years",76,260,1.2,0.076,0.025,0.31,NA,1007,NA,NA,5751,6757,3016,NA,NA,44435,47451,5560,18,5.22,82390,NA,36.6,42.934167,-73.783333,28.3
474,153,"3632","NEW YORK","SACANDAGA RESERVOIR","FULTON SARATOGA","NATURAL",2703.96,122,7.6,64.7,166,"days",10,50,3.5,0.009,0.006,0.27,NA,567,NA,150,21156,21873,1701,NA,5605,1682890,1690196,16077,26,0.18,1741714,NA,13.9,43.15,-74.15,4.8
474,154,"3633","NEW YORK","SARATOGA LAKE","SARATOGA","NATURAL",631.96,16.32,7.9,10,150,"days",72,232,2.5,0.025,0.016,0.145,NA,13206,NA,86,12794,26086,69075,NA,3166,286190,358431,12168,53,1.6,276367,23,22,43.045833,-73.725556,11.8
474,155,"3634","NEW YORK","SCHROON","ESSEX, WARREN","NATURAL",1118.88,16.71,14.3,18.1,153,"days",10,59,3.7,0.004,0.003,0.16,NA,NA,NA,195,6345,6540,NA,NA,7324,607156,614481,14644,NA,0.39,732626,NA,36.8,43.763333,-73.763333,2.1
474,156,"3635","NEW YORK","SENECA LAKE","SCHUYLER","NATURAL",1823.36,175.35,88.7,14.6,33.7,"years",93,790,4,0.01,0.006,0.38,NA,45442,NA,3034,18526,67002,179370,NA,10077,821397,1010843,13424,80,0.38,520168,49,5.8,42.791667,-76.955556,6.1
474,157,"3636","NEW YORK","SWAN LAKE","SULLIVAN","NATURAL",38.85,1.34,NA,0.8,NA,"years",16,72,1.7,0.042,0.014,0.125,NA,363,NA,5,1025,1392,1088,NA,109,28617,29814,907,35,1.04,22698,24,22.2,41.761111,-74.802778,9.5
474,158,"3637","NEW YORK","SWINGING BRIDGE RES","SULLIVAN","IMPOUNDMENT",382.54,3.47,13.4,5.9,92,"days",10,75,1.3,0.057,0.02,0.52,NA,19710,NA,27,4803,24540,68939,NA,1066,279605,349610,10181,59,7.07,278957,20,100.7,41.589167,-74.777778,28.7
474,159,"3639","NEW YORK","CONESUS LAKE","LIVINGSTON","NATURAL",180.52,12.89,8.9,2.2,1.7,"years",116,340,3.2,0.02,0.013,0.1,NA,NA,NA,336,4590,4925,NA,NA,12630,120789,133419,2109,57,0.38,73741,45,10.4,42.666667,-77.833333,9.9
474,16,"0910","CONNECTICUT","LAKE ZOAR","LITCHFIELD NEH HAVEN","IMPOUNDMENT",3991.19,3.95,7.5,70.2,5,"days",72,220,1.9,0.043,0.029,0.56,NA,10154,NA,NA,144617,154771,14231,NA,NA,2747388,2761619,116562,25,39.22,2556381,7,699.9,41.383333,-73.175,18.3
474,160,"3640","NEW YORK","LOWER ST REGIS","FRANKLIN","NATURAL",54.91,1.87,5.1,1,110,"days",10,50,1.2,0.017,0.008,0.21,NA,95,NA,9,658,762,3401,NA,317,30104,33823,680,11,0.41,26558,21,18.1,44.416667,-74.333333,7.9
474,161,"4402","RHODE ISLAND","SLATERSVILLE RESERVOIR","PROVIDENCE","IMPOUNDMENT",232.32,0.84,2.4,4.4,5,"days",10,91,1.3,0.032,0.011,0.205,NA,757,NA,18,3923,4698,1510,NA,639,88277,90426,3919,17,5.61,88862,2,107.9,41.978611,-71.605,8.1
474,162,"4403","RHODE ISLAND","TURNER RESERVOIR","PROVIDENCE","IMPOUNDMENT",138.56,0.49,1.5,2.6,3.3,"days",27,260,0.8,0.85,0.635,2.3,NA,30132,45370,NA,5011,80512,98494,37415,NA,86199,222109,53451,34,163.07,214889,3,449.9,41.85,-71.333333,22.9
474,163,"5001","VERMONT","LAKE CHAMPLAIN","VT AND NY AREA","NATURAL",21186.19,1130.3,19.4,313,2.6,"years",46,142,2.3,0.018,0.01,0.19,0.125,152073,152073,NA,419587,571660,1180751,1190751,NA,11938704,13119455,296018,0.48,0.51,9837656,0.25,11.61,43.55,-73.45,11.1
474,164,"5002","VERMONT","CLYDE POND","ORLEANS","IMPOUNDMENT",362.6,0.57,3.4,6,3.6,"days",54,145,1.7,0.021,0.006,0.175,NA,875,NA,14,3823,4712,2984,NA,853,156998,160834,3995,15,8.32,174549,NA,283.9,44.933333,-72.168056,7.5
474,165,"5005","VERMONT","HARRIMAN RESERVOIR","WINDHAM","IMPOUNDMENT",486.4,8.84,10.4,13.6,78,"days",10,50,2.8,0.009,0.007,0.27,NA,2041,NA,259,5492,7791,5478,NA,9905,359433,374816,6444,17,0.88,311474,17,42.4,42.8,-72.906667,1.8
474,166,"5007","VERMONT","LAKE LAMOILLE","LAMOILLE","IMPOUNDMENT",694.12,0.62,1.7,12.4,1,"days",46,140,1.5,0.018,0.01,0.26,NA,4553,NA,NA,11052,15605,14789,NA,NA,304263,319052,12422,20,25.2,302526,5,515.3,44.566667,-72.607222,3.5
474,167,"5008","VERMONT","LAKE MEMPHREMAGOG","ORLEANS","NATURAL",1779.33,94.57,15.5,27.3,1.7,NA,56,160,2,0.021,0.008,0.145,NA,19995,NA,172,27551,47719,55800,NA,6395,992345,1054539,27515,42,0.5,NA,NA,11.2,44.925,-72.216667,14
474,168,"5010","VERMONT","ARROWHEAD MOUNTAIN LAKE","CHITTENDEN FRANKLIN","IMPOUNDMENT",1815.59,3.34,3.1,34.4,3.5,"days",36,108,1.6,0.015,0.009,0.23,NA,7415,3800,5,26408,37628,24989,5320,172,1063485,1093965,27433,27,11.26,1123737,NA,327.3,44.680833,-73.100556,8.5
474,169,"5011","VERMONT","WATERBURY RESERVOIR","WASHINGTON, LAMOILLE","IMPOUNDMENT",290.08,3.6,12.7,6.4,83,"days",14,70,2.4,0.007,0.004,0.23,NA,1905,NA,NA,2921,4825,5116,NA,NA,168018,173134,3678,24,1.34,156073,10,48.1,44.385,-72.768333,5.2
474,17,"0911","CONNECTICUT","LAKE LILLINONAH","FAIRFIELD","IMPOUNDMENT",3605.28,7.69,11.9,62.7,17,"days",80,240,3.7,0.054,0.048,0.66,NA,29669,NA,NA,193900,223569,214957,NA,NA,2786162,3001118,133406,40,29.08,2512589,16,390.3,41.450833,-73.301111,11.1
474,170,"5502","WISCONSIN","ALTOONA LAKE","EAU CLAIRE","NATURAL",2108.26,3.4,2.1,16.1,5,"days",26,82,0.7,0.092,0.04,0.46,NA,952,NA,36,66667,67655,3578,NA,1279,732671,737528,73066,NA,19.9,839556,NA,217,44.816667,-91.45,13.8
474,171,"5503","WISCONSIN","BEAVER DAH","BARRON","NATURAL",NA,4.5,9.8,NA,NA,"years",55,140,0.9,0.381,0.168,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.535,-88.921667,70
474,172,"5508","WISCONSIN","LAKE BUTTE DES MORTS","WINNEBAGO","NATURAL",14452.2,35.84,1.8,117,6,"days",138,270,0.6,0.076,0.027,0.24,NA,4476,NA,209,339877,344562,13433,NA,7887,6474034,6495353,367923,NA,9.61,6532490,NA,181.2,44.1,-88.666667,25.4
474,174,"5509","WISCONSIN","BUTTERNUT LAKE","PRICE ASHLAND","NATURAL",118.62,4.07,4.3,1.4,146,"days",26,95,1,0.073,0.055,0.3,NA,893,NA,73,1637,2603,2848,NA,2667,50454,55968,2512,3,0.64,53478,4,13.7,45.991667,-90.508333,6.8
474,175,"5510","WISCONSIN","CASTLE ROCK FLOWAGE","JUNEAU ADAMS","IMPOUNDMENT",NA,67.34,3.2,NA,13,"days",32,143,0.8,0.062,0.039,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.866667,-89.958333,25.5
474,176,"5513","WISCONSIN","DELAVAN LAKE","WALWORTH","NATURAL",105.15,7.18,7.6,0.6,2.8,"years",165,470,1.3,0.141,0.126,0.287,NA,6063,NA,172,1773,8009,18209,NA,6395,35556,60159,3587,55,1.12,56594,6,8.4,42.621667,-88.59,43.9
474,177,"5515","WISCONSIN","EAU CLAIRE LAKE","EAU CLAIRE","IMPOUNDMENT",1541.05,4.52,2.3,12.3,10,"days",26,83,0.8,0.089,0.038,0.5,NA,5274,NA,32,35578,40884,16939,NA,1102,524199,542240,41760,NA,9.04,511896,6,119.8,44.761667,-91.13,19.6
474,178,"5519","WISCONSIN","GREEN LAKE","GREEN LAKE","NATURAL",303.03,29.73,31.7,1.4,21,"years",178,390,5.8,0.028,0.023,0.2,NA,3351,NA,209,3864,7424,16980,NA,7800,145932,170712,4041,46,0.25,47782,72,5.7,43.825,-88.933333,4.8
474,179,"5520","WISCONSIN","KEGONSA LAKE","DANE","NATURAL",994.56,10.99,5.2,4.9,136,"days",173,390,1.1,0.115,0.078,0.255,NA,544,NA,122,19710,20376,1633,NA,4494,300907,307034,19710,3,1.85,211166,31,27.9,42.975,-89.258333,30.9
474,18,"0912","CONNECTICUT","LAKE HOUSATONIC","NEWHAVEN FAIR FIELD","IMPOUNDMENT",4076.66,1.33,2.9,71.8,0.6,"days",84,240,1.9,0.039,0.029,0.57,NA,NA,NA,NA,118236,118236,NA,NA,NA,2607147,2607147,99506,16,89.07,2459537,6,1964.1,41.327778,-73.106389,8.2
474,180,"5522","WISCONSIN","KOSHKONONG LAKE","JEFFERSON","IMPOUNDMENT",6475,42.41,1.6,33.8,24,"days",244,585,0.5,0.361,0.215,0.714,NA,66943,NA,113,351428,418485,167501,NA,4308,2884006,3055815,330517,21,9.87,2796993,8,72.1,42.888333,-88.918333,36.1
474,181,"5531","WISCONSIN","NAGAWICKA LAKE","WAUKESHA","NATURAL",115.51,4.15,9.9,0.8,1.5,"years",2210,5210,19.3,0.124,0.113,0.58,NA,3134,NA,168,2213,5515,9397,NA,6100,84617,100113,2381,57,1.33,42581,57,24.1,43.068333,-88.39,12
474,182,"5532","WISCONSIN","OCONOMOWOC","WAUKESHA","NATURAL",229.99,3.18,9.6,1.7,209,"days",193,450,2.9,0.012,0.007,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,-88.441667,3.1
474,183,"5534","WISCONSIN","PENTWELL FLOWAGE","JUNEAU, ADAMS, WOOD","IMPOUNDMENT",NA,93.24,6,NA,47,"days",30,143,0.7,0.064,0.051,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.061667,-90.02,NA
