SUBSTANCENAME,NONPROPRIETARYNAME,NDC_11,PHARM_CLASSES
Levofloxacin,Levofloxacin,45152510,antimicrobial
Nystatin Cream,Nystatin Cream,603781878,antifungal
Sulfameth/Trimethoprim Suspension,Sulfameth/Trimethoprim Suspension,472128416,antimicrobial
Nystatin Cream,Nystatin Cream,168005430,antifungal
MetroNIDAZOLE,MetroNIDAZOLE,904656861,antimicrobial
Doxycycline Hyclate,Doxycycline Hyclate,52959005500,antimicrobial
Doxycycline Hyclate,Doxycycline Hyclate,143314250,antimicrobial
Amoxicillin-Clavulanic Acid,Amoxicillin-Clavulanic Acid,29608031,antimicrobial
Amoxicillin,Amoxicillin,55370088408,antimicrobial
Nystatin,Nystatin,53489040001,antifungal
Miconazole Nitrate (Combo Pack),Miconazole Nitrate (Combo Pack),62543001,antifungal
Voriconazole,Voriconazole,49318030,antifungal
Voriconazole,Voriconazole,49317030,antifungal
Caspofungin,Caspofungin,6382310,antifungal
Posaconazole Suspension,Posaconazole Suspension,85132801,antifungal
Ambisome,Ambisome,469305130,antifungal
Amoxicillin-Clavulanic Acid,Amoxicillin-Clavulanic Acid,51079026720,antimicrobial
Mupirocin Cream 2%,Mupirocin Cream 2%,29152722,antifungal
Voriconazole,Voriconazole,59762093002,antifungal
Voriconazole,Voriconazole,27241006203,antifungal
Voriconazole,Voriconazole,49319028,antifungal
CefTAZidime,CefTAZidime,173037934,antimicrobial
CefTAZidime,CefTAZidime,24987037934,antimicrobial
Nystatin Cream,Nystatin Cream,45802005911,antifungal
moxifloxacin,moxifloxacin,65401303,antimicrobial
Minocycline,Minocycline,93316501,antimicrobial
Miconazole Powder 2%,Miconazole Powder 2%,37205065318,antifungal
Linezolid,Linezolid,60505436203,antimicrobial
Clindamycin,Clindamycin,9338102,antimicrobial
CefTAZidime,CefTAZidime,24987038237,antimicrobial
Nystatin Oral Suspension,Nystatin Oral Suspension,121481000,antifungal
Amoxicillin-Clavulanate Susp.,Amoxicillin-Clavulanate Susp.,60432006500,antimicrobial
Clindamycin,Clindamycin,47781046570,antimicrobial
AMOXicillin Oral Susp.,AMOXicillin Oral Susp.,49999016850,antimicrobial
Clindamycin 1% Solution,Clindamycin 1% Solution,59762372802,antimicrobial
Nystatin Oral Suspension,Nystatin Oral Suspension,472132002,antifungal
Azithromycin,Azithromycin,904640506,antimicrobial
MetroNIDAZOLE,MetroNIDAZOLE,60687042401,antimicrobial
Voriconazole,Voriconazole,378164093,antifungal
Nystatin Oral Suspension,Nystatin Oral Suspension,121481040,antifungal
Doxycycline Hyclate,Doxycycline Hyclate,904043004,antimicrobial
Minocycline,Minocycline,65293001410,antimicrobial
Imipenem-Cilastatin,Imipenem-Cilastatin,409350701,antimicrobial
CeFAZolin,CeFAZolin,60505074905,antimicrobial
Clindamycin,Clindamycin,9338202,antimicrobial
Terbinafine 1% Cream,Terbinafine 1% Cream,67399842,antifungal
Ampicillin Sodium,Ampicillin Sodium,63323038910,antimicrobial
Levofloxacin,Levofloxacin,45006701,antimicrobial
Fosfomycin Tromethamine,Fosfomycin Tromethamine,456430008,antimicrobial
Miconazole 2% Cream,Miconazole 2% Cream,168014231,antifungal
Levofloxacin,Levofloxacin,143972124,antimicrobial
Azithromycin,Azithromycin,59762308001,antimicrobial
CefazoLIN,CefazoLIN,781933895,antimicrobial
MetRONIDAZOLE (FLagyl),MetRONIDAZOLE (FLagyl),51079012220,antimicrobial
Amoxicillin-Clavulanic Acid,Amoxicillin-Clavulanic Acid,29607531,antimicrobial
Levofloxacin,Levofloxacin,25021013281,antimicrobial
Minocycline,Minocycline,5534323,antimicrobial
Clindamycin 1% Solution,Clindamycin 1% Solution,472098792,antimicrobial
Anidulafungin,Anidulafungin,49011528,antifungal
Azithromycin,Azithromycin,781149731,antimicrobial
nitazoxanide,nitazoxanide,67546011114,antiprotozoal
paromomycin,paromomycin,57664017508,antiprotozoal
Nystatin Oral Suspension,Nystatin Oral Suspension,60432053760,antifungal
Terbinafine 1% Cream,Terbinafine 1% Cream,51672208001,antifungal
Terconazole 0.4% Vag. Cream,Terconazole 0.4% Vag. Cream,51672130406,antifungal
Piperacillin-Tazo Graded Challenge,Piperacillin-Tazo Graded Challenge,206885416,antimicrobial
Isoniazid,Isoniazid,51079008220,antimicrobial
CefTAZidime,CefTAZidime,173038237,antimicrobial
CefazoLIN,CefazoLIN,60505076900,antimicrobial
terbinafine,terbinafine,78017905,antifungal
Miconazole Nitrate Vag Cream 2%,Miconazole Nitrate Vag Cream 2%,51672203506,antifungal
Amoxicillin-Clavulanic Acid,Amoxicillin-Clavulanic Acid,49884029812,antimicrobial
Miconazole 2% Cream,Miconazole 2% Cream,472073556,antifungal
Nystatin Oral Suspension,Nystatin Oral Suspension,51672411704,antifungal
MetroNIDAZOLE,MetroNIDAZOLE,51079021620,antimicrobial
Amoxicillin-Clavulanate Susp.,Amoxicillin-Clavulanate Susp.,54868627100,antimicrobial
Doxycycline Hyclate,Doxycycline Hyclate,904042806,antimicrobial
Piperacillin-Tazobactam,Piperacillin-Tazobactam,206240802,antimicrobial
Voriconazole,Voriconazole,51079016403,antifungal
Miconazole Nitrate (Combo Pack),Miconazole Nitrate (Combo Pack),904541501,antifungal
Nystatin,Nystatin,51285053422,antifungal
Isoniazid,Isoniazid,555006602,antimicrobial
cefUROXime axetil,cefUROXime axetil,173038701,antimicrobial
Terconazole 80mg Vag. Supp,Terconazole 80mg Vag. Supp,62535101,antifungal
Nystatin,Nystatin,65473070509,antifungal
Gatifloxacin,Gatifloxacin,54868479700,antimicrobial
Doxycycline Hyclate,Doxycycline Hyclate,677059802,antimicrobial
CefTAZidime,CefTAZidime,10019069102,antimicrobial
CeFAZolin,CeFAZolin,70092123847,antimicrobial
Cefuroxime Axetil,Cefuroxime Axetil,173039442,antimicrobial
Amphotericin B,Amphotericin B,39822105505,antimicrobial
Levofloxacin,Levofloxacin,904635161,antimicrobial
Nystatin Ointment,Nystatin Ointment,45802004835,antifungal
Posaconazole,Posaconazole,85433101,antifungal
CeftazIDIME,CeftazIDIME,173041300,antimicrobial
Mitomycin,Mitomycin,16729010811,antimicrobial
Minocycline,Minocycline,68382031601,antimicrobial
Nystatin Ointment,Nystatin Ointment,713068615,antifungal
Ampicillin,Ampicillin,52959013003,antimicrobial
Ampicillin Sodium,Ampicillin Sodium,63323038810,antimicrobial
LevoFLOXacin,LevoFLOXacin,904635261,antimicrobial
Ampicillin,Ampicillin,58016103201,antimicrobial
Terconazole 80mg Vag. Supp,Terconazole 80mg Vag. Supp,45802071708,antifungal
Doxycycline Hyclate,Doxycycline Hyclate,55390011010,antimicrobial
Mitomycin,Mitomycin,55390025201,antimicrobial
Ampicillin Sodium,Ampicillin Sodium,15740420,antimicrobial
Terbinafine 1% Soln,Terbinafine 1% Soln,67400230,antifungal
CefePIME,CefePIME,51479005530,antimicrobial
CeftazIDIME,CeftazIDIME,173041200,antimicrobial
Amoxicillin-Clavulanate Susp.,Amoxicillin-Clavulanate Susp.,60432006575,antimicrobial
Terconazole 0.4% Vag. Cream,Terconazole 0.4% Vag. Cream,62535001,antifungal
Nitazoxanide,Nitazoxanide,67546011132,antiprotozoal
Clindamycin,Clindamycin,9311602,antimicrobial
Nystatin Powder,Nystatin Powder,3059320,antifungal
Miconazole 2% Cream,Miconazole 2% Cream,536113428,antifungal
CefePIME,CefePIME,51479005420,antimicrobial
Ampicillin,Ampicillin,904401408,antimicrobial
metroNIDAZOLE Desensitization,metroNIDAZOLE Desensitization,36000000124,antimicrobial
Piperacillin-Tazobactam Na,Piperacillin-Tazobactam Na,206886201,antimicrobial
Miconazole Powder 2%,Miconazole Powder 2%,11701003816,antifungal
Ampicillin Desensitization,Ampicillin Desensitization,15740320,antimicrobial
amphotericin B (bulk),amphotericin B (bulk),38779019104,antifungal
Voriconazole,Voriconazole,904647104,antifungal
CeFAZolin,CeFAZolin,409080501,antimicrobial
cefUROXime axetil,cefUROXime axetil,54868502200,antimicrobial
Amphotericin B Oral Suspension,Amphotericin B Oral Suspension,3043730,antifungal
CefTAZidime,CefTAZidime,781317895,antimicrobial
Nystatin Oral Suspension,Nystatin Oral Suspension,168003760,antifungal
sulfamethoxazole-trimethoprim,sulfamethoxazole-trimethoprim,703951401,antimicrobial
CeFAZolin,CeFAZolin,71019003102,antimicrobial
Ampicillin Sodium,Ampicillin Sodium,67457035010,antimicrobial
Voriconazole,Voriconazole,904659604,antifungal
Voriconazole,Voriconazole,378162693,antifungal
Quinupristin/Dalfopristin,Quinupristin/Dalfopristin,75905110,antimicrobial
Ampicillin-Sulbactam,Ampicillin-Sulbactam,10019063002,antimicrobial
Amoxicillin Oral Susp.,Amoxicillin Oral Susp.,54569009300,antimicrobial
terbinafine HCl,terbinafine HCl,55289005442,antifungal
Clindamycin Phosphate,Clindamycin Phosphate,47781046168,antimicrobial
Terbinafine 1% Spray,Terbinafine 1% Spray,67400101,antifungal
Pyrid,Pyrid,187301330,antiprotozoal
Nystatin Oral Suspension,Nystatin Oral Suspension,66689000802,antifungal
Nystatin,Nystatin,54868349200,antifungal
Ampicillin-Sulbactam,Ampicillin-Sulbactam,10019063101,antimicrobial
Mitomycin,Mitomycin,15300120,antimicrobial
CefazoLIN,CefazoLIN,66860090203,antimicrobial
Azithromycin,Azithromycin,69308030,antimicrobial
Ciprofloxacin HCl,Ciprofloxacin HCl,172531210,antimicrobial
Ciprofloxacin HCl,Ciprofloxacin HCl,172531110,antimicrobial
Ciprofloxacin,Ciprofloxacin,703095803,antimicrobial
Ciprofloxacin IV,Ciprofloxacin IV,409477750,antimicrobial
Ciprofloxacin HCl,Ciprofloxacin HCl,68084006901,antimicrobial
Ciprofloxacin IV,Ciprofloxacin IV,781323909,antimicrobial
Ciprofloxacin IV,Ciprofloxacin IV,85174102,antimicrobial
Ciprofloxacin IV,Ciprofloxacin IV,703095603,antimicrobial
Ciprofloxacin IV,Ciprofloxacin IV,85175502,antimicrobial
Ciprofloxacin HCl,Ciprofloxacin HCl,55111029209,antimicrobial
Ciprofloxacin IV,Ciprofloxacin IV,409476586,antimicrobial
Ciprofloxacin,Ciprofloxacin,409477886,antimicrobial
Ciprofloxacin HCl,Ciprofloxacin HCl,85177701,antimicrobial
Cipro,Cipro,65853302,antimicrobial
Ciprofloxacin HCl,Ciprofloxacin HCl,50419077701,antimicrobial
Ciprofloxacin,Ciprofloxacin,36000001101,antimicrobial
CefTRIAXone,CefTRIAXone,60505075304,antimicrobial
CefTRIAXone Graded Challenge,CefTRIAXone Graded Challenge,60505075204,antimicrobial
CeftriaXONE Desensitization,CeftriaXONE Desensitization,4196401,antimicrobial
CefOTAXime,CefOTAXime,64679098601,antimicrobial
Clarithromycin,Clarithromycin,68774012060,antimicrobial
clarithromycin,clarithromycin,68774012060,antimicrobial
ERYTHROMYCIN,ERYTHROMYCIN,74630413,antimicrobial
Erythromyc,Erythromyc,74636902,antimicrobial
Gentamicin Sulfate,Gentamicin Sulfate,54868410300,antimicrobial
Gentamicin 0.1% Cream,Gentamicin 0.1% Cream,168007115,antimicrobial
Gentamicin Antibiotic Lock,Gentamicin Antibiotic Lock,54868410300,antimicrobial
cefOXitin,cefOXitin,60505076005,antimicrobial
Cefoxitin,Cefoxitin,60505076005,antimicrobial
*NF* Cefoxitin Sodium,*NF* Cefoxitin Sodium,6335645,antimicrobial
Cephalexin,Cephalexin,143989701,antimicrobial
cephALEXin,cephALEXin,143989701,antimicrobial
cephalexin,cephalexin,68180012401,antimicrobial
Cephalexin Desensitization,Cephalexin Desensitization,68180012401,antimicrobial
*NF* Moxifloxacin,*NF* Moxifloxacin,26858231,antimicrobial
Trimethoprim,Trimethoprim,591557101,antimicrobial
Nitrofurantoin Monohyd (MacroBID),Nitrofurantoin Monohyd (MacroBID),51079034820,antimicrobial
nitrofurantoin macrocrystal,nitrofurantoin macrocrystal,54569018100,antimicrobial
nitrofurantoin monohyd/m-cryst,nitrofurantoin monohyd/m-cryst,51079034820,antimicrobial
Nitrofurantoin Macrocrystal,Nitrofurantoin Macrocrystal,149071001,antimicrobial
Nitrofurantoin,Nitrofurantoin,54569018100,antimicrobial
Nitrofuran,Nitrofuran,149071001,antimicrobial
nitrofurant,nitrofurant,51079034820,antimicrobial
Tetracycline,Tetracycline,23155001701,antimicrobial
Tetracycline HCl,Tetracycline HCl,555001105,antimicrobial
tetracycline,tetracycline,23155001701,antimicrobial
Penicillin V Potassium,Penicillin V Potassium,67253020110,antimicrobial
Penicillamine,Penicillamine,37440101,antimicrobial
*NF* Cefuroxime,*NF* Cefuroxime,66860003003,antimicrobial
