"","V1","r","gw","ensembl_gene"
"32","B cells","Ighd","7.22792513544762","ENSMUSG00000104213"
"33","B cells","Pou2af1","6.73916693131756","ENSMUSG00000032053"
"34","B cells","Blk","6.71729364075604","ENSMUSG00000014453"
"35","B cells","Cd79b","6.52846288529269","ENSMUSG00000040592"
"36","B cells","Chst3","6.49870026161279","ENSMUSG00000057337"
"37","B cells","Cecr2","6.24180685554093","ENSMUSG00000071226"
"38","B cells","Vpreb3","5.86997563954141","ENSMUSG00000000903"
"39","B cells","S100a8","5.82511004006839","ENSMUSG00000056054"
"40","B cells","Hbb-bt","5.78324174508394","ENSMUSG00000073940"
"41","B cells","Scd1","5.65072134015104","ENSMUSG00000037071"
"42","B cells","Cd22","5.59575243431419","ENSMUSG00000030577"
"43","B cells","Fcrl5","5.57747854048163","ENSMUSG00000048031"
"44","B cells","Il5ra","5.34687223083818","ENSMUSG00000005364"
"45","B cells","Iglv3","5.3068025863559","ENSMUSG00000076939"
"46","B cells","Rgs13","5.26736609425923","ENSMUSG00000051079"
"47","B cells","Cxcr5","5.09097159571288","ENSMUSG00000047880"
"48","B cells","Ebf1","5.08638636783745","ENSMUSG00000057098"
"49","DC","A530099J19Rik","7.3960069704292",NA
"50","DC","Klk1","7.09768119882109","ENSMUSG00000063903"
"51","DC","Slco5a1","6.34915471110794","ENSMUSG00000025938"
"52","DC","Tlr11","6.09851426689544","ENSMUSG00000051969"
"53","DC","Adam23","6.07359159025442","ENSMUSG00000025964"
"54","DC","Xcr1","6.02387547110413","ENSMUSG00000060509"
"55","DC","Clec9a","5.90966684254244","ENSMUSG00000046080"
"56","DC","Mreg","5.87262954626885","ENSMUSG00000039395"
"57","DC","Siglech","5.84528896722886","ENSMUSG00000051504"
"58","DC","Ccl22","5.73844553752299","ENSMUSG00000031779"
"59","DC","Fscn1","5.70608478045062","ENSMUSG00000029581"
"60","DC","Strip2","5.68914723475875","ENSMUSG00000039629"
"61","DC","Cacnb3","5.63530350433395","ENSMUSG00000003352"
"62","DC","Krt5","5.40956820806398","ENSMUSG00000061527"
"63","DC","H2-M2","5.29984882684377","ENSMUSG00000016283"
"64","DC","Slc4a8","5.15222070410363","ENSMUSG00000023032"
"65","DC","Cd207","5.10729802583534","ENSMUSG00000034783"
"66","DC","Zc3h12c","5.02652680035423","ENSMUSG00000035164"
"67","Endothelial cells","Mmrn1","9.31785332765797","ENSMUSG00000054641"
"68","Endothelial cells","Glycam1","8.9067824114535","ENSMUSG00000022491"
"69","Endothelial cells","Sema3d","8.62418553412952","ENSMUSG00000040254"
"70","Endothelial cells","Madcam1","8.24435927358931","ENSMUSG00000020310"
"71","Endothelial cells","Plvap","8.18706710164509","ENSMUSG00000034845"
"72","Endothelial cells","Mmrn2","8.14774712533384","ENSMUSG00000041445"
"73","Endothelial cells","Clca3a1","7.74389957162048","ENSMUSG00000056025"
"74","Endothelial cells","Dsg2","7.68134199079935","ENSMUSG00000044393"
"75","Endothelial cells","Prox1","7.67969896959815","ENSMUSG00000010175"
"76","Endothelial cells","Emcn","7.60899044973735","ENSMUSG00000054690"
"77","Endothelial cells","Klhl4","7.60589739420799","ENSMUSG00000025597"
"78","Endothelial cells","Tm4sf1","7.58165942145343","ENSMUSG00000027800"
"79","Endothelial cells","Apold1","7.50468008193866","ENSMUSG00000090698"
"80","Endothelial cells","Pgm5","7.49480737031121","ENSMUSG00000041731"
"81","Endothelial cells","Jam3","7.46555229705565","ENSMUSG00000031990"
"82","Endothelial cells","8430408G22Rik","7.45747517104728",NA
"83","Endothelial cells","Rnd1","7.45330624670205","ENSMUSG00000054855"
"84","Endothelial cells","Gpm6a","7.44312656130323","ENSMUSG00000031517"
"85","Endothelial cells","Tie1","7.42621096712397","ENSMUSG00000033191"
"86","Endothelial cells","Sdpr","7.42173084097071",NA
"87","Endothelial cells","Myct1","7.36334322317343","ENSMUSG00000046916"
"88","Endothelial cells","Rassf9","7.33679984429268","ENSMUSG00000044921"
"89","Endothelial cells","Adgrf5","7.27747924091712","ENSMUSG00000056492"
"90","Endothelial cells","Ackr4","7.27456278710411","ENSMUSG00000079355"
"91","Endothelial cells","Chst4","7.19494040695744","ENSMUSG00000035930"
"92","Endothelial cells","Cav1","7.06348573524214","ENSMUSG00000007655"
"93","Endothelial cells","Nts","7.00640456949013","ENSMUSG00000019890"
"94","Endothelial cells","Sema3a","6.99127097296705","ENSMUSG00000028883"
"95","Endothelial cells","Cldn5","6.8602728901068","ENSMUSG00000041378"
"96","Endothelial cells","Tspan12","6.85320977171249","ENSMUSG00000029669"
"97","Endothelial cells","Cpe","6.83855575176129","ENSMUSG00000037852"
"98","Endothelial cells","Timp4","6.83833455257743","ENSMUSG00000030317"
"99","Endothelial cells","Rasip1","6.69789018464405","ENSMUSG00000044562"
"100","Endothelial cells","Podxl","6.66204176999931","ENSMUSG00000025608"
"101","Endothelial cells","Kdr","6.65774249303139","ENSMUSG00000062960"
"102","Endothelial cells","Meox1","6.54021085035139","ENSMUSG00000001493"
"103","Endothelial cells","Lrg1","6.5392008671191","ENSMUSG00000037095"
"104","Endothelial cells","Tnc","6.46396851279044","ENSMUSG00000028364"
"105","Endothelial cells","Egfl7","6.46126406968737","ENSMUSG00000026921"
"106","Endothelial cells","Serpina1b","6.4345432632476","ENSMUSG00000071178"
"107","Endothelial cells","Flt4","6.42320884939964","ENSMUSG00000020357"
"108","Endothelial cells","1810011O10Rik","6.40770342927827",NA
"109","Endothelial cells","Ces2e","6.37861101369852","ENSMUSG00000031886"
"110","Endothelial cells","Ephb4","6.34502515936596","ENSMUSG00000029710"
"111","Endothelial cells","Cdh5","6.27789462686016","ENSMUSG00000031871"
"112","Endothelial cells","Edn1","6.2500005339143","ENSMUSG00000021367"
"113","Endothelial cells","Ptprk","6.24346952472753","ENSMUSG00000019889"
"114","Endothelial cells","Ramp2","6.23939204280835","ENSMUSG00000001240"
"115","Endothelial cells","Tek","6.23319236041727","ENSMUSG00000006386"
"116","Endothelial cells","Sh3gl3","6.13245287411696","ENSMUSG00000030638"
"117","Endothelial cells","Sox18","6.13093402186683","ENSMUSG00000046470"
"118","Endothelial cells","Susd2","6.1256856084444","ENSMUSG00000006342"
"119","Endothelial cells","Col12a1","6.12203506753206","ENSMUSG00000032332"
"120","Endothelial cells","Stab2","6.06625058122501","ENSMUSG00000035459"
"121","Endothelial cells","Tspan7","6.03562392641861","ENSMUSG00000058254"
"122","Endothelial cells","Plk2","5.99877042845347","ENSMUSG00000021701"
"123","Endothelial cells","Ldb2","5.99747661394117","ENSMUSG00000039706"
"124","Endothelial cells","Aplnr","5.98790462827057","ENSMUSG00000044338"
"125","Endothelial cells","Fzd6","5.9748806568956","ENSMUSG00000022297"
"126","Endothelial cells","Esam","5.95940558693897","ENSMUSG00000001946"
"127","Endothelial cells","Ubd","5.88505902878099","ENSMUSG00000035186"
"128","Endothelial cells","Akr1c14","5.88341346265404","ENSMUSG00000033715"
"129","Endothelial cells","Rgs4","5.88004853281076","ENSMUSG00000038530"
"130","Endothelial cells","Ch25h","5.84238711856386","ENSMUSG00000050370"
"131","Endothelial cells","Timp3","5.81874529058676","ENSMUSG00000020044"
"132","Endothelial cells","Btnl9","5.81333944927933","ENSMUSG00000040283"
"133","Endothelial cells","Sncaip","5.80002613737874","ENSMUSG00000024534"
"134","Endothelial cells","Aqp1","5.78272564731876","ENSMUSG00000004655"
"135","Endothelial cells","Tjp1","5.78201321310757","ENSMUSG00000030516"
"136","Endothelial cells","Fabp4","5.77631106861617","ENSMUSG00000062515"
"137","Endothelial cells","Mmp15","5.74571911519581","ENSMUSG00000031790"
"138","Endothelial cells","Cyyr1","5.72818237491443","ENSMUSG00000041134"
"139","Endothelial cells","F8","5.72656927320499","ENSMUSG00000031196"
"140","Endothelial cells","Ecscr","5.67287464766141","ENSMUSG00000073599"
"141","Endothelial cells","Robo4","5.66931251765755","ENSMUSG00000032125"
"142","Endothelial cells","Gja1","5.65718692461724","ENSMUSG00000050953"
"143","Endothelial cells","4930578C19Rik","5.63719439553952",NA
"144","Endothelial cells","Vwf","5.61576316778838","ENSMUSG00000001930"
"145","Endothelial cells","Pcdh17","5.55626175775492","ENSMUSG00000035566"
"146","Endothelial cells","Clec1a","5.55567340329113","ENSMUSG00000033082"
"147","Endothelial cells","Ptprb","5.55544059179766","ENSMUSG00000020154"
"148","Endothelial cells","Nxpe2","5.5460214519741","ENSMUSG00000032028"
"149","Endothelial cells","Clec14a","5.51495338964598","ENSMUSG00000045930"
"150","Endothelial cells","Sele","5.50370635047961","ENSMUSG00000026582"
"151","Endothelial cells","Adamts9","5.50047442624353","ENSMUSG00000030022"
"152","Endothelial cells","Gdf10","5.50025774443609","ENSMUSG00000021943"
"153","Endothelial cells","Arhgap29","5.49544912997127","ENSMUSG00000039831"
"154","Endothelial cells","Efna1","5.49249057512382","ENSMUSG00000027954"
"155","Endothelial cells","AW551984","5.4893487983683","ENSMUSG00000038112"
"156","Endothelial cells","Gpr182","5.47660052094636","ENSMUSG00000058396"
"157","Endothelial cells","Nectin2","5.43074497669542","ENSMUSG00000062300"
"158","Endothelial cells","Me1","5.42655062691651","ENSMUSG00000032418"
"159","Endothelial cells","Cldn11","5.39397662326244","ENSMUSG00000037625"
"160","Endothelial cells","Ccl20","5.38939012314667","ENSMUSG00000026166"
"161","Endothelial cells","Shank3","5.37339230561867","ENSMUSG00000022623"
"162","Endothelial cells","Coch","5.35729480624763","ENSMUSG00000020953"
"163","Endothelial cells","Ica1","5.35368106387969","ENSMUSG00000062995"
"164","Endothelial cells","Cyp1b1","5.35285236526733","ENSMUSG00000024087"
"165","Endothelial cells","Prss23","5.3425184280585","ENSMUSG00000039405"
"166","Endothelial cells","Npr1","5.3276041307031","ENSMUSG00000027931"
"167","Endothelial cells","Phldb2","5.32636064875273","ENSMUSG00000033149"
"168","Endothelial cells","Sorbs2","5.30597967173846","ENSMUSG00000031626"
"169","Endothelial cells","Tinagl1","5.30424779393651","ENSMUSG00000028776"
"170","Endothelial cells","Adgrl4","5.30078407917662","ENSMUSG00000039167"
"171","Endothelial cells","Ackr1","5.29239542553761","ENSMUSG00000037872"
"172","Endothelial cells","Cyp4b1","5.28975086665959","ENSMUSG00000028713"
"173","Endothelial cells","Zfp521","5.25340746938377","ENSMUSG00000024420"
"174","Endothelial cells","Upp1","5.24989955520245","ENSMUSG00000020407"
"175","Endothelial cells","Hoxd8","5.24860442595198","ENSMUSG00000027102"
"176","Endothelial cells","Ces2g","5.24578444327256","ENSMUSG00000031877"
"177","Endothelial cells","Fgd5","5.24477491272202","ENSMUSG00000034037"
"178","Endothelial cells","Pkhd1l1","5.22547368172283","ENSMUSG00000038725"
"179","Endothelial cells","Tspan15","5.22333073899193","ENSMUSG00000037031"
"180","Endothelial cells","Olfr1372-ps1","5.20951517719432",NA
"181","Endothelial cells","Fmo1","5.20881869042783","ENSMUSG00000040181"
"182","Endothelial cells","Abcg2","5.20269148346647","ENSMUSG00000029802"
"183","Endothelial cells","Cd300lg","5.19636253981187","ENSMUSG00000017309"
"184","Endothelial cells","Bcl6b","5.1951961206973","ENSMUSG00000000317"
"185","Endothelial cells","Tmem88","5.18102965263076","ENSMUSG00000045377"
"186","Endothelial cells","Ddah1","5.1722003449956","ENSMUSG00000028194"
"187","Endothelial cells","Foxc2","5.16207397144692","ENSMUSG00000046714"
"188","Endothelial cells","Pdgfd","5.15867012307794","ENSMUSG00000032006"
"189","Endothelial cells","Galnt18","5.14685815530987","ENSMUSG00000038296"
"190","Endothelial cells","Ushbp1","5.14104247436563","ENSMUSG00000034911"
"191","Endothelial cells","S100a16","5.13573510225295","ENSMUSG00000074457"
"192","Endothelial cells","Hsp25-ps1","5.12931710597084",NA
"193","Endothelial cells","Oit1","5.12381385359191","ENSMUSG00000021749"
"194","Endothelial cells","Jam2","5.12062279199521","ENSMUSG00000053062"
"195","Endothelial cells","Cyr61","5.10010604999557",NA
"196","Endothelial cells","Nos3","5.08989256828283","ENSMUSG00000028978"
"197","Endothelial cells","Dock9","5.08637538515604","ENSMUSG00000025558"
"198","Endothelial cells","Fzd4","5.08539412786303","ENSMUSG00000049791"
"199","Endothelial cells","Tll1","5.06538566287446","ENSMUSG00000053626"
"200","Endothelial cells","Ifi44","5.06265560465504","ENSMUSG00000028037"
"201","Endothelial cells","Meis2","5.06170177705877","ENSMUSG00000027210"
"202","Endothelial cells","Tmem204","5.06085821620456","ENSMUSG00000024168"
"203","Endothelial cells","Fhdc1","5.0530211386413","ENSMUSG00000041842"
"204","Endothelial cells","Ehd2","5.04088554263222","ENSMUSG00000074364"
"205","Fibroblasts","Dpt","10.6010888624987","ENSMUSG00000026574"
"206","Fibroblasts","Lum","10.2065122562691","ENSMUSG00000036446"
"207","Fibroblasts","Abca8a","9.61765323378562","ENSMUSG00000041828"
"208","Fibroblasts","Tnfaip6","9.53950416135018","ENSMUSG00000053475"
"209","Fibroblasts","C1s1","9.4402025666184","ENSMUSG00000038521"
"210","Fibroblasts","Aspn","8.91574113064167","ENSMUSG00000021388"
"211","Fibroblasts","Col1a2","8.86100835547991","ENSMUSG00000029661"
"212","Fibroblasts","Pdgfra","8.8533601744734","ENSMUSG00000029231"
"213","Fibroblasts","Serping1","8.8295862867982","ENSMUSG00000023224"
"214","Fibroblasts","Vtn","8.61717395965012","ENSMUSG00000017344"
"215","Fibroblasts","Col3a1","8.5894068517374","ENSMUSG00000026043"
"216","Fibroblasts","Scn7a","8.50397058483461","ENSMUSG00000034810"
"217","Fibroblasts","Dcn","8.45343894820027","ENSMUSG00000019929"
"218","Fibroblasts","Dsc3","8.44861592702493","ENSMUSG00000059898"
"219","Fibroblasts","Pi15","8.40287504292648","ENSMUSG00000067780"
"220","Fibroblasts","Inmt","8.36818864231011","ENSMUSG00000003477"
"221","Fibroblasts","Efemp1","8.30447606636987","ENSMUSG00000020467"
"222","Fibroblasts","Apod","8.29681847538389","ENSMUSG00000022548"
"223","Fibroblasts","Abi3bp","8.22488477087953","ENSMUSG00000035258"
"224","Fibroblasts","Htra1","8.20198967900846","ENSMUSG00000006205"
"225","Fibroblasts","Col1a1","8.18498667028993","ENSMUSG00000001506"
"226","Fibroblasts","Sfrp2","8.18483684085302","ENSMUSG00000027996"
"227","Fibroblasts","Des","8.12723905774316","ENSMUSG00000026208"
"228","Fibroblasts","Prrx1","8.11451202991559","ENSMUSG00000026586"
"229","Fibroblasts","Thbs2","7.9811577266176","ENSMUSG00000023885"
"230","Fibroblasts","Myoc","7.93246300994199","ENSMUSG00000026697"
"231","Fibroblasts","Mfap5","7.90729394280427","ENSMUSG00000030116"
"232","Fibroblasts","Ogn","7.8635550452161","ENSMUSG00000021390"
"233","Fibroblasts","Chrdl1","7.79157798580263","ENSMUSG00000031283"
"234","Fibroblasts","Lama2","7.76750918483371","ENSMUSG00000019899"
"235","Fibroblasts","Dpep1","7.74676854503553","ENSMUSG00000019278"
"236","Fibroblasts","Pamr1","7.73663807666936","ENSMUSG00000027188"
"237","Fibroblasts","Fmod","7.73031597737439","ENSMUSG00000041559"
"238","Fibroblasts","Cdh11","7.72165585023406","ENSMUSG00000031673"
"239","Fibroblasts","Sdc2","7.70525532862887","ENSMUSG00000022261"
"240","Fibroblasts","Abcc9","7.62826563878614","ENSMUSG00000030249"
"241","Fibroblasts","Pcolce","7.62663506077593","ENSMUSG00000029718"
"242","Fibroblasts","Antxr1","7.57878173822213","ENSMUSG00000033420"
"243","Fibroblasts","Svep1","7.56892936583734","ENSMUSG00000028369"
"244","Fibroblasts","Ccdc80","7.5214902863497","ENSMUSG00000022665"
"245","Fibroblasts","C7","7.5143682961178","ENSMUSG00000079105"
"246","Fibroblasts","Igfbp5","7.49595061227104","ENSMUSG00000026185"
"247","Fibroblasts","Steap4","7.48155350610436","ENSMUSG00000012428"
"248","Fibroblasts","Hmgcs2","7.46432150716765","ENSMUSG00000027875"
"249","Fibroblasts","Col6a3","7.4574128133268","ENSMUSG00000048126"
"250","Fibroblasts","Adamts5","7.4119821883982","ENSMUSG00000022894"
"251","Fibroblasts","Ms4a4d","7.39784769626042","ENSMUSG00000024678"
"252","Fibroblasts","Dact1","7.39132963777792","ENSMUSG00000044548"
"253","Fibroblasts","Shisa3","7.38150434726669","ENSMUSG00000050010"
"254","Fibroblasts","Cpxm1","7.34283137351924","ENSMUSG00000027408"
"255","Fibroblasts","Srpx","7.33329361233089","ENSMUSG00000090084"
"256","Fibroblasts","Mme","7.2800169472125","ENSMUSG00000027820"
"257","Fibroblasts","Ddr2","7.26079068524341","ENSMUSG00000026674"
"258","Fibroblasts","Ccl11","7.24617141127622","ENSMUSG00000020676"
"259","Fibroblasts","Rarres2","7.23164802191197","ENSMUSG00000009281"
"260","Fibroblasts","Gpc3","7.19747890052462","ENSMUSG00000055653"
"261","Fibroblasts","Aebp1","7.18326977649394","ENSMUSG00000020473"
"262","Fibroblasts","Mmp2","7.17495485195193","ENSMUSG00000031740"
"263","Fibroblasts","Maob","7.12563046289142","ENSMUSG00000040147"
"264","Fibroblasts","Serpine2","7.05032410763468","ENSMUSG00000026249"
"265","Fibroblasts","Postn","7.03664203281848","ENSMUSG00000027750"
"266","Fibroblasts","Tenm3","7.03480253987973","ENSMUSG00000031561"
"267","Fibroblasts","Mmp3","7.0303348604711","ENSMUSG00000043613"
"268","Fibroblasts","C1ra","6.99558120099003","ENSMUSG00000055172"
"269","Fibroblasts","Gstm2","6.98635503300042","ENSMUSG00000040562"
"270","Fibroblasts","Cygb","6.97430456525062","ENSMUSG00000020810"
"271","Fibroblasts","Cxcl12","6.95378960993598","ENSMUSG00000061353"
"272","Fibroblasts","Kcne4","6.92756461265488","ENSMUSG00000047330"
"273","Fibroblasts","Grem1","6.89750812484509","ENSMUSG00000074934"
"274","Fibroblasts","Serpinf1","6.8967293851807","ENSMUSG00000000753"
"275","Fibroblasts","Bgn","6.88853457391945","ENSMUSG00000031375"
"276","Fibroblasts","Slit3","6.86898582839149","ENSMUSG00000056427"
"277","Fibroblasts","Ano1","6.86580939892297","ENSMUSG00000031075"
"278","Fibroblasts","Col6a1","6.85471765657139","ENSMUSG00000001119"
"279","Fibroblasts","Dsc2","6.85225267503613","ENSMUSG00000024331"
"280","Fibroblasts","Lox","6.85217338759893","ENSMUSG00000024529"
"281","Fibroblasts","Gpc4","6.8092400010131","ENSMUSG00000031119"
"282","Fibroblasts","Tnxb","6.80874680128684","ENSMUSG00000033327"
"283","Fibroblasts","Penk","6.74922079869291","ENSMUSG00000045573"
"284","Fibroblasts","Fbn1","6.73234347290965","ENSMUSG00000027204"
"285","Fibroblasts","Adh1","6.7177050138698","ENSMUSG00000074207"
"286","Fibroblasts","Mgp","6.71282470628154","ENSMUSG00000030218"
"287","Fibroblasts","Olfml1","6.70799055810495","ENSMUSG00000051041"
"288","Fibroblasts","Islr","6.69328093312618","ENSMUSG00000037206"
"289","Fibroblasts","Fap","6.67515917291975","ENSMUSG00000000392"
"290","Fibroblasts","Lepr","6.66557640714083","ENSMUSG00000057722"
"291","Fibroblasts","Stmn2","6.65549942110953","ENSMUSG00000027500"
"292","Fibroblasts","Ecm2","6.62176192659416","ENSMUSG00000043631"
"293","Fibroblasts","Olfml2b","6.61861599730472","ENSMUSG00000038463"
"294","Fibroblasts","Medag","6.61554420473719","ENSMUSG00000029659"
"295","Fibroblasts","Tmem100","6.57317427717326","ENSMUSG00000069763"
"296","Fibroblasts","Igsf10","6.56947272126441","ENSMUSG00000036334"
"297","Fibroblasts","Scara3","6.54604744771169","ENSMUSG00000034463"
"298","Fibroblasts","Serpina3c","6.54300137641705","ENSMUSG00000066361"
"299","Fibroblasts","Myl9","6.53198026509631","ENSMUSG00000067818"
"300","Fibroblasts","C3","6.52380436407246","ENSMUSG00000024164"
"301","Fibroblasts","Bicc1","6.5129138417803","ENSMUSG00000014329"
"302","Fibroblasts","Ptn","6.48631888588283","ENSMUSG00000029838"
"303","Fibroblasts","Loxl1","6.47539283139845","ENSMUSG00000032334"
"304","Fibroblasts","Col6a2","6.4654640711503","ENSMUSG00000020241"
"305","Fibroblasts","Cyp2f2","6.45660107149292","ENSMUSG00000052974"
"306","Fibroblasts","Gfpt2","6.44987796940655","ENSMUSG00000020363"
"307","Fibroblasts","Cilp","6.42018325022846","ENSMUSG00000042254"
"308","Fibroblasts","Tbx15","6.41448532446549","ENSMUSG00000027868"
"309","Fibroblasts","Bnc2","6.39240140296887","ENSMUSG00000028487"
"310","Fibroblasts","Col5a2","6.38557921607075","ENSMUSG00000026042"
"311","Fibroblasts","Angptl7","6.36894357014582","ENSMUSG00000028989"
"312","Fibroblasts","F3","6.30766187416285","ENSMUSG00000028128"
"313","Fibroblasts","Igfbp6","6.29661216125906","ENSMUSG00000023046"
"314","Fibroblasts","Has2","6.29512244788196","ENSMUSG00000022367"
"315","Fibroblasts","Gpc6","6.2902166990843","ENSMUSG00000058571"
"316","Fibroblasts","Sfrp4","6.27733687758892","ENSMUSG00000021319"
"317","Fibroblasts","Il1r1","6.26304517098119","ENSMUSG00000026072"
"318","Fibroblasts","Gabra3","6.25688596211435","ENSMUSG00000031343"
"319","Fibroblasts","NA.81","6.25193531919186",NA
"320","Fibroblasts","Pcolce2","6.24620424171428","ENSMUSG00000015354"
"321","Fibroblasts","Gpx3","6.23483654253421","ENSMUSG00000018339"
"322","Fibroblasts","Adcyap1r1","6.21451657610439","ENSMUSG00000029778"
"323","Fibroblasts","S1pr3","6.19383703299168","ENSMUSG00000067586"
"324","Fibroblasts","Ndn","6.18670632258957","ENSMUSG00000033585"
"325","Fibroblasts","Epha3","6.18159042462007","ENSMUSG00000052504"
"326","Fibroblasts","Fat1","6.1810792969027","ENSMUSG00000070047"
"327","Fibroblasts","Scg3","6.17799182633486","ENSMUSG00000032181"
"328","Fibroblasts","Igfbp3","6.14740134903351","ENSMUSG00000020427"
"329","Fibroblasts","Il33","6.0991936591905","ENSMUSG00000024810"
"330","Fibroblasts","Itih5","6.09888686850279","ENSMUSG00000025780"
"331","Fibroblasts","Rgs5","6.07672747181378","ENSMUSG00000026678"
"332","Fibroblasts","Prelp","6.06880868846623","ENSMUSG00000041577"
"333","Fibroblasts","Plekhh2","6.05813392976031","ENSMUSG00000040852"
"334","Fibroblasts","Peg3","6.05664882608846","ENSMUSG00000002265"
"335","Fibroblasts","Ednra","6.05566519634863","ENSMUSG00000031616"
"336","Fibroblasts","Acta2","6.03871881820633","ENSMUSG00000035783"
"337","Fibroblasts","Sgce","6.03243109775496","ENSMUSG00000004631"
"338","Fibroblasts","Tnmd","6.0221834756513","ENSMUSG00000031250"
"339","Fibroblasts","Fbln1","6.00637642305103","ENSMUSG00000006369"
"340","Fibroblasts","Cped1","6.00062089976964","ENSMUSG00000062980"
"341","Fibroblasts","Entpd2","5.99369264139232","ENSMUSG00000015085"
"342","Fibroblasts","Clip3","5.98720297384479","ENSMUSG00000013921"
"343","Fibroblasts","Kdelr3","5.97035982291881","ENSMUSG00000010830"
"344","Fibroblasts","Gpr176","5.96833084468489","ENSMUSG00000040133"
"345","Fibroblasts","Fndc1","5.96781996010867","ENSMUSG00000071984"
"346","Fibroblasts","Srpx2","5.96366901558128","ENSMUSG00000031253"
"347","Fibroblasts","Il7","5.95853140764376","ENSMUSG00000040329"
"348","Fibroblasts","Creb3l1","5.94549806968804","ENSMUSG00000027230"
"349","Fibroblasts","Fgf7","5.94537044884659","ENSMUSG00000027208"
"350","Fibroblasts","Bmpr1a","5.94481862114597","ENSMUSG00000021796"
"351","Fibroblasts","Cpxm2","5.93757612014947","ENSMUSG00000030862"
"352","Fibroblasts","Pdgfrb","5.9215229180476","ENSMUSG00000024620"
"353","Fibroblasts","Pdgfrl","5.91942281370978","ENSMUSG00000031595"
"354","Fibroblasts","Gulp1","5.91714723734502","ENSMUSG00000056870"
"355","Fibroblasts","Mustn1","5.91679907612077","ENSMUSG00000042485"
"356","Fibroblasts","Nbl1","5.89575800759225","ENSMUSG00000041120"
"357","Fibroblasts","Aoc3","5.88482084331052","ENSMUSG00000019326"
"358","Fibroblasts","Serpina10","5.87532438673618","ENSMUSG00000061947"
"359","Fibroblasts","Vegfc","5.84975413376779","ENSMUSG00000031520"
"360","Fibroblasts","Npy1r","5.83784485412443","ENSMUSG00000036437"
"361","Fibroblasts","Mxra8","5.83743276007792","ENSMUSG00000029070"
"362","Fibroblasts","Dclk1","5.816532240369","ENSMUSG00000027797"
"363","Fibroblasts","Osr1","5.8059717028003","ENSMUSG00000048387"
"364","Fibroblasts","Fstl1","5.79941531148993","ENSMUSG00000022816"
"365","Fibroblasts","Adamts12","5.79528921290805","ENSMUSG00000047497"
"366","Fibroblasts","Lrrc17","5.78867714223958","ENSMUSG00000039883"
"367","Fibroblasts","Adamts2","5.77679818726324","ENSMUSG00000036545"
"368","Fibroblasts","Col14a1","5.76885010976094","ENSMUSG00000022371"
"369","Fibroblasts","Neo1","5.76579146733919","ENSMUSG00000032340"
"370","Fibroblasts","Spon1","5.73475588006938","ENSMUSG00000038156"
"371","Fibroblasts","Sulf1","5.70941413228836","ENSMUSG00000016918"
"372","Fibroblasts","Serpinh1","5.68813672643924","ENSMUSG00000070436"
"373","Fibroblasts","Gsn","5.67270554612422","ENSMUSG00000026879"
"374","Fibroblasts","Fkbp9","5.66546259790803","ENSMUSG00000029781"
"375","Fibroblasts","Lpar1","5.66068667799741","ENSMUSG00000038668"
"376","Fibroblasts","Vegfd","5.65296274914804","ENSMUSG00000031380"
"377","Fibroblasts","Has1","5.64672992215488","ENSMUSG00000003665"
"378","Fibroblasts","Emp2","5.64379815972891","ENSMUSG00000022505"
