"","r","V1","gw","ensembl_gene"
"54","CXCR6","T_cells","5.08471903987128","ENSG00000172215"
"55","CYYR1","Endothelial_cells","5.50070387080194","ENSG00000166265"
"56","DCN","Fibroblasts","8.46999031396435","ENSG00000011465"
"57","E2F5","B_cell","7.27311231455042","ENSG00000133740"
"58","ECSCR","Endothelial_cells","9.28567820011253","ENSG00000249751"
"59","EDNRB","Endothelial_cells","6.59243609517301","ENSG00000136160"
"60","EFEMP2","Fibroblasts","5.04237287078293","ENSG00000172638"
"61","EFNA1","Endothelial_cells","6.52962885927428","ENSG00000169242"
"62","EFNB2","Endothelial_cells","6.85239730101445","ENSG00000125266"
"63","EGFL7","Endothelial_cells","5.46472605387315","ENSG00000172889"
"64","ELN","Fibroblasts","6.03011778520151","ENSG00000049540"
"65","EMCN","Endothelial_cells","9.03427914231335","ENSG00000164035"
"66","ESAM","Endothelial_cells","6.81037441260595","ENSG00000149564"
"67","FASLG","NK_cell","6.13398811188893","ENSG00000117560"
"68","FBLN1","Fibroblasts","6.68376699981264","ENSG00000077942"
"69","FBLN2","Fibroblasts","7.43988382468024","ENSG00000163520"
"70","FBLN5","Fibroblasts","5.37538979745733","ENSG00000140092"
"71","FBN1","Fibroblasts","6.49416165668972","ENSG00000166147"
"72","FCER1G","Macrophage","5.30796050627519","ENSG00000158869"
"73","FCRL1","B_cell","8.79608418203333","ENSG00000163534"
"74","FCRL2","B_cell","6.84129895231036","ENSG00000132704"
"75","FCRL3","B_cell","5.48022955152597","ENSG00000160856"
"76","FCRLA","B_cell","7.1173455876451","ENSG00000132185"
"77","FGR","Macrophage","5.83295656665237","ENSG00000000938"
"78","FLT3LG","T_cells","5.34672735928156","ENSG00000090554"
"79","FNDC1","Fibroblasts","7.3095996775601","ENSG00000164694"
"80","GJA4","Endothelial_cells","5.17975190308889","ENSG00000187513"
"81","GLT8D2","Fibroblasts","7.51392830573911","ENSG00000120820"
"82","GNG11","Endothelial_cells","6.39097834793269","ENSG00000127920"
"83","GPC6","Fibroblasts","5.14878605201118","ENSG00000183098"
"84","GPR171","T_cells","6.78252526069093","ENSG00000174946"
"85","GZMB","NK_cell","5.48949296602692","ENSG00000100453"
"86","GZMK","T_cells","6.11859158933463","ENSG00000113088"
"87","HCK","Macrophage","7.4207747800063","ENSG00000101336"
"88","HK3","Macrophage","7.62397955183606","ENSG00000160883"
"89","HLA-DOB","B_cell","8.08937471910792","ENSG00000241106"
"90","ICOS","T_cells","6.11276387928969","ENSG00000163600"
"91","IL18RAP","NK_cell","5.89029219587669","ENSG00000115607"
"92","ISLR","Fibroblasts","6.79195140897493","ENSG00000129009"
"93","ITGAX","Macrophage","6.19329255057984","ENSG00000140678"
"94","ITK","T_cells","6.06030521486835","ENSG00000113263"
"95","KDR","Endothelial_cells","9.03480839232374","ENSG00000128052"
"96","KIR2DL1","NK_cell","5.06267087764977","ENSG00000125498"
"97","KIR2DL4","NK_cell","6.47280373979758","ENSG00000189013"
"98","KIR3DL1","NK_cell","6.73856820951224","ENSG00000167633"
"99","KIR3DL2","NK_cell","6.10644862994369","ENSG00000240403"
"100","KLRF1","NK_cell","6.30671312710096","ENSG00000150045"
"101","KLRG1","T_cells","5.69964159439831","ENSG00000139187"
"102","KRT86","NK_cell","5.69424894201154","ENSG00000170442"
"103","LDB2","Endothelial_cells","6.42387991009839","ENSG00000169744"
"104","LEF1","T_cells","5.96333863128673","ENSG00000138795"
"105","LILRA2","Macrophage","5.87747147401258","ENSG00000239998"
"106","LILRB2","Macrophage","6.83828379865434","ENSG00000131042"
"107","LINC00926","B_cell","5.58017534754852","ENSG00000247982"
"108","LOX","Fibroblasts","6.42385998546951","ENSG00000113083"
"109","LRRN3","T_cells","6.37526599685408","ENSG00000173114"
"110","LUM","Fibroblasts","12.0792131881508","ENSG00000139329"
"111","MACROD2","B_cell","5.27439704565175","ENSG00000172264"
"112","MAL","T_cells","8.53861666501154","ENSG00000172005"
"113","MCAM","Endothelial_cells","8.29857543765347","ENSG00000076706"
"114","MFAP4","Fibroblasts","5.51110457250744","ENSG00000166482"
"115","MMRN1","Endothelial_cells","11.061740546334","ENSG00000138722"
"116","MMRN2","Endothelial_cells","7.23748261340837","ENSG00000173269"
"117","MOXD1","Fibroblasts","7.94038224072178","ENSG00000079931"
"118","MS4A1","B_cell","8.7796349696531","ENSG00000156738"
"119","MS4A7","Macrophage","7.5671566947342","ENSG00000166927"
"120","MSR1","Macrophage","6.73802351580018","ENSG00000038945"
"121","MXRA8","Fibroblasts","6.13321923344846","ENSG00000162576"
"122","MYCT1","Endothelial_cells","6.65401192505125","ENSG00000120279"
"123","NELL2","T_cells","7.97945146987873","ENSG00000184613"
"124","NOS3","Endothelial_cells","5.26454475022112","ENSG00000164867"
"125","OLFML1","Fibroblasts","5.65321098906914","ENSG00000183801"
"126","OLFML3","Fibroblasts","8.54129049071319","ENSG00000116774"
"127","OXNAD1","T_cells","5.08215710320282","ENSG00000154814"
"128","P2RX5","B_cell","6.61659423250339","ENSG00000083454"
"129","PALMD","Endothelial_cells","7.06187201946891","ENSG00000099260"
"130","PCAT19","Endothelial_cells","5.57760490426746","ENSG00000267107"
"131","PCDH18","Fibroblasts","7.59772615423585","ENSG00000189184"
"132","PCOLCE","Fibroblasts","7.85549766673725","ENSG00000106333"
"133","PDGFRA","Fibroblasts","6.51737229964346","ENSG00000134853"
"134","PILRA","Macrophage","7.59034015081775","ENSG00000085514"
"135","PKHD1L1","B_cell","5.37499745157419","ENSG00000205038"
"136","PLAC9","Fibroblasts","5.95468689235473","ENSG00000189129"
"137","PLEKHB1","T_cells","5.05570831170139","ENSG00000021300"
"138","PLK2","Endothelial_cells","6.58220721380147","ENSG00000145632"
"139","PLVAP","Endothelial_cells","6.2920312543041","ENSG00000130300"
"140","PNOC","B_cell","8.43660774477556","ENSG00000168081"
"141","PODXL","Endothelial_cells","7.9696638446704","ENSG00000128567"
"142","PROCR","Endothelial_cells","5.26278022426781","ENSG00000101000"
"143","PRR5L","NK_cell","5.96763430767728","ENSG00000135362"
"144","PTGDR","NK_cell","5.44065204572079","ENSG00000168229"
"145","PTN","Fibroblasts","6.96578552114835","ENSG00000105894"
"146","RNF157","T_cells","5.61929653747306","ENSG00000141576"
"147","ROBO4","Endothelial_cells","6.78902473846679","ENSG00000154133"
"148","S100A16","Endothelial_cells","5.21295767734741","ENSG00000188643"
"149","S1PR5","NK_cell","5.67724723986708","ENSG00000180739"
"150","SERPINA1","Macrophage","5.19422113446365","ENSG00000197249"
"151","SERPINE2","Fibroblasts","5.98389715377276","ENSG00000135919"
"152","SH2D1A","T_cells","5.42592538072657","ENSG00000183918"
"153","SH2D1B","NK_cell","9.2723606286207","ENSG00000198574"
"154","SIRPG","T_cells","5.75546782677405","ENSG00000089012"
"155","SLC31A2","Macrophage","5.05013314792906","ENSG00000136867"
"156","SLC7A7","Macrophage","5.39208726787526","ENSG00000155465"
"157","SLFN13","NK_cell","5.69328442642839","ENSG00000154760"
"158","SNAI2","Fibroblasts","7.11811568329912","ENSG00000019549"
"159","SOX7","Endothelial_cells","7.3254416815821","ENSG00000171056"
"160","SPI1","Macrophage","5.34035824206342","ENSG00000066336"
"161","SPIB","B_cell","6.79394682006139","ENSG00000269404"
"162","SPOCK2","T_cells","5.17719463092574","ENSG00000107742"
"163","ST6GALNAC3","Endothelial_cells","5.88309853778226","ENSG00000184005"
"164","STAP1","B_cell","6.46167690057151","ENSG00000035720"
"165","TBXAS1","Macrophage","5.30250827418809","ENSG00000059377"
"166","TC2N","T_cells","6.03125977961474","ENSG00000165929"
"167","TCF7","T_cells","6.66739512327883","ENSG00000081059"
"168","TFPI","Endothelial_cells","5.48138278487288","ENSG00000003436"
"169","THBS2","Fibroblasts","9.79932137039668","ENSG00000186340"
"170","THEMIS","T_cells","8.66278390506456","ENSG00000172673"
"171","THY1","Fibroblasts","7.74820002971772","ENSG00000154096"
"172","TLR10","B_cell","7.71428880089987","ENSG00000174123"
"173","TM4SF1","Endothelial_cells","6.75948074649832","ENSG00000169908"
"174","TRABD2A","T_cells","5.41362209348203","ENSG00000186854"
"175","TRAC","T_cells","6.515712874429","ENSG00000277734"
"176","TRAT1","T_cells","9.43972298368458","ENSG00000163519"
"177","TRBC1","T_cells","5.91500489289061","ENSG00000211751"
"178","UBASH3A","T_cells","5.94433607805333","ENSG00000160185"
"179","VMO1","Macrophage","6.23577382541234","ENSG00000182853"
"180","VWF","Endothelial_cells","5.21271595748078","ENSG00000110799"
"181","WWTR1","Endothelial_cells","6.60553995236693","ENSG00000018408"
"182","XCL1","NK_cell","6.92705522165069","ENSG00000143184"
