"t","d","u1","u2","l1","c1"
0.02564204936561,0,0.6957,0.3423,0.3019,0
0.845598092776264,1,-1.3958,-0.3147,-1.6036,0
0.0162516588984652,1,-1.4192,-0.0082,0.4061,0
3.42151635012948,1,0.5766,-0.0951,-1.4324,0
0.178106017066153,1,-1.2085,0.1707,0.058,0
0.000337562187307893,1,-1.0632,0.0123199161425577,2.1705,1
0.382589257296816,1,-0.3266,-0.3819,1.6686,0
1.58459474677012,1,0.3538,-0.2873,0.1297,0
0.327889722058988,1,1.3297,-0.0073,0.0871,0
0.613316200660534,0,0.8918,-0.0503,-1.4987,0
0.14213937949974,1,0.08,0.1717,2.1114,0
0.153769120990459,0,-0.5767,0.2606,-0.5888,1
0.281441619461158,1,-0.3444,-0.0591,0.5784,0
0.01926766098926,1,1.3481,-0.1596,0.4997,0
0.0118333987334617,1,1.007,-0.4302,0.0769,0
0.151347823561949,1,0.3897,0.0123199161425577,0.3312,0
0.75715039674411,1,0.2859,0.6961,-1.1217,0
0.159147218784757,1,0.6659,0.16,0.3063,0
0.325994848298428,1,-0.0764,0.0123199161425577,-2.8386,1
0.0154231721588098,1,-1.7878,0.9525,-0.3607,1
0.439291060167885,1,-0.2534,-0.3235,0.0689,0
0.00694822811580842,1,-1.0011,0.9553,1.4463,1
1.25382844187735,1,0.416,-0.0193,-0.053,0
0.0843618574310629,1,0.1479,-0.5534,-0.2709,0
0.00585885953604077,1,0.0666617154811715,-0.1702,1.0721,0
0.0475221589081193,0,-0.4894,-0.2564,-0.2865,0
0.00412152025534412,1,0.0666617154811715,-0.3482,0.2251,0
0.0790868242638955,1,-0.5866,0.8496,-0.3672,1
0.163693010243654,1,-0.0477,0.2186,0.7374,0
0.190465886884049,1,0.9615,-0.4209,1.6525,0
1.05603445189952,1,-0.5398,0.7522,0.5446,0
0.725276091637605,1,0.5451,-0.077,-0.1001,0
0.883767879599561,1,0.2736,0.4297,0.3727,1
0.454992550786912,1,-0.2868,-0.1777,-0.5183,0
1.61384586150034,0,0.3016,0.1768,-2.0842,0
0.0182903872499821,1,1.3182,-0.4062,-0.5475,0
0.00010414488381879,1,0.0666617154811715,0.0897,1.2819,0
1.67501607351693,1,-0.4411,-0.0365,-1.8615,1
0.0773750938130924,1,-0.9858,0.0123199161425577,-0.7328,1
2.1761574298757,1,0.6584,-0.082,-1.0063,0
0.052440117143632,1,-1.0903,-0.2532,-0.1475,0
0.413527446781633,1,0.5515,0.1149,1.5914,0
0.716051873196402,0,-0.706,0.1958,0.0548,0
0.371562256993307,1,-0.6309,0.9152,-0.678,0
0.142643155965685,1,-1.5729,-0.4039,-0.4111,0
1.6261929036569,0,0.0822,-0.0546,-0.6024,0
0.0151255214327002,0,0.8363,-0.6859,-0.8361,0
0.06483574313996,1,0.325,0.1182,0.1966,0
0.355026650323645,1,1.2814,0.2533,-1.479,0
0.326071187917484,1,-0.468,0.8189,0.0802,0
5.06141696872682,1,0.5049,-0.6001,-2.6383,0
0.00784059519193413,1,-1.5444,0.0703,-0.4065,1
0.799238970142177,1,-0.3864,-0.5654,-2.5133,0
0.140176389534356,0,-0.3315,-0.4218,-1.4594,0
0.4866745681581,1,-0.3276,-0.4988,0.2642,0
0.367369641435409,1,0.2293,-0.5592,-1.0082,0
0.0247133665721299,1,0.0666617154811715,0.3932,-0.323,0
0.454993109296485,1,0.2127,-0.3598,0.7442,0
0.00150431431398023,1,0.0666617154811715,-0.1004,0.0575,0
0.175288432274563,1,0.6363,-0.4212,0.6544,0
0.0365768900676625,1,-0.4953,-0.6111,0.9887,0
0.105029705380232,1,-0.0821,0.1466,-1.0454,0
0.157914819650404,1,0.4502,0.455,1.4068,0
0.394887401132352,1,-0.9535,-0.1911,-0.0382,0
0.238027847901648,1,0.5599,0.4256,0.295,1
0.0177385045151291,1,-1.2692,-0.5972,-0.4209,1
0.0079343101943189,1,1.5896,-0.5551,1.0001,0
0.639173219136267,1,-0.0398,0.2509,0.3688,0
0.208061257112927,1,-0.1897,0.0879,1.6544,1
0.251292292697814,1,-0.2867,0.9096,0.6857,0
0.000700444380931216,1,1.578,0.9518,0.3518,1
0.701864612438599,1,-0.0688,0.2704,-0.8373,0
0.597491930444327,1,0.0963,0.2145,-0.1454,0
1.82221347093654,1,0.0548,-0.5578,0.4429,0
0.0192131570522283,1,0.7525,-0.7242,1.0628,0
0.0495028904567941,1,1.2115,-0.8699,-1.2318,1
0.00469495685009532,1,0.6628,0.5598,-0.581,0
0.00361877722798423,1,-1.5017,-0.9068,0.6242,0
1.29947199535869,1,0.7964,-0.0785,-0.1831,0
0.13983254124338,1,-0.4029,0.0123199161425577,1.5815,0
0.0225944937867382,1,1.5653,-0.8748,0.4964,1
0.125337220673486,1,-1.1919,0.2244,0.4869,0
0.768046518420692,0,0.4137,-0.6002,-0.1732,0
0.222944166566684,1,0.1744,-0.4476,0.9274,0
3.54443077041828,1,0.0953,0.1851,-1.6473,0
0.0611162658535089,1,-0.753,0.3079,-0.4538,0
0.121920724940972,1,-1.1867,0.4355,-0.0052,0
1.97282721624033,0,-0.3732,-0.0682,-0.4085,0
0.580433771391336,1,-0.4708,-0.3944,0.2796,0
0.574957936104406,1,-0.6065,-0.6897,-0.5879,0
0.433703685137911,1,-0.4871,0.6036,-0.6747,0
1.4703552538517,1,-0.3259,-0.0618,-1.0424,0
1.18193878385591,1,0.6077,0.0123199161425577,-0.9437,0
0.209963282448321,1,1.5455,-0.0439,-1.9168,0
0.000541759095774636,1,1.827,-0.6377,0.6259,0
0.142794232407065,0,-0.4689,-0.3007,-0.6486,0
0.227406084503564,1,-0.6981,-0.0026,-1.2406,0
0.836653658754631,1,-0.2577,-0.1142,0.6719,0
0.03153408134523,1,1.7303,-0.0922,-0.7178,1
0.137554938279338,1,1.2534,-0.3387,0.9157,1
0.771842256751204,1,0.1857,-0.2959,0.3447,0
0.0202874726350976,1,1.4545,-0.831,1.3735,0
0.0415409983314478,0,0.6199,-0.0331,0.1787,1
1.76224186709173,1,0.1452,-0.1457,0.3811,0
0.225936447997781,1,0.7525,-0.5188,0.3436,0
0.260695954947545,1,0.5686,0.2701,1.3737,0
0.01193000519191,1,1.6871,-0.2324,1.1453,0
2.47675242357452e-06,1,0.0666617154811715,1.0046,0.2697,0
0.970979555605638,0,-0.8903,0.341,-0.515,0
0.175556527752334,1,0.0697,0.3209,-0.5841,0
1.39940081039698,1,0.1365,-0.2256,-0.8066,0
0.349474276129896,1,-0.5462,-0.0382,-1.0323,0
0.272139177407239,1,-0.6801,-0.1061,0.4292,0
0.217310360359574,1,0.9048,-0.4173,1.1008,0
0.403502678190024,1,-0.6965,-0.0163,-0.4285,0
0.331236758081064,1,-1.0205,0.3653,-0.083,0
0.529705369717963,1,0.3685,-0.3054,0.8921,0
0.117749151744497,1,0.9533,0.0663,-1.3445,0
0.184180998306895,1,0.9502,0.7522,-0.5021,0
0.228048472433277,1,-0.0655,0.4908,1.7625,0
